idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens
uj0001,0597_s000186.xml,letters-leipzig,Brief + Postkarte,"Johnson, Uwe","Bierwisch, Manfred",1967-05-04,1967,5,JohnsonUwe,BierwischManfred,31
uj0002,0587_s000182.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1967-01-29,1967,1,JohnsonUwe,BierwischManfred,1367
uj0003,0606_s000188.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1967-10-15,1967,10,JohnsonUwe,BierwischManfred,736
uj0004,0589_s000061.xml,letters-leipzig,Brief + Postkarte,"Johnson, Uwe","Baumgärtner, Klaus",1967-02-21,1967,2,JohnsonUwe,BaumgärtnerKlaus,22
uj0005,0598_101047.xml,letters-leipzig,Brief,"Menzhausen, Joachim","Johnson, Uwe + anonymous1",1967-05-04,1967,5,MenzhausenJoachim,JohnsonUwe+anonymous1,489
uj0006,0599_s000067.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1967-05-11,1967,5,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,1286
uj0007,0588_101040.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1967-02-20,1967,2,JohnsonUwe,BierwischManfred,1042
uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1,BierwischManfred,JohnsonUwe,712
uj0009,0590_110142.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1967-02-24,1967,2,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,421
uj0010,0593_s000065.xml,letters-leipzig,Brief,"Johnson, Uwe + anonymous1","Baumgärtner, Klaus + Baumgärtner, Sabine",1967-03-21,1967,3,JohnsonUwe+anonymous1,BaumgärtnerKlaus+BaumgärtnerSabine,506
uj0011,0594_s000066.xml,letters-leipzig,Brief,"Johnson, Uwe + anonymous1","Baumgärtner, Klaus + Baumgärtner, Sabine",1967-03-21,1967,3,JohnsonUwe+anonymous1,BaumgärtnerKlaus+BaumgärtnerSabine,513
uj0012,0601_101049.xml,letters-leipzig,Brief + Postkarte,"Klemm, Eberhardt + Klemm, Erika","Johnson, Uwe + anonymous1 + anonymous2",1967-07-14,1967,7,KlemmEberhardt+KlemmErika,JohnsonUwe+anonymous1+anonymous2,87
uj0013,0592_101041.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-03-16,1967,3,BierwischManfred,JohnsonUwe,888
uj0014,0602_101050.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-07-19,1967,7,BierwischManfred,JohnsonUwe,733
uj0015,0600_101048.xml,letters-leipzig,Brief,"Johnson, Uwe","Menzhausen, Joachim",1967-06-09,1967,6,JohnsonUwe,MenzhausenJoachim,354
uj0016,0609_101054.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-11-03,1967,11,BierwischManfred,JohnsonUwe,611
uj0017,0605_101052.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",0000-00-00,0,0,KlemmErika,JohnsonUwe,63
uj0018,0604_101051.xml,letters-leipzig,Brief,"Baumgärtner, Sabine","Johnson, Uwe",1967-09-12,1967,9,BaumgärtnerSabine,JohnsonUwe,78
uj0019,0596_101045.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1967-05-01,1967,5,JohnsonUwe,BierwischManfred,407
uj0020,0595_101044.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe + anonymous1",1967-04-20,1967,4,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe+anonymous1,1256
uj0021,0586_101039.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967,1967,,BierwischManfred,JohnsonUwe,272
uj0022,0591_s000184.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1967-03-01,1967,3,JohnsonUwe,BierwischManfred,60
uj0023,0584_s000159.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1967-01-10,1967,1,JohnsonUwe,BierwischManfred,589
uj0024,1044_002771.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1978-11-10,1978,11,BierwischManfred,JohnsonUwe,1337
uj0025,1042_101729.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1978-10-24,1978,10,KlemmErika,JohnsonUwe,50
uj0026,1046_101732.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1978-11-21,1978,11,JohnsonUwe,BierwischManfred,1623
uj0027,1033_002776.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1978-02-10,1978,2,BierwischManfred,JohnsonUwe,1375
uj0028,1047_101736.xml,letters-leipzig,Brief + Postkarte,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1978-12-30,1978,12,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,132
uj0029,1041_101728.xml,letters-leipzig,Brief + Postkarte,"Bierwisch, Manfred","Johnson, Uwe",1978-09-08,1978,9,BierwischManfred,JohnsonUwe,40
uj0030,1038_101723.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Eberhardt + Klemm, Erika",1978-09-01,1978,9,JohnsonUwe,KlemmEberhardt+KlemmErika,86
uj0031,1035_101719.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1978-04-20,1978,4,KlemmErika,JohnsonUwe,54
uj0032,1034_101717.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1978-03-06,1978,3,JohnsonUwe,BierwischManfred,452
uj0033,1045_101731.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1978-11-15,1978,11,JohnsonUwe,BierwischManfred,57
uj0034,1037a_000044.xml,letters-leipzig,Postkarte,"Johnson, Uwe","Klemm, Eberhardt",1978-09-01,1978,9,JohnsonUwe,KlemmEberhardt,36
uj0035,1037_101721.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Erika",1978-06-05,1978,6,JohnsonUwe,KlemmErika,1126
uj0036,1039_101724.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1978-09-01,1978,9,JohnsonUwe,BierwischManfred,104
uj0037,1043_101726.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Erika",1978-10-24,1978,10,JohnsonUwe,KlemmErika,201
uj0038,1036_101720.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1978-06-05,1978,6,KlemmErika,JohnsonUwe,161
uj0039,1040_s000110.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus + Baumgärtner, Sabine",1978-09-01,1978,9,JohnsonUwe,BaumgärtnerKlaus+BaumgärtnerSabine,124
uj0040,0020_100101.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-09-17,1955,9,BierwischManfred,JohnsonUwe,592
uj0041,0022_100102.xml,letters-leipzig,Brief + Postkarte,"Bierwisch, Manfred","Johnson, Uwe",1955-10-12,1955,10,BierwischManfred,JohnsonUwe,95
uj0042,0010_060004.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-07-17,1955,7,BierwischManfred,JohnsonUwe,660
uj0043,0019_060022.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-09-10,1955,9,BierwischManfred,JohnsonUwe,374
uj0044,0002_000000.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1955-06-03,1955,6,JohnsonUwe,BierwischManfred,0
uj0045,0018_000000.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1955-09-10,1955,9,JohnsonUwe,BierwischManfred,0
uj0046,0009_000000.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1955-07-17,1955,7,JohnsonUwe,BierwischManfred,0
uj0047,0021_060023.xml,letters-leipzig,Brief + Postkarte,"Bierwisch, Manfred","Johnson, Uwe",1955-10-04,1955,10,BierwischManfred,JohnsonUwe,146
uj0048,0004_000000.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1955-06-15,1955,6,JohnsonUwe,BierwischManfred,0
uj0049,0013_060006.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-07-25,1955,7,BierwischManfred,JohnsonUwe,170
uj0050,0014_100100.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-08-05,1955,8,BierwischManfred,JohnsonUwe,516
uj0051,0015_060009.xml,letters-leipzig,Brief,"Menzhausen, Joachim","Johnson, Uwe",1955-08-11,1955,8,MenzhausenJoachim,JohnsonUwe,181
uj0052,0012_000000.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1955,1955,,JohnsonUwe,BierwischManfred,0
uj0053,0005_060001.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-06-15,1955,6,BierwischManfred,JohnsonUwe,993
uj0054,0017_060010.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-08-18,1955,8,BierwischManfred,JohnsonUwe,119
uj0055,0006_060002.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-06-23,1955,6,BierwischManfred,JohnsonUwe,1596
uj0056,0001_s000151.xml,letters-leipzig,Brief + Postkarte,"Johnson, Uwe + Ebel, Gertrud","Bierwisch, Manfred",1955-05-27,1955,5,JohnsonUwe+EbelGertrud,BierwischManfred,457
uj0057,0016_060008.xml,letters-leipzig,Brief + Postkarte,"Baumgärtner, Klaus","Johnson, Uwe",1955-08-12,1955,8,BaumgärtnerKlaus,JohnsonUwe,127
uj0058,0003_060000.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-06-03,1955,6,BierwischManfred,JohnsonUwe,428
uj0059,0011_060005.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-07-19,1955,7,BierwischManfred,JohnsonUwe,290
uj0060,0008_060003.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1955-07-09,1955,7,BierwischManfred,JohnsonUwe,579
uj0061,0007_s000152.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1955-07-02,1955,7,JohnsonUwe,BierwischManfred,503
uj0062,1092_101805.xml,letters-leipzig,Brief,"Johnson, Uwe","Menzhausen, Joachim + Menzhausen, Ingelore",1981-03-19,1981,3,JohnsonUwe,MenzhausenJoachim+MenzhausenIngelore,1073
uj0063,1104_101823.xml,letters-leipzig,Brief,"Klemm, Ine","Johnson, Uwe",1981-07-19,1981,7,KlemmIne,JohnsonUwe,162
uj0064,1108_101826.xml,letters-leipzig,Brief,"Klemm, Ine","Johnson, Uwe",1981-12-30,1981,12,KlemmIne,JohnsonUwe,239
uj0065,1093_101809.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1981-04-27,1981,4,KlemmErika,JohnsonUwe,21
uj0066,1095_101811.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe","Bierwisch, Manfred",1981-05-19,1981,5,JohnsonUwe,BierwischManfred,24
uj0067,1099_101815.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Erika",1981-06-01,1981,6,JohnsonUwe,KlemmErika,756
uj0068,1100_101817.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",0000-00-00,0,0,KlemmErika,JohnsonUwe,79
uj0069,1107_101825.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Ine",1981-08-03,1981,8,JohnsonUwe,KlemmIne,478
uj0070,1097_101813.xml,letters-leipzig,Brief,"Menzhausen, Joachim","Johnson, Uwe",1981-05-23,1981,5,MenzhausenJoachim,JohnsonUwe,501
uj0071,1102_101821.xml,letters-leipzig,Brief + Postkarte,"Klemm, Erika","Johnson, Uwe",1981-07-14,1981,7,KlemmErika,JohnsonUwe,19
uj0072,1105_101819.xml,letters-leipzig,Brief + Telegramm,"Johnson, Uwe","Bierwisch, Manfred",1981-07-20,1981,7,JohnsonUwe,BierwischManfred,53
uj0073,1091_101804.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Erika",1981-03-19,1981,3,JohnsonUwe,KlemmErika,1230
uj0074,1098_101814.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1981-05-26,1981,5,KlemmErika,JohnsonUwe,52
uj0075,1094_101810.xml,letters-leipzig,Brief,"Klemm, Erika","Johnson, Uwe",1981-05-13,1981,5,KlemmErika,JohnsonUwe,11
uj0076,1103_101822.xml,letters-leipzig,Brief + Postkarte,"Klemm, Ine","Johnson, Uwe",0000-00-00,0,0,KlemmIne,JohnsonUwe,87
uj0077,1089_101797.xml,letters-leipzig,Brief,"Menzhausen, Joachim","Johnson, Uwe",1981-01-03,1981,1,MenzhausenJoachim,JohnsonUwe,991
uj0078,1096_101812.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Erika",1981-05-20,1981,5,JohnsonUwe,KlemmErika,1426
uj0079,1106_101824.xml,letters-leipzig,Brief + Umschlag,"Bierwisch, Manfred","Johnson, Uwe",1981-07-30,1981,7,BierwischManfred,JohnsonUwe,193
uj0080,1101_101818.xml,letters-leipzig,Brief,"Johnson, Uwe","Menzhausen, Joachim + Menzhausen, Ingelore",1981-06-29,1981,6,JohnsonUwe,MenzhausenJoachim+MenzhausenIngelore,1530
uj0081,1090_101802.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1981-03-16,1981,3,BierwischManfred,JohnsonUwe,579
uj0082,0899_101566.xml,letters-leipzig,Brief,"Klemm, Ine","Johnson, Uwe",1974-01-07,1974,1,KlemmIne,JohnsonUwe,76
uj0083,0924_101596.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1974-03-25,1974,3,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,402
uj0084,0920_101591.xml,letters-leipzig,Brief + Postkarte,"Klemm, Ine","Johnson, Uwe + anonymous1 + anonymous2",1974-02-25,1974,2,KlemmIne,JohnsonUwe+anonymous1+anonymous2,14
uj0085,0933_101609.xml,letters-leipzig,Brief + Postkarte,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe + anonymous1",1974-07-31,1974,7,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe+anonymous1,67
uj0086,0901_101568.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1974-01-09,1974,1,JohnsonUwe,BierwischManfred,338
uj0087,0929_101602.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1974-05-09,1974,5,JohnsonUwe,BierwischManfred,46
uj0088,0897_101565.xml,letters-leipzig,Brief,"Klemm, Ine","Johnson, Uwe",1974-01-01,1974,1,KlemmIne,JohnsonUwe,79
uj0089,0919_101590.xml,letters-leipzig,Brief,"Klemm, Eberhardt","Johnson, Uwe + anonymous1",1974-02-09,1974,2,KlemmEberhardt,JohnsonUwe+anonymous1,115
uj0090,0939_101615.xml,letters-leipzig,Brief,"Klemm, Ine","Johnson, Uwe",1974-10-08,1974,10,KlemmIne,JohnsonUwe,452
uj0091,0928_101600.xml,letters-leipzig,Brief,"Johnson, Uwe","Klemm, Erika",1974-04-11,1974,4,JohnsonUwe,KlemmErika,118
uj0092,0927_101599.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1974-04-06,1974,4,JohnsonUwe,BierwischManfred,1110
uj0093,0911_101581.xml,letters-leipzig,Brief + Postkarte,"Klemm, Ine","Johnson, Uwe",1974-01-27,1974,1,KlemmIne,JohnsonUwe,90
uj0094,0925_101597.xml,letters-leipzig,Brief,"Klemm, Erika",anonymous1,1974-04-01,1974,4,KlemmErika,anonymous1,3
uj0095,0934_101608.xml,letters-leipzig,Brief + Postkarte,"Bierwisch, Manfred","Johnson, Uwe",1974-08-08,1974,8,BierwischManfred,JohnsonUwe,76
