year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.00025117782477145957,0.05042061908442002,0.0007431091098825727,0.02769384847628994,0.0003125383033360593,0.00035140223016110026,0.00024696067994227594,0.0002877401771651841,6.39571737023899e-05,0.00021793164828824913,0.005299415180320157,0.0006658752680941636,0.010434103331943613,0.0002950818694128885,0.0547676761578096,0.0003079825727670695,0.0006470030682320999,0.0003998993058962973,0.01070780392268829,0.25425393351054576,0.004278462589146598,0.12376255877497283,0.0003429040282818116,0.00037159539575769366,0.0003836465979935299,0.00027515669946549456,0.00036242354249316824,0.0005433801935427802,0.00032597394920852967,0.00022683730892204286,0.1717108863099581,0.0004338007080244139,0.0003696997486725945,0.0001854292459902108,0.00016018380463580915,0.0004098152626868012,0.00021166083774966404,0.0002788980469314655,0.0005465116977314814,0.008921100481096383,0.0029155428566656834,0.00017071982162777046,0.007902208182214723,7.15341195953376e-05,0.00019180191968048226,0.013609686611286847,0.0001933716106155803,0.01446090688600572,0.0002941114610760017,0.00016465849741249307,0.0002584596437515855,0.0002806593352842114,0.00019338960457105484,0.0004534337568325811,0.00023833964491294408,0.00025694712721871337,0.017581893728742807,0.06536277044540453,0.0002322683755805025,0.0002664356380139793,0.00019780659237117452,0.0001876478263605776,0.00032592111119241553,4.613478218720457e-05,0.00022496210110785496,0.0003593416294348293,0.00023224899395655685,0.028298728856629155,0.002724913272154635,0.0003582825057563185,0.00027695518717599324,0.0003843294987880814,0.000544956239383436,0.0002994371303987099,0.0001628599453582507,0.00016900942126916402,0.00034697058286649297,0.0001661760551794125,0.00034599142574359183,0.0001920517525612925,0.010516390168821332,0.00033625802982758537,0.029080217803560047,0.0002973126647202871,0.00032472652229336563,0.00022394577042746238,0.01745217376048647,0.00026785198753382175,0.0005194589738028926,0.0005811341382792681,0.0002148431722779296,0.000348714981049641,0.0004205821163062529,0.0004136887168036263,0.001955674680135448,0.00840639241780143,0.02009727274134898,0.0002385938146022174,0.00972572549124768,0.005166193753370523
1955,0.00021598257458353394,0.007948464931150121,0.0006389840301186862,0.0005839464677389188,0.0002687451707646079,0.00030216345114717576,0.0002123563396703662,0.00024742177909932894,5.49954401902258e-05,0.00018739488059247848,0.0008633476316506624,0.000190784390908661,0.00023777696878151994,0.006278009307276413,0.18524070025308387,0.006289102353117196,0.0005563444486684311,0.0003438650754310682,0.0010218847163850314,0.12229523112699349,0.0004047477268508078,0.09423333581673121,0.0002948560245346208,0.004865022254517541,0.0024944148774831533,0.00023660150898486187,0.0003116404478324226,0.0015495038825686805,0.00028029820252357853,0.0029423795316418327,0.23183449780676862,0.005867669902591243,0.00031789710582070445,0.00015944674251593875,0.00013773871385068293,0.0003523915999322518,0.00018200274135376696,0.00023981861566554915,0.0004699340143719284,0.0002390079572861159,0.0023719328823003953,0.00014679841519113997,0.009570761120115399,6.15106979878583e-05,0.0001649264717550204,0.0024218980352643926,0.0001662762162627769,0.008493667123085157,0.01648683906366988,0.00014158640887414008,0.00022224405890209812,0.0002413331107980451,0.00016629168888992392,0.0003898982336235052,0.006568636461201415,0.0023854686441872426,0.00033677823332387707,0.00029291072407073687,0.00019972273347720136,0.003210375565026046,0.00017008976460717925,0.00016135445352007002,0.000280252768215149,3.9670337314645465e-05,0.0029407670795395966,0.0003089903750499807,0.0001997060676228661,0.0062403861348279245,0.00027231193183073114,0.0016169970030242447,0.00023814799106950486,0.00033047692292172734,0.026046330559069093,0.00025747974530897455,0.005634693589759856,0.0001453276775838376,0.00029835277003626847,0.019776651520305336,0.002426991609636542,0.00016514129784031385,0.00023453904424227943,0.00028914126902971287,0.0002813927031295971,0.0002556529615661817,0.0002792255661274923,0.0001925662988284593,0.0002728016237064982,0.00023032033949455628,0.0004466719411020861,0.0004997051291376284,0.0001847391644644716,0.0002998527416640988,0.014939013596809663,0.0003557223023676516,0.00022728621918333727,0.0002410488185719431,0.003351562687813364,0.00020516184660957203,0.17395985864779998,0.0002730548000801812
1956,0.016502165402934702,0.00039826596629627994,0.00068295023241956,0.0006241257325144999,0.00028723656333200004,0.00032295423588496,0.0002269678187524,0.00026444598546566,5.877947943856998e-05,0.00020028885108614513,0.00041427912317703995,0.00020391158146613932,0.00025413755029712003,0.00027119332628044003,0.10814060870786738,0.00028304964487072,0.03420876331178044,0.00036752519956248,0.00109219694337516,0.1819772584999224,0.00043259696814759995,0.10566450541335133,0.03014590071998404,0.00034151265073154,0.00877385847875546,0.00025288121132232,0.00033308331076596,0.00049939049937212,0.00029958451782388,0.01699197844626094,0.2219823638237992,0.00039868209180729996,0.007062598225859219,0.00017041770173751057,0.020315699298016642,0.00037663840367301997,0.0001945256980608122,0.00025631967559018,0.0005022684906187,0.00025545323871140003,0.00040601981441179996,0.0001568990883152353,0.00026347997707386,0.033679881823187444,0.006899102230397294,0.00027508177373484,0.0001777170871100341,0.00897662062739442,0.00027030147797656005,0.00015132846251270194,0.0029494228500327197,0.0002579383777079,0.00017773362435321742,0.00041672573448148,0.00021904470517635999,0.00023614580674602,0.00035995073723466,0.00031306486180122,0.00021346493937006,0.00024486616902766003,0.0001817930320560449,0.00017245667550250097,0.01714207643462506,4.23999111279324e-05,0.00020675014906152003,0.00033025089596778,0.0086347173654388,0.00052694744259978,0.00029104874045108003,0.00032927751433004,0.00025453410129978003,0.00035321585623476,0.03846725658448374,0.000275196004303,0.00014967551340049146,0.00015532715452123082,0.00031888135545648,0.00015272316541143833,0.07629667707408994,0.00017650407901613542,0.00025067683576846,0.00030903604406084,0.00030075432709614,0.0002732435261143,0.00871970831580032,0.00020581609608713637,0.0002915721262708,0.00024616785705826,0.00047740583741082,0.00053408804915268,0.00019745040464402987,0.00032048453475922004,0.00038653361971064,0.00038019827981256,0.00024292496979650002,0.00296952149785768,0.014091466649449361,0.00021927829839442004,0.0005634661367297799,0.00588634435548514
1957,0.00017551965335065427,0.001579992892764287,0.0005192745557335056,0.1038045782425692,0.0002183975225928577,0.0002455551069472258,0.00017257276980623456,0.00020106892874418637,4.469240454545809e-05,0.0004839650656643704,0.014897685381999601,0.00015504218440575711,0.00019323101049137874,0.008838945159110401,0.1260953970119165,0.00091403684868994,0.006658113253149175,0.004694527018755831,0.0008304413054159639,0.13137010812506997,0.002936147261981246,0.09142108733700169,0.000776391697200191,0.004479101322204929,0.0047990618700525164,0.00019227576539146548,0.00025325665035278545,0.0033427666475313615,0.00374489442110376,0.000490188220390408,0.24733660091858825,0.002073846360045108,0.0002583411644315339,0.0012547582406819719,0.00011193426763549423,0.0002863733409191186,0.0001479057193983534,0.00019489016819908826,0.007303047013697415,0.00019423138135936125,0.010526115172781833,0.0003125342332013037,0.0002003344336746019,0.0012196079379303395,0.007151753775971801,0.011371770751802854,0.001257487741717681,0.003949689782561625,0.0014826963407352154,0.001410257208049148,0.003151532413796575,0.006982800638887954,0.00013513802974771607,0.001323136672441409,0.00016654850758782735,0.0001795511635627565,0.0006053624253279002,0.02050389727171944,0.0001623059870166006,0.0042337134865728845,0.00378836274790288,0.00013112575309854943,0.00022774924700540484,3.2238359354670944e-05,0.00015720046162281213,0.00025110305135515534,0.01230576228799423,0.011423550401707732,0.0048647795204577165,0.004745243464047076,0.0001935325241829255,0.01499540436151903,0.0013145340980551144,0.00020924260083755644,0.00011380431843456262,0.005384092190836281,0.013965478777959832,0.00011612157095003434,0.013572016066871318,0.00013420315692922998,0.0001905996899147055,0.005837329011121813,0.0002286756225771921,0.00020775805306836874,0.005072357456449581,0.0001564902635435443,0.00022169402563513416,0.00018717133188010809,0.0003629908774579688,0.004705011090615989,0.0009353738373251833,0.00709641904607942,0.000888081936875115,0.0019278988738557791,0.028556019089816625,0.00019588990064554925,0.0028127779253784586,0.00016672611791546292,0.00208681293266932,0.0002218997710728515
1958,0.00275015652221444,0.0006364216241943666,0.004016211742740443,0.013073422956846449,0.005024616732337219,0.03403657425234582,0.00020282084166279614,0.00023631172754499922,5.252596406734119e-05,0.0013689691161397177,0.0017073592329940465,0.0010237983866445035,0.01158206507412785,0.00024234122260977355,0.14959810511813584,0.000252936154211636,0.005953761704243744,0.0012456536566884193,0.005195368993119068,0.11561418603099231,0.0007593292416207607,0.12306776174650261,0.0005621429668017924,0.0035970833739458813,0.0003150765778758822,0.008348724492778207,0.0002976467668620515,0.06247141505269376,0.003791485766149592,0.0007053540603047387,0.24473717511022264,0.003856565535021189,0.0013369793127657867,0.00015228705941944004,0.009642380822409691,0.00033656805821811667,0.00017383021973164963,0.004525548096291879,0.010145195729563858,0.0028981182277914635,0.0006061408901165795,0.00014020668358687857,0.0007621191112092803,0.00032465519895626214,0.00015752073079499805,0.004480543100169746,0.00015880986733560976,0.006085943149121684,0.007044033126634101,0.0004940554980569651,0.00036484966815729245,0.001352604250210137,0.002311107933923667,0.0016367919298089912,0.010524764488779405,0.0011081087100910155,0.0034217262804211016,0.004380466022891806,0.001485639749316543,0.00021881499663666811,0.001559896371842447,0.0012647759963989344,0.0016672048924387499,3.788900870910256e-05,0.00046528106578037513,0.00684558788979669,0.006242714545705427,0.006553818122265905,0.0002600842305648111,0.000294245866943411,0.006889207661462616,0.00031563742227409467,0.016753632208150456,0.001197909163558137,0.0011671084531318446,0.0022400701786336064,0.004149693298497839,0.0004170019821788037,0.004168660616384288,0.00015772591048260475,0.0036328619231998163,0.0002761578751785249,0.0002687572453692985,0.0022078619348887825,0.0013000442523802467,0.00042191721512708927,0.0008478475794499138,0.007932502913199961,0.00186576910024721,0.0015067227177928612,0.015257095151330578,0.0012247212007519591,0.004509107159526489,0.00033974920116078077,0.00021708032048715296,0.00023022493390344756,0.007524012742804006,0.0010996380532640713,0.003835813196096147,0.0002607937415868824
1959,0.0008688144120370458,0.004926897349278955,0.0006579688096505285,0.0036412054170063893,0.0012863297001273197,0.0035035231623649493,0.002372317470092805,0.0002547728985423612,5.6629403259807955e-05,0.006787376397629385,0.001345214511196839,0.00871125533302693,0.0009627254777754393,0.0002612734304895406,0.13620165820156954,0.000272696060513486,0.016366320731619,0.0066336858598171075,0.008927462215126561,0.15484902924842148,0.00041677313906473364,0.13910930546005934,0.0003036164572771892,0.0003290205663835101,0.008893872029942096,0.0022557731528212613,0.0009017369927108831,0.0012792189927140394,0.002611552841821798,0.00020084785955505252,0.19353475133370948,0.0003840988243697933,0.0003273421094254179,0.00016418404597120912,0.00014183105261376567,0.0003628614654034746,0.0001874102034434777,0.00024694383841204927,0.013499087224953538,0.025758334601840634,0.002313034270068504,0.010924740001117069,0.019134218491667934,0.0020754802392862572,0.00016982658280261976,0.0014655246005845506,0.0001712164294110795,0.005937569317568732,0.0026023659951682552,0.00014579306605253648,0.00022884712605502548,0.0006215008723007856,0.0001712323617436335,0.017208551851486533,0.000857447141999238,0.00262851781708705,0.01616118678673974,0.0003016133602195063,0.0008349900984070858,0.014624652607812231,0.010235853302487583,0.0001661484367530997,0.0002885793253229458,0.0004666542403282776,0.01638407127073583,0.00031817075182199696,0.0002056395111617961,0.004283672954448589,0.0012264917340660405,0.008244769967448757,0.003148270580706378,0.009434214339662506,0.007975148387143745,0.006150684075517306,0.00014420057964846625,0.0001496454911577985,0.00030721709417409125,0.00014713675255051853,0.0047940667381333206,0.0001700477915605486,0.0018114084686327127,0.000936439804757819,0.022100670095231745,0.017023255020703957,0.006111006977798217,0.0012756456210785605,0.00957975219156962,0.0011832525344578572,0.0019029801834564175,0.002828626839156043,0.00019022792810008767,0.00030876163128292655,0.0003723947274311685,0.00036629112594805215,0.00023403909336868037,0.0022603525959015896,0.0017411808337678034,0.0009291413315361635,0.005948694872169014,0.00028116749920142984
1960,0.0001808760404503893,0.0024454619879939006,0.007921787697041813,0.002422578927865524,0.001569627978556482,0.00025304878746685607,0.0026909605309358314,0.007219225780728412,4.6056296363798175e-05,0.025560882678718904,0.0014002405260885157,0.00015977365430448618,0.00019912790050970669,0.016505852331050976,0.07207449831712748,0.00022178179280165242,0.033519671062224796,0.0017833334991715485,0.00567187718971288,0.13666446052514863,0.0034433280020088235,0.10771313850173496,0.0018603811693919026,0.0002675901182574708,0.00027626832759010693,0.00019814350390207346,0.00026098536123487896,0.000391294326864296,0.00023473758989857554,0.00016334815504345443,0.2517994963169404,0.0016705265019021844,0.018948198919958813,0.00013352973268612465,0.00011535020001534101,0.011640968443406587,0.00015241940360543726,0.00020083769124209635,0.018407087239345737,0.0029876390883363186,0.0026423568983909625,0.00012293730702750766,0.044704934851961226,5.151254224486242e-05,0.00013811876830352487,0.00021553861681697096,0.00013924912079912955,0.009952090395703552,0.0023451962072420715,0.015715275481175985,0.0010238268637068788,0.00020210601524173427,0.00013926207845340883,0.0062128588160549735,0.020939548818605717,0.009006380992340248,0.010749567034392568,0.0002453000297710801,0.00016725912860768668,0.0001918633672486516,0.0001424428021686983,0.006457066027728022,0.00023469954063545798,3.3222187255805745e-05,0.0001619977963294128,0.0013183859155077584,0.0001672451716773637,0.011371913350314025,0.001034775451924758,0.00891131755634143,0.00019943861558707087,0.005390972669713042,0.0033831520749923,0.008484575037689922,0.00011727731972825919,0.003044112815147219,0.0007057011511908827,0.00011966528854953473,0.00024915240497535543,0.00013829867583435763,0.00019641627911586859,0.00024214327463103672,0.02345814602531899,0.0002140982693010066,0.001145526591249931,0.00016126592491750804,0.00022845953021726227,0.008841723218562931,0.009168297985860684,0.00041848137668263203,0.00689172723021239,0.00025111366847526415,0.0003028660191278581,0.004648387439849739,0.011599962977282642,0.00020186793283029605,0.005823281283255845,0.0016132874702862363,0.00635273983698478,0.0022932203808256274
1961,0.00011123092434147615,0.0012362957682559112,0.0003290764750192963,0.004652586340028618,0.001757852929883842,0.00015561403524390783,0.004888377984729126,0.00012742209988236253,2.8322625835541513e-05,9.650827537989516e-05,0.01446005527463681,0.026366152504372804,0.00012245502710429818,0.00013067327548150665,0.09362350866199706,0.00320160677760758,0.00209444177843869,0.0036705526167795685,0.011077750955607474,0.1797796067922945,0.016682005485715787,0.14595333685302064,0.0012314835761892027,0.0006165374855998277,0.00016989304590924156,0.005521283055081232,0.0008282770535008172,0.004559322428240801,0.005896042799375652,0.000876776982305159,0.17992929825070522,0.018121135354995953,0.001458467616239699,8.21149974135006e-05,0.000548836829825662,0.0005295070906960274,9.373132620767756e-05,0.00012350647428946204,0.00690015589870903,0.00012308898560527563,0.026604466900602468,0.007711513353091682,0.0003495507562560283,3.1677980537435747e-05,8.493705539469193e-05,0.0018791670316621115,8.56321731814664e-05,0.0063411648254557895,0.000699235571963337,7.291693398705683e-05,0.0001144555858209841,0.00027129161409863143,8.56401415771648e-05,0.016678205794433666,0.001149938815643257,0.0018272806962240822,0.0011693968517271875,0.00015084888515077565,0.00010285711381815208,0.0006578040851557344,0.002437107606724638,8.309746768348949e-05,0.00014433004383773384,2.0430205061473365e-05,0.019379630185055445,0.003458510925559209,0.0001028485309110041,0.001151777275877155,0.004125506458044603,0.006773893777078034,0.0011456704290774913,0.00017019545989297038,0.009328164294976416,0.00013260194775041172,0.0022070140741159696,7.484368561315384e-05,0.00015365153626381792,7.358896525936574e-05,0.0005013489678948232,8.504769072760646e-05,0.00012078749748927542,0.00014890761757728558,0.008500062045410315,0.00013166115498194306,0.002855688008751285,0.025333715589103835,0.011176372430987624,0.00011861486652810964,0.002564144836418333,0.010343990918363152,0.00523096172973216,0.004925919104254292,0.0001862494732598548,0.0010833434998729055,0.00011705229599468216,0.00292139084454837,0.06795121872793643,0.00010565825452351238,0.0002715036048979168,0.00014062309363318013
1962,0.0008423231021943969,0.002321311266711202,0.0005654203883988456,0.0042171430700664,0.0014099832433297293,0.0002673765976214592,0.0015765195439719627,0.00021893711242001936,4.866403804606796e-05,0.0018790181299512365,0.0003429852595589823,0.00016882015719231683,0.0024646195800967596,0.005768651449040208,0.13139959351891312,0.0002343392425125288,0.0006433470105888903,0.004622877405289329,0.005369547475382623,0.16300745427891938,0.003878603951609023,0.2411426932756435,0.0005865133084647233,0.010733668012630034,0.0009431165714303915,0.0006458100849286822,0.00027576254608660766,0.009375575172431896,0.0002480286064566321,0.0001725970488160516,0.1601826039363996,0.00033007234275142267,0.0143060249854382,0.00038587478039748353,0.00012188141395104246,0.00031182218320101725,0.0017230526069592707,0.00021220927037833202,0.0029978050831920623,0.007294356047066284,0.007786894100409762,0.00012989810859324858,0.0013452458007754008,5.442922061844271e-05,0.0005135556608327869,0.0016722365430948875,0.00014713350936695189,0.014705255356327869,0.00622144481883321,0.00012528613944034646,0.0031068240232921445,0.0015036838239946679,0.0171690646471978,0.002949833734524947,0.00018134900084702083,0.00019550715034691432,0.00029800632021257815,0.000584791962559349,0.0010208869846875864,0.00020272681349979283,0.005422161226381422,0.00014277836922193163,0.010065369252555098,0.006716278157365698,0.0015314397964873276,0.001400526020478936,0.00017671471742408625,0.008912653208665985,0.002226104865024672,0.01093614175596499,0.00021073097802134288,0.011205726429253689,0.020530984694087054,0.002144967158173385,0.009455531572986758,0.015851644090373814,0.0005896074878283349,0.003063854767720565,0.0019385427852489311,0.0001461292495028793,0.0016762444854759927,0.0012918803320027452,0.0018133697623758966,0.0002262206722086827,0.0013741879133771816,0.011417707411543045,0.000241395078376707,0.002162080453395022,0.0003952484107903275,0.009247033200680306,0.00016347089316862037,0.00026533191075634545,0.005219187536003848,0.00031476943536366787,0.0013714543461534636,0.00021329784500987494,0.0022895450130125633,0.00018154239468719016,0.0004664984749337238,0.003850591030020646
1963,0.00014996066484397326,0.00422713025670561,0.004796424054801688,0.006215681181871462,0.0082094098061341,0.0026169584392411924,0.004115851502034294,0.0001717894814531389,3.8184343298142544e-05,0.00013011170431779693,0.0004943503513346242,0.005182979280404626,0.00016509291266583606,0.00017617269104398757,0.11436704490882611,0.04889101899484871,0.0029669320392296072,0.012562467621139566,0.005603876929773028,0.15088293978124825,0.0047488611121353,0.18385547333384777,0.00020472394848394007,0.005381799614768255,0.004858380608293669,0.001186571163729845,0.00021637768157613285,0.0007724468238912571,0.00019461618552357398,0.00013542864975568436,0.14742518131783966,0.0021674246904448903,0.0009495899842246302,0.00011070679919898127,9.563451655131261e-05,0.034316202387721345,0.003143539455647431,0.0001665104655619413,0.0012223490413454583,0.0009423490721115079,0.00026375871524264707,0.0015660589391198482,0.010217762592279135,4.270800634295048e-05,0.0001145114757634706,0.005158368097322105,0.00011544862814321936,0.05090301869254379,0.00017559332827777428,0.013607243335872784,0.00015430812830548733,0.00016756200732362535,0.013660453954578579,0.0002707134982922443,0.0018239287493858533,0.0010494703425635642,0.00023383130732474531,0.003548887989809873,0.00013867115879347163,0.0001590700351476405,0.00011809644473787922,0.0011283118033358663,0.00019458463964951286,2.754384315383128e-05,0.0008631772848690724,0.00021453768741406718,0.0001386595873849902,0.0014061566579648059,0.0009211382240728657,0.004334895647662367,0.008214004050275064,0.011583178238553175,0.00032535515443360587,0.017996490747561707,0.016538746416283483,0.0014745671029043324,0.007321114920711139,9.92120691328219e-05,0.0007879692041383999,0.011806584569529037,0.000301272602568461,0.010093017122560652,0.0054192949942766565,0.00017750454248320895,0.001686419684933045,0.00013370231489526815,0.0001894111732876103,0.0040916688442884175,0.000825952698850397,0.0008613629296193092,0.00012826779187734866,0.0008959534924110709,0.015353489456086734,0.0004300012852983036,0.0005309460553486795,0.0013283641537433766,0.0006025487868642094,0.0017551179223935906,0.001491254603649959,0.0007802124704912456
