receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumannSabine,0.0005318630732575,0.0005012382669411,0.0006563829578797,0.1468650959546058,0.0007934279712201,0.0006085450505286,0.1469913129422576,0.065679145836555,0.0008237923456864,0.0004019485014379,0.0011083992919827,0.0004998522746145,0.2541038460878448,0.0006185191986201,0.0005926165656531,0.0007535015634958,0.002762316233936,0.3744201263855584,0.0006183131701376,0.0006697563277864
BaumgärtnerKlaus,0.004173824048740034,0.006378284714624948,0.014726372421379648,0.015030552468881188,0.03700551714667177,0.01203487703034294,0.02337406435049832,0.011572097704842788,0.0066405865313969685,0.000651362888278675,0.00433862968674908,0.019625240870841013,0.6733219567478258,0.0038229969987734567,0.02124428176410552,0.02394433651382685,0.07964200667223004,0.02590482644955813,0.0022794250864848977,0.014288759903946957
BaumgärtnerKlaus+BaumgärtnerSabine,0.007518204195726361,0.012936963623628641,0.02178883370018688,0.015706897973896787,0.016516104480605344,0.006077486727777984,0.009049182598775673,0.02303206260984575,0.033079708830552404,0.06264250756482975,0.004863523420650165,0.004079573423582085,0.6410960671078708,0.003732146948917174,0.05526310221993526,0.019999831504429317,0.017658839061154962,0.007444740028527583,0.019633013605194795,0.01788121037391146
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.1771175244947213,0.0004194952204745,0.0005493385716774,0.0006023501745051,0.0278444030314225,0.0005093021761848,0.0007079834163279,0.0006073071986658,0.2724931369722209,0.0003363978497873,0.0009276390811134,0.0004183352588456,0.5116480877617527,0.0005176497181197,0.0004959713438933,0.0006306188600395,0.0023118315858983,0.0007846190123239,0.0005174772892183,0.000560530982807
BaumgärtnerSabine,0.0011491674596429,0.001082998115226625,0.001418210765488475,0.052158671606659046,0.03211030060725345,0.013461080020755774,0.00182777935974455,0.03800655663302488,0.005906526054197749,0.000868468148156375,0.060312103040432795,0.0010800034773939251,0.6808935820893313,0.00133640061128015,0.0012804342086073501,0.001628049626111675,0.051948103819834224,0.05074850302547626,0.001335955456803825,0.001447105874578
BaumgärtnerSabine+BaumgärtnerKlaus,0.028661685476311472,0.0005878717015917,0.0007698314190962,0.029049275218102896,0.000930563131937575,0.00071372526390035,0.0009921529384401251,0.000851067423044125,0.06264954643739443,0.00047142080937785,0.001299973726661875,0.0055286651766226005,0.6905358518826551,0.000725423332059125,0.0006950437183657751,0.000883735890692425,0.04838668306234516,0.0010995484367005,0.015162276227179224,0.11000565872752055
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,0.0002002259639043,0.0001886969037526,0.0002471029049393,0.0002709485289853,0.0002986950745673,0.000229093775161,0.0064315870318424,0.0002731782924374,0.0003101260921572,0.0001513181309005,0.0004172696466196,0.0001881751310191,0.395203322699668,0.0002328486577919,0.0002230973140452,0.5932565631050903,0.0010399056794092,0.0003529365080333,0.0002327710960028,0.0002521374636722
BierwischHedwig+BierwischWilhelm,0.0004775774971191,0.0004500784676024,0.0005893880322541,0.0006462644394248,0.0152934205420517,0.0151274080343904,0.2923791037814083,0.0006515828548184,0.1028065371976927,0.0003609228933902,0.0009952684935085,0.0004488339391145,0.5635307035196491,0.0005553889067499,0.0005321300733337,0.0006765940499793,0.0024803753815338,0.0008418215643055,0.0005552039069409,0.0006013964247318
BierwischManfred,0.01956521481428772,0.008434423663067061,0.02547506274176306,0.015856530083984067,0.04609396435765446,0.018656788990725166,0.016087689253491376,0.015134046394648753,0.020456975421985612,0.0050334050962529435,0.029432789573798523,0.017343403208352842,0.6022969116892262,0.016197332589740168,0.006579880990068027,0.04931023487572179,0.04662077738308515,0.01625080173276503,0.0138033422592237,0.011370424880157586
BierwischManfred+BaumgärtnerKlaus,0.09689321400031829,0.0004252747832529,0.021223040394810853,0.0006106490071931,0.0006731826573151,0.0005163190473117,0.0007177376027906,0.0006156743263687,0.0006989452608939,0.000341032545003,0.0009404195564163,0.0004240988403428,0.6082505240355975,0.0625231816578997,0.15894316026206973,0.0144167293981315,0.02989852713736995,0.000795429039751,0.0005246067923293,0.0005682536548333
BierwischManfred+ZeibigBrigitte,0.00030462004960085,0.0002870799523687,0.0003759377539822,0.00041221604196260003,0.00045442911926084996,0.0003485389995982,0.00048450574766344996,0.0004156083625195,0.00047182005636685,0.0002302125840305,0.07147389701927895,0.00028628613705705,0.6895240717124937,0.0003542516080479,0.00033941609542075,0.2154304914452781,0.0104480283695005,0.0005369510251649,0.0003541336069876,0.0074675043134159
DohertyMonika,0.0008771233612676,0.08126744289952044,0.00108247565067472,0.00118693539958518,0.03410271403915098,0.00100358364218314,0.0013950864708377,0.028730679027288143,0.0350265539285249,0.05965793259412888,0.00641691551838174,0.00082433266998948,0.6026053836215945,0.00102003253427522,0.00097731514020136,0.0012426390500209,0.027582875766385222,0.01340568294912336,0.06831064271251722,0.033283653024348284
JohnsonUwe,0.013377842524528139,0.015450882640599298,0.020655264748096452,0.016475274126221132,0.020091775287552252,0.011732341383597047,0.025630155128958252,0.026361352627322997,0.012770807972063508,0.008362923808792399,0.041119597298538924,0.015368155012222223,0.5653915207378906,0.015305509547151434,0.015813781642838778,0.011434083306496853,0.08898230658253027,0.03469221913941326,0.021331502381220606,0.019652704103964667
JohnsonUwe+BaumgärtnerKlaus+BaumgärtnerSabine,0.0018628427983652,0.001755579852757,0.0022989719112611,0.0025208245030056,0.0027789701081456,0.0021314203257523,0.3442109451112772,0.0025415695587807,0.0028853208949276,0.001407818870807,0.0038821526490589,0.0017507254344793,0.6056217095762374,0.0021663546366234,0.002075631035555,0.0026391284367953,0.0096749730559011,0.0032836162675892,0.0021656330248136,0.0023458119478665
JohnsonUwe+BaumgärtnerKlaus+SpottMargot,0.0003322441745681,0.0408882587787109,0.0004100292443799,0.0004495973879101,0.000495638510421,0.0003801458649161,0.0309598015828364,0.0816035879477664,0.0005146065250061,0.0408262344573369,0.0006923947654445,0.0510311793034726,0.6050601650276373,0.0308177354937612,0.0003701956604825,0.0004706972857998,0.1133072130346504,0.0005856438221094,0.0003862478129545,0.0004183833198351
JohnsonUwe+SchmidtElisabeth,0.039946484325971386,0.0041337219420113334,0.0007278875348264,0.0007981292525736835,0.0008798618597583334,0.0040907506899668005,0.07565130241620806,0.02397159555466262,0.00337206142761385,0.00044573567964633335,0.0012291453008633167,0.0005543048240036667,0.5051051316360133,0.002862200728476767,0.02144474641068737,0.054891681589536584,0.009099642983401733,0.07286766472493666,0.0006856705277906001,0.17724228059105027
JäckelIne,0.0006349722451146,0.0005984103873721,0.0589428710016596,0.0008592531777872,0.0009472451944008,0.1945906498833475,0.0010099391119131,0.0008663243781334,0.020369909109516,0.0198662848755008,0.0013232781561675,0.0005967557008493,0.6910937266347794,0.0007384278848105,0.0007075036604444,0.0008995784883879,0.0032978302667946,0.00111925987279,0.0007381819147955,0.0007995980554348
KlemmEberhardt,0.002367327337117878,0.03665891800263753,0.004421054953918816,0.028520266335564804,0.0135334565353502,0.003835649238326116,0.04027687301742557,0.030929459254040257,0.022866785729256777,0.0018204622150077,0.007680978585974303,0.0008640612730533562,0.6150277476753695,0.03439718384071509,0.013594025922915382,0.028011169336293926,0.038996677800324425,0.02375389007580311,0.03298492926121141,0.019459083609692878
