sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumgärtnerKlaus,0.016572872559387962,0.007583676853063075,0.017347654724085376,0.002895196696816477,0.014404363921786617,0.004490557351713403,0.04970659763125075,0.05249036875744338,0.01367638643838737,0.01244468773573845,0.010741903629646655,0.023620450517371775,0.6000408196285646,0.009457162694882058,0.02366815641878301,0.014935624109972245,0.04993428878891688,0.027590361291732673,0.021158318971511617,0.027240551278944744
BaumgärtnerKlaus+BaumannSabine,0.005746952238345566,0.037569742936377735,0.0014698890651327666,0.001611734512256,0.001776784550644367,0.010474582284343767,0.09301258537098737,0.09231303777115939,0.0018447818401255832,0.010213375215790917,0.01196123658993845,0.0011193578136321168,0.5458973638636682,0.003713413045132067,0.0013270920568746833,0.05574346987332776,0.03566548948474912,0.030536776439290505,0.05650249796272507,0.0014998370854976502
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0009753130244569,0.0009191542610953,0.0012036534966242,0.0013198070026676,0.0014549621382058,0.0011159299142808,0.0015512595665964,0.001330668318023,0.0015106433301995,0.0007370799521995,0.002032546194923,0.0009166126739164,0.5552994751384878,0.0011342201792581,0.0010867207821939,0.0013817464038725,0.0050654447283318,0.4186027433808155,0.0011338423709978,0.0012281771428532
BaumgärtnerKlaus+BaumgärtnerSabine,0.021085599217641783,0.04056465505000713,0.013217541864361486,0.016763800107662173,0.008969335086331496,0.012022175510830766,0.007179677309863806,0.042594336318648084,0.0074782258940572005,0.00568034169695201,0.02874753361162886,0.013948522887885577,0.5266973401433639,0.036692962457053335,0.021233907587784057,0.02703695967145964,0.04967192888643456,0.023408311460650037,0.02598728937292814,0.07101955586445499
BaumgärtnerKlaus+BierwischManfred,0.0017625957392954,0.0016611050439564,0.0021752549915133,0.0023851688035127,0.0026294225559694,0.0020167200303297,0.0028034522600031,0.0024047974844475,0.0027300501794153,0.0013320584783438,0.0036732384098812,0.1092845512835385,0.4115887118265138,0.0020497743855071,0.0019639329860948,0.0024971063270776,0.0091543238651669,0.0031069116770416,0.0020490916065293,0.4327317320658615
BaumgärtnerSabine,0.0003131830056274,0.0002951498512853,0.0003865054709144,0.3924587316711257,0.0004672032507421,0.0003583365297706,0.0769927454625346,0.0004272912315138,0.0004850830520246,0.0002366839250876,0.0006526714095272,0.0002943337216,0.5225381418465899,0.0003642097212647,0.0003489571781683,0.0004436929282479,0.0016265662049801,0.0005520448708356,0.0003640884031611,0.0003943802649983
BierwischHedwig,0.000769176384497,0.0007248870194654,0.0009492561070187,0.0010408600655272,0.0011474495766817,0.0008800732844684,0.0012233941257121,0.001049425794751,0.0011913623071264,0.0005812949058419,0.0016029587366627,0.0007228826077657,0.860643200153352,0.0008944978225746,0.0008570376291972,0.0010897083055097,0.0039948410041765,0.118774897729741,0.0008941998657296,0.0009685965742001
BierwischManfred,0.013159132648452648,0.006789634429915767,0.012968615788652415,0.014196256260964268,0.03238596225011756,0.00453801290754562,0.018240238570515495,0.016008432381335685,0.007317895497378445,0.0070649990668087805,0.07533673881555414,0.01531381501966842,0.5247001895689256,0.015175548189271987,0.015066435734807872,0.008793441231526382,0.13204700891188592,0.050338981243175686,0.01738450413413674,0.013174157349359604
BierwischManfred+BaumgärtnerKlaus,0.037024637152235106,0.0009820960616233334,0.0012860772218856668,0.0014101846820339665,0.0015545949643320002,0.008053525092185033,0.0016574866433132667,0.025410147551477535,0.05558789412556694,0.0007875536771097667,0.0021717307938308,0.0009793804317620332,0.5228722311999549,0.0012118892532094665,0.15210706603886592,0.0014763655665246333,0.029400673798113498,0.15350269997539998,0.0012114855734136666,0.0013122801971614667
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0011459265823795,0.0010799438484716,0.0014142111334192,0.0015506836164827,0.0017094817240385,0.0013111418803814,0.2467275681048256,0.0015634449245687,0.1417205853101789,0.0008660188979172,0.0023881037741433,0.001076957656104,0.5824663388350415,0.0013326316998656,0.0012768231334076,0.0016234582073653,0.0059515536245421,0.002019914493411,0.0013321878008121,0.001443024752643
BierwischManfred+DohertyMonika,0.000280946645271,0.0002647696684714,0.0003467219276946,0.0003801808655341,0.0261519594865459,0.0003214524546613,0.0004468526106504,0.0003833095534895,0.0261679988951286,0.0002123217210006,0.0005854910377518,0.0002640375441445,0.494485413590101,0.0003267211104237,0.0003130385327046,0.0003980230008714,0.4474951407894726,0.0004952221280004,0.0003266122797605,0.0003537861583211
BierwischManfred+KlemmEberhardt,0.0018628427983652,0.001755579852757,0.0022989719112611,0.0025208245030056,0.0027789701081456,0.0021314203257523,0.3442109451112772,0.0025415695587807,0.0028853208949276,0.001407818870807,0.0038821526490589,0.0017507254344793,0.6056217095762374,0.0021663546366234,0.002075631035555,0.0026391284367953,0.0096749730559011,0.0032836162675892,0.0021656330248136,0.0023458119478665
BierwischManfred+ZeibigBrigitte,0.0007185532674498,0.1761830595170528,0.1105779565480637,0.000972356167086,0.0010719305209789,0.0008221515206341,0.1985869926154174,0.0009803581453655,0.0011129531480117,0.0005430371529383,0.0014974604798474,0.0006753063019899,0.452988460145363,0.0008356267120161,0.0008006319502253,0.001017989474551,0.0037319217208815,0.0012665873900891,0.000835348365113,0.0447813188569246
