year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0010429012418434363,0.03975136366792751,0.044433683491127855,0.037604243034260035,0.004110670313973427,0.002538419645235127,0.004784586833322563,0.006905107008915528,0.029397364864008735,0.017234832976822954,0.02094105370654351,0.000980133015704582,0.5828574277850302,0.03250142933942686,0.008558268530602209,0.07105867355935293,0.061350300892125495,0.009510007505613845,0.0036105341458588817,0.02082899844230331
1955,0.009730695099474319,0.002356420280418981,0.024270541360377637,0.00989773247372133,0.01308316007135197,0.025531811687060445,0.017154004138404174,0.005220548254672768,0.012968574683957982,0.026168232776764982,0.0029682455997221,0.0012697621148851125,0.5119730573115184,0.00127890940215485,0.006162744919011294,0.020119958947057516,0.27191266919963464,0.006618742294662932,0.00103963264560315,0.030274556739544423
1956,0.03952602496187096,0.00089458507389054,0.009437932926338901,0.0012845282832022,0.0014160706934696799,0.0010861008723758998,0.0188596006051727,0.00129509927330804,0.01546483171207724,0.00071737764966234,0.00197821580656602,0.0008921114238728999,0.6015159747414205,0.025903262259131022,0.04882464594102354,0.04528164413903012,0.13575993019387025,0.0429741852469167,0.0056925304879385,0.00119534770886092
1957,0.008298594764400806,0.014986705025781026,0.029496764736724253,0.011563450794805417,0.00229294240110565,0.002255901178944767,0.010562456638444464,0.023804173325483808,0.010662861400216543,0.009464811783710409,0.011585868798163137,0.008228981774875303,0.5749344037882531,0.010831582024166514,0.0012014971342988415,0.025928582732716875,0.045730821169352565,0.18248262775179966,0.011246558207816011,0.004440414568939937
1958,0.00905113596202885,0.006101880004778941,0.008190770998227728,0.018391848010754625,0.0031786157990164594,0.008043638657360701,0.0433644975842305,0.04007944392296945,0.008555241013659023,0.012050407384130041,0.010313176018106506,0.005087954462117198,0.5460452051688264,0.001882769001044212,0.011700909771546539,0.023150244667139535,0.10360533050963615,0.10687020835325142,0.020420469551177232,0.013916253159997566
1959,0.01633278858885126,0.032049251798500836,0.005343748623356597,0.01664027505870128,0.014291586570245011,0.006933231640742518,0.04230225295865275,0.04243244271135928,0.006752668720397654,0.0006962368808783821,0.01476212839476308,0.025249231005601547,0.5755996369984312,0.00107137077528625,0.04105614804129931,0.015106986768081579,0.07516620772408922,0.005446734643994521,0.03109994779856779,0.031667124298199026
1960,0.047445447337728014,0.018873494283631994,0.001855801711421524,0.001928861197987664,0.01459364673509664,0.012808321689486932,0.0364753573000815,0.03100526455608589,0.03266278619341523,0.007945528702548664,0.008164277215710324,0.014912338965129928,0.531688591047758,0.027182424819202602,0.014479428141507884,0.027632698638876567,0.03917520227996066,0.01612930341668194,0.023819442779191225,0.09122178298849583
1961,0.007178921656720137,0.006275078605623083,0.021642215469022983,0.0024286647708415634,0.00833890942854246,0.006948539623485641,0.020302984437139106,0.012957057134266349,0.01128636193889558,0.00958117882950859,0.015201990150955054,0.012053763901392504,0.5748865800356331,0.013123769618243863,0.10383410598323507,0.04157932814371831,0.020218989920118828,0.015737728702024615,0.0021782571656163868,0.09424557448501587
1962,0.007315813937355528,0.03485029401238974,0.02981452145433537,0.004758675737089478,0.02036215041042941,0.017627623212958327,0.0335093990544275,0.0072953003202356715,0.007636463233996793,0.005297969218677662,0.014095682943971436,0.00279843704306055,0.7016078028546506,0.001958140135929202,0.006888351195992358,0.01030557410748852,0.0554205725259282,0.007425621827363238,0.01451323702302617,0.016518369750693325
1963,0.012727726134950218,0.013237813828673176,0.018424842894255472,0.0028925414836889346,0.021546747488536116,0.023930284171167174,0.024926145857966438,0.002424301443577725,0.0037239249921798686,0.011179165125865812,0.07448759414012159,0.0070425961546390844,0.5562447995053408,0.09009957823471765,0.0167110019322692,0.0053781637208011185,0.052189896515888935,0.01828886994793735,0.0301670464077968,0.014376960019625665
