receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
BaumannSabine,0.0002846600747548,0.0004302048587611,0.2161410622988693,0.000506148534291,0.0003337907263883,0.0002896642580238,0.0005424534183055,0.0007170249737973,0.000271660701928,0.0002486582462581,0.0001952433698698,0.0003863553610436,0.0003637129359549,0.0002355233556904,0.000335633987289,0.0003425117452192,0.0002575837051813,0.0003217044892436,0.0004036310235611,0.0005288252183446,0.0003180008375074,0.0009647521845439,0.0001426180987099,0.000312960535799,0.0004445186740754,0.0003676127573351,0.0164461587519379,0.5185221843820664,0.0003922084778849,0.0003920075290966,0.0003470837265338,0.0004927448310211,0.0002137862372517,0.1059911457179661,0.1300163545128383,0.0002379547196062,0.0004684816170133,0.0001577899020438,0.0003765324834785,0.0002590507405143
BaumgärtnerKlaus,0.001731347051124034,0.031007438018002043,0.161474490968782,0.01808720036246184,0.0010624580653867386,0.018062679186383386,0.011214748740977477,0.006370318227334776,0.018290182900967858,0.008024830605394119,0.004832202172065024,0.008615757706521725,0.002014097597405668,0.008441224284805714,0.002279482442300725,0.004899568316330322,0.0004161937463680212,0.003476390707843093,0.010852770579349882,0.009360582935737029,0.007214414191067649,0.00830628287073709,0.0024539775289307945,0.0013882324188658297,0.005847879343065077,0.010163198805763227,0.0004075050266143919,0.004683530172635327,0.004644259195724466,0.0006333905400744773,0.0009229836665059523,0.020813323735374003,0.0019784683437147105,0.5536888274553059,0.0062254336864873494,0.015852465743713285,0.009001701279557623,0.0014589985640837105,0.006388022082487818,0.007413140733747967
BaumgärtnerKlaus+BaumgärtnerSabine,0.01588421536344642,0.010510270396955375,0.06908541656149893,0.005209207424019051,0.008797487486057754,0.02197732311474942,0.015237998402981045,0.007163800843894799,0.023765317643240736,0.012490796815460403,0.00021234415986754504,0.0004201950857836065,0.006838138932274529,0.0002561521506548712,0.015639067383427994,0.005661950634051913,0.007330682731920732,0.007917019011123867,0.010783800456765816,0.012055697098325479,0.003916036236180027,0.005982393329639958,0.012854132137662738,0.0003403718246116916,0.025654177861584516,0.003822051922543261,0.02692862000582158,0.0011073544154241853,0.0012088126877223613,0.0037384164361852212,0.01087516754840066,0.02058022420407998,0.010667396886330777,0.572353936915475,0.005339882487401474,0.0030994538252807065,0.007623582258639771,0.00017161025343611678,0.00042769042931111915,0.026071806637767078
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0002383434119775,0.00036020679744,0.0047053088937078,0.0004237937783662,0.000279480080522,0.0002425333712316,0.4750211519779907,0.0006003587924129,0.0002274591498422,0.0002081993931905,0.0001634755804124,0.0003234919932705,0.0003045336871022,0.0001972016632259,0.0002810234268891,0.0002867821139591,0.000215672602544,0.0002693603789743,0.0003379567556793,0.0004427807692687,0.0002662593434942,0.0008077786376437,0.0001194128972444,0.000262039142584,0.0003721916308711,0.000307798973724,0.0002111700870247,0.0002643358835853,0.0003283927572426,0.0003282245045648,0.0002906101942649,0.0004125709738573,0.0001790013624647,0.5090762035239836,0.0003891180129316,0.0001992374231474,0.0003922555951827,0.0001321161166037,0.0003152673830706,0.000216900938506
BaumgärtnerSabine,0.036754655831776326,0.0009258148960092001,0.15834862429891797,0.00108924816421015,0.00071832853661855,0.000623366936608175,0.00116737745943785,0.0015430611440879751,0.000584622696334925,0.000535120661036425,0.000420170103827,0.00083144934587045,0.000782722108132375,0.000506853947870725,0.00072229529423255,0.0079310415134273,0.000554328539925925,0.00069231855984245,0.000868627135408125,0.00936830577604945,0.0006843481804356,0.12279986450707757,0.000306918802838275,0.0078674463463362,0.00095661869370415,0.00079111465101515,0.000542756032225175,0.0450517191515499,0.029649943711250126,0.0008436129959817249,0.0007469355067554,0.001060402957336725,0.0004600749595888,0.5374603130487094,0.001000123415876475,0.00051208632236635,0.001008187728949425,0.000339569018752425,0.0223921453717852,0.000557485647840025
BaumgärtnerSabine+BaumgärtnerKlaus,0.000333644019484175,0.000504233965378975,0.15063498248697257,0.00059324593230135,0.0003912290113557,0.00033950931626505,0.020631191233014448,0.0008404097221373251,0.00031840773106395003,0.0002914470419883,0.0002288406013984,0.00045283890169322497,0.00042630019680459997,0.000276051916106,0.00039338945825495,0.00040145073204909997,0.011474731480723427,0.00037706298984775,0.029291050476734647,0.009088032654315025,0.005959133567495599,0.0011307655172038,0.000167159640303475,0.010218750247716249,0.000521010883883325,0.000430871094503125,0.000295605555216225,0.00037002947118002503,0.00045969921545902496,0.005385431617525501,0.0580427357309566,0.0005775357367680251,0.000250574301888,0.5748718165887425,0.0061311167574628,0.00027890166604162503,0.1066909167721545,0.00018494218831799998,0.000441325715811525,0.00030362786347895
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,0.0062141629313361,0.0001622322917105,0.002119207773027,0.0001908710117789,0.0001258740653223,0.1100319265827636,0.0002045617556513,0.0002703935168184,0.0001024445385586,9.3770203477824e-05,7.36272003679448e-05,0.0001456964382439,0.000137157872402,8.881697397615884e-05,0.0001265691677463,0.0001291628028671,9.713603635065292e-05,0.0001213162879978,0.000152211172478,0.0001994224968388,0.0001199196233702,0.000363812622391,5.378196113298243e-05,0.0001180189017014,0.000167630099323,0.5131111949968412,9.510816398305142e-05,0.0001190533229249,0.0001479036763526,0.0001478278976119,0.0001308869186953,0.0001858164117329,8.061980356381279e-05,0.3636310257082437,0.0001752535139047,8.973385283517454e-05,0.0001766666387059,5.950332009515214e-05,0.0001419921845468,9.768926232950831e-05
BierwischHedwig+BierwischWilhelm,0.0002556771134922,0.0003864031040993,0.005047505974891,0.0004546144954024,0.0002998054767848,0.0002601717906425,0.0004872229599315,0.1024600592944835,0.0002440012853157,0.0002233408485686,0.0001753644633158,0.0003470181885499,0.0003266811254962,0.0002115433005306,0.0003014610641618,0.0003076385560225,0.0002313575526182,0.0148340982357686,0.014907683334876,0.0004749823293088,0.0875565137918648,0.0008665249385324,0.0001280972888148,0.0002810961336921,0.0003992595434358,0.0003301838825108,0.0002265275883164,0.0002835599068871,0.0003522753642188,0.0003520948752401,0.0003117450363095,0.0004425755041069,0.0001920193693899,0.6479151871825648,0.000417416909193,0.1165749144992959,0.0004207826744418,0.0001417243592293,0.0003381954374696,0.0002326752202246
BierwischManfred,0.0013991986228596533,0.029337914189029122,0.10518729487998525,0.002701600193265822,0.0027045945991036567,0.027821303292775823,0.013578174465288272,0.005060780976295182,0.005329241628287377,0.009774648792536112,0.0076936039233895534,0.011655975535222156,0.018572817263657955,0.008293498024117333,0.009762130296454886,0.003791078509399332,0.009513276805014823,0.004967781624422597,0.013178184650337673,0.008638821969244115,0.012396452946426856,0.012208958399500282,0.0006896228567268178,0.016516517107266232,0.018670052515692304,0.016524054442234495,0.0005113534083066533,0.010061067738071382,0.004460238415947319,0.01810472671906918,0.0008526649928855772,0.004848582264086205,0.005447591202446368,0.5230408780927523,0.016087112970213268,0.00663192008764817,0.012408690803666262,0.006554491908857446,0.011402880022656922,0.003620222864857401
BierwischManfred+BaumgärtnerKlaus,0.0002416195449208,0.03472873570112965,0.0047699853928277,0.0004296190065399,0.0002833216547077,0.0002458670969711,0.0004604346014615,0.028099473147602798,0.0002305856739104,0.000211061183601,0.0001657226227366,0.0003279385301697,0.06903587504587065,0.0001999122850971,0.0002848862150359,0.0002907240577421,0.0002186371154386,0.0002730628534998,0.0003426021169733,0.0004488669818173,0.0002699191929502,0.0008188819032373,0.0001210542789938,0.01401107206595135,0.0003773075652826,0.0003120298033045,0.0002140727109026,0.0002679692942557,0.0003329066572552,0.0003327360918718,0.000294604756662,0.19972699263442956,0.0001814618133561,0.5573099686423844,0.0003944666077613,0.0826745625217685,0.000397647317433,0.0001339321095794,0.0003196008691572,0.0002198823354079
