sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
BaumgärtnerKlaus,0.005231821397115394,0.004251171899452881,0.09631262756360076,0.05155625660291144,0.010024360996899719,0.0019399477158830811,0.010281007081678973,0.019288861383441516,0.0050530702716703015,0.00043522643309284987,0.0024994332767155777,0.007712185240149662,0.004246228346644429,0.008520332435678242,0.011954039292009014,0.014562539210191596,0.0023604513775969094,0.008170993956575735,0.005910322533983473,0.039560875041614145,0.01739672317920196,0.012846785442800235,0.00024962440349381913,0.0038320719562862007,0.009990212677111325,0.004173045778406833,0.008778253021991403,0.006635142630154945,0.010124911980001457,0.007813391744981545,0.02733781014239338,0.02618580239296433,0.009620745349243181,0.5148163193779441,0.005341147810154881,0.004280615292236893,0.0035160220917958636,0.009376949186380337,0.0030291059863535577,0.004783567499196211
BaumgärtnerKlaus+BaumannSabine,0.0006346832297716834,0.00095919250164315,0.03724329560078047,0.10264904151078731,0.0007442258155608666,0.0006458406469200499,0.008871789418585983,0.0015986917961313166,0.02151120135121648,0.0005544129045158166,0.00043531813404896666,0.0008614248717458001,0.0008109409129483501,0.0005251271159294667,0.0007483355832644667,0.0007636703562229666,0.00057431326848995,0.00071727812353395,0.0008999430000518668,0.1539604066080536,0.00070902039491535,0.0021510288471013835,0.00031798388162123336,0.0006977824474439666,0.0009911068420783,0.0008196360249384501,0.00056232354715405,0.0007038984251608833,0.0008744750864772833,0.0008740270474394333,0.09293634364645038,0.05160755463093395,0.00047666164514485,0.4738129600672177,0.010425086003740184,0.0005305481287081333,0.024031511571776267,0.0003518112075984833,0.0008395236070036666,0.0005775841968917
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0005208123827818,0.0007871002555195,0.0102817322128757,0.4453514373164347,0.0006107015313283,0.0005299680067816,0.0009924695536569,0.0013118646351762,0.0004970288074336,0.0004549436511025,0.0003572161103796,0.0007068734748243,0.000665447028307,0.0004309121332998,0.000614073950529,0.0006266574556057,0.000471273617759,0.0005885886236026,0.0007384809244029,0.0009675354799172,0.0005818124443742,0.0017651048692342,0.0002609332266947,0.0005725907382921,0.0008132887270392,0.0006725821183515,0.0004614350163198,0.0005776094260065,0.0007175823026479,0.0007172146479377,0.0006350223254756,0.0009015230174748,0.0003911420304549,0.4902043649253986,0.0008502751463393,0.0004353605422855,0.0304854905827091,0.0002886914680015,0.0006889015963482,0.0004739576968947
BaumgärtnerKlaus+BaumgärtnerSabine,0.00036506616187728235,0.003192210610470932,0.10951376257690106,0.01644902667000839,0.015058610491338484,0.0005296856463961309,0.0011758641269497287,0.007319593609021289,0.02635349628821308,0.0021902165772912535,0.012705535577296968,0.01935459357458329,0.00046644857263016546,0.01933439886330372,0.018345297174141895,0.05967118083600166,0.0008049471116724625,0.018682595614147014,0.002116953973535432,0.002771898680219793,0.010655003142734846,0.006662669000612404,0.0001829025090895622,0.013545115225318318,0.01107513438624391,0.004110091397793464,0.00032344528650395235,0.004676834240682273,0.0005029930656784358,0.004719720889729361,0.042819254592615395,0.016375450962431894,0.032733433709180595,0.4533448792440738,0.02256339674697874,0.00046337004966619813,0.014392042964534271,0.0053506667110153755,0.0043820998948696,0.014720113244245785
BaumgärtnerKlaus+BierwischManfred,0.0009374301386534,0.1080751677163047,0.0185064832798931,0.0016668262702043,0.0010992250570755,0.0009539096966656,0.0017863839302831,0.0023612753603881,0.0008946211712143,0.000818870487784,0.0006429669473174,0.0012723286185624,0.001197763572134,0.0007756152392328,0.0011052952034533,0.0011279447357969,0.0008482634196979,0.0010594231882247,0.0013292200766393,0.001741504136761,0.0010472264839149,0.0031770798026459,0.0004696637003391,0.0010306279822339,0.001463869503412,0.0012106062937566,0.0008305545444557,0.0010396613103104,0.0012916038475764,0.0012909420917939,0.3744475264426319,0.0016226857793907,0.0007040315091666,0.4557038526004134,0.0015304427749375,0.0007836221008015,0.0015427832216078,0.0005196268211427,0.0012399803467303,0.0008530945964508
BaumgärtnerSabine,0.0001678083884772,0.0002536076902459,0.0128592337251112,0.0002983768269669,0.0001967711275708,0.0001707583769178,0.0003197787186287,0.0004226894321394,0.0001601451999983,0.0001465851494,0.0001150968406333,0.0002277582150294,0.0002144104040705,0.0001388420726061,0.0001978577381239,0.0002019122072151,0.0001518467473941,0.0001896462366644,0.0002379422954257,0.0003117448337389,0.0001874629173849,0.0005687257319372,8.407400768381873e-05,0.0001844916369626,0.0002620457484559,0.0002167093662334,0.0001486767001622,0.0001861086835718,0.0002312086536114,0.000231090193401,0.0002046074106686,0.0002904752838816,0.5251784411456836,0.406152925377251,0.0002739629601496,0.0478723129363116,0.0002761720105987,9.301785367258747e-05,0.0002219675847282,0.0001527115712907
BierwischHedwig,0.000411171381576,0.000621400546915,0.0081172302708737,0.0007310958247529,0.0004821371393392,0.0004183995710231,0.0007835356666629,0.0244267131166313,0.0003923947052563,0.0003591692819666,0.0002820152640024,0.0005580630431452,0.0005253576586125,0.0003401968598373,0.0004847995995798,0.0004947340353545,0.0003720614772623,0.0004646794230466,0.000583016518026,0.0007638506939418,0.0004593297595838,0.0013935164210824,0.0002060017750463,0.0004520493996008,0.000642075842611,0.0239220118377251,0.0003642940902333,0.0004560115572404,0.0005665174572045,0.0005662272008664,0.0005013379395912,0.0007117351216531,0.0003087991268479,0.9016094044342085,0.000671275910862,0.0003437087933644,0.000676688621951,0.0236189375363127,0.000543874589977,0.0003741805062312
BierwischManfred,0.007892078225916309,0.019539092107025233,0.16868942575278287,0.012770282366931804,0.013200151404398976,0.004502610466971939,0.009632799697121748,0.043065409135108555,0.0029801617273081003,0.004459255907683251,0.01023116228783105,0.01249648348732152,0.006812506558647577,0.005172175426656024,0.0062165900629402695,0.004480736168205525,0.0012348304749657754,0.009338509831774802,0.008455344896532664,0.005359521503061131,0.004133024068733236,0.07489779774006516,0.002193825292125105,0.018756334680554956,0.0031589976855596093,0.0022065410421258235,0.0027387945992885586,0.004379560157424939,0.0025064696390318755,0.008401064814838077,0.012939314184066719,0.011046306596424053,0.010491170779488322,0.42686349182538635,0.02893370489226698,0.0018593469355935497,0.008378113228471856,0.004994140495453308,0.006166448986022241,0.008426424867892364
BierwischManfred+BaumgärtnerKlaus,0.0005553671053097001,0.0008393225755531,0.0912304381725589,0.038543111437580234,0.0006512201953618001,0.0005651301842344,0.019836129664241232,0.0645697437898923,0.0005300055435808667,0.0004851281324040333,0.0003809165905999667,0.0007537729295846333,0.0007095979321264334,0.09612219124625156,0.0006548163669415666,0.06220486984506563,0.0005025415553787,0.0006276401462700334,0.0007874774618865,0.0010317292686014667,0.0006204143828904001,0.020677455613276333,0.00027824555555793336,0.0125684169710433,0.0008672485928700001,0.0007172064192421667,0.0004920501850077,0.0006159325037693,0.0007651922638904999,0.07597624309897909,0.0006771546191408001,0.0009613370287219,0.0004170934186672333,0.4929731486638053,0.0009066889773569333,0.0004642457286513,0.006892917965624567,0.00030784549333333334,0.0007346086576582333,0.0005054037170885334
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0006113838910515,0.0009239803675496,0.0120697695655424,0.0010870897880969,0.0007169051482615,0.0006221317173533,0.2794119301689678,0.0015400035246913,0.0005834642498904,0.000534060304278,0.0004193375248561,0.1399532347559515,0.000781171122088,0.0005058496024057,0.0007208640456328,0.0007356358762405,0.0005532301222111,0.0006909467109917,0.0008669059261172,0.0011357940517517,0.0006829921251175,0.0020720641803911,0.0003063106345305,0.0006721667247757,0.0009547231266463,0.0007895470349092,0.0005416805457624,0.0006780581838198,0.000842372944359,0.0008419413529171,0.0007454554328761,0.0010583017388186,0.0004591633080151,0.5058912910698282,0.0009981416429784,0.000511071608803,0.0357870482140184,0.0003388961531163,0.0008087045401595,0.0005563809742264
