year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.02160226470223031,0.0008399905877724364,0.0663010103169602,0.009039091027890446,0.0006517384979318273,0.07525386185740147,0.0010591599708887638,0.032914401977512546,0.0005304273720765179,0.00048551424321506244,0.027393313406955912,0.0007543728533114818,0.003252971414088327,0.0004598678930550323,0.0006553375316847728,0.03513572293918749,0.0005029415254372635,0.016603240357868306,0.0027326235117111184,0.015186630263118036,0.0026987615247405002,0.010807242001317564,0.00027846700966451194,0.003294672681951627,0.0008679388312528273,0.0007177772398846726,0.0004924418050423261,0.005464533441286252,0.0007658012762026818,0.0007654089164062272,0.04142476145309242,0.018550304778246044,0.016698244212549677,0.5270569489624897,0.011078645473614417,0.003911310852844913,0.008305646783435301,0.008619503935694451,0.026341300604858998,0.0005058059651258738
1955,0.007161084142057733,0.005882736948909269,0.17109191597338202,0.004012112230928075,0.0032328057899119332,0.0004851809367053984,0.007993451166536563,0.19086556678883582,0.0004550253963907191,0.0011539473511962255,0.0003270281315521953,0.008966802682755744,0.0006092107606316439,0.0003944961767443522,0.009182295365845977,0.0013289730588333386,0.00043144675222461375,0.000538847583400208,0.0006760726346799304,0.0008857700171237625,0.012026132312610559,0.006755131082157088,0.00023888201877343592,0.0005242016634938496,0.0007445585041881,0.0006157428713004927,0.00042243960122485174,0.0005287962268923017,0.0050621141610633505,0.0035299756151896686,0.04499631930820061,0.00183745823512625,0.0003580870058052112,0.4292000616802973,0.04988027476075164,0.0003985686551032306,0.0029872828928958622,0.0013655879452577832,0.006377427336544432,0.016476188234476625
1956,0.00050664405298492,0.02365367360907544,0.09381270812372851,0.01122728735630194,0.00059408783129088,0.0005155506047571,0.0913957015444235,0.038644470234582215,0.04652475587474544,0.00044256723321971995,0.00034749830061170004,0.0052589208719910005,0.028138206180814286,0.00041918947573653994,0.00059736850623,0.0097521644588264,0.03702867204600698,0.0005725764894645,0.00071839107701916,0.00094121436655116,0.00056598465136394,0.0017170864488966601,0.00025383472417636,0.006055186248182239,0.00079116378668498,0.00065428500103372,0.0050201593918762595,0.00056189597311638,0.00069806098737876,0.007653874981979501,0.053361645147950235,0.00087699772611586,0.00038050129020348,0.5020793626696546,0.00082714401680076,0.0251652928172309,0.00083381354198334,0.00028083782230598,0.0006701605192591199,0.0004610640154436
1957,0.0003844397635670629,0.0005810012321889334,0.10559486607515063,0.040114906391216475,0.006701735494342857,0.02796722477571456,0.001213583838715889,0.05223460023190799,0.00036688382137762556,0.0003358184932777527,0.0009350350056594823,0.00786108215702752,0.0004912024112451695,0.010170015391099274,0.00045328116642142085,0.00046256973151022264,0.00034787252411119037,0.0004344690694323523,0.008635118605732102,0.020615568248757397,0.00042946720537037685,0.006644831980675044,0.00019260891502140173,0.006390176265231058,0.012471651488876953,0.0004964692067753778,0.009052585665864012,0.018070554210206417,0.004941544312471558,0.0035527274485132893,0.017723628794356364,0.009619772308975462,0.00028872306934420123,0.4400804649237786,0.14098886641256414,0.013270284273594458,0.0049442479769353075,0.00021309877293913503,0.010803498305172276,0.013923524034876785
1958,0.010299729346188618,0.0034012086389972815,0.1383510273673865,0.11259737367091383,0.0005324727813158164,0.007240196343680835,0.01206475009750084,0.04925453386405621,0.0029932184974917507,0.00039666694582804105,0.002784607742360603,0.029660447572717186,0.0005802055698309592,0.0060642856889145565,0.0014207576389211694,0.0008193984288168306,0.00041090510034104963,0.008331010139854801,0.0032108551985223733,0.03764010661477271,0.003027878094209361,0.008639640700608011,0.00022750858451860956,0.009244284499117619,0.004798879218910678,0.00335358096781581,0.00040232678965436414,0.000503619660017804,0.011566903932648752,0.0028367477171810547,0.009110381808833326,0.01739794149409031,0.006067223617908542,0.45926167909865306,0.007585180326058247,0.00991653446768672,0.004901160065277722,0.0028770145911138547,0.009814511759042183,0.0004132453582401057
1959,0.005713610975665496,0.0007422772249661392,0.1322445845611988,0.016224742755262662,0.01034028492719875,0.0004997878969497107,0.0026005940103583252,0.006492687967231997,0.04521646472186274,0.001227094749058006,0.0003368737098817779,0.02762651235516241,0.007557546959890843,0.014063309164426701,0.0005791042560668679,0.020596883069433174,0.0004444359797076122,0.0005550702430988929,0.0031818723899003677,0.05966813538248898,0.00054867994722705,0.0023971663589254784,0.00024607385152557024,0.006402875510536843,0.0028722910313839643,0.0036872960398905354,0.002067756724081529,0.021389049359071467,0.0014406364105706108,0.014322262514373836,0.011035635392350168,0.004521587122244129,0.031181952072809847,0.5215733205616495,0.0017574021691066,0.00211376817455045,0.0010250968655073178,0.0002722513431253957,0.003098569288728464,0.012134455962529078
1960,0.000396432579211436,0.0010884138698332721,0.057331534740316964,0.009436152999349728,0.0094904545481451,0.001898647891160552,0.05490719383142327,0.03522352459960856,0.03795758853103756,0.0047181429101211085,0.0012575207469195861,0.014276655493949304,0.000995813723931156,0.021644232803400984,0.0030341870056419403,0.037376341580861554,0.00704116749785106,0.00362670868735182,0.009986096605495352,0.0029556871378701643,0.021108013238661356,0.009438270462862877,0.009069148587589046,0.013158250195443397,0.0026650655851287036,0.001856833312496064,0.012010881463571712,0.00871323868879612,0.000546210137162496,0.0024620315433927,0.0635360157935203,0.005964264812296488,0.0011533184410017396,0.4865580038890229,0.0015028019236318201,0.00033138824722883984,0.013979875452859756,0.023866321419728137,0.002148728498324404,0.00528884052379876
1961,0.0010467021272544037,0.004691323572297231,0.06777017049259454,0.007942917435469337,0.0041408131165303124,0.022074489650468092,0.00170630746437429,0.0033445627383298566,0.0012482525750784474,0.0017754182321488138,0.00016539639630573112,0.00047494799552812774,0.0010878126220286556,0.00976578766286228,0.004645941731894326,0.03107106218227464,0.0006611717720277748,0.0009425225910139034,0.0012582897738719983,0.0027481698647964835,0.002832336629921543,0.004160424313817407,0.0005551183268971557,0.002870713528640395,0.010152630430427866,0.04821539071662136,0.0005913640678974815,0.0073425265902094675,0.00033225132759162786,0.00033208109796768905,0.07619685194324714,0.11398902736650689,0.0025762311767820825,0.5111500988351738,0.025845805799830264,0.0017237765593012303,0.0013428798988467867,0.005270343701131316,0.0015115652280141662,0.014446522464023524
1962,0.010038522372466743,0.0053209569488970035,0.11688442034326098,0.005926309719003066,0.00789390811793962,0.0004272766804139261,0.004301622211728635,0.005649328703289656,0.01801948542025772,0.002817090976352218,0.0002879987317729851,0.0016494597294010864,0.001531585845437627,0.0003474147561936338,0.012850243727920633,0.0264275587850965,0.016011390104993344,0.004493478505861819,0.004725890170401531,0.024952640099792055,0.007583369536310632,0.012787988801318326,0.002384903822192845,0.0024678074467277575,0.020954792485495165,0.005938130276072915,0.006122970266151239,0.0004656866734628881,0.003959556269813369,0.001083468222811841,0.002351641835088274,0.011712271770918417,0.0029862345918682844,0.6008666911534117,0.009432958809377867,0.004890253088608067,0.016796549134310584,0.01423777674268388,0.0005554138805606054,0.0018649532423328265
1963,0.0003280665629289955,0.003228192901052975,0.09939111161609303,0.006946831200648441,0.005305724495908835,0.003074544479250418,0.017492705877226795,0.0034766988188442345,0.007173370125509416,0.01500461358870338,0.0007480150085076457,0.01856531389809124,0.07264382075757707,0.011275476157417091,0.004448749703698263,0.005110475267835967,0.00029686144394551044,0.01027407558187555,0.0015737851499081188,0.0006094633113615625,0.002900127925250489,0.10243845351634874,0.0006862796297095266,0.009081477465119649,0.014900732502241925,0.003082335420079203,0.009549526291358301,0.007635065607782779,0.00045201452083558125,0.006046281063545491,0.006819671188915654,0.0005678811939236157,0.04499002240248845,0.45765815327309944,0.0021803899003947436,0.00045833201290614207,0.0062917837873811815,0.0007526117204476383,0.019294922412457064,0.01724604221932812
