,Number,Score,Rank
0,0,"0,01758",29.0
1,1,"0,02657",12.0
2,2,"0,34702",2.0
3,3,"0,03126",7.0
4,4,"0,02061",23.0
5,5,"0,01789",28.0
6,6,"0,0335",5.0
7,7,"0,04428",4.0
8,8,"0,01678",30.0
9,9,"0,01536",34.0
10,10,"0,01206",38.0
11,11,"0,02386",16.0
12,12,"0,02246",19.0
13,13,"0,01454",36.0
14,14,"0,02073",22.0
15,15,"0,02115",21.0
16,16,"0,01591",32.0
17,17,"0,01987",24.0
18,18,"0,02492",13.0
19,19,"0,03266",6.0
20,20,"0,01964",25.0
21,21,"0,05957",3.0
22,22,"0,00881",40.0
23,23,"0,01933",27.0
24,24,"0,02745",11.0
25,25,"0,0227",18.0
26,26,"0,01557",33.0
27,27,"0,0195",26.0
28,28,"0,02422",14.0
29,29,"0,02421",15.0
30,30,"0,02143",20.0
31,31,"0,03043",8.0
32,32,"0,0132",37.0
33,33,"1,54511",1.0
34,34,"0,0287",10.0
35,35,"0,01469",35.0
36,36,"0,02893",9.0
37,37,"0,00974",39.0
38,38,"0,02325",17.0
39,39,"0,016",31.0
