year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.002774299146895282,0.026105247765671826,0.005459613528949649,0.0009344979814286818,0.0003223666407821985,0.0007153564663497546,0.020721113699130964,0.0006056566135930927,0.0003539850556572757,0.0003851467639624205,0.010393682299102818,0.0003647779877641836,0.0009124791031547273,0.0005396306801518421,0.010566490837787445,0.00042803821295157586,0.07545518754635495,0.000633065711673591,0.0029094867878400542,0.0006483343151963455,0.0004851197436340944,0.0008296038175040546,0.00011436515005334543,0.005945621103020927,0.02952742156176289,0.0007916728682079092,0.1864479422949498,0.0003140122266084882,0.000514408986062456,0.00037067927465456353,0.0082750916666747,0.0004028723510619014,0.00033707917107267285,0.0069345473010142735,0.0021287868764860714,0.002487324989225499,0.01272778215784397,0.046285279545572086,0.01710898313096994,0.0003339903754851034,0.0004522843948206359,0.33712888497193094,0.07064975274036667,0.004616893761963745,0.00045766347842294305,0.005495171412242084,0.0002316781064954946,0.05184527501955125,0.00017836233258566273,0.0004919872121908575,0.0042521943466014706,0.0004911780520356739,0.004741125032897018,0.0005010956683355746,0.002424638409373778,0.00033110519180782174,0.0005247540424481625,0.017763664624570488,0.008676528271702691,0.005154721193390845
1955,0.003407082284856168,0.028181365135004275,0.0026410546195395055,0.0018032216928995752,0.0002770309736484722,0.005106261098102598,0.0003844034833397946,0.0005204807822335631,0.00030420276858606133,0.00033098208536458314,0.0003682857433818932,0.0003134778489195797,0.0007841536387495375,0.00046374033110343024,0.005854858057072898,0.02668867889083701,0.00283253585782326,0.0005440352328728553,0.005974302128614716,0.023875508373036463,0.00041689547835638654,0.1504971135081242,9.82815368049888e-05,0.004330801948259169,0.0016332569349402166,0.0006803368517242969,0.11944571386008966,0.0002698514730425978,0.004092186119320567,0.00031854921501707153,0.0006885639098144207,0.00034621485461370236,0.0002896744239177204,0.00030939469698989516,0.00036889335183208985,0.009189517532277569,0.0006401724663975875,0.011849982636656426,0.00044401305833373557,0.002846906158903693,0.00038867789160549173,0.30024215656496106,0.2171136603779176,0.009408395049801403,0.005086425086278806,0.008834063000823589,0.0001990963185884962,0.0023674061598919697,0.00015327854811070528,0.0004227971482567557,0.004252345050494663,0.008758810432799599,0.009530880183798943,0.0004306246469956997,0.000327692805700717,0.00028454058845546275,0.0032298587356065817,0.000449539004507908,0.008222310586999713,0.000885460777000025
1956,0.0033918621478406805,0.00073348326313672,0.0004981980962618,0.0008570980492207201,0.00029566657653538,0.0006561069622306,0.00041026193003088003,0.0005554930158486199,0.0003246661915666,0.00035324692681644004,0.00039305996545602,0.00033456519749068,0.13902350585029657,0.00049493569001686,0.0006728754015155001,0.00039258588525986003,0.007278530581002619,0.0005806319513654,0.00588736512887168,0.00059463593056466,0.00044493962980158,0.00076089175978926,0.00010489283974663286,0.00077689013080338,0.007364620927169921,0.07532541006028189,0.16952278484884156,0.00028800411793948003,0.0004718029864352,0.00033997770942988,0.0007348829311736,0.00036950438956778,0.00030916053934928,0.00033020737592068,0.00039370844713293993,0.00052561664987404,0.00042911575168116,0.00104453095532278,0.00047388138288513993,0.04287602100285388,0.0004148238735637201,0.35188385506069464,0.13924620770589835,0.00056482052840362,0.00041975743377868,0.00053081089266164,0.00584773821286096,0.00024991994174878,0.00016358944626066255,0.00045123829926912,0.00038861516144022,0.00045049615792229996,0.00206349963885314,0.00495489460892308,0.00034973638052382004,0.00030368135579222,0.00048129121201029995,0.0230207745719581,0.00065360548189518,0.00094502485821018
1957,0.004214090285672686,0.12943912701329538,0.004256209046381021,0.0018984644220522914,0.0005067207182269311,0.00754265832029412,0.002195592409081896,0.010814034489737724,0.0009559993455028887,0.0002684439369782186,0.00029869917212432253,0.00025424707753212897,0.019758311973189165,0.00037611787985403276,0.006408586028846062,0.005409723867092704,0.018665840518359098,0.002233707133795781,0.0016303378471386248,0.005422300671372244,0.016396342575848575,0.001576339512660714,7.971151261294628e-05,0.058337480821835416,0.0111674164787544,0.010594672208428267,0.11520060546595448,0.0033212375625950286,0.010948233742071628,0.0008167586389022768,0.0005584616660086056,0.0005255562914551853,0.003506414970746328,0.007304814049527996,0.0002991919746406265,0.0037062031187574595,0.000326099147808042,0.004310758870374722,0.00036011802064017136,0.004009076635696585,0.0025836554262353207,0.3085109637574307,0.1363796473763821,0.01694677717222513,0.008549321151712846,0.01690819125103187,0.0007009473713719175,0.0001899223687436911,0.0001243169909447539,0.0029796084815252744,0.0010275619965148563,0.000342346820441161,0.009876006965711963,0.002945755426469412,0.001207686607260894,0.00023077743229199817,0.006340635164686926,0.0016571371735602748,0.004374308220833556,0.002229727422775822
1958,0.03223128249177985,0.005814574580693706,0.007650972943559722,0.0017908406952728143,0.0023753831332438994,0.017813336097909117,0.0014929891943173373,0.005682887950023536,0.0029937295517095393,0.005739041918103887,0.0005902144752094749,0.011329315913104368,0.01146928933660433,0.0014964008611455673,0.0006017243037218552,0.003117046572310582,0.0018707562480741226,0.00163776953281611,0.002239100276695632,0.08374834032583807,0.0018430935617879877,0.010296858095558003,0.0006381511985025104,0.02315643359537648,0.0051484224418650755,0.008568521440501003,0.10518083646349222,0.00025755002626910896,0.0019017405325654204,0.004761607898044234,0.0008112095056464041,0.00033043230742878466,0.0006195161905868489,0.012838138613622024,0.00035207698288112414,0.011087666754636067,0.0011947585034430717,0.010622705389146697,0.00864586824885097,0.002293855593981103,0.0024650828703869174,0.3546613840126141,0.1707288074347495,0.01730932044770372,0.001807981224799124,0.0031649142072867286,0.00019002031563660455,0.002372014974410048,0.0004532229125706801,0.0010196613769577578,0.0005015567346060671,0.007059753905090846,0.007684912039613341,0.00041099419578995784,0.0005942818856278148,0.00027156952380159784,0.001957721695261294,0.00444159765769286,0.00265581526792991,0.008014947571149698
1959,0.024152096693826102,0.014842463362884754,0.00048070898434392857,0.007402810607215893,0.01052038550425373,0.014657332093555927,0.0003958597938850669,0.017472913571002766,0.0003132688710973604,0.0003408462872232909,0.0003792616997101728,0.0023646996063096198,0.0235770422219384,0.00047756110400415353,0.002675858608892075,0.0051097440555189985,0.004737181991058529,0.0013629815677618786,0.0016399368524290764,0.0005737613940738786,0.0014647902436176073,0.015036169772356237,0.006769497160373021,0.004611154475406728,0.03752501475117229,0.0007006128132765393,0.15324338239608942,0.00027789380983260444,0.0006684716808492895,0.014621197501034156,0.0039194072285126365,0.0003565330360604217,0.0011996313394006277,0.0003186155336456518,0.007349083772133434,0.012856162362240882,0.00512457099957511,0.0345588281423112,0.0020422808781243806,0.0002955740255512394,0.007877508570438332,0.33096415677578866,0.14652100615092886,0.00792026376637236,0.004430537556356929,0.0005121769171834964,0.00020502995174487472,0.00024114656853730038,0.00015784668217604577,0.0079341793554584,0.007071112035734802,0.0004346816098869021,0.014199835067026797,0.0008097930727269366,0.008527857721971571,0.0010450446266063484,0.005059072200084378,0.010672332694044512,0.006989978091438758,0.002010853792941868
1960,0.02241256078535607,0.01825087156922596,0.00233812674002276,0.0437630618081464,0.03348044290785019,0.008437963800990952,0.00032133827430866,0.005295693662894292,0.006489536866495416,0.0038900091382030894,0.0003078648096594164,0.010711805378409585,0.00065550544672332,0.0029417530865881642,0.007801479184917712,0.0027320036246824934,0.037163924285319005,0.000991759261977628,0.012147730700304253,0.013990319610216885,0.0086260951776275,0.013575333813120672,8.21574746381845e-05,0.0006085003644891039,0.03471895489526032,0.003303612019561584,0.13265803674515206,0.02220863366640542,0.005600962600940692,0.0002662880527164274,0.001383728544604988,0.002978902269810398,0.00024215045785836285,0.0002586354242870121,0.00030837273390909735,0.0029324923643584922,0.002020639148693874,0.021647526995454122,0.02100701773855504,0.000756121240540361,0.009276531633785447,0.3060110304726899,0.09135782459535147,0.002325153029823488,0.004540109617401056,0.013477783560708946,0.0035323268437481136,0.019234919309392362,0.0011950575290000343,0.0003534330772007,0.0003043834102227839,0.000352851793873584,0.005865403777906279,0.000359976397035056,0.003539480510234574,0.017747350499140935,0.001733323113862732,0.001747359032682968,0.004391153700118608,0.0033466354255422643
1961,0.00032203680654320906,0.010761054884905485,0.018789282771677865,0.00041169768225649336,0.00014202020922928182,0.017954347542694357,0.0001970648350738588,0.0038110279846619946,0.00015594985742476122,0.00016967830129445652,0.00018880205935972605,0.0001607047367519257,0.012261686840020823,0.0061024869122090425,0.0036206180975687026,0.00018857434011786587,0.00457530633816686,0.02874847171289403,0.00021351728201036144,0.0070155070105614135,0.00021372188922835024,0.002689288119860287,5.038412938667792e-05,0.0052200254875934965,0.006563295038706409,0.07501219934089451,0.19414553697475428,0.0028048327204133177,0.05270228675680246,0.0011351734993833881,0.002272662303783594,0.00017748739587842175,0.01885598620152294,0.00039587481241118525,0.005781685793794728,0.006826931240299786,0.00020612106228397496,0.00545306887602691,0.0033804938166964627,0.0001471411027265854,0.0024435156074145994,0.32225693902703295,0.07982207921837615,0.0009314904658878636,0.00164066343823549,0.00239468873932387,0.00010206692937736972,0.016705349767053682,7.857840293580449e-05,0.0024626139645237007,0.0009531110780579066,0.01881463738355484,0.02080099445947621,0.01629330687878665,0.0008553600909265719,0.0010850781674452898,0.00023118297452108823,0.00023045662597263953,0.0024822951163063953,0.009591558896918383
1962,0.0008237127122642159,0.002201314944326695,0.0008164161314204038,0.0010787549172579672,0.0002448442647151236,0.010653145660962603,0.00583270253906312,0.004647856014131758,0.020165150884493277,0.01386747515647639,0.00032549664341080254,0.00989842424254009,0.00874016523419995,0.000409860886284335,0.002372801013183183,0.0012320300109262868,0.0004113843205232048,0.0014590471755922356,0.0020061407340093416,0.0004924235904455131,0.001620077157631177,0.0028995848306481295,0.008237314947855737,0.008122071604000402,0.011746814212045752,0.0029236266499735593,0.14801794385295997,0.00023849891089524502,0.0023385733725376587,0.00779532358121817,0.00189714703862714,0.002171409854805569,0.00025601874186427157,0.00027344782460094835,0.00032603365716875034,0.006967171212424275,0.0003553547781058465,0.008385584648543049,0.04062357950276334,0.0002536727364504971,0.0013414330597830483,0.4212175533640544,0.15274262710352593,0.004613278423565347,0.0017342892763520463,0.0013950753585957442,0.00017596440964810325,0.00020696104744799006,0.00013546995454880002,0.0007374241605071841,0.011984714174675797,0.011183573122241221,0.008920412708727751,0.011838842117488355,0.005466105417502417,0.005215132785124325,0.002142419499265304,0.0007716808629323179,0.0034536383931986327,0.01159500856946669
1963,0.005217573154525863,0.009260289473373434,0.014209341199118129,0.014782166093132954,0.0066182343978808305,0.010964266784614683,0.00043847117933307157,0.004654850812321627,0.0002107291205876812,0.0006583595195016656,0.0008393326792266838,0.00021715420846952195,0.005889740020929547,0.06477248753566482,0.0017518972187209468,0.0005141690518121208,0.0003224389664486129,0.0008265664993754062,0.0002885177954716772,0.010279339844802199,0.012587549602066388,0.025005173340573453,6.808216084680688e-05,0.0019413339361840502,0.008395907743090817,0.0026568800690966532,0.15939133891613022,0.015855763601433294,0.00030623030979110027,0.00022066727484582708,0.0025870782171685093,0.00023983197847359382,0.0002006649607189701,0.0005798617259311113,0.0025173138689140798,0.00105970009847742,0.003703542569031723,0.005231362406831346,0.0018692157142344529,0.0038229715397750854,0.0004122737797519365,0.3116197986142573,0.10625323539352133,0.0003666046429597341,0.006931437665253678,0.0007958234356128073,0.00013791916596752577,0.006008304037604784,0.00010618001209673278,0.014489267310288902,0.0048999774056067555,0.015633366430129733,0.09716104755162795,0.00350393221122481,0.00022700127644855502,0.014410146844836645,0.002253602238330442,0.00590412043502391,0.00042423175553469374,0.0075053342049928844
