receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
BaumannSabine,0.0001566597285278,0.0001288174600172,0.00010036674376,0.0002900660256979,0.0583420268275615,0.0001282132878265,0.0001692929531789,0.0002138980360334,0.0001016988337226,0.0003397898269504,0.0002086412544021,0.0001492366993615,0.0001644815665419,0.0002178734071995,0.0002418054818637,0.0002298283351148,0.0001988147506062,0.0527377550641135,0.0002399734607216,0.0003482024914256,0.0003876197212938,0.0002379599687981,0.0002550734475548,0.000402611677152,0.0002698738035495,0.0001889405264998,0.0001277781152536,0.0003925056851339,0.0002319027357548,0.0001327736791001,0.0002607320638602,0.000165776329227,0.0002365291930259,0.0001618981636431,0.0002186108892539,2.332841180998879e-05,0.0001010072187698,0.0001938924544065,0.0001593957544931,0.0001649594385256,0.0002574442390429,8.112576760723214e-05,0.0002266941806392,0.0003703356352311,0.0001573816962256,0.0007895679569896,0.0002259623283941,0.0001095394700266,0.0887943883545039,0.0003712995684175,0.0002402936332907,0.000179559300927,0.1923507130681583,0.0001035116222681,0.0002154901085633,0.0001984366448351,0.0001278726095514,0.0002734627557307,0.4944827738152713,0.0002331972972181,0.000125570715568,0.079900130547475,0.0004518537261565,0.0001980300930163,0.0002046359324893,0.0002010516067548,0.0003392549688691,0.0002070410226861,0.0001878329466084,0.0002158026412889,0.000159652308754,0.000272221671038,0.000166095129416,0.0001554897908191,0.0162013919634028,0.0001945364402764,0.0002403539404205,0.0002937631728364,0.001257957506186,0.0002176723113104
BaumgärtnerKlaus,0.0028152402135996914,0.0002048102068643946,0.010599148919257789,0.0015076721777643749,0.22667190727201955,0.0002038496178934151,0.00026916323887003123,0.0003400820121901933,0.0009358142894248758,0.009905237288157473,0.00033172411929880026,0.001430123326122172,0.006560869879138626,0.0005462596005149219,0.010443082150194091,0.000365410006157923,0.0018456479493119808,0.13627495524133393,0.0020389250822649666,0.0023274658456281976,0.0027664716856507523,0.002139339767462867,0.0031711688810975277,0.0011286986498893592,0.0006325142694385727,0.0003004014231635839,0.00020315772577983985,0.015199086405652661,0.0008551896835201546,0.00021110030176804058,0.001231338411967575,0.009933116485276734,0.010085074410960106,0.0002574060719895989,0.0003475750992520955,3.709044447842101e-05,0.006439526254938737,0.0003082746212439898,0.0012175689220824384,0.000550992174428154,0.010603079610132753,0.0001289839532889329,0.0006818074313509397,0.011288408924895174,0.0007473477590744875,0.029302290952055388,0.00035926334221903606,0.00017415963265356773,0.10886298867464647,0.015619727682986835,0.0007502949889613299,0.0014636883490578587,0.25311342173837975,0.00016457580181107807,0.0003426132894265359,0.003374594031384097,0.0002033079647046054,0.00484630740187543,0.0038820666462996587,0.017878684063544727,0.00019964812400546648,0.000282612970511725,0.007382075103927483,0.001315276858500445,0.00032535595453767773,0.0011157934817992816,0.0014329917579670433,0.002825990656864757,0.003558542875596336,0.0036659533055704023,0.001317904826094818,0.0008198726093776569,0.0011603063420167878,0.001709386607900906,0.001552919927043711,0.00030929851101198474,0.004336425568744273,0.008400426608804579,0.02152304271498625,0.00034608282993745773
BaumgärtnerKlaus+BaumgärtnerSabine,0.00016799038210984753,0.0028600505924047696,0.01522566339886347,0.0010863736366901542,0.23357895233589926,0.0001374865092385101,0.0024005731443115055,0.00395393372278365,0.01670875485075033,0.002506786417820375,0.004938445186420116,0.0027264334444008975,0.006929769705459795,0.0002336314333682144,0.0004148746359351973,0.0020701119677098254,0.0024901273722638863,0.05976941964222183,0.0003590432379966719,0.004291510443080057,0.0012795253444331982,0.00025517078614205124,0.0044465357413519604,0.011957598158071576,0.0006327342351111088,0.004165799223078618,0.00013701986214616544,0.008846323763278294,0.0043968300423812634,0.004737009559741609,0.0008247913855101134,0.006624747383931236,0.016847829440431773,0.0004642760441058144,0.0002344222549359153,0.00020083821368769683,0.0012017431224333763,0.00020791602162247878,0.0019794395078953373,0.0001768903812802861,0.00027606428592216763,0.009652129287286053,0.008518412886604638,0.004280501793028201,0.015059907898964789,0.007366560522167282,0.022630124222153467,0.00011746207911127966,0.17652202780667017,0.015405262586140184,0.0002576732364750898,0.00786472579136097,0.19767512225516606,0.009708493056152233,0.00023107575902647486,0.009593766931058904,0.00013712119088806296,0.00029324136623825833,0.008526698407708679,0.0008048323711779068,0.003288179203951141,0.003286289074705361,0.0037987741908911523,0.00021235292124968682,0.00021943653812849998,0.005790655153186541,0.0005963413738440015,0.0037335555055962805,0.00020141825068955977,0.00466567849791262,0.0008578822002396345,0.0014107868297910876,0.008336249885472782,0.0015814033105500216,0.002262779876068429,0.0006077200818875957,0.0035380291133671206,0.00031501004194471605,0.0208360609457714,0.007072820740150587
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0001314994509955,0.0001081287796812,8.424738014469482e-05,0.0002434800793425,0.1828092178539293,0.0001076216403409,0.0001421037212922,0.0001795450213768,8.536553029345497e-05,0.0002852180079573,0.0001751325032075,0.0001252685946722,0.0001380650656196,0.0001828819295329,0.0002029704022315,0.0001929168406891,0.0001668841814052,0.0576515465518749,0.0002014326121647,0.0002922795595781,0.000325366199879,0.000199742496364,0.0002141074712192,0.3884658030676557,0.0002265308215348,0.0001585958033951,0.0001072563584974,0.0003294674553106,0.0001946580829846,0.0001114496116672,0.000218857287554,0.0001391518834244,0.0001985415098035,0.0001358965691842,0.0001835009685557,1.9581760893106505e-05,8.478499190341212e-05,0.0001627524287589,0.0001337960585265,0.0001384661891508,0.0805184118521564,6.809659382274546e-05,0.0001902860459294,0.0003108580180408,0.0001321054673392,0.0006627596884246,0.0001896717325424,9.1946924115139e-05,0.0076150032909878,0.0003116671390957,0.0002017013635373,0.0001507212460722,0.2551443316236368,8.688717660775042e-05,0.0001808813996892,0.0001665668011711,0.0001073356765736,0.0002295433713835,0.0001712607226481,0.0001957447318848,0.0001054034774187,0.0135329235148666,0.0003792839262408,0.0001662255434562,0.0001717704545334,0.0001687617881026,0.0002847690505596,0.0001737892761121,0.0001576661059609,0.0001811437382124,0.0001340114089856,0.0002285016106371,0.0001394194828274,0.0001305174106981,0.0002156543644564,0.0001632929875174,0.0002017519850629,0.0002465834475376,0.0010559237079858,0.0001827131305743
BaumgärtnerSabine,0.00032979782869805,0.0002711846816749,0.000211290639123375,0.0006106428649739,0.24685737240372596,0.00026991278698615,0.000356393113258675,0.00045029509823317504,0.000214094935935475,0.000715320702997675,0.0004392285964317,0.0003141709734467,0.0003462642506543,0.000458663992978275,0.00050904545562115,0.05550713476876565,0.00041854198063065,0.1048003268575877,0.00050518871081205,0.000733030924402675,0.000816011515177375,0.0005009499362993,0.0005369769879766,0.015902938337659423,0.0005681344865685,0.000397754904711575,0.00026899666788519997,0.000826297376647175,0.000488198335588825,0.00027951325772715,0.000548889426409175,0.0003489899666135,0.00049793788752675,0.00034082570767532503,0.000460216529692825,4.91106402022273e-05,0.00021263895798985,0.00040817963279465,0.00033555767158245,0.00034727025994654996,0.000541967944442675,0.0001707848102364908,0.0004772333595613,0.021033151724513647,0.000331317704810125,0.00166218721474745,0.00047569267464115,0.00023060093178385002,0.09201096154883137,0.00078165456184145,0.0005058627335434,0.000378005682282075,0.25422691328707164,0.000217911192556325,0.00045364670664212496,0.00041774599774782497,0.000269195595934775,0.0005756898975716,0.000429518253065175,0.00049092362793895,0.000264349681514,0.000374201606544775,0.000951236027126625,0.011928265957031524,0.00043079664980150004,0.000423250978327975,0.000714194727384625,0.0004358598114204,0.000395423243302975,0.00045430464608372503,0.0003360977659574,0.0005730771837572,0.0348837885793722,0.000327334892500725,0.0005408565633436,0.000409535342673825,0.000505989691254,0.000618426046459725,0.13084051445398615,0.00045824064877722503
BaumgärtnerSabine+BaumgärtnerKlaus,0.005016894334077075,0.00015043893304155022,0.00011721288280393236,0.0003387523974759,0.2793772529169066,0.00014973335307021506,0.000197708068799625,0.000249799928645125,0.00011876855850706845,0.0003968221312387,0.0002436608181569,0.000174285456486825,0.000192089110996725,0.0002544425492696,0.0002823915227819,0.003118457702553525,0.0002321849767114,0.07403706601944751,0.000280252004537325,0.0004066468263344,0.000452680073722125,0.0002779005563981,0.00029788646113834997,0.0004701883667999,0.000315170995115225,0.000220653405300325,0.00014922513859725602,0.000458386126200375,0.011207522418370601,0.00015505918698555576,0.0003044948525735,0.011130296970495874,0.00312628327149795,0.000189072094703625,0.00025530381460880003,2.7243988367560514e-05,0.00011796085887110948,0.000226436493638425,0.000186149666621975,0.00019264719179845,0.0057690030682335,9.474238910913453e-05,0.0857663530711312,0.000432494925951625,0.000183797557080175,0.05560557252469267,0.000263889162126375,0.000127925212890681,0.1719579106116135,0.00043362065130017505,0.00028062591673590003,0.00020969758016915,0.1804961101713703,0.00012088561604408612,0.00025165922390435,0.00023174340746464999,0.00014933549336857354,0.000319362337941,0.0002382740327142,0.000272338490271225,0.00014664723608728145,0.00020758727994275,0.000527695488210425,0.00023126861761990002,0.0166440268841299,0.000234797279828625,0.0003961974994607,0.000241791994226225,0.000219359922746825,0.0059521314951712255,0.000186449282444725,0.000317912942362475,0.000193973503664725,0.00018158810324735,0.00030003864457020003,0.00022718856984890002,0.000280696346165825,0.000343070095330975,0.07461260724690265,0.00025420770027479995
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,5.9649526081984085e-05,4.904834518304997e-05,3.8215492621719546e-05,0.0001104451100992,0.0161432287579968,4.881830147503127e-05,6.445973397910559e-05,8.144349922703828e-05,3.872269722186887e-05,0.0001293778709789,7.94419348430335e-05,5.68231444967135e-05,6.262775753315614e-05,8.295715566118412e-05,9.206949694562007e-05,8.750909629830832e-05,7.570040981952585e-05,0.007938359625776,9.137193929040696e-05,0.0001325810646378,0.0001475895106705,0.0243745849669979,9.712138790052268e-05,0.0001532978255667,0.0001027567495165,7.194071488127369e-05,4.86526058110485e-05,0.0001494498830218,8.829894201197969e-05,5.0554709298352485e-05,9.92759542595242e-05,6.312074945442076e-05,9.006050502663428e-05,6.164410487372855e-05,8.323795823533341e-05,8.882491510662258e-06,3.84593589373643e-05,7.382620361279073e-05,6.0691291274061394e-05,6.280971136151868e-05,9.802408695428006e-05,3.0889327054774114e-05,8.631574028465395e-05,0.0001410084476744,5.992442143271054e-05,0.0003006347252515,8.603708130836162e-05,4.17080862820536e-05,0.2584360317841167,0.145845253564897,0.0061624887682005,6.836873333410134e-05,0.1218071318293072,3.941293190212778e-05,8.204969440423679e-05,7.555644282642152e-05,4.868858531985748e-05,0.0001041232736306,7.768565469349053e-05,8.879185731636937e-05,4.781211957786849e-05,6.768070177304822e-05,0.0001720471551744,7.540164475836389e-05,0.4068345765463743,0.006147547032329,0.0001291742192085,7.883263298623028e-05,7.151899440313507e-05,8.21686939017014e-05,6.078897649422828e-05,0.0001036507200622,6.324213534196145e-05,5.920406233372245e-05,9.78230748490209e-05,7.407140671833263e-05,9.151681017676702e-05,0.0001118528303649,0.0004789780359024,8.288058668842007e-05
BierwischHedwig+BierwischWilhelm,0.0001409303093298,0.0001158835436389,9.028942139404688e-05,0.000260941947952,0.2676377558109912,0.143551046614967,0.0001522950951279,0.000192421604879,9.148776287113288e-05,0.0003056732312079,0.0145312632885403,0.0001342525893669,0.0001479667957403,0.0001959978289246,0.0002175270037612,0.000206752422367,0.0001788527566438,0.0330990503931477,0.0002158789266919,0.0003132412221518,0.0003487007652677,0.0002140675994142,0.0002294627994286,0.0577364700865241,0.0002427771257595,0.0001699699539556,0.0001149485542807,0.0003530961539347,0.000208618542822,0.0001194425385661,0.0002345532623944,0.000149131557785,0.0002127804806757,0.0001456427793956,0.0001966612640973,2.098612274801397e-05,9.086558951400324e-05,0.0001744246835674,0.0001433916246228,0.0001483966869901,0.0002315955516101,7.298033534812876e-05,0.0002039329526546,0.0003331520877729,0.0001415797878648,0.0007102913905261,0.0002032745820303,9.854116012936948e-05,0.1515968415614332,0.0003340192372529,0.000216166952336,0.0001615306502858,0.2304120233925177,9.311853839255748e-05,0.0001938538253751,0.0001785126145806,0.000115033560879,0.0002460057292163,0.0001835431740295,0.0002097831238486,0.0001129627885486,0.0001599050799402,0.0004064853552185,0.000178146882595,0.0001840894627913,0.0001808650212628,0.0003051920755494,0.0575605357025651,0.0001689735806172,0.0001941349782541,0.0001436224195545,0.0002448892556255,0.0001494183488427,0.0001398778392104,0.000231120632528,0.0001750040100396,0.0289033625206515,0.000264267883052,0.0011316522895614,0.0001958169240671
BierwischManfred,0.004102903267546047,0.005395933298276225,0.0012301404963226078,0.00903570584878879,0.216311805643974,0.003692548677315539,0.010585086772814984,0.0011855441531125523,0.0016754399120842208,0.010048148398797871,0.002132683227421374,0.00663905108336095,0.0016993367877665103,0.0045598282652020514,0.0008693460351913862,0.004871594645745651,0.002156621195423173,0.07328264133426457,0.004666359617074595,0.0026639699777726827,0.0022598420302706143,0.0013305213788005741,0.003124196442672571,0.00793224657343938,0.006739368185317212,0.0022807904065629014,0.0017416634437095084,0.0022263720227614536,0.016558058763625188,0.005870248014120189,0.0014622260276752784,0.0037554279714107066,0.003209754988636402,0.0037269644360687624,0.008883688660285041,0.002237017689981315,0.00011610062152919816,0.009401549347112924,0.004636740176245241,0.011749272040960818,0.0019083839290564154,0.0001263103490015006,0.0006051209626453209,0.0015513579788163949,0.0033514242232262387,0.008109742482174609,0.001222450235574798,0.0026558625391256284,0.14596365944743758,0.014728520170559804,0.006761927589155719,0.0011230259293286864,0.1914703960800881,0.0014725361910513587,0.005172582265959539,0.003968941593916837,0.002284925733333654,0.0011309755929903226,0.012000800316289138,0.012977536989224676,0.0009239270204061893,0.0044868456066410045,0.026789144224389782,0.0020995968338808615,0.005877632068529452,0.0010312967401718586,0.00555140805333907,0.004185714294203443,0.003985951328670614,0.004674779383069217,0.001930488756666992,0.011048584340217157,0.0027593033355326957,0.00259873752123072,0.0019650104903281675,0.0060864633656619385,0.005664864164132481,0.0009710252966233794,0.021903001661982856,0.0008330070559215512
BierwischManfred+BaumgärtnerKlaus,0.0001332832769291,0.0001095955760815,0.05434648165544967,0.0002467829530545,0.10389743762037734,0.0001090815572576,0.0001440313970458,0.0001819805985823,8.652353700465184e-05,0.0002890870680596,0.0001775082234,0.0001269678973396,0.0001399379559071,0.0137506356319594,0.0002057237511201,0.0069781702398479,0.0001691480108619,0.0041725140749975,0.0002041651005115,0.0002962444115549,0.0003297798811595,0.0137677249169802,0.0002170118974875,0.0003425347673267,0.0002296037739399,0.0001607471987425,0.0001087113202663,0.0003339367712401,0.0001972986729945,0.0001129614560595,0.0002218261463768,0.0001410395166919,0.0002012347795578,0.0001377400432258,0.0001859902092641,1.984739282268416e-05,8.593512345294284e-05,0.0001649602098636,0.0001356110385679,0.0001403445207884,0.03413221107208645,6.90203426987298e-05,0.0001928673280637,0.000315074891876,0.0001338975140499,0.034584932352316654,0.000192244681348,9.319420922932054e-05,0.15693630433911904,0.1224033507212415,0.0002044374975697,0.0001527658209008,0.26538807053015295,8.806582486639584e-05,0.0001833351052311,0.0001688263252782,0.0001087917143139,0.0002326571898494,0.0001735839210809,0.0001984000625836,0.0001068333043502,0.0001512284557764,0.0003844290161914,0.0001684804383093,0.0001741005676183,0.0001710510878064,0.0002886320204323,0.0001761467750626,0.0001598048897089,0.000183601002448,0.0001358293103147,0.0002316012973341,0.0001413107461538,0.000132287914987,0.0002185797747536,0.0001655081014491,0.0002044888057902,0.000249928419286,0.17741879477017158,0.0001851916840455
