sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
BaumgärtnerKlaus,0.007271406112942967,0.0014965857895103006,0.00017217101956832912,0.0004975847727607738,0.12958598086856574,0.005601629942636599,0.002224483363934382,0.011730149847925269,0.0008181370504010357,0.0032722954544318786,0.005343528358912886,0.008161334938597232,0.00045014961834031363,0.0003737441830740222,0.008649051010065512,0.00949291331074239,0.005938244349642982,0.06495164850375493,0.001615668330645179,0.008738449202269545,0.006666512884800488,0.0008517869262444981,0.0012516521575232722,0.0029168923007157873,0.0024549891117244585,0.004882214243223365,0.00398478133018526,0.028150690174590997,0.0022473157177808883,0.007759715952348763,0.0008555720137922437,0.0022529875633389676,0.0020265345109167924,0.004025871649173551,0.004528395397529662,4.001800094103439e-05,0.006418005374144295,0.00033260680093000124,0.0002734305063395951,0.004014302448875509,0.00044162474000355615,0.00013916468342939364,0.005827100639512596,0.0021191169347672405,0.011552212129092436,0.047675227027292655,0.001423745985480823,0.0025370127491640246,0.0928266891961618,0.009365827166855367,0.0016620053595228577,0.0008843257858585332,0.3011153076228499,0.0011481207871203065,0.0003696558273023416,0.008408504630250361,0.0022593877185596513,0.014250047428265866,0.007070693122929922,0.0018957921355120331,0.0002154063917722714,0.0014263567942785819,0.004941283998367426,0.0009785669549573944,0.002459817575895499,0.006949628212292463,0.004161059343323758,0.00422145320891286,0.0044401274715835035,0.006418280679634446,0.0004756232406445463,0.003141692630286203,0.0009403439079540431,0.011582902232271713,0.003766637533144026,0.005750019960501712,0.009829016360374082,0.0016147796314204912,0.05102261188924382,0.0003733992193641917
BaumgärtnerKlaus+BaumannSabine,0.00034100476700545004,0.00028039987271918335,0.00021847055648950626,0.0006313932651285499,0.0560131940424766,0.00027908475747510003,0.00036850379224413337,0.0093031928029418,0.00022137014677727797,0.0007396281856156166,0.0004541541276351333,0.00032484689187616667,0.009195626858435583,0.00047424996300551663,0.07176036729929806,0.0073761825496524505,0.0004327645550317667,0.04309009171783367,0.00052235564832045,0.0007579402222583834,0.0081801810537671,0.00051797283500475,0.0005552241304775,0.008212814382462467,0.028516715494706687,0.0004112711085512333,0.007614577965093751,0.044401806143701615,0.0005047879191234333,0.0047078095241316,0.037249743656209665,0.00926510205866635,0.0005148584330878333,0.00035240738695615,0.00047585525683871665,5.0779480525270334e-05,0.00021986469289949677,0.00042205008179401664,0.00034696033647821665,0.00035907093308796666,0.0005603846858200833,0.00017658828941557382,0.00049345033964255,0.0008061179359404,0.00034257629038851665,0.023812660693277966,0.0004918573003424,0.0002384370367889643,0.1549820896761528,0.0008082161510636833,0.00052305257517825,0.00039085078310611667,0.3251903003651742,0.00022531608452030876,0.015141943098231884,0.016475731582518933,0.013534737375504985,0.0005952525526434833,0.00044411381478558334,0.013764000000400484,0.0076097730683755,0.004805715500208333,0.0009835602043774833,0.00043105657314553334,0.0004454356530248667,0.00043763357029771665,0.00303043395636555,0.00045067086714063335,0.00040886021440281667,0.0004697424801092666,0.00034751878392834997,0.0005925510555807167,0.00036154301708235,0.00033845813718855,0.014311055589061684,0.00042345186037246667,0.0005231838470689667,0.009477037048832534,0.029416154813706668,0.0004738122330446666
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0002830067808599,0.0002327095483991,0.0001813131512727,0.000524006092319,0.1053952369027699,0.0002316181075523,0.0003058287803233,0.0003864081418943,0.000183719580134,0.0006138324507382,0.0003769117329501,0.0002695970321751,0.0002971369802264,0.0003935896748065,0.0004368231175913,0.0004151863269678,0.0003591600922924,0.0088596994586657,0.0004335135599228,0.0006290299818072,0.0007002374544631,0.0004298761741511,0.0004607917807193,0.0007273205166265,0.0004875287165292,0.0003413222445947,0.0002308319655735,0.202335629911571,0.0004189337447175,0.000239856482953,0.000471014106519,0.000299475977127,0.0004272914687567,0.000292470046708,0.0003949219407571,4.214292205764812e-05,0.0001824701733898,0.0003502679333755,0.0002879494289041,0.0002980002589582,0.0004650746303925,0.0001465542073324,0.0004095244572761,0.000669013644728,0.0002843110200282,0.2606605156592917,0.0004082023616114,0.0001978837387289,0.0163886430802967,0.0006707549960669,0.0004340919536745,0.0003243750018359,0.2898751777242894,0.0001869943939964,0.0003892842308918,0.0291622721751094,0.0002310026701144,0.0004940121811247,0.0003685790734294,0.0004212723781098,0.0002268442842148,0.000321110640658,0.0008162765865921,0.0003577426034413,0.0003696760938265,0.0003632009869358,0.0006128662262641,0.0003740209043318,0.0003393213945833,0.0003898488232182,0.0002884128957832,0.0004917701538536,0.0003000518916653,0.0002808932810609,0.0004641209297924,0.0003514312978834,0.0580417911654041,0.0005306850117826,0.0022725081144329,0.0003932263938231
BaumgärtnerKlaus+BaumgärtnerSabine,0.00019833034868386334,0.004194575214059399,0.0001270637417365799,0.009893696505830737,0.10985174577328473,0.002210176046894965,0.00021432394112526516,0.0010877243720877749,0.00012875016025169084,0.002351358199028249,0.011074605724856561,0.009188085797954191,0.0005700149330381377,0.006482231239748643,0.02646902586033802,0.0011376845795284464,0.00025169837316700626,0.07967785845536647,0.002319551583777919,0.0009134052105927108,0.001239174684476618,0.02177690341839138,0.0018978856674733968,0.0013083661556216213,0.0005818070106419793,0.00023919766013495567,0.0003192939812032229,0.009894667734965282,0.0026764495743633056,0.0009954163129830978,0.007579580890603119,0.010701555156377777,0.00029944464839549696,0.003399610187092184,0.01606694451779037,2.953364015114128e-05,0.016698105209337868,0.00024546677343935055,0.0011009986057257152,0.0010074997377157815,0.005783877429623947,0.0021184512840451315,0.010833777653358677,0.002338114731386618,0.005657198804596025,0.01639225986403634,0.0002860670562944161,0.00013867636238864653,0.08314364450633072,0.006906017965859442,0.0013958012986830983,0.008130911886457886,0.28254141894452506,0.0001310451405105582,0.0002728092839871147,0.019465056585651747,0.00016188601549220645,0.016413600391887377,0.0002582991684111208,0.0028536180049482667,0.0001589718304578021,0.001053384422503625,0.0005720443148017464,0.000250705001003849,0.0002590679571914366,0.024606552975903178,0.014428177298703567,0.0013881195624499043,0.006138800605231506,0.0177858150082539,0.00020211893867630006,0.027117153985211393,0.00021027551395201368,0.000196849214024099,0.022505158561771283,0.002262028567539352,0.017921927486847948,0.0018190312728483106,0.029225905535336917,0.00027557194057913694
BaumgärtnerKlaus+BierwischManfred,0.0004983013163001,0.0004097409748648,0.0003192452904032,0.0009226384073145,0.2870055731254249,0.000407819231474,0.0005384849201651,0.0006803642130055,0.0003234823855906,0.0010807992559793,0.000663643507365,0.0004746902374397,0.0005231809213841,0.0006930090241734,0.0007691318696486,0.0007310351102161,0.0006323874862925,0.0155996258777308,0.0007633045995826,0.001107558154523,0.0012329359891001,0.000756900109512,0.0008113344499201,0.0012806222158557,0.0008584112382127,0.0006009796770495,0.0004064350399658,0.0012484772021212,0.0007376333379749,0.0004223248673244,0.0008293333062945,0.0005272992864311,0.0007523491157288,0.0005149636655705,0.0006953547979206,7.420272217593812e-05,0.0003212825053498,0.0006167307077533,0.0005070040336658,0.0005247009306471,0.0008188754340026,0.0002580438327349,0.0007210660306361,0.1026099387097172,0.0005005977421749,0.0025114479386222,0.0007187381641164,0.0003484217840413,0.0795721267886144,0.0011810250497864,0.000764323000509,0.0005711399914113,0.0539508675808472,0.0003292484808527,0.0006854282575097,0.0006311848121578,0.0004067356062532,0.0008698269326789,0.0006489718617076,0.0007417510629785,0.0003994137704967,0.0005653923006072,0.1028692304395836,0.0006298916571884,0.0006509034292348,0.0006395024505126,0.2039430574392909,0.0006585535102232,0.0005974567007047,0.0006864223577167,0.0005078200782681,0.0008658793059223,0.0005283133221078,0.0004945799929853,0.0008171962153529,0.0006187790900001,0.0007645148246776,0.0009343982469554,0.1054332753184936,0.0006923693808699
BaumgärtnerSabine,9.293935166087503e-05,7.642175388092942e-05,5.954319071675397e-05,0.0001720834615287,0.0724484024863811,7.606332499672444e-05,0.0001004340902225,0.0001268963311586,6.033346131559329e-05,0.0002015824137734,0.0001237777129838,8.853559375473097e-05,9.757970537948672e-05,0.0001292547446593,0.000143452595786,0.0001363470794925,0.0001179480789071,0.0029095229488722,0.0379790004209993,0.0002065732789397,0.0002299577940454,0.0001411712214055,0.0001513238983906,0.0002388518644659,0.0001601043010086,0.0001120901344613,7.580515617971807e-05,0.0002328564222749,0.0001375777304861,7.87688052900052e-05,0.0001546809074679,9.83478313403436e-05,0.0001403224048406,9.604708565169464e-05,0.0001296922604436,1.3839724409537468e-05,5.992315647267295e-05,0.0001150278962807,9.456251596567536e-05,9.786320588571011e-05,0.0001527303850856,4.81283627595913e-05,0.0001344877229897,0.0002197039032222,9.33676634572838e-05,0.0193867334093055,0.0001340535471246,6.498496723581953e-05,0.2040243581204744,0.0002202757625394,0.0001425556822812,0.0001065246644409,0.1141132487082329,6.140890931812972e-05,0.0001278408380214,0.0001177237653227,7.586121550560755e-05,0.0001622334690596,0.0001210412698105,0.000138345737071,7.449560268076354e-05,0.0001054526490972,0.0002680650142137,0.0001174825759449,0.0001214015310176,0.0001192751076346,0.0002012651059128,0.0001228283656334,0.5392834772896326,0.0001280262499914,9.471471836568576e-05,0.0001614971878993,9.853696152175202e-05,9.22452788882774e-05,0.0001524171900619,0.0001154099448761,0.0001425914598585,0.0001742768169064,0.0007462910611458,0.0001291354432809
BierwischHedwig,0.0002247451591641,0.0001848024430194,0.000143986843416,0.0004161307805536,0.1294460020535584,0.0001839356933037,0.0002428688729714,0.0003068596416258,0.000145897869137,0.0004874648989754,0.000299318225363,0.0002140960288028,0.0002359664235309,0.0003125627373343,0.0003468958616162,0.0003297133618269,0.0002852210532284,0.0070357839445892,0.0003442676310745,0.0004995337671794,0.0005560820050947,0.000341379061261,0.0003659301794275,0.0005775895714437,0.0003871628752516,0.0231451134281666,0.00018331139164,0.0005630914435204,0.0003326893117178,0.0001904780630132,0.0003740480705675,0.0002378238992745,0.0003393264601766,0.0002322602553847,0.0003136207343271,3.346710526407966e-05,0.0001449056734139,0.0002781594921414,0.0002286702814456,0.0002366519820727,0.000369331333734,0.0001163836023752,0.0003252170815571,0.0005312861324753,0.0002257808991509,0.0011327197987135,0.0003241671611286,0.000157146101664,0.0130147701280287,0.0005326689978704,0.0003447269529161,0.0688797710692718,0.7105548012002313,0.0001484985084591,0.0003091436401842,0.0002846786200038,0.0001834469538307,0.00039231161154,0.0002927009814774,0.0003345464987873,0.0001801446403737,0.0002550047098684,0.0006482325646691,0.0002840953778772,0.0002935721621007,0.0002884300629456,0.0004866975877734,0.0231710805285475,0.000269466479219,0.000309592001852,0.0002290383360103,0.0003905311426255,0.0002382812522898,0.0002230667582181,0.0003685739681595,0.0002790833588442,0.0003448134699529,0.0004214347340961,0.0018046747725553,0.0003122742437434
BierwischManfred,0.008268537094649406,0.00525775936643943,0.002104648050276231,0.012122973814125113,0.08813015336149362,0.0007557242976117401,0.0014999449716312865,0.008826232102249004,0.001628090334655013,0.018387584499149432,0.0019015032374218113,0.0017884588471811782,0.002240233455289896,0.004635410746601649,0.0017450192766928288,0.0034720931543367503,0.005017611437294341,0.0921047717334234,0.006993731283743906,0.021696408860233215,0.006889292153319185,0.002678194685830352,0.0035373930431041494,0.00789936068797424,0.01021872261587364,0.004707226655358673,0.0001344699166469058,0.004864727494655478,0.0075566544493210356,0.0026634185945883368,0.004076476630445159,0.0007119595632316833,0.0015791751265820998,0.002043717236163858,0.007994465330228195,0.0001151464472648036,0.003605172471408614,0.010364745555790445,0.0002447021222802499,0.001869788647433302,0.010796702308774374,0.001167042876954207,0.001750277075284778,0.0010280464111712389,0.0010869156913747833,0.01113899518253018,0.001955797001365928,0.0010166718547314295,0.0859765457768295,0.003654445137248951,0.005441390798956675,0.0019571069596622933,0.34543777257106417,0.000702014630220465,0.007350428202963342,0.005558939231127139,0.0004903387838601794,0.005660299752316882,0.004056348488523358,0.000941705621331238,0.007506997033982221,0.006955192979484088,0.019926926039715128,0.00921054515900888,0.0005334530943086187,0.0025652381085759265,0.00718490578609035,0.004901812267731839,0.003724891958733364,0.0031171618694085922,0.00958185805402747,0.007985609849251311,0.0032611482031978506,0.0007780173042057344,0.0028180794629452336,0.005000763988774411,0.006471101369913529,0.0059603477542161006,0.013375812602700024,0.009640653405435459
BierwischManfred+BaumgärtnerKlaus,0.00029859273969740004,0.00024552550083466667,0.00019129856329653334,0.0005528645435569333,0.1593982463869494,0.00024437395134986666,0.00032267160920156665,0.0004076886969951333,0.00019383752078859997,0.0006476378856511333,0.00039766929479103334,0.0002844444794108333,0.0003135011278585333,0.007119793233662267,0.00046088016353673336,0.00043805177557053337,0.00037894002264426664,0.0907142515086119,0.0004573883394595333,0.0006636723863961334,0.02085238394085563,0.0004535506328872667,0.0004861688466153333,0.0007673760502759667,0.0005143782587373333,0.0003601197957996,0.00024354451437836667,0.054173631961737106,0.0004420055738833667,0.00025306603665636667,0.012251085327773964,0.00031596893972706664,0.013859878574806035,0.0003085771735242333,0.0004166713740884333,4.446384824352892e-05,0.00019251930579176666,0.059140214067515934,0.00030380759291173334,0.00031441194971540003,0.05926134348389863,0.00015462534907681975,0.00043207809120193334,0.000705858059186,0.0002999688068901,0.1221864079306015,0.0004306831841065,0.00020878173840603335,0.18028660025263096,0.0007076953115143,0.0004579985869398,0.0003422392219481001,0.18528377288232656,0.00019729268762313333,0.00041072318009403337,0.00037821935474093336,0.00024372462008606668,0.0005212187854923333,0.00038887773287976673,0.0004444730022242667,0.00023933722048136665,0.0003387950834559666,0.0008612311747469001,0.007081971965858966,0.0003900351691959333,0.0003832034604274333,0.0006466184485479001,0.0003946192603200667,0.00035800875349593334,0.00041131886606679996,0.0003042965841818333,0.0005188532836363334,0.000316576571457,0.0002963628436736,0.0004896813410494666,0.0003707855823509333,0.0004581135320587,0.0005599112894151333,0.0023976613627814665,0.00041488244873913335
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0003306227273908,0.0002718629756779,0.0002118191246282,0.0006121702203935,0.0558279275798741,0.0002705878996939,0.0003572845327516,0.0004514213877522,0.0002146304356186,0.0007171098812804,0.0004403272061358,0.0003149567858528,0.0003471303355792,0.0004598112149891,0.000510318693024,0.0004850415081234,0.0004195888484467,0.0103503456347787,0.000506452301627,0.0007348643999402,0.0008180525438729,0.0005022029249839,0.0005383200884365,0.0681497709935298,0.000569555518954,0.0003987497793662,0.0002696694891726,0.0008283641326003,0.0004894194296464,0.0002802123833758,0.0005502623225622,0.0003498628691683,0.0004991833423986,0.0003416781895786,0.0004613676349479,4.923347698093263e-05,0.000213170815944,0.0004092005820435,0.0003363969769402,0.0003481388611274,0.0005433235284095,0.0001712119815349,0.0004784270277427,0.00078157532201,0.0003321464050555,0.203566580690438,0.0004768824892224,0.0002311777166824,0.1200961534866969,0.0007836096560541,0.0005071280102411,0.0003789511596807,0.2713466547211921,0.0002184562375573,0.0004547813792891,0.0004187908746313,0.0002698689147861,0.0005771298277427,0.0004305925750122,0.0004921515385668,0.0002650108796412,0.0003751375690927,0.0009536152828008,0.0004179328668177,0.0004318741693069,0.0004243096244085,0.0007159810893485,0.000436949995034,0.0003964122859469,0.0004554409643855,0.000336938422213,0.0005745105789423,0.0003505356814409,0.000328153630835,0.0005422093674958,0.0004105596828586,0.0005072552855015,0.0006199728693702,0.2382051333509135,0.0004593868119088
