year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00029885610684229875,0.00024574206119115557,0.00019146729397797943,0.0005533521855421554,0.10631772514377996,0.00024458949600753444,0.0003229562145826389,0.00040804828982469175,0.000194008490901572,0.0006482091203738999,0.0017209566538010444,0.0126641773907629,0.00031377764461861917,0.0004156320125919814,0.00046128667272694597,0.00043843814948432046,0.018256302579022634,0.028310708522677374,0.0004577917687632741,0.004199149190498891,0.025144786286103647,0.00045395067722647233,0.00048659766113108604,0.0007680528974077727,0.0005148319547432803,0.0003604374315282644,0.00537475044777175,0.0007487739323622455,0.00787008464917875,0.00025328924797630276,0.006212830851619188,0.0003162476331662403,0.00045122121968778226,0.03758187221642246,0.010581828008049866,4.4503066600866224e-05,0.00019268911320223246,0.00036988410879142705,0.0003040755597029969,0.00031468926984586304,0.004043685260338382,0.00015476173295792973,0.025199358843971696,0.00627432989586351,0.0003002333877647636,0.012542907487304265,0.0004310630587165482,0.00020896588973674769,0.18378753766981346,0.0007083195185658273,0.029563007833113254,0.018639161499197865,0.28486978706893457,0.00019746670528981677,0.00041108544942251407,0.0003785529547866274,0.0002439395920153968,0.014060483060400086,0.0003892207339129894,0.06793196268408994,0.00023954832260159747,0.010052824435084087,0.002554341372893355,0.00037777738537299836,0.0003903791911203302,0.00038354145659371313,0.0006471887840986454,0.0003949673255410534,0.0054353762317384926,0.0004116816608069517,0.00030456498227701944,0.0005193109267393933,0.0016397924044177204,0.0002966242439879012,0.0009341838656375727,0.00037111262560156013,0.00045851760100263495,0.005380912121416543,0.04344770512971932,0.00041524838665882654
1955,0.003008126624212219,0.00021129311253039718,0.00016462676473162185,0.0004757814150413097,0.05663057090894241,0.0002103021178107009,0.0017359592683292933,0.000350846708137173,0.00016681172812344698,0.01244891216031336,0.01960038046204382,0.01124944649962601,0.0002697912390437349,0.001086505390205078,0.00039662195546346507,0.0064104800393226065,0.0043644510241772514,0.10312384543181771,0.004054301065441411,0.19583571982268233,0.016173063984230126,0.0003903143444859524,0.0004183847643827582,0.007157530984577041,0.00044266107975382963,0.0003099101000899625,0.00020958832507325908,0.001372946355180346,0.0003803789551150898,0.00021778230928796806,0.0022570810952109908,0.0002719149762892711,0.0003879675114852619,0.0002655538069492614,0.0025242924175064084,3.8264477044203176e-05,0.00016567730522757694,0.00031803251036163126,0.00026144922502331435,0.0002705750695804775,0.00042227346015905417,0.00013306671270997455,0.0003718356115185313,0.0016903015335808433,0.004287275709782318,0.012455982890178031,0.005872965532503618,0.00017967234848253222,0.12585246595781518,0.0008469228952426937,0.006891288468207732,0.0002945225249090562,0.32842559968539314,0.00016978515838747787,0.0003534581084874322,0.0014083438492984378,0.00020974331954605444,0.0011776859372606156,0.0003346584623373253,0.00038250236230629933,0.00020596763304818312,0.00029155858536103214,0.0007411540345172312,0.0003248192808839552,0.00033565452311698225,0.00032977532521421567,0.00254952313982837,0.0003395994774230241,0.0003080933898195077,0.0003539707409547694,0.00026187003869481996,0.0034632639865237636,0.008525933403754517,0.011259703146177151,0.00042140752934694995,0.0003190888095533657,0.000394241061526913,0.009231502521272278,0.009069785643620988,0.003884593866402054
1956,0.00027459420663648003,0.00022579209454002001,0.00017592349121532523,0.0005084296452395599,0.1375483507373311,0.0002247330975346,0.00029673780622603996,0.00037492188999472,0.00017825838729797037,0.0005955858524166601,0.00036570776843906,0.00026158307209716,0.00028830437595768,0.017006945000101182,0.00042383824532746,0.00040284462341718,0.00034848380769829997,0.028786362301402534,0.00042062706657221993,0.04277302963108186,0.029768397164633642,0.00584320694829358,0.004919601635193579,0.00070570040628224,0.00047303658492224,0.00033117620248204,0.00022397032417522,0.00068798655673978,0.00040648064655693996,0.00023272658147256,0.00045701288322903995,0.00029057384454176,0.0004145899314116601,0.00028377617029766,0.00038318261023998,4.0890194265308324e-05,0.00017704612004186857,0.00033985597441588,0.00027938993101535997,0.00028914199312626,0.014016522821330198,0.00014219778116060598,0.00039735105675656,0.0006491267468746,0.07430594619903917,0.00138395992877428,0.00039606826130884,0.0001920015063859041,0.2433545837009655,0.00065081633532872,0.0004211882671656,0.00031473272835086,0.2179492193815411,0.00018143585503103916,0.00037771248523802,0.0003478210614059,0.00022413595440443998,0.00047932732400444,0.00035762280304246004,0.00040874976243832,0.00022010117943011996,0.0003115654025889,0.0007920121949378401,0.0182371373026542,0.045083759333644155,0.00035240458392614,0.00059464834963994,0.0003629028717205,0.00032923482913468,0.00037826029466324,0.008712379221982161,0.00047715194255978,0.01715621184154688,0.00027254353209514,0.00045032461099508,0.00034098475710124,0.000421293973901,0.00051491002915734,0.07003132051928476,0.00038153746462282
1957,0.0009943679956800735,0.00017166746546046455,0.00013375286638540163,0.00038655396124936893,0.08825273979670684,0.00017086232065581704,0.0002256067786823792,0.0002850493536195604,0.0010816755707302918,0.1063106719930833,0.0005180918455304722,0.004523962940452794,0.00021919492621139664,0.005650783850564063,0.012194577276295802,0.012075640075947188,0.0021343953741043147,0.05676977303419818,0.0005797469181168131,0.004215660387204805,0.009999284865981947,0.0036438456681143374,0.0020523492986803805,0.0030211814524332696,0.0003596449723764778,0.0002517899460418532,0.00017028239171902195,0.0023144385309412053,0.0003090431597940202,0.0013024842486710415,0.010874917798004691,0.0017049625439450578,0.013838224196022637,0.0010915352235998698,0.003949349723957445,3.108840469375781e-05,0.0001346063898256193,0.010483913811279055,0.000212417363106908,0.00021983175814587426,0.018690443019132863,0.00010811154719864086,0.004953814800907518,0.0010108802263675417,0.003182676054943359,0.050825330238698875,0.0003011267276949252,0.0007178278506799942,0.0912558349567098,0.008114291080772253,0.0003202252162694066,0.0004835578567966462,0.33666436732139415,0.001465156399062365,0.00028717101520173046,0.004003338124103538,0.00017040831872150742,0.002837399128716397,0.018694171444747974,0.021192943844257066,0.00016734071976523492,0.0024513905584362737,0.002159765000453936,0.0020548563933830023,0.0002727062920498525,0.0008050341075922355,0.0011514864269406557,0.0002759114145404061,0.0007400694053465675,0.01009279044847124,0.0028473398212128364,0.004385650641292194,0.001392531282402955,0.00020721211465674763,0.00808110954699393,0.0004952168207019604,0.0003203055840404078,0.011760572630342088,0.020217172067231965,0.0019824970735517456
1958,0.00922618211525846,0.00020178778965849935,0.0001572207942606081,0.0018828931121287447,0.12645494504971438,0.00048149076503827616,0.0013768181108076473,0.003525627434738498,0.0033936652121676594,0.01661085973198235,0.008223403214360023,0.0016550714904144824,0.0031336156139485107,0.0003412906391592666,0.0006594287383078513,0.007751069575324163,0.011867753503876479,0.10209654297619995,0.0015170210011065006,0.007865196500574977,0.009901566784013388,0.0003727554954471236,0.0020059776062520784,0.0035863233310008753,0.002581566372384718,0.002452032309438726,0.002123732126582066,0.06673515661782459,0.005316373662843177,0.00020798506061867834,0.005684077383123563,0.00025968249217095494,0.0015161282550535276,0.0005162011725151304,0.001377466078830041,3.654309481610549e-05,0.00015822407468980306,0.004402120848055941,0.0002496875576945152,0.0012934230643739664,0.012521866818768972,0.00012708051631831775,0.0003551080547116397,0.0030594764750886834,0.008354348689677047,0.04546268824547894,0.00035396163522115895,0.003276650134783552,0.0992317668220074,0.0048140500449808795,0.003306430427393678,0.0002812730078813644,0.28192280904730704,0.00016214713020001854,0.002134236585673032,0.0038501051035895167,0.0027632438058434296,0.0017003226118378594,0.009301006541746482,0.00130499909555129,0.0010950415323546052,0.001569390587941256,0.008863804799740612,0.00057280050433965,0.0035671743111683044,0.0027564513162346284,0.0072325106485128954,0.0003243221092145867,0.0010058296654627433,0.0021366107565572814,0.0002500894404611145,0.0025868850375338755,0.0005099218567946663,0.00024356900997456041,0.002086346241623312,0.004195428493276155,0.03134140285445736,0.009307481942060249,0.01597567223298977,0.0008967891084821456
1959,0.02734787080481113,0.006306480088495948,0.01657456343540063,0.008519496497770148,0.1263981193175486,0.0010039250757781415,0.0002859363726570096,0.0076575315235366025,0.005274471894228985,0.003863266694672221,0.0003523957870076596,0.0010507232940108909,0.0002778099242928564,0.0046942696866920115,0.014587016791656688,0.0010178664373959347,0.00033579878873624705,0.10437825904638005,0.0027674331819436044,0.000588115190141125,0.004069088918962746,0.006215232435753904,0.00043081991887667926,0.0014786744916895679,0.0032964736661380647,0.0007501469299444652,0.00021581767046124708,0.0027319446106180605,0.001462294374065209,0.003416491285584284,0.00129214902496687,0.010003355876411572,0.002209304297673559,0.00027344654802633747,0.00835585455552974,3.9401766745408956e-05,0.0016154917103482663,0.0003274850137439662,0.0047081754834644,0.0010772790538367831,0.00043482419374875646,0.0021527682084601265,0.0028563447315192066,0.002955479209522493,0.0031848982693119436,0.05742783204741834,0.004626745684320922,0.0009334628008361486,0.12722316545525614,0.0017897896797126537,0.00040585676240824104,0.0008083027662560749,0.24968421331967222,0.00017483148142565866,0.00036396352493742314,0.00033516016680517567,0.00021597727165106507,0.015284583679015551,0.0013733120882306292,0.005142581132676892,0.00021208936489824071,0.0012471095342267513,0.0007631824774903572,0.0010528157312309305,0.0005611436543224533,0.006294212307331048,0.0035654529747363747,0.0003496929902067403,0.000317250484501516,0.00036449139377201146,0.0026732275292425016,0.007684234201224304,0.00028053523746507397,0.02042333919603806,0.000433932525901405,0.007255114298558757,0.0012046206234963936,0.008072139541664084,0.06477335894676378,0.007847687047742405
1960,0.0002151466028279029,0.00017690978509970207,0.0001378373635635792,0.002074886999356912,0.0755177603104403,0.0023131007685473133,0.00023249627776981461,0.028242102609793825,0.0001396667720070021,0.0041695872766416035,0.0024075578248551346,0.0004975260705029457,0.0008896201370844453,0.0011374779089069374,0.00775566115781335,0.0074812943283810085,0.001716163581648755,0.032272607743982315,0.00032956443451218287,0.015437344376036005,0.0145290572949429,0.010317713966214432,0.000350301805248372,0.029640197915470293,0.002649050001316744,0.0002594790173260257,0.0001754824144719151,0.006316644125123968,0.002004988529427984,0.0018688509273702145,0.00529880220716432,0.02076855805360131,0.0007808428767190022,0.0002223407396350589,0.004597854731639464,3.20377712731601e-05,0.01967522972737543,0.0027810725704967803,0.00021890408854054847,0.0008116924784015428,0.00356565027491832,0.00011141301894570591,0.03307068877629676,0.012597914330990178,0.00021613810778573018,0.01194906623622551,0.00158588047994837,0.00015043460800850166,0.09546408073079889,0.003894928673692495,0.003989853420465392,0.002159932511042909,0.2922310552487469,0.004234885997916115,0.00029594054091690113,0.005803479371630686,0.00017561218698814246,0.023764860140571675,0.00028020012552647407,0.0026270414789288737,0.00017245091079250323,0.0010484286345073613,0.0022937757853719403,0.0002719620554084832,0.0009188131252164454,0.0036252053738033887,0.003565273281560336,0.015026019997963437,0.006867083688189526,0.009329686276239533,0.000889075176353096,0.00037385209517685596,0.00022810458805161968,0.007816369500716928,0.015870008810066446,0.008381722470938014,0.04697690741081373,0.0020242200065536398,0.06940963353969014,0.00029893744070807674
1961,0.0038959668962533127,0.0001087552796803981,0.021515536319596396,0.0007186527548698306,0.1342002951649945,0.00201958002091977,0.004670131257178064,0.00018058530830207095,8.586013963625599e-05,0.0006351170417047758,0.0037436784747682714,0.009500520905051766,0.00013886501697163054,0.00018394155056103867,0.03965750196832629,0.0018886610962354302,0.004226223644254882,0.045897014594111184,0.0003280461578056792,0.0008604967398987859,0.0005213684866579861,0.007150505440863215,0.00021534801357011053,0.00033990846850570253,0.00022784334498991303,0.032944529589501455,0.0002549035589775104,0.011708687678687624,0.00168255385483571,0.0004061468632319766,0.001395538468808789,0.00013995813181734776,0.0018491383499935309,0.0001366839562307421,0.00597214459452641,1.9695217950694907e-05,8.527623759685213e-05,0.006040761011049692,0.0001345712751784401,0.00013926846461943544,0.006094415167181899,6.849114665223145e-05,0.0001913885665346183,0.003013129324192821,0.00013287088867685706,0.007630467924099106,0.00019077069380539434,9.247966616632773e-05,0.1584864635915441,0.06457491061476547,0.013890754067437063,0.0013596124996728674,0.2574548562787379,0.0013680814512595195,0.0001819294296132156,0.0001675318920664245,0.0009237748359637196,0.01239663088054842,0.00017225301020482842,0.002584710963855949,0.009035401221718376,0.015189006056751548,0.0024617015941691533,0.00016718865709850413,0.01686553929945689,0.0019526560303946294,0.013351855901861154,0.0038367853688619203,0.0058113348532120735,0.005440060735155405,0.0016954231353564547,0.001924649984696321,0.0001402272816958869,0.007445476085470401,0.0009133968209937673,0.0001642391098804553,0.010471659701419438,0.011427088998406233,0.014726753158128044,0.00018377177357841904
1962,0.012393209482455494,0.0027692713601417404,0.0021045222581414576,0.0015140405324134115,0.2318672437447193,0.00848492020509197,0.0029651277026353476,0.005274488992374468,0.00014758589673911563,0.0004931048319601073,0.005782321611281842,0.02054258919543079,0.0002386965376748451,0.007778898367397202,0.0013106131467604313,0.01172178170022352,0.003673873879473622,0.09139432002647811,0.0005459187647676814,0.0005053133360804096,0.0008073745201380714,0.0023320992262925375,0.0006958981109927542,0.0033595105612782006,0.0014383136114535372,0.0008327479388713953,0.0001854322909423669,0.0015028420786691757,0.000885389464223317,0.000779196188046675,0.0005294562711264775,0.002953067315937987,0.00574263123097376,0.008569303692178084,0.0013142699618855364,0.0076278862992686285,0.0051316855151694344,0.0002813777769820737,0.00023131597976287568,0.0008259043359494328,0.0003736044700680644,0.00011773015208434615,0.0003289798192419899,0.002292603090485543,0.005170092731359031,0.01983296202263154,0.0014208678670166904,0.0005215473968258898,0.12191870743406501,0.006518450517269407,0.0033397773946468455,0.0002605774272442215,0.2843808480783102,0.0007957993168830201,0.0012436477866879213,0.008486938241508715,0.007531330037391022,0.01654410147156318,0.002254957007829084,0.00033841717714252936,0.004206392806873085,0.0006802544893541049,0.0018948917435169543,0.0002873823404786936,0.0002969687703978401,0.0002917671775341349,0.0004923286430239534,0.00494831555334611,0.008365917950708403,0.0003131739585153935,0.000883156585363854,0.0008317330236173972,0.0003388153846525173,0.0026734976866351107,0.016200146360532488,0.0032612799402803915,0.0003488029364084517,0.00042631070293553135,0.011737493329436716,0.0003158872337479573
1963,0.006202181146394623,0.00014666359353926792,0.0001142713674815619,0.012248641137958875,0.13230322813300419,0.02604456743309271,0.0017296340232836498,0.0024240127580649434,0.00011578800273276034,0.0024153277266401414,0.0078002376308093915,0.010235864133120831,0.00018726853965897274,0.003911128489452092,0.00132189656826387,0.008069189099397842,0.0075739842341664585,0.06778032020142778,0.00027321894173943945,0.00039644182290940244,0.002534503444263122,0.0005099913945847121,0.00770404546967836,0.005234542149013506,0.041775794604076384,0.00021511599885571734,0.0001454802598674395,0.0019344707229173282,0.004683223309916493,0.0001511678999231968,0.00029685340350227995,0.006776664239633779,0.001224439540085364,0.002025348773952417,0.05565491703028213,2.6560286991827872e-05,0.013456196709309608,0.0004598188479582341,0.00018147814858121577,0.0069113613611597865,0.0016003197309809186,0.00023081208713652597,0.0020083884107445498,0.001832791803963425,0.006909766868238319,0.010236708736969526,0.001341426228897614,0.001021188032476505,0.14868616978037458,0.0011212898120285843,0.0002735834704262942,0.0002044351155800625,0.25575890047531763,0.00011785193166276619,0.0006935802941594151,0.002882768801486219,0.0005188663714706102,0.01709002379797969,0.0009195959011980621,0.0002655040210315989,0.021093798158840903,0.00020237777438260703,0.00728816445203195,0.00022546481716686557,0.00023298581746702537,0.008881496582243978,0.0007283125464814118,0.0020145190602191016,0.0009881590119986303,0.025303369954693938,0.0001817702453965466,0.004723968915530621,0.0010401950316666444,0.000692941327276919,0.006983315046301575,0.00022148716021460995,0.00027365213239477054,0.0005064306705717409,0.007558236646831021,0.013949544398471507
