idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
uj0002,2.0811271986367888e-05,1.0536249374474608e-05,2.428160439252436e-05,2.564696669113092e-05,1.6574351695887363e-05,1.4475700703340226e-05,0.154649572832547,0.0063201470860315,1.6803210605812403e-05,2.164144526158272e-05,1.6847451685539197e-05,1.6316324656515096e-05,1.223723835532829e-05,1.6248896883846007e-05,8.422755532403749e-06,1.6202034799898862e-05,1.7243733063352473e-05,1.3910257909204304e-05,1.858669220086409e-05,1.096264209254787e-05,1.707141225070736e-05,9.088518963007576e-06,3.0069742634210754e-06,4.227693569242476e-05,1.2481857242581006e-05,0.1011142806357877,0.0008482234318613,2.188698874381901e-05,1.6138441356735512e-05,4.37861275872488e-05,1.971414166912151e-05,1.6015316945856145e-05,0.0358386229311638,2.590470611371244e-05,2.413822738205339e-05,1.0891753158027616e-05,2.195959059616725e-05,1.4365868187929838e-05,1.586409341902261e-05,2.217712142840257e-05,6.043701326842503e-06,1.993063641800999e-05,8.638583640435243e-05,0.0001501505726398,3.944792312191582e-06,1.5680692095893053e-05,0.0189711213478084,1.4861046891773485e-05,1.4733845089928567e-05,1.136027550203441e-05,0.010549629401438,2.3412796088880946e-05,1.5681225646697563e-05,1.926119487514338e-05,1.2087132917963922e-05,2.352092864021309e-05,0.0358287629439307,1.074988516407659e-05,1.2487150257171723e-05,1.965101726574307e-05,2.0471841265435275e-05,1.0101572674118723e-05,1.1640212880371815e-05,1.9525792944375336e-05,1.946185708460625e-05,0.0021294674393039,3.602767913508714e-05,1.322295689550902e-05,1.2151053958081333e-05,1.1548948831039104e-05,1.4136967257013185e-05,4.588672176700776e-06,1.756894137268212e-05,2.22580058394974e-05,1.1795940304430347e-05,8.050927477916977e-06,0.3687320263120577,1.950071823356279e-05,1.0535662236691605e-05,1.2522731542083328e-05,2.022006344474914e-05,4.130151867608374e-05,9.08906209316536e-06,2.622235190504813e-05,2.082360349874383e-05,1.811626819114635e-05,1.1438680746503895e-05,1.956871225910306e-05,1.6729358788381995e-05,2.276738534435412e-05,0.261176036621394,2.90230837032835e-05,1.0598388017405123e-05,1.4541417247052767e-05,1.8514439749294927e-05,1.6921564937509848e-05,0.0021207765521244,1.503766140017407e-05,2.658791339680984e-05,1.4260876615625784e-05
uj0003,3.717519992983612e-05,1.8820914803442727e-05,4.337425883917921e-05,4.581320713895672e-05,2.960678416992648e-05,2.585796140301472e-05,0.0505183168441521,3.0663027424879085e-06,3.001559511323454e-05,3.865813943986384e-05,3.0094623006629653e-05,2.914587016225549e-05,2.1859393445358736e-05,2.9025423851648485e-05,1.5045578236752932e-05,2.8941714055293653e-05,3.080250090368127e-05,2.484791026656053e-05,3.32014304101188e-05,1.958258062345521e-05,0.0150793213008557,1.623483224558444e-05,5.371361707240826e-06,7.551934056775594e-05,2.2296356454933094e-05,3.464049752542878e-05,0.0240884224515755,3.909675405455831e-05,2.88281170120484e-05,7.821521184651881e-05,3.5215394737753925e-05,2.860817973028677e-05,6.106169452342097e-05,4.627360737641193e-05,4.311814431465174e-05,1.9455951635312167e-05,3.92264428298571e-05,2.566176744995637e-05,2.8338048964237767e-05,3.961501841449936e-05,1.0795870876549803e-05,3.560211956548002e-05,0.0453007909729058,0.0002682141466953,7.046587204446823e-06,2.801043896235015e-05,2.827676520040709e-05,2.6546305758255967e-05,2.631908502815751e-05,2.0292873656294693e-05,3.3782290508350214e-05,4.182230553186565e-05,2.801139204478756e-05,3.440629534033386e-05,2.159125992385985e-05,4.201546283706683e-05,0.470319280563366,1.92025326687911e-05,2.230581137319904e-05,3.510263554083495e-05,3.656887442886416e-05,1.8044451296014816e-05,2.0792926128548383e-05,3.4878947186467525e-05,3.4764738484031726e-05,4.166356824121896e-05,6.435628613821212e-05,2.3620183647407324e-05,2.170544215393423e-05,2.06299010485546e-05,2.5252881444500947e-05,8.196750573106088e-06,3.138342089387182e-05,3.975950233434947e-05,2.107110221157332e-05,1.4381381340276729e-05,0.391549785212541,3.483415620068589e-05,1.8819865998521825e-05,2.2369370264804303e-05,3.611912340797333e-05,7.377695199000856e-05,1.6235802439632007e-05,4.684101843170496e-05,3.719722772507676e-05,3.236111144141245e-05,2.043292903784994e-05,3.495561400947093e-05,2.988367352382109e-05,4.066940755040802e-05,2.54400851318264e-05,5.184396897780566e-05,1.89319131352998e-05,2.597535094329904e-05,3.307236576984771e-05,3.022701159687363e-05,2.613902612395108e-05,2.686179246491197e-05,4.749402135972362e-05,2.5474220879333114e-05
uj0006,1.949722543433824e-05,9.870979026226698e-06,2.274843724394041e-05,2.402758906863021e-05,1.5527828940700948e-05,1.3561689074935323e-05,0.1981601300399436,1.6081795372466711e-06,1.574223744789783e-05,2.027498065790308e-05,1.5783685097299405e-05,1.528609401175997e-05,1.1464565696121428e-05,1.5222923702654132e-05,7.890933504745196e-06,1.5179020542115036e-05,1.6154944834028458e-05,1.3031948959352207e-05,1.741310805780064e-05,1.0270448840146782e-05,1.5993504546602927e-05,8.514659901715258e-06,2.8171106084999053e-06,3.960752357703846e-05,0.2071934196648948,1.816785358748972e-05,0.0146067807352331,2.050502025520542e-05,1.5119442458742053e-05,4.1021423439398365e-05,1.8469369129341045e-05,1.5004092258285417e-05,3.202494205203548e-05,2.426905454122025e-05,2.2614113215256096e-05,1.0204035910747426e-05,2.0573037946921305e-05,1.3458791505080896e-05,1.4862417150892631e-05,2.077683364368552e-05,5.662095392556674e-06,1.867219416219796e-05,0.1480678784297606,0.0001406699007044,3.69571379648606e-06,1.4690595988574674e-05,1.4830275740459696e-05,1.3922704082142362e-05,1.3803533941660373e-05,1.0642975239785493e-05,1.7717750946134926e-05,2.1934486450041005e-05,1.4691095850395856e-05,1.804502189300984e-05,1.1323938080801708e-05,2.203579139341467e-05,2.278752523347697e-05,1.0071125617623953e-05,1.1698697886222896e-05,1.841023047006622e-05,1.917922674162507e-05,9.463748289756366e-06,1.0905237064844395e-05,1.8292912949773943e-05,1.8233014070355497e-05,2.1851233723857527e-05,3.3752851936821576e-05,0.0059318659284806,1.1383823076297555e-05,1.0819735527742e-05,1.3244343630143927e-05,4.298938379740276e-06,1.6459619133815298e-05,2.085261092429924e-05,1.10511316884487e-05,7.542583081672125e-06,0.2152213680758818,1.826942148371972e-05,9.870428960967652e-06,1.1732032529757388e-05,1.894334644884433e-05,3.869369546155624e-05,8.515168738038833e-06,2.456664382869857e-05,1.9508778321489853e-05,1.6972387136311557e-05,1.0716429891075298e-05,1.833312229186903e-05,1.567304871526681e-05,2.132982764821349e-05,1.334252608782573e-05,0.2091820757546956,9.92919416705008e-06,1.362325620395888e-05,1.7345417705315202e-05,1.585311875720689e-05,1.3709098698449884e-05,1.4088166956661356e-05,2.4909123366694124e-05,1.33604292158725e-05
uj0007,2.8741071573464964e-05,1.4550917290687945e-05,3.353371818028419e-05,3.5419329764894035e-05,2.288974113102336e-05,1.999143302068629e-05,0.3153792421015668,2.370634905907428e-06,2.320580303798845e-05,2.988756898779679e-05,0.0058405779543626,2.2533397049251448e-05,1.6900040692487433e-05,2.244027701114945e-05,1.1632110702372463e-05,2.237555888581387e-05,2.3814179474093427e-05,1.921053736819538e-05,2.566885153434728e-05,1.5139780077958968e-05,2.3576198594641416e-05,1.255155255208324e-05,4.15273331592431e-06,5.838588027866238e-05,1.7237867661994967e-05,2.6781430109263e-05,0.0506185692416978,3.0226672854296343e-05,2.228773418664324e-05,6.0470125407727214e-05,2.722589744119417e-05,2.21176952045069e-05,4.720831457549695e-05,3.57752766381352e-05,3.3335709672076e-05,1.5041880058097235e-05,0.0058476379913666,1.9839750596441807e-05,0.0378344306942084,3.062735591965054e-05,8.3465562564944e-06,2.7524884022944623e-05,0.0001193017663051,0.0002073630270108,5.447891808891782e-06,2.1655566951637545e-05,2.1861470389529827e-05,2.052360916011577e-05,0.2472560676871972,1.568892528587992e-05,2.6117928921663227e-05,3.2333864482970896e-05,2.165630380337205e-05,2.66003625756067e-05,1.6692739998820967e-05,3.2483199199238803e-05,0.020394180023342,1.4845955552819462e-05,1.7245177494440137e-05,2.713872050185474e-05,2.82723062499928e-05,1.39506140432733e-05,1.607552828795273e-05,2.6965781472201667e-05,2.687748388409952e-05,3.221114073594424e-05,4.975544528588361e-05,1.826135138667197e-05,1.6781017120482164e-05,1.5949489544349075e-05,1.952363065706387e-05,6.337111712542727e-06,2.426330316537244e-05,3.073906003124817e-05,1.6290593135682813e-05,1.111860356383587e-05,0.3143514984805844,2.6931152447189675e-05,1.4550106433520932e-05,1.7294316454182246e-05,2.792459255091225e-05,5.7038796337853934e-05,1.2552302633229111e-05,3.621395623589209e-05,2.8758101809773355e-05,2.501918004180082e-05,1.5797205584388758e-05,2.7025054499688e-05,2.3103811176463208e-05,3.1442530382158624e-05,1.96683624832919e-05,4.008186172114497e-05,1.4636732861457182e-05,2.008218979363319e-05,2.556906845125328e-05,2.3369254379193063e-05,2.0208731146223057e-05,2.0767519778850592e-05,3.671880903903205e-05,1.96947536786091e-05
uj0008,4.172787804252323e-05,2.1125826869769312e-05,0.0042716331457591,5.1423742813470536e-05,3.3232592734019645e-05,2.9024668647102217e-05,0.0102526485423976,3.4418189309400173e-06,3.369146889923205e-05,4.339242642788947e-05,3.378017498026921e-05,3.271523267848569e-05,2.453641420874753e-05,3.25800358545502e-05,1.688814195827879e-05,3.248607449913445e-05,3.457474347251453e-05,2.7890921129450112e-05,3.726745899431849e-05,2.1980770447924256e-05,3.422922966350978e-05,1.822303851124325e-05,6.029168011605973e-06,8.476785165945949e-05,2.5026890096087108e-05,3.888276213178639e-05,0.3057529268066626,4.388475618493672e-05,3.2358565741266955e-05,8.779387406554946e-05,3.952806439803289e-05,3.21116937382199e-05,6.853964328240672e-05,5.194052617968079e-05,4.839862786958886e-05,2.183863378197884e-05,4.403032735629198e-05,2.8804447710527543e-05,3.180848128253706e-05,4.44664900302482e-05,1.2117992213888396e-05,3.9962149661268256e-05,0.0001732089056566,0.0003010611166504,7.909550776811598e-06,3.14407503697221e-05,3.173969237412663e-05,2.979731141327369e-05,2.9542263991008937e-05,2.2778049846682565e-05,0.0084838135307559,4.69440935888607e-05,3.144182017184254e-05,3.861987826739889e-05,2.423544359109557e-05,4.7160905993089045e-05,4.876976352536707e-05,2.155417974410919e-05,2.503750291530659e-05,3.940149609373088e-05,0.0464934647185982,2.02542733985419e-05,2.3339341477028784e-05,3.915041364123046e-05,3.902221831704577e-05,4.676591646224383e-05,7.22377085883471e-05,2.651284040008549e-05,2.436360920096881e-05,2.315635145495244e-05,2.8345487290647063e-05,9.200569436212876e-06,3.522680609891293e-05,4.462866824039879e-05,2.3651584523164898e-05,1.6142603880617033e-05,0.1861242890888303,3.910013730658725e-05,2.112464962246701e-05,2.510884557607044e-05,4.054246861927775e-05,8.28120806558831e-05,1.822412752055513e-05,5.2577425493199866e-05,4.175260348193127e-05,0.0169281123826969,2.2935257175540693e-05,3.92364695022946e-05,3.354339147114532e-05,4.5650005421035553e-05,0.4181003123968796,5.819306469983439e-05,2.12504186638524e-05,2.9156434351918792e-05,3.7122588392976765e-05,3.3928776600659924e-05,2.9340154089532224e-05,3.0151434345879985e-05,5.331039872786171e-05,2.859393316209119e-05
uj0009,5.8537541910346165e-05,2.963615773894884e-05,6.82988255455456e-05,7.21392901182945e-05,4.662001475307963e-05,4.0716969974659134e-05,0.1565616966832032,4.828321720850705e-06,4.726374465291797e-05,6.087263718576083e-05,4.738818510328365e-05,4.589424130486605e-05,3.4420666529232414e-05,4.570458177463054e-05,2.369136328147784e-05,4.5572769014465805e-05,4.850283767123958e-05,3.912650345818113e-05,5.228028706729106e-05,3.0835506900347033e-05,4.801813703406345e-05,2.556400973705612e-05,8.457958844785814e-06,0.0001189157441485,0.3969511204077641,5.454629913268012e-05,0.1801094537259765,6.156329712675986e-05,4.539389461184226e-05,0.0178955195018466,5.54515550485633e-05,4.504757265868347e-05,9.615016217875836e-05,7.286425456358152e-05,6.789553747334499e-05,3.0636111881235406e-05,6.176751020789145e-05,4.0408035207088665e-05,4.46222140575539e-05,6.237937671067461e-05,1.6999605787930613e-05,5.606050727621813e-05,0.0061671039812896,0.000422340616399,1.1095835249944636e-05,4.410634637555245e-05,4.452571421625022e-05,4.180086425417169e-05,4.144307349484444e-05,3.1953962436751494e-05,5.319493237944659e-05,6.585505841204713e-05,4.410784713689951e-05,5.41775150978568e-05,3.399845286846035e-05,6.615921155365348e-05,6.841618146541191e-05,3.0237068341413107e-05,3.512361387611429e-05,5.5273999951943e-05,5.758279776663083e-05,2.8413507552972663e-05,3.274136486114114e-05,5.492177141132039e-05,5.474193386591432e-05,6.56051043883565e-05,0.0001013379565979,3.719327650691332e-05,3.417824872943785e-05,3.2484659114552416e-05,3.976418711142071e-05,1.2906928035557354e-05,4.941757729164562e-05,6.260688681228966e-05,3.3179391936967536e-05,2.2645492546752e-05,0.2374061438265506,5.485124175143028e-05,2.9634506249188764e-05,3.522369622370464e-05,5.6874601999444446e-05,0.0001161721100971,2.5565537443022137e-05,7.37577224801576e-05,5.857222774901079e-05,5.09570875433733e-05,3.217449918660176e-05,5.504249402675125e-05,4.7056015694264246e-05,6.403965959683417e-05,4.00589654505626e-05,8.163556652189775e-05,2.9810940107714187e-05,4.090181619329949e-05,5.2077056773889216e-05,4.759664941993789e-05,4.1159545614128046e-05,4.229764211543104e-05,7.478596674888019e-05,4.011271695032822e-05
uj0013,2.907939939650665e-05,1.472220457751142e-05,3.392846302622458e-05,3.58362712384338e-05,2.31591895497106e-05,2.0226763773615384e-05,0.0336309393060516,2.398541024330751e-06,2.3478972004695504e-05,3.0239392896860265e-05,2.354078965947176e-05,2.2798650735075943e-05,1.7098980873342904e-05,2.2704434526996705e-05,1.1769039023964583e-05,0.0206229039380613,2.4094509992682467e-05,1.943667574548689e-05,2.5971014473449863e-05,1.531799921018627e-05,2.385372770227176e-05,0.002955594301799,4.201617548332211e-06,5.907317433868239e-05,1.7440784600044967e-05,2.7096689856056e-05,0.204244969655921,3.058248855164943e-05,2.255009603242984e-05,6.118195432600396e-05,2.7546389270738192e-05,2.237805542281376e-05,4.776403102674232e-05,3.619640816876572e-05,3.37281236450232e-05,1.521894675240966e-05,3.0683934453790514e-05,2.0073295807580744e-05,2.2166752176293253e-05,3.098788828975831e-05,8.444808411113502e-06,2.784889539695184e-05,0.0354354461082948,0.0002098040174704,5.512022103100113e-06,2.191048719024985e-05,2.2118814436931616e-05,2.0765204467039235e-05,2.058746655643836e-05,1.5873608724848707e-05,2.642537821115256e-05,3.271448515513638e-05,2.191123271589349e-05,2.691349087144357e-05,1.6889239922978847e-05,0.005918655573061,3.398676133452327e-05,1.5020715906145895e-05,1.7448180480767483e-05,2.7458186121084e-05,2.8605115964532425e-05,1.4114834812401237e-05,1.6264762655085005e-05,2.728321132580987e-05,2.71938743355864e-05,3.2590316755704854e-05,5.034114549003273e-05,1.847631634525605e-05,1.697855620583901e-05,1.6137240236329112e-05,1.9753454637049804e-05,6.41170952997609e-06,2.454892057941902e-05,3.110090733524089e-05,1.6482359155873305e-05,1.1249487095070982e-05,0.409281657217007,0.0323990931487249,1.4721384175274406e-05,1.749789788370485e-05,2.825330912582934e-05,5.771023309151071e-05,1.2700063067741988e-05,3.664025171849783e-05,2.909663010560401e-05,2.5313695320961307e-05,1.598316365355284e-05,2.734318209048054e-05,2.3375779537813927e-05,3.181265864365807e-05,0.2531088696874015,4.055368856256632e-05,1.4809030333136403e-05,2.0318588897174715e-05,2.5870056785811514e-05,2.3644347426437672e-05,2.0446619841418708e-05,2.101198629913304e-05,3.7151047436793416e-05,1.9926592046931383e-05
uj0014,3.56978695440984e-05,1.8072977754577222e-05,4.165057986333208e-05,4.3992605148860704e-05,2.843022017132625e-05,2.4830374405069683e-05,0.0268345486274191,2.944448866196778e-06,2.882278510036375e-05,0.0433894952640585,2.889867245091165e-05,2.79876227368016e-05,2.099070824093281e-05,2.7871962923505856e-05,1.4447671838344837e-05,2.7791579727303067e-05,2.9578419509966967e-05,2.386046237312197e-05,0.0108699753629708,1.8804375221983507e-05,2.9282835179822817e-05,1.558966527865423e-05,5.157905535441566e-06,7.251822647174057e-05,2.141030648225559e-05,3.3263895390995726e-05,0.3193723744988829,3.754306173124797e-05,2.768249699370599e-05,7.510696470041438e-05,3.3815946374597226e-05,2.7471299948174864e-05,5.8635122591209655e-05,4.443470923023129e-05,4.1404643246926886e-05,1.868277842875137e-05,3.766759671668687e-05,2.4641977136061405e-05,2.72119040911394e-05,3.804073043364768e-05,1.0366846470049504e-05,3.4187302883121344e-05,0.0109862721951185,0.0002575554035131,6.766558114824499e-06,2.689731320445153e-05,2.715305572420317e-05,2.5491364178929574e-05,2.5273173126935805e-05,1.948644144011393e-05,3.243979324237721e-05,4.016030067700423e-05,2.689822841170205e-05,0.007258434564748,2.073323025859694e-05,4.0345781973556106e-05,0.0036544199290759,1.843943024975184e-05,2.141938566513678e-05,3.370766819158522e-05,3.5115639221845694e-05,1.7327370655053093e-05,1.996662198933512e-05,3.349286913985682e-05,3.338319905420701e-05,4.000787155479414e-05,6.179878820398027e-05,2.2681525211544708e-05,2.084287492388838e-05,1.981007547313566e-05,2.424934012782193e-05,7.871014364321264e-06,3.013625392819527e-05,3.8179472609392907e-05,2.023374344505976e-05,1.3809869911071996e-05,0.2531579991700552,3.3449858133320145e-05,1.807197062882365e-05,2.1480418747007888e-05,0.0469997549299117,7.084507985084954e-05,1.5590596917505077e-05,4.497957155425267e-05,3.5719021961901896e-05,3.107509137053522e-05,1.962093106623953e-05,3.3566489248184456e-05,0.0469937672747832,3.905321848733461e-05,0.2276243893837335,4.9783706468586825e-05,1.817956504873368e-05,2.494309892310376e-05,3.1758080682686284e-05,2.902579996152561e-05,2.510026970517221e-05,2.5794313546205588e-05,4.560662435774318e-05,2.4461883605315423e-05
uj0015,7.612566638183043e-05,3.854060459747071e-05,8.881981439729871e-05,9.38141806667961e-05,6.0627412323606486e-05,5.295074530319611e-05,0.1419694577917182,6.279033873143591e-06,6.146455659027481e-05,7.91623617760145e-05,6.16263862793904e-05,5.968357379563898e-05,4.476266155585638e-05,5.9436929374748266e-05,3.0809643836065614e-05,5.926551229986431e-05,6.307594611314329e-05,5.088240899330611e-05,6.798836373632397e-05,4.01003088685479e-05,6.24456128638032e-05,3.324494355443786e-05,1.0999227713994886e-05,0.000154645035838,4.5657454330363045e-05,7.093521925634574e-05,0.0108067950914441,8.006053663160225e-05,5.903289349398372e-05,0.0001601655171794,7.211246735378458e-05,5.858251603352855e-05,0.0001250393325327,9.475696711972118e-05,8.829535484129047e-05,3.984100384466531e-05,8.032610734703883e-05,5.2548988340359565e-05,5.8029354662116254e-05,8.112181457595572e-05,2.2107288358924307e-05,7.290438468772256e-05,0.0003159912266074,0.0005492366063598,1.442967751803988e-05,5.735848995246794e-05,0.2157719738972849,5.436030524750876e-05,5.389501307619138e-05,4.155481430640245e-05,6.917782235755368e-05,8.564179571990861e-05,5.736044163089339e-05,7.04556307822533e-05,4.421359005006935e-05,8.603733437478366e-05,8.897243094579266e-05,3.932206412849372e-05,4.567681567757676e-05,7.188156425111565e-05,7.48840608788902e-05,3.695059830199189e-05,4.2578798783904674e-05,7.142350551652339e-05,7.118963418305541e-05,8.531674078939221e-05,0.0001317858458697,4.83683268311618e-05,4.444740717465188e-05,4.2244963515368095e-05,5.171169036487465e-05,1.6784929219507824e-05,6.426552737837514e-05,8.141768210863362e-05,4.314843498577388e-05,2.9449531948344083e-05,0.3164410026109034,7.13317845937856e-05,3.853845690294159e-05,4.5806968655558686e-05,7.396308140236171e-05,0.0001510770525635,3.324693027323238e-05,9.591888540874515e-05,7.617077388884535e-05,6.626759716111256e-05,4.18416132818317e-05,7.158050031417148e-05,6.11944136206821e-05,8.328094420399543e-05,5.209503747460595e-05,0.3082691208929576,3.876790188156977e-05,5.319113021026498e-05,6.77240710959209e-05,6.189748555182727e-05,5.352629672506032e-05,5.500634443019308e-05,9.72560748021722e-05,5.216493908996499e-05
uj0016,4.643399753966829e-05,2.350842264000753e-05,5.417698444190349e-05,5.722337342071177e-05,3.698060389449307e-05,3.229810514629601e-05,0.0020105223741594,3.829991345555336e-06,3.7491232656990215e-05,4.828627566298887e-05,3.758994311488687e-05,3.640489535927101e-05,2.7303660057677148e-05,3.625445087744056e-05,1.8792806606201145e-05,3.6149892449097935e-05,3.847412398256528e-05,3.103649224109113e-05,4.14705271494614e-05,2.4459787767276813e-05,3.808964271704541e-05,2.027825437310885e-05,6.709144719313644e-06,9.432807034633237e-05,2.784945239638136e-05,4.326800608751256e-05,0.3872282640020947,4.883413095302161e-05,3.600800310253035e-05,9.769537114260517e-05,4.39860863074724e-05,3.573328858264946e-05,0.0470684296823453,5.779844022690532e-05,5.385708243130967e-05,2.430162075983684e-05,4.899611981345848e-05,3.205304743172277e-05,3.539587946716973e-05,4.948147343025968e-05,1.3484673725129312e-05,4.446912822071171e-05,0.0001927436111396,0.0003350151458838,8.801599279409289e-06,3.4986675426563854e-05,0.0141329673495441,3.315788747855091e-05,3.287407550599214e-05,2.5346985280714835e-05,4.2196055362438735e-05,5.223850405203365e-05,3.498786588223423e-05,4.297547386960902e-05,2.6968745617376075e-05,5.247976881594638e-05,0.2021205583200188,2.3985085658743805e-05,2.786126214191944e-05,4.384524347993704e-05,4.567666155025848e-05,2.253857433625669e-05,2.597158004577748e-05,4.356584365112769e-05,4.342319030648067e-05,5.204023189809086e-05,8.038476290225841e-05,2.950298993523288e-05,2.71113658964964e-05,2.576795219232618e-05,3.154232491221632e-05,1.023822055196034e-05,3.919972700410014e-05,4.966194229099221e-05,2.6319038232395257e-05,1.796318586132174e-05,0.3057991429284188,4.350989709192937e-05,2.350711262136047e-05,2.7940650912443693e-05,4.511489623798246e-05,9.215172517307252e-05,2.0279466202180464e-05,5.85071697991789e-05,4.646151154341107e-05,4.042091964233052e-05,2.552192263827653e-05,4.366160499410455e-05,3.732645488121996e-05,5.079846708826397e-05,0.037625504198806,6.47561474452218e-05,2.364706604416101e-05,3.244473154333039e-05,4.130931787015376e-05,3.7755304201989865e-05,3.264917141050114e-05,3.355194881482648e-05,5.932280862318637e-05,3.181879080323577e-05
