receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumannSabine,0.0345982797411983,3.454817874908475e-05,7.96189591810344e-05,8.409595845022384e-05,5.4347011416314935e-05,4.746557125240669e-05,0.0443907287874367,5.628588001838431e-06,5.509743580808815e-05,7.096192323399479e-05,5.5242501540316985e-05,5.3500945234555184e-05,4.0125692081592304e-05,5.327985073877875e-05,2.761806913931719e-05,5.31261907792221e-05,5.654190129719768e-05,4.561149414869693e-05,6.0945440990161854e-05,3.594631306782925e-05,5.59768643446865e-05,2.9801095868053084e-05,9.859816397117976e-06,0.0001386253380452,4.092779316536914e-05,6.358703139375715e-05,0.0925594137531205,7.176705604866826e-05,5.291766898331626e-05,0.0001435739520629,6.464232821971837e-05,5.25139461779562e-05,0.0001120864930928,8.494108154152088e-05,7.91488284532765e-05,3.571386948244192e-05,7.200511626187071e-05,4.710543234149098e-05,5.2018086859291145e-05,7.271839608359836e-05,1.9817191708814056e-05,6.53522107421421e-05,0.0002832576575794,0.0004923411204947,1.2934905494907764e-05,5.1416717105301766e-05,5.190559272978946e-05,4.872911471318726e-05,4.8312022213650354e-05,3.72501461130901e-05,6.201168345029133e-05,7.677015183924173e-05,5.141846660912526e-05,6.315712354716271e-05,3.963349895888233e-05,7.71247165974628e-05,7.975576616298256e-05,3.524868679365058e-05,4.094514886830501e-05,6.443534439712292e-05,6.712681203945167e-05,3.312288139627733e-05,3.8168055915868775e-05,6.402473602173402e-05,6.381509144772366e-05,7.647876938792728e-05,0.0001181341343048,4.335784605897943e-05,3.984309493951218e-05,3.786880268280176e-05,4.635487016361591e-05,1.5046176390402242e-05,5.76082536966224e-05,7.298361466311379e-05,3.86786834353296e-05,2.6398851405020352e-05,0.2353187853144411,6.394251648037312e-05,3.454625353448925e-05,4.1061819283702185e-05,6.630123693725328e-05,0.0001354269625856,2.9802876782409626e-05,8.598263657575782e-05,6.828023429452497e-05,5.9402928830667725e-05,3.750723554828891e-05,0.5870748444769281,5.485527698108547e-05,7.465386121475139e-05,4.669850630031552e-05,9.51661875106944e-05,3.475193028028806e-05,4.768105465814815e-05,6.070852645604705e-05,5.5485517606637606e-05,4.798150123351446e-05,4.930823061952556e-05,8.718130635969082e-05,4.676116679896354e-05
BaumgärtnerKlaus,0.00010625197393273712,0.00022622850867997125,0.003596685029958618,0.0002552682553343473,8.462037233942259e-05,0.00794887856305372,0.2714898008653204,8.763926480010526e-06,0.00032302187778240047,0.001161045960471892,0.004113144238918669,0.028552867516171018,0.009741602919827713,0.0012642465021909415,4.300238841033616e-05,0.0009826467234243662,0.0004387595459875383,7.101883833600534e-05,0.009755581398758274,5.596978227060663e-05,0.00043046850697948567,0.003091312506769253,1.535211068611176e-05,0.02522019529148414,0.0008367435055464992,0.005164412928957033,0.04202351585878412,0.000900845614846781,8.239483158329461e-05,0.0005156689942471914,0.0003304494173801163,0.004930544036332415,0.005077115451269743,0.00013225650794109864,0.004010768288446373,0.0003144563358199266,0.02014816000306005,7.334495715710938e-05,0.008094759888924425,0.0005070206881501025,3.0856124328089684e-05,0.00383339978340851,0.038970203467703364,0.04028412685469282,2.0140141851958172e-05,0.0074181501318934355,0.007415485337998442,7.587309261981793e-05,0.019315445577949102,0.0003289630591235481,9.655455941745924e-05,0.0011905549290786618,0.0006642982515485001,0.009608126116001906,6.171087152012833e-05,0.00015778887953526194,0.0003614158398701412,0.00020761910667058004,6.375316052225602e-05,0.0005650917844769505,0.0001045190099824299,5.1573591328453206e-05,0.00047874868300445495,0.0001865000610591177,9.936253454333602e-05,0.002195662057315653,0.029288740045554686,0.00032635829928035024,6.203722046663597e-05,5.896317202283739e-05,7.217630318146955e-05,0.0017040423823335836,0.0004299194779077557,0.00011363827534434141,6.0224187284639895e-05,4.1104019834947485e-05,0.2960612651378791,0.0018531691715788716,5.3789836107591314e-05,0.002983389580636142,0.008000519739570418,0.004526011465152212,4.640421735051899e-05,0.002002086096744952,0.0007695528084222021,0.00020292563237384734,5.840019818580061e-05,9.990808376410063e-05,8.541176123492187e-05,0.00022942172241332496,7.271135777010596e-05,0.03366342482916125,0.0022097589045079196,0.0005598516186536019,0.00026696116914834715,8.639306995839613e-05,7.470902987989913e-05,0.0018766164428309848,0.000135744623539312,0.016019256200464547
BaumgärtnerKlaus+BaumgärtnerSabine,6.942405937620953e-05,0.007123113796025274,0.003493488433903018,0.004914820132487676,0.009906509924195811,0.0007797307441294051,0.23696309424495787,5.726268696919164e-06,5.6053618037999474e-05,0.010806536510700904,0.018623739409277532,0.002104593068383272,0.00775637793353275,0.002490890846695738,0.003392011108215407,0.0022650984229679663,5.752315134037718e-05,0.000211401753749863,6.200311176583813e-05,3.657013930007318e-05,5.694830851785727e-05,3.031827562212414e-05,0.005828304901241979,0.002879484601290608,0.005648700376000701,0.0018547208174857436,0.024972820165447693,7.301252932125448e-05,0.00036646659948851766,0.0007804956247517787,0.0010727956593119998,0.010270049571077253,0.0002790303855589789,0.0025690824479723128,0.00031499534045617393,3.63336617987206e-05,7.325472092354842e-05,0.00015525759232437863,0.0019154392552762382,0.011408831271767561,2.0161106925211638e-05,6.64863583060094e-05,0.013509469746037587,0.011646147527363407,0.014703285276365325,0.0004900360309466194,0.0010188184491537547,4.9574778633561574e-05,4.915044774932559e-05,0.0033232898304861886,0.0013170321244171097,7.810245077293568e-05,0.00169805403578608,0.010092699344486967,0.008280235365618538,0.042106743219605176,0.008276812304491725,3.586040614947139e-05,0.02056596152264364,6.555358030750873e-05,0.001160730298099062,0.005006232438441879,0.00017484203852048886,0.00020678585146261953,6.492256324831999e-05,0.0029734218913345,0.00035423480571809574,0.0012445904235123054,0.0025480802352750107,0.0021429493404414037,0.00019615006200075674,0.021850285348472064,5.860800963213857e-05,0.00013852880714597206,3.934992828065989e-05,0.00025034308450529814,0.3200652159861029,0.00027972154781418754,0.0019225050563376875,0.0003357875338623335,0.01182334806716256,0.0017812648288399618,0.014590720792823083,0.00039564944176924616,0.0014819102251928742,0.00057229524381073,0.006042118411733021,0.002537115817114095,0.0073589544332828,0.008517402263707272,4.7508930256218655e-05,0.027244311061406457,0.00047333520670478,0.010344542426893227,0.005615519754920991,0.009277546933537778,0.0019341479694327478,0.0019458195797117208,0.0016316968973343526,0.0062729837745357855
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,5.588880614523183e-05,2.829516615676132e-05,6.52084063712171e-05,6.88750956958684e-05,4.451052917482007e-05,0.0056949366611874,0.0589805221195534,4.609847421962605e-06,4.512513126448512e-05,5.811824187005564e-05,4.524394097155762e-05,4.38175958839981e-05,3.2863183117395854e-05,4.36365181623684e-05,2.261936471098652e-05,4.35106697314316e-05,4.630815718660104e-05,3.735608800014432e-05,4.991468267656239e-05,2.9440246571728017e-05,4.5845388524550015e-05,2.4407276729818177e-05,8.075248922897384e-06,0.0001135349855057,3.3520108728578323e-05,5.20781611027534e-05,0.013590033683562,5.877765048707428e-05,4.333988912660396e-05,0.0001175879301456,5.2942455549419885e-05,4.300923772115934e-05,9.179951189394673e-05,6.956725658992997e-05,6.482336647797348e-05,2.924987387745736e-05,5.897262323330206e-05,3.857963236409026e-05,4.260312595723958e-05,5.955680369672472e-05,1.6230399183521106e-05,5.35238536042824e-05,0.0172001759436436,0.0004032303384609,1.0593765386550691e-05,4.211060051228451e-05,4.25109925886754e-05,0.5317097442896095,3.956783672541913e-05,3.050809367661512e-05,5.078794166343609e-05,6.287521602650868e-05,4.211203336643689e-05,5.1726063991069685e-05,3.246007399001058e-05,6.31656066957263e-05,6.532045211214434e-05,2.886888645788321e-05,3.353432315365423e-05,5.277293455398232e-05,5.4977262738641145e-05,2.7127839053547625e-05,3.125986732509523e-05,5.243664382527656e-05,5.22649436584293e-05,6.263657204660495e-05,9.675256641508702e-05,3.551033666197535e-05,3.2631734358586974e-05,3.101477712760389e-05,3.796491742677918e-05,1.2322908946441908e-05,4.71815062144187e-05,5.9774019308284207e-05,3.167807433427778e-05,2.16208180546273e-05,0.3680654245610431,5.236930552646099e-05,2.829358939443e-05,3.3629876925481604e-05,5.430111176520647e-05,0.0001109154967703,2.440873530938601e-05,7.042029642653574e-05,5.592192250184416e-05,4.8651355941781406e-05,3.0718651470093325e-05,5.255190392385559e-05,4.492680172890725e-05,6.114196127838287e-05,3.824635748924964e-05,7.794167986907088e-05,2.846203988611079e-05,3.905107050303372e-05,4.9720648248397126e-05,4.5442972591292045e-05,3.929713805504455e-05,4.038373740069707e-05,7.140201418797842e-05,3.829767681446177e-05
BaumgärtnerSabine,0.00013577082174412374,6.87375205422501e-05,0.0001584109507481427,0.00016731844863592497,0.000108129543984671,0.02697545798404109,0.2658362600203036,1.1198714300116197e-05,0.00010962259843535355,0.00014118679573358407,0.00010991122316493945,0.00010644619934380983,7.983461599414033e-05,0.00010600630676490898,0.007828510817710745,0.00010570058284519906,0.00011249652637671236,9.07492414804066e-05,0.00012125786810481277,7.151926736468088e-05,0.00011137232126556853,5.929266067221377e-05,1.961722315558722e-05,0.000275810834798775,8.14304870854702e-05,0.00012651361185762734,0.046712176845098846,0.0001427886987973921,0.00010528570507890107,0.04639084006598367,0.0001286132445988871,0.00010448245276193547,0.009183348740987925,0.00016899991689131008,0.00015747557233668374,7.105679448465721e-05,0.00014326234659559932,9.372160097762469e-05,0.00010349588440038664,0.00014468149771072836,3.9428550838177076e-05,0.0001300256364017196,0.000563573240662875,0.031758770942455175,2.5735461733770942e-05,0.0001022993910593538,0.06466841776732418,9.695210123608072e-05,9.612224839599614e-05,7.411339110656765e-05,0.00012337927842684978,0.00015274292539145968,0.005267514528116027,0.00012565826143088866,7.885534194531344e-05,0.00015344837219744665,0.05392072283545402,7.01312607579967e-05,8.14650182251624e-05,0.00012820142680495684,0.0001335564069819307,6.590172978238733e-05,7.593967678091864e-05,0.00012738447486535152,0.00012696736320465,0.00015216318695201195,0.0053578394163747,8.626535296672058e-05,7.927235692399705e-05,7.534427852838639e-05,9.222827238583508e-05,2.9936074669212402e-05,0.00011461815543547193,0.00014520918015937221,7.695562815314422e-05,5.2523509384499836e-05,0.3327379124506317,0.00012722088976136996,6.873369010943721e-05,8.169714725094368e-05,0.00013191383166824897,0.00026944730401895,5.9296204003341465e-05,0.09345381064490406,0.000135851271395142,0.00011818886519094038,7.462489970046309e-05,0.0001276644765218289,0.00010914079598011429,0.00014853232513576154,9.29119754596554e-05,0.00018934392508655905,6.91429073258474e-05,9.486686687146741e-05,0.00012078649976516139,0.00011039473119505978,9.546463941386188e-05,9.810431802288248e-05,0.00017345709828361884,9.30366456295166e-05
BaumgärtnerSabine+BaumgärtnerKlaus,7.70121362744438e-05,3.8989403107127216e-05,8.985410539364558e-05,9.490663017314923e-05,6.133340779459999e-05,5.3567347347338294e-05,0.28692098917914444,6.352152109709463e-06,6.218030045787942e-05,8.008419344827365e-05,6.23440146250423e-05,6.0378578434258876e-05,4.528391481600491e-05,6.0129061882801787e-05,3.116841667787987e-05,5.995564868646252e-05,6.381045432614135e-05,5.147492562770856e-05,6.878007618187417e-05,4.0567269858001376e-05,6.317278095783205e-05,3.363207502984356e-05,1.112731177123714e-05,0.0001564458498713,4.618912729377893e-05,7.176124731213019e-05,0.0468319886929437,8.09928273908635e-05,5.972032107581647e-05,0.00016203061623945,7.295220425500995e-05,5.926469904965855e-05,0.0001264953933983,9.586039520720696e-05,8.932353859905382e-05,4.0304945273074516e-05,8.126149063021196e-05,5.316091199587633e-05,5.870509621211769e-05,0.011786026942501755,2.2364723813600153e-05,0.0022141376521972018,0.010534099618431249,0.0331285365206758,1.4597708555242275e-05,5.8026419401828604e-05,0.0077193996882768375,5.49933213673741e-05,5.452261095118944e-05,4.2038712753885304e-05,6.998338583793018e-05,8.663907925202673e-05,5.8028393807203394e-05,7.127607411525851e-05,0.07920655110693749,8.703922388443071e-05,9.000849913480961e-05,3.977996259588424e-05,4.6208714100449375e-05,7.271861232663538e-05,0.0021115625819567644,3.738088147014796e-05,4.307462134913851e-05,7.225521957926446e-05,7.201862485556925e-05,8.631023911446272e-05,0.0001333204686873554,0.01898817034942218,4.496498935340652e-05,4.27368986280683e-05,5.231386383386839e-05,1.6980386745332404e-05,6.501388805436717e-05,8.23657765864364e-05,4.3650890863616983e-05,2.9792466528290085e-05,0.340222815552118,7.216243058263787e-05,3.898723040307597e-05,4.634038268679177e-05,7.48243683761826e-05,0.013559230561575101,3.363408488362632e-05,9.703584382877311e-05,7.705776905038313e-05,0.025815752324885446,4.232885145255159e-05,0.018848380008034415,6.190701172128555e-05,8.425073603865503e-05,5.2701674952748615e-05,0.00010739995511688564,3.921934722781377e-05,5.38105314940445e-05,0.09471033921684853,0.0020984247802617356,5.4149600963500215e-05,5.564688356183772e-05,9.838860455567913e-05,5.2772390560029246e-05
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,1.7250693291228018e-05,8.733613520500434e-06,2.012729016605762e-05,2.125905406112833e-05,1.373866324912696e-05,1.1999068253613166e-05,0.1037494609009159,1.4228799911915744e-06,1.3928366928203744e-05,1.7938833091557667e-05,1.3965038848004689e-05,1.3524781785275529e-05,1.0143582080792484e-05,1.3468890159507192e-05,6.9817151230192254e-06,1.343004566034878e-05,1.4293520860548657e-05,1.1530366474031256e-05,1.540671452785742e-05,9.087055155683189e-06,1.4150682234991162e-05,7.533573786602374e-06,2.4925141907170065e-06,3.504381910921694e-05,1.0346349379206644e-05,1.6074495884206787e-05,0.0286359917496115,1.814236679696948e-05,1.3377332352672888e-05,3.62948049457516e-05,1.6341269849175928e-05,1.3275273168105295e-05,2.833492667300461e-05,2.1472697116244064e-05,2.000844337791953e-05,9.028294534614382e-06,1.8202547274551763e-05,1.1908026868060675e-05,1.3149922315858882e-05,1.8382860984868715e-05,5.009690806090109e-06,1.6520724738559094e-05,0.0699038311117722,0.0001244614686603,3.2698819332036308e-06,1.2997898932733345e-05,1.3121484340661162e-05,1.2318485966858192e-05,1.221304698786856e-05,9.416657882219595e-06,1.567625549653048e-05,1.9407125363788827e-05,1.2998341198890354e-05,1.5965817247082216e-05,1.0019158025260729e-05,1.949675763033412e-05,2.0161874313486023e-05,0.5569209045752129,1.0350736817482896e-05,1.628894533376012e-05,1.696933541630983e-05,8.373305200874697e-06,9.64870106812444e-06,1.6185145510187014e-05,1.6132148369603303e-05,1.933346528072284e-05,2.9863741301409605e-05,1.0960655069856932e-05,1.0072142881671427e-05,9.573051289264915e-06,1.1718288357319654e-05,3.803601067061536e-06,1.45630896213471e-05,1.8449906966909235e-05,9.777785250543776e-06,6.673502740362994e-06,0.15026935020854,1.6164360805346446e-05,8.733126835504875e-06,1.0380230537680292e-05,1.6760633998874347e-05,3.423528516708377e-05,7.534023993191153e-06,2.173599722231979e-05,1.7260915018086122e-05,1.5016774868533088e-05,9.4816488556523e-06,1.6220721804376174e-05,1.3867150340754106e-05,1.887213726656976e-05,1.1805157920876366e-05,0.0873143387266398,8.785120928189386e-06,1.2053541422792218e-05,1.5346823672441405e-05,1.4026472141433298e-05,1.212949287284881e-05,0.0017582705071219,2.2039015181894574e-05,1.1820998193736136e-05
BierwischHedwig+BierwischWilhelm,6.301741428230625e-05,3.190420999965203e-05,7.352572800187735e-05,7.766010295373476e-05,5.018783993426954e-05,4.383303571480878e-05,0.1940533155402592,5.197832711136254e-06,5.088083442054555e-05,6.553121417135581e-05,5.1014798286438326e-05,4.9406523114864645e-05,3.705487678091887e-05,4.920234895928182e-05,2.550446100227577e-05,4.906044858144024e-05,5.221475510668364e-05,4.212085095097748e-05,5.6281292336518205e-05,3.3195345235373434e-05,5.169296037702781e-05,2.7520420908419552e-05,9.105245610088725e-06,0.0001280163544477,3.779559314700062e-05,5.872072208421808e-05,0.0089459483996592,6.627473025026442e-05,4.886788493823342e-05,0.0001325862515174,5.969525714703451e-05,4.8495058999783705e-05,0.0001035085247106,7.844054885729804e-05,0.0128280753177105,3.298069053490053e-05,6.649457173857367e-05,4.350045819961327e-05,4.803714774640416e-05,6.715326432512618e-05,1.8300583960539925e-05,6.035081242926743e-05,0.0002615799766771,0.0004546623025719,1.1944998439204933e-05,4.748180076102292e-05,4.793326278165924e-05,4.4999880317796666e-05,4.461470786656122e-05,3.4399396064871655e-05,5.7265935365187765e-05,7.089493960804597e-05,4.7483416375489465e-05,5.8323715043185256e-05,3.66003511498756e-05,7.122236955990877e-05,7.365206515884276e-05,3.2551108231903014e-05,3.781162061968389e-05,5.950411377619066e-05,6.198960366240933e-05,3.0587990514214734e-05,3.5247058319987365e-05,5.912492921971472e-05,5.893132872450218e-05,0.2615477925548703,0.0001090933405306,4.003967432971879e-05,3.679390677055431e-05,3.49707069076543e-05,4.2807336471992336e-05,1.3894693979025351e-05,5.319949966100492e-05,6.739818575262383e-05,3.571860756519645e-05,2.437854988224787e-05,0.3448596990438595,5.904900193183351e-05,3.1902432121541715e-05,3.791936225957212e-05,6.12272097422459e-05,0.0001250627503501,2.752206552957412e-05,7.940239378637036e-05,6.305475462482022e-05,5.485682848211542e-05,3.4636810470674214e-05,5.92548907251278e-05,5.0657207984950375e-05,6.894060849860006e-05,4.312467416867263e-05,0.0319753424819084,3.209236844604866e-05,4.403202819652962e-05,5.606250884858778e-05,5.123921635691007e-05,4.430948162479223e-05,4.5534676540316656e-05,0.1403853304846434,4.318253926547175e-05
BierwischManfred,0.008285642944179909,0.002812467353406583,0.004717799416345326,0.003973272450679011,0.0030058704174497305,0.00017126415888608316,0.26195269416755085,0.002082478061841636,0.0054085352865902905,0.003671114416039122,0.006514453077702503,0.002348674659863961,0.0015954168242405865,0.0009192636247748119,0.0004889152043415771,0.008414683184255246,0.008583119610303972,0.00333044006377488,0.00014496640249044034,0.00039793328796733764,0.0017447646593242432,0.00029731416986130294,0.0003446432285136538,0.0041454349149076175,4.522868731004963e-05,0.004811136085703614,0.029721954565325153,0.003534058214888213,0.002110623714442643,0.0028794190181449936,0.0009269189953432594,8.031565004039679e-05,0.007289824800987743,0.0003998110391361593,0.0005100622877890872,9.832017885329068e-05,0.000122984537677562,0.005654556445912299,0.011417621587864796,0.002112827163666791,0.0030826689806816186,0.006900608675637169,0.037501892418890584,0.017096099043441587,1.4294169090683328e-05,0.0005991403665563748,0.00046176093747203573,0.007633720810574599,0.003778600952946108,0.0005105050340267745,0.0048494167116381786,0.010694369706680244,0.0003457508973235985,0.0023616595168458637,4.379838229174763e-05,0.002152845896185275,0.007036814047358954,0.0018400694824873348,0.0011197519670630527,0.008148784395678666,0.01122824194248352,0.00282960498989266,0.001942200809267846,0.006711219555112223,0.00294249994431923,0.005969277137741134,0.02197516049693746,0.005670703100368733,0.0003769940835488988,0.0022089454783043127,0.007101529954650368,1.6627302733470072e-05,0.003340640168977047,0.0007506921364577231,0.0014154620355988565,7.211097117705287e-05,0.29315944283710765,0.0065335559055192055,4.1865826832132383e-05,0.0031454736850858407,0.0029624686509215907,0.00025311610349029674,0.00014141091412897902,0.0010927991977891071,0.005825560631236265,0.0029830801264516225,0.011440590540572376,0.011007609954047344,0.0038855784553804827,0.010294713700972517,0.009178349402551316,0.01709545973979877,8.325151435381272e-05,0.003706504078807003,0.00044215736759504413,0.006674000608062955,0.0012248273282757759,0.002426049350368666,0.005087833531870174,0.003523013489962291
BierwischManfred+BaumgärtnerKlaus,4.988933173491715e-05,2.5257775720258416e-05,5.820850438109569e-05,6.148158700180962e-05,3.9732474333570236e-05,3.470153265775245e-05,0.1015946526083571,4.114995884578686e-06,4.0281100966542055e-05,5.187944507117956e-05,4.038715685319073e-05,3.9113925089090905e-05,2.933543150212677e-05,3.8952285448753775e-05,0.0021587579329525124,3.883994642145356e-05,4.133713305508011e-05,3.334603823375743e-05,4.455651022537715e-05,2.6279935623566785e-05,4.092404104453342e-05,2.1787238080477553e-05,7.208398249008415e-06,0.00010134738861115945,2.992183836965371e-05,4.648774655604956e-05,0.00203338364926365,5.2468068402259835e-05,3.868749853723869e-05,0.00010496526334468148,4.7259261915571516e-05,3.8392341442417655e-05,8.194514461589209e-05,6.209944676370972e-05,5.7864797218783244e-05,2.6109998794480496e-05,5.264211148327589e-05,3.443823924636566e-05,3.8029824403513715e-05,5.3163582148743605e-05,1.4488120697240814e-05,4.777824885463223e-05,0.03014701994034315,0.00035994492472755,9.45656048401028e-06,3.75901699001164e-05,3.794758124061256e-05,3.562529473438696e-05,0.036390953933063255,0.004304366514110706,4.533602781201925e-05,5.6125774132655855e-05,3.759144894221921e-05,4.6173445879058034e-05,2.897559477687562e-05,5.6384992345184426e-05,5.830852239049955e-05,2.57699090864883e-05,2.9934526924248885e-05,4.710793842593674e-05,4.9075639431596065e-05,2.421575723548253e-05,2.790422624019899e-05,4.680774737014318e-05,4.665447863578295e-05,5.59127477772705e-05,8.636650547774654e-05,3.1698422062268754e-05,2.9128827985174817e-05,2.7685445646892927e-05,3.388951187956113e-05,1.1000086328032415e-05,4.211673101707521e-05,5.3357480398688946e-05,2.827754014067414e-05,1.9299896324581132e-05,0.4107040894444129,4.6747637610071625e-05,2.52563682180332e-05,3.0019823321685444e-05,0.012879872154457012,9.900909313646198e-05,2.1788540086459437e-05,6.286091565751531e-05,4.991889316259536e-05,0.0021819954779245506,2.7421108077677813e-05,4.691063468677087e-05,4.010406143616518e-05,5.4578578422558445e-05,3.414074030271976e-05,0.18398630943385866,2.5406736118870707e-05,3.485907009476711e-05,4.438330473715153e-05,4.056482310136331e-05,0.20957928863863456,3.604867970598157e-05,6.3737249335916e-05,3.418655067185283e-05
