sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumgärtnerKlaus,0.0008574969484097935,0.004861053303337936,0.003125254455229333,0.0039773126398777595,0.0011661836907865784,0.01244895098767563,0.04036055168739911,8.463643656763041e-06,8.284938654750462e-05,0.00839914027328608,0.0023147690771578625,0.016249890500176327,0.0052677325077746685,0.000769323815235858,4.152897593617805e-05,0.0039120673863658325,0.003932705643080995,0.0022537626147982326,9.164296531855029e-05,0.002378560210390979,0.010391228524182112,0.004223362025218766,1.4826093592044583e-05,0.04336275591587237,0.008051119594465002,0.0033177564500258398,0.24154573691307057,0.008101847360132648,0.00031627151244658004,0.0019706856514498244,0.00034510466087458574,0.0010610722264208178,0.001011445470225207,0.0072604825413204125,0.0008760780184749985,0.00023830064826196697,0.019925546801399376,0.00016729405273705882,0.0015629549328573615,0.013082820062950785,2.9798885412536497e-05,0.0005080617147286001,0.009471801236218713,0.015969654912139163,1.945007003657896e-05,0.00266418056318833,0.007792986835552621,0.005213016278637283,0.0014162745387480756,0.006967154431962279,0.004449395293823477,0.0034101538077550243,7.731736247431463e-05,0.0037837205569685433,0.004084515598334143,0.001232712398556182,0.010950444037264783,0.006909103726787525,0.0008513234895182931,0.007017518280676382,0.0007353838216438543,4.9806499415435206e-05,0.013166242306876234,0.0034415826569965287,0.00017974155123681504,0.0010244714337837525,0.004741994389116706,6.519669918069498e-05,0.0021412742309431694,0.0006043040738024161,6.97032901843536e-05,2.2624764030263307e-05,0.012343535875728881,0.009335449916640023,0.004786275939881043,3.969565211860257e-05,0.29244267612256153,0.002032950441588193,0.00703194702086104,0.0012782385100967035,0.016510105766227127,0.007528131236879471,4.481424629948451e-05,0.00034914280898720615,0.0012438405957622422,0.004162417604210988,0.0026442715939942007,0.000597121566177381,0.0010681341660322855,0.00654381618761669,7.022001192835918e-05,0.001420822727740711,0.00029104982670557,0.0008280892675226199,0.006295712465411076,0.005823477553031894,0.004689006089940362,0.006837688703818595,0.00013109353719233701,0.005243434660630351
BaumgärtnerKlaus+BaumannSabine,0.0001406324505201909,7.119884694192979e-05,0.00016408326845756532,0.04346130908443147,0.002420392365904133,0.0006749174826293059,0.0275349981717487,1.1599713505961284e-05,0.00011354792180172434,0.0001462423575996989,0.00011384688149334694,0.00011025778344696408,8.26933028714798e-05,0.006422759573241856,5.691688386132109e-05,0.005520485388436078,0.0001165247582369754,9.399875502184153e-05,0.011667554629012665,7.408020147258653e-05,0.0001153602980264684,6.141578920328715e-05,2.03196690520947e-05,0.0002856869618928135,0.020282767229372986,0.00013104376206274175,0.2751202138911478,0.00014790162098533776,0.0001090557346548097,0.00029588534643239136,0.00013321857763651235,0.00010822371979129075,0.00023099420446834478,0.00017505140018174184,0.0001631143963797483,7.360116854356698e-05,0.012200552760160596,9.707754761179774e-05,0.00010720182477358007,0.00014986219650594664,4.0840393050596724e-05,0.0001346815438156427,0.0005837534520590333,0.0010146445152988501,2.665698713755695e-05,0.00010596248786439939,0.03127024796758202,0.00010042372436699997,0.055195155156163495,0.06417805080359933,0.00012779719563958463,0.0001582122846534963,0.00010596609334112101,0.0001301577835805793,8.167896335840386e-05,0.00015894299182435227,0.00016436520804802645,7.264249366521957e-05,8.438208591143459e-05,0.022228143032197622,0.00013833874285550175,6.82615132895087e-05,0.003235137612127922,0.04656660830699496,0.00013151376116148734,0.0001576117871655553,0.0002434575266058416,0.003532828746652538,8.21109106472375e-05,7.80421771482912e-05,9.553074649064576e-05,3.1008013987134705e-05,0.0001187223577638139,0.00015040877400243394,7.971122535366856e-05,5.4404250779169006e-05,0.24341190325311043,0.00013177636589852774,7.119487935046545e-05,0.007529714937490763,0.0593522739812816,0.00027909556827799127,6.141945941263328e-05,0.00017719789589148627,0.00014071578088103252,0.00012242092610536065,0.04111152035927793,0.0001322358364411758,0.00011304886715154945,0.00015385091286159924,0.004674902044838961,0.0001961238787095155,7.16187496577841e-05,9.82638227413042e-05,0.001846848794508145,0.00011434770279092589,9.888300009039653e-05,0.00010161719928434197,0.00017966818259168113,9.636806564900369e-05
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0001100341000435,5.570763375321247e-05,0.0001283825654047,0.0001356015576825,8.76325038593224e-05,7.653644142634097e-05,0.027035665563349,9.075885627182244e-06,8.884253485632502e-05,0.0001144234218148,8.907644787211198e-05,8.626825408723566e-05,6.470116340459017e-05,8.591174756094327e-05,4.453309367645729e-05,8.56639766780934e-05,9.117168091698676e-05,7.354681210336495e-05,9.827222240182208e-05,5.796207255104575e-05,0.0334972919469008,4.805314184921703e-05,1.5898581650678718e-05,0.000223528123344,6.599452111622579e-05,0.0001025316871857,0.3385550708711319,0.0001157216680781,8.532774315561888e-05,0.0002315075765965,0.0001042333134713,8.46767553758531e-05,0.0001807352379194,0.0001369642867568,0.0001276244973575,5.758726604627785e-05,0.4232718361764924,7.595573103071398e-05,8.387720094729897e-05,0.0001172556679634,3.195447336745815e-05,0.0001053779722348,0.0004567422775259,0.0119295585890905,2.0857046710800257e-05,8.290751492567657e-05,8.369580841106196e-05,7.857385754762625e-05,7.790131164081691e-05,6.006445410604021e-05,9.99914981093032e-05,0.0001237889711321,8.291033593453371e-05,0.0001018384770156,6.390752057858436e-05,0.000124360693417,0.0001286031614975,5.683717652509842e-05,6.602250653188845e-05,0.0001038995598728,0.0001082394498208,5.34093955885821e-05,6.154454900432866e-05,0.0001032374693713,0.0001028994254115,0.0001233191279315,0.0001904868310252,6.991288965256327e-05,6.424548618336701e-05,6.106201446529442e-05,7.474547785882468e-05,2.4261391311834803e-05,9.289113389743036e-05,0.0001176833229087,6.236791659904416e-05,4.2567151115464e-05,0.1344577593983791,0.0001031048934653,5.570452941737002e-05,6.62106331714426e-05,0.0001069082411408,0.0002183708636806,4.80560135063727e-05,0.0224099979994122,0.0001100992996559,9.578497978723845e-05,6.0479001113044296e-05,0.000103464393904,8.845206289128315e-05,0.0001203765324076,7.529957815414453e-05,0.0001534518840497,5.603617540397115e-05,7.688390028181705e-05,9.789020666104646e-05,8.946830210318615e-05,7.736835904025035e-05,7.950766008017822e-05,0.0001405765646891,7.540061584226202e-05
BaumgärtnerKlaus+BaumgärtnerSabine,0.00019569200888728573,0.006645206078519647,0.009022936074828116,9.723670494708786e-05,6.283921856925037e-05,5.48824917638244e-05,0.056476156082162346,6.508105275088677e-06,6.370690349148581e-05,0.00872243556401706,0.01447952428174662,0.0036421752192170964,4.6395690751834114e-05,6.160530448057364e-05,3.1933639732492783e-05,6.142763377647555e-05,0.0005209122132675307,5.273869851138903e-05,0.0006716146786444029,4.156324634531686e-05,0.0016764960581898674,3.445778393425367e-05,1.1400500993238502e-05,0.011824412971137772,0.02324483838727168,7.352307440262837e-05,0.21394570201074767,8.298130115320154e-05,0.004876448359496195,0.0010201090249228448,0.0004105291682189017,0.0016550557207719396,0.00019675819073523403,9.821388608856464e-05,0.0031654811147037347,0.008323636069990873,0.0006528590902868641,0.0008773620998720033,6.0146378697177386e-05,0.005446794314864651,2.291380535498993e-05,0.0004946797027346454,0.001332224819308292,0.0276418064717689,1.4956100296679557e-05,0.018689957372230864,0.011950501198459865,0.0035056184493243367,5.586120826682362e-05,4.3070814978326225e-05,0.010357901838594715,0.0005588664318354932,0.005319491617026496,0.0009681045576671669,0.012138342140897465,8.917614413483611e-05,0.0005572392750339548,4.0756609719306816e-05,4.734319499882669e-05,0.02107663920838102,7.76159774691442e-05,0.014169111313840303,0.023518043441988205,0.001484329943429174,7.378677088205772e-05,0.0019250731268805347,0.00013659365055431342,5.0132897728655594e-05,0.0082475549314683,0.01528749547438461,0.0017871896177605467,1.739727617375936e-05,0.01987908258843845,0.017766154227701305,0.0003177645360825003,3.0523908310426275e-05,0.27150634781513994,0.003481305763215628,0.00038072485508066685,0.01625565493625567,0.016434122523991655,0.0001565886380926891,3.445984313242522e-05,9.941819342290323e-05,7.894963227923088e-05,0.0008318069792148667,4.336807693973411e-05,0.00014134907605439854,0.0014300323060413881,8.631919547472871e-05,0.0014490584348869839,0.00026612967036721973,0.0003294830044127431,0.001690179462529844,0.001561374049329454,0.02787347019524858,0.03329562220299195,0.024111366972476064,0.00010080416609337945,5.4068017807343875e-05
BaumgärtnerKlaus+BierwischManfred,0.0001803094887524,9.128638265474588e-05,0.0002103765534837,0.3651760245969729,0.0001436006834491,0.0001254179078944,0.044302511983814,1.4872374080076408e-05,0.0001455835239536,0.0001875021350706,0.0001459668300039,0.0001413651293905,0.0001060238025352,0.0001407809331325,7.297500820368796e-05,0.0001403749186225,0.0001494002238245,0.0001205188944561,0.0001610356623339,9.49806620363189e-05,0.0001479072311016,7.87432026648852e-05,2.6052515794532127e-05,0.0003662886471193,0.0001081431879591,0.0001680155160087,0.1350828698964593,0.0001896295312133,0.0001398239431112,0.0003793643312564,0.000170803918563,0.0001387571894984,0.0002961652645488,0.0002244391557952,0.0002091343307366,9.436647816759987e-05,0.0001902585558538,0.0001244663156652,0.0001374469842967,0.0001921432495512,5.236281074646178e-05,0.000172679635603,0.0007484494944721,0.001300909094183,3.417779968046527e-05,0.0001358579896964,0.0001371497419376,0.000128756558904,0.0001276544786528,9.842576990009416e-05,0.0001638529864518,0.0002028491721128,0.0001358626123967,0.0001668795738661,0.0001047232844944,0.0002037860358019,0.0002107380375027,9.313732958521638e-05,0.0001081890467973,0.0001702570068265,0.0001773686507393,8.752033060059467e-05,0.0001008511557969,0.0001691720595258,0.0001686181173066,0.0002020792545394,0.0003121448996504,0.0001145640977248,0.0001052770983157,0.0001000604413183,0.0001224831110895,3.9756394264385046e-05,0.0001522178384341,0.0001928440345307,0.0001022003829001,6.975347871465745e-05,0.4028086959097545,0.0001689548114743,9.12812956752691e-05,0.0001084973241239,0.0001751872401,0.0003578376046433,7.874790836096855e-05,0.0002271912485206,0.0001804163293479,0.0001569598945123,9.910507530511996e-05,0.0001695439137643,0.0001449436695779,0.018444948239104,0.0001233910981674,0.0002514568733706,9.182475373297264e-05,0.000125987278013,0.0001604096649123,0.0001466089494564,0.0183744720708164,0.0001302867523365,0.000230358484321,0.0001235566655132
BaumgärtnerSabine,4.1205847704959054e-05,2.086153539247661e-05,4.807702735737705e-05,5.078041381906605e-05,3.281684138463653e-05,2.866155989865125e-05,0.0893565977286752,3.398760573251126e-06,3.326997684865196e-05,4.284957200829028e-05,3.3357573185613935e-05,3.2305953684206696e-05,2.4229455091896345e-05,3.217244821978785e-05,1.6676865400234598e-05,3.20796623537664e-05,3.414220134833178e-05,2.754199595867231e-05,3.680123005789528e-05,2.17057833276792e-05,3.380101003782945e-05,1.7995061930795642e-05,5.953741012679202e-06,8.370737621013798e-05,2.4713794954471515e-05,3.8396325188589824e-05,0.1768243559900149,0.0042134522374262,3.195374877502218e-05,8.669554201837943e-05,3.9033554497962354e-05,3.170996522701121e-05,6.768218839139162e-05,5.129073204475716e-05,4.779314412036352e-05,2.1565424841099337e-05,4.34794925731419e-05,2.844409400295696e-05,3.141054606511706e-05,4.391019869961477e-05,1.1966391896240572e-05,3.946220920284852e-05,0.000171042001713,0.0002972947368649,7.81059953232722e-06,3.104741559453772e-05,3.1342617729991514e-05,2.9424536633791143e-05,2.917267994391408e-05,2.249308848252214e-05,3.744506876732483e-05,4.635680657182466e-05,3.104847201305975e-05,3.813673009321968e-05,2.393224972185582e-05,4.6570906577103504e-05,4.815963673938174e-05,2.1284529422655755e-05,2.4724275003613546e-05,3.890856960738084e-05,4.053378255669251e-05,2.00008853597688e-05,2.3047358158409924e-05,3.8660628284110657e-05,3.853403672823382e-05,4.618085850333193e-05,7.133398960793769e-05,2.618115550085008e-05,2.4058811935157622e-05,2.286665740546196e-05,2.79908753383288e-05,9.085467097108203e-06,3.4786106443388075e-05,4.407034800367758e-05,0.4003545392032435,1.594065426447849e-05,0.3047291875362182,3.861098092398464e-05,0.020871442847264,2.4794725142758072e-05,4.003526816788075e-05,8.177607258532825e-05,1.799613731622044e-05,5.19196635252776e-05,4.1230263820478935e-05,3.586980116138753e-05,2.2648329092754703e-05,3.874560755627769e-05,3.312375192094138e-05,4.507890789924293e-05,2.819837621644912e-05,5.746504912285751e-05,2.09845684996728e-05,2.879167716845048e-05,3.665817183840639e-05,3.350431574779957e-05,2.8973098507939143e-05,2.977422936475001e-05,5.264346700861094e-05,2.8236213065093145e-05
BierwischHedwig,9.802658379203036e-05,4.962851539479202e-05,0.0001143727653527,0.0001208039821403,7.80695709699886e-05,6.818437089639839e-05,0.1728927643862673,8.08547588945135e-06,7.914755683865702e-05,0.0001019369190266,7.935594400075501e-05,7.685419551325518e-05,5.764062243804223e-05,7.653659290771594e-05,3.967340158245953e-05,7.631586012397629e-05,8.122253388112753e-05,6.552098609823361e-05,8.754822586712375e-05,0.0298131123186047,8.041085737279435e-05,4.280932305609675e-05,1.4163642413919015e-05,0.0001991355252979,5.879284195946787e-05,9.13428748112461e-05,0.2123256839031665,0.0001030934936344,7.601631822240683e-05,0.0002062442174448,9.285881043128738e-05,7.543636975083736e-05,0.0001610124310287,0.0001220180028461,0.0001136974217917,5.130303204373449e-05,0.0001034354675208,6.766703076062879e-05,7.472406702690082e-05,0.0001044600951537,2.8467428368520818e-05,9.387855783819037e-05,0.0004069000893497,0.0007072488264988,1.85810129427218e-05,7.386019838969763e-05,7.456246902550266e-05,6.999945314865744e-05,6.940029908949107e-05,5.350989594149647e-05,8.907988490858677e-05,0.0001102804489372,7.386271155480738e-05,9.072531148502822e-05,5.693358621060376e-05,0.0001107897817935,0.0001145692888065,5.063479634888811e-05,5.881777345517987e-05,9.256147783089892e-05,9.64277755102067e-05,4.758107341153457e-05,5.482847487756957e-05,9.197163822669813e-05,9.167048345254135e-05,0.1389967469887599,0.0001696998775414,0.0199032672042368,5.723467118028978e-05,5.439859711781643e-05,6.658884696199921e-05,2.1613857044305585e-05,8.275435085056837e-05,0.0001048410820779,5.556199214615316e-05,3.7921993308940713e-05,0.4173997551223195,9.185352972078184e-05,4.962574982087032e-05,5.8985370698111495e-05,9.524183552284642e-05,0.0001945410537083,4.2811881342488696e-05,0.0001235141983598,9.808466846998732e-05,8.533240462195503e-05,5.387920533650879e-05,9.217379952679594e-05,7.879969528678851e-05,0.0001072403939867,6.708248083556064e-05,0.0001367063843289,4.992120480329821e-05,6.849391316190624e-05,8.720789775058366e-05,7.970503697830869e-05,6.892550515982811e-05,7.083135409723756e-05,0.0001252360894689,6.717249274456412e-05
BierwischManfred,0.014033686998128002,0.0002637723601778698,0.00467596070956323,0.003199682337016468,0.008542896484458702,4.708337178473663e-05,0.03913461900383921,5.583265818174559e-06,0.00968417778821935,0.003837395875629879,0.0012180753219908206,0.000900058050564695,0.0032357148977596724,0.0028430891773972298,0.00012192419903227713,0.0050681779685891526,0.004022992336951541,0.004629160958867768,0.0008357092561812309,3.565686829013736e-05,0.005896501127381758,0.004934044887314542,2.702310012774821e-05,0.008237068973732763,0.0010822141532139645,0.0016040773220036364,0.24584655833535227,0.00890114695182999,0.0035929918234043324,0.0037325563727319913,0.002563212389948886,0.004202022158705843,0.0024580979243195578,0.018635981686956248,0.014297507861871554,0.005243736793820545,0.00034956822791960807,0.0025425839931852157,0.001341880015370848,0.0005606784805412741,0.0003534326408538643,0.007266511142935927,0.0038527815744848998,0.04016854358752991,0.002427033677983366,0.0009995005180700402,0.0022633639285698703,0.0016606461396456358,0.0008687744076622043,0.008358861640783867,0.007551502938813654,0.0028136763837458573,0.0009177682687972967,0.003312643889571152,0.001928822370794002,0.00048725044928766604,0.001933169221920704,0.00094855419365087,0.0029957743652144313,0.0020426669337009905,0.009501203946904561,0.001674369660760777,0.0019064144224016492,0.005207059244504317,0.000288348819059408,0.010765212304231504,0.013810957522605258,0.003877672383381612,0.004546455534246566,0.0009209128909790234,0.0030302439809031362,0.0009288768920493055,0.007169611436918293,0.0037790619382760907,0.006527687133045483,0.006442876425580976,0.30594533700855786,0.013738677081895476,0.002600417968331778,4.073118372917884e-05,0.00047970301492860306,0.0018353202211107268,0.0018808229625834985,0.00022034750608036002,0.010408812012608437,0.005294992717589394,0.0003219165892889669,0.001930205156295952,0.0052610501102787095,0.0062172444337764265,0.010736388990391667,0.00012169050822358128,0.007674426665390121,0.0027275430879095675,0.0012406841841311217,0.001575222708588955,0.0007824546817781437,0.0021580887749698017,0.0007303999971021421,0.00016440981460162914
BierwischManfred+BaumgärtnerKlaus,0.0001066431073863316,5.3990855255151743e-05,0.01222668614322485,0.00013142263600071313,8.493187580852087e-05,7.417776797161682e-05,0.010704056634753134,8.796188137882472e-06,8.61046164907438e-05,0.00011089716056464898,8.633132085649466e-05,8.360966901183308e-05,6.27072254350432e-05,8.326414917974895e-05,4.3160688271220406e-05,8.30240140138751e-05,8.83619837375095e-05,0.010444646009526111,9.524370320237304e-05,5.6175817541523333e-05,8.747896097273981e-05,4.657225682264308e-05,1.5408624686280208e-05,0.006651465288877633,6.396072489818479e-05,9.937190128077836e-05,0.2970599979556486,0.00011215539792568039,8.269814241924251e-05,0.00022437305655209999,0.00010102108743892097,8.206721655465654e-05,0.00017516540216444432,0.04219948661350075,0.00012369140994873418,5.581256169339999e-05,0.00011252743127097305,7.361495370714569e-05,8.129230251664874e-05,0.00011364212353567504,3.096971151171082e-05,0.00010213047050636872,0.00044266655273946664,0.0007694159036817999,2.0214281493293864e-05,8.035249994184638e-05,8.111650007255548e-05,0.05194298108331057,0.05155410679657472,5.8213408632364084e-05,9.690999486857217e-05,0.008764445533570956,8.03552340138277e-05,9.870005422085053e-05,6.19380408178543e-05,0.00012052818878383678,0.005311322782717284,5.508558817042084e-05,6.398784786902935e-05,0.00010069761934274582,0.00010490376407056366,5.1763443395618784e-05,5.9647890480414795e-05,0.00010005593291628398,9.97283066777929e-05,0.03872847338726494,0.0001846164740627493,6.775833851464447e-05,6.226559111609535e-05,5.918022652313008e-05,7.244199769692755e-05,2.3513712185456665e-05,9.002844721352984e-05,0.00011405659915943595,6.0445883818749884e-05,0.008685726779378145,0.2263092156681199,9.992744268850794e-05,5.398784658765251e-05,6.417017688717684e-05,0.06407270229482333,0.00021164118628973333,4.657503998206646e-05,0.00013437107986307591,0.06056868372561706,9.283311156634451e-05,5.861518027376356e-05,0.00010027586416759192,8.572617795505226e-05,0.02903326471057219,7.297902192190844e-05,0.060660022992746095,5.4309272023488775e-05,0.0018034088085474513,9.487346028994236e-05,8.671109906005185e-05,0.005332547302439094,7.705742064148486e-05,0.00013624432497025358,7.30769458656658e-05
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0001598865644714,8.094674443748999e-05,0.0001865480547618,0.0001970377109119,0.0001273356166184,0.0001112123302838,0.0069228481765497,1.3187840604790436e-05,0.0001290938688233,0.0001662645289215,0.0001294337593523,0.0001253532746984,9.4014916557421e-05,0.0001248352479805,6.470942508182035e-05,0.0001244752210869,0.000132478266584,0.0001068682082225,0.0001427958061781,8.422258778109007e-05,0.0001311543790898,6.982427955778533e-05,2.310165302474088e-05,0.3886651767235183,9.589424779259464e-05,0.0001489850801442,0.2654102222898751,0.0001681509635339,0.0001239866523364,0.0003363952725244,0.0001514576516536,0.0001230407255775,0.0002626198265667,0.000199017843161,0.0001854465335456,8.367797002745579e-05,0.0001687087411053,0.0001103685210458,0.0001218789220036,0.0001703799631938,4.643188760752297e-05,0.0001531209138342,0.0006636756566698,0.0011535603988331,3.030661896894122e-05,0.0001204699063752,0.0001216153470806,0.0001141728258384,0.0001131955737461,8.727748225383216e-05,0.0001452940234229,0.0001798732693405,0.000120474005481,0.0001479778015596,9.286170291894665e-05,0.0001807040182803,0.0001868685949525,8.258804211838086e-05,9.593491238624184e-05,0.0001509726863907,0.0001572788232492,7.76072578207551e-05,8.942815452983919e-05,0.0001500106266691,0.0001495194272378,0.000179190557207,0.0002767895132293,0.0001015878871585,9.335278849547994e-05,8.872700107237047e-05,0.0001086099460066,3.5253348776527085e-05,0.0001349767414177,0.0001710013731017,9.062456015286034e-05,6.185278516836627e-05,0.3248224910977623,0.0001498179854231,8.094223363954082e-05,9.62082723907492e-05,0.0001553444921432,0.0003173067909015,6.98284522587642e-05,0.0002014582175086,0.0001599813036661,0.0001391816840423,8.787984549155181e-05,0.0001503403624866,0.0001285264881568,0.0001749147782553,0.0001094150890719,0.0002229753734767,8.14241364078409e-05,0.000111717210159,0.0001422407129448,0.0001300031485394,0.0001124211596299,0.0001155297004687,0.0002042667133592,0.0001095619032761
