year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.014259348376760954,6.852178964461592e-05,0.00015791378215188656,0.0001667933240921515,0.00010779018225907045,9.414174658354113e-05,0.028315719375269725,1.1163567430266434e-05,0.00010927855079769801,0.005276745018572177,0.00010956626968616996,0.004757843637059836,7.958405715475456e-05,0.00010567360876342567,5.4776824494841065e-05,0.002389433397957302,0.0001121434589919193,9.046442737642171e-05,0.00012087730347977872,7.129480602790758e-05,0.00011102278216891625,5.910657221849461e-05,1.955565501744336e-05,0.0002749452097587836,8.117491964667867e-05,0.00012611655221925476,0.18056072391729627,0.00014234056022739138,0.00010495526866679319,0.0028969811723304293,0.0001282095953184704,0.00010415453733606293,0.013512970360319216,0.00016846951510373685,0.010930216061960294,0.0020999886940765923,0.0001428127214944312,0.0007628539484353527,0.00010317106529335501,0.00014422741864119422,3.93048053699442e-05,0.00012961755436683234,0.06682792927097006,0.0009764941572451545,2.5654691665007687e-05,0.00010197832711514414,0.0001029479479147582,9.66478196201508e-05,9.582057125132608e-05,7.388078818076292e-05,0.0001229920558114084,0.0001522635457434701,0.00010198179702693395,0.0001252638862873007,7.86078565317351e-05,0.00015296677852324447,0.00015818512089037465,6.991115564341447e-05,8.120934241131707e-05,0.0001277990700038097,0.0001331372437165917,6.569489893933616e-05,7.57013421056493e-05,0.000126984682046386,0.00012656887947963213,0.00015168562679786048,0.0002343035897630808,8.599461142871319e-05,0.007915686666278206,0.038877277021751956,9.193881638229511e-05,0.023844230717521727,0.013818645751016575,0.0001447534449723502,7.671410494125841e-05,5.2358665733797776e-05,0.2850034494324442,0.00012682161034992858,6.851797123351873e-05,0.07508036889654356,0.0001314998235822527,0.14755953685442955,5.911010442896453e-05,0.00017053530315807154,0.00013542490575828251,0.00011781793255071166,7.439069141839939e-05,0.00012726380492501574,0.00211707773116792,0.00014806616034578407,9.262037367203241e-05,0.00036131770747262947,6.89259041324585e-05,0.004662698236922919,0.03438137571862429,0.024658359392626214,9.516502615766329e-05,9.779642020490456e-05,0.00017291270774962605,9.274465256783968e-05
1955,0.0013699929456524936,4.933971983954942e-05,0.000495266707505784,0.00012010100618348171,0.0045190677769656774,6.778759611690118e-05,0.03981295822450442,8.038425328291154e-06,0.0037326294406421984,0.0002125930002768603,7.889416021117479e-05,7.640696976229147e-05,5.730520326562083e-05,7.609121533254754e-05,3.944253628360633e-05,7.587176702500603e-05,0.012352555051515673,6.513970994257893e-05,8.703876999685708e-05,5.1336454778485085e-05,0.00046150242881204455,4.2560209373709125e-05,1.408122211698675e-05,0.00019797672668909355,0.0020223754222816583,0.04016558364945164,0.21881898518304055,0.00010249357758819945,7.557396820137074e-05,0.024724009275474388,0.0025480790470749264,7.49973945343767e-05,0.00016007547625486796,0.24064595250665438,0.00011303579994403888,5.1004492232356425e-05,0.00010283356147879374,6.727326645869858e-05,7.428923680368095e-05,0.00048541172057766534,2.8301772258993104e-05,0.0021008112828213047,0.0004045322784995555,0.026907549200992437,1.847288732366943e-05,0.0071459729307970935,7.412857916456923e-05,6.959211614131797e-05,0.001433581940064977,5.319851406785466e-05,0.019961145773999597,0.00010963871095196288,7.343289368444944e-05,0.00042394516875258066,0.003874212659847207,0.0004737270207321321,0.00011390259343769281,5.0340145098291566e-05,5.847550426964516e-05,0.000939618006377958,9.586664824802382e-05,4.730419221922435e-05,5.450942000116194e-05,9.143644187602605e-05,0.002147008917544445,0.00010922257531081248,0.00016871236925166763,6.192117949060882e-05,5.690161429733473e-05,0.0049752010063987325,6.620135676852686e-05,2.1488082863951203e-05,8.227279123684368e-05,0.00175111903976988,5.5238668825985936e-05,3.770131970977425e-05,0.31559865838226286,9.131902066069676e-05,4.9336970358906484e-05,5.864212623982347e-05,9.46876094180672e-05,0.0005126098888108609,4.256275277306017e-05,0.002363600074539933,0.0075649963654201525,8.483584293806457e-05,0.0027827366572340073,9.163742677009172e-05,7.834114838945041e-05,0.00010661634652372457,6.669211811472399e-05,0.00013591086997891887,4.9630706045781984e-05,6.809533711090912e-05,8.670042229916831e-05,7.924122176588716e-05,6.852441761216727e-05,7.041917613717954e-05,0.001354787063093384,6.678160623132649e-05
1956,0.00010704476318878402,5.4194203983678706e-05,0.00012489474904486415,0.00013191762030504385,8.525175940500504e-05,7.445714778011533e-05,0.04402933381749038,8.829317705200292e-06,0.0022185920218650203,0.00011131483864161309,8.665647525988022e-05,8.392457270813018e-05,6.294340310815093e-05,8.357775152570735e-05,4.332324674599958e-05,8.333671192551644e-05,0.04402486442069101,7.154873881623452e-05,9.560242480171087e-05,5.638739561374772e-05,8.780843779621043e-05,4.674766447574952e-05,1.5466659037162347e-05,0.01219324263556264,6.420162369527472e-05,9.974617113964329e-05,0.23700304239583475,0.00011257781497125865,8.300961298279333e-05,0.00022521812513919998,0.00010140156871832745,8.237631082739975e-05,0.0001758251372555484,0.00013324332761757615,0.00012415727571105832,5.6022771615108945e-05,0.016825704660837194,7.389221375732487e-05,8.159847818799502e-05,0.00011407014011770539,0.006427575668900118,0.0001025151301162897,0.00880071049778646,0.01873599457153342,2.0290415653797924e-05,8.065513598307398e-05,8.142201360948869e-05,7.643921266848932e-05,7.578493806362476e-05,5.843266099600467e-05,9.727499231387743e-05,0.003635319521385151,8.065788035254733e-05,9.907179366516309e-05,6.217132146861689e-05,0.00012098214073227932,0.00012510935212249228,5.5293060051754775e-05,6.422884882086002e-05,0.0001010768823264814,0.00010529886888858316,5.195840290031513e-05,5.987254561196935e-05,0.000100432779081143,0.0001001039188859104,0.000119968871839261,0.002317474910065927,6.801354047282509e-05,6.25001054375465e-05,0.0021915662250862186,7.271483997835504e-05,2.3602273173299233e-05,9.036752630732491e-05,0.00011448617680381635,6.067354447649193e-05,4.141071366942598e-05,0.36083208759232555,0.00010030380491354129,5.419118398446953e-05,6.441186455482436e-05,0.00010400382564426846,0.07820528755491808,4.6750458117539344e-05,0.00013487716905377365,0.033498597113607434,9.318275402178143e-05,5.8835945852043025e-05,0.00309460033440549,8.604905317540574e-05,0.00011710621888998902,7.325388682722381e-05,0.00014928300029242895,5.451382002260844e-05,0.00306874196282697,9.523078742303384e-05,8.703768384296638e-05,0.0838929504305854,0.032059794218544845,0.00013675746946703666,7.335217958731426e-05
1957,0.08771515160672,4.1002016886565054e-05,0.006880292583389242,0.0006416297557841846,0.008739050338019473,0.018170184867825026,0.04688054308958609,6.680047072090905e-06,0.0024823830314649646,0.00850616727408466,0.0037924069653155115,0.012049302789640429,0.00906037432323824,0.0011153924667460216,3.277731499101394e-05,6.305052973323072e-05,0.0004732078636154601,5.413203592839389e-05,0.008441858049181369,4.266133234174999e-05,0.016827362627876118,8.14492854612781e-05,1.1701698122763485e-05,0.00555255534726163,4.857338728863363e-05,0.0006711260007672472,0.19129087732357275,0.005175029716464981,6.28030546272674e-05,0.0024941292684308525,0.00048282150617177076,0.0004977023558493224,0.00013302502328489443,0.0049185946361296855,0.026566100425435855,0.00035875582757755373,0.00027597400626525,5.5905052082253184e-05,6.173542435626941e-05,0.0005472134410507757,2.351917983840514e-05,7.756045457226833e-05,0.04131159201953334,0.010340326344361684,1.5351235078994766e-05,6.1021714583405574e-05,0.004147643443650665,5.783204952272814e-05,0.019998614231939167,0.021269452761511223,7.359589373608026e-05,9.111134583844323e-05,0.0021288360027201278,0.013198721752947888,0.006905593948332961,0.0007120055660868933,9.465469351554332e-05,4.1833384666645905e-05,0.010570189708283493,0.004912159610602637,0.0006923678366117466,3.931046415515706e-05,0.0005713778982379017,0.0005046447883119908,7.57361907891043e-05,0.002731104810661445,0.0001402024055978572,0.0006500956676565105,4.728605995087638e-05,4.494295628001327e-05,0.000777446402537089,0.0029075853972459903,0.003116018968554424,0.005439284185991845,4.590412834445749e-05,0.00016897938553925605,0.31139258542281567,7.588741969695354e-05,4.0999732028601105e-05,4.873245041051035e-05,0.006048361041467606,0.012124795039762267,3.537025977477756e-05,0.002385409933637497,0.0029865665649010686,7.049980575577167e-05,0.010754075461919406,0.02248688836578869,0.00107013174659581,0.00045028268352119676,5.5422109449206865e-05,0.0004293142487737408,0.0014867814125716712,0.00016823456881662232,0.0019101045974146459,6.585059508895195e-05,0.0002813183750325087,5.8519348275676216e-05,0.00023278576370944052,5.5496475361293363e-05
1958,9.209963654854409e-05,0.00025615567646944447,0.0008136045364037036,0.012862108315727407,0.000356009395358049,0.0092092451431952,0.04901357875203135,7.5966065727692465e-06,0.03023086093645108,0.012040003635072958,0.00016147455486064386,0.04143268208341256,5.4155517530209686e-05,0.0019205950123210962,3.727464250046337e-05,0.0007342730196190143,0.003242200844529547,0.0002362846632068811,0.017301418866184026,0.002080284654485723,0.0010656038728054603,0.0010894642375990722,1.3307271028574112e-05,0.009628116771122736,0.002528514100731465,0.001039440128728023,0.2361312579048498,0.03279975276930982,0.006318221575854399,0.0004560849649930435,0.00029359430247025646,0.006373667104370241,0.0005170053535774549,0.006101445375725162,0.02256628806255165,0.0005741649900502627,0.04444281504627006,0.0005112012744951115,0.0022847544813792346,0.007030241131570302,2.6746212147670783e-05,0.00047944975121974045,0.00038229783076186325,0.015045956053358242,1.7457555619397058e-05,0.0011241843616941042,0.01766351838175326,6.576710055780557e-05,0.013440048607525642,0.011598061595586044,0.006179003347964802,0.0006285012761747178,0.0012183900717795632,8.523981852975916e-05,5.349123058829231e-05,0.0014032109677880869,0.0005844521689374032,0.004097116902766432,0.0003695532439860375,0.0002616902150922329,9.059749645582246e-05,4.470419551791754e-05,0.013231166516562882,0.004199195235699488,0.00021881945728986657,0.002853569272165067,0.0017319232325077008,0.0004801677153751855,5.377411116217244e-05,0.0002686771774165369,0.008244940674820471,2.030702592284993e-05,0.0012496784237460137,0.0016763937383659931,5.220256673874219e-05,3.56291290162701e-05,0.30926314765046226,0.00032982976327303464,4.6625245368630967e-05,0.0017550007776983984,8.948326154546062e-05,0.0003488326338104234,4.022336145028151e-05,0.0005705636359019899,9.21542092728187e-05,0.0008703056900835172,0.0044341604740207605,0.0002569506063450495,7.4035256716151e-05,0.001249059476779754,0.0006236791222701443,0.00046706905759996876,4.690283635921007e-05,6.435258951166524e-05,0.0012586243363992631,0.0028125989482634456,0.00048757518389301016,0.001342120638941289,0.00011766398334683496,0.0003363113861283499
1959,0.0003178102712900315,0.00020796165659304122,0.014731174590176936,0.00048304142219436646,8.786819805153282e-05,0.0006195005957300477,0.0897177578803855,9.100295902335936e-06,0.002585967374866386,0.00011473117219046104,8.931602566004937e-05,0.009760950653608408,6.487518203662664e-05,8.614281365001732e-05,4.46528687722074e-05,0.0010222917839913742,9.141689399135167e-05,7.374462177105869e-05,9.853653291511036e-05,0.004942942700126058,9.050334276644686e-05,4.8182384378560584e-05,1.5941342078540897e-05,0.05563391571036795,6.617201833083564e-05,0.0007206861241610658,0.17439995109921433,0.00011603291018439845,0.004201512278623662,0.000232130233588613,0.00010451365678623952,8.490449986081016e-05,0.00018122133889826833,0.0001373326624794145,0.0008480111969866664,5.7742151317780216e-05,0.02944748148339462,7.616001966655098e-05,8.41027949706517e-05,0.006405951318695516,3.204041732040137e-05,0.0017339363056064086,0.012506738737784249,0.046312283926888236,2.0913143302363643e-05,8.313050090573802e-05,0.012682819546827595,0.017336029285964085,0.005148858565806743,6.022600196063255e-05,0.001654972740012309,0.00745347993083634,0.007105014764342758,0.013770770321338933,6.40794046487176e-05,0.00012469517082994117,0.00012894904934656172,5.6990044374568244e-05,6.620007901537638e-05,0.00010417900553231585,0.00010853056793993458,0.021460531056988606,0.0473416358488572,0.005008966259319981,0.00010317618113444164,0.0009331491675601093,0.0001909991596452181,0.03285063279096319,6.441827923734423e-05,6.122624533329457e-05,0.013713995387348299,0.002665292932961381,0.0033595466686920164,0.003034764913431552,6.253565978879365e-05,4.268163866123428e-05,0.28724251152186425,0.00010338220180998209,5.585435092749138e-05,6.638871163564153e-05,0.01279626077111099,0.0015287497818429767,4.818526375925279e-05,0.00013901664770040505,0.006905076356276371,0.009875556980434587,6.064166392290879e-05,0.011749245188684155,8.868996134898741e-05,0.003218907212010854,7.550210201760672e-05,0.0015571563733039388,5.618688890084109e-05,0.0017121385014471854,0.003965448622938827,0.0022673127318941105,0.0006408867957523864,7.97215018956154e-05,0.00014095465590413246,7.560341145416547e-05
1960,9.122084185612009e-05,4.618293098928819e-05,0.00042953013029859647,0.00011241686208097151,7.264939480435532e-05,0.000289692982504505,0.039017388623306094,7.524121405761365e-06,0.010104771847837256,9.485969223975688e-05,7.384645815459636e-05,7.151839984312592e-05,0.045796477284811433,0.002019837401022702,3.691897597213371e-05,0.004130517414974496,7.55834553414985e-05,0.0070788948268468484,0.0009259108651268938,4.8051913468081366e-05,0.0058618109403043624,3.983717821640363e-05,1.3180295943885252e-05,0.05634786930533815,0.0310618634629798,8.500116616853842e-05,0.16814044747841073,0.0005567577410399932,0.0008565820848740399,0.0013592667898013598,0.0003919869328628742,0.0003030259101035979,0.0007199022112319112,0.00011354659634818626,0.00010580369254448834,4.7741190111553645e-05,0.002815062041323313,6.296907709223834e-05,6.953616088028423e-05,9.720769052317246e-05,2.649100561093876e-05,8.73608030287667e-05,0.010260674128819267,0.009719352482836072,1.7290979422183244e-05,0.002156383249343222,0.014324278890378073,0.027337308753175638,0.004525427969301154,0.019373902274331927,0.0025985035162698817,0.00010262395161778197,6.873460717656534e-05,8.442647872828135e-05,0.05070446372263579,0.00010309792276048883,0.010672738920994525,4.7119348359205056e-05,0.0019964646396701843,0.012125339658427903,8.973303485732496e-05,4.427763781126083e-05,5.102187021666323e-05,0.01034902728892314,8.530602975658523e-05,0.0025293974880623788,0.01343443986799292,0.002713710890089308,5.326101029391991e-05,5.0621837800726135e-05,6.196574891347417e-05,0.0014170746601367184,7.700892206813836e-05,0.015449708109448825,5.1704461205429626e-05,3.5289163619567785e-05,0.31098147616555233,0.006038336364645554,4.618035742228794e-05,5.4890163097930064e-05,0.016107905544866057,0.003807435085562757,0.01211005516810987,0.00011493891472818074,9.127489385933856e-05,0.0009341044161461468,5.013850609914903e-05,0.001720082998646799,0.014446257709891972,9.979496012234579e-05,6.242511101477796e-05,0.0001272152000323943,0.0005232597057804076,6.373855110471821e-05,8.115327028215714e-05,7.417131447485706e-05,0.017188333204451324,0.02269905856819932,0.00011654125921968107,6.250887362078408e-05
1961,0.0002355186373606892,2.437629293683613e-05,0.0018320092688952044,0.01850595512921813,0.003939204774642586,0.0001681159447047344,0.06070160836940571,3.97138474216125e-06,3.887531221488844e-05,0.0015908836663268426,0.005945434346384425,3.7748870147593206e-05,2.831164072578188e-05,0.003411019440911617,0.00016205770056706165,0.0006657366785654528,0.001668539696920739,0.0011833616393047597,0.00025612925086132744,2.5362780009462573e-05,0.011167344703474146,2.1026875193461355e-05,0.00010064203725929561,0.0066613004200476705,2.8877582309131362e-05,4.48653492126238e-05,0.14441320573555122,5.063696104394243e-05,0.0012095398894406246,0.000683600775524944,0.00035901011001925363,3.705246938196139e-05,0.011275947053496084,0.0004057110673997883,0.002150385834418031,0.0007257711036512528,0.001576770551135417,0.0008012726503771716,3.670260399267563e-05,0.003905390380765734,1.398249307982086e-05,0.00043728539598679423,0.009466603666070075,0.0034474547007654743,0.029115071780631753,0.033033803469145535,3.662323107191052e-05,0.008440388169054232,0.0026107714666758425,0.001232334365683961,0.01255751072574391,0.0025873784482131944,0.0003956286954977752,0.0002812269026346455,2.7964362108642264e-05,5.441718644864883e-05,0.0007667315994252351,0.0341160128890312,0.0027824373167127155,0.032683280145816146,4.73629260191575e-05,2.3370640336551058e-05,0.0011103584495731752,4.517418217047597e-05,4.50262624324823e-05,5.396142296207639e-05,0.0005605500786287955,3.059216418671187e-05,2.811224756041451e-05,0.0001927206922754908,3.27067861482345e-05,1.0616189233461957e-05,4.064687976426345e-05,0.044122483814573586,2.7290669203676138e-05,0.0008830734851199292,0.3165485145450147,0.0008157457329523578,0.03392479550131934,0.003394606433584811,0.007299115965483736,9.55537290549804e-05,2.1028131760134974e-05,6.066710352155689e-05,0.00023996647686759236,0.0003464526728991553,2.6464126158899916e-05,0.00010795351295871629,3.870445126887027e-05,5.267381540003048e-05,3.2949246834590384e-05,0.12247389343568524,0.00039251116846940993,0.00032037472237453666,4.283435128097441e-05,3.914913259985287e-05,3.385449456285062e-05,0.004520276206184956,6.151285362606819e-05,0.0016901733116096251
1962,8.43522066194403e-05,0.004784943050080684,0.0016309712812968829,0.000951674271131223,0.0016627636939474338,0.0031431881155565456,0.17708844541727056,0.00697875605846354,0.0010306193526124345,0.0008043136172906196,0.0035231965330087545,0.0011853561449941073,4.959995039593626e-05,0.007781254166625682,3.4139096132130874e-05,0.007458801975800962,0.0009697062178581858,5.638102995606085e-05,0.00022744751103252197,0.0027302754145071113,0.008249433587874716,0.0003842700925765564,1.2187862161123292e-05,0.0005230820309737327,0.0015355512340095511,0.006540783236313366,0.15706388074720662,0.0032198211060552283,6.541229871633657e-05,0.0010035142512987616,0.0007747703710167534,0.0034362662366360782,0.00013855174101804995,0.00010499690379094365,0.003966814639237983,4.414643244468169e-05,0.00023485875097759527,5.822770864029225e-05,0.015992713918353472,0.019224861357571184,0.010540985710924227,8.078281626852541e-05,0.002179034111389656,0.01935565611278554,1.598902442901197e-05,0.0009508767567496159,0.0016080365287027946,0.0005552213642611542,5.971919189460172e-05,0.01308262213551146,7.665354199619123e-05,0.007217822518157733,0.0001756258203501654,0.009913546569441314,4.899154333289984e-05,0.0005311268292125599,0.00036623482183534945,0.006441100097025647,5.061289282419225e-05,7.964946447137015e-05,0.0002917770943270548,0.008413830560925479,4.718008791691022e-05,7.914190549868143e-05,7.88827607978154e-05,9.453651690965449e-05,0.0001460273181001358,0.001040730823736595,0.0008016249303298686,0.0020433143785032787,0.0077635744825781325,1.8598797027475307e-05,0.0006727127966923894,9.021610542305518e-05,0.010110210391524517,3.2632003394141314e-05,0.34768133333550044,0.005195091475116729,5.537912265857226e-05,5.0757110818105115e-05,9.46319185579564e-05,0.0001674032341388822,3.683976857166663e-05,0.00010628438508666408,0.0001245414611720012,0.00597747113879318,4.63632382689111e-05,0.005095599933990676,0.0010489599995768424,9.228072142872496e-05,5.7724701454368554e-05,0.00022970301314326197,0.002345993362152955,0.00041309349955341286,7.504269072062813e-05,0.01950038411496428,0.017688900765123444,0.0018593931450493562,0.00010776607820495599,0.0421434533692496
1963,7.581383116387475e-05,3.8382729883121776e-05,0.005453823384757883,0.000982541942108891,0.02693702033004455,0.008109686668321545,0.1550931532116386,6.253312930531407e-06,6.12127779942812e-05,7.883808727685949e-05,0.002801201466524038,5.943909067808425e-05,0.007493029951768384,0.007920469163600704,3.068343762392721e-05,0.04067299100287312,6.281756674730159e-05,0.002955282874447129,0.021156165560237614,3.993604510376959e-05,0.010477476969793495,0.010871224009051645,1.0954171338997444e-05,0.01948882563552121,4.5470426710126065e-05,7.064464577950317e-05,0.14658567114136267,7.973258291931007e-05,0.0005980447696074328,0.0005382649182617453,0.012533288211554635,0.0007194782168405486,0.0048975499870094145,0.0001491163951095385,0.0004557193248295276,3.967780227668059e-05,7.999706577166683e-05,5.2333730779917186e-05,0.00011253923076726864,0.0007877972726390029,0.0007227317823563062,7.260574487582691e-05,0.004299236036398003,0.034521863225143286,1.4370568917122586e-05,0.00016661869714428037,0.0009608332047459943,0.007702454529826566,0.006478305303205604,4.138459241946223e-05,0.008387690177601536,0.0021575521620437396,0.0012670161854122736,0.009156339106236375,4.403247696239438e-05,8.568489777629253e-05,0.01135000069321556,3.916098830452348e-05,0.004441086503063713,0.0035159257009946547,0.06615544647681966,3.679923676491035e-05,0.00012037316129759195,7.113093186208635e-05,7.089801854083533e-05,0.0009814166177697901,0.0008464643226939753,4.817019460511474e-05,0.0188033223120113,4.207191455525594e-05,0.00037769532840393794,1.671617274997338e-05,6.400227510500466e-05,0.0014266064685010467,0.001148495178704655,2.9328897192024404e-05,0.2816245061063423,0.005554393088838092,3.838059098624202e-05,0.0034690518217534265,7.36601048281517e-05,0.0007880413692493771,3.3110740151808346e-05,9.552597079847633e-05,0.0018632629512698538,0.0022253706103612277,4.1670216574026954e-05,0.005791342017888546,0.0019034828975984768,0.0011276688563455627,5.188163944293849e-05,0.00010572881701690579,3.860909608442465e-05,0.013112069794266733,0.0016532527755870733,0.0019266789979414153,5.330703579508987e-05,5.4781020748712484e-05,0.004035893197542002,5.1951254718792e-05
