,Number,Score,Rank
0,0,"0,00988",29.0
1,1,"0,005",89.5
2,2,"0,01153",17.0
3,3,"0,01218",15.0
4,4,"0,00787",52.0
5,5,"0,00687",67.0
6,6,"0,42784",2.0
7,7,"0,00082",100.0
8,8,"0,00798",50.0
9,9,"0,01028",27.0
10,10,"0,008",49.0
11,11,"0,00775",53.0
12,12,"0,00581",77.0
13,13,"0,00771",54.0
14,14,"0,004",94.0
15,15,"0,00769",55.0
16,16,"0,00819",46.0
17,17,"0,0066",72.0
18,18,"0,00882",42.0
19,19,"0,00521",85.0
20,20,"0,00811",47.0
21,21,"0,00432",92.5
22,22,"0,00143",99.0
23,23,"0,02007",7.0
24,24,"0,00593",75.5
25,25,"0,00921",39.0
26,26,"0,40274",3.0
27,27,"0,01039",26.0
28,28,"0,00766",56.0
29,29,"0,02079",6.0
30,30,"0,00936",33.0
31,31,"0,0076",57.0
32,32,"0,01623",10.0
33,33,"0,0123",14.0
34,34,"0,01146",18.0
35,35,"0,00517",86.0
36,36,"0,01043",25.0
37,37,"0,00682",68.0
38,38,"0,00753",58.0
39,39,"0,01053",24.0
40,40,"0,00287",96.0
41,41,"0,00946",32.0
42,42,"0,04102",5.0
43,43,"0,07129",4.0
44,44,"0,00187",98.0
45,45,"0,00745",60.5
46,46,"0,00752",59.0
47,47,"0,00706",63.0
48,48,"0,007",64.0
49,49,"0,00539",84.0
50,50,"0,00898",41.0
51,51,"0,01112",20.0
52,52,"0,00745",60.5
53,53,"0,00915",40.0
54,54,"0,00574",79.0
55,55,"0,01117",19.0
56,56,"0,01155",16.0
57,57,"0,0051",87.0
58,58,"0,00593",75.5
59,59,"0,00933",34.0
60,60,"0,00972",30.0
61,61,"0,0048",91.0
62,62,"0,00553",81.0
63,63,"0,00927",36.0
64,64,"0,00924",38.0
65,65,"0,01107",21.0
66,66,"0,01711",9.0
67,67,"0,00628",73.0
68,68,"0,00577",78.0
69,69,"0,00548",82.0
70,70,"0,00671",71.0
71,71,"0,00218",97.0
72,72,"0,00834",45.0
73,73,"0,01057",23.0
74,74,"0,0056",80.0
75,75,"0,00382",95.0
76,76,"1,0745",1.0
77,77,"0,00926",37.0
78,78,"0,005",89.5
79,79,"0,00595",74.0
80,80,"0,0096",31.0
81,81,"0,01961",8.0
82,82,"0,00432",92.5
83,83,"0,01245",13.0
84,84,"0,00989",28.0
85,85,"0,0086",44.0
86,86,"0,00543",83.0
87,87,"0,00929",35.0
88,88,"0,00794",51.0
89,89,"0,01081",22.0
90,90,"0,00676",70.0
91,91,"0,01378",11.0
92,92,"0,00503",88.0
93,93,"0,0069",66.0
94,94,"0,00879",43.0
95,95,"0,00803",48.0
96,96,"0,00695",65.0
97,97,"0,00714",62.0
98,98,"0,01262",12.0
99,99,"0,00677",69.0
