receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumannSabine,0.0350287475424109,0.6106385340963243,0.0002369076234083,0.0001055351684322,0.0003168399400131,0.0001282194383378,0.0002394795334219,0.0002172986501862,0.0157333927622872,0.0002402569813209,0.000267105212076,0.0002383312655667,0.000176162868827,0.0002444520845444,0.0004890336362102,0.0071841427118233,0.3277788246996446,0.0003153304216279,0.0002580810458837,0.0001633243176524
BaumgärtnerKlaus,0.00410599448628585,0.02203246892604249,0.028886826086029015,0.000861292191953976,0.05685183211126432,0.04346076701040594,0.005350411618758836,0.005509690289509339,0.02545524585990856,0.029040772359305567,0.01796107074246803,0.003401834999515584,0.013734375868474763,0.002206964443192507,0.02371683531529376,0.007916160494993612,0.6354100330522205,0.045531627938572045,0.010566330456476673,0.017999465749327734
BaumgärtnerKlaus+BaumgärtnerSabine,0.004052961269160559,0.017319877401131684,0.027821129242835255,0.0723485624525928,0.004873396655551257,0.0442868409978374,0.014164301155368276,0.0142067633056139,0.009719178894062918,0.005876073254517819,0.0073038478712768706,0.024459614388699653,0.03465945378975937,0.014218777346860887,0.01665124500056189,0.03486994191566156,0.6032078788508132,0.03714407417455785,0.0043688596444175914,0.008447222388718626
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.2159686021526652,0.0002586147190332,0.2669573221622332,8.636721956015396e-05,0.0002592935139163,0.0001049314323112,0.0001959837819986,0.0001778315277225,0.0015241609504234,0.0001966200250102,0.0002185919143327,0.0001950440696407,0.0001441670809489,0.0002000531876854,0.0004002123278742,0.0002034964174469,0.4952783284150082,0.00025805816358,0.0002112067729201,0.0171611141656881
BaumgärtnerSabine,0.00070302758458475,0.08380448440093133,0.0004740611872708,0.00021117989588535966,0.08364556859531462,0.000256571984874,0.016043875138804824,0.000434822884201075,0.04931585914630355,0.00048076338015859996,0.06395630113420327,0.0056651324366888,0.00035250861727332503,0.10817643111172352,0.000978574951966175,0.000497577118591375,0.5819683389163889,0.000630988196618425,0.0005164300129459,0.001887503305270525
BaumgärtnerSabine+BaumgärtnerKlaus,0.02836917006892135,0.000356903779775925,0.14488200554177147,0.00011919192853745601,0.000357840557312625,0.04665372058699425,0.004979185344121325,0.03320643016766438,0.06881054300835295,0.000271347394178125,0.000301669915561875,0.00026917248151185,0.004502401449247325,0.000276085364004225,0.009969748955504723,0.00028083722701155,0.6504383565821137,0.005479452396144374,0.000291477978713825,0.000184459272555775
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,8.85325561187876e-05,7.96319791544525e-05,5.969872247698589e-05,2.659397211942073e-05,7.984099192904981e-05,0.5732724202723763,6.034682210303669e-05,5.475742665204892e-05,0.0004693157198703,0.0122943255689675,6.730826006559101e-05,6.005746829064855e-05,4.439155678299738e-05,0.0018092831254006,0.0001232323506943,6.266009348855895e-05,0.2765903407088864,0.1294080220210163,0.0053080840334096,4.11563501967739e-05
BierwischHedwig+BierwischWilhelm,0.0003243381289603,0.0002917309547655,0.0002187056693983,9.74267494012428e-05,0.0066951167260096,0.0001183681541697,0.0002210799758604,0.0002006032818388,0.0017193334197894,0.0002217976913173,0.0002465831338243,0.0002200199310787,0.0001626280218241,0.3395645333961781,0.0004514604774087,0.0002295546223164,0.6483365883524548,0.0002911031310502,0.0002382523073213,0.0001507758750323
BierwischManfred,0.0444518116006434,0.027015445960604338,0.011380018909438475,0.0007515386714846078,0.04328125213405909,0.032889499511581204,0.0021935231026908248,0.011532790438150267,0.019377880446808844,0.04348370293274643,0.01406928257848437,0.030892189331269675,0.011961489323733357,0.01318983549606257,0.0023529405637720113,0.016017184923754865,0.5935525366524715,0.044900517865989774,0.02557477615857142,0.011131783397682149
BierwischManfred+BaumgärtnerKlaus,0.0002565786435366,0.00023078363586579999,0.2075497133091164,7.707272433766775e-05,0.0002313893815546,0.2166589003753742,0.0030956913646988,0.00015869400895965,0.0013601368363653499,0.00017546056320964998,0.000195067925558,0.00017405420586275,0.0001286523954936,0.00017852426262959998,0.00035714307557745,0.0001815969457563,0.5277124998337263,0.0409702866147829,0.00018847754356825,0.0001192763540255
BierwischManfred+ZeibigBrigitte,0.0001953724762644842,0.00017573080050205104,0.0001317423527736395,5.8687226648119654e-05,0.000176192047134169,7.130175987978739e-05,0.00013317257047386192,0.00012083796636944559,0.0010356797359142998,0.09708631654748373,0.0001485349798826978,0.00013253402829998436,9.796270156588649e-05,0.0010547411607147001,0.00027194752491675,0.0001382774672336131,0.6247578640079507,0.0406027020427262,0.2335195793128911,9.082329037427114e-05
DohertyMonika,0.18915100930801515,0.00058637718731994,0.0055555983700215205,0.0001958270877683855,0.0005879162715444199,0.00023791916550669262,0.00044436921176906004,0.02123316512267204,0.00345584819948826,0.00044581181483889997,0.00293189080491646,0.012495492218810442,0.0003268811912445,0.030586730314713623,0.0018727483252191,0.00046140319212410004,0.5275228401384556,0.19856822738957217,0.0030368862272615203,0.00030305845873714
