sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumgärtnerKlaus,0.004071083898908665,0.01916869899399129,0.019331193614148486,0.00029931243774113195,0.016307126372751626,0.003972876678712684,0.029012526324874766,0.012386103044127753,0.1250855792541212,0.0025743288371806576,0.029544275084405897,0.003375623397879653,0.00992687308072519,0.0013430121178522607,0.21935959555959084,0.019455688429895812,0.4382732841408572,0.017903350015431002,0.01137089995532845,0.017238568761474598
BaumgärtnerKlaus+BaumannSabine,0.0007302670835711334,0.0006568500416738501,0.0004924291567691333,0.00021936226978653387,0.0006585740984053666,0.0002665131201511143,0.006885176849334732,0.0016083306836431168,0.03636609948169325,0.0004993910327481334,0.03613538225731347,0.012385784442347917,0.024146959202702056,0.0005081108498362667,0.4561343392402306,0.045651713509098184,0.3309528605105626,0.0006554364582785667,0.04470693863114975,0.00033948108070328405
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0005679934114471,0.0005108904733253,0.011595520386658,0.0001706174723767,0.0005122314249942,0.0002072908661989,0.0003871637605301,0.0003513041860491,0.0814985650626777,0.0003884206514548,0.0004318258720772,0.0003853073693197,0.0002848004494843,0.0228202320316942,0.3932286260632436,0.0116145194904585,0.4626411042986496,0.0005097910042774,0.011629751211112,0.0002640445139708
BaumgärtnerKlaus+BaumgärtnerSabine,0.00040802848363975536,0.02914717108716288,0.019782194068599886,0.00047364007990056175,0.0036467486780446382,0.00014891119527608675,0.024378312486127023,0.0355553488255286,0.15180643428947785,0.02775879800052728,0.010853502202273227,0.0002767926149674832,0.05685071558040701,0.0004009258274594194,0.19545912552348826,0.016452262182464258,0.40174690627636594,0.0007909174301900555,0.0023093880561415496,0.021753877111957448
BaumgärtnerKlaus+BierwischManfred,0.1854841835082678,0.000840886169086,0.0006303978700019,0.0002808231513737,0.0008430932717248,0.0003411847185759,0.0006372415779886,0.0005782194944212,0.2264149841358525,0.0006393103231498,0.0007107519561284,0.0006341861017667,0.0004687594923469,0.000650473257033,0.1673956703100322,0.0006616689240634,0.4108277532236374,0.0008390765281474,0.0006867391571126,0.0004345968292889
BaumgärtnerSabine,0.0002117894933708,0.0001904973408721,0.0001428125736178,0.0209678469571807,0.0001909973457469,7.729319856165241e-05,0.0001443629715445,0.0001309918989955,0.126548076899295,0.0001448316324247,0.0001610162738308,0.0001436707731034,0.0001061944411545,0.0001473605231346,0.0002947990915957,0.000149896829328,0.4442614142572992,0.0001900873783832,0.4015167593539833,0.0042793007665769
BierwischHedwig,0.0005056301692291,0.000454796888976,0.1101366674973065,0.0001518844051579,0.0004559906098988,0.0001845312175167,0.0003446548389663,0.000312732492073,0.0825318004681083,0.0003457737286544,0.0003844132420826,0.0003430022715545,0.0002535305807551,0.0003518112492946,0.0007038088254507,0.0003578664737977,0.8011208075294511,0.0004538181369174,0.000371425816805,0.0002350535580033
BierwischManfred,0.03647643141552285,0.01469890768497054,0.008168740246592454,0.002890771552468244,0.037728689523079346,0.0005593046318532993,0.027485903003259815,0.00829576359719275,0.3052408910720148,0.012295516333050512,0.02623878062337685,0.03461934301792392,0.011166660925187944,0.002649825331068014,0.00961434762257121,0.008946722834959248,0.4126479612847176,0.007169467322720986,0.01795074359687132,0.015155228380597551
BierwischManfred+BaumgärtnerKlaus,0.013575945114169768,0.025017877283029635,0.00037192834278596665,0.00016568280807488804,0.0004974164702771667,0.13201800134582864,0.000375966061013,0.0003411436309674666,0.25448923013975355,0.0003771865996539,0.0136273458392744,0.00037416336106473334,0.0002765633411059,0.00038377261730616663,0.20793347588415198,0.0003903779471829667,0.3486272997351095,0.0004950466323490667,0.00040516913014056665,0.0002564077167598667
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0008279188834182,0.0007446844658758,0.033245461093397,0.0002486955383195,0.0007466390646195,0.0003021514317375,0.0005643378635352,0.0005120682099339,0.118793985329811,0.0005661699336084,0.082347398232411,0.0005616319495102,0.0004151309951523,0.0005760557704339,0.3770550324306768,0.0005859705955662,0.3801705369733497,0.0007430818571692,0.0006081726649949,0.0003848767164789
