idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
uj0002,3.2957426724127215e-05,3.780644123357052e-05,3.574442947758087e-05,4.74096559811387e-05,3.590837525892399e-05,6.497526920516418e-05,3.0125868925109244e-05,4.153869876419629e-05,3.641060020028436e-05,4.426195908838708e-05,1.7032603576982413e-05,3.8548916512399005e-05,1.5555187408439027e-05,4.469033209557736e-05,3.77826780813619e-05,6.049041007430247e-05,7.428561692199829e-06,2.600976797463122e-05,3.0114921519075952e-05,0.2952311063578361,0.0168978050785584,0.2616983072556461,0.0400982237964381,0.0274478245678031,6.178356727259142e-05,4.84173952121092e-05,3.064622835438609e-05,3.441071558479125e-05,4.206788131185604e-05,3.367242999739348e-05,2.145579201527087e-05,8.623214401551009e-05,4.991138120027896e-05,3.910478785387942e-05,3.5838203067638806e-05,0.2982410124988804,4.647420591974807e-05,4.950678232334902e-05,4.038227338450734e-05,0.0590810245535306
uj0003,0.0038285202487166,6.759208970384971e-05,6.39055305082837e-05,8.47611574998047e-05,6.419864029586328e-05,0.0001161657665029,5.386041024629106e-05,7.426479090440385e-05,6.509654108155792e-05,7.91335606196605e-05,3.0451669908651125e-05,6.89195210624221e-05,2.7810277517943128e-05,7.989942553008224e-05,6.754960485038762e-05,0.0001081475296419,1.328112331884595e-05,4.650145617399483e-05,5.384083797166052e-05,8.40703607223268e-05,5.389137387269314e-05,0.298244351786745,0.3845660320005158,6.771286623916122e-05,0.0001104594953942,8.656283991886727e-05,5.479073270125656e-05,6.152105563735461e-05,7.521088773510391e-05,6.020111480129045e-05,3.835964907682391e-05,0.0680069238743995,8.923385659311055e-05,6.991333334284856e-05,6.407318323369865e-05,0.24294995793735,8.308871697380138e-05,8.85104961632153e-05,7.219728056888101e-05,7.903697595942376e-05
uj0006,3.0874316590696966e-05,3.541684384473884e-05,3.348516379274141e-05,4.441307692102498e-05,3.3638747202006525e-05,6.0868436386067006e-05,2.8221730493380747e-05,3.89131999638953e-05,3.410922846770416e-05,4.1464333646501616e-05,1.59560392745899e-05,3.611239016306032e-05,1.4572004807771831e-05,4.18656308701474e-05,3.539458266850614e-05,5.666704767238037e-05,6.959031341199921e-06,2.436579219673897e-05,0.3140834792640127,4.405111383179991e-05,2.823795478716948e-05,0.183926478800668,3.515488333899932e-05,0.0020106704916804,5.787846945830165e-05,4.535712089382311e-05,2.870920003688993e-05,0.0039826164756479,3.940893495095841e-05,3.154412730155706e-05,2.0099655259148985e-05,0.1896990566386805,4.675667786672996e-05,3.663312704959636e-05,3.357301032067363e-05,0.3050678384597923,4.353675300193035e-05,4.637765210348885e-05,3.782986771271879e-05,4.14137253009927e-05
uj0007,4.5534387034248e-05,5.22338452551787e-05,4.938494439430942e-05,6.550176513099381e-05,4.961145390680255e-05,8.977063289581662e-05,4.162227187399675e-05,5.739037826770871e-05,5.030533407680424e-05,6.115286830173604e-05,2.353245506596124e-05,5.325965825303595e-05,2.1491238675123862e-05,6.174471372910212e-05,5.220101379115456e-05,8.357429623494383e-05,1.026339240717444e-05,3.593541606089121e-05,4.160714680287048e-05,6.496793088891531e-05,4.164619995903024e-05,0.3848701769059283,5.184749788386151e-05,5.232717900005268e-05,8.536093816108385e-05,6.689407007508744e-05,4.2341206876050965e-05,4.754226883909754e-05,5.812150339888492e-05,4.652224437056805e-05,2.964358673774898e-05,0.0001191393931711,6.89581795329798e-05,5.402765695075243e-05,4.951450314229757e-05,0.3334005369433939,6.420933579471347e-05,6.839918073704945e-05,5.579264670766445e-05,0.2797159134162928
uj0008,6.615472269926559e-05,7.588804359601203e-05,7.174901244342942e-05,9.516436677393132e-05,7.207809722887866e-05,0.0001304234384728,6.047099858545775e-05,8.33797226050422e-05,7.308620238242901e-05,8.884606356341763e-05,3.418917307815482e-05,7.737839800362725e-05,3.12235878776013e-05,8.97059273428242e-05,7.584034433969628e-05,0.0001214210787124,1.4911189605774086e-05,0.0042844699933684,6.044902409647622e-05,0.4656431157580481,6.0505762550303145e-05,0.4872109448938398,7.532673806672368e-05,7.60236437086473e-05,0.0001240168049072,9.7187179717917e-05,6.151550470044993e-05,6.907187768178058e-05,8.444193917282092e-05,6.758993315024927e-05,4.306774260456009e-05,0.0001730918989173,0.0001001860251554,7.849418640421815e-05,0.0043041983964257,0.0357619357094712,9.328665830086648e-05,9.937388266834689e-05,8.105845520282386e-05,8.873762452951785e-05
uj0009,9.28870302501864e-05,0.0001065534660794,0.0001007419034851,0.000133619113717,0.0001012039673737,0.0001831259414363,8.490658331984436e-05,0.0001170724401804,0.0001026194353867,0.0001247476621032,4.800459626104185e-05,0.0001086460543224,4.384065465576054e-05,0.0001259549862311,0.0001064864921419,0.0001704858391236,2.0936617424490824e-05,7.330578703498217e-05,8.487572921087865e-05,0.000132530128433,8.495539497413684e-05,0.4939279768337885,0.0001057653439083,0.0001067438605252,0.0001741304662603,0.0001364593204241,8.637316147392164e-05,9.698297158361384e-05,0.0001185638853629,9.490219154383936e-05,6.047088623291025e-05,0.0180704332702692,0.0001406699623179,0.0001102127190546,0.0001010061944556,0.056155358564576,0.0001309826464079,0.000139529643068,0.0001138131772494,0.4279821250783515
uj0013,4.607122203445198e-05,5.284966459863728e-05,4.996717616156815e-05,6.627400875581764e-05,5.0196356144492646e-05,9.082899825149148e-05,4.211298436153197e-05,5.806699138881825e-05,5.089841692667485e-05,6.187383990595563e-05,2.3809894740522665e-05,5.388757158428664e-05,2.174461309981672e-05,6.247266299044666e-05,0.1415287519319768,8.455960888014513e-05,1.0384394327346442e-05,3.635908244458206e-05,4.209768097094013e-05,0.2063848064644134,4.213719455058335e-05,0.5574103393219842,5.2458762322671776e-05,5.294409871675029e-05,8.636731470944173e-05,6.768272850361521e-05,4.2840395363750287e-05,4.810277608569205e-05,5.8806736237652006e-05,4.707072587417059e-05,2.9993074584822387e-05,0.0413843585229879,6.977117311288264e-05,5.466462472652074e-05,5.009826236331231e-05,0.0514319300535736,6.496634211542066e-05,6.920558391048648e-05,5.645042311484794e-05,6.179832120367478e-05
uj0014,5.657680939396501e-05,6.490093530178374e-05,6.136115511617426e-05,8.138642292466085e-05,6.164259484445268e-05,0.000111540668873,5.171597765415699e-05,7.130796533743943e-05,6.250474603781148e-05,7.598288676202677e-05,2.923924777635745e-05,6.617551546490243e-05,2.670302146042215e-05,7.671825904033579e-05,6.486014196726885e-05,0.0001038416751885,1.2752340237268022e-05,4.4650017654584826e-05,5.169718464250324e-05,0.1955343874274585,5.174570847506569e-05,0.5252576736033019,6.442089586322861e-05,6.501690316338662e-05,0.0073450861944782,0.0073221409756259,5.2609259659848165e-05,5.907161724266058e-05,7.22163936678479e-05,5.78042293696281e-05,3.68323736378324e-05,0.0001480315686183,8.568104313467126e-05,6.71297594718073e-05,6.152213280946644e-05,0.0450623542672205,7.97805700082945e-05,0.2172557245913582,6.932277217194547e-05,7.589014758481483e-05
uj0015,0.0001209082658973,0.0001386974561929,0.0001311327191834,0.0001739279992777,0.0001317341739114,0.0002383695545034,0.000110520357092,0.0001523896898035,0.0078687062955297,0.000162380296356,6.248614551884032e-05,0.0001414213156491,5.706606741497095e-05,0.0001639518340216,0.0001386102782239,0.0002219163118141,2.725256798213572e-05,9.54199479385768e-05,0.3636615737118575,0.0001725104997418,0.0001105838937608,0.2871152935570592,0.0001376715811621,0.0001389452869419,0.0002266604138245,0.0001776250113021,0.0001124293579604,0.0001262398300835,0.0233597200072084,0.0001235313410119,7.871314188865254e-05,0.0003163529448097,0.0001831058777732,0.0001434605962193,0.000131476738826,0.2896793789256745,0.000170496188727,0.0001816215583509,0.0233535361527108,0.0001621821067936
uj0016,7.36340471127749e-05,8.446779835881768e-05,7.986081638602658e-05,0.0001059234651824,8.022710685792567e-05,0.0001451688590212,6.730773219381315e-05,9.28064720407019e-05,8.134918642144535e-05,9.889082688704118e-05,3.8054534558749125e-05,8.61266493400839e-05,3.4753666057384665e-05,9.984790519468097e-05,8.441470631725982e-05,0.0001351487099574,1.659701973100822e-05,5.81114689707941e-05,6.728327331180255e-05,0.1885351552918996,6.734642650497956e-05,0.6459306200023895,0.1602494238631613,8.461872915672418e-05,0.0001380379039124,0.0001081749734276,6.847032814075028e-05,7.688100996974656e-05,9.39887807498072e-05,7.52315196688144e-05,4.793689790525334e-05,0.0001926613327012,0.0001115128625037,8.736858660933211e-05,8.007032694660702e-05,0.0021190916584455,0.0001038334666376,0.000110608900765,9.022276665607951e-05,9.877012794665958e-05
