year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.03378580654425464,0.00024821521418430607,0.00023467723830073573,0.0029631971166796875,0.00023575361142403275,0.002479626230157481,0.0005432668522059659,0.00027271905723665345,0.00023905092974652137,0.044091945446769816,0.00011182621815306088,0.057528522902346134,0.00010212635858552429,0.0013298443507409905,0.00024805919907886485,0.2157655979660692,4.877163709007449e-05,0.00017076508441567944,0.0001977171468962015,0.008980693004980491,0.00019790272748047022,0.4405001961590072,0.00024637929161239473,0.0002486587361069451,0.0004056351479604627,0.0003178805973451079,0.020897547586301,0.00223368536226964,0.0002761933636014985,0.0002210736888000812,0.00014086631369671437,0.0891812139998557,0.0003276892447592252,0.0002567394067274335,0.00023529290142536047,0.050405660907632016,0.00030512274099401545,0.023468709352382155,0.0002651266374282296,0.00029024372529691674
1955,0.0001552950922826511,0.00017814360415305494,0.00362271833816605,0.0005263796330976936,0.0010009788655899708,0.0013039253674337337,0.00014195281791812238,0.00019572996738742164,0.0026669032066876973,0.0006217022790872307,0.00041577333072434687,0.00018164214085339644,7.329590032279731e-05,0.00021058043472321257,0.0001780316323979139,0.0002850302571658954,3.5003314523741216e-05,0.0017861156497946489,0.00014190123384136207,0.00022157322146926375,0.0007591336093662159,0.5214872824546427,0.00017682596588910657,0.0002898144790468858,0.004020217161903107,0.00022814232192604515,0.0008154364647201495,0.004859365001682899,0.009409665909321694,0.001406332577482001,0.00010109949508192559,0.001557755376100161,0.00023518197019240688,0.00018426140151336454,0.00016886928397717862,0.05314886643633699,0.3501618233893173,0.0002332755039972065,0.034979859022925705,0.0018341158869554313
1956,0.08114263149782061,0.00019545693043684,0.0019503282678919938,0.00024510494848989996,0.00018564404837057745,0.00938837952929086,0.00015574885323023157,0.00021475246783030002,0.00018824051982420002,0.00022883155293802003,0.015977843772797398,0.00019929548106976,8.041934347748693e-05,0.00023104621452307996,0.014224452714505939,0.10658933671949225,3.840519812346762e-05,0.00013446886942591207,0.0001556922558275128,0.00024310736240735998,0.019576688289388106,0.5204825586384553,0.0001940112342429,0.00019580618152469998,0.00031941716851724,0.0002503148971214,0.000158439078849246,0.0001779012417695329,0.00450563847905114,0.035643953842819674,0.00011092509928367481,0.00886328596001892,0.00025803871099635997,0.00020216930104802,0.011831903025722497,0.11754316499174097,0.03946760173200854,0.00025594696017396,0.00235284890645016,0.0058401997130422805
1957,0.0034413910740391674,0.017115622338721104,0.0008317993452894687,0.00024335419436048969,0.0013221202662598833,0.08574895340678694,0.005500020166732747,0.0030809650963299785,0.00014238477831255268,0.043995260103961764,6.660652312936126e-05,0.0001507467303921042,6.082904150379011e-05,0.00017476292599246155,0.00033895158055443107,0.005251876995751883,0.00030202278347716665,0.0031761620966327905,0.0009257179430877181,0.0008872196672759415,0.0011192230592525494,0.47460822549002635,0.03365229052753983,0.016831115557000502,0.011873074340176225,0.0019188585588896133,0.09905973526652341,0.003538493549343597,0.00344862449090714,0.0021025973274579374,0.00021233768518662103,0.042733995200680025,0.0005234540195435868,0.00015292048246682763,0.032727332929366755,0.062053921178484246,0.020624176989919252,0.010256958490899184,0.0021595631110118327,0.007646334686731569
1958,0.0007193816683152555,0.01363519782316335,0.009103150313137033,0.015812413025862896,0.009060729089243708,0.08262969709324447,0.0012351026358544336,0.0030895109225611084,0.006369495122754379,0.0077617967855304094,0.003567692544293891,0.008313762310706838,6.926968486388714e-05,0.0008447788746418958,0.009716498354402013,0.004717820971655491,3.308054823765799e-05,0.008541042087167949,0.0013791214889553927,0.004341802134225489,0.011348647492584048,0.5330075124830417,0.00016711274271748123,0.026314181324606143,0.0031612366216601665,0.0027817982823294027,0.015422115534974721,0.0307296606870703,0.0006914312733409379,0.003366358509005377,0.006667322252466265,0.0007531811941343816,0.0022066076467495708,0.004700368086347048,0.03207202310886186,0.06183281990590227,0.01692082215639418,0.04976826064241698,0.0017524355841845272,0.005394760992393935
1959,0.003165611065398283,0.040182719805974765,0.00019119009825551266,0.008501010543087701,0.023540257929415668,0.01865972640274279,0.04744699886314405,0.0013163649235458283,0.00019475331769391318,0.004152208956599565,9.110413004277778e-05,0.00020619076156389938,8.32017142941852e-05,0.008466855624379948,0.00020209229914447814,0.00767990840830161,0.031920537360847316,0.0009299594925017113,0.00016107893980516706,0.0002515184585596223,0.008545569684882496,0.4770124872806282,0.017417375203996728,0.023239753323369788,0.07951255591258355,0.011453308896910219,0.009980690632395867,0.01545314000351968,0.0011385751805938328,0.0024886125507031292,0.007416299708018942,0.020215949500246338,0.0013381992603616318,0.00020916401076519388,0.007956595016529887,0.08129163436823397,0.0008097726461380759,0.026767153574963648,0.010173414377452287,0.00023645977240643962
1960,0.010343078139226677,0.010818965016277448,0.00015776326491902362,0.00020924944741287886,0.013197494958657048,0.013265412239855875,0.00013296492655250563,0.006694290142503202,0.0018344064734220253,0.024514518451076998,0.0026921138549542284,0.012344744146437214,6.86550936145705e-05,0.0019728130106073413,0.0021476763886601248,0.011433710735596287,3.278704299781996e-05,0.0967923871230913,0.0001329166085756015,0.0014356651490473305,0.0010406866681701326,0.4328262787575475,0.01809162475650873,0.005492840010808004,0.06727116177307033,0.0016045127532920245,0.0013490964204981538,0.014154081653905167,0.0012263613295384569,0.03404690026534467,0.031169685100425323,0.013977388392019159,0.0011210487390388958,0.043170800070664886,0.00015817714836735845,0.08005331205190201,0.014489922211027923,0.026491516148209094,0.00083097122279665,0.0012120223133787783
1961,0.09058946260857466,0.005827827532414543,0.012492510573034426,0.003872122375776299,0.007373863693016704,0.060579010668828565,0.001516154714578817,0.010720554155314211,0.01752462777883673,0.000762245970895032,0.008631947016385996,0.0016933674132868523,3.60815534582078e-05,0.0008741786605453145,0.003208084298064332,0.008267464100689025,1.7231167891252395e-05,0.004201271995830412,0.14846441156540982,0.0014245704032170075,0.0011957911882524768,0.4141482963575553,0.00019535602219364925,8.785188862068123e-05,0.005984739596602611,0.005439612144657672,0.004457499679499825,0.00022270813260626943,0.0004058219088059744,0.025268782283240684,0.0007642165488131612,0.01589269212093585,0.0003736112629480053,0.006171089329694127,8.312969852934476e-05,0.11308160801738877,0.006775956869039799,0.006585156111385806,9.367004830146003e-05,0.004695422544879524
1962,0.006782102055388026,0.011402109785450665,0.007606757499220491,0.0019301517068723993,0.00807640220500432,0.022096780866475336,0.00820825691087843,0.011866541518396698,0.0056026487555879715,0.00934088777564218,0.0273141647645575,0.031650538547353384,6.335399287812222e-05,0.0013425891388235231,0.00205729952051091,0.0007455966089430323,0.0015303062193274552,0.0018221977215373759,0.00012265365073065517,0.0002703463480832317,0.002303432305870622,0.4940040811890235,0.0021483997835731244,0.011178453188096543,0.01236475046018347,0.004740852100268143,0.0008494795986938125,0.011039014501115166,0.0038799231022902535,0.012084473925080066,0.00041080863541784944,0.003741648116194697,0.0018006414633864132,0.03589120215866888,0.011010929177141696,0.21815853644401612,0.0013554838464363082,0.009993518928263832,0.001405274988367623,0.001807410496248879
1963,0.004334928256243496,0.00790555670738147,0.006036994153664444,0.00023508066818743575,0.02028726287365604,0.000521020290761488,0.03446252631433327,0.01034783052130186,0.05179152625962264,0.031540710779100256,0.009053688916962321,0.00023882261977493555,0.0001491044098867529,0.01850903315613557,0.033933724703599476,0.00042959510630928875,2.7219909275927452e-05,0.010596909739930957,0.00011034779888299896,0.0001723037680411044,0.00017193319540436715,0.4066048336227654,0.007553597096471344,0.005513462064034389,0.01784374278751976,0.004475691064195076,0.004772710291819098,0.0005370201478052949,0.00015414611336422613,0.023413022702188056,0.034600631006427504,0.005256678201761959,0.0002804572282994637,0.011933150984694222,0.023961333349538642,0.20596723719218163,0.003449805760049253,0.0006206776044058375,0.00014796966942280706,0.002057712964598748
1964,0.0018948970877692936,0.00034396117386692877,0.0021549074432485786,0.0011852980508447902,0.001071670313507829,0.0076957935056199845,0.003657465648934851,0.009311524803191125,0.029249595817090274,0.014316219569406837,0.002287260197697414,0.001447296725306035,6.817408367221892e-05,0.000506087352982475,0.03272431188902597,0.0019422393968525939,3.255733107359664e-05,0.009134336521107607,0.000826859166528896,0.001092763349632423,0.0014098964495764914,0.391617417775948,0.0025883197124419886,0.0010434177737200156,0.003642896823523522,0.13601604329988667,0.0028121248976568643,0.0138092037409371,0.0014653706410520156,0.00574101031624419,0.0003118233214440183,0.012325800777017695,0.0010866417764525903,0.01525525900568879,0.02112423266761749,0.23231458934382254,0.001635126054896913,0.013288902273442977,0.002408959184056075,0.01915974473721313
1965,0.0013299658655735926,0.0025022894105374794,0.04644652184239466,0.0002272072675566668,0.001019943019017646,0.0003113891689224,0.05887498373243022,0.03874773953042667,0.01725457476665992,0.02243672829298927,8.162749207970412e-05,0.0031242449088951514,7.454708443379674e-05,0.0018536254841264841,0.0001810706884532871,0.019949229137582344,3.560083213074762e-05,0.00012464988806604557,0.00014432353261019924,0.008273511987308493,0.00014445899706496082,0.47772810357558965,0.00017984444083732806,0.01639552758195278,0.011862895987192621,0.009826271664075934,0.0015430817514938426,0.006099894324624969,0.004197751589004018,0.016530822936464847,0.0006067439552657663,0.01388089111704255,0.00023919660051965172,0.023805741740153413,0.000291105793430729,0.18979105119453268,0.0023170421476642286,0.0011143645447556818,0.00023957286384468097,0.00021186326229348553
1966,0.0002548934818368571,0.001190257110699691,0.000819656721487035,0.00569717293783469,0.00016100008183354513,0.006888888849273798,0.0010281033444703826,0.047453822796721216,0.00724031271946316,0.008229995373186793,4.9053875621243074e-05,0.0032672604776397673,0.0033916599727939457,0.0031673920807646504,0.004691471229177032,0.0038733415260938453,2.139424778172843e-05,0.0005583096788009729,0.0917100808724957,0.0800599456991542,0.010679826491200521,0.318535319255398,0.0008700138915844993,0.008683884445685542,0.005067181336591049,0.0011238664223382825,0.0030618556393751622,9.910281506316297e-05,0.0005094091843009909,9.697655355455965e-05,0.02962728719555315,0.08393204248157826,0.0008158984608729891,0.0013662286750916975,0.00517809127012447,0.20245365467107687,0.0013111487313468419,0.008181992714821583,0.0001163008935746723,0.0485359057937364
1967,0.00036289046868391865,8.365033884864596e-05,0.00041312898610135494,0.00010489836276889026,0.016350396346941284,0.00014376394890527994,6.665634377291425e-05,9.190831280547322e-05,0.025469393837969027,9.793378469488363e-05,0.002261317735483591,8.52931358597869e-05,3.4417328241275495e-05,9.88816006234951e-05,0.010966362028766632,0.002548548351856244,1.6436397672862444e-05,0.00038310763015610806,0.0957155947895246,0.13278987971007344,0.0023300901484849313,0.38233929889665563,0.04506189451770806,0.0023441952655738163,0.0006935500519364399,0.0006639761278778085,6.780768838937607e-05,0.0003800124141465738,0.0018781090984755838,7.450344669410221e-05,4.7472975868191894e-05,0.025209820471766557,0.00011043366721593485,8.652305395189118e-05,0.00040485397546277977,0.17236767488554305,0.00010282859073910188,0.01681497984675439,0.0018743795309815745,0.05906313590602372
1968,0.0005616547298457461,0.021209501583527756,0.03785850297602635,0.015435842453392813,0.0005736480690379497,0.00024515212703234645,0.00011366510575535596,0.02014517579180742,0.00013737743905974846,0.003739384201933009,6.426412767312281e-05,0.0001454453208645644,0.00043997227938187864,0.09196884007551448,0.00014255429811883117,0.03330607678540805,2.8028013148876126e-05,0.0023557490462644526,0.00011362380111887512,0.02929832603461066,0.04218334220505327,0.32391871511342946,0.0008547050158554162,0.010493909744278274,0.007395821651846941,0.0016536606120587918,0.00011562842537634206,0.025981598016190693,0.00015872239868343393,0.000547326720151627,8.095284735333423e-05,0.07912345962754443,0.009838717630704067,0.0006616493926096204,0.00013521778083453343,0.22858234703381877,0.0005469063289809905,0.0006249549502079229,0.0007061810263544302,0.008513399219144272
1969,0.0024453081247334373,0.013309346113831692,0.011139975424508952,0.028113142629331192,0.03054286989365169,0.0073872127172401785,0.0030471122094231167,0.019312790319553023,0.0020141175670409938,0.009406524319159696,6.984765412268593e-05,0.006685630713870966,6.378903524687758e-05,0.030089612948361037,0.003334895852530258,0.0016926873416228713,3.046319990720874e-05,0.00010666139613314251,0.0023687298893088748,0.0035658077778423633,0.008561709029667896,0.4056555248013371,0.02788557828209273,0.013176979251930301,0.004476276380003608,0.003421460951500999,0.0001256746890507556,0.0035342020502834044,0.000172512840462951,0.0024122625556215406,8.798635703798785e-05,0.034426022060999185,0.0027824486126406898,0.0006566617689729886,0.0005076046307535058,0.23274319478483707,0.002890159778488586,0.00297224261660938,0.06851521428642428,0.010269759143863596
1970,0.0001364051733044042,0.0004891859904491829,0.00014794010279895131,0.06542716928791134,0.00014861864645176695,0.0013139751515708251,0.00012468583806839246,0.00017192159603958722,0.004622269399503898,0.0001831927064810564,0.05151070902044569,0.02640593572931693,0.004056919138376666,0.013763657862251569,0.00015637606645484454,0.0009202720008826042,3.0745551025845555e-05,0.00010764999761313224,0.001143106572011253,0.013157992017408662,0.0001247575182819269,0.43143020678965377,0.00015531705585339475,0.01569305477655304,0.0785639034744829,0.001531237637941975,0.00012683951707754258,0.011639563354373451,0.00017411179243227216,0.0014168248129182329,8.880186710948016e-05,0.008631558671948262,0.014104019719651894,0.006199272038912642,0.0021762739350837624,0.2140470565873654,0.0025040775107716827,0.0004733128233174462,0.025671655852165,0.0012294264157380348
1971,0.00018316188999198556,0.05104694224369333,0.006333276260322642,0.06186262484761684,0.00019956187520402423,0.002699288451980687,0.007143777114751285,0.00023085256737863881,0.00020235300541668173,0.02245116143908955,0.003907648567541798,0.014576368996874166,8.644842173989698e-05,0.02587048188954382,0.009283217976169,0.0023295612911505724,4.128445496837347e-05,0.01764537682527499,0.0029013872216834356,0.0007066322867282124,0.00016752167301039092,0.4375029860869982,0.00103428904039417,0.0002104858685456786,0.03494696945289069,0.002316068338301926,0.011028662882818627,0.0021023292267303736,0.0029678161551365944,0.009006531082002474,0.00011924120926331102,0.01480814819330192,0.0002773840017692221,0.00021732603431107785,0.0001991718911410088,0.23414062336076114,0.006392907315525766,0.009617600847375845,0.0029968427781068823,0.0002456869344931367
