,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,9.02067768675194e-05,0.00010347886796680713,9.783499789382629e-05,0.00012976353688820013,9.82837289382668e-05,0.000177841846093112,8.245660557224323e-05,0.00011369431728253928,0.1905425251129386,0.00012114807083170846,4.661942460504564e-05,0.0001055110746183628,4.257563345072312e-05,0.00012232055764626286,0.00010341382656090806,0.00016556647367746983,2.033249175137529e-05,7.1190550029984e-05,8.242664175796884e-05,0.011670697899058,8.25040087672365e-05,0.2546068524999566,0.00010271348704509732,0.00010366376858470112,0.00016910593517175214,0.00013252178948812936,8.388086564329187e-05,9.41845298964596e-05,0.00011514272684432044,9.216379072272606e-05,5.872600003144507e-05,0.0521749870574773,0.0001366109333950889,0.00010703253327130018,9.809166275377514e-05,0.2969168272477711,0.0001272031447900878,0.0001355035180341272,0.00011052910031755184,0.1905638669656087
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,6.615472269926559e-05,7.588804359601203e-05,7.174901244342942e-05,9.516436677393132e-05,7.207809722887866e-05,0.000130423438472853,6.047099858545775e-05,8.33797226050422e-05,7.308620238242901e-05,8.884606356341763e-05,3.418917307815482e-05,7.737839800362725e-05,3.12235878776013e-05,8.97059273428242e-05,7.584034433969628e-05,0.00012142107871245873,1.4911189605774086e-05,0.0042844699933684,6.044902409647622e-05,0.4656431157580481,6.0505762550303145e-05,0.4872109448938398,7.532673806672368e-05,7.60236437086473e-05,0.00012401680490720855,9.7187179717917e-05,6.151550470044993e-05,6.907187768178058e-05,8.444193917282092e-05,6.758993315024927e-05,4.306774260456009e-05,0.0001730918989173684,0.0001001860251554343,7.849418640421815e-05,0.0043041983964257,0.0357619357094712,9.328665830086648e-05,9.937388266834689e-05,8.105845520282386e-05,8.873762452951785e-05
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,6.847309071484595e-05,7.854751227578802e-05,7.426343029314963e-05,9.849936713595524e-05,7.460404773431671e-05,0.00013499408008240256,6.259018257218599e-05,8.630173443047516e-05,7.564748156356808e-05,9.195964130467742e-05,3.538732012056417e-05,8.009009560749988e-05,3.231780707335189e-05,9.2849638695149e-05,7.849814141651335e-05,0.00012567623592298625,1.5433746781524514e-05,5.403847869880024e-05,6.256743799529033e-05,9.76966050287803e-05,6.262616482744066e-05,0.513046232317645,7.796653599990783e-05,7.868786444468195e-05,0.0001283629283910658,0.00010059306881833312,0.008824829684235,7.149247632477507e-05,8.740117598863821e-05,6.995859759017282e-05,4.45770358626024e-05,0.0001791578410879725,0.0132454345945159,0.45566148132952,7.445825641208305e-05,0.0063511452727313,9.65558550575102e-05,0.000102856403972376,8.389911906274006e-05,9.18474020645705e-05
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,2.7409430623624407e-05,3.144217043374543e-05,2.972727416335425e-05,3.942879665279249e-05,2.986362159597922e-05,0.0035610846747758,2.505453235748797e-05,3.454614619955656e-05,0.334953291747665,3.681097760010192e-05,1.4165364607826784e-05,3.205965871082343e-05,1.2936654116777876e-05,3.716723903761942e-05,3.1422407529398775e-05,5.030755927046947e-05,6.178050490410587e-06,2.1631328707933336e-05,2.50454278188148e-05,3.910745505634671e-05,2.506893587160992e-05,0.1948486607339603,3.120960857971688e-05,3.149835269448482e-05,5.138302862700129e-05,4.026689480800342e-05,2.5487295382207712e-05,2.8618075355990476e-05,3.498624707420082e-05,2.8004071484948357e-05,1.7843961169667297e-05,0.1105437037126681,4.150938578395781e-05,3.252195563398747e-05,0.0438678956344263,0.3111624874337848,3.865081863362933e-05,4.117289638081248e-05,3.358439146423378e-05,3.676604880204648e-05
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,9.81355336238826e-05,0.00011257417989373242,0.3202966592637832,0.00014116914914439376,0.00010692241227138614,0.00019347331844740904,8.970415826440803e-05,0.0001236875197626361,0.00010841786011178268,0.00013179642363271782,5.0717055522042905e-05,0.00011478500807216644,4.6317833905070726e-05,0.00013307196659311256,0.00011250342165031436,0.00018011899780462492,2.2119623349971e-05,7.744786876079757e-05,8.967156077001421e-05,0.00014001863166463344,8.975572798009551e-05,0.2707073727058471,0.0063899812318951,0.0001127753324172403,0.00018396956152660232,0.00014416983933822531,9.125360418127988e-05,0.00010246291267093975,0.00012526323779832294,0.00010026455990837222,6.388774270414179e-05,0.0002567687562299414,0.0001486184000041681,0.00011644019587487402,0.00010671346436125434,0.3983533139243427,0.00013838371047160267,0.00014741364797593782,0.00012024409492604544,0.00013163556251769528
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.0002682047730200213,0.0003076656461871593,0.1204000500397423,0.0003858158019378964,0.0002922193445639072,0.3093809015310886,0.00024516179326509026,0.0003380384447746456,0.0002963064089919059,0.0003602001087673419,0.00013860989859867606,0.0346306120968975,0.000126586809798172,0.0003636861723524356,0.0003074722636485982,0.0004922658810613176,6.045301167469842e-05,0.00021166530913751497,0.00024507270419345565,0.0003826714334495429,0.0002453027334870457,0.3451998427693426,0.0003053899987966921,0.0003082153967710468,0.0005027894858241978,0.00039401669923392056,0.0002493964346339764,0.0002800315158136744,0.00034234488794052944,0.000274023409657528,0.0001746054349324477,0.0007017499517272201,0.0004061746318360684,0.0003182314820309613,0.0002916482891598098,0.1793031041508677,0.00037820318783768304,0.0004028820401279995,0.00032862755207752216,0.00035976047475049606
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.00010470944348079355,0.00012011530677722627,0.00011356406401097996,0.00015062579778920445,0.00011408493815777418,0.00020643372237271227,9.57132665704822e-05,0.1609033377090984,0.0604049422886402,0.0001406252114981346,5.411449311572527e-05,0.00012247423406530435,4.942057613935973e-05,0.00014198620061784195,0.00012003980857574524,0.013589798538356,2.3601374195988143e-05,8.263595190502015e-05,9.567848543289824e-05,0.00014939820936560303,9.5768290841821e-05,0.1146725584367724,0.0001192268745202934,0.0001203299341197747,0.00019629332713149016,0.00015382749842353933,9.736650687670045e-05,0.00010932670529224335,0.0001336543801629941,0.00010698108912404542,6.816745919407525e-05,0.0002739691992824668,0.006857380917963,0.0001242402997020589,0.00011386199323070802,0.6394000525064889,0.00014765376795956427,0.00015728860353674787,0.0001282990146037563,0.00014045357460770646
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.00016405339012654104,0.00018819050725360723,0.00017792635581112708,0.00023599278103666384,0.00017874243473171205,0.0003234297773523795,0.0001499586411597451,0.00020676870226408816,0.00018124237821716491,0.00022032437492385744,8.478381467324379e-05,0.3045569580538096,7.74296260982034e-05,0.00022245670293163908,0.00018807222054049248,0.0003011053297910895,3.697742361897976e-05,0.1050829427747566,0.0001499041478557658,0.00023406945840331555,0.00015004485036831594,0.5365048962719702,0.00018679855712186636,0.00018852677437516236,0.000307542325741096,0.00024100904151683032,0.00015254885334990627,0.00017128747931744668,0.00020940283361378564,0.00016761248810809044,0.00010680128176931782,0.00042924090166506114,0.0002484457102899228,0.00019465333477967385,0.00017839313604497587,0.0467026313996324,0.00023133635700362893,0.0002464317236411061,0.00020101232129556248,0.0002200554630396043
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.0003377474555816545,0.0003874401189789474,0.0003663086383632257,0.000485853789850312,0.000367988753469465,0.0006658660590667941,0.129953481663415,0.0004256882654466904,0.0003731355508057369,0.0004535962163034412,0.00017454999045315,0.0003950489999257423,0.00015940944092124662,0.0004579861795863592,0.0003871965943778842,0.0870497399174411,7.612784308597397e-05,0.0002665479021537152,0.0003086174841029999,0.0004818941196162807,0.000308907157578026,0.3914916214451149,0.0003845744201053709,0.00038813241411904414,0.0006331575222102946,0.0004961810937384195,0.0003140623124647898,0.0003526407486479819,0.0004311113241249776,0.0003450748036267446,0.00021987879154842667,0.0008837063486290922,0.0005114914506544097,0.00040074556515783095,0.0003672696293928936,0.3770467277437989,0.0004762673048160575,0.0005073451244755445,0.0004138372270501137,0.0004530425898004344
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.00018769211764892968,0.00021530719237566876,0.00020356406217505275,0.00026999737578398017,0.00020449773127299156,0.0964311489644432,0.00017156643271631455,0.0242518412629005,0.0002073578957988533,0.00025207128281371194,9.700045641300669e-05,0.00021953557945672924,8.858659049914658e-05,0.00025451086153252994,0.00021517186153211152,0.0003444921006525775,4.2305562468989335e-05,0.00014812529120005583,0.00017150408738097174,0.1323518309360525,0.00017166506395401723,0.4817267505850239,0.00021371467382005316,0.0002156919127895029,0.0003518566141211647,0.0002757364376313145,0.00017452987291560838,0.00019596857885741185,0.00023957603833935827,0.00019176405201469784,0.000122190457188609,0.0004910909415093961,0.00028424466845299246,0.2043525720141298,0.0002040981015539413,0.053432091713637,0.0002646699998196215,0.00028194048309759383,0.00022997652305989955,0.0002517636229660397
