idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
uj0002,2.465003806490985e-05,2.1985152334507127e-05,0.0063345617372159,3.465152083944218e-05,3.313206891781826e-05,2.7019789736390744e-05,1.857478202474299e-05,2.9702082107979112e-05,1.8045834593869272e-05,0.008958465809036,0.0780086578460579,1.3910265457852837e-05,3.51013778743662e-05,2.558753125497076e-05,2.518221080758152e-05,3.203961401022366e-05,2.5576429694605425e-05,1.976171048050044e-05,2.0354535613035697e-05,2.844466464096396e-05,2.4664205687616804e-05,2.682039382902786e-05,2.6609249683204463e-05,2.817032581300362e-05,0.0001597938367772,0.0149546619954062,1.7708074145144872e-05,6.768370374430939e-06,2.643415038720183e-05,3.345869902498454e-05,2.8229708869320133e-05,2.5636831636904727e-05,2.8169637510951727e-05,2.9492390167197733e-05,4.203109261413867e-05,2.481109646997549e-05,8.634091663801e-05,3.314856162378489e-05,0.0002840871931819,0.0274164052198376,2.993226558545774e-05,8.767259950030102e-06,0.0021299944594414,2.5032291203563745e-05,1.9579092292386465e-05,2.7453673112185703e-05,4.018458347330288e-05,1.1792886601962734e-05,1.6849223281879791e-06,3.440239963099909e-05,2.9759534459288103e-05,2.4862150190218823e-05,0.362426454831453,1.8627012667304447e-05,2.815816069597227e-05,5.062187233855449e-05,1.987556918788292e-05,3.260143912724246e-05,1.666796139359761e-05,0.4979847006844256
uj0003,4.404623863302244e-05,3.928445317443744e-05,2.431053817194824e-05,6.191751720107545e-05,5.920246492590175e-05,4.828065998962221e-05,3.319058897450013e-05,5.307354872964813e-05,3.224543243140523e-05,0.000947973107388,0.4481121082748771,2.485573734985289e-05,6.272135004948042e-05,4.572141043833654e-05,4.499715836612721e-05,5.725039777578136e-05,4.57015734719285e-05,3.5311467403367124e-05,3.6370764642038406e-05,5.082671610133176e-05,4.4071554232494126e-05,4.792436683928195e-05,4.754708119743372e-05,5.033651022615925e-05,0.0002855296794367,0.0003676707943139,3.164190081469387e-05,1.2094149951567424e-05,4.7234202760658194e-05,5.978610814815933e-05,5.044261960669601e-05,4.580950346203267e-05,5.033528032475506e-05,5.26988579791204e-05,7.510380026245974e-05,4.433402792262495e-05,0.0603925879227348,5.923193513040196e-05,0.0193320962866191,4.57317946348688e-05,5.348485504697327e-05,1.5665891586045248e-05,4.1113804273633353e-05,0.0038096235564358,3.49851537371887e-05,4.905595009906715e-05,7.180434157435778e-05,2.10722716157446e-05,3.010725206591964e-06,6.147237175477891e-05,5.317620820502583e-05,4.442525392150658e-05,4.457122454750357e-05,0.0037981782018211,5.0314772829797e-05,9.045434587983152e-05,3.551491730403707e-05,5.825430223666179e-05,2.978336192159915e-05,0.4606324407133097
uj0006,2.309302466370745e-05,2.059646576444325e-05,1.2745784317026907e-05,3.246276631594068e-05,3.1039290189494896e-05,2.531309157201267e-05,1.7401510630160095e-05,2.782595762638771e-05,1.6905974029575293e-05,0.0024709116210668,4.702282724311373e-05,1.3031627068933218e-05,3.288420824537247e-05,2.3971301334239385e-05,0.011866981518261,0.2290022212578633,2.3960901001118303e-05,1.851346705110704e-05,1.9068846534532283e-05,2.664796461469766e-05,2.310629739212013e-05,2.512629045655604e-05,2.4928483177141e-05,2.639095432921176e-05,0.0001497004996133,0.0001927663061528,1.658954813391224e-05,6.3408479767153726e-06,2.4764443983751567e-05,3.1345288788800835e-05,2.6446586469840204e-05,2.4017487670054903e-05,2.639030950358437e-05,2.7629510823851595e-05,3.9376209311522064e-05,2.324390985547407e-05,0.1204886848912189,3.105474113787299e-05,0.0515874992844718,2.3976745669875627e-05,2.804160162290384e-05,8.213478199345742e-06,2.155557717471108e-05,2.345113287982741e-05,1.83423838945191e-05,2.5719568814442124e-05,3.764633445214877e-05,1.1047991911343389e-05,1.578494636755389e-06,0.0099017209936278,0.193469915392726,2.329173878042943e-05,2.3368269793540685e-05,1.7450442137433914e-05,2.6379557618711675e-05,4.742435461393533e-05,1.862013390212113e-05,3.054217749503182e-05,1.5615133840462935e-05,0.379678097200348
uj0007,3.404772421543539e-05,3.0366866028706552e-05,1.8792035935317065e-05,4.7862215144658616e-05,4.57634808607668e-05,3.732093016981101e-05,2.565631152677852e-05,4.102583118020793e-05,2.4925705910534527e-05,0.003643044540935,6.932917091279647e-05,1.9213474673967105e-05,4.848357760345621e-05,3.534263132693723e-05,3.478278477516939e-05,4.425453376244452e-05,3.532729736012206e-05,2.72957496736352e-05,2.811458600027245e-05,3.928903048935837e-05,3.406729316333902e-05,3.704551571220648e-05,3.675387406736326e-05,3.891010155093713e-05,0.0642464722004176,0.0002842093716825,2.445917622085341e-05,9.348772902083168e-06,3.6512019165358e-05,4.621463682977469e-05,3.899212405813206e-05,3.5410727197758324e-05,3.890915083766123e-05,4.073619538528041e-05,5.805520648817102e-05,3.427018521707008e-05,0.0001192578977143,0.0145970948696132,0.1197131244002089,3.53506583065546e-05,4.13437707931004e-05,1.2109727705799732e-05,3.178095367050418e-05,3.457570917882981e-05,2.704350934486758e-05,3.7920229103217466e-05,0.0029657664479485,1.628885722895125e-05,2.3272893373839684e-06,4.751811789909044e-05,4.110518691214416e-05,3.434070287641161e-05,0.2619580084874484,2.572845480334648e-05,3.889329855255468e-05,6.992117189083068e-05,2.745301636256592e-05,4.5030551494798086e-05,2.302252642646421e-05,0.5306843891357976
uj0008,4.94447074274701e-05,4.409930005242131e-05,2.729012702608249e-05,6.950635554036284e-05,6.645853648560242e-05,5.419811501911715e-05,3.725854947258097e-05,5.957843780802667e-05,3.6197551071881e-05,0.2715495077718985,0.0001006810484683,2.790214781781889e-05,7.040870909525131e-05,5.132519444236823e-05,5.051217537591651e-05,6.426721681536579e-05,5.130292618449345e-05,3.963937055195324e-05,4.082849915113312e-05,5.705622511987429e-05,4.947312579980054e-05,5.379815327155994e-05,5.337462611562738e-05,5.650593781205047e-05,0.0003205252457363,0.0004127338773678,3.552004840337508e-05,1.3576453393023106e-05,5.30234001483973e-05,6.711371316497763e-05,5.662505234801943e-05,5.1424084470625726e-05,5.65045571694126e-05,5.915782358282622e-05,8.430879788868945e-05,4.976776922949392e-05,0.0001731884287944,6.649161866661407e-05,0.0005698412356923,5.133685136416998e-05,6.004015533838498e-05,1.7585960801695822e-05,4.615286314178008e-05,5.021145653163799e-05,3.9273062684255296e-05,5.506842753211745e-05,8.060494542443124e-05,2.365496662617474e-05,3.3797307466985883e-06,6.900665143309086e-05,5.969367960578833e-05,4.987017622188349e-05,0.3804200540978501,3.736331721506477e-05,5.648153620054577e-05,0.0001015407627614,3.986775601974734e-05,6.539416349444387e-05,3.343372015688669e-05,0.3438095688049695
uj0009,6.938543486069409e-05,0.041577388111401,3.829605694170449e-05,9.753781457448196e-05,9.326083000942066e-05,7.60558606752337e-05,5.228467902709137e-05,8.36060324898208e-05,5.0795786903964594e-05,0.1675553444253111,0.0001412850574645,3.915490171979744e-05,9.880408142206868e-05,7.202431000157732e-05,7.088340565790135e-05,0.3322142165796969,7.199306110080268e-05,5.562566969146276e-05,5.729436608491223e-05,8.006662790470264e-05,6.942531417689943e-05,7.549459696824123e-05,7.490026407765227e-05,7.929441332121694e-05,0.0063805772475666,0.0005791867533025,4.984505183606029e-05,1.905174833773009e-05,7.440739097275272e-05,9.41802351626561e-05,7.946156597124645e-05,7.216308173208251e-05,7.929247587442434e-05,8.301578729589508e-05,0.0416338138369854,6.983878537658468e-05,0.0061738204550525,9.330725401787496e-05,0.0185920132763192,7.204066808377525e-05,8.425395768330506e-05,2.4678263886153983e-05,6.476601128353287e-05,7.046140886862562e-05,5.511163225418197e-05,7.727716453809527e-05,0.0001131123932404,3.3194860104692907e-05,4.7427540736434e-06,9.683658306581944e-05,8.376775055162851e-05,6.998249243987651e-05,7.021243796249137e-05,5.243169891556527e-05,7.926017069923278e-05,0.0001424914889147,5.5946161526144994e-05,9.176720234555298e-05,4.6917321039855377e-05,0.3816423549512355
uj0013,3.444874365551499e-05,3.072453174330029e-05,1.901337148423813e-05,4.842594382728167e-05,4.630249032156824e-05,3.7760501943397055e-05,2.5958495591060623e-05,4.150903985943086e-05,2.521928478718966e-05,0.1185229832912864,7.014574076999793e-05,1.9439773994502745e-05,4.905462479065057e-05,3.5758902386230015e-05,3.5192461873899645e-05,0.0353792466628908,3.574338781354682e-05,2.7617243297743907e-05,2.8445724007164195e-05,3.975178285742913e-05,3.446854308955865e-05,3.748184361108068e-05,3.718676696516722e-05,3.936839083449292e-05,0.0002233139318639,0.0002875568342728,2.474726023759507e-05,9.458884216745577e-06,3.694206345816361e-05,4.67589600763944e-05,3.945137941565218e-05,3.5827800300906255e-05,3.936742892356684e-05,4.121599268864826e-05,5.873898982277162e-05,3.467382483774532e-05,0.0354551334282361,4.632553908922265e-05,0.0003970154880884,3.5767023908873265e-05,4.183072421498908e-05,1.2252357979511084e-05,3.215527473130399e-05,3.498294730868295e-05,2.7362032042791387e-05,3.836685951370958e-05,5.615846966768234e-05,1.648070994615956e-05,2.35470051650054e-06,4.807779375034428e-05,4.158933025563383e-05,3.474517306514731e-05,0.3798804214293362,2.6031488582463907e-05,3.935138992775806e-05,7.07447144284743e-05,2.777636229842208e-05,4.556092839848356e-05,2.3293689356425115e-05,0.4279869212515598
uj0014,4.229465469244403e-05,3.772223085011936e-05,2.33437825630623e-05,5.9455247274385706e-05,5.68481643085246e-05,4.636068608712996e-05,3.187070095612829e-05,5.096297632870171e-05,3.0963130392531226e-05,0.2142056576383559,8.612186016652581e-05,2.3867300840302743e-05,6.022711415357577e-05,4.39032100482505e-05,4.320775926164428e-05,5.497372488729087e-05,4.388416193721056e-05,3.390723854883731e-05,3.492441078230634e-05,4.88054933490969e-05,4.231896356809873e-05,4.601856162359799e-05,4.565627947561852e-05,4.833478145945363e-05,0.0183500549133153,0.000353049653469,3.0383599378828688e-05,1.1613202667813876e-05,4.535584325552748e-05,5.740859782827725e-05,4.843667119507494e-05,4.398779988233562e-05,4.833360046745953e-05,5.060318588116638e-05,7.211715226483693e-05,0.0759612664714929,0.0109936720874911,5.6876462573296686e-05,0.0077177901316171,4.391318129710672e-05,5.135792625414313e-05,1.504290708229271e-05,3.947883426173796e-05,4.2950526479006665e-05,3.359390137724749e-05,4.71051452846256e-05,6.894890293830684e-05,2.0234291944854555e-05,2.890997890820501e-06,5.902780389843962e-05,5.106155335132066e-05,4.2658597704312826e-05,0.2494899410286984,3.196031854558938e-05,0.0072786658582078,8.685725372132307e-05,3.410259787038438e-05,5.5937707144003005e-05,2.8598968882435165e-05,0.4133930922524747
uj0015,9.026342503477124e-05,8.050515558630103e-05,4.981929236049319e-05,0.0001268868204339,0.0001213228965868,9.894097359621694e-05,6.80170732561397e-05,0.0001087629826238,0.0540735469762812,0.0019426698435391,0.0001837975537458,5.093656245326611e-05,0.000128534105385,9.3696334390077e-05,9.221213336281532e-05,0.0001173225489445,9.365568273432023e-05,7.236336381381684e-05,7.453416885551363e-05,0.0001041585756459,9.03153039871186e-05,9.82108263449593e-05,9.743765943430893e-05,0.0001031540026644,0.0005851325247037,0.008468815719815,6.484336530846249e-05,2.4784395476033844e-05,9.679648143138834e-05,0.0078378713497266,0.0001033714513368,9.387686235993912e-05,0.0001031514822423,0.0001079951333926,0.0001539093111059,9.085318815130604e-05,0.0003161628730903,0.000121383289521,0.0550477363127775,9.37176145986561e-05,0.0001096058676939,3.210392248385312e-05,8.425402270706241e-05,9.166315826984111e-05,7.169465315749227e-05,0.0001005297662569,0.0001471477702527,4.318315180434244e-05,0.0308675794433399,0.0001259745892453,0.4244533553686558,9.104013648938956e-05,0.0078066916724619,6.820833124434036e-05,0.0001031094564805,0.0001853669989035,7.278029123889066e-05,0.0001193798382354,6.103468399406553e-05,0.4038938312609856
uj0016,5.5026116801207735e-05,4.907731002545852e-05,3.03706866798594e-05,7.735236059391467e-05,7.396049812729567e-05,6.031609777086763e-05,4.146436295794092e-05,6.63037612765122e-05,4.0283597109372553e-05,0.1846172686472835,0.0988836529435459,3.1051793502470394e-05,7.835657347514394e-05,5.711887664363832e-05,5.621408249195271e-05,7.152181826858478e-05,5.709409470392164e-05,4.4113935492847496e-05,4.543729511199605e-05,6.349683658837753e-05,5.50577430915938e-05,5.987098760676399e-05,5.93996519277125e-05,6.288443183870935e-05,0.0003567067240815,0.0004593240353818,3.9529616695492606e-05,1.5108988383569584e-05,5.900877892831677e-05,7.468963235339281e-05,6.301699224223817e-05,5.7228929559885305e-05,6.288289534659514e-05,6.583566734516312e-05,9.382572981744532e-05,5.538564641270859e-05,0.0001927382566767,7.399731468565141e-05,0.0053375758100343,5.713184942017961e-05,6.681759832958668e-05,1.9571096351516788e-05,5.136268308746849e-05,5.587941795229764e-05,0.0141539358257543,6.128465275856083e-05,8.970377968533709e-05,2.6325182698470308e-05,3.761240959859496e-06,7.679624896936666e-05,6.643201178003303e-05,5.549961329445735e-05,0.2164125350353041,4.158095707558978e-05,6.285727572848735e-05,0.0001130028705295,4.436810153164894e-05,7.277597675830074e-05,3.720777988524691e-05,0.4766876212812852
