year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.002171951230312178,0.00014347122077240353,8.878480689741309e-05,0.00022612970430283542,0.0030291102648573446,0.05569976714727343,0.00012121574652400358,0.00019383054138883682,0.04415127141316728,0.0636479865248431,0.004403123424207949,9.077593532858231e-05,0.0005743258164942983,0.00016697970929866626,0.0001643346596530504,0.00020908486169131997,0.00016690726247664382,0.011603989424182719,0.002815828957560057,0.0047756360539880655,0.00016095424973834366,0.012285626706790537,0.00017364726328937636,0.00018383457037067266,0.025897548730751993,0.009067478966014047,0.00011555976399327889,0.012867159070340712,0.0070575213915386546,0.00021834555983659025,0.0001842220937070254,0.00016730143488294163,0.002478835677075124,0.01087828702949984,0.01863433227374535,0.00016191283303787428,0.08964063512881712,0.00021632165793769988,0.00796725933275528,0.004757028830431025,0.02079454351946955,5.721358982287464e-05,0.0024451578142192384,0.00016335631079838513,0.00012776969793359475,0.0001791578214315941,0.0002622374937150553,0.00042221871956205374,1.0995505496335568e-05,0.0008948671286259587,0.00019420546528535484,0.002173335436575371,0.00016277910166540078,0.00012155659447156674,0.00018375518296572327,0.1522155849207081,0.00012970445378519626,0.00021275123316664166,0.00010877217189772695,0.42158172056862875
1955,0.00011569252776398471,0.00010318514884876308,0.0009282381129899284,0.00016263350288647077,0.011117599893711572,0.0016195099787070632,0.004556470717776973,0.00013940379929136405,0.008789438878435833,0.21587526541074167,0.002225837524712235,0.004189902143227277,0.01207658858527707,0.048095694087126384,0.00011819022815878417,0.0001503747752301253,0.03230838569303053,9.27496433234143e-05,9.553200974103855e-05,0.009510995996129446,0.005420356791216185,0.015794425420276127,0.025302639299955847,0.005677431940936948,0.025450224838361162,0.001972095706685631,0.000418031140054626,3.1766680254160605e-05,0.012472987480092698,0.0001570351110899455,0.003837169779414336,0.00012032394628044909,0.00013221142138827846,0.062302696494611245,0.0020161823727994402,0.00073153504148301,0.00040523259513868844,0.0001555795117190892,0.006202051576860337,0.007583596108521301,0.00014048414278978837,4.1148271759748405e-05,0.0015631210114084688,0.00011748659525142787,9.189254282957057e-05,0.02418529277812545,0.002929126835052288,5.534875268842365e-05,7.90801712844261e-06,0.00016146427701151146,0.001374565585920613,0.00011668805514944243,0.0212944716131807,8.74240508066297e-05,0.00013215755608665184,0.007545977511245165,9.328402796129346e-05,0.0001530116461257431,0.0004120899978188068,0.411041794817409
1956,0.0001270252341605093,0.00011329269009612196,7.010931919951848e-05,0.00017856433069426497,0.00017073437377363408,0.00013923690946012588,0.0012611402082000462,0.0036738230608664795,9.299281237912208e-05,0.17072478748881464,0.044944083922484696,7.168162265576768e-05,0.006185832898530195,0.00013185627302860192,0.00012976759776552412,0.00016510479461914507,0.00013179906507210376,0.00010183497058252082,0.00010488988478094745,0.00014657949724545998,0.00012709824198251456,0.04414775824815366,0.0001371213368086395,0.00014516578933275126,0.0548679944016884,0.01201111918250416,9.125228362307855e-05,0.025170433156852662,0.005417364887228565,0.00017241754625950157,0.0001454717988656042,0.021256693775390145,0.00014516224241206007,0.00015197857938706303,0.00300943175588576,0.044994038105065984,0.00044492731105315997,0.00017081936308811096,0.011175303912939898,0.00013188622008055193,0.00131966697416182,4.517896666797967e-05,0.0031210435621602563,0.00012899504022403577,0.00010089391247760705,0.07705930185297839,0.00196745896202156,6.077046120977731e-05,8.682650011201967e-06,0.00017728057284552377,0.00015335521280918888,0.00012811827881685367,0.00012853924445486363,9.598770758670193e-05,0.00014510310071395375,0.00026086187658276003,0.000102421701074706,0.00016799996122534227,8.589243121756175e-05,0.4621638724377461
1957,0.01541407746449536,8.570709327792249e-05,0.0007781959408486299,0.00018118141434910536,0.0057728053362267485,0.0002541875135699659,0.012334707014424132,0.0002966219579893345,7.035002556644504e-05,0.10628458325735853,0.0017968600439998066,5.422788984935174e-05,0.00013683949157540775,0.020628400530163966,0.0096916875061,0.0003635930055353801,0.007782670612988673,0.00016793159737260512,0.00039640582959059827,0.00021023302307172538,0.0018270115631918498,0.0030832994038024458,0.0034466438055588498,0.0021662982076493314,0.09403144700614684,0.01752010884318307,0.00283233792332648,2.6385869071758716e-05,0.02121836761296632,0.004729560068323211,0.00031338472324194674,9.994282900673232e-05,0.002978329940780222,0.011511376379625134,0.0076344078455298225,0.012457346579300931,0.040095737750521256,0.0006572037347296566,0.010899543363036522,9.977329125934904e-05,0.10262955620274952,3.41783561421929e-05,0.0005465255595061228,0.009175028724330264,0.0005130044169386181,0.026772612448323647,0.018774393274703365,0.0006227717150334264,6.568514648016551e-06,0.015625386708621417,0.0008842264015673754,9.692280467387472e-05,0.0023166300883895943,0.0024407617371213068,0.00452591253391994,0.0017301365812190735,7.748307750698849e-05,0.00012709371041689084,6.497851368860348e-05,0.392706055341893
1958,0.012784063887551917,0.010630546277546041,0.005484090373726235,0.0022196111916036416,0.006460147122188628,0.005063090856095636,0.0009373389933025135,0.0025982330178205668,0.0010253784648186597,0.11731990793880367,0.000801650063882175,0.0009598528201438,0.004976648236932397,0.005026959903909383,0.0008911974384320327,0.0007070846317913899,0.0003657405061241553,0.0009575225254055196,9.02822199772189e-05,0.0023414614544799758,0.00010939769326040291,0.0026571422222659014,0.0031000246634357415,0.0018701376028347038,0.11825785719907765,0.004075786359124361,0.00028357432202871574,3.0020999478879418e-05,0.011117788431974751,0.044482969439485785,0.005159762981536293,0.007213931080462561,0.011052157726122041,0.02995106374379155,0.016862150176779948,0.0015614437657681464,0.0003829637667565408,0.00600008729306179,0.008788583640849402,0.009088283459051369,0.00021975106659916687,0.00014375310378306116,0.007719789969435871,0.04304428527601938,0.0005852771823911255,0.0278266933914961,0.003341576663066955,0.002514304889284197,7.473446271140094e-06,0.00062105283229276,0.00066027078551966,0.00011027567296315792,0.0007037343260540148,0.001511004223419879,0.001206915036596592,0.007100808679342686,0.0012783797294178899,0.0001446031663318687,0.0071587324087014955,0.4304153836593294
1959,0.016640330115687416,0.0010683652802946889,0.009414417808533193,0.006559625318826363,0.013730648375620647,0.0019410518972485232,0.04392056360879415,0.0005955841990826844,0.0038761681518555496,0.08216929613556152,0.0004825810997795442,7.398239897027298e-05,0.0001866883238264615,0.0004062339569838982,0.0031214102167640076,0.00017040418917525947,0.01322483824646703,0.009839898058735752,0.00010825655190700918,0.0069703347605069,0.00013117773424202428,0.00014264552195722421,0.053385476727609175,0.00014982519850069708,0.059087514192319654,0.0036530271885134927,9.418122252021766e-05,3.599789514707579e-05,0.0003562419984345421,0.011425957134254412,0.005509609289044551,0.0003247055459846253,0.005758290267219189,0.00015685665974870524,0.059105928715344015,0.00960961872364044,0.015221499103430463,0.010040767307884977,0.006520166821369632,0.03340699313477584,0.00015919615778270545,0.0006539544321517787,0.0006821077604476473,0.009894931691166547,0.00010413232025226599,0.002961198109244827,0.0040943262568672294,0.0002850851693509591,8.961338393982758e-06,0.003285820819939702,0.00036164823495803366,0.00013223051135901739,0.002161533505982786,0.0003214327892228537,0.00014976049775544868,0.0002692348012567359,0.010540212940275772,0.028691603446248465,0.0013889549156857895,0.44523651522509405
1960,0.0003301631641661676,9.660778204749957e-05,0.002669649101493045,0.00015226669899470489,0.016712308812828446,0.012255391571945906,0.0030177199196132166,0.00013051773446849446,0.0035779097723106995,0.09822413679997762,0.00036310643418779496,6.112488433686262e-05,0.0006462129703469472,0.025821363161009695,0.0004169076469869447,0.00014078938367542975,0.015859741696182757,0.07007007532478098,0.00025151318978852645,0.0013059586305857337,0.00021402929106968105,0.0154411140685379,0.020537836600233127,0.008716568200317491,0.07433773043428765,0.0192521810349735,0.008300073244069305,2.9741765715381182e-05,0.0034307671216028362,0.019350015459483002,0.027689605086256095,0.00033913964656115354,0.0017549494249395694,0.0007552345031273214,0.06907122455083649,0.003913628529729182,0.009831597898834522,0.00014566235283766036,0.008368495814017876,0.0011348966841820444,0.00046680194892739194,3.852534317339946e-05,0.0012078642665774599,0.0001099976063821872,8.603500453812832e-05,0.0013356181210765383,0.0013916706330188385,0.0010305199991894256,7.403933644484635e-06,0.0019229286857975678,0.00013077019322561186,0.00010924996789942319,0.0001096089368370667,0.029600792096799385,0.005350936427829801,0.00022244407204053757,8.733779174953426e-05,0.03377622314051914,0.006506202395192316,0.3717911130442412
1961,0.001735010743135017,0.037221391150061074,0.001718739640238398,8.024419551366744e-05,0.0005956628582502229,0.0022355054787318216,4.301451723644647e-05,6.878254189416687e-05,4.178960819836643e-05,0.07533947342937346,0.014089212671833032,0.04163057625077391,0.0001439883574958879,0.0014366277267807263,0.0077736680583924455,0.01902077852226105,0.012564675581994728,0.022175354875806397,4.713597832806469e-05,0.00017249923044668764,5.7116088859619254e-05,0.014517895699082833,0.006135800404860979,0.0022249476007784527,0.05964675314978323,0.0057946749871896,0.008001755785705705,0.015118316387882408,0.01077933462085741,0.0035331324766977755,0.017852066216218525,0.0022166614047721346,0.000171862336877294,0.00021098386083746583,0.0017994866117465058,0.0015363246609669246,0.011641742095955783,0.00016653697072188512,0.012560115120367123,0.005818054659332414,0.00040167961513604063,0.004444873154274843,0.0026382372172614557,5.796848221471182e-05,0.0005816518090943074,0.013014686511378517,9.30573751093869e-05,2.7309355411649373e-05,3.901855775824295e-06,0.002810938360630171,0.13124591657530768,0.00034294830381397895,0.00044818777665019886,0.0005496760192451937,0.010661801412417456,0.004542478947212552,0.0035920701972550462,0.009294576016248663,0.0009619099281177705,0.3963684385312042
1962,0.005428910099630176,0.005452048827557156,0.0036276053474135427,0.0004898612433055462,0.0005573444421559192,0.01255132045819731,0.00023602438383442002,0.0005586293255093666,0.01270890840859271,0.0820668263899904,0.0016283383557973146,0.005838204534163769,0.0004627461206837305,0.00010389360571277259,0.009698352073031205,0.000392539640320804,0.015222900574983652,0.0038746186294552213,0.0024443915655492413,0.00011549448609920073,0.0025418989821325553,0.008816389223680334,0.0008725960451438702,0.00011438058223173693,0.042309642256899545,0.015471912555451727,7.190047585426264e-05,0.00024985577512135615,0.0005771305061496927,0.004246686222458664,0.00011462169653766702,0.003487816392978114,0.001344064868679822,0.007832322940474246,0.0007627511994131968,0.012752320981300894,0.0034199876540740516,0.0005565705422362371,0.07008669554917585,0.010724479209977456,0.0009416955261670713,0.018197680129884028,0.017301018414526984,0.0009736960640500427,7.949741124181096e-05,0.00027519429745634323,0.0001631623320556225,4.7882912135255625e-05,6.841326514742772e-06,0.003288182233451793,0.00012083328041692904,0.003838069365559107,0.0036726953732651416,0.0383880728377617,0.00019463358557446345,0.0008804405840543083,8.070120278295922e-05,0.020333922457776984,0.0005308659881731271,0.5408719325051953
1963,0.003953223437188063,0.0007036682328104589,4.9667285451883285e-05,0.0005487262933944773,0.009986549298560727,0.0036342458028411745,0.0085253832980115,0.00030925149416745796,0.01870290334895348,0.1083190438776957,0.00018323675698153378,0.00014825107436789505,0.008575609603060032,0.004010196340050071,0.014127451275693178,0.0004075615957237479,9.336992374152729e-05,0.00024050479571268487,0.039713730297055154,0.003961294522822014,0.0006428785065577842,0.0031816530124879608,0.0006590723947231797,0.017941833903713122,0.01696361243123274,0.01820760973733397,0.005307094101141506,2.4708774182364637e-05,0.03532082031832783,0.003559119003092436,0.004800081386294484,0.07123044400852782,0.01354227802566869,0.006248013398944725,0.012265400766995229,0.009855585001130523,0.006301469811668254,0.00012101292900966436,0.0729258343741446,0.0002454171754012114,0.000847939904217668,0.0015767228814876017,8.399694973546634e-05,9.138347879905893e-05,7.147590090160836e-05,0.0001002230332973425,0.0006456895313658936,4.3051392859186356e-05,6.151017603779078e-06,0.00012559021991836,0.0002606263744405609,0.0010747670353784197,0.00534473639862631,0.010950807545322485,0.0001712337458859498,0.00025430583134905316,0.01647264911392488,0.0019286566454710038,0.00039757290607221265,0.43401461247848117
