idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
uj0002,0.4724558226699002,8.149411082791818e-06,0.0358835126206426,1.8705068326066865e-05,2.0546031313253547e-05,2.322029228187032e-05,3.5211756545509594e-05,2.170318428869549e-05,1.93156498805914e-05,6.904053778690245e-06,3.0975097022402334e-05,2.8201090411187847e-05,2.176576682994014e-05,1.1153462896456309e-05,2.5500194310723507e-05,1.2603238930481836e-05,0.000105346623606,1.2843887466098992e-05,3.745914601552657e-05,2.3330356158795776e-05,6.003117725978072e-06,2.1015598542820475e-05,2.3220432369850885e-05,1.4754693644396302e-05,2.436473200249464e-05,1.86689196061618e-05,1.5170831551892898e-05,1.0749347584431404e-05,1.757148890735006e-05,6.196440827170264e-06,8.444686639756254e-06,2.0130862162556915e-05,0.3710188080633946,2.521920109916116e-05,1.839361155719021e-05,4.066216776548824e-05,1.682537726617305e-05,2.4688105738088656e-05,1.8195243059372343e-05,1.74066126212513e-05,2.6836233198196984e-05,1.2558223333332638e-05,2.1326710820562447e-05,1.7376317922587264e-05,1.796127134509656e-05,2.506867632104116e-05,1.7510362064117535e-05,1.658530102207081e-05,1.349551304849813e-05,2.991317174288324e-05,2.3090961406419594e-05,2.399754160169817e-05,1.4630771453676155e-05,1.341824495089518e-05,2.0749134375411152e-05,3.908986321513227e-06,8.353235101137426e-05,0.0663115634247401,1.800545361133584e-05,1.776751619336892e-05,3.188644807903698e-05,2.9422748082963303e-05,1.7999304490182917e-05,2.2852663202033683e-05,1.838225991643235e-05,1.57505645889881e-05,0.0527309788835643,1.6528985434939837e-05,1.534969210236482e-05,4.1164707114593295e-06,1.4423945279905768e-05,2.212835371268348e-05,1.7198263933439357e-05,1.88398284645537e-05,4.002132065100761e-05,2.322401170026841e-05,9.633878423206405e-06,1.64402136522928e-05,1.58629415397195e-05,2.090392023178097e-05
uj0003,0.3735195839545515,1.4567226443901812e-05,8.58951527592487e-05,3.343566341006388e-05,3.672641956860621e-05,4.150671162948762e-05,6.294168080060313e-05,3.879485239795402e-05,3.452708948697512e-05,1.234112670882748e-05,5.536857177323599e-05,5.040998248967777e-05,3.890671987408009e-05,1.9937025877785943e-05,4.558207962685681e-05,2.252852795886108e-05,0.000188309082163,2.29586917677688e-05,6.69589319841282e-05,4.17034528911786e-05,1.073068647480296e-05,3.756577987258952e-05,4.150696203940243e-05,2.6374293951396497e-05,4.3552419275397535e-05,3.337104688953686e-05,2.711814833164672e-05,1.921466211433003e-05,3.1409368759219344e-05,1.1076255174589206e-05,1.5095037086652776e-05,3.598429685945845e-05,2.931481026958453e-05,4.507979894664039e-05,3.287892854497743e-05,7.268439394234982e-05,3.0075680089076407e-05,4.4130455943882136e-05,3.252434110329696e-05,3.1114649279439784e-05,4.797027440730926e-05,2.244806172755701e-05,0.0038061549776216,3.10604969326008e-05,3.2106112238818616e-05,4.481073305880927e-05,3.130010337082221e-05,2.96465392620756e-05,2.412348482078972e-05,5.347036025143374e-05,4.127553024352748e-05,4.289605948913961e-05,2.6152780691689107e-05,2.3985366634918783e-05,3.708947013359085e-05,6.987386982089807e-06,0.0642058779946805,0.0167962806775641,0.5388609153384625,3.1759771240528695e-05,5.6997629023755504e-05,5.259371868372755e-05,3.2174097204998154e-05,4.084956769614847e-05,3.2858637272424145e-05,2.8154432100201392e-05,5.679511195541211e-05,2.954587408495741e-05,2.743786494848388e-05,7.35826925336238e-06,2.578307499427976e-05,3.955485078474968e-05,3.074222205938517e-05,3.367654970638712e-05,7.153886760459116e-05,4.151336016022121e-05,1.722073989127939e-05,2.9387192844495897e-05,2.835530802506868e-05,3.736615277938519e-05
uj0006,0.3616350396957357,7.634430687962326e-06,4.501615957558874e-05,1.7523051199429223e-05,1.9247679418817804e-05,2.175294756629644e-05,3.2986643085871195e-05,2.0331709184482104e-05,1.8095048673849048e-05,6.467770431985404e-06,2.901770801202812e-05,2.6418997382988265e-05,2.039033698820374e-05,1.0448649423705902e-05,2.388877724009681e-05,1.1806810710747647e-05,9.86895234466292e-05,0.2942513875949852,3.509201474566273e-05,2.185605624876432e-05,5.623766640933406e-06,1.968757359412048e-05,2.175307880178904e-05,1.3822309956619887e-05,2.2825067457524727e-05,1.748918680189545e-05,1.4212151133993418e-05,1.0070071105805968e-05,1.6461105322165994e-05,5.8048732020627415e-06,7.911047090128432e-06,1.885874578023053e-05,1.536338355113564e-05,2.3625540648438e-05,1.7231276114072885e-05,3.80926300408898e-05,1.5762142225056364e-05,2.3128006448529e-05,1.704544298676095e-05,1.6306647955183052e-05,2.514038869756476e-05,1.17646397547336e-05,1.9979025957544697e-05,1.6278267649561747e-05,1.6826256493720487e-05,2.3484527883993625e-05,1.6403841227485815e-05,1.553723696174291e-05,1.2642699935067456e-05,0.1599836455914594,2.163178941211681e-05,2.248108067913222e-05,1.3706218699700587e-05,1.257031458972808e-05,1.943794792224737e-05,3.661968310176592e-06,0.1323872256114788,0.0502726156017784,1.6867646778958783e-05,1.66447451843421e-05,2.9871468658483924e-05,2.7563455641975983e-05,1.68618862351898e-05,2.140854983002092e-05,1.7220641810111514e-05,1.4755249481133e-05,2.976533297593989e-05,1.5484480088609932e-05,1.4379709066893877e-05,3.8563412750184905e-06,1.3512462356810892e-05,2.0730011155643093e-05,1.6111465309484034e-05,1.7649295528783326e-05,3.7492279558213336e-05,2.1756431945924764e-05,9.025091056399214e-06,1.5401318003057918e-05,1.4860525068849394e-05,1.958295249741569e-05
uj0007,0.5070861180608963,1.1258329362827044e-05,6.638435423229028e-05,2.584086357034056e-05,2.8384135402373515e-05,3.2078600006130657e-05,4.86446871566112e-05,2.998273058776177e-05,2.6684375840597665e-05,9.537880785434298e-06,0.0175156130988987,3.895952247524228e-05,3.006918773841193e-05,1.540839669869232e-05,3.522826170499952e-05,1.7411247693392777e-05,0.0030576721855879,1.7743701222504947e-05,5.174943308278339e-05,3.223065214398304e-05,8.293246699212186e-06,2.903283780243009e-05,3.2078793536265405e-05,2.038346071987788e-05,3.365963195798507e-05,2.579092447773604e-05,2.095835104941925e-05,1.4850115463751916e-05,2.427483501623016e-05,8.560320617137458e-06,1.1666249571947111e-05,2.781058340059788e-05,2.2656048527475737e-05,3.484007241225817e-05,2.541058917987577e-05,0.0553867752037418,2.324408929577589e-05,3.41063695179902e-05,2.513654509730904e-05,2.4047060086954698e-05,3.707398597684082e-05,1.7349059099146973e-05,2.946263628186065e-05,2.4005208265756537e-05,2.481331552965792e-05,0.2795997731514472,2.4190388897727817e-05,2.291242638162976e-05,1.864391540404066e-05,4.132474559779103e-05,3.189993070379522e-05,3.3152362116147754e-05,2.0212263461043257e-05,1.853717030513529e-05,2.866472023790812e-05,5.40022524760221e-06,0.0001153991019207,0.1352908105338025,2.487435288564163e-05,2.454564473826781e-05,4.405080698929477e-05,4.064723024918376e-05,2.4865857936678053e-05,3.157072413361595e-05,2.53949070024568e-05,2.1759246403429778e-05,4.389429100007855e-05,2.2834626964992125e-05,2.1205445099133045e-05,5.686862843365538e-06,1.992653518429977e-05,3.057009786640695e-05,2.3759228472391435e-05,2.6027033344898704e-05,5.528905154579568e-05,3.208373834520061e-05,1.3309106048032856e-05,2.2711989641017145e-05,2.191449402945711e-05,2.8878555340103226e-05
uj0008,0.173985585153846,1.6354310330748864e-05,9.643263180822572e-05,3.753749676566332e-05,4.12319575916055e-05,4.659868818622717e-05,7.0663264864872e-05,4.355414243027286e-05,3.876281723648983e-05,1.385511626420478e-05,6.216109901476224e-05,5.659419798124498e-05,4.367973362826301e-05,2.238286811378408e-05,5.11740157681554e-05,2.529229149783715e-05,0.0002114105371844,2.577522711025628e-05,7.5173345955802e-05,4.6819565349148206e-05,1.2047109815085128e-05,4.217428926630815e-05,4.659896931602717e-05,2.960984987063872e-05,4.88953599525401e-05,3.7464953194430897e-05,3.044495910864961e-05,2.157188592683584e-05,3.526261954939539e-05,1.2435072326594213e-05,1.694687193337534e-05,4.039879246331992e-05,0.4146012635047411,5.061011610276386e-05,3.691246256367335e-05,8.16011983690424e-05,3.3765316100443224e-05,4.954430922887312e-05,3.6514374905534666e-05,3.493174435833597e-05,5.385519043927094e-05,2.5201953798827647e-05,4.279863214043831e-05,3.487094868877227e-05,3.604483839731221e-05,5.0308041645010736e-05,3.51399496590674e-05,3.328352896770435e-05,2.7082915099700493e-05,6.003001795959316e-05,4.633914584004036e-05,4.815847900444585e-05,2.936116172086763e-05,2.692785279715772e-05,4.1639546615389656e-05,7.844588367332563e-06,0.0001676334617579,0.4038131485782738,3.613350376047185e-05,3.5656008842962426e-05,6.399000638598702e-05,5.904583141575709e-05,3.61211636496866e-05,4.586092689315024e-05,3.688968199047225e-05,3.1608372501509706e-05,6.376264484975252e-05,3.317051434872862e-05,3.0803898045295364e-05,8.260969878522965e-06,0.0042592354113354,4.440737619556028e-05,3.451362836653432e-05,3.780793460499163e-05,8.031514070446934e-05,4.660615234800699e-05,1.9333352535683825e-05,3.29923663491647e-05,3.1833891561428686e-05,4.19501722427099e-05
uj0009,0.2442450308964486,2.2958563081486216e-05,0.0001353743823926,5.269601530033483e-05,5.78823857561405e-05,6.541632759814551e-05,9.919874278609498e-05,6.11423231076518e-05,5.441614881593865e-05,1.945013603875436e-05,8.726320364984668e-05,7.944825786726017e-05,6.131863096675577e-05,3.142159339906373e-05,7.18392793939583e-05,3.5505909945750835e-05,0.0062353620588782,3.61838662458202e-05,0.0001055301000328,6.572640012187938e-05,1.6912014328063618e-05,5.920525298562352e-05,6.541672225472941e-05,0.4276192554032903,6.864044910238441e-05,5.259417693952273e-05,4.2739345167922746e-05,3.0283117650440688e-05,4.950248949483964e-05,1.7456645169327915e-05,2.379041490882913e-05,5.6712769075999935e-05,4.620137700116558e-05,7.104766386400352e-05,5.181857767904347e-05,0.0001145536694848,4.74005399176531e-05,6.95514592639908e-05,5.125973292029175e-05,4.903799916828923e-05,7.56031750627077e-05,3.537909177247413e-05,6.00817201047073e-05,4.895265278641612e-05,5.060058659586264e-05,7.062360468001021e-05,4.933028263570973e-05,4.672419588020157e-05,3.801962920918462e-05,8.427154225616081e-05,6.505197598644573e-05,6.760599840478701e-05,4.1217885064028335e-05,3.7801949124699786e-05,5.845456875405487e-05,1.101241649677384e-05,0.000235327771609,0.3174620178135021,5.072505710498685e-05,5.005473857959372e-05,8.983066656349292e-05,8.288991818314032e-05,5.070773376904873e-05,6.438064105168568e-05,5.178659777794752e-05,4.437257208056146e-05,8.951149112494635e-05,4.6565543316662655e-05,4.324323203644383e-05,1.1596942594010476e-05,4.063521329680866e-05,6.234011260946738e-05,4.845103816663158e-05,5.307566225996028e-05,0.000112748271677,6.542680596290726e-05,2.714061215608497e-05,4.6315454991131806e-05,4.468916100779325e-05,5.889063226974771e-05
uj0013,0.3804719032580614,1.1391018179653785e-05,6.716674930486416e-05,2.614541973515227e-05,2.8718666150392523e-05,3.2456673105886095e-05,4.921800543285825e-05,3.0336102115517995e-05,2.699887350219031e-05,9.650292678501884e-06,4.329612161101707e-05,3.941869299466618e-05,3.0423578235915465e-05,1.558999752606704e-05,0.0029821023079194,1.7616453792935546e-05,0.0001472505549751,0.0560006710082509,5.2359343383496494e-05,3.261051730520848e-05,8.390989539797763e-06,2.937501405016421e-05,3.245686891693516e-05,2.062369683294499e-05,3.4056338840098084e-05,0.2917255212123817,2.1205362725287348e-05,1.5025136480380882e-05,2.4560934226260644e-05,8.661211146961173e-06,1.180374606921768e-05,0.0029745972060794,2.292306898639088e-05,3.525069177127287e-05,2.571007420154168e-05,5.683643732476085e-05,2.351804030639876e-05,3.4508341575455504e-05,2.543280028052357e-05,2.433047477915893e-05,3.75109338734409e-05,1.7553532254153775e-05,2.9809878063731468e-05,2.428812969928465e-05,2.5105761182389483e-05,3.5040292459392055e-05,2.4475492839704887e-05,2.3182468467735933e-05,1.88636495223325e-05,4.181179224763784e-05,3.2275898036561074e-05,3.3543090399398e-05,2.0450481871395632e-05,1.8755646343260945e-05,2.900255791261641e-05,5.463871413530535e-06,0.0531530185077081,0.2105467970518258,2.5167517914604485e-05,2.483493566710881e-05,4.45699825500109e-05,4.112629181464624e-05,2.515892284557064e-05,3.194281149193081e-05,2.569420719656081e-05,2.201569730011837e-05,4.4411621889107226e-05,2.310375211997906e-05,2.1455368984801085e-05,5.7538872728189535e-06,2.016138604821136e-05,3.0930392008232675e-05,2.403925082856153e-05,2.633378367603109e-05,5.5940679207117005e-05,3.2461872004574586e-05,1.34659649813277e-05,2.2979669412688968e-05,2.2172774649113373e-05,2.92189132401302e-05
uj0014,0.3116190539945198,1.3987468749612615e-05,8.247663133335522e-05,3.2104965133333024e-05,3.526475324450604e-05,3.9854795561284265e-05,6.043667932512183e-05,3.725086499148771e-05,3.315295379487395e-05,1.1849965045816752e-05,0.0470880749310037,4.840372719256122e-05,3.735828027966471e-05,1.914355677106193e-05,4.376796892519776e-05,2.1631920256944927e-05,0.0001808146123194,2.204496407537405e-05,6.429404885289657e-05,4.00437067627583e-05,1.0303618352210796e-05,3.6070708040832194e-05,3.985503600519248e-05,2.532462949339885e-05,0.0108960290773934,0.1339006328072269,2.6038879384281e-05,0.0434352899055339,0.0289747192900752,1.0635433842806668e-05,1.449427317800692e-05,3.455216610634649e-05,2.814811687905689e-05,4.328567839823183e-05,3.1570387631074426e-05,6.979164446769161e-05,2.8878705015628448e-05,4.237411807925956e-05,3.122991233341836e-05,0.1266623262175767,4.606111649094805e-05,2.15546564826706e-05,3.660469426613449e-05,2.9824327360138388e-05,3.08283284633107e-05,4.302732100177631e-05,3.005439775684256e-05,2.846664346568464e-05,2.3163399797619352e-05,5.13423056837668e-05,3.9632814910124457e-05,4.118884908506666e-05,2.5111932188959064e-05,2.303077854565607e-05,3.561335484356869e-05,6.709297574923451e-06,0.0146156530655981,0.2802469191435542,3.09041619268617e-05,3.049577141074165e-05,5.472919349760929e-05,5.0500553372156726e-05,3.089360771146009e-05,3.922380514818288e-05,3.155090392620981e-05,2.7033920333511065e-05,5.4534736359483165e-05,2.83699846387942e-05,2.6345871673030223e-05,7.065419187997033e-06,2.4756940323556174e-05,3.798061637731245e-05,2.9518719435387943e-05,3.2336264451360844e-05,6.869170866913985e-05,3.9861179488672565e-05,1.6535375625695285e-05,2.8217618716519795e-05,2.7226801643652765e-05,3.587902586038936e-05
uj0015,0.4106062728279124,2.987857881545292e-05,0.0001761780186136,6.857929395768803e-05,7.532890532839647e-05,8.51336772698473e-05,0.0001290985609251,7.957143107989329e-05,7.081789855313486e-05,2.531266528060009e-05,0.0001135654918248,0.0001033950176242,7.980088046857342e-05,4.0892478834536265e-05,9.34925920145511e-05,4.620786261593055e-05,0.0003862374059154,4.709016394607738e-05,0.0001373382733076,8.553720976907238e-05,2.2009519987624897e-05,7.705050230457489e-05,8.513419088116546e-05,5.409584477617632e-05,8.932959180217625e-05,6.844676016281764e-05,5.562155125249942e-05,3.9410851379717645e-05,6.442319707392375e-05,2.2718309795518586e-05,3.096116182806692e-05,7.38067506518423e-05,6.01270854457333e-05,9.246237305357598e-05,6.743738498758622e-05,0.0001490816663984,6.168769198655525e-05,0.1392043353537002,6.6710096998756e-05,6.381870319590559e-05,9.839097581116416e-05,4.604281976146133e-05,7.819114825021839e-05,6.370763228139066e-05,0.0309800345332602,9.191049680128656e-05,6.419908478105887e-05,6.0807488876385306e-05,4.947925024005387e-05,0.3556227680714224,8.465950524487906e-05,8.798334392990464e-05,5.364150287284127e-05,4.919595848796336e-05,7.607355187876498e-05,1.433170504093025e-05,0.0003062586864225,0.0576361889632897,6.60142627938189e-05,6.514190136504257e-05,0.0001169068221489,0.0001078740400542,6.599171797442683e-05,8.378582104745775e-05,6.73957659197023e-05,5.774705444098711e-05,0.0001164914429954,6.0601016323763154e-05,5.627731631330672e-05,1.5092415064636284e-05,5.288320609883928e-05,8.113025024062632e-05,6.305482435525779e-05,6.907337155152331e-05,0.0001467320977211,8.514731395286966e-05,3.532115300626774e-05,6.0275548056490633e-05,5.815906747424277e-05,7.664105072770987e-05
uj0016,0.3254785257123599,1.820233807951613e-05,0.0001073294642557,4.1779212511498187e-05,4.589114530568583e-05,5.186431339956247e-05,7.864817353101414e-05,4.847573570795285e-05,4.314299349734639e-05,1.5420736507481323e-05,6.918526778433517e-05,6.29893101060239e-05,4.861551863975462e-05,2.49121194569911e-05,5.695665039124894e-05,2.815030602566672e-05,0.0002352998074256,2.8687813087114817e-05,8.366789121539671e-05,5.211014955603883e-05,1.3408426359804524e-05,4.693995992269382e-05,5.186462629686968e-05,3.295574603447087e-05,5.4420507766836245e-05,4.169847155805148e-05,3.388522214053577e-05,2.4009496745011458e-05,3.924727546600608e-05,1.3840228414054965e-05,1.886185880560065e-05,4.496383299263746e-05,0.0329947971830652,5.632903038497548e-05,4.108354980082484e-05,9.08220872887739e-05,3.758077758047862e-05,5.514278794162672e-05,4.064047846414492e-05,3.887901156688804e-05,5.9940796272480114e-05,2.8049760218143128e-05,4.763485318585312e-05,3.881134602130472e-05,0.0047484274764651,0.0424307791484895,3.911074394796773e-05,3.704454877626024e-05,3.0143269074251903e-05,6.681337578421172e-05,5.157544291614253e-05,5.360035969147855e-05,3.267895626547696e-05,2.997068481987556e-05,4.634479165691533e-05,8.731022383032427e-06,0.0001865759474198,0.3129028261126833,0.2778304824892555,3.968511752559486e-05,7.122084064640573e-05,6.571797672170693e-05,4.020283456043589e-05,5.104318550074068e-05,4.105819503583228e-05,3.5180100583881703e-05,7.096778738612624e-05,3.691876356973544e-05,3.428472097250081e-05,9.194454767735163e-06,3.2216994057359753e-05,4.942538440254924e-05,3.841364870625328e-05,4.208020967257642e-05,8.939070584089354e-05,5.1872621007370365e-05,2.1518010356164825e-05,3.672048494772868e-05,3.543110316907185e-05,4.6690517803129776e-05
