year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.2947477671465552,5.3396497198157064e-05,0.0009863092787254942,0.00012255917861023408,0.010037294568522927,0.001495061104572059,0.00023071415107462,0.0021901458773861122,0.0001265598255200809,4.523667839363803e-05,0.00020295474906914784,0.00018477892817379238,0.0001426134595179174,7.307961817730926e-05,0.0001670821413022425,8.257882752536469e-05,0.0033246659885810045,0.034279304752587864,0.0002454394759256675,0.0001528649474924156,3.933357338081673e-05,0.006495507958827559,0.00015214470584198433,9.667556953976609e-05,0.00015964237549044526,0.00012232232529635603,0.0016888546208384417,0.062383641231054825,0.00011513174984997746,4.060026324665827e-05,5.533119901770123e-05,0.00013190125202166279,0.00010745409844847903,0.007497132578752577,0.00012051845440112292,0.0010611525040547696,0.009646957701648072,0.00016176118194052714,0.0001192187061333722,0.00011405144894734016,0.0001758361231527995,8.22838767390289e-05,0.000139736680725388,0.00011385295229822024,0.00011768567879449913,0.00016425475305380173,0.004730524527959155,0.00010867005855497474,8.84251778884253e-05,0.00019599681190820946,0.037259829026634134,0.000157236473885027,0.009632578225397906,8.791890256188377e-05,0.00013595228959307633,2.5612424633368074e-05,0.058181495259176146,0.23923827949917828,0.00011797516943760378,0.00011641615805105615,0.00020892609517597107,0.00019278346246287477,0.00011793487922191325,0.00014973501204455187,0.00012044407628377128,0.00010320070608796558,0.00040227203107679463,0.00010830106807701717,0.02979607893099131,2.6971901966621502e-05,9.450844311328157e-05,0.00880995194908609,0.03428591368869485,0.000123442152764322,0.13411169512729293,0.0008657937859762869,6.312301060848842e-05,0.00010771941840991448,0.00010393702132275437,0.00013696647607379134
1955,0.252009457543562,0.0027669360505697856,0.005265422974142661,0.0011226744255192185,9.668528571533708e-05,0.0001092697932479996,0.004111438409347182,0.0007077787769356249,9.089537044936077e-05,0.01712497906397412,0.006625522012081775,0.20623866685571873,0.0011083779219196448,5.248584168970991e-05,0.005340516361586182,5.930818163145667e-05,0.014298123658877853,6.044062283474292e-05,0.0025988675272913863,0.00010978773061630378,2.824940464996995e-05,9.889496996339708e-05,0.008285520796263246,6.943247330351796e-05,0.00011465528496100581,8.78519943145377e-05,0.03537323961059798,5.05841603474878e-05,0.0007533229293813021,2.915914235012067e-05,3.9738912498138944e-05,9.473158734198769e-05,7.71736216025888e-05,0.00011867623613577971,0.0010834425673596842,0.0003733561323298487,7.917667326822104e-05,0.00011617701349056053,8.562297248717912e-05,0.00030457327285995077,0.00012628564780864005,5.909634773489977e-05,0.016187741543425893,8.176928368360683e-05,8.452195099551343e-05,0.0010264401587296902,0.0014236704916096349,0.0004908867005919141,6.350703525537578e-05,0.0001407650710016564,0.005488934232924778,0.00011292736445549496,0.0017202084234119784,0.0010600295425017997,0.0013962033680590845,1.839486437018577e-05,0.0003930856086449357,0.33848998503740535,0.006564489608319397,0.004318683968847421,0.0001500508928446946,0.0026974359225660507,8.470092694680164e-05,0.0001075398084115437,8.65030343338065e-05,0.002481024824570273,0.0011844495722248005,7.778191588419327e-05,7.223241043159772e-05,1.937124210550407e-05,0.01154345483330416,0.00010413136086970358,0.01992596096948983,0.0013215139668259015,0.0001883318857472528,0.0001092872960457352,4.5334997970807626e-05,7.736417461641868e-05,0.0031567919326918256,0.010157897619122768
1956,0.37011071755667596,4.208633546010135e-05,0.00024816063835782,9.65993459376576e-05,0.03891007954455357,0.00011991750085103676,0.0001818455079831047,0.00011208263827247451,9.9752597119664e-05,3.565488602950633e-05,0.0001599659547113127,0.00014564003942465852,0.0001124058358382812,5.760028255210369e-05,0.00013169169172538246,6.508741995260292e-05,0.0655699721194429,6.633021098315384e-05,0.0001934517929261,0.00012048590821193206,3.100214529065598e-05,0.00010853171120982865,0.00011991822431309346,0.008480683562898553,0.002927322876753014,9.641266163164842e-05,7.83473430674954e-05,5.5513293392560974e-05,9.074515559162472e-05,3.200053165333955e-05,4.361123904114838e-05,0.00010396263109896599,8.469374343193397e-05,0.00013024054704222345,9.499087706511849e-05,0.09356408542341685,8.689198086497323e-05,0.0029289928889019894,0.02150943201974779,8.989367827434251e-05,0.0001385914517491281,6.485494407142442e-05,0.00011013840101278204,8.973722612858467e-05,9.275812490496224e-05,0.00012946318580193977,9.04294757463291e-05,8.56521453427965e-05,6.96954275094306e-05,0.00015448181075374735,0.036953285320735635,0.0001239314811593093,7.555828871359802e-05,6.929638872699042e-05,0.0001071555994609154,2.01873372155125e-05,0.00323288462062446,0.24856226383343288,9.298629718140216e-05,9.175750728610919e-05,0.0001646724820789497,0.0001519490958790911,9.295454102467296e-05,0.0001180189390259158,0.04242653898624014,8.134128199493673e-05,0.00016408738777101903,8.53613124632751e-05,7.927103989064171e-05,2.1258857298288185e-05,7.449016788342817e-05,0.00011427835803963583,0.030070469513932507,9.729529320763777e-05,0.028221634728282024,0.0001199367091949019,4.975263058665053e-05,8.490286473179566e-05,8.19216348570618e-05,0.00010795496636111879
1957,0.28292727153428054,3.183558406981149e-05,0.020515516205577303,0.012444949609636036,8.0262843600451e-05,0.0003889781800386492,0.00013755433667067448,0.0013488606613039089,7.545637217086287e-05,0.003428971609405831,0.0037239400397421196,0.00019249849761869846,0.0002760841373357514,0.0002743016176486623,9.961622643993019e-05,0.004788132044680025,0.08910281279076893,0.0002686732446413164,0.0008739996534053479,9.113977774911225e-05,0.0009289109216959998,8.209720277824775e-05,0.00664803243699568,0.007389530605802381,0.0020685109850055007,7.292992752192676e-05,0.0017787723794356718,0.009795922881058152,0.006822271841137198,2.4206327412239402e-05,3.298907476036595e-05,7.864098991483938e-05,6.40653257105428e-05,0.0019710141768349027,0.002889431458111225,0.009258069095413492,0.0005271896267331122,0.0010189589762535135,0.1040382730382751,0.0027156262465544093,0.00010483544754566319,4.9058560260866336e-05,0.002094099417983454,0.009640072150454067,0.0016999931633379158,0.0002790224679631826,0.002184579671522353,0.002137385112901543,0.007889313204830271,0.0009315100914908407,0.033412943258609634,9.374613028697731e-05,0.0214170876352656,0.015019283546070033,0.00031120437085875233,1.5270411739205733e-05,0.04335906594960301,0.22965338386365908,7.033810496675999e-05,0.0009698924736775716,0.0014170603069571846,0.0030674215277859194,0.0009331059146535844,8.927367550810725e-05,0.005667683896721693,6.152940599333158e-05,0.0007351124333121053,6.45702984003041e-05,0.00289804386153404,1.6080947208848505e-05,5.634698236617126e-05,0.011592897763571834,0.004812539898819166,7.359758108294463e-05,0.006625455778586581,0.010133939140422023,3.763463928184383e-05,6.422351241531124e-05,0.0005019765085393424,0.0005431224096231664
1958,0.3010220954574891,3.624252950807195e-05,0.008305492255827404,8.318625528529277e-05,0.0005479807226715707,0.00010326661885895721,0.0004143645418414554,0.008912306890399029,0.004106254522852719,3.070410490493844e-05,0.035819110625114677,0.013180038791045318,0.00036578961024005244,0.0035613509909773193,0.0023772022645683756,0.0016401174512790208,0.1084062699255574,5.712007478323838e-05,0.0001665904678291927,0.004804480698114371,0.00044663909175404916,0.0014481289754169687,0.006069384563090896,0.011257998827337547,0.003959820431402258,0.002704861342718275,0.0020938922913213303,0.0006840076796233174,7.814493572058321e-05,0.0001364643352772142,0.000226179206121454,0.0003157936854680328,0.0009041735015443102,0.0003384228389348853,0.0007555501718009719,0.0041112372805176215,0.004154853468773777,0.00542942522603234,0.0006125137018822659,0.0005275107452261774,0.009811758688097324,0.006023502961548818,0.005580235335563225,0.0025245791270910377,0.00619911052897935,0.00011148685862859555,7.787308890893895e-05,0.0015475267096180145,6.0018021537721775e-05,0.000804563662461956,0.01824107240949591,0.00010672324672112468,0.009088143851376438,5.9674390411624665e-05,0.006006713016825867,0.0001257133432651472,0.0008773392661656652,0.24441768894167926,0.006397935766635677,0.0007141884491604009,0.00014180724517041585,0.02920906924268051,0.0006924767811222242,0.0034795836037878787,0.0005654111261596997,0.0012873255985251454,0.0016615027894206927,7.350865434058042e-05,0.0005496970575323356,1.8307005219581985e-05,0.03501625439158801,0.034843130254063576,7.648510815847902e-05,8.37855683210501e-05,0.005014254015269753,0.02463835339692316,4.2844338012043714e-05,0.00035815357971996853,0.003102438189016413,0.00017479729168325651
1959,0.3451912497319757,0.0022028994348073953,0.0005368916259164991,0.05003529433077764,0.0022393340381064086,0.0012265837106537436,0.024070409458322232,0.0068386918376006035,0.00010312030881118829,3.685861786213958e-05,0.003993028943265569,0.0001505569406150745,0.0015839713247987554,5.954490505403447e-05,0.014286969868957144,0.00030117742845040706,0.07289814601979094,6.85695614710389e-05,0.004206085251463746,0.0035154064864964035,0.0003023450591333384,0.01612430764181203,0.00024091304823557972,0.010120698737692843,0.02189361359851613,9.966761495781031e-05,8.099239964613337e-05,5.738745780120502e-05,9.380877027694656e-05,3.308089013717952e-05,4.508358245716213e-05,0.00010747247623928403,0.004690872834505501,0.0001346375514877156,0.003703106724701573,0.06695498059086871,0.004201000171254647,0.00013180219684106866,9.713880168548455e-05,9.292854653902794e-05,0.0025771505041790837,6.704448860166507e-05,0.00335741188238602,9.276681246842705e-05,0.0010085947422570438,0.011086294468405039,0.0037380704599478177,8.854381673385692e-05,0.0015897039136314065,0.00044226829054358604,0.0001232755349003239,0.0001281154874919752,0.0011807269030485595,7.163587927894803e-05,0.005900216564788731,0.00033863862503021963,0.015500719080380046,0.18386518673277888,0.0015489266751817028,0.0033693519156711136,0.00017023193074679088,0.012677737065922446,9.609274597999619e-05,0.003468588493755652,0.006315638336256645,0.038746279833653516,0.0004873968336353545,0.0021932767040433675,8.194728106678301e-05,2.1976569962809518e-05,0.003900193164717826,0.01729157478249938,0.0030985525738168006,0.00010058004474219853,0.00021366151126553742,0.008225622239357615,0.0003479062682276201,0.001909666981928442,8.46873618201844e-05,0.0017431179789091321
1960,0.29607283332567735,3.5915758795046955e-05,0.0015687160490553793,8.243622949178076e-05,9.054964798628205e-05,0.0005949753468278608,0.0014175626726191945,0.001323959173578515,8.512716011415346e-05,3.0427269860898857e-05,0.004443119147765736,0.00012428671847273861,9.592521760302891e-05,0.002886161572680721,0.011689418802696132,5.554449086749131e-05,0.042173447841068176,5.660506747502663e-05,0.0021376607895002443,0.03409092848312947,2.645670049947591e-05,0.0013506066520232005,0.00037372416244157313,0.025331509765811708,0.008874097419539442,0.0006958187752464399,6.686028244281609e-05,0.01982886757631547,0.020516583692297433,2.7308706343995372e-05,0.0017205226441488284,8.87199310994952e-05,7.227619195867916e-05,0.00011114505508181824,8.106358966880762e-05,0.07281695055483135,0.0020447113413429433,0.00010880443283418916,8.018934795394052e-05,0.00569837111338494,0.0001182715743164973,0.047287732012801655,0.0003373133623730243,0.018127902038743232,0.015121458503218312,0.0009293548464626779,7.717096780609844e-05,7.309407575594851e-05,5.9476885696533345e-05,0.00013183213488650658,0.00010176556217294528,0.001490615779220008,0.0017870500078762048,5.9136352825154175e-05,0.00796403025564276,0.00024399717289466495,0.009542390760856629,0.20073768959563168,7.935291548436896e-05,7.83042872061796e-05,0.002278768713662358,0.00012967075933455874,7.93258153234095e-05,0.00010071534385126447,0.01551930922750537,6.941525871217949e-05,0.00014002937000970523,0.07072950724868585,0.00028938977621347693,0.0038042011123904395,0.011164115430965838,9.752319602019181e-05,7.579550139902655e-05,0.0006505320011559322,0.0005037719607257138,0.019447448967650046,0.0004653016948867208,0.010975013385462765,6.99105219177765e-05,9.212692172332575e-05
1961,0.33197330524725693,1.8892826066703632e-05,0.0031979379907635967,4.336406629386678e-05,0.0003177771418374381,0.0002593824307042069,0.0006008627240573271,0.004929076264876991,0.00033042394320823124,1.600570714507112e-05,0.008413596179028173,0.002000871880564248,0.0019796852552623804,0.002876979467994209,5.911724551445589e-05,0.011130364997149067,0.04770348142522122,2.9776057368085692e-05,0.0020566607283006976,0.006267425590703429,0.030213045990996997,0.007802445903833356,0.00013039169379595495,0.0002638847902684231,5.648489678683055e-05,4.328026251089922e-05,3.517062507772868e-05,2.4920273646771355e-05,0.0013602515576542134,0.016547638510953387,0.00014503439290882128,0.0002841025439910119,0.0004528087038904275,0.0015702634481489562,4.264201429502826e-05,0.0027435068721254293,3.900636781812396e-05,0.009183573118768544,0.0011692603827279597,0.017791424749046613,0.001424618686780986,2.9113800584248713e-05,4.944183500063602e-05,4.028361667561284e-05,0.0027230912977730653,0.004057137926034288,0.001661465335445758,0.007369506903723805,3.1286724662176354e-05,0.13046321793814694,0.002305895940641388,0.019742992206699565,3.391860068019801e-05,0.0019756915250948586,0.004169993803981229,0.00016310475853690545,0.01183812288496843,0.16882426512677728,4.174214552133244e-05,4.119053385188314e-05,0.002598163389490186,6.821092423592954e-05,0.017279867369879957,0.00045707948407357836,0.01551241466696334,3.651462347511964e-05,0.008050057722890578,0.0022791047599937672,0.0006123183058308592,9.543237464668168e-06,0.007962976986169063,0.010591574208170808,0.001364112132152398,0.0001064049954088778,0.0003172816691865157,0.0033193918870668524,0.05174696995876808,0.0008551706440394372,0.005694175497423266,4.846167717385241e-05
1962,0.4986879051168164,3.315730931703416e-05,0.008838996349093164,0.006381565390624954,8.359513449130217e-05,0.005737988266613326,0.0001559437849524682,0.0005658321806613253,0.007338542886863513,6.63953909948329e-05,0.00258011991347827,0.0037927026314155407,0.0023620521198146507,0.0006199553680576859,0.00010375201616597055,0.0015656071664078121,0.01793582792655877,5.225761042363357e-05,0.0031116678901763387,9.49236488102953e-05,2.442473809268635e-05,0.0021594225506573364,0.017313265852260444,6.003206073115094e-05,0.01586981292221049,7.595777605370156e-05,6.172519084536619e-05,4.3735607296324076e-05,0.0006989372740868521,0.00481084411173799,0.00027312317284229674,0.0023694295764868163,0.0007084912963597175,0.0004239296627309543,0.0015588572940270133,0.00016544116628845434,0.006530122033661693,0.029542556924651475,7.403053988674689e-05,0.0027497791653712353,0.0005455402038585062,5.1095335761737815e-05,8.677146608609894e-05,0.014353313398676532,7.307858490216458e-05,0.006606593735302739,7.124398135211026e-05,6.748020814240595e-05,5.4908863474313776e-05,0.001366870606194219,0.003490648942569489,9.763820988438274e-05,5.952786154826278e-05,0.000592196000089811,0.00828039608075848,1.5904396926565077e-05,0.0029223159421550783,0.16644976962492833,0.004407122760586356,0.01841489459084169,0.002067577642461768,0.009174486107798384,7.32333294282555e-05,9.298007117442824e-05,0.00041157503050766027,0.0012690373743229914,0.0012077694993263485,0.001347938630786531,0.011672947683985616,0.008257821248032052,0.0026996069550315324,0.0008950765534920638,6.997415533020291e-05,0.04619545241956456,0.002496472467694303,0.009637751970185475,0.0068216442371281305,6.688989471376209e-05,0.012983295738148814,0.008928451178830423
1963,0.3973553813448601,0.0036851860498267664,0.0009396448791769343,0.005966009161043994,7.519195357554653e-05,0.0027158731946347182,0.00044973719881312056,7.942676620104381e-05,0.0017798840156783898,0.0031270954849842198,0.0036371389399948205,0.0004075055095667208,0.060303894732512256,4.081813424356909e-05,0.00038411907145672144,0.00861162792762186,0.0017964640947517197,0.003698441103247795,0.0012801719280349498,0.009005385835690598,2.1969505569144447e-05,0.0010504513548681292,8.497941262415913e-05,0.0006355904031881681,0.0010589547978124322,6.83223204973267e-05,0.00023268421332308853,3.933920046226246e-05,0.004235958669703197,0.002971454280613848,3.0904872872797175e-05,7.367256625303739e-05,0.00043032032866057617,0.0041045168203195335,6.731478041711725e-05,0.015893460768157067,6.157554064823697e-05,0.023543458896142472,0.000235151972851353,0.03788499301634541,0.0017505215906396098,4.595911159067439e-05,0.00029719712136599334,0.00024799731763119117,6.573255245976428e-05,0.015868024001857408,0.016844029840147507,6.069693779175764e-05,0.001262036627989626,0.005751239328815841,0.00504143407375947,0.01402951800726118,0.027946804684244212,0.013897696970070034,0.00014547388448279383,1.4305649277634704e-05,0.004035721589160934,0.1796669168968658,0.00849405215437056,0.009371848754516117,0.006372442112411154,0.0234813825885799,6.587174169957276e-05,0.03526303608076526,0.004766762608998121,0.0003598943503314108,0.0015159769232308182,0.002597617038130652,0.002505212480881699,1.5064976292113462e-05,0.003339446533015457,8.098275134984007e-05,6.294018750127352e-05,6.894779267489106e-05,0.002694231130954346,0.0002621562966962599,3.5256937366922054e-05,0.0008209121373281458,0.012714085476819587,7.650171342828287e-05
