,segmentID,idno,filename,corpus,genre,sender,receiver,date,year,month,sender_norm,receiver_norm,tokens,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,uj0295,uj0295,0546_100995.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-17,1966,4.0,JohnsonUwe,BierwischManfred,461,0.6063109595784286,2.229651500203922e-05,0.0174334614581723,5.11764386787374e-05,5.621325157785365e-05,6.352993976554843e-05,9.63381832244188e-05,5.9379183252484166e-05,5.284696930384864e-05,1.8889259246781945e-05,8.474682506910871e-05,7.715723615349947e-05,5.955040698332204e-05,3.0515499864848168e-05,6.976767513968423e-05,3.448203839920975e-05,0.0060555550970451,3.514044470981257e-05,0.0001024869653296028,6.383107083601719e-05,1.642432846698708e-05,5.749797174623646e-05,6.353032304155802e-05,4.036834623393102e-05,6.666108840200771e-05,5.107753699523173e-05,4.150688557170075e-05,2.940985394447691e-05,4.807500346352386e-05,1.695325397855862e-05,2.3104379008248808e-05,5.507736272615026e-05,4.486908399995009e-05,6.899888715078272e-05,5.0324303420226696e-05,0.00011125032525516596,4.603366707348372e-05,0.0058348761012974,4.978157387295087e-05,4.762390748258309e-05,0.0231427441255261,3.43588772373827e-05,0.1788455876341917,4.754102220456942e-05,4.914143512127855e-05,0.1038805319743057,4.790776247355352e-05,4.537682653324372e-05,3.6923270416611695e-05,8.184143317203792e-05,6.31760948342499e-05,6.565646779853233e-05,4.002929928238975e-05,3.671186749683248e-05,5.676893473413957e-05,1.0694855281558292e-05,0.000228541706702402,0.0026389718033813,4.926231631772579e-05,4.861132753395364e-05,8.72402509498188e-05,8.049965051073011e-05,4.924549252878661e-05,6.25241189509534e-05,5.0293245712389374e-05,4.3093015689258e-05,8.693027946211821e-05,4.522274897836791e-05,4.199624203026635e-05,1.126252560351454e-05,0.0519454358887638,6.0542432516025935e-05,4.705387247069573e-05,5.154513789134593e-05,0.00010949698907456728,6.354011596935866e-05,2.6357967785477925e-05,4.497987236269112e-05,4.340047525196884e-05,5.71924236382569e-05
1,uj0008,uj0008,0585_101037.xml,letters-leipzig,Brief,"Bierwisch, Manfred","Johnson, Uwe",1967-01-22,1967,1.0,BierwischManfred,JohnsonUwe,712,0.173985585153846,1.6354310330748864e-05,9.643263180822572e-05,3.753749676566332e-05,4.12319575916055e-05,4.659868818622717e-05,7.0663264864872e-05,4.355414243027286e-05,3.876281723648983e-05,1.385511626420478e-05,6.216109901476224e-05,5.659419798124498e-05,4.367973362826301e-05,2.238286811378408e-05,5.11740157681554e-05,2.529229149783715e-05,0.0002114105371844925,2.5775227110256277e-05,7.5173345955802e-05,4.6819565349148206e-05,1.2047109815085128e-05,4.217428926630815e-05,4.659896931602717e-05,2.960984987063872e-05,4.88953599525401e-05,3.7464953194430897e-05,3.044495910864961e-05,2.157188592683584e-05,3.526261954939539e-05,1.2435072326594213e-05,1.694687193337534e-05,4.039879246331992e-05,0.4146012635047411,5.061011610276386e-05,3.691246256367335e-05,8.16011983690424e-05,3.3765316100443224e-05,4.954430922887312e-05,3.6514374905534666e-05,3.493174435833597e-05,5.385519043927094e-05,2.5201953798827647e-05,4.279863214043831e-05,3.487094868877227e-05,3.604483839731221e-05,5.0308041645010736e-05,3.51399496590674e-05,3.328352896770435e-05,2.7082915099700493e-05,6.003001795959316e-05,4.633914584004036e-05,4.815847900444585e-05,2.936116172086763e-05,2.692785279715772e-05,4.1639546615389656e-05,7.844588367332563e-06,0.00016763346175795765,0.4038131485782738,3.613350376047185e-05,3.5656008842962426e-05,6.399000638598702e-05,5.904583141575709e-05,3.61211636496866e-05,4.586092689315024e-05,3.688968199047225e-05,3.1608372501509706e-05,6.376264484975252e-05,3.317051434872862e-05,3.0803898045295364e-05,8.260969878522965e-06,0.0042592354113354,4.440737619556028e-05,3.451362836653432e-05,3.780793460499163e-05,8.031514070446934e-05,4.660615234800699e-05,1.9333352535683825e-05,3.29923663491647e-05,3.1833891561428686e-05,4.19501722427099e-05
2,uj0495,uj0495,0294_060266.xml,letters-leipzig,Brief,"Baumgärtner, Klaus + Baumgärtner, Sabine","Johnson, Uwe",1962-05-04,1962,5.0,BaumgärtnerKlaus+BaumgärtnerSabine,JohnsonUwe,630,0.3289477757769398,1.6927164763974737e-05,0.0088567439668412,3.88523502201671e-05,4.267621963746647e-05,4.823093464420227e-05,7.313843891534523e-05,4.507974534913288e-05,4.012059089060092e-05,1.4340429592268928e-05,6.433846146078649e-05,5.857656449825202e-05,4.520973572220823e-05,2.316688926588265e-05,5.29665255839708e-05,2.6178223158540423e-05,0.0045972825284864,2.667807491116613e-05,7.78064979273796e-05,4.845954863364908e-05,1.2469092774045796e-05,4.365155905547992e-05,4.823122562134214e-05,3.064701581787259e-05,5.060805361840042e-05,3.877726561201279e-05,3.151137704019511e-05,2.23275002105514e-05,3.64977892097172e-05,1.2870644733238623e-05,1.7540482456840362e-05,4.181387062262774e-05,3.406390539536399e-05,5.238287379105562e-05,3.82054224863628e-05,8.445950344561663e-05,3.494803861372735e-05,5.127973411741221e-05,3.7793390719596775e-05,3.615532421045373e-05,5.574161572847159e-05,2.608472113463318e-05,4.429777124577597e-05,0.4991813029506579,3.730740741142636e-05,5.207021834952584e-05,3.637082247109193e-05,3.444937556942272e-05,2.8031568247756107e-05,6.213273346512724e-05,4.796230111773234e-05,4.984536140041226e-05,3.038961668572402e-05,2.7871074464115e-05,4.309808558118712e-05,8.119366522581914e-06,0.00017350528207828593,0.1552498026086767,3.739917852134832e-05,3.690495803884678e-05,6.623143131305614e-05,6.111407309675465e-05,3.738640616444404e-05,4.746733124474149e-05,3.818184396130157e-05,3.271554216799821e-05,6.59961058173918e-05,3.433240230442706e-05,3.1882888794462416e-05,8.550332934619541e-06,2.996001745636296e-05,4.596286595985356e-05,3.572256256287925e-05,3.91322608842149e-05,8.312839809516533e-05,4.823866025865599e-05,2.001055606705879e-05,3.414801418410863e-05,3.29489606495766e-05,4.341959172037765e-05
3,uj0878,uj0878,0382_101344.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1963-08-05,1963,8.0,JohnsonUwe,BierwischManfred,1431,0.3964451551305121,6.777818234601608e-06,3.9965173526854975e-05,1.555689753430047e-05,1.7088015841748272e-05,1.931218327826991e-05,2.928541500261979e-05,1.805041330304888e-05,1.6064714694574346e-05,5.742061741453604e-06,2.576180969202872e-05,2.3454684379367e-05,0.2629958567477585,9.276270816449768e-06,2.120836465717914e-05,0.106954768783722,8.761617976772011e-05,1.0682187189540336e-05,3.115455587370643e-05,1.940372277043905e-05,4.992758418275232e-06,1.7478552200584125e-05,1.931229978863605e-05,1.2271393676546528e-05,0.0140457442357276,1.5526832852271185e-05,1.2617493176115903e-05,8.940170440251074e-06,1.4614106064279829e-05,5.153544127465556e-06,7.023397213731974e-06,1.6742722051626728e-05,1.363955289321757e-05,2.0974664222414212e-05,1.5297860734470876e-05,3.381849060496048e-05,1.3993569311962058e-05,2.053295527117594e-05,1.5132878797982293e-05,1.4476979407271044e-05,2.231954050064296e-05,1.0444601976527354e-05,0.0070304774167535,1.4451783480972709e-05,1.4938285871537829e-05,2.084947363188732e-05,1.4563267221021582e-05,1.379389928323976e-05,1.122414043127136e-05,2.4878612556654463e-05,1.920461953445805e-05,1.9958617058483165e-05,1.216832830465624e-05,1.1159876999771123e-05,1.7256935488114133e-05,3.251081397121544e-06,0.1017542050317951,0.0481382050496373,1.497503200775802e-05,1.477714082840697e-05,2.6519775113950432e-05,2.447073002488425e-05,1.496991781913094e-05,1.9006428291121448e-05,1.5288419640269138e-05,1.3099653802215864e-05,2.6425548262742903e-05,1.3747061933955147e-05,0.061374242250279,3.423644968560637e-06,1.1996312167817358e-05,1.840402426283785e-05,1.4303697004277655e-05,1.5668976764892018e-05,3.328550175288375e-05,1.931527669711755e-05,8.012441167021614e-06,1.367323095389652e-05,1.3193117064539754e-05,1.7385669992865906e-05
4,uj0229,uj0229,0628_101073.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1968-09-22,1968,9.0,JohnsonUwe,BierwischManfred,427,0.6658399548541029,2.4254920961107704e-05,0.00014301831231503935,5.56715018069068e-05,6.115072126128248e-05,6.911006798759268e-05,0.00010480001109730736,6.459473134668853e-05,0.3137525660443732,2.0548390185760702e-05,9.219053038414552e-05,8.393431279773953e-05,6.478099444914014e-05,3.31958172495967e-05,7.58956924881988e-05,3.751075519533975e-05,0.00031354094217682534,3.8226992375118986e-05,0.00011148886915223976,6.943764879169976e-05,1.786695314355666e-05,6.254828433956696e-05,6.911048492850556e-05,4.3914084651573416e-05,7.251623987983028e-05,5.556391313145096e-05,4.515262716129707e-05,3.199305733814313e-05,5.229765320302765e-05,1.844233662731221e-05,2.513374339663834e-05,5.9915062042065954e-05,4.8810143016366336e-05,7.505937829717167e-05,5.47445195703797e-05,0.00012102195548114962,5.007701680353078e-05,7.347869033398555e-05,5.4154119578666695e-05,5.180693537727816e-05,7.987211695463202e-05,3.737677621946302e-05,6.347424127436877e-05,5.171676990223072e-05,5.345775448194489e-05,7.461137456304931e-05,5.2115722663980765e-05,4.9362482922961744e-05,4.016641190332278e-05,8.9029944489083e-05,6.872514322063474e-05,7.142337880575808e-05,4.354525763932572e-05,3.993644048807142e-05,6.175521263735183e-05,1.1634233848695949e-05,0.0002486155810392987,0.0028707648932468,5.358925323254532e-05,5.288108509525942e-05,9.490296538367222e-05,8.757030685539768e-05,5.357095173247014e-05,0.0126158189925429,5.4710733920525525e-05,4.6878074417599904e-05,9.456576766763064e-05,4.9194872024350384e-05,4.5684966059247286e-05,1.225176527859681e-05,4.292968524439745e-05,6.586015416916513e-05,5.118683155580079e-05,5.607258557535334e-05,0.0001191146156805224,6.91211380144143e-05,2.8673109913083705e-05,4.893066243303071e-05,4.721253957467069e-05,6.221589852913056e-05
5,uj1147,uj1147,0445_101406.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1964-04-24,1964,4.0,BaumgärtnerKlaus,JohnsonUwe,134,0.2419664631172703,6.620950350507278e-05,0.0003904020741067688,0.00015196843972105546,0.00016692525612343646,0.0001886521624208733,0.0002860762446187724,0.00017632649054456003,0.00015692908057764307,5.609165720264599e-05,0.0002516557054294701,0.00022911842039348432,0.00017683493943022782,9.061577986855468e-05,0.00020717511823167104,0.00010239441643887969,0.1892428496305941,0.00010434955404337224,0.0003043350536886147,0.00018954637116443097,4.87720450081096e-05,0.00017074023279058822,0.00018865330055902173,0.00011987380813660784,0.00019795010860670524,0.00015167475116209785,0.00012325470081278765,8.733256419859482e-05,0.0001427587275425533,5.0342689367065046e-05,6.860845575146034e-05,0.00016355223406589288,0.00013323874937820542,0.0002048922022225469,0.00014943802398657857,0.00033035785185481795,0.0001366969789303135,0.00020057734317160164,0.00014782638854223315,0.00014141919798250815,0.00021802970275372027,0.00010202868935664594,0.0001732678497231938,0.000141173070141244,0.00014592549645579253,0.00020366927080783632,0.0001422621054062858,0.00013474649088106826,0.000109643655156145,0.00024302814390359377,0.00018760141986236495,0.0173210547046898,0.00011886700818045313,0.0001090158941649397,0.0001685753573110192,3.1758373816976224e-05,0.0006786546206698255,0.2133494808360752,0.0001462844531806053,0.00014435134192277045,0.0002590599338289942,0.00023904372015805413,0.00014623449493768548,0.0001856653774123949,0.0001493457981200821,0.0001279647143538412,0.00025813947346559177,0.00013428895756661667,0.00012470784486492612,3.344407089420333e-05,0.00011718665874930132,0.0001797807593477653,0.00013972647895829656,0.0001530632920693839,0.3257208198441206,0.00018868238065909487,7.826998794742525e-05,0.00013356773543232877,0.000128877715555738,0.00016983290765370515
6,uj0297,uj0297,0543_100992.xml,letters-leipzig,Brief,"Johnson, Uwe","Bierwisch, Manfred",1966-04-13,1966,4.0,JohnsonUwe,BierwischManfred,460,0.6033085121955752,2.58785134141865e-05,0.0001525917697136059,5.939807879019985e-05,6.524406997593478e-05,7.373620488559944e-05,0.000111815185765285,6.891861755894632e-05,6.133698490116817e-05,2.1923872352122532e-05,9.836164302627858e-05,8.955276511227311e-05,6.911734886807285e-05,3.541790152052259e-05,8.097605015016007e-05,4.0021675727387465e-05,0.00033452895975337324,4.078585688033275e-05,0.00011895178716578907,7.408571351714304e-05,1.90629434471287e-05,6.673518408537877e-05,7.37366497359877e-05,4.685363562098222e-05,7.737038143664396e-05,5.928328827055798e-05,4.817508453451683e-05,3.4134630445242386e-05,5.579838920585031e-05,1.9676842343214375e-05,2.681616306569577e-05,6.392569735657508e-05,5.207742968211723e-05,8.00837541890364e-05,5.840904558406636e-05,0.00012912300573363658,5.342910633147783e-05,7.8397257056164e-05,5.777912499476492e-05,5.527482337536992e-05,8.521865123140441e-05,3.987872837538395e-05,6.772312335744034e-05,5.517862234221656e-05,5.70361461359353e-05,7.96057616752005e-05,5.5604280476214606e-05,5.266674249434777e-05,4.2855098596553335e-05,9.498949167549847e-05,7.332551376188287e-05,7.620436568212681e-05,4.646011981446727e-05,0.0067364779823757,6.588902520829585e-05,1.241301413432892e-05,0.0270407305771927,0.0097567983621223,5.717644723965023e-05,5.642087526027177e-05,0.0001012556448510182,9.343214782169883e-05,5.71569206612724e-05,7.25687961026401e-05,0.3414456537064426,5.001603095686564e-05,0.00010089587556412554,5.24879119430121e-05,4.8743057496934965e-05,1.3071882304544611e-05,4.58033418144442e-05,7.026874611795451e-05,5.461321062107473e-05,5.982601057767505e-05,0.0001270879911196912,7.374801592543165e-05,3.059245011360751e-05,5.220601650974779e-05,0.0067442411339488,6.63805488067128e-05
7,uj0952,uj0952,0196_060165.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1960-02-22,1960,2.0,BaumgärtnerKlaus,JohnsonUwe,244,0.4730927500660841,4.052819482829981e-05,0.0002389731153860595,9.302299831165152e-05,0.00010217837234523517,0.0001154778572352143,0.0001751131357867629,0.00010793306072190638,9.605950830592454e-05,3.433485362379843e-05,0.0420869618216071,0.00014024808356625097,0.00010824429271138954,5.546777708051739e-05,0.00012681613833014018,6.267772206518707e-05,0.0005239039290858499,6.387450188615249e-05,0.00018628972724479427,0.00011602522074434098,2.985436889904828e-05,0.0315542022505756,0.00011547855391291428,7.337721616653488e-05,0.00012116932076497132,9.284322552215516e-05,7.544672990429141e-05,5.345805344129293e-05,8.738554462716191e-05,3.08157925197652e-05,4.199664269270547e-05,0.00010011367637454564,8.155817077023078e-05,0.000125418718626074,9.147407895031516e-05,0.000202218815641849,8.36750239956606e-05,0.00012277750491783402,9.048756384564262e-05,8.656559111424036e-05,0.00013346045210688002,6.245385301832706e-05,0.0001060608039527762,8.641493121535352e-05,8.932398881866879e-05,0.00012467013722894512,8.708155203351328e-05,8.248109026280873e-05,6.711512974137774e-05,0.00014876251056814363,0.00011483467616797748,0.00011934323002646576,7.276093326731277e-05,6.673086436540757e-05,0.0001031884331201455,1.9439951870138603e-05,0.0004154184102215065,0.1725285104992842,8.954371359091428e-05,8.836041654842392e-05,0.00015857589793923636,0.00014632356308645224,8.95131331259486e-05,0.00011364958488267228,9.141762560619228e-05,7.832982577920797e-05,0.0001580124652752708,8.220102473857304e-05,7.633622917767201e-05,2.0471801619051484e-05,7.173235692222471e-05,0.00011004748949171124,8.552944308758191e-05,9.369317988577972e-05,0.00019903179065967972,0.00011549635443850348,4.791066467518351e-05,0.2726457278739756,7.888869253745378e-05,0.00010395820547300516
8,uj1143,uj1143,0471_s000047.xml,letters-leipzig,Brief,"Johnson, Uwe","Baumgärtner, Klaus",1964-07-04,1964,7.0,JohnsonUwe,BaumgärtnerKlaus,131,0.7787923993664364,8.333617540495562e-05,0.0004913889095049242,0.0001912787119396083,0.00021010446669116056,0.0002374515570385683,0.0003600767086089751,0.0002219375552851845,0.00019752254121879783,7.060110612423193e-05,0.00031675247357384806,0.0002883853806418418,0.00022257752663789544,0.00011405571898004249,0.00026076591846326333,0.00012888118165974108,0.0010772784209761,0.00013134206237509538,0.0003830585954194296,0.0002385770742642949,6.138810114084005e-05,0.00021490627833252432,0.00023745298958337456,0.00015088203615009675,0.00024915463942445205,0.00019090905380946015,0.00015513747759236438,0.0001099232210382159,0.0001796866873977235,6.336503023511557e-05,8.63556740359603e-05,0.00020585893179131496,0.000167704139150784,0.0002578924716180295,0.00018809374364454068,0.0004158128128308367,0.00017205692250193844,0.0002524614710564608,0.0001860652201400785,0.000178000656473666,0.0002744283009278608,0.00012842085051901534,0.00021808772384866563,0.0001776908617785576,0.0001836726168436443,0.00025635319973877816,0.00017906160206605657,0.00016960189406051965,0.0001380056093825397,0.000305893186876699,0.00023612901478215956,0.00024539973697359824,0.00014961480330130512,0.0001372154629940916,0.00021218140602349955,3.997343690675621e-05,0.0008542048726160741,0.009863506340574,0.00018412442631204624,0.00018169126958481185,0.00032607198276777844,0.00030087809661672566,0.00018406154517452844,0.00023369216863982617,0.00018797766135151105,0.00016106584880552237,0.000324913423312761,0.00016902600880948726,0.000156966512114703,4.20951798570965e-05,0.00014749979129362022,0.000226285353344986,0.0001758700751817795,0.00019265677403813825,0.1944147004720201,0.0002374895919469658,9.851639265095292e-05,0.00016811822531758496,0.00016221501960847777,0.00021376425184457733
9,uj0453,uj0453,0146_060124.xml,letters-leipzig,Brief,"Baumgärtner, Klaus","Johnson, Uwe",1958-11-21,1958,11.0,BaumgärtnerKlaus,JohnsonUwe,194,0.2653604894964156,4.636025748312824e-05,0.0002733616734665653,0.00010640913497014208,0.0001168819798463936,0.00013209527879801315,0.00020031215547956088,0.00012346477574953982,0.00010988260290477336,3.927568601040478e-05,0.00017621070515828034,0.00016042997456937173,0.00012382079444789423,6.344966605011314e-05,0.00014506515404668336,7.169713197709475e-05,0.3723444935874208,7.306613005079694e-05,0.00021309707373148992,0.0001327214086645786,3.4150453407061763e-05,0.00011955324743213726,0.00013209607572858682,8.393629791032132e-05,0.00013860575171231935,0.0480733259657327,8.630361750483407e-05,6.115074043106937e-05,9.99604439916914e-05,3.525022720146907e-05,4.804001700320583e-05,0.00011452017130221672,0.0240768557396194,0.00014346664373634336,0.00010463732399468717,0.00023131837973062384,9.57159743674795e-05,0.00014044535576384102,0.00010350884801747245,9.902249804704016e-05,0.00015266559366145898,7.144104786826874e-05,0.00012132309867117174,0.1200166563407385,0.00010217783295302212,0.00014261034045254297,9.961270644813138e-05,9.43502319378622e-05,7.67730886856862e-05,0.0001701696392596286,0.00013135954309570274,0.0001365168840195111,8.323133105918402e-05,7.633352699666202e-05,0.00011803738974799014,2.2237387526817064e-05,0.0004751976875035359,0.1493884766058451,0.00010242917642044964,0.00010107560131548168,0.00018139518649243697,0.00016737972390025793,0.0120941748136603,0.00013000391555392543,0.0001045727469371496,8.960159481855209e-05,0.00018075067509767804,9.4029864601722e-05,8.732111693997261e-05,2.341772186556977e-05,8.205474117154263e-05,0.0001258834737106303,9.783724690249674e-05,0.00010717575658920656,0.00022767273749552087,0.0001321164377741491,5.4805074835910304e-05,9.352486090771971e-05,9.024088326751466e-05,0.00011891793339502792
