idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
uj0002,2.563989918809204e-05,5.438397988764659e-05,0.0001181113836156,5.730662813484264e-05,3.962690260606626e-05,5.253792482579477e-05,6.140000376317586e-05,3.112923817685508e-05,0.1971060805303321,5.075449886894837e-05,2.946482306258577e-05,4.154357400868929e-05,2.2210748475630293e-05,3.20294927837345e-05,8.546202330555013e-05,2.4934932814964085e-05,8.245513074800743e-05,4.402337389812682e-05,4.71685389738998e-05,9.851476305858778e-05,9.207739114871116e-05,1.038621591497434e-05,7.303078599691935e-05,1.9494863598530283e-05,5.504179986530867e-05,0.1944397409411641,6.81978018851743e-05,0.0066340779853878,5.875571488942899e-05,8.658550118355134e-05,2.535785400663944e-05,0.029400524546947,5.699381284789466e-05,2.5855939622797208e-05,3.832461084982815e-05,1.2406321019026446e-05,0.0939500861391141,6.076448526858762e-05,3.3829215507599034e-05,3.944254426098804e-05,5.849499080903114e-05,0.0001324705510369,0.0100936548853981,3.226717772281583e-05,6.407799354708781e-05,6.402874698671522e-05,5.6835413213562e-05,4.300678662310561e-05,4.7426243040081695e-05,8.897676545845066e-05,3.268920957560934e-05,6.835450449902597e-05,5.57396135700579e-05,4.73516295592596e-05,4.8134926181925896e-05,4.451904914648811e-05,3.55273852199607e-05,4.1468184524956414e-05,2.1092211326364696e-05,3.8672136852057205e-05,3.070065951557108e-05,0.0001121254604264,0.0001647726880004,6.029863377403287e-05,4.606302989713712e-05,8.669089329400165e-05,3.883127961219612e-05,4.422965764842881e-05,0.0729360120038988,0.0778046810996987,4.900257300208632e-05,5.544971249197736e-05,3.5747130224613755e-05,5.809933806232588e-05,2.540268629807389e-05,0.0902914864997833,3.518374422239818e-05,7.045202390054038e-05,3.953053326715872e-05,4.4724561594496574e-05,5.901296516766405e-05,4.367469221484427e-05,0.000119808982593,4.9369765355671466e-05,3.3893222625969765e-05,4.515266608513765e-05,3.0641336071924365e-05,1.5628096666794412e-05,5.182234782879463e-05,0.0001170799743233,7.250909874769183e-05,0.0160554999005297,3.3890530560009584e-05,0.2066022605404679,4.0480346616291576e-05,7.884180371636443e-06,7.955238458250026e-05,5.3414169832038576e-05,2.309697107150128e-05,3.530235437495423e-05
uj0003,4.297729563825847e-05,9.115778359620044e-05,0.0001979769036786,9.605669200628964e-05,6.642214526804134e-05,8.806344794473439e-05,0.0001029179598001,5.217846069932296e-05,0.2407715806282912,8.507409045802754e-05,4.938858777876327e-05,6.963484719434932e-05,3.722939378901645e-05,5.3687456819226967e-05,0.0001432504322463,4.179563934504566e-05,0.00013821031452,7.379145842711009e-05,7.906334691235805e-05,0.0001651292801754,0.0001543390335495,1.740925222311116e-05,0.0001224133393606,3.2677059693381185e-05,9.226041365918706e-05,4.377735785261821e-05,0.0001143123485781,0.0029731176291192,9.848563407819394e-05,0.000145133592572,4.250453484237108e-05,0.0329871205814331,9.553235472365422e-05,4.333942005864051e-05,6.423925923543534e-05,2.079532849588853e-05,0.0108348056580442,0.0001018527112192,5.670413075398019e-05,6.611312599141772e-05,9.804861145961534e-05,0.0002220455702073,0.000625174100806,5.4085861501738506e-05,0.0001074067745889,0.0001073242280871,9.526684713082918e-05,7.20874668653582e-05,7.94953074188418e-05,0.0001491418014552,5.479326629975318e-05,0.0001145750116453,9.343008073429648e-05,7.937024118514226e-05,8.06831937157986e-05,7.462230341339944e-05,5.955058273246532e-05,6.950848023375268e-05,3.535451505436493e-05,6.482177820831479e-05,5.1460082218380784e-05,0.0001879433700566,0.0002761900299745,0.0001010718564561,7.721030567868293e-05,0.0001453102495805,6.508853141982333e-05,7.413722880854024e-05,5.179941826642716e-05,6.57595556327473e-05,0.0163758283192699,9.294415197743524e-05,5.9918916709160165e-05,9.73854230070984e-05,4.257968219880117e-05,0.0698770673773913,5.897457575843908e-05,0.0001180908488475,6.626061212244237e-05,7.496678094705152e-05,9.89168339506906e-05,7.320700231532322e-05,0.0002008223989979,8.275301652775464e-05,5.681141872843719e-05,7.568436462877256e-05,5.136064496407722e-05,2.6195630715429712e-05,8.686400624933586e-05,0.0653710112125088,0.0001215388933662,0.0106183481724024,0.4725738397067129,0.0693115211574125,6.785267801971413e-05,1.3215369850383107e-05,0.0001333447657437,8.953219945614352e-05,3.87148696181001e-05,5.917338869271411e-05
uj0006,2.316312436814716e-05,4.913057108888388e-05,0.000106702005648,5.177089601128413e-05,3.579900477202582e-05,4.746284210623715e-05,5.546885785072304e-05,2.8122201654796173e-05,0.024386565456836,4.585169235339411e-05,2.661856648021057e-05,3.753052866555373e-05,2.0065224339477725e-05,2.8935493051504552e-05,7.72065233196908e-05,2.252625666221997e-05,7.449009195773112e-05,3.977078370032531e-05,0.0044334512992612,8.89983884914964e-05,8.318285680556295e-05,9.382923434609738e-06,6.597612441221392e-05,1.7611689763684454e-05,4.972484666862232e-05,2.3594327409154067e-05,6.160999913112773e-05,0.1596726071579068,5.308000321449447e-05,7.822147496291293e-05,2.290832431735533e-05,0.1538948149914783,5.14882981998544e-05,2.3358295629192857e-05,3.4622512396136685e-05,1.1207889493119808e-05,0.0058395473059633,5.489472946509967e-05,3.056136532874094e-05,3.563245515948538e-05,5.2844464679193565e-05,0.000119674099585,0.1101079242280924,2.915021799109921e-05,5.7888157941036537e-05,5.78436685226404e-05,5.134519972653355e-05,3.885239719226415e-05,4.284494091777014e-05,8.038174678731717e-05,2.953148221612065e-05,0.0088434299017001,5.035525264293328e-05,4.2777534984418216e-05,4.348516635827306e-05,4.021857748218766e-05,3.209549445916757e-05,3.746242168997849e-05,1.905473615819561e-05,3.493646792114652e-05,2.7735023032913523e-05,0.0001012943134308,0.0001488558998078,5.4473878508303774e-05,4.161341206741557e-05,7.831668635761747e-05,0.0834610244410081,3.995714075767256e-05,2.791791222979674e-05,3.544189421168384e-05,4.426899983029923e-05,5.009335556304311e-05,3.229401243440289e-05,5.2487031379191e-05,2.294882587840233e-05,0.0640061111241074,3.178504865334975e-05,6.364646676745877e-05,3.571194456301266e-05,4.040423774385644e-05,5.33124035115778e-05,3.945578413127399e-05,0.0001082356191756,4.460072196737672e-05,3.061918945793863e-05,4.079098799925085e-05,2.768143014266637e-05,1.41184465693417e-05,4.681638874638161e-05,0.1142675886123324,6.550483134875502e-05,0.0803671508370682,3.0616757441409025e-05,0.1559089258064928,3.657000740370856e-05,7.122580675899656e-06,7.18677466065438e-05,0.0307841286233458,2.0865839195855765e-05,3.189220124762581e-05
uj0007,2.918628082455888e-05,6.190609790288064e-05,0.0001344479549429,6.523299212614986e-05,4.510789606400783e-05,5.980470580856894e-05,6.989254284171681e-05,3.5434877517234115e-05,0.0971190368093718,5.7774605361430633e-05,3.354024889263072e-05,4.7289671795456e-05,2.528282726768504e-05,3.64596508042597e-05,9.728269966011491e-05,2.8383807055569217e-05,9.385990887806397e-05,5.011246510797601e-05,5.369265356611698e-05,0.0001121408285929,0.0001048130718434,1.1822784956179904e-05,8.313203625754829e-05,2.2191294881823425e-05,6.265490422459064e-05,2.972961050872437e-05,7.763057814060166e-05,0.256518598629611,6.688250925756465e-05,9.85615713361296e-05,2.886522457505099e-05,0.0334670569303586,6.487690980522877e-05,2.9432202883398072e-05,4.362547787529957e-05,1.4122300817356611e-05,0.062684001293762,6.916912263182504e-05,3.85083021050981e-05,4.489803820176229e-05,6.658572313635593e-05,0.000150793210035,0.0668157424508825,3.6730211126237e-05,7.294093867608321e-05,7.288488057967128e-05,6.469660113177316e-05,4.895526860444132e-05,5.398600195996359e-05,0.0001012835832341,3.721061629796486e-05,7.780895507025595e-05,6.344923600415926e-05,5.390106831850906e-05,0.0055873911157272,5.067669965860072e-05,4.044135409368652e-05,4.720385481827895e-05,2.400957969710453e-05,4.402107192270535e-05,3.494702001545977e-05,0.0001276340890259,0.0001875632157879,6.863883690632852e-05,5.243423604536949e-05,9.868154075214526e-05,4.420222650738356e-05,5.034728098699684e-05,3.5177466278890104e-05,4.465792528571811e-05,5.5780361937970064e-05,6.311923726999376e-05,4.069149311991861e-05,6.613534569572579e-05,2.891625784309216e-05,0.1138453466822739,4.005018240521321e-05,8.01965927843696e-05,4.499819740382202e-05,5.091063755268195e-05,6.71753410978026e-05,4.971555553153779e-05,0.0001363803572554,5.61983424873376e-05,3.8581162365500624e-05,5.139795529891975e-05,3.487949125206445e-05,1.778969623571115e-05,5.899015380768821e-05,0.0001332738863154,0.2711798602399575,0.0459392077764467,3.857809794654424e-05,0.0360049012610497,0.0055786777932934,8.974680466174624e-06,9.055566949212088e-05,6.0802148608001886e-05,2.6291627706657624e-05,4.018519811630277e-05
uj0008,4.5576424209497545e-05,9.66707130701713e-05,0.0002099499098707,0.0001018658916998,7.043914291680626e-05,9.338924195377454e-05,0.0001091421068954,5.53340461309516e-05,0.1689372672808927,9.021909774380002e-05,5.23754506718919e-05,7.384613871953275e-05,3.948090774888516e-05,5.693430148136057e-05,0.0001519137575152,4.4323305145362045e-05,0.0001465688296842,7.82541284267684e-05,8.384484376658924e-05,0.0001751157677773,0.0001636729617504,1.8462107787543536e-05,0.00012981650429,3.465326313317011e-05,9.784002665192411e-05,0.3629071213355377,0.000121225591648,0.0031529222180477,0.0001044417283737,0.0001539108053188,4.507507236166741e-05,0.0004239139381932,0.0001013098441852,4.5960448749777335e-05,6.812424295985146e-05,2.205296305942424e-05,0.1929204080778616,0.0001080124355075,6.0133414150275314e-05,7.011143514852657e-05,0.0001039782760332,0.000235474171916,0.0006629826190776,5.735680039730055e-05,0.000113902390761,0.0001138148521123,0.0001010282795474,7.644708493753886e-05,8.43029278547776e-05,0.0001581614177799,5.81069867615968e-05,0.0001215041397325,9.908043142861776e-05,8.4170298017634e-05,8.556265369324e-05,7.913522024478752e-05,6.315201038665448e-05,7.371212949171408e-05,3.74926423803268e-05,6.874199080609799e-05,5.4572222430689534e-05,0.0001993095804157,0.0953278374263937,0.0001071843571606,8.187973656080949e-05,0.0001540981459748,6.90248763936252e-05,7.862080988843563e-05,5.493208043119081e-05,6.973648199209012e-05,8.710494679078927e-05,9.856511526389874e-05,6.354262001723513e-05,0.0001032749800767,4.51547643884461e-05,0.0395448460319679,6.254116836400104e-05,0.0001252326034573,7.026784076625494e-05,7.950053067140246e-05,0.0001048990058272,7.763432628968561e-05,0.0002129674915923,8.775765272971326e-05,6.024719055625459e-05,8.026151150554357e-05,5.44667715311608e-05,2.777985818304848e-05,9.211726188354932e-05,0.0002081165193767,0.0001288891746153,0.0026209713159266,6.024240525116033e-05,0.1253405013160939,7.195618968691011e-05,1.4014592901706172e-05,0.0001414090281717,9.494681883124408e-05,4.105622037695574e-05,6.27520048649089e-05
uj0009,5.687877264489273e-05,0.000120643767156,0.0002620147016243,0.0001271272811494,8.790711568002361e-05,0.0001165485347457,0.000136207901163,6.905615532577341e-05,0.092229118430977,0.0001125922368373,6.536386745144296e-05,9.21590012332786e-05,4.927164898546084e-05,7.105325276876933e-05,0.0001895863535854,5.531489668090056e-05,0.0001829159545759,0.0647898507237645,0.0001046372524558,0.0002185421545174,0.0002042616844341,2.304046553907501e-05,0.0001620092747761,4.324681256465239e-05,0.0001221030549901,5.793762374560803e-05,0.0217153514664171,0.047062932164207,0.0001303418911387,0.0001920786427448,5.6253092191403246e-05,0.0005290389698117,0.0001264333412296,5.7358030175414e-05,8.501815125091277e-05,2.7521805270142705e-05,0.1976339822835914,0.0001347980862608,7.504570292949693e-05,8.749814073367269e-05,0.0001297635087675,0.0002938686419669,0.0008273935112745,7.158052580958537e-05,0.0001421486722614,0.0001420394251895,0.0001260819522977,9.540494760053958e-05,0.0001052089353194,0.0001973833506935,7.251674843775754e-05,0.0001516355541077,0.000123651063692,0.0108870751833539,0.0001067810564501,9.875970479423452e-05,7.881287097775203e-05,9.199175949517342e-05,4.6790320188447e-05,8.578909236592914e-05,6.810540945673555e-05,0.0002487357116545,0.0003655267202928,0.0001337646554719,0.0001021848247387,0.0001923124413976,8.61421298254612e-05,9.811772749538756e-05,0.3558756028617386,8.703020416981673e-05,0.0001087058177707,0.0001230079559564,7.930034661358904e-05,0.000128885804746,5.635254678336335e-05,0.0277873795777074,7.80505482389442e-05,0.0001562886273621,8.769333286920013e-05,9.92156073592258e-05,0.000130912567333,9.68866090541228e-05,0.0002657806035715,0.0001095203861215,7.518769437442253e-05,0.0001001653013425,6.797380813338635e-05,3.466889439237113e-05,0.0001149611204964,0.0002597266546156,0.000160851979647,0.1434373504117929,7.518172237716268e-05,0.0270389012384208,8.980036991892076e-05,1.7490025977087523e-05,0.0001764765907554,0.0001184923700208,5.123761824195164e-05,7.831366939441836e-05
uj0013,3.107762077224897e-05,6.591775929520199e-05,0.0001431605000458,6.94602441236611e-05,4.803099429275927e-05,6.36801920288078e-05,7.442174473341339e-05,3.773114129242045e-05,0.0209368458412767,6.151853627674468e-05,3.571373625703387e-05,5.035415424587629e-05,2.6921214203292265e-05,3.882232230939038e-05,0.0001035868484207,3.022314480724856e-05,9.994225270990492e-05,5.335987123367148e-05,5.717206436180944e-05,0.0001194078192095,0.0001116052065113,1.2588929351726073e-05,8.851918859983712e-05,2.3629343215328334e-05,6.671509003555396e-05,3.165615950352139e-05,8.266122300015668e-05,0.002149912432061,7.12166538620441e-05,0.0001049485940025,3.0735759319303204e-05,0.1475671545539088,6.908108682712825e-05,3.133947916147217e-05,4.6452511903328085e-05,1.50374592731297e-05,0.3082821507751108,7.365144518489813e-05,4.100373105429828e-05,0.2592572572178477,7.090063529904754e-05,0.0001605649662822,0.0004520741320025,3.9110415579408976e-05,7.766768381943856e-05,7.760799302594635e-05,6.888909372566786e-05,5.2127685662923375e-05,5.7484422424589456e-05,0.0413457139933592,3.962195214118367e-05,8.285115917625384e-05,6.756089639098403e-05,5.739398488251973e-05,5.834340341232082e-05,5.396066951613575e-05,4.306204937842825e-05,5.0262776125842415e-05,2.556545718219239e-05,4.687374137956512e-05,3.721166947200673e-05,0.0001359050795201,0.0001997177552741,7.308679569163174e-05,5.583209841280656e-05,0.0001050763377201,4.706663520929372e-05,5.3609903736386624e-05,3.745704919771825e-05,4.7551864345016336e-05,5.939506116820297e-05,6.720951295924896e-05,4.332839800449365e-05,7.042107233628381e-05,3.079009966367546e-05,0.0328559362521351,4.264552884042998e-05,8.539352145484554e-05,4.79141869002391e-05,5.420976713841305e-05,7.152846189732132e-05,5.293724097901287e-05,0.0001452181265932,5.98401278446152e-05,4.108131283170144e-05,5.4728664225856326e-05,3.713976468521208e-05,1.894251057852254e-05,6.281285513395592e-05,0.0001419103489975,8.788686167942785e-05,0.0135694338297942,4.107804983115722e-05,0.1679428287618221,4.90654371002586e-05,9.556260962348944e-06,9.642389080575094e-05,6.4742271478023e-05,2.7995387293920782e-05,4.278929388856198e-05
uj0014,3.944263233538783e-05,8.366052096803082e-05,0.0599961657009636,8.815651915484731e-05,6.095926269504187e-05,8.082067863708595e-05,9.4453482677776e-05,4.788704851307101e-05,0.0116186966437204,7.807718055243087e-05,4.5326628406736254e-05,6.390773627860895e-05,3.416746608835834e-05,4.927193740077285e-05,0.0001314688150351,3.835816124366795e-05,0.0001268432212779,6.772248744384931e-05,7.256078999752823e-05,0.0001515482393445,0.0001416454354534,1.5977430047016142e-05,0.0001123454667317,2.9989538246799345e-05,8.467246533378125e-05,4.017689351440756e-05,0.0001049107411111,0.0102054027959465,9.03856931334164e-05,0.0001331970950316,3.900875370301125e-05,0.0003668625149078,0.0972861913107327,3.977497386969506e-05,5.895590790187785e-05,1.908501882158405e-05,0.2118175391031717,9.34758453578904e-05,5.2040505294986696e-05,6.067565867735299e-05,8.998461339559552e-05,0.0002037834548992,0.0005737567205542,4.96375753307456e-05,9.857311535144192e-05,9.849735787828224e-05,8.743163499072966e-05,6.615864049455564e-05,7.295722395614799e-05,0.0001368756491835,5.0286799693191135e-05,0.0001051518014811,0.0150393637801508,7.284244378210205e-05,7.40474126655884e-05,6.84849996688563e-05,5.465285112038996e-05,6.379176235581709e-05,3.2446786564296654e-05,5.949051766115779e-05,4.722775299713276e-05,0.0001724859867269,0.2096041246655668,9.275921191530855e-05,7.086015195139912e-05,0.0001333592229024,0.1047350602600218,6.803981997547272e-05,4.7539180386466255e-05,6.035116767682306e-05,7.538214000883981e-05,8.529996966367844e-05,5.499089150668344e-05,8.937596880981533e-05,3.907772057276491e-05,0.0566532261639191,5.412421778128075e-05,0.0001083784790106,6.081101482655181e-05,6.880114568283547e-05,9.078142901631389e-05,6.718609986545411e-05,0.1048596307094844,7.594700311117023e-05,5.213896938091091e-05,6.945971176773359e-05,4.713649394968249e-05,2.404117373505717e-05,7.971988490177181e-05,0.0001801076652912,0.0001115429394591,0.0022682342849123,5.21348280944296e-05,0.108471855699326,6.227214142624177e-05,1.2128473102919331e-05,0.0001223778390653,8.216863283001997e-05,3.5530769109162974e-05,5.430667936602385e-05
uj0015,9.635851381451752e-05,0.0002043829984996,0.0004438799585866,0.0002153667406523,0.0001489237307128,0.0001974452519479,0.0002307502485646,0.0001169882574379,0.119713899432264,0.000190742874788,0.0001107331405357,0.0001561268638637,8.347126087039252e-05,0.0001203715467144,0.0003211788585007,9.370914645525082e-05,0.000309878513834,0.0001654463167271,0.0001772663098627,0.0003702329750782,0.0003460403842433,3.903292764069913e-05,0.0002744604395573,7.326456588579518e-05,0.0002068551827676,9.815231690961567e-05,0.000256297374138,0.0797294665166029,0.0002208126218953,0.0003254010536752,9.529854652237076e-05,0.3114161233767962,0.0002141911347762,9.7170425556421e-05,0.0001440295266731,4.662477986085082e-05,0.0242924957276482,0.0002283618765515,0.0001271351695227,0.0366799810892323,0.0002198327824381,0.00049784382257,0.0014016900396908,0.0001212648016885,0.0002408145282131,0.0002406294523931,0.0002135958456434,0.0001616258321664,0.0001782347996621,0.0003343877766719,0.0001228508594893,0.0002568862856181,0.0002094776693467,0.0001779543912226,0.0001808981351851,0.0001673091372443,0.0001335171411711,0.000155843539091,7.92676336814207e-05,0.0001453355805246,0.0001153775957676,0.0004213839784705,0.0006192400062288,0.0002266111380894,0.0001731116440872,0.0551234224391939,0.0001459336624336,0.0001662215614134,0.0001161384141669,0.00014743815207,0.0001841588796012,0.0002083881784391,0.000134342975232,0.0002183458611995,9.546703287022384e-05,0.0836064403637504,0.0001322256877388,0.0002647690721589,0.0001485615605574,0.0001680814832631,0.0002217794062928,0.0001641359196561,0.0004502597853292,0.0001855388424948,0.0001273757176915,0.0001696903629304,0.0001151546495375,5.873268679860143e-05,0.0001947560083029,0.0004400037707042,0.0002724998621134,0.0420730559371191,0.0001273656005115,0.2284654415909321,0.0001521310988794,2.9629909918261693e-05,0.0002989695666327,0.0002007383096124,8.680181578484522e-05,0.0001326714421445
uj0016,4.988637798567483e-05,0.0001058124198202,0.0002298039116392,0.000111498882708,7.71002501728186e-05,0.0001022206350038,0.0001194631762621,6.056673353918328e-05,0.1281736381705409,0.0095552928774642,5.7328357252818166e-05,8.082942997045186e-05,4.3214436440321095e-05,6.231831771167447e-05,0.0001662795460608,4.851475718876528e-05,0.0001604291728753,8.565426308332028e-05,9.177366677700658e-05,0.0001916756642082,0.0001791507644036,2.0207984796440902e-05,0.0001420926567654,3.793026357557314e-05,0.000107092310034,5.08150591752394e-05,0.0001326893408463,0.0223641639826587,0.0001143183044632,0.0001684654455321,4.933761558892105e-05,0.1139425076108685,0.0095674324250202,5.030671796855967e-05,7.456644072517867e-05,2.413841081146743e-05,0.1827943813093955,0.000118226677023,6.581995581927715e-05,7.674155258122834e-05,0.0001138110255567,0.000257741886289,0.0385518465408264,6.278077041577948e-05,0.000124673618379,0.0001245778016011,0.0001105820614092,8.367633576445282e-05,9.227506978018088e-05,0.0001731180189532,6.360189846998922e-05,0.0001329942299478,0.0001084500142115,9.21298977465542e-05,9.36539221238178e-05,8.661867572069053e-05,6.912400688177287e-05,0.0189937670934925,4.103814991867994e-05,7.524260615702642e-05,5.9732867659424347e-05,0.000218157374942,0.0854294702295493,0.000117320291098,8.96227283795736e-05,0.0001686705021363,7.555224293943861e-05,8.605561993204952e-05,6.012675578350484e-05,7.633114182142563e-05,9.534206281856336e-05,0.0001078859669563,6.955155467679999e-05,0.0001130412221215,4.942484372582035e-05,0.1473063849737476,6.845540032563867e-05,0.0001370752774172,7.691274876215766e-05,8.701853188185956e-05,0.000114818824552,8.4975849095757e-05,0.0002331068522488,9.60564921698654e-05,6.594449153907042e-05,8.785147518950735e-05,5.961744475111018e-05,3.0406872187643184e-05,0.0001008283696018,0.0002277971457999,0.0001410776337688,0.031238451091835,0.1797402405349051,0.0142583304374885,7.876075711051683e-05,1.5339888789787468e-05,0.0096113236052512,0.0001039255047956,4.493871917141696e-05,6.868617466917032e-05
