receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumannSabine,8.147617707245379e-05,0.0001728165443524,0.0003753237848223,0.0001821038743985,0.0001259228248083,0.0001669503157841,0.0001951114371456,9.891970725867618e-05,0.1475586466408742,0.0001612831043809,9.363067786049289e-05,0.0001320134516646,7.057932882016333e-05,0.0001017804557827,0.0002715735694876,7.923599802082262e-05,0.0002620185354112,0.0001398935378309,0.0001498879619414,0.0003130513977582,0.0002925952933967,3.300438745071985e-05,0.0002320706960653,6.194903290785455e-05,0.0001749069058077,8.299293166759692e-05,0.0002167128716687,0.0056364239492005,0.0001867086526055,0.0002751436569459,8.057991913563878e-05,0.0007578235390507,0.0001811098379741,8.216269103195576e-05,0.0001217845186101,3.942369666700405e-05,0.0050958238124812,0.0001930919433473,0.0001074994535937,0.0001253369873579,0.0001858801469555,0.0004209530620223,0.0011852024419387,0.0001025357497112,0.2318749519450526,0.0002034648221097,0.0001806064897916,0.0001366631177648,0.0001507068708604,0.0002827424025595,0.0001038768447645,0.0002172108272114,0.0001771243557499,0.0001504697708184,0.000152958860727,0.0001414686502761,0.000112895745333,0.00013177388571,6.702494156742377e-05,0.0001228888556391,9.755780834323627e-05,0.0003563022538044,0.0005235999020799,0.000191611602158,0.0001463749741315,0.0002754785625628,0.0001233945652603,0.0001405490478718,9.820112020190708e-05,0.0001246666901527,0.0001557159911446,0.0001762031340478,0.0001135940313433,0.0001846228770648,8.072238317922494e-05,0.0861383855468963,0.000111803753724,0.0002238761366541,0.0001256165909474,0.0001421217093417,0.0001875261195178,0.000138785528382,0.2474968042700036,0.0001568828221451,0.0001077028496864,0.0001434821014801,9.73692956129931e-05,4.96615669971329e-05,0.2009464962999879,0.0003720462646762,0.0002304129250116,0.0355749753686581,0.0001076942950801,0.0232872038899269,0.0001286348228075,2.5053642813422336e-05,0.0002527944484192,0.000169734768748,7.339548767543405e-05,0.0001121806624522
BaumgärtnerKlaus,0.00011078593939357778,0.0020509569704916936,0.03175473973759838,0.0002476128546693153,0.0001712215636366352,0.004210679655080686,0.0033127430273998462,0.00013450450287382393,0.18323109390224387,0.0005274815153487636,0.00012731282904458619,0.0006273586057947624,9.596912282907412e-05,0.007481918196270912,0.00183511632571495,0.00010773989146199018,0.00035627554736958745,0.00019021801906474506,0.002694177604220066,0.002934031168114468,0.0010336348849626432,0.0009821242793098739,0.0006376787315339068,0.0037534151397949954,0.007012353938786186,0.00011284832239545217,0.0013834844170779383,0.15673143172813236,0.0002538741287949311,0.005868508108346132,0.00010956726688050186,0.004251548068404354,0.0002462612294087398,0.0008276089736471765,0.004075836897663798,5.360574620159283e-05,0.03874024586915876,0.004676148071069635,0.0006954909122555668,0.004773561524778122,0.00369910750086978,0.0038395519332225844,0.028190564299146303,0.0037470172504294654,0.011978008820463383,0.0016235832110786954,0.0010952930189745773,0.0004982412022849083,0.0023982037131029615,0.006198876198287536,0.00014124489196702558,0.0008531159205409853,0.0021252665780136138,0.0002045988841085487,0.001551549611330102,0.0001923597532276119,0.0012121484655297013,0.00017917745088783364,9.113610114209481e-05,0.00016709617218393363,0.0001326526824260916,0.006454703365383291,0.002807034022122184,0.00026054083667802945,0.0018604352020335573,0.0006869933014488932,0.00016778380281969632,0.0004624898108728405,0.0001335274155216623,0.00016951355446369356,0.0024428001235943537,0.00023958941657542434,0.00015445768228283823,0.0002510380285882343,0.00010976098010398887,0.14505621388438772,0.00618683430053168,0.00030441202567697416,0.0011866196155391302,0.003724123231085633,0.003693433285359059,0.0010714302935800632,0.01437748473923049,0.007598860351921226,0.006481848920926158,0.004143610478303083,0.0001323963552313439,0.006785357661490898,0.0005320955214054686,0.027827294143333726,0.0029400147632548095,0.0823281952002002,0.00014643560948091603,0.10023904509982669,0.000439959829640319,0.0013374804034923151,0.012589931977113712,0.0005021746318882701,0.0016363437340476085,0.00399777752411793
BaumgärtnerKlaus+BaumgärtnerSabine,0.0018599638291501755,0.003770681690508789,0.0036846586014128864,0.005481127381102338,0.00011439573049059631,0.0004739033154547128,0.0038783186145034975,8.986450382604595e-05,0.08880605370332356,0.002527877990509734,0.013325977718377855,0.001750695681016477,6.411843039742546e-05,9.246337672825482e-05,0.0025576947379367674,7.198265992318564e-05,0.00023803311120188588,0.0001270875512477137,0.001392967145039976,0.000328792183702412,0.017865722580749997,0.017400900939295243,0.00021082672535554153,0.00019158452666026855,0.0017269911990560002,0.0010689150813553395,0.0058379064570280225,0.10992535604203728,0.00016961716619871145,0.022514390597203917,0.0002970356182446377,0.00947427668847617,0.00016453087234684,0.002895157283850932,0.000548325294492524,3.581481423822528e-05,0.0418765392224731,0.0035691330160115904,0.0030732242786971923,0.00011386352115374641,0.0008301012642094194,0.0032037097200463397,0.016769591723500912,0.0064875484187663784,0.006538423594438352,0.01268948485924264,0.0007406692564758411,0.001996255279481728,0.0001369110215584752,0.001511328465629285,9.436786028261466e-05,0.0004790676072671479,0.0008840713934044023,0.018225203012178698,0.000784402310081753,0.009576520097191376,0.00010256116217460761,0.00028680574150932215,6.088941511094119e-05,0.0038051829026775606,0.0040602105438519555,0.007910770451452623,0.0014434810690205089,0.0008662702600911235,0.00027848026504657584,0.0005610456407702609,0.002366854158946688,0.0002457702652589323,0.0003866255986945621,0.00011325458358787289,0.005367427084918673,0.0020499285915847464,0.00010319552642404173,0.001490187100796628,0.00975648419822117,0.15827303753115166,0.00010156913250896855,0.001243516581656627,0.009906544558444582,0.00012911175383388348,0.005183936238630036,0.00012608097003029463,0.0008582577875654243,0.005416619920664181,0.0006798620062959662,0.007069141505850427,0.015604285505694194,0.012650560017621087,0.00014960178428644662,0.00746601115025563,0.0011494926559495536,0.10304210769749908,9.783585759066611e-05,0.14983418485791433,0.00011685946963147413,2.276020868699062e-05,0.000772944106296541,0.014094050268055307,0.013879253074436262,0.00033252503477395045
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,6.0812891835021184e-05,0.0001289883030429,0.0002801374039581,0.0001359202605528,9.398736415698642e-05,0.0001246098167636,0.0001456289574357,7.383254435863366e-05,0.0063859878261696,0.0001203798746327,6.988487297466647e-05,9.853333876616608e-05,5.267960824318192e-05,7.596777451810182e-05,0.000202699423315,5.914084767128017e-05,0.0117233573940079,0.0001044149454504,0.0001118746699272,0.0002336580025563,0.000218389798934,2.463409939247546e-05,0.0001732149279089,4.623805353753165e-05,0.0001305485250569,6.194498021286306e-05,0.0001617520224633,0.0618459114227177,0.0001393572146305,0.0002053640959868,6.014393510526026e-05,0.0005656308698595,0.0001351783230721,6.132529804579982e-05,0.0116186883189268,2.94253987765678e-05,0.0614424136296012,0.000144121630235,8.023636943481794e-05,9.35501017474941e-05,0.000138738827437,0.0003141945774606,0.000884621621853,7.65315173154167e-05,0.0001519806322949,0.0001518638289593,0.0001348026297139,0.0001020037966567,0.3690017575565019,0.0002110357132826,7.753249540923015e-05,0.0001621236908164,0.0001322036044718,0.0001123089254553,0.0001141667538516,0.0116333803309098,8.42641002101137e-05,9.835452946250569e-05,5.0026654026289633e-05,9.17228440783232e-05,7.28160384987523e-05,0.0002659399495623,0.0003908090113469,0.000143016720409,0.0001092526157836,0.0002056140657299,9.210029998747708e-05,0.000104904210689,7.329619915286283e-05,9.304979953772097e-05,0.000116224644635,0.0001315160150716,8.47852929457489e-05,0.0001378004154911,0.0231158297475389,0.0527649214716913,8.344905009382642e-05,0.0001670986019715,9.375879468640446e-05,0.0001060780273222,0.0001399673626357,0.0001035879398005,0.0002841637810603,0.0001170955540218,8.038818196487495e-05,0.0001070934085409,7.267533474109308e-05,3.7066828742697007e-05,0.0001229126062481,0.0002776911002005,0.0001719775864503,0.2225251825464512,8.038179690404268e-05,0.1557147809818998,9.60115686166195e-05,1.8699754029095406e-05,0.0001886829009483,0.0001266881007848,5.478155718101096e-05,8.373037048143841e-05
BaumgärtnerSabine,0.00015105635095056662,0.000320400852270625,0.009705864281973075,0.000337619507308825,0.000233460173272675,0.000309524899161325,0.00036173545179634997,0.00018339655286362254,0.1059593302346081,0.0002990179227003,0.00017359072360571517,0.000244752159482425,0.0001308536586668018,0.00018870036372667842,0.00050349579343845,0.00014690307222325986,0.00048578081670974996,0.000259361792681025,0.0002778913959372,0.04552101489127025,0.0005424699453746001,6.118993935162359e-05,0.000430257699487025,0.00011485314103110755,0.0003242763700595,0.00015386840500932516,0.0004017843837861,0.12319607504731278,0.0003461567389006,0.000510114714495025,0.00014939469403060248,0.0014050003643600998,0.00033577656965052497,0.00015232914377571262,0.00022578777802934998,7.309130071485922e-05,0.07657692233287347,0.0003579913222251,0.01030157962939555,0.000232374034100625,0.00633308959469425,0.000780444490099675,0.09801286073144733,0.0001901006742080255,0.00037751271213862497,0.00037722257817,0.0003348433650939,0.00025337261296304997,0.000279409648235175,0.01819282195413655,0.00019258705651399122,0.0004027075904204,0.0003283875091521,0.000278970066157975,0.0002835848241437,0.000262282041849075,0.000209308044886325,0.000244308005617825,0.00012426384569868987,0.00022783521235704998,0.00018087160032017013,0.0006605822736051249,0.000970751125153425,0.000355246778405475,0.0002713783372916,0.0005107356275300999,0.0002287727950071,0.00026057710442435,0.00018206429670562075,0.0002311313070423,0.000288696527649475,0.000326679569558825,0.000210602663024225,0.000342289723370475,0.00014965882152574928,0.16479687396472908,0.00020728349889464998,0.0004150650347503,0.00023289241750375,0.000263492809498525,0.000347672317726625,0.0608709652147911,0.000705849410282,0.000290859825430875,0.0001996804470359503,0.00026601496848625,0.00018052209883198566,9.207225182402548e-05,0.03634537391734677,0.0006897715767495501,0.003960908043780225,0.15350341763156974,0.0001996645868464251,0.060478263160979005,0.00023848820154142499,4.6449305765167785e-05,0.0004686794139203,0.000314687258506425,0.00013607480054725555,0.0002079822854499
BaumgärtnerSabine+BaumgärtnerKlaus,8.107322316503692e-05,0.000171961851553625,0.020950649973086825,0.00018120324957315,0.00012530005265432478,0.000166124635388825,0.000194146481267625,9.84304834880706e-05,0.11753167045525124,0.0001604854521168,9.316761185941499e-05,0.00013136055730838088,7.023026707778858e-05,0.00010127708370725559,0.0002702304574896,7.884412328936372e-05,0.00026072267941437504,0.00013920167120539453,0.000149146666238625,0.0003115031503013,0.000291148214986725,3.284115879465095e-05,0.000230922952060375,6.164265372110506e-05,0.0001740418747807,0.004198018959221426,0.000215641082324075,0.0651533067192658,0.000185785254087975,0.000273782888490025,8.018139782006248e-05,0.0007540755974171,0.00018021412932029999,8.175634185622345e-05,0.00012118221313380475,3.922872025564568e-05,0.0402088213216458,0.00019213697520995,0.0001069677972688238,0.0001247171125599528,0.00018496084594975,0.00041887116904115,0.09323432928098026,0.00010202864220471635,0.000202614270543725,0.000202458553185025,0.00017971327052952502,0.00013598722771596217,0.00014996152510817498,0.0002813440532506,0.00010336310465066726,0.00021613657514525002,0.0001762483579575,0.000149725597683625,0.00015220237738655,0.00014076899367153648,0.00011233740075487058,0.00013112217616678102,6.669345863499601e-05,0.0001222810884814705,9.707532006890808e-05,0.000354540102086575,0.000521010352176525,0.0001906639552927,0.013599314443931521,0.00027411613777575,0.00012278429703203931,0.00013985393931300827,9.771545032241953e-05,0.00012405013042047304,0.0001549458719597,0.004659886156123225,0.018201467493367627,0.00018370979409522501,8.032315728416183e-05,0.233214196734166,0.00011125080977102689,0.00022276892019797498,0.05697436329361075,0.00014141882292550544,0.000186598678082525,0.0001380991416004548,0.00037883535780245,0.00015610693220445,0.00010717018743243933,0.0001427724870196119,9.68877396595558e-05,4.941595750502155e-05,0.0001638619847776,0.0055383306083751,0.007981459919826725,0.1357428197214463,0.0001071616751343734,0.16185120805013645,0.00012799863801897054,2.4929735879770827e-05,0.000251544211669975,0.006868393980215075,7.303249815373272e-05,0.00011162585443471394
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,2.070812152808277e-05,4.3923342148600657e-05,9.539292131452768e-05,4.628382549694715e-05,3.200475590516485e-05,4.243237167762025e-05,4.958984941497349e-05,2.514159835473667e-05,0.002174568713817,4.099198374240306e-05,2.379732979086204e-05,3.35527598206152e-05,1.793856033867103e-05,2.586869098753976e-05,6.902359294256136e-05,2.0138753871024064e-05,6.659506948984824e-05,3.555557570920683e-05,3.8095775268385954e-05,7.956566719556292e-05,7.436650947449425e-05,8.388450352569457e-06,5.898347651920505e-05,1.5745069885425052e-05,4.445463191464442e-05,2.109362241451453e-05,5.508010616680558e-05,0.0485381414501201,4.745418363285768e-05,6.99309723460875e-05,2.0480327110831583e-05,0.0551491179557188,4.603117953564909e-05,2.088260706502015e-05,0.5888506842788125,1.0019992726715751e-05,0.0012951631088522,4.907657149126818e-05,2.73222410428359e-05,3.1855858478283814e-05,4.724360925022969e-05,0.0001069901347755,0.000301233036268,2.606065775651117e-05,5.175273381203729e-05,5.171295971817075e-05,4.590324771915864e-05,3.473452673859236e-05,3.830391052982466e-05,7.186228224895077e-05,2.6401512719795464e-05,5.5206667380935305e-05,4.501822270320025e-05,3.824364878631458e-05,3.887628004339237e-05,3.59559089244909e-05,2.8693771582832207e-05,3.349187133663064e-05,1.7035171325682054e-05,3.123363722330772e-05,2.4795455847033903e-05,9.055837715546424e-05,0.0001330790274403,4.870032549698755e-05,3.720290840709063e-05,7.001609251817929e-05,3.136216922700616e-05,0.0039611870567165,2.4958961065718446e-05,3.168549461877756e-05,3.957703692482665e-05,4.478408345358876e-05,2.887124912391622e-05,4.6924059430568255e-05,2.0516536010585697e-05,0.0101166816104601,2.841622916788928e-05,5.690073358437205e-05,3.1926922994550085e-05,3.612189150958896e-05,4.7661952391453214e-05,3.527396217324625e-05,9.676399089917376e-05,3.98736006447712e-05,2.737393653415433e-05,3.6467651052318775e-05,2.474754313600925e-05,1.2622066984526486e-05,4.18544343266239e-05,0.0354237437806129,5.856213465364609e-05,0.0561473737858195,2.7371762281102243e-05,0.194341028738461,3.269404185560915e-05,6.367675788717543e-06,6.425066010198231e-05,4.314007290314222e-05,1.8654319986616625e-05,2.8512024921046367e-05
BierwischHedwig+BierwischWilhelm,6.375259801611392e-05,0.0001352236209221,0.0002936792966904,0.0001424906705107,9.853073032524012e-05,0.0001306334778248,0.0001526686875555,7.740162289556134e-05,0.006694687631729,0.0001261990595268,7.326312036349065e-05,0.0001032964581685,5.522615002564066e-05,7.964007046680583e-05,0.0002124979500688,6.199972693533457e-05,0.0002050214303254,0.0001094623827828,0.0001172827116889,0.0002449530726253,0.0002289468012808,2.582491620885335e-05,0.0001815881688265,4.847320940143518e-05,0.0001368592643502,6.493941175072576e-05,0.0001695711444601,0.1736009605655959,0.0001460937675696,0.0002152914334991,6.305130379714599e-05,0.0005929735683264,0.0001417128676381,6.428977403572097e-05,9.529263323967488e-05,3.084782787103128e-05,0.0039873251145443,0.0001510884958854,8.411501003319415e-05,0.0121831175092645,0.0001454454874275,0.0003293828001146,0.0130124295696103,8.023106469281955e-05,0.0001593274035252,0.0001592049538952,0.0001413190131951,0.0001069346786207,0.0001179234826848,0.0243913275751854,8.128043024857947e-05,0.0001699607793286,0.0001385943506032,0.0001177379592077,0.0001196855953644,0.0001106948597369,8.833744204203815e-05,0.0001031090051908,5.24449515224758e-05,0.108861563351171,7.63359789587157e-05,0.0002787955347835,0.0004097007895804,0.0001499301745188,0.0001145339069741,0.1331510504524445,9.65524451327563e-05,0.0001099752991915,7.683935066561804e-05,9.754784366284758e-05,0.0001218429649601,0.0001378735230071,8.888382932870118e-05,0.0001444617124785,6.316277752147676e-05,0.3332716264209657,8.748299225583795e-05,0.000175176178588,9.829111176514436e-05,0.0001112058583329,0.0001467334102397,0.0001085953995304,0.0002979003095893,0.0001227559742641,8.427416120838887e-05,0.0001122703232631,7.618847355598397e-05,3.885864594264244e-05,0.0001288542238463,0.000291114738167,0.0001802910140582,0.0036662316891727,8.42674674925621e-05,0.1753271068132185,0.0001006527851942,1.960370351818364e-05,0.000197803866478,0.0001328122264711,5.742970755497758e-05,8.777791172182587e-05
BierwischManfred,7.931722668902622e-05,0.0042554914827733535,0.009030454113137156,0.00583263606575132,0.006334715168709918,0.0005411751321001935,0.002277299145633574,0.008456782750920879,0.1189902814779367,0.0011925864733148487,0.002358651092682877,0.003950801213592293,0.00028901921294341795,0.005339924748693573,0.0015610617833735681,0.000752872593971409,0.00423465598026179,0.001745274245014571,0.000276432299093744,0.006187534460547651,0.003177513127479077,3.21298393619225e-05,0.0006520732363319169,0.0006695578416468553,0.010468652874784186,0.004699819682142792,0.00889673356926381,0.14310108972562605,0.002707164109086346,0.0005887994561103677,0.003167556093562369,0.016642215769438185,0.0033601140077119535,0.0008923193229669823,0.0024429306885184834,3.837905014462893e-05,0.0537651999851079,0.004763843769603095,0.00028779829477239575,0.00020804409774482027,0.009478815914220777,0.005276926348498492,0.014558234614973239,0.0033636397270148445,0.006078481758627382,0.009391455588952671,0.004380132269088863,0.000663552584938172,0.006980108194553535,0.0010502820539642704,0.0032005617006531785,0.006770441490856628,0.0007598137095454591,0.0005851530443848078,0.004177934435996886,0.00013772002328197254,0.001606238871451499,0.0064504065352664125,6.52489190723136e-05,0.004268339863975575,0.000258317477466815,0.011377279772245055,0.013513681023121032,0.0017539508198927468,0.00038936913004942504,0.0057684456491475895,0.0038936406979559923,0.004211959542737889,0.000639666970235481,0.007470964611899115,0.003969272800306707,0.00990541573810827,0.005475669697882346,0.001208268243851767,0.000538502768840174,0.14537513081116651,0.0008612887890370394,0.00196732632135489,0.00012228801077912734,0.0050152922443601,0.005775488821973921,0.008216694903665646,0.008197058929504947,0.0010732836650266943,0.004153485122128768,0.004958354717920569,0.00011508220706725407,4.8345638059835496e-05,0.002342529757064123,0.03023704006980102,0.010764865309534109,0.02286564109856668,0.006592195689127443,0.10758457757720115,0.0013695075622395044,0.00231291405628343,0.018481917857940892,0.005058748441450941,0.00024967067061191817,0.0023944779265271626
BierwischManfred+BaumgärtnerKlaus,6.046636738080803e-05,0.00012825330097405,0.0002785411230038,0.0001351457587542,9.345180468785629e-05,0.0001238997642165,0.00014479913347124998,7.341183122750263e-05,0.1547657356149509,0.00011969392517205001,6.948665449278602e-05,9.797187539207799e-05,5.237942892357063e-05,7.553489440323919e-05,0.0002015444000146,5.880385087105249e-05,0.00019445326955715001,0.00010381996746315,0.057093308544562245,0.00023232657085875,0.00021714536862329998,2.4493729191529116e-05,0.00017222791337060002,4.597457953091083e-05,0.0001298046325198,6.159200488457673e-05,0.0001608303259346,0.0441361282659941,0.00013856312835565,0.10277192233624914,5.980122250505828e-05,0.00056240778800055,0.00013440804898695,6.097585379485989e-05,9.038062054660728e-05,2.9257726759280463e-05,0.08938627450837894,0.00014330039533315,7.97791659819403e-05,9.301703389014601e-05,0.00013794826486045002,0.00031240423167725004,0.04699073982239875,7.609542487732355e-05,0.0001511146151714,0.0001509984774054,0.0001340344964073,0.0001014225578947,0.0001118449263047,0.005908040324043,7.709069919061988e-05,0.0001611998764445,0.0001314502809494,0.00011166896593485,0.0001135162080401,0.000104988914402,8.378394591299053e-05,9.779408498086769e-05,4.974159178932844e-05,9.120018831366484e-05,7.240111762856581e-05,0.000264424568644,0.00038858210064965,0.0001422017815122,0.2652477940790067,0.0002044424341933,9.157549340086367e-05,0.00010430644476705,7.287854222781068e-05,9.251958250599475e-05,0.00011556237253555,0.00013076660957605,8.430216878446032e-05,0.0001370152001802,0.023115486429028186,0.0757168986997903,8.297354012109205e-05,0.00016614643952535,9.322453765346265e-05,0.00010547357274995,0.00013916979961115,0.00010299767426275001,0.00028254455697525,0.0001164283193003,7.993011345275522e-05,0.0001064831681161,7.226121563006253e-05,3.685561427464768e-05,0.0001222122247581,0.0002761087587917,0.00017099762253995,0.0091754569911759,7.992376477532215e-05,0.11454590955142735,9.546447481119282e-05,1.8593198957245972e-05,0.00018760774669570002,0.00012596620574485,5.4469400520962705e-05,8.325325748686386e-05
