sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumgärtnerKlaus,0.0001246606955297586,0.002843099086641474,0.006212288539894816,0.006097069849169095,0.00377749443169692,0.012058293248786973,0.008742450488737648,0.0006702577066146126,0.13242923036292253,0.004532037552251298,0.001221799796640236,0.00727950982891722,0.000976423527478859,0.0015344444088816564,0.008925413277710533,0.0005314060634348839,0.008348447765070953,0.000708357081116424,0.010780062116811377,0.0034984273068424236,0.006265397560933891,5.049758153824835e-05,0.0033308874578280236,0.0044253968874157406,0.00046926603275770966,0.0010363793361085007,0.0036397792899646635,0.05432277473165992,0.0032252268146091686,0.004128124085819894,0.00012328939729521602,0.001931468863402953,0.008162907040583946,0.001085773901121849,0.004715528111128549,0.0003560029745804812,0.05553967951494517,0.001954869736128617,0.0024122262774182927,0.007049059309334322,0.0022066984182479835,0.005568951043145844,0.04943448414123374,0.00015688239599539363,0.0032553780739607613,0.0012106463211738613,0.0032141924421533715,0.00020909816741503638,0.0006813592856647663,0.0010691366746643954,0.00015893430672714862,0.0026194863122164696,0.004351957603742733,0.002188513653930029,0.0006390545848753655,0.010109741297373652,0.004016356743698292,0.0002016175136772078,0.00010254992482288536,0.007942796140997849,0.0001492660146733636,0.006699239355571684,0.0011942455137023999,0.0012183795927963124,0.009886019982154676,0.0030731908383947125,0.00018879693282940863,0.001559131692393064,0.0004792204870724231,0.0001907433173996366,0.003280730534122742,0.0002695954330969329,0.0005096545043407704,0.0072487911591026365,0.00012350737103182267,0.08824501073549508,0.01997741615469097,0.0011265373978443525,0.009896960112126296,0.0005544915868232836,0.004698403700992665,0.00021234551152523115,0.0036202539082792855,0.006180326666827077,0.0016088334636384135,0.004944542788797154,0.0002894863740130441,7.598350469309275e-05,0.0005579571578293097,0.004852146815613813,0.0036068768637345277,0.23181397870675446,0.0031216119159206807,0.08600957773765906,0.00019681466481023905,3.833273296436875e-05,0.0018093839414176213,0.003336893819347866,0.0004390414229402754,0.001862736501133644
BaumgärtnerKlaus+BaumannSabine,0.00015691524972329915,0.0003328279773027166,0.021778219055141265,0.0003507144781894,0.000242515201505971,0.014358451312014549,0.00037576578803348327,0.0001905098045192786,0.04877994179826669,0.0003106156855836,0.0001803236446056676,0.00025424516072201496,0.00013592897218619323,0.0001960193299435961,0.0005230244717607833,0.00015260088118093746,0.0005046223987613333,0.00026942144577916667,0.0002886697415569833,0.0006029067639218,0.0005635102821575667,6.356326333512785e-05,0.0004469457519364833,0.00011930785559819436,0.00033685381162095,0.00015983637261613172,0.00041736806509613334,0.020739235853703034,0.0003595828363798666,0.0538670152759757,0.00015518914347944273,0.0014594949609702836,0.00034880006001995,0.00015823740931970333,0.00023454522336197669,7.592623303887215e-05,0.046366649770836786,0.00037187643797986666,0.00020703356750262713,0.0002413869351448163,0.00035798721449831666,0.0008107149503383168,0.021276609246897466,0.0001974739531188884,0.00039215498803055,0.0003918536008736834,0.00034783066002366667,0.0002631999686604167,0.00029024688106146665,0.0005445345657977999,0.00020005677269578493,0.00041832707938886665,0.00034112440609321667,0.0002897902492747833,0.00029458399609301667,0.0002724549602562333,0.00021742630432791123,0.012267138716139736,0.00012908356554812604,0.0002366720698454511,0.00018788691871277988,0.0006862037363755833,0.015045323977230166,0.00036902544379045,0.00028190406624838333,0.0005305451113585167,0.00023764601774465836,0.0002706838948221667,0.00018912587523452643,0.04415553461019461,0.00029989396304955,0.00033935022204795005,0.012232126072071447,0.026422996096514315,0.00015546351547107874,0.10335408385042577,0.036303968428394014,0.0004311638217751666,0.0002419254246597368,0.0002737126889572833,0.00435346979896795,0.0002672875265697,0.0007332266123501,0.021357522853626715,0.00020742528873718923,0.00027633267285675,0.007205984423643472,9.564338272863721e-05,0.030350538223132353,0.0007165251810770833,0.00044375304496096666,0.25559884040736486,0.0002074088133914836,0.14852122962454858,0.00024773824778266104,0.028122093145871174,0.00048685769789015,0.00222629515372,0.00014135262221386908,0.0002160491237477149
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.000139755317903,0.0002964305882123,0.0006437893473791,0.0003123610578257,0.0002159942334639,0.0002863683016899,0.0003346728074951,0.0001696760406728,0.04116800900242,0.0002766473874333,0.0001606038184417,0.0002264414282529,0.0001210640568945,0.0001745830556285,0.0004658275817735,0.0001359127599091,0.0004494379219625,0.0002399580657148,0.0002571014071062,0.0005369741093128,0.0005018859464802,5.661211443768907e-05,0.0003980686756541,0.0001062605917325,0.0003000161654966,0.0001423569927513,0.0003717255443492,0.0096681048272117,0.0003202595904436,0.0534564377048793,0.0001382179751191,0.0012998875673839,0.0003106559965245,0.0001409328888213,0.000208895835882,6.762309497795257e-05,0.0087408185126064,0.0003312087888345,0.0001843927986219,0.0002149893520119,0.2652412703913577,0.0007220568161033,0.0285252097605879,0.0001758786041787,0.0003492697179918,0.00034900128992,0.0003097926081356,0.0002344169566506,0.0002585060738496,0.0004849853757774,0.0001781789718721,0.0003725796827939,0.0003038197364635,0.0002580993783842,0.000262368890823,0.0002426598412328,0.0001936490069347,0.0002260305030309,0.0001149672499712,0.0002107900947699,0.000167339988311,0.0006111618946694,0.0008981259725051,0.0003286695735576,0.0002510756122567,0.0004725257795565,0.0002116575337123,0.0002410824559041,0.0001684434550733,0.0002138395975394,0.0002670981706182,0.0003022395735685,0.0001948467703407,0.0003166818793355,0.0001384623423491,0.0417833873454316,0.0001917759240295,0.000384012625202,0.0002154689534112,0.0002437800272871,0.0003216617837264,0.0002380575075598,0.0006530424447888,0.0002690996248255,0.0001847416820207,0.0002461134950885,0.0001670166342032,8.518401737328202e-05,0.0002824679084019,0.000638167447992,0.0003952251166047,0.458405067536196,0.0001847270083853,0.0664365643386348,0.0002206460980475,4.2974277167004855e-05,0.0004336159325633,0.0002911444475909,0.0001258945876118,0.0001924224320152
BaumgärtnerKlaus+BaumgärtnerSabine,9.213745348948387e-05,0.0008725177286429204,0.000984686799955713,0.0008830203193499595,0.00014240000980560082,0.00116069534389661,0.00100133511229858,0.00011186349500216339,0.12548992584919474,0.013541838938905563,0.007300769265289347,0.0031713478887728237,7.981473677519565e-05,0.0028455733081809145,0.0017758312930500509,8.96041437467672e-05,0.003212002050853985,0.009040376582521046,0.00928896983942433,0.00035401462902610983,0.00033088181362033445,3.732305961024884e-05,0.0015211595297019817,0.011551838612038363,0.0059636494683242055,0.0007345033153197853,0.008767028544233349,0.04186204341913435,0.0009272379252029389,0.0021546121527278713,9.112391889649904e-05,0.003686677506856293,0.0004164524262131011,9.291379880030837e-05,0.00013772020021509188,4.458234478539612e-05,0.050642165504552854,0.002139081974409765,0.024834402580873296,0.00014173751467172808,0.00021020283486677886,0.0023979872962505825,0.05382590978655523,0.0038921188372080854,0.018192140918398658,0.006523698715926444,0.00748343963870106,0.001076278459536351,0.006280855827824992,0.00031973965766921264,0.0020394211942323347,0.00024563318025841544,0.0002003013356315445,0.000555231522600829,0.0005107073994195389,0.0060151366931646905,0.014794540589393588,0.0001490166905467487,0.0010476945889504499,0.0016936549033812233,0.00011032338963042106,0.0008872067935621928,0.006724221391616589,0.00038455644012253904,0.0012860310553224612,0.007466616455159179,0.0001395409238140651,0.0001589400954560306,0.012818445463863763,0.00014097950810120077,0.0017766311954098858,0.0034005771723064245,0.0001284579757623465,0.006630587831252452,9.128502456764798e-05,0.08853443727020037,0.0001264334377095724,0.0012810116375599552,0.0297642849529732,0.00016071854196933252,0.00021206418533571258,0.004010296857637406,0.008776325712251606,0.002129955780147324,0.00012179592440673858,0.01749393064264036,0.00011011020973490672,0.006930423831907354,0.005045721249384003,0.0010613796978774235,0.003886317555484801,0.19754569472144304,0.00012178625041775889,0.10065894526785356,0.00604835040593085,2.8331948459138868e-05,0.0006216173317065155,0.0025340239888423373,0.0017101199043416811,0.013971951508948189
BaumgärtnerKlaus+BierwischManfred,0.0002425784926212,0.0005145255746564,0.0011174490659537,0.00054217668206,0.0003749092081411,0.0004970600904549,0.0005809040141127,0.0002945130017084,0.0254732714400786,0.0004801871387658,0.0002787660088457,0.0003930427919079,0.0002101353771199,0.0003030302897021,0.0008085542239357,0.0002359088220859,0.0007801060830623,0.0004165041212512,0.0004462604552184,0.0009320458925511,0.0008711420659454,9.826374831703811e-05,0.0006909425755582,0.000184440453174,0.0005207491942357,0.0002470943162224,0.0006452178247669,0.2466991375514248,0.0005558864582969,0.0008191834221295,0.0002399100696892,0.0022562630989953,0.0005392171438723,0.0002446224461723,0.0003625882559851,0.0001173759159383,0.0151717631277141,0.0005748913883484,0.0003200574247266,0.0003731649981065,0.0005534197538084,0.0012533008164934,0.0035286955297473,0.000305279021408,0.0006062404134593,0.0006057744928917,0.000537718528599,0.0004068862125776,0.0004486985874224,0.0008418071180734,0.0003092718549967,0.0006467003845687,0.000527351193541,0.0004479926710077,0.0004554034222204,0.0004211936933004,0.0003361237690604,0.0003923295337476,0.0001995529230463,0.0003658761914465,0.0002904582289162,0.0010608163852431,0.0015589105864677,0.0005704839781435,0.0004358012594371,0.0008201805344465,0.0003673818374158,0.0004184557670371,0.0002923735571332,0.0003711693265928,0.0004636122086988,0.0005246084461529,0.000338202771462,0.0005496764923317,0.0002403342269605,0.0265414064712123,0.0003328725895382,0.0006665449670661,0.0003739974600568,0.0004231380418132,0.0005583202972236,0.0004132052519181,0.0011335100105773,0.0004670862070551,0.0003206629945916,0.0004271883284879,0.0002898969711893,0.0001478570607535,0.0004902900330528,0.0011076909265178,0.000686006904571,0.0139500033635467,0.0003206375250179,0.2072835503265821,0.0003829836221635,7.459204796692593e-05,0.0007526432687928,0.4143574786925653,0.0002185199085822,0.0003339947574455
BaumgärtnerSabine,4.0658619244105045e-05,8.623971237210748e-05,0.0001872958134348,9.087431882650353e-05,6.283859125435103e-05,8.331231982220444e-05,9.73654130338004e-05,4.936337046830617e-05,0.0119768923872242,8.04842417397778e-05,4.672401452159328e-05,6.587796407729518e-05,3.5220823559893206e-05,5.079095444651702e-05,0.0001355219004536,3.95407147182472e-05,0.0001307537030942,6.981032117302979e-05,7.479778498236883e-05,0.0001562203584241,0.0078533256191717,1.647000228729955e-05,0.0001158089935987,3.0914093322041225e-05,8.72828542271796e-05,4.141551714710597e-05,0.0001081450609377,0.141544354876953,9.317221657462592e-05,0.0001373034620322,4.0211364457407537e-05,0.0080854859730483,0.4625291799115476,4.1001206619803e-05,6.077347452853279e-05,1.9673395703794485e-05,0.0025429416004934,9.635763588520494e-05,5.364487522201507e-05,6.254624393652343e-05,9.2758771847917e-05,0.0002100659466777,0.0005914452119067,5.116786472090118e-05,0.0001016120509072,0.0001015339578877,9.012708702477364e-05,6.819826198979065e-05,7.52064407039722e-05,0.0001410954232623,5.183710418575777e-05,0.0001083935530189,8.838941636756018e-05,7.50881219428504e-05,7.633023911743638e-05,7.059634108067472e-05,5.633775771894982e-05,6.575841476504482e-05,3.344709677069045e-05,6.132456590757454e-05,4.868374936381338e-05,0.000177803600927,0.0002612892482177,9.561890916859618e-05,7.304471753490119e-05,0.0001374705881842,6.157692746494562e-05,7.013743682969626e-05,4.900477782706165e-05,6.221174912069827e-05,7.770611510822986e-05,8.792970404709962e-05,5.668621963798623e-05,9.213136320394523e-05,4.028245752426799e-05,0.0429851761102971,5.579282700865092e-05,0.0001117197066078,6.268577301475094e-05,7.092223364024377e-05,9.358015269935364e-05,6.92573971660367e-05,0.0078973011515752,7.828839251830248e-05,5.3746374882199255e-05,7.160110282588203e-05,4.858967686806032e-05,2.478234517319664e-05,8.21775894378361e-05,0.0001856602501515,0.0001149817250094,0.1179478626648949,5.374210592294742e-05,0.1888890956369838,6.419194505669471e-05,1.2502384874082916e-05,0.0001261506564816,8.470183043658164e-05,3.66261561950455e-05,5.598091374783363e-05
BierwischHedwig,0.0001060433904404,0.0002249252842465,0.0004884937915057,0.0002370129889182,0.0001638918731378,0.0002172902332557,0.0002539426744364,0.0001287466044186,0.0513391736965996,0.0002099142083472,0.0001218627933504,0.0001718189844109,9.186085543076956e-05,0.0001324699439713,0.0003534601535966,0.0001031277384012,0.0003410240250786,0.0001820751241079,0.0001950831303283,0.0004074446395649,0.0003808204809502,4.295607956143588e-05,0.0003020461233811,8.062829798968955e-05,0.0002276459447381,0.0001080174864954,0.0002820575104231,0.0475394660596382,0.0002430062290386,0.0003581067164553,0.0001048768871294,0.0009863272961995,0.0002357192243302,0.0001069369064407,0.000158505758623,5.131097958301313e-05,0.0468358607429659,0.0002513142500671,0.0001399133702535,0.0001631293902659,0.0002419279071134,0.0005478814975997,0.0015425721949345,0.0001334529789127,0.0002650185025498,0.000264814824985,0.0002350641034131,0.0001778706473067,0.0001961489618555,0.0204697526007079,0.0001351984494473,0.0002827056126774,0.0002305320142427,0.0001958403699059,0.0001990799859815,0.0001841251744419,0.0001469367860837,0.0001715071830111,8.723472680321027e-05,0.0001599430823532,0.0001269740571094,0.0004637367678826,0.0006814790635242,0.0002493875470188,0.0001905108841661,0.2415796136052768,0.0001606012767449,0.0001829282876915,0.0001278113444375,0.0001622569807986,0.0002026684638394,0.0002293330199336,0.0001478456237182,0.0002402915372357,0.0001050623078344,0.554350007734015,0.000145515530243,0.0002913806884731,0.0001634933017021,0.0001849751480164,0.0002440701837561,0.0001806330206266,0.0004955148468481,0.0002041871251193,0.0001401780956253,0.0001867457342156,0.0001267287028258,6.463583747038734e-05,0.0002143306970139,0.0004842280127098,0.0002998884906911,0.0060982556093162,0.0001401669615799,0.0102071533018962,0.0001674216099645,3.260797600331448e-05,0.0003290186329075,0.0002209142721272,9.552616035500965e-05,0.00014600608688
BierwischManfred,0.006013688966000991,0.0028156188671515044,0.007581128987876435,0.0008130667689242358,0.002135944954229532,0.0028405966081099707,0.001256523358341673,0.0005437072423921056,0.16805476058032306,0.00782431487485877,0.00012851729514600576,0.0025439029427479745,0.00659384788494173,0.0017220103987029617,0.01778768932582472,0.00445198694067609,0.0013648380602971782,0.0009361205769805469,0.00038052722199107637,0.008776518375698924,0.0005825278218443933,0.0001571805471015561,0.004379573330906929,0.003603266199886938,0.005324871837885436,0.0029574434918840592,0.004457538110558616,0.04451121535902098,0.0008003215189058894,0.005856498239355405,0.0008042059140603724,0.005640622460597127,0.006244360788715433,0.004272971282335035,0.0013834472497596367,3.74200765274598e-05,0.18032808998598207,0.0077514998535838115,0.001033359202796792,0.007776118258308057,0.006025692182161037,0.021567396808462966,0.017129205596950938,0.0005628358863221584,0.00019327272110567355,0.0016950499619083044,0.005881459362937181,0.010275587325485338,0.0008429141700585896,0.0010499088107788065,0.0010681186992452909,0.0037233507618602162,0.0009298755546099526,0.002279678361585828,0.0010414959496669568,0.0028314161085039474,0.0009735818481608131,0.003983561033324922,6.36185506368417e-05,0.0009517758250300124,0.004097731309144574,0.0038431174291021055,0.016046785964012253,0.008297376946155243,0.004763406531870159,0.008859835587994837,0.006943809888777343,0.006698843536133615,0.0014956504750681583,0.0021353646958263274,0.000535928214011745,0.0053217975940938285,0.003480964531889219,0.0014840111498399275,0.0005314009416916056,0.07148290071802794,0.00031953484523789964,0.0013865389380813315,0.00011923241207120254,0.0043251956337969355,0.0035316644496272663,0.004429098136611804,0.023684981728883538,0.00043443534328182576,0.0001297714295506526,0.005821792428644901,0.006775854569141939,0.00040247309068801177,0.004409964786335557,0.0010524697158855179,0.0034037415569002725,0.06088030658140837,0.002629673186717162,0.0897104751300377,0.003089989387105941,2.378034813144753e-05,0.013127726891756676,0.004352470320321814,0.0004964918565725662,0.0039057744395405948
BierwischManfred+BaumgärtnerKlaus,0.00013846909251100722,0.09296223466883312,0.0006378642905144,0.00030948627116216665,0.0002140063501276,0.0002837327369999,0.0003315926766673,0.00016811444262265874,0.2006978664719106,0.0002741012882959,0.0001591257157659643,0.00022435739510696668,0.0001199498548277742,0.00017297629631126668,0.010758043963504734,0.092491715240558,0.0004453015608132333,0.00023774963342196667,0.00025473519762583336,0.0005320321168031001,0.0004972668846944667,5.6091089977367986e-05,0.0003944050867038667,0.00010528263201471773,0.00029725499392993336,0.0001410468230807951,0.0003683044020184667,0.0705783433054852,0.00031731211035153335,0.00046760775795343334,0.0001369458985219714,0.0012879241700615666,0.000307796902238,0.00013963582576216528,0.00020697328200403332,6.700073195693163e-05,0.0349087974178392,0.00032816053878813333,0.00018269575622476667,0.00021301071701093337,0.0003159040616480667,0.0007154114316891666,0.03844228539801377,0.00017425992139796665,0.017663002747335965,0.00034578928820376667,0.0003069414599657667,0.00023225952145243336,0.0002561269366463,0.0004805218568611667,0.00017653911786586667,0.0003691506794775,0.00030102355907636667,0.00025572398416576664,0.0002599542025340667,0.0002404265433940667,0.00019186677586396667,0.000223950251798,0.00011390915931401776,0.00020885010725203333,0.00016579988990691208,0.0006055371216061666,0.0008898601515801001,0.0003256446929487333,0.0002487648606327,0.00046817693140396665,0.00020970956279883334,0.00023886367538813333,0.00016689320101293567,0.0002118715441994,0.00026463995683153333,0.0002994579390673,0.00019305351576313334,0.00031376732638309997,0.00013718801674031064,0.13309260964401304,0.0001900109317074,0.00038047839983709996,0.00021348590444230002,0.00024153641991766668,0.0003187013986757,0.0002358665668816,0.0006470322278812667,0.0002666229908367,0.00018304142870693334,0.00024384841185973334,0.00016547951175933102,8.440003399583056e-05,0.0002798682406276667,0.0006322941317683,0.00039158769809226665,0.1311314720878233,0.00018302689011896666,0.15139552839928472,0.00021861540169750002,4.257876730500753e-05,0.0004296251876583,0.00028846492607526665,0.0001247359281938442,0.0001906514896155
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.000161094028849,0.0003416914536471,0.000742087108065,0.0003600542864178,0.0002489735760967,0.0003300927946504,0.0003857727327628,0.0001955832336204,0.0779910402167438,0.0003188876307598,0.0001851258080874,0.0002610159135475,0.000139548869886,0.0002012394821317,0.0005369530335077,0.0001566647652073,0.0005180608985248,0.0002765963552645,0.000296357248618,0.0006189626552659,0.0005785170135513,6.525600408818984e-05,0.0004588482762723,0.0001224851196141,0.0003458244991665,0.0001640929435905,0.0004284829118763,0.011144291189194,0.0003691588161094,0.0005440117811401,0.0001593219550095,0.0014983624839654,0.0003580888857549,0.0001624513986173,0.0002407913510337,7.7948209604401e-05,0.0406126646483684,0.0003817798061935,0.000212547037683,0.0002478152630962,0.0003675207015357,0.0008323049405866,0.1244923470012959,0.0002027328430904,0.0004025983903187,0.0004022889769798,0.0003570936698582,0.0002702091952133,0.0002979763886141,0.0005590359586246,0.000205384445227,0.092041198308168,0.0003502088229994,0.0002975075963562,0.0003024290045023,0.0002797106546684,0.0002232165414368,0.0002605422457074,0.0001325211645713,0.0002429748371472,0.0001928904982583,0.0007044778929956,0.0010352574305983,0.0003788528877391,0.0002894113979421,0.0005446739537781,0.0002439747220611,0.0002778924243394,0.0001941624491873,0.0002464899569615,0.0613823676085957,0.0003483873910081,0.0002245971868074,0.0003650348378228,0.0001596036337477,0.1092376219658588,0.0002210574645867,0.0004426460606356,0.0002483680930194,0.0002810018776949,0.0003707751049817,0.0002744056080726,0.0007527530259235,0.0003101874288245,0.0002129491907686,0.0002836916338698,0.0001925177724347,9.819044282611388e-05,0.0003255968650622,0.000735606822122,0.0004555705449458,0.3146364983433564,0.0612874195051233,0.0765805120891402,0.0002543357162906,4.953585702197535e-05,0.0004998231094017,0.000335598192206,0.0001451169560699,0.0002218026854316
