year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000133289230798395,0.00028271557519797015,0.010312577277728345,0.00029790898660357975,0.00020600078528147748,0.002681504587296146,0.0018157107915008292,0.0001618256055335557,0.07392643364092463,0.0002638476877062561,0.0001531731296138009,0.00021596461763022295,0.00011546276208246525,0.0001665055866518141,0.003649995343064091,0.00012962445719987917,0.0004286436881891804,0.00022885587813685086,0.018203474333818057,0.0005121298213396886,0.019847818899224098,5.3992830473218827e-05,0.08695451197602469,0.002509729956596674,0.014962858957617925,0.00013577053343873663,0.00035452684461558263,0.03243875054887471,0.00030544207624103715,0.00045011545351196047,0.00013182301655900424,0.029168656070799163,0.014844144204010083,0.00013441231880868292,0.00019923081067313276,6.449436378562952e-05,0.04990161040494859,0.00031588468589110677,0.0001758614603139573,0.00020504239687963298,0.020492597584457206,0.002185171627093509,0.020667092819237672,0.00016774119379948016,0.00033310998644498315,0.01635295273374487,0.0002954593718864064,0.0008932666717541727,0.00024654572188824133,0.0004625464608844531,0.005062176363174097,0.005204628594565963,0.0026981485930641694,0.00024615784308289944,0.0002502298171400666,0.0002314326500693325,0.01940880791694281,0.0002155727047672404,0.00010964803733837847,0.00020103742750808093,0.00015959763577127776,0.0005828851456678182,0.0008565721994085909,0.00031346295299269737,0.00023945904694053658,0.00045066333528135554,0.0026102504772879424,0.00022992824594149865,0.00016065004821730897,0.00154333690049768,0.003516234441906532,0.0002882557950727059,0.00018583175604297366,0.015309836079111228,0.0028259063707774886,0.10986145171720993,0.0001829029891891436,0.0003662454366534337,0.0002054998084655697,0.0002325010082525611,0.00030677939396824374,0.00022704325348425197,0.012664756724078801,0.0002566491389330583,0.00017619420185519208,0.00023472651303477727,0.00015928924235233472,8.124279148988299e-05,0.0002693989094728869,0.06870139722639429,0.0003769391574851865,0.07541884011307322,0.0001761802071277502,0.23041016599073846,0.006618476923503396,4.098597773346126e-05,0.00041355373792202924,0.0002776740094966303,0.00012006979767386489,0.00018351958506118634
1955,0.00011898048752815079,0.0014798865889825358,0.012206165122611452,0.00026592813427458615,0.0001838863778953533,0.00024379923897647405,0.0002849232100477978,0.00014445345153237638,0.17214657082188542,0.00023552335270019404,0.00013672982827268979,0.00019278058205123483,0.00010306770953384714,0.0001486310316094305,0.19131558860668457,0.00011570913134415987,0.0003826283240673454,0.00020428795178203187,0.00021888291065168342,0.015022013531417872,0.0027639994492948067,0.001330329508384288,0.01323391647936158,9.046480090393754e-05,0.000255418328065919,0.00012119541964296813,0.01663607914617213,0.04892194360865289,0.0013187319528283547,0.0017351725251118465,0.00011767167297517704,0.0011066573982280688,0.00026447653280476876,0.0005851046585836375,0.00017784316739267043,5.757082398982625e-05,0.08410921623684908,0.0002819741227770256,0.00542082796378694,0.00018303087352630534,0.0011548736238883863,0.022261701243861946,0.009013193844138963,0.00014973399499172227,0.00029735026866249323,0.00029712174281224375,0.0023559003168436006,0.00019957053660385568,0.00022007877164968755,0.00274961117289939,0.0025791693098637953,0.007987424560870503,0.00025865649270086954,0.00021973253205416192,0.0002233673752865783,0.0054704335261418924,0.00016486280164604053,0.01168832319891387,9.787720178801967e-05,0.000179455841953922,0.00014246465673681862,0.0009294854063668473,0.0007646182461871125,0.00027981236552786313,0.0002137528589320611,0.001324835604030284,0.00018019433484148392,0.00020524519974154736,0.00014340409156706938,0.0010003992563514272,0.002293579970645905,0.00025731122330837454,0.0001658825157874104,0.00026960665941030103,0.0027498024255049806,0.07631023985562406,0.00016326815522701003,0.0023513217873777706,0.00018343918148314536,0.010808713299331661,0.007556276994304595,0.00020266991434885238,0.011439728597623006,0.0002290975759333719,0.00015727956347857255,0.00020952836766614474,0.00014218936968538927,7.252128984250645e-05,0.00024047864479851712,0.0005433029327682733,0.00033647433072724037,0.11305676282656357,0.00015726707110025892,0.1195118754615957,0.003052062022279158,3.658608863848383e-05,0.0003691582963028438,0.0002478654038733033,0.0001071801748653946,0.00016381855886446036
1956,0.00012676572026754424,0.00026887876316902,0.00058395216400788,0.00028332857076876,0.0001959185882120373,0.00025975171871958,0.000303566548541,0.00015390545297858674,0.14809396298085303,0.00025093431759390004,0.0001456764510142133,0.0002053947655201932,0.00010981172381137519,0.00015835638403834037,0.007379803518274721,0.00012328030991553602,0.0102243629952121,0.00021765509528191997,0.00023320504394847997,0.0004870648985199399,0.0004552380149273,5.135028541483609e-05,0.00036107006976472,9.638417091485504e-05,0.00027213107795634,0.00012912558170961262,0.00033717540826574,0.0970596739941604,0.00029049297203368005,0.00042808566998412003,0.00012537126624443204,0.00117906914898624,0.00028178198687349996,0.00012783384152303994,0.0001894799532054309,6.133784724777331e-05,0.0454218892352689,0.00030042449407664004,0.0001672543576886636,0.0001950071057514388,0.00724647634437194,0.00065494504066688,0.0202884754969473,0.00015953151746136334,0.00031680674505414,0.00522491237025428,0.0002809988463631,0.00021262900617027999,0.008440129500636299,0.00043990827255886,0.00016161807682742602,0.0003379501585706,0.00027558112494156003,0.00023411025850322002,0.00023798293989824,0.00022010575350863999,0.00017565024509622274,0.00020502203385942114,0.00010428158633569565,0.00019119814966404462,0.00015178652566569047,0.00055435727913828,0.0008146493994209001,0.00029812128688338,0.10628340492121251,0.0661335808064953,0.00019198496424807543,0.00021867497870638005,0.00015278743039701256,0.0001939642155342642,0.00024227265544229996,0.00027414783073478004,0.00017673668204300978,0.02490419883357766,0.014256173816398479,0.06582171068158701,0.00017395125641258527,0.00034832046290594003,0.00019544213046276086,0.0002211218235526,0.00029176483806443997,0.00021593118504338,0.00059234522965602,0.00024408808392106,0.000167570814021155,0.00513158751067652,0.00015149322579711863,7.726656473349692e-05,0.00025621384859122,0.0005788527936528,0.00035849080611716005,0.17192758985584317,0.00016755750423088852,0.16038800259231972,0.0002001380839233839,3.898002079485752e-05,0.00039331337680472,0.00026408394438602004,0.014028738105733721,0.0001745376745303077
1957,9.527119439337099e-05,0.0017562131274734866,0.005206209780958253,0.010299017097389097,0.001485971372765249,0.002911367790855638,0.009238162641164973,0.0008491048590385222,0.14993715454086073,0.003752642489264135,0.00010948361634219937,0.004158816757646189,8.252936254237453e-05,0.00011901326175015857,0.0003175546430921768,9.265172276899013e-05,0.0007832619994877138,0.0001635794034029705,0.002058584405712306,0.004273498375811814,0.0020226373378617133,3.8592476054147626e-05,0.0027707153138480504,0.004556992304771588,0.0013803256924151,9.704475602909153e-05,0.0006201236426892167,0.02533248243274095,0.00021832094946583306,0.015095540134610603,9.422318788161963e-05,0.002406479619764197,0.0009452108890704567,0.0019702933023727277,0.00014240428261980337,4.609866102981154e-05,0.051856931358423355,0.00022578501755284304,0.00012570056314013936,0.00014655823231172056,0.01156538621662256,0.015750122513929904,0.027759127490958865,0.0013656995634336881,0.018576638445386297,0.0002379141648017134,0.00021118560806243286,0.0015775157141481259,0.00017622357977589752,0.0019255717948729349,0.00012146459770363492,0.0028381160195584954,0.0004534867801070792,0.00985115488629431,0.00017885686194578723,0.002048739590857961,0.003145319939476456,0.00015408498450149343,7.837316951672488e-05,0.0029293071992112073,0.00011407566306153601,0.0026928921951731247,0.004824355738939058,0.0013998587194967572,0.007132544421027301,0.00032212080424183953,0.0010780911166050258,0.009466275003880023,0.0001148278963074458,0.00014577444473569455,0.0006111017944363061,0.01252468062544929,0.00013282703522546382,0.00021588202395244284,9.43897730121226e-05,0.09192084034196164,0.00013073363942301487,0.0011652148957379802,0.00014688517656566804,0.0006430650212536458,0.003845448596470317,0.00016228379298790295,0.12731282448962977,0.0028241622148321498,0.00012593839693863734,0.0018391532493272872,0.021557612305915026,5.806994109524608e-05,0.0061464948132966685,0.029549291972508926,0.00026942494552739573,0.13303031151267708,0.00012592839392194948,0.1041501289119997,0.0005927547617453913,0.004708269271119048,0.0013341379967229026,0.0001984731577958801,0.0008391496900099673,0.01772686753645109
1958,0.00011548190036147343,0.0002449450093611155,0.003359833341265765,0.0021121267802394045,0.0001784792516077022,0.0007374823415672193,0.004368967712446963,0.008066661023373022,0.17644335466377353,0.00022859785595422588,0.00013270932682379113,0.005667065755671242,0.00010003703304760208,0.0019787874761311814,0.0036699530119961386,0.00011230673746933985,0.006589174455267802,0.0009909264414780538,0.0010050158469596048,0.004745434484648498,0.0019172716796625672,4.677943320397493e-05,0.006706909850003709,8.780470933721505e-05,0.0011690577491299664,0.00042338618593949843,0.0024369396222024766,0.054355072865935265,0.0025482642761891637,0.008692249296844517,0.00011421157112565914,0.0017733440526647346,0.0002566996760883462,0.0017426838050856595,0.0024439649941462023,5.587797039533919e-05,0.05024815673615252,0.03179184607555034,0.003959778567601531,0.014777172376309213,0.005670041213034506,0.04276046668790047,0.0231494149681723,0.0008313913270668877,0.0028536965693874688,0.0009744451803660205,0.001503967968038247,0.0024629191705809383,0.00021360741838709492,0.0053919445803403306,0.0010509558227218955,0.0013286869920562446,0.01224032245984885,0.00021327135986771252,0.00021679932157570053,0.008460493098191637,0.0001600150581707661,0.001657795424033104,9.499915069578212e-05,0.0004041381674054432,0.00099890183798057,0.001687272853115345,0.003028997098216561,0.0005015437361399603,0.0024469853682867354,0.0003904550883052979,0.0010786196569193308,0.0011376502240220269,0.0028378796845139704,0.00017669884385735932,0.0028506020605418786,0.0002497450604659526,0.0026589338049752263,0.006784712083990922,0.00011441349540680812,0.09208709119133728,0.03619364635635797,0.0007989415521067354,0.00017804520487794438,0.00020143906681836137,0.0009635369215284942,0.00019671046355029234,0.01179301968402889,0.0035708943365788427,0.005594953348201811,0.0035444468840278532,0.00013800833198454246,7.038882208056481e-05,0.003910965072672803,0.0005273272656005613,0.000627821694344439,0.1796042978650971,0.00015264267790670292,0.09873661314077892,0.00018232315658680504,3.551028517819619e-05,0.00035830330230551935,0.009952721613467618,0.00010402857251363416,0.005498728412473449
1959,0.00012189980249257659,0.0002585578187508496,0.0005615370883188572,0.0017764088034744618,0.00018839822908959503,0.0002497811170259717,0.0025418527193986763,0.014659852164083439,0.13573107322277747,0.00024130217292774386,0.0001400846425120183,0.0009012834475798959,0.0026296850458721738,0.011077470344862448,0.0026562508068588156,0.010013946752339539,0.0003920165238929987,0.000714118069379285,0.017991892597311338,0.00046836885244166076,0.004124694742895531,4.9379198388925265e-05,0.0005551575459155502,9.268445265121295e-05,0.0011834180668353859,0.015455319182124299,0.00032423288871948844,0.06116107129070757,0.01508562806477621,0.0011068431152603134,0.00012055887475878392,0.0014224179577501785,0.00707711774640387,0.00012292692378224683,0.00018220674188019857,5.8983386431616965e-05,0.05471192761605701,0.010570749347573126,0.0010240517913466687,0.0005639630471557037,0.0002781028027496464,0.015437849695218246,0.05745238557284544,0.0001534078805282923,0.013298516344307457,0.0003044119461730728,0.0002702126710597785,0.0033328202644331848,0.006180700824743836,0.00042302233937223057,0.0001554143470562431,0.0003249779001385355,0.0017081852349009167,0.00022512390741600863,0.0023401662917024004,0.0011333897408699306,0.0018324854505768014,0.0029779105034868233,0.00010027872480909102,0.0001838589851562784,0.00014596018119596732,0.00101736007774105,0.0007833789819560571,0.005048425739461636,0.0010463008613948155,0.03797411731206527,0.00018461559776566618,0.0014796086697384926,0.00014692266607597057,0.00959697000440685,0.005583676440630833,0.00026362463250956036,0.0014493177070516252,0.0018462945493162564,0.00012077202097402334,0.09525900938951638,0.00016727411602506472,0.00033495013906559084,0.008846165755302808,0.00021263403513960326,0.002453605562101772,0.0002076426399284255,0.0065935297945288246,0.00023471873277709424,0.004873310104791536,0.0002146693728167299,0.00014567813967892725,0.010630892459353105,0.00024637904847793615,0.00941508431341559,0.00399427484347803,0.1835658600188421,0.008926034903359137,0.10338633441767284,0.00019245575893874303,3.748376789893597e-05,0.00037821599442658453,0.0002539470496769648,0.00010980995639407156,0.006210360613757489
1960,0.030331717357505637,0.01368180169298168,0.000480045908035204,0.000991252582809593,0.00016105757008197562,0.00021353247296941946,0.0020596676976371315,0.0001265200944193797,0.10659295178138799,0.0009481838613073488,0.0010554957447476616,0.0017779215740968619,9.027223789726812e-05,0.00013017904351464866,0.010898236714905645,0.001463118305071791,0.005604447618857445,0.0018200564340988662,0.007171150869554528,0.009475361396845128,0.000374234671463552,4.221320839132573e-05,0.0057439187398559445,0.012938831406276418,0.0002237090954943099,0.0040089822025969665,0.007960426062063278,0.04050001775215048,0.00023880374306801575,0.00134111351846182,0.0001030631737585694,0.000969270010708888,0.00023164275790718629,0.00010508756763633735,0.0038991363300335813,5.042362096389517e-05,0.0775040929469683,0.0002469680873604823,0.0010927530080809935,0.00016030827338880957,0.00023774406935927206,0.000538406578720784,0.06823937836517406,0.0051443623240747405,0.010838130145633933,0.002212052353539467,0.004663602615477342,0.00017479459899776502,0.016310101710383273,0.000983006840392348,0.00013286036293287616,0.006887295272177891,0.00022654525407007334,0.005976450777551381,0.0001956371489339967,0.019894607573671935,0.009307959285226649,0.00041584113418646545,8.57261123244988e-05,0.0004044770200515098,0.00012477820107834387,0.000455717025883424,0.001970637990781636,0.00024507470420920524,0.00018721623891719143,0.0033433431198332357,0.00015782388039978866,0.00017976477387668854,0.00012560100857904812,0.00015945095114198852,0.0026421430577353443,0.00022536699485401296,0.004154469247863366,0.016604905436196152,0.001025468567002272,0.0680046870997579,0.00014299902284002923,0.00028634162729238835,0.04719617818322981,0.00018177623633616687,0.001970948957847693,0.0016730097288783405,0.0026002972657322397,0.009391554250820312,0.00013775389241626963,0.00018351620248213725,0.0001245370898873577,0.007762693695991449,0.00021062411817093633,0.0032461712652743033,0.0020925675371965915,0.1746663970711029,0.005351434040300417,0.11420343122583705,0.004648896336325332,3.204406222124379e-05,0.000323328670990368,0.012438306803116672,9.38741559997655e-05,0.00575792358336235
1961,5.983318437810077e-05,0.009393763501782346,0.0008528559195476037,0.0013350660524813036,9.247320953051517e-05,0.00012260232849917846,0.025606719629404917,0.0002446888530940672,0.08951459826142226,0.019086239868700536,0.0013756642965885143,9.694594760891838e-05,5.183092955900673e-05,0.00023142462104236517,0.0029683247791680283,5.818807716943767e-05,0.00019241702179768175,0.0009630167226851329,0.01851960000579655,0.002056481237129311,0.00021487149700703839,2.423723928369005e-05,0.0001704244018970297,4.5493149546334497e-05,0.0028811776080809957,0.00016891033254279886,0.00015914616607662862,0.08026769740667465,0.0004327595970299172,0.05491890271434549,5.917500467072561e-05,0.01635610612359083,0.00033053506951650314,6.033733562565541e-05,0.03485591446213057,2.8951349907418162e-05,0.06389256001035265,0.0011039835497571701,7.894374599462606e-05,9.20429915030576e-05,0.0008246867793332518,0.003236135953721965,0.007589462684055284,7.529857975988684e-05,0.005575705435317607,0.009709405582221118,0.023160425684281345,0.0009606444179651802,0.001933048696154797,0.0009114062566790824,7.628343190288396e-05,0.00015951184678069714,0.0035213608064963747,0.0007084402021056614,0.0030900866833966575,0.013748087803471958,0.00610489404474501,9.677001895775275e-05,4.922071494798883e-05,0.0013352020163667543,7.16429580260407e-05,0.0002616556055060819,0.006042275131422856,0.00040296318424995215,0.00010749253499908181,0.002742084168204622,9.061654632998939e-05,0.0006320877056286455,0.0008111039048781435,9.155074925870627e-05,0.00011435224311631643,0.0036152764327787275,8.341938546742206e-05,0.00013558042412829656,5.9279625158495866e-05,0.08865976670603691,8.210466974644179e-05,0.0010828905851711782,0.0002167440068641532,0.00010436908977222598,0.021463238299117313,0.0024521296491558844,0.010337789711111996,0.012489082800702411,7.909311279543973e-05,0.00026204881507715954,7.150452103314736e-05,0.015583184579717293,0.0009675266553293109,0.005195419487887513,0.005247974686704043,0.13433378718589933,7.90868305991769e-05,0.15211173628404331,0.009747345450981576,0.0019300725254890049,0.0009223016845235761,0.004284354466500066,0.00512170429699665,8.238145800817374e-05
1962,0.00010322516907758286,0.0037023244892503714,0.0013207966170739078,0.0039456444339165545,0.007788788140819765,0.0019933916157563033,0.0031356198550693956,0.008622501388646182,0.15573035885808062,0.003826399611483091,0.0008088382548747231,0.0068940522562040375,8.941955075242895e-05,0.004918004730066477,0.0006577301478079987,0.00026501966083072414,0.006351693123058864,0.0034165257648981215,0.000973880984067123,0.0013577516677992512,0.0006843633439493483,0.0010992214437807646,0.0002940189108037872,0.005250324072408614,0.0002215959998809309,0.0008224405280219872,0.004148826660190839,0.1277611788023072,0.00023654806749602713,0.0012858080630238806,0.016572888362296916,0.004280420071155907,0.00022945472306431554,0.0001040949388936321,0.006357040239419818,4.9947333077457835e-05,0.0517174701443415,0.00024463529360037594,0.008137884547146087,0.0006742236836837386,0.0008628255871381413,0.0009474493964884842,0.018909247204696007,0.000129906317168402,0.0022575667255623857,0.02365894343071749,0.0008043734115726539,0.000525612526468982,0.0001909360844445646,0.00035821676173718636,0.00013160539987700534,0.00027519239574094083,0.00272622122923764,0.00019063569367012043,0.0004362646536611824,0.008630599344504311,0.00014303177712641992,0.00016694918835396226,8.491636665231085e-05,0.00015569241656765637,0.00012359957993751103,0.020666234968429967,0.0008948961586322294,0.0024771887281580785,0.008880142317428598,0.0007014829253355153,0.00015633311870936591,0.0012578299278629818,0.0010163726171038999,0.001941860823946982,0.0011635820650188224,0.00022323823917165143,0.00014391646138718937,0.0008036728803325168,0.0001022701598359441,0.15708639155178075,0.0010336062944275074,0.0005792212740162358,0.0001591482848780084,0.0008973529538631653,0.001209812508404353,0.0001758324966575128,0.000968460368171089,0.0001987606245553033,0.010717908695756109,0.0006678971390529032,0.007558056284517304,6.291806800629115e-05,0.000841317809270413,0.0006710673736054672,0.00029191861960871384,0.1376346441271492,0.00013644186825863473,0.1128229593516894,0.00016297219396739585,0.007249768506941427,0.0014315691855180444,0.008993702730744887,9.298744611067624e-05,0.00014212581229196635
1963,8.178032689301708e-05,0.0020532193724030093,0.0021199212802627135,0.00018278366648885616,0.0001263928935565822,0.0034211466479084364,0.009955055066135504,9.928897361719238e-05,0.10679970525555829,0.01610678349900862,9.398020032084766e-05,0.0001325062566670618,7.084280080630214e-05,0.00010216040128924596,0.0010771343360021196,0.01631615380078408,0.0009456053589616641,0.0001404157591225824,0.0013353512959823387,0.001522021883847364,0.0002936875489391738,3.312759252589727e-05,0.00023293701384193968,0.011294708370119845,0.001075576206942656,8.330274351913924e-05,0.028443469859463274,0.1130907522321542,0.000383027586284665,0.0002761707656898903,8.088072323355757e-05,0.004647563047734332,0.024551673723581368,0.0034841170802187385,0.0009726510582533307,3.957086496451999e-05,0.12339631458645059,0.0003944588046239379,0.0001079007480665444,0.0009281283036118827,0.000989158239139734,0.004474023299024913,0.018442388625033886,0.00010291851472304518,0.00020438142991464743,0.005477339565542827,0.007113535349632122,0.012893352067237759,0.008176035262188346,0.0002837978773510668,0.013083158635156307,0.010827363530302454,0.01027765047159504,0.012832951088109253,0.0011567601088779676,0.00014199675144810188,0.00011331718411326376,0.00013226579641490474,6.727514505860145e-05,0.0006213801870870718,9.792199074561357e-05,0.010987656194731115,0.01642808489896631,0.002541651858824777,0.0004602143414783786,0.00027650692150631856,0.0008884102014896911,0.00014107371617649096,0.0002590323909678457,0.00343887620890739,0.007031414810688319,0.0027572144862245255,0.005817709228041931,0.0028547177909343286,8.102371909411361e-05,0.08805216746096896,0.008321480407046368,0.0038569848740672556,0.00012608551652749329,0.00014265224837715278,0.00428766300136123,0.04118020012895716,0.00545996482494235,0.0005594137614942334,0.0013612767070869303,0.00014401771884691236,9.773277429907762e-05,4.984695317054216e-05,0.009167103553972118,0.002117641289062143,0.00023127305434408706,0.05434248467430434,0.0004598933659280383,0.13845805874506162,0.000604422611354689,2.514716783190472e-05,0.0016824108552863585,0.00017036838708055062,7.366947235670832e-05,0.0010632146237051572
