receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumannSabine,0.0480738603272711,0.0015540971930909,0.0005502870785202,0.0006286252973029,0.0004857654686419,0.1956354950107491,0.001023390021449,0.0005628604064716,0.6635908454666085,0.0004738638289197,0.0010602974432484,0.0005366045479531,0.0006428648585378,0.0003465519358587,0.0820048077509833,0.0008847217867059,0.0005530075655688,0.0004492941852934,0.0004304626731967,0.0005122971536279
BaumgärtnerKlaus,0.03943860390558441,0.04332541324778351,0.016207902491655934,0.03299667662454959,0.02504699052375743,0.6208590680375637,0.0021620317338984594,0.004071638990254902,0.020880439381753577,0.0025497507349621315,0.0059770714320019494,0.01780700965899411,0.004720123350399289,0.005599349664391904,0.09897913800990246,0.015721693384619626,0.02131711960752165,0.002216141006388364,0.005256097504758086,0.014867740709257888
BaumgärtnerKlaus+BaumgärtnerSabine,0.015516260754658014,0.03549379194795063,0.014429828879718316,0.011196448073301654,0.041766746829431815,0.5975893940949357,0.004746504809612109,0.003937992013545593,0.005807631134752836,0.008836301211764725,0.01331863443751401,0.01080449576249922,0.015762339189862275,0.024676738306084363,0.02376995857180828,0.023130639260176892,0.03734254650033055,0.055170199501510545,0.035418943135727875,0.021284605584813782
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0005557720160368,0.0011537028644404,0.0004085122742488,0.0004666675992867,0.1174687477321787,0.4262918992445793,0.0007597259710876,0.0004178462364602,0.000770535046553,0.000351778549765,0.0124979380280528,0.0003983548820482,0.4337773337774814,0.0002572670247749,0.0023231948164588,0.0006567839283754,0.0004105318607423,0.0003335389773908,0.0003195591764206,0.0003803099936173
BaumgärtnerSabine,0.0014215053039365751,0.15092305451848023,0.001044857149715475,0.0011936017799023,0.0009223467946227,0.5743630771908633,0.016233721039971376,0.001068730746095525,0.001970807496488675,0.000899748565730025,0.05556704673443655,0.004621641574414875,0.062226636315698726,0.04340919896085735,0.01832101025838895,0.03370123017998108,0.02946862394954885,0.000853096974568025,0.0008173406560530499,0.0009727238102454001
BaumgärtnerSabine+BaumgärtnerKlaus,0.003366257048668625,0.023125521640831623,0.005144281230916475,0.00483533183752455,0.000483699349086275,0.6947483200022275,0.07838281833966776,0.000560466376908025,0.010226205067065125,0.004681228620328275,0.00105578765112925,0.017371843350728347,0.000640130543849825,0.0003450779370302,0.04564249137583825,0.017718479932907,0.004832125068150251,0.00044738319004497496,0.0046380120639281,0.08175453937316862
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,0.1146348492512124,0.0003887903186476,0.0001376659642374,0.0001572639283662,0.0001215245173731,0.2620516067846238,0.0002560226826924,0.0001408114484468,0.0002596652704193,0.0001185470701963,0.0002652558557177,0.0001342429895079,0.0001608262561115,8.669730449903284e-05,0.0007829014565285,0.000221331887669,0.6197337452278566,0.000112400453616,0.0001076893521345,0.000128161980143
BierwischHedwig+BierwischWilhelm,0.0005830856447299,0.0012104020337979,0.0004285887665036,0.0004896021572749,0.0003783363832113,0.5455329443577537,0.3448147453077629,0.0004383814498645,0.0008084032866752,0.0003690668413903,0.000825808184613,0.0004179321853711,0.0987914589544496,0.000269910511289,0.002437369115933,0.0006890618262068,0.0004307076063491,0.0003499308782426,0.0003352640345969,0.0003990004739837
BierwischManfred,0.04951697403066263,0.007539254393434801,0.012977404690463865,0.04045379208084038,0.015399392731572384,0.5305422602642238,0.04241754049667656,0.02067646006013446,0.014795470055075949,0.01772028588326184,0.028684788486344745,0.015257687555097654,0.012298261347706448,0.017994947409726503,0.06818539453440853,0.07027267327863695,0.010964625596216084,0.006503071778184578,0.005722333396045373,0.012077381931285533
BierwischManfred+BaumgärtnerKlaus,0.000552555413882,0.01272228336321795,0.029344292213728397,0.0004639667004251,0.0120693401624238,0.49926718854162333,0.0007553289591382001,0.00041542789752660003,0.00076607547568655,0.00034974258608105,0.00078256905715355,0.0003960493518398,0.0004744764305776,0.0002557780587198,0.0543984086895392,0.0006529827067624,0.13352361943645985,0.0003316085775822,0.00031770968651140003,0.25216059669112034
