sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumgärtnerKlaus,0.00916046553572114,0.18814317348690923,0.007174226153280463,0.0127177154384237,0.01427500377384489,0.5130528383022103,0.011308811361562695,0.012531769891500129,0.024994963250048907,0.0077980829449297365,0.018751028013778964,0.012521777211382965,0.006833573042436464,0.004401922875207264,0.05773554577303961,0.007563327894446277,0.0198080311894994,0.005093818318371079,0.013823503706105475,0.0523104218373004
BaumgärtnerKlaus+BaumannSabine,0.024552228187789214,0.3949675813396805,0.012882895007900233,0.00124286867321195,0.0009604174157379666,0.47400138353150584,0.0020233665485528333,0.00111284348497645,0.028508704987359582,0.0009368864263965667,0.0020963370105439834,0.0010609324591540667,0.0012710220177482667,0.0006851753287177667,0.048102531679395905,0.0017492025820829667,0.0010933632200989334,0.0008883092525124333,0.00085107706259785,0.0010128737840357
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0013041082856797,0.524811886249415,0.0009585661499273,0.0010950264952667,0.0008461734851123,0.4507017541918751,0.0017826822962524,0.0009804681117153,0.0018080455827587,0.0008254415627909,0.0018469727486344,0.0009347320255967,0.0011198309326639,0.0006036720974792,0.0054513317007153,0.0015411307841719,0.0009633050705706,0.0007826427590116,0.0007498394264375,0.0008923900439246
BaumgärtnerKlaus+BaumgärtnerSabine,0.0015779117706179,0.16637098146847537,0.00890424387265116,0.008840057464413903,0.016375157174609176,0.46313602996505443,0.0027815351994984537,0.01026250052902819,0.025856106276595302,0.00054288979817675,0.003680325799240393,0.0027635082082398143,0.010410234844333203,0.05105084785321135,0.07329000750491572,0.01304263239493554,0.029592859888256554,0.011355801797756398,0.036863123673028526,0.06330324451696097
BaumgärtnerKlaus+BierwischManfred,0.0023273814730822,0.2990763883862904,0.0017107084760999,0.0019542429149504,0.00151012650858,0.5101014038639848,0.1012631632082265,0.0017497958898134,0.0032267349559913,0.0014731272099466,0.0032962064605077,0.0016681728216584,0.0019985102420447,0.0010773455478487,0.0587695849018944,0.0027503845148938,0.0017191658076182,0.0013967461731263,0.001338203589411,0.0015926070540305
BaumgärtnerSabine,0.0003696361813842,0.0007673116115214,0.4909596642355135,0.0080990719940046,0.0002398392367106,0.4548721238093562,0.0005052830994509,0.0002779036777567,0.0005124720641056,0.0002339629849578,0.0005235055719089,0.0002649402510152,0.0392608942059015,0.0001711046938131,0.0015451243239826,0.0004368177890826,0.0002730389889426,0.0002218321009119,0.0002125343311466,0.0002529388485325
BierwischHedwig,0.0009807166216116,0.0020358268191083,0.0007208617309397,0.000823482755846,0.1039609858977242,0.7729006286615948,0.1046652600499984,0.0007373324628623,0.0013596879761551,0.000620749265753,0.0013889620165286,0.0007029379724994,0.0008421362099436,0.0004539740039244,0.0040995150997169,0.0011589624824191,0.0007244254980705,0.0005885636729519,0.0005638948829036,0.0006710959194477
BierwischManfred,0.004068157562965348,0.023111336223643045,0.016854055700063434,0.02379812665392913,0.002467052221651935,0.4699509852239293,0.04816391866751168,0.0221347899795802,0.07841844755482048,0.003229816768316211,0.08448869405748985,0.005304034205750386,0.0024799474363175686,0.007931051893083843,0.1322996419074674,0.025869580274628406,0.013182641756252172,0.004094363220187583,0.01827252641397158,0.013880832278439515
BierwischManfred+BaumgärtnerKlaus,0.0013058736989334,0.06809860148793724,0.0009598637916984334,0.0010965088677882668,0.0895136904838319,0.6433488864256772,0.0017850955705084003,0.0068928868366423665,0.0018104931921099666,0.0008265589895346333,0.0018494730549397332,0.006194353712377701,0.0011213468837487333,0.0006044893077779,0.08552219568930697,0.0173182859924784,0.0009646091275707667,0.0007837022476405666,0.06910948653851996,0.0008935981009765666
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0333679242100613,0.2898432085808567,0.0011112470308311,0.001269442846108,0.0009809524078963,0.4587775541708027,0.1613471134195156,0.0011366375477068,0.0020960319594014,0.0009569182949404,0.0021411594631227,0.0010836165956266,0.0012981981463147,0.0006998252817192,0.006319622455847,0.0017866028423425,0.0011167407690511,0.0327633994015912,0.0008692742136701,0.0010345303625938
BierwischManfred+DohertyMonika,0.0003877569099952,0.0008049276409383,0.0002850151727455,0.0003255895962245,0.000251596910709,0.4771713864990139,0.2129636877892955,0.0002915273904187,0.0005375950570973,0.0002454325866066,0.0005491694621682,0.0002779284557111,0.0003329648212,0.0001794927842567,0.3039302735849478,0.0004582319714789,0.000286424219253,0.000232707008457,0.0002229534327638,0.0002653387067182
BierwischManfred+KlemmEberhardt,0.0021194975638553,0.3170230749614483,0.0015579063808386,0.0017796880938189,0.0460357123697402,0.5091991369394555,0.0028972983497805,0.0015935024698774,0.0029385199450666,0.0013415460975531,0.0030017861892483,0.0461796418370065,0.0018200014214877,0.0009811160269622,0.0535202301251437,0.0025047175748386,0.0015656082955256,0.0012719874870126,0.0012186739821138,0.0014503538892256
BierwischManfred+ZeibigBrigitte,0.0009058401329085,0.0018803939851343,0.0006658248384636,0.0007606108763382,0.2678083832547506,0.6184546931776379,0.0012382600324706,0.0006810380505832,0.0012558774980386,0.0005733558349083,0.0012829165020061,0.0006492695365854,0.0007778401625219,0.0004193136559428,0.0610480851560629,0.0010704771449528,0.0388434917911386,0.0005436275719032,0.0005208422131527,0.000619858584499
DohertyMonika,0.054843490355099764,0.005518077362583086,0.0007317883131452428,0.0008359648333934143,0.0006459855351094428,0.4498325883210531,0.18679875468972448,0.0035119390721089568,0.12318221174939155,0.0006301583765299715,0.0673102092883371,0.005871713032388828,0.0488485667992629,0.00046085519078744284,0.028048385101353854,0.004868350093773272,0.0007354060986720715,0.01607184540537206,0.0005724422138671714,0.0006812681680452858
JohnsonUwe,0.046452264163743366,0.017574083383838823,0.01270492405333861,0.023801008232263658,0.019694220847446015,0.5698764639631237,0.02468732175095329,0.017940816446001553,0.013834065178109489,0.030662160703689472,0.017499730222632848,0.019223114763921415,0.02634734840623403,0.01167560593336304,0.057590957333936536,0.0358821932399356,0.01723853650909369,0.012985674942379538,0.010850918779997425,0.013478591145996961
JohnsonUwe+BaumgärtnerKlaus,5.288442972981968e-05,0.0781136685462439,3.8871943958848805e-05,4.440570800532712e-05,3.431417674747315e-05,0.4851859243532621,7.229164760471882e-05,3.976011618491377e-05,0.0011876614421879,3.347345216868874e-05,7.48987653944193e-05,3.790541833580793e-05,4.541158193537235e-05,0.3521563177788926,0.0826823164665607,6.249620798745107e-05,3.9064117506482826e-05,3.1737867512227335e-05,3.0407620970995228e-05,3.6188358810192136e-05
JohnsonUwe+EbelGertrud,0.0013409566991096,0.0027836334687833,0.0009856510493795,0.0011259671690262,0.0008700826579587,0.5482035385589387,0.0018330531243407,0.0010081718651014,0.0583704118224839,0.0008487649419167,0.0018991601445605,0.000961143476627,0.0011514724716615,0.000620729238568,0.0056053625633799,0.3689079883322837,0.0009905238712555,0.0008047568305719,0.0007710266188622,0.0009176050951902
KlemmEberhardt,0.04823862952748772,0.053072166896906435,0.023258395318090208,0.02094169461781847,0.003238245734266859,0.5316096807300625,0.0037930826625501455,0.02900458708453454,0.0059896349476182865,0.0037576152354482587,0.04608948658721592,0.10797714888213501,0.009705849162927627,0.0018699220728604817,0.034173698409632226,0.016981199778875092,0.020005214846544005,0.023139362066238834,0.011596962570833043,0.005557422867953286
KlemmEberhardt+ZiegnerUta+SchmidtElisabeth,0.0019457053280422,0.0040390047457345,0.0014301628826952,0.0016337591821045,0.0012624751153796,0.4264479333616028,0.002659728858495,0.0014628402026796,0.0436960218306456,0.0012315434725366,0.002755649018742,0.4523775684321918,0.0016707669417613,0.0009006675514246,0.049131737015597,0.0022993384912129,0.0014372332642319,0.0011676884526263,0.0011187464900088,0.0013314293622871
KlemmErika,0.034809680795866896,0.00883806137631958,0.0014780977448975866,0.004421748089361246,0.005636278840057673,0.6898572972220748,0.006186866955347126,0.008959911020533028,0.0071194743175100736,0.0012728211950720533,0.00794567695400656,0.012472549093462381,0.005603730846000247,0.010623267034642647,0.13520702668198473,0.005814397360724053,0.01014838363339342,0.0012068259423131467,0.007389346475825287,0.03500855842060645
KlemmIne,0.003088069195664721,0.006649230633493484,0.08323423476511375,0.008224687924713332,0.000906453572119537,0.5925162367958211,0.011997421581816294,0.014523913380298646,0.0036239964012857056,0.003352693487220631,0.004505361705705874,0.008744612432923293,0.03105132304056323,0.0020068211356708554,0.0827933380785486,0.022835298619553288,0.0014989537600876895,0.08423838048559924,0.01583942490396243,0.01836954809983732
MenzhausenJoachim,0.002545054346797878,0.04290909669201657,0.05534053099558826,0.003744434674089745,0.0063855807915363764,0.5162092896089677,0.013476321209865378,0.0093745475970356,0.07886248199903229,0.0005825798336979,0.013467600182997022,0.0019921234809289,0.16006794419251916,0.00042605946442575557,0.07464697165769797,0.008698560502990721,0.0006798810880274111,0.004876506096781589,0.0005292213865231667,0.005185214198479612
MenzhausenJoachim+MenzhausenIngelore,0.0203820640512473,0.0019169838149072,0.0006787808560272,0.0007754112972652,0.1173507784842208,0.4942787713704555,0.001262354836092,0.0006942900959187,0.137490497891132,0.0005845125353469,0.0013078802578957,0.0006619034111926,0.1759203536990088,0.0198860704513739,0.0233188001961733,0.0010913071288919,0.000682136585427,0.0005542058020364,0.0005309770721601,0.0006319201632264
ZeibigBrigitte,0.0006666555848579167,0.0049152851722775665,0.17020700643788356,0.0005597737064115167,0.20443636311606106,0.46023081478054934,0.003010610938290283,0.0005012118622567833,0.012665008144978333,0.00042196283380071734,0.0029918902951099,0.04036472167047222,0.05997697666635097,0.0024079050570014883,0.0033036719878132,0.0013047909841766333,0.00049243817577855,0.000400084235314648,0.02893944983442193,0.00220337851619255
