year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0009887117889119635,0.014191963213434779,0.0008878843563198454,0.0005259897627826236,0.0027162955854312,0.001665723130718525,0.0005526356354822996,0.002157160519797987,0.0003199841760386086,0.011462447518867082,0.0115765229234233,0.0009399759202852183,0.008873813423259365,0.2985319015932426,0.0032067737192174274,0.00038780193533045,0.005270909468558754,0.08632421108025018,0.0004918612362300568,0.00036221687061890553,0.010782493279506937,0.0013200486341771454,0.009581316062568327,0.02642645560906889,0.14637711344150076,0.0004254421392340588,0.010817466071222527,0.0004994946635092802,0.015114851561674348,0.0008252256383351909,0.14030948181063024,0.0401492765248862,0.00028275865233552965,0.032681554744997746,0.0001173229577181844,0.021916178667935493,0.08624028502598692,0.0005086599141655501,0.001378534419186791,0.002811256323156826
1955,0.007811006597907237,0.005926788867321235,0.2498216613193372,0.00046794160598163785,0.0072185347918801435,0.001746166108235679,0.0004916468438895214,0.0004504249065869642,0.00028467076703561,0.0012448627183807438,0.0005158135569580943,0.002971735362101795,0.004606501733077187,0.28971628161154744,0.0006710190127341375,0.00034500416787829204,0.0005453030349666377,0.22766237639671177,0.00043757949885561015,0.00032224266733704796,0.010374807970248624,0.003542210444179107,0.011851051863738244,0.00047675811420476113,0.086096132486371,0.0024253988874457623,0.0006710613332692062,0.00044437050216581227,0.0014137528547403836,0.003377511450280931,0.004399480355412862,0.0012983039172825752,0.00025155344693233945,0.0011172759729056523,0.00010437521248080223,0.051116760264219,0.003386670158402381,0.00045252427703896907,0.013513387252404491,0.00042905166755132813
1956,0.00093461573678554,0.0005397295244153201,0.01280211240570514,0.0004972109316363,0.03192099128430364,0.00047380844971968005,0.09114872793237312,0.00047859857848396,0.01204380234831518,0.00132272775930442,0.05985069973686685,0.00050841636569214,0.00123510602400068,0.33596147254986797,0.00071299064712856,0.0003665838675946,0.00057941124827124,0.20834973870138343,0.00046494970207776,0.00034239865571156,0.00091922865150418,0.0006115865535575,0.02415411462391438,0.01298897266266936,0.06279332382876932,0.006272827478443781,0.00071303561477494,0.00047216547652363997,0.00037789028952914,0.04238805370765508,0.00795830667669548,0.00050609386732806,0.00026728788828934,0.00023937271690864002,0.00011090378793833005,0.0764935603004589,0.0007196160019941,0.00048082926266534,0.00054284969812914,0.00045588846261229997
1957,0.004044935383982411,0.014885630444277301,0.0029521497349198804,0.010343615736006244,0.01145590475117113,0.014494616355799995,0.0003920223756216227,0.009074487309599444,0.001786349819773553,0.00613919240154838,0.0007672629522562142,0.012800822714012396,0.005799555784487592,0.24046555324501562,0.0012470825072489527,0.00027509452195608445,0.011891429138556793,0.1973190069827918,0.0015357554924779232,0.007726907489652706,0.17885307476987658,0.018726261447749137,0.0031560230147660608,0.00298156533422015,0.06525229208146636,0.0016493453524011222,0.0015121832740953279,0.010528031127864115,0.0002835791690234145,0.016979851748536726,0.0013815994417082,0.0003797866267576442,0.0010091101443984681,0.0015068642212504747,0.0009833822940406593,0.1055900943580472,0.029684288904009606,0.0003608273790752503,0.0034423530463614975,0.00034211112319411537
1958,0.005514429409000986,0.022261780405153673,0.03224876955715863,0.03174093251046971,0.02049145141161865,0.003102849713686343,0.010889167531300935,0.0009056653395200122,0.00253747297000256,0.009636319738439229,0.0008519584923151571,0.0016544544035621243,0.0011274362352713652,0.2778207829818356,0.004639896233622927,0.0025328046895072907,0.01586011047276499,0.23034279875787514,0.021216737519246465,0.0003125502133873517,0.02353153815083385,0.017445829822654555,0.0014270505464795595,0.005813385086268497,0.06543845772696197,0.0005988387852296684,0.0025973726791674997,0.007190414538397708,0.003721100932579751,0.004434613070734051,0.007357074273381739,0.0004619753716576184,0.0013142872124976232,0.00021850551250978686,0.00010123580220711259,0.14358263679128333,0.0008810659497756408,0.011138724360506846,0.005447773274538092,0.0016097515265941042
1959,0.001615430658358232,0.014929264033075746,0.006895092118111836,0.0006886912942601143,0.005968136164647397,0.000457329911545525,0.0005042304496942858,0.004320623170005247,0.00742515517766165,0.052876438827348805,0.015437854366337702,0.0004907342021608822,0.0020617944867073533,0.3271661461840195,0.0010381014163566642,0.0015416300827190896,0.0012586116718800787,0.17086667904559466,0.006116251901102336,0.00033049040603331435,0.003992881116237543,0.011764589488424357,0.0006481105053982965,0.0004889606458551571,0.08966474777104952,0.03738000888327647,0.002172146190027479,0.018947016208549612,0.01766219333244532,0.05340431820143316,0.001429542540948882,0.011127484792633717,0.0002579919087151622,0.00023104759637574738,0.0018268142525586263,0.10868358400077803,0.008239796618876728,0.002562161682169543,0.004273351224132439,0.0032545674724918884
1960,0.0054340568122931195,0.00505319645839944,0.016367700115319742,0.0231926954081843,0.040733538272358906,0.000389607080932652,0.05262361056402916,0.011735178942679296,0.0017831888126114352,0.04953229050217772,0.012270636835211507,0.000418064760670456,0.002059991560256612,0.26890611625659155,0.0039507281058210435,0.018426703380310418,0.008111709709145964,0.1314436544190027,0.10042393968364186,0.004668172448861498,0.013660203619189508,0.000502900385187676,0.001545507383078748,0.006729073379265668,0.08716964676825373,0.0034121101412066678,0.002872431062316852,0.000388256083517272,0.004889529195921461,0.0033469284583114837,0.005506659736408193,0.002409407506259928,0.00021978766732986285,0.011398448957319358,0.003461939322700558,0.0794254524459973,0.0072659603232985434,0.004702705725010804,0.0031934000233173,0.00037487168760780396
1961,0.00043793932981928997,0.0059468298350601,0.007156957173264963,0.0010263126335044658,0.010960308319504406,0.002082521627465943,0.04301244898571951,0.00022426023066399165,0.06106594475571754,0.012307251161378907,0.0002568163207038416,0.0036768962675916253,0.01617302947629516,0.3365980784759214,0.0015345599231276407,0.00043416997645425506,0.08393604391944538,0.11563054993652223,0.0002178646826854614,0.0002852523915798488,0.01300743930304011,0.0007135551342009383,0.004516427020300939,0.0014350273605218935,0.09029875270856368,0.0026217844861607126,0.009127910068275513,0.0010547675356355414,0.0031610444137763548,0.003254697598877397,0.0017712433547211334,0.084370287009592,0.00012524492586530632,0.00011216452183926886,0.0008089603115783022,0.07376294527416011,0.0055512145142594645,0.00022530547770723735,0.0009035747631663155,0.00021361879533021244
1962,0.0027554444748550265,0.017091974002051143,0.0029607321919549326,0.009678666679374585,0.007584794133822279,0.0003859728937930856,0.008572804702135685,0.00643315767934076,0.009382607285186417,0.011437466514341904,0.011228262050122203,0.007455098053582055,0.010582067904571895,0.4411562209503339,0.009667299416972829,0.0007764860228059297,0.010295800372674298,0.19488839247915596,0.008583736868564684,0.00044592979185522464,0.0007488202097039015,0.0004982094177957059,0.01581612120528,0.0017448908642083904,0.06865740171824299,0.001312521507190337,0.002133260729926531,0.004748492700117906,0.0003078362335500059,0.013644941455340539,0.0028349990344804206,0.009485396195722716,0.000993942066332022,0.014029481568898569,9.034422241414865e-05,0.0688575069208888,0.0006147634795866946,0.020307521081149082,0.0005257179789056596,0.0012849169427689958
1963,0.0031365541749831345,0.03058120930229235,0.0006924890506619718,0.01296647401096882,0.08577643474154155,0.0006956122083120159,0.0026456535914232368,0.012604899127923262,0.0015875264667159791,0.0209388315667609,0.06493416997237034,0.014402071702174729,0.008714572881521615,0.31559365241812926,0.005140905291659453,0.004967835711230855,0.007065172453249,0.10821708083735851,0.0002996090214657369,0.003148761602880502,0.0023293360172776624,0.0012056059550670686,0.0677326514962819,0.00221907953760023,0.10060605611175037,0.0208686477207692,0.019772517125453075,0.01911867485492248,0.0006599874777931664,0.007283341090701213,0.0005365702533930594,0.009497133931391014,0.00017223769001710443,0.00015424942775123444,7.146531169407613e-05,0.03068236389918505,0.002445488958539734,0.008501335826255925,0.0017399711327814504,0.00029377004775014054
