receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BaumannSabine,0.0004403317240769,0.0002952112758917,0.1621365596419387,0.0001923120769751,0.0001904886562211,0.0002133569539805,0.0019752248698471,0.0007398454187536,0.0002806742728701,0.0001823522735529,0.0001929473492253,0.000188013992643,0.0001732499712087,0.622306203102649,0.0363787384071244,0.0002297254370599,0.0001876440627978,0.0002356559177643,0.0005853687938051,0.0003763411884862,0.0004556500172874,0.0004477224046952,0.0009251467692554,0.0001980180126038,0.0002526780327524,0.0001417684375999,0.0003529893279563,0.0004254109157393,0.0001965290646979,0.0001911433385155,0.1451491755528184,0.0001981742257671,0.0003530761064505,0.0001916679609823,7.442265617044148e-05,0.0001055016192249,0.0002262899737693,0.0002162199061697,0.0004081005050459,0.0001492891538113,0.0003338182899052,0.0002506754058257,0.0005625098783365,0.0002706601301716,0.0005075334776899,0.0003097693635422,0.0006512500045756,0.0001881008233758,0.0003911721169324,0.0002073007357489,0.0002368386751424,0.0003039335059511,0.0001539461869074,0.0002872859505013,6.098002345854549e-05,0.000324555486183,0.0157586609550884,0.0002557549739936,0.0003936702933581,0.0003923643551251
BaumgärtnerKlaus,0.003943794838573716,0.006080576078044209,0.15646785735902033,0.0036266172855484503,0.0049310760396849085,0.00029159251459327844,0.009882769240198009,0.006612606945634167,0.005108147528548982,0.00024921877161766375,0.004582177078640488,0.000939348403506192,0.001365647420673036,0.0027904407480150726,0.06569604890366927,0.019209742500599862,0.0008235727064911138,0.011664841221942312,0.017310316909932236,0.003919131626805898,0.0006227316796408864,0.002959037547790766,0.02523937490065892,0.0015580993902584326,0.01082614139219584,0.00019375330608398548,0.0010414864580507045,0.02999412685483409,0.0002685940303177253,0.0006520543085569326,0.4440782175792131,0.009048595243002461,0.007074543614754475,0.0004262772396424676,0.00010171259502248265,0.00014418785921684965,0.01340184907171692,0.001975365249351393,0.00889615713620975,0.00020403178311841126,0.0006467223854325386,0.0003425952169250391,0.0013144138511182659,0.00036990811166207044,0.015999703796645188,0.011406764365782602,0.008131980483364094,0.0002570752490694748,0.006371344040229063,0.0002833155502379911,0.0016111551468045312,0.0044083578982112405,0.0004832155064424316,0.0003926304306053341,0.002378848855982128,0.007976149809737387,0.0002840609601035618,0.012802875641103906,0.012671154292953447,0.02766586704621119
BaumgärtnerKlaus+BaumgärtnerSabine,0.0028857252827716832,0.0031890896594961838,0.062285827087602254,0.0005077741359309864,0.011830592906327951,0.0003244557560399715,0.007984100457182872,0.011400235278391619,0.008695724876721073,0.0008051348151829497,0.0015995416273464468,0.00029034275497366336,0.00015797828501224045,0.006269437274548276,0.12096690766494116,0.0014871886961021798,0.005162077037204885,0.00107429421037226,0.0005337695440861739,0.02478953422639154,0.00809294148913303,0.0052432422223844255,0.012300328362998774,0.007404114315429064,0.005842124059691503,0.012899760614965144,0.01657999216311413,0.0017836317133668542,0.0009933693854085573,0.0023937255723721416,0.4046842976669098,0.012698414066659652,0.0003804144808783098,0.012708851084500568,0.018895861965570523,0.0015402781158176248,0.008961120999640155,0.017626240589722685,0.0017138706630947715,0.0018017301744426243,0.03859055902492225,0.00474284795273929,0.008775594535449694,0.006162659668555021,0.010157654893528075,0.02014830139241764,0.018848011776555214,0.00017152006017079877,0.0029912817149620585,0.00024748895771785145,0.00021596175435144348,0.006315887241768166,0.010396969277324314,0.006025746811184908,0.0006349292476587626,0.027810318665151944,0.00018952486925713342,0.0002332106140796394,0.003996262993602524,0.006561227265874504
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0003280872087563,0.0002199592675357,0.0860461759795058,0.0001432899995501,0.00014193138514,0.0001589703482004,0.0014717222920349,0.0005512521698473,0.0002091278772809,0.000135869039565,0.0001437633351923,0.0001400875355567,0.0001290869959236,0.0002038649868021,0.027105470919884,0.0001711663577802,0.0001398119041549,0.0001755851056343,0.0004361530254382,0.000280408436002,0.1509675406407088,0.0003335939384382,0.0006893185401329,0.0001475414408872,0.0001882681304726,0.0001056303882701,0.0002630091746688,0.0003169698486112,0.0349067489413588,0.0001424191830315,0.2703641579340432,0.0001476578339107,0.0002630738325446,0.0001428100745149,5.54516520070792e-05,7.860830796000216e-05,0.0001686066249692,0.0001611035081369,0.0003040720172348,0.0001112340063034,0.0002487250065763,0.0001867759911544,0.0004191210530383,0.0002016664295896,0.0003781586311882,0.0002308063677579,0.0004852405232706,0.0001401522323551,0.0002914588274481,0.0001544579144452,0.4173002691935602,0.0002264581227347,0.0001147039197936,0.0002140541788409,4.543566723099305e-05,0.0002418233748012,0.0001548642968452,0.0001905607317279,0.0002933201962427,0.0002923471534065
BaumgärtnerSabine,0.000822568887713925,0.00055147425809465,0.13335461040074864,0.00035925172455605,0.00035584545355749997,0.000398564951661475,0.07693567199206765,0.0013820803496729,0.006576808447128075,0.0003406461506787,0.000360438455285825,0.00035122261773715,0.00032364244573195,0.0005111232348048249,0.11358224417748773,0.04241869880775212,0.0003505315642321,0.000440220896109475,0.001093507760841175,0.03732594073439338,0.0191626396834631,0.0008363751696673499,0.11550138807960905,0.0003699107910435,0.00047201933675470003,0.00026483285135535,0.041802676695253074,0.00079469582736635,0.0003671293375259,0.00035706844353807496,0.32516365311689893,0.00037020260760130003,0.000659569602372325,0.01979959337698305,0.0001390264615504458,0.00019708402741096164,0.0004227246910597,0.000403913136380125,0.00076235883120795,0.0002788820484278,0.000623594722822925,0.000468278296730775,0.001050805789479125,0.000505611088300475,0.000948106223997675,0.000578669732122675,0.0012165782354436499,0.0003513848233095,0.032734007092267904,0.0003872515340219,0.00044243036539765,0.000567767962785975,0.00028758169536315,0.00053666922421965,0.00011391473138620994,0.010892108490865625,0.00038827040190145,0.00047776726722617503,0.00073540223796585,0.0007329626586646499
BaumgärtnerSabine+BaumgärtnerKlaus,0.00043825061253925,0.0002938160378048,0.08692607496782218,0.0001914031647611,0.00018958836192342501,0.000212348578716275,0.0061114612689144995,0.000736348734883375,0.00027934774008665,0.000181490433717925,0.000192035434564875,0.000187125394188825,0.0043180029284688995,0.000272317703820275,0.10085481199421883,0.0002286397004858,0.000186757212719275,0.00023454215234025,0.0005826022028829,0.000374562511305675,0.00045349650788467497,0.0030415171645416248,0.06836835794373514,0.00471744356588055,0.00025148381679984997,0.00014109840654141139,0.00035132101717395,0.0211512592108015,0.00019560022200572499,0.00019023995003495,0.4377415990672022,0.09365002646104707,0.0003514073855325,0.08155726788859143,7.407091715197999e-05,0.00010500299370012876,0.0002252204740046,0.0002151979999185,0.013967256025111102,0.00014858357807497313,0.0003322405859683,0.000249490654760125,0.0005598513240378499,0.00026938092658732504,0.000505134754821575,0.013287859327916325,0.013084887375924776,0.00018721181453915,0.00943004621146305,0.000206320983599925,0.00023571931972815,0.0003024970445486,0.000153218600934725,0.00028592816937055,6.069181749142782e-05,0.0003230215604402,0.000206863818952675,0.025127976880501952,0.004912171147830225,0.000390509948681475
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,0.0001113451729361,7.464906289862745e-05,0.0213375097440689,4.862929536454041e-05,4.816821321194689e-05,5.395084123883006e-05,0.0004994683387439,0.0866972687509551,0.0040032543488559,4.611079403061791e-05,4.878993447976513e-05,4.754245351989331e-05,4.3809126053462414e-05,6.918703809624944e-05,0.1428965278929223,5.808988341891434e-05,4.744891062861828e-05,5.958950373586809e-05,0.0001480201993492,9.51641056588616e-05,0.0001152186572057,0.0001132140289975,0.0080985011068348,5.007213573828943e-05,6.389382757503454e-05,3.584849861669481e-05,8.925920077259989e-05,0.0001075721993032,4.969563058770745e-05,4.8333760478473007e-05,0.1153489983896143,5.0111636825162565e-05,8.928114415280885e-05,4.846641996244584e-05,1.881900183103636e-05,2.667783263238204e-05,5.722116959863695e-05,5.4674786140329e-05,0.0001031949751177,0.5820153690286577,8.441148612827624e-05,6.338743017215528e-05,0.00014223994379,6.844089887928158e-05,0.0001283382499018,7.833031659537908e-05,0.0001646793551751,4.756441010951655e-05,9.891435167192956e-05,5.241942610461411e-05,5.9888583537769605e-05,7.685462330058201e-05,3.8927844320113447e-05,7.264501304728898e-05,1.5419809399100622e-05,8.206923271810312e-05,5.2557342845624e-05,6.467188315424883e-05,9.954605697711196e-05,0.0354897467013611
BierwischHedwig+BierwischWilhelm,0.0003440320949496,0.0002306491859306,0.0416284439832837,0.0001502538270767,0.0001488291846363,0.0001666962333996,0.0015432473129084,0.0005780427696556,0.0002192913951326,0.0001424722118778,0.0001507501666116,0.0001468957248184,0.0001353605640607,0.0002137727306172,0.1742213929695763,0.0001794849633889,0.0001466066978583,0.0001841184603396,0.0004573498602061,0.0002940361559507,0.0003560003094027,0.0003498064491403,0.0007228191015081,0.0001547118864912,0.0001974178743032,0.0001107639761534,0.0002757912985857,0.0003323744362571,0.000153548568385,0.0122992247503874,0.4293023393600533,0.0001548339361617,0.0002758590988043,0.0001497505779073,5.8146576578610935e-05,8.242863527181783e-05,0.0001768008287505,0.0001689330639197,0.3162158353650717,0.0001166399274243,0.0002608129265483,0.0001958532177061,0.0004394901418462,0.0002114673245437,0.0003965369652908,0.0002420234501932,0.0005088229876686,0.0001469635658512,0.0003056235912964,0.0001619644974566,0.0001850425511474,0.0002374638824784,0.0122701625382093,0.0002244571126637,4.764381958737569e-05,0.0002535758786696,0.0001623906298527,0.0001998218949163,0.0003075754217512,0.0003065550894844
BierwischManfred,0.006221853506962772,0.0015129893702130947,0.10480794935865516,0.008981538233403735,0.0030647016155418714,0.0013368175552915728,0.028360551000278043,0.020373419714200394,0.001539304721078464,0.005366029951745023,0.003928030878630137,0.0031539189395537928,0.008117534707941387,0.014511992886509064,0.08938412961450583,0.010026105837414527,0.007336925774056521,0.001249623304349051,0.0038900668022224666,0.01187018780851177,0.007726694750496278,0.004722484162430684,0.01613660435342469,0.0003571822528609106,0.006002634994563288,0.006852728939959974,0.0019221929945574688,0.03029263912471023,0.008793516040685519,0.002142891557177536,0.3528071110443867,0.008184674293297412,0.0026964294907123893,0.004119613436482535,7.270275914379581e-05,0.001257742558840744,0.001689638925209013,0.006829356486768834,0.007445313395210128,0.0046950086520907664,0.005808341386747073,0.008043325681196818,0.005729902780428872,0.0038101592384800543,0.013612234569102835,0.007565614858739587,0.028108223903250275,0.01086452547959682,0.0033480074551425166,0.008150885924167997,0.01402994122919129,0.011001333692216274,0.0038529596631826164,0.0006945686376481779,0.00251859578790658,0.014348311931759254,0.004563552324759744,0.001445986670064362,0.010122495962525648,0.032600201029817207
BierwischManfred+BaumgärtnerKlaus,0.00032620824400175004,0.00021869955456884998,0.00491048539922655,0.0001424693736566,0.00014111854006975002,0.0001580599205052,0.00146329369670595,0.0005480951330279,0.06320524233861714,0.0173161760435264,0.0001429399984921,0.00013928525026535,0.00012834771103490002,0.0002026974462377,0.10173339488339,0.00017018608319205,0.00013901119741245002,0.00017457952475185,0.00043365516468500003,0.00027880252893195,0.0003375564009845,0.01178574018969085,0.06441261844727095,0.0001466964668685,0.000187189913547,0.00010502544003905,0.00026150291366215,0.00031515455329365,0.00014559341874534999,0.0001416035443289,0.354986631473609,0.0001468121933059,0.00026156720124044996,0.00014199219716564998,5.5134078822505195e-05,7.815811594967855e-05,0.22031631472378535,0.0001601808637742,0.00030233058816355005,0.00011059696599285,0.00024730055140569996,0.000185706319753,0.00041672073487429996,0.00020051148022470002,0.0003759929059765,0.0861349101821726,0.0062094899136265,0.00013934957654335,0.00028978963447265,0.0001535733295862,0.0001754557396287,0.0002251611906397,0.00011404700719005,0.00021282828448455,0.005838561606237054,0.0002404384454716,0.00015397738462265,0.00018946938500985,0.0518348957325748,0.0002906728729631
