sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BaumgärtnerKlaus,0.009542637830643559,0.008756957418411294,0.10310367891414127,0.0034741108438617204,0.009299479201966531,0.017741361610110206,0.012116977734110652,0.003007500609566184,0.014056817153181706,0.003004943524654671,0.014365834120325615,0.001849589198206543,0.0013077552877974886,0.003921198016329778,0.0567346029392789,0.0022387500314250204,0.006329649028043365,0.009674275948239403,0.040839346574324385,0.011271717622604129,0.004455466246041479,0.03016385488533033,0.05618068794606091,0.0032834076947804284,0.004577429086745886,0.00021844028136539848,0.0017013778300884155,0.0045937914340293635,0.007315682746656065,0.008679254714862217,0.39834682053193754,0.00685876738740721,0.006802142391305435,0.006077489578133085,0.00046587712410662196,0.0006975162094434648,0.0099178519205355,0.0005825744813427667,0.008806899041018144,0.007865529404576122,0.009751941889905275,0.009102817160263165,0.009357250076994228,0.009516022557737017,0.011762059214808104,0.009907796050278844,0.0025926036212563217,0.0012995138282190812,0.0011730058197514477,0.002695635944863469,0.001715792587902397,0.0036938099662163475,0.0026269818654573326,0.0021524375286959612,0.0008015899373736454,0.006171265201421537,0.001700859711461717,0.004593808284565702,0.004386661333447184,0.004770102876389749
BaumgärtnerKlaus+BaumannSabine,0.0008551149296955833,0.020748261662480283,0.05853653284633503,0.00037346600117655,0.01946001954516835,0.0004143347088732333,0.0038358450762385164,0.00913404930245535,0.0024540729825456666,0.0003541242727988833,0.025191822651776316,0.00036511921197080003,0.00033644779344585,0.0005313465115494834,0.062413068511473685,0.00814340704701335,0.00036440081600638336,0.004492632343718417,0.031925914218590215,0.012938483462807368,0.0008848627323305333,0.05092958510595693,0.020886710120312634,0.030903638820061568,0.0004906954152931,0.00027531131854158334,0.020963121675818135,0.0008261390343079667,0.00038165530247581664,0.0003711963357150167,0.4475224787533381,0.00038485017060625,0.0006856663588741167,0.04328088739597686,0.00014452723008392187,0.007356327297202308,0.00043945036078465,0.00041989450169785,0.0431275905704964,0.00028991639095115,0.0006482680849348,0.00818409144490865,0.0010923823307874,0.000525616269571,0.0009856193191683834,0.029207347079675965,0.0012647137860536332,0.00036528783542433334,0.0007596480084888666,0.0004025736606814167,0.01659990978477475,0.00059023246421395,0.0002989602510929333,0.0005579032623198333,0.00011842192061425252,0.00063027991528765,0.0004036328414360334,0.0004966707703477666,0.0007644994144670999,0.002670972768804167
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0007590251184241,0.0005088726553,0.0918432759270613,0.0003314993878909,0.0003283562526633,0.0003677756527789,0.0302106425979872,0.0012753141004367,0.0004838143870975,0.000314331101895,0.0003325944432062,0.0003240905327237,0.0002986409398263,0.00047163876439,0.0090964559416986,0.0003959909484945,0.0003234528633731,0.0004062136591756,0.3226790404770868,0.0006487209518174,0.0007854301414611,0.0007717648596801,0.0015947286958844,0.0003413350373103,0.0004355556578057,0.0002443744096877,0.0006084680067423,0.0007333052629237,0.0003387684521682,0.0003294847661881,0.4646486532197661,0.0003416043109246,0.0006086175918238,0.0003303890881077,0.0001282866128522,0.0001818592089726,0.0003900690428301,0.0003727106881298,0.0007034663124051,0.0002573383007745,0.0005754217858334,0.0004321036145913,0.0009696306299851,0.0004665524333656,0.0008748646462286,0.0005339672682899,0.0011225970894623,0.000324240207852,0.0006742858761795,0.0003573362010904,0.0272140863310761,0.0005239076649115,0.000265365896571,0.0004952113161002,0.0269109486586768,0.0005594549583082,0.0003582763610266,0.0004408595583932,0.0006785921265667,0.0006763410057236
BaumgärtnerKlaus+BaumgärtnerSabine,0.00782482554237791,0.03662711157753871,0.09365191031378528,0.00317720797919183,0.027284282761961844,0.039578773979191614,0.016578996403065,0.005091419857818836,0.004048137183681532,0.001498591091124393,0.01189432871655806,0.00021348808068241362,0.0001967236763162514,0.0047711905231005896,0.04629880775007796,0.0006204922659348379,0.006302947852790249,0.00026758502852750553,0.011643647978000311,0.0010730977195993294,0.0008372557707717106,0.056310317391345906,0.03667049833630812,0.012706826039950546,0.023669533619505828,0.003966758180359552,0.008868083861579302,0.0004830500040226071,0.018994820669101888,0.002624390464593525,0.3648292598001629,0.015143360408116927,0.001729362492635821,0.0005443759192309963,8.45062104248727e-05,0.002022686815477541,0.021801705399028315,0.0054186103559821786,0.0018210776030457571,0.0001695163985714319,0.0003790474581530749,0.00384441436529903,0.015612068187824379,0.006515369035201707,0.0017242430120332321,0.0029348038095751467,0.0024352376004060927,0.0008963908552902381,0.001931044834352788,0.008958837545962292,0.000669753806596907,0.01135935759196667,0.010014844870931192,0.012792052705528963,6.924223024638427e-05,0.006077201857687802,0.00023600730335014957,0.008936821992994375,0.005650623529466103,0.001623075385590823
BaumgärtnerKlaus+BierwischManfred,0.0013290426718093,0.000891029106935,0.0200063755434477,0.0005804509251293,0.000574947338042,0.0006439701721735,0.3814549818359501,0.002233057666075,0.0008471524197023,0.0005503894895634,0.0005823683521112,0.0005674781203731,0.0005229162289154,0.0008258330697345,0.0628644217919803,0.0006933747716967,0.0005663615700021,0.0007112745992347,0.0017668045774885,0.0011359015744461,0.0013752775084628,0.0013513497856926,0.0027923482837954,0.0005976730136559,0.000762652040256,0.000427896271796,0.0010654192144132,0.0012840075542051,0.0005931789579364,0.0005769233498942,0.2972903189870479,0.0005981445080966,0.0010656811358589,0.0005785068052913,0.0002246281164666,0.0003184330045465,0.0006830055953212,0.0006526113520358,0.0012317599571775,0.0004505958689883,0.0010075557304995,0.00075660755948,0.0486344610654741,0.0008169269732032,0.0484685271152119,0.0009349694333965,0.0019656522543574,0.0005677401994895,0.0011806654097316,0.000625690834076,0.0007148444874348,0.00091735520453,0.0004646520801816,0.0008671082875709,0.0001840545408674,0.0009795980323953,0.0006273370413531,0.0946452411056853,0.0011882055956639,0.0011842639136468
BaumgärtnerSabine,0.0002189830293219,0.0001468126322723,0.0110300346679844,9.563944382950427e-05,9.473263158180082e-05,0.0001061053509316,0.0009823065246951,0.0158352039590872,0.0001395831805093,9.06862964508596e-05,9.595537346661268e-05,9.350194731071912e-05,8.61595961652567e-05,0.0001360704446595,0.1959652369316122,0.0001142456229451,9.3317976105118e-05,0.0001171949326563,0.0002911119611167,0.0001871596548853,0.0002266010274534,0.0079562928392514,0.0004600882267195,9.847708418282784e-05,0.0001256602648178,0.4718221970804622,0.0001755464531115,0.0002115627058905,9.773660988784432e-05,9.505821410113128e-05,0.288726444600489,9.855477113985422e-05,0.0001755896092515,9.531911607741457e-05,3.701141164095808e-05,5.246740789499679e-05,0.0001125371197477,0.0001075291364754,0.0002029540003053,7.424355175644823e-05,0.0001660124319221,0.000124664330873,0.0002797439077092,0.0001346030094604,0.0002524033866962,0.0001540525697115,0.0003238755943529,9.35451294297323e-05,0.000194535279809,0.0001030935102169,0.0001177831341859,0.0001511503173774,7.65595584379359e-05,0.0001428712588316,3.032620530138919e-05,0.0001614059120913,0.0001033647516631,0.0001271904700636,0.000195777657343,0.0001951281962782
BierwischHedwig,0.0005742924592541,0.0003850224736517,0.008644952382129,0.0002508185751591,0.0002484404208453,0.0002782658688907,0.0025761413181445,0.0009649262630226,0.0003660629239328,0.0002378287320742,0.0002516471142875,0.0002452128981519,0.0002259572649228,0.0003568506223397,0.0068825470020033,0.0002996140840838,0.0002447304257137,0.0003073487762762,0.0007634537004339,0.0004908342843283,0.0005942709886183,0.0005839315833866,0.0012066012604485,0.0205400506830914,0.0003295494757573,0.0001848982033819,0.000460378160732,0.0005548323403352,0.0002563184837905,0.0002492942750746,0.6760704191697138,0.0002584641470364,0.0004604913395745,0.000249978501784,9.706402673107958e-05,0.0001375980449444,0.0002951334606039,0.0002819998080179,0.2439137389193445,0.0001947069234269,0.0004353747780848,0.0003269375959407,0.0007336404890241,0.0003530022101045,0.0006619387909589,0.0004040095225097,0.0008493777447014,0.0002453261451255,0.0005101771794791,0.0002703671864389,0.0003088913602107,0.0003963982403228,0.0002007807510512,0.00037468605145,7.953178415839666e-05,0.0004232939807259,0.0205528688023128,0.0003335625051526,0.0005134353682597,0.0005117321285465
BierwischManfred,0.027762371004996948,0.00966033950803883,0.1611321404549679,0.00418566886196702,0.00251748182434219,0.0011229230551556002,0.09532169610756733,0.0063884110732665865,0.0038974227541472674,0.011961801998667861,0.0004070200537605498,0.010772421719361392,0.0009812598681501852,0.0027297613840193526,0.049443489157490875,0.002045476780523321,0.0030063074331014746,0.004199007970836684,0.01076046041720139,0.0015712441813421417,0.0102551912611911,0.007895223941083222,0.019422197123867724,0.012773856458906293,0.008721707740707374,0.0032071952928994364,0.01734877071380546,0.021175269446929743,0.004992106867987615,0.01423255108740149,0.30986080740608263,0.0031949406192929215,0.0068691266344540316,0.0007814026214387646,0.00011865368463722092,0.0035918902406772923,0.005021976059529057,0.00501411298509173,0.014213826364230277,0.002726131228270612,0.0036142103670597685,0.004103804761989941,0.0017827390920850483,0.006076274524381114,0.004499310771558917,0.009300116180858365,0.012961838639605117,0.007920644274035004,0.0028638731460103556,0.008292838757642999,0.007968636769742127,0.005393218213307374,0.005420319856904995,0.004672225233266576,5.804308415193861e-05,0.002854996725820826,0.000887331198372123,0.0037338222249782174,0.02499797415730279,0.001314138633535092
BierwischManfred+BaumgärtnerKlaus,0.04769114895034213,0.0005058375067818667,0.05282646522848727,0.00032952217440643337,0.00032639778627036666,0.00036558207111176663,0.003384500881542667,0.0012677075457087333,0.05231697805163459,0.00031245628789543337,0.0003306106983125667,0.0003221575090293,0.00029685970910669997,0.0004688256957727,0.11004012247863337,0.00039362907794000004,0.0055051285784413,0.0294877728184396,0.0010030155193491666,0.0006448516843001,0.006597541878554267,0.14839419038228416,0.0015852170068837333,0.00033929915952853333,0.0004329578052868,0.00024291684929473334,0.010972048696965166,0.0007289314960118666,0.021071167624318068,0.00032751956882596665,0.4705991616394758,0.00033956682707213335,0.0006049875190291333,0.00032841849695743335,0.00012752145300554628,0.00018077451773816666,0.0003877424932209,0.00037048767166193334,0.0006992705185981,0.0002558034178246667,0.0005719897079600666,0.0004295263516319667,0.0125974401119303,0.0004637697019454667,0.0008696465546158333,0.0057143873794708,0.0011159014086135001,0.0003223062914268333,0.0006702641277978334,0.00035520488507270005,0.0004058174423781,0.0005207828407413667,0.00026378313337996665,0.0004922576500374667,0.00010448782126154211,0.0005561181138737333,0.0003561394374663667,0.00043823007099306663,0.0006745446937445333,0.0006723069996125
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0008765019462839,0.0005876325591268,0.0751035020416198,0.0003828066445041,0.0003791770358422,0.0004246975068833,0.0039317822180504,0.0014726986815362,0.0005586959398808,0.0003629811661049,0.0003840711851522,0.0003742510963199,0.0003448625857616,0.0005446358557791,0.0105043445119943,0.0004572797772316,0.0003735147327749,0.0004690846906539,0.0011652053645228,0.0007491256390087,0.2175896239036124,0.2175738436009757,0.0018415501303033,0.0003941645899131,0.0005029680474531,0.0002821970452809,0.000702642612498,0.0008468013436858,0.0003912007659002,0.0003804802131375,0.4436998776386648,0.0003944755398952,0.0007028153493572,0.0003815244999515,0.0001481419561984,0.000210006160198,0.0004504413186424,0.0004303963539768,0.0008123441201108,0.0002971674006659,0.0006644817186871,0.0004989817200937,0.0011197035693929,0.0005387622964804,0.0010102703409162,0.0006166111483632,0.0012963451537008,0.0003744239371627,0.0007786473312636,0.0004126423067312,0.0004714390273669,0.0006049945869003,0.0003064374540131,0.0005718568092777,0.0001213837348601,0.0006460436524596,0.00041372797833,0.0005090928502758,0.0007836200742652,0.0007810205400042
