year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0007267793083757818,0.045839638634628546,0.05289089127282223,0.0003174162356557281,0.010061982589021553,0.00035215136900740144,0.0032601615697878273,0.017984148020602546,0.0004632604074645243,0.00358851290095501,0.0003184647695255204,0.0027472161218510104,0.00028595371935815467,0.030064251104649244,0.12629757493409383,0.0003791679888900217,0.0003097115531861746,0.0003889564061876963,0.0009661668779334363,0.0022649290087379727,0.0007520625617420181,0.013272764224926216,0.03629085745926288,0.000326834035289752,0.00041705186304820933,0.009921436378865512,0.000582618343418091,0.0007021521144419273,0.0003243764868777094,0.00031548720151410443,0.3570499107252083,0.00032709186930123885,0.03214115435130506,0.00031635310495177666,0.00012283658801195898,0.005017855136336577,0.006831793514157206,0.0003568767483026263,0.0006735808177955001,0.0002464057482627459,0.006580898616874644,0.0020283204360180954,0.0009284376254946727,0.0011186129628449513,0.002802074342253209,0.0005112826341620632,0.0010749055814621455,0.0003104654487582131,0.002289407853502791,0.0019567293809209852,0.0003909085789298256,0.02298999898827121,0.0002540923061634992,0.08610054959279144,0.00010064916255315848,0.01506685318706245,0.0003430556374931458,0.00042213043700726517,0.007960445335408154,0.0812733478262719
1955,0.2403563360235128,0.009330839192682143,0.16431623909102455,0.0015765806507543056,0.00028004639493631075,0.0016533540875040015,0.00290387162659775,0.0017575257512353686,0.007822143991999203,0.00026808471344173275,0.00028366103596401236,0.007939307165710171,0.0002547029876860671,0.0014217357831316454,0.06774011610567097,0.029865350475012632,0.0009679610291014842,0.00034644892522470524,0.0037941190742150684,0.0005532770044809053,0.007992321890844482,0.016065866191811856,0.0013601020798646374,0.00029111565834023134,0.0003714739426255613,0.00020842049418171607,0.0005189463283861924,0.005565091035022231,0.005554680572692283,0.0002810088743826063,0.33485398477337885,0.00029134531470980166,0.008193531835163081,0.00028178014671687625,0.00010941227144738375,0.0001551029269144657,0.00033267960739226756,0.00031787512410187414,0.0005999678798569972,0.00021947705526059028,0.021144848878715306,0.0003685297859374617,0.0008269724122646,0.00990169410300889,0.0007461490020254625,0.00045540661182996646,0.0021885133191954687,0.0099661377590386,0.0026140556743234978,0.001324250139035043,0.00034818775286094917,0.0024563589287074283,0.0002263235801693638,0.00042235268151794475,8.964962046281342e-05,0.0004771443909859029,0.0003055644668940742,0.00037599749966638714,0.018189144859774367,0.0005768334206040671
1956,0.015574888366636999,0.00046159936119398,0.10878784845484486,0.00030070373028079995,0.0002978525862901,0.00033360999970676,0.0130127586620502,0.0011568398654398398,0.00043886895806769996,0.0002851303451402,0.00030169705705668,0.00029398314355502,0.00027089776904774,0.00042782442736757995,0.04599634447049936,0.00035920414854260005,0.00029340471246452,0.0003684771889996,0.0009152965464043599,0.1171884736715314,0.0007124651870853,0.06429237289541624,0.03686173066996532,0.00030962566672536,0.00039509337220916004,0.00022167249552346,0.00055194249542382,0.0006651826098343,0.00030729751242246,0.00029887626307194,0.3592313801011523,0.00030986992533704,0.0005520781843379801,0.00029969657521896,0.005946369915082369,0.00016496483710544044,0.0884133018620581,0.00033808657973465994,0.09586573755441467,0.00023343206598165997,0.00052196620508362,0.02520258739480838,0.0008795538033603599,0.00042321060674425996,0.00079359139781684,0.00048436273274656005,0.0010183099720076,0.00029411891415082,0.0006116460109711599,0.00032414035306648,0.00037032657652230004,0.0004752376472364799,0.00024071391351854,0.00044920713421542,0.0024127042728813593,0.00050748266522518,0.00032499317394696,0.00039990455060034003,0.00061555221895306,0.00061351022292062
1957,0.004100140319033095,0.0027069403054874723,0.13339043506796588,0.00022577425410145256,0.0010104210454307623,0.0002504809261070448,0.003470489901253633,0.006794146132369877,0.005949171351744113,0.0033820093937683136,0.00022652006331270747,0.0020257979923718017,0.000582328025980942,0.027577177715262878,0.06842191894584865,0.008922808566918317,0.00022029400847364383,0.01059049161993516,0.02726418154288084,0.00044182431210037777,0.006269321596518972,0.008868978752177256,0.012278219378725481,0.0035590204222582644,0.009376988334667387,0.0005353048230421621,0.035304099783942416,0.0022799639426699944,0.0018987939005395092,0.020926594630753796,0.3262240361801152,0.006691879316166178,0.009255774751171852,0.015442385879430408,8.737215025398513e-05,0.0013157663954221589,0.006333921219980779,0.011919585478502526,0.0006568245963543027,0.0009904288393394287,0.0018636023012427406,0.0002942927644590683,0.00092927635370975,0.0003177548179275338,0.0039664787207800666,0.02139584792294507,0.0013517691666564084,0.004672979395607394,0.003034173130118242,0.00024337092981662785,0.010211433708525017,0.002190013032752644,0.0001807327239530601,0.00033727352025139456,0.0012083885233319057,0.0003810279310590372,0.001535830029309792,0.006237717431217189,0.12325748623420625,0.028621939499749123
1958,0.03333795443966573,0.0027358961366432265,0.14372348859494916,0.0035420279962156366,0.004586617418741415,0.0016971024227305943,0.024960735364360283,0.001997749678266416,0.0008761501623722668,0.0018466557502906933,0.02317709938321719,0.001681947209761902,0.0020101029983962604,0.002299395403966713,0.0625245725016957,0.00891737899787653,0.000562750091972525,0.0015847764743801673,0.07564545656251283,0.0027334621024012367,0.0012910637629770468,0.013720264753081985,0.013311238404913625,0.01138613436603826,0.005736783012955567,0.00020220115177823177,0.023280885852482048,0.0013871017077546957,0.008564887023769327,0.004858445799421458,0.37091610693001836,0.0004429602772211885,0.010267938243436896,0.004358195814923588,0.00010614736997046526,0.0030407143447849167,0.024551279136015125,0.0011099336729444857,0.010640737098156161,0.002632360091598664,0.005583958730388368,0.002312736016368378,0.0021043064199503677,0.003279846630735979,0.0024027756582283163,0.00768136229388343,0.0009288633157711103,0.0002682839973476067,0.004106495329381019,0.0012331800355877838,0.002681458172875857,0.0024994333580123694,0.022604697600538865,0.0008938984542570061,0.0006340322779766891,0.002829973955477655,0.0002964463134542578,0.01883641298100866,0.005264250588643807,0.0013108893654512326
1959,0.01121448818959223,0.022110280581643958,0.13941704805018382,0.007374463066265276,0.0019850446246005462,0.017901976389838738,0.013471635672334089,0.001811218371142375,0.0015003039645798296,0.0002748439425527649,0.00029081299143116237,0.000283377366162084,0.00026112482288485146,0.0018739876210317873,0.07225681550721048,0.002105109606511784,0.0002828198026332998,0.016741279039517044,0.02921449582209819,0.0015385567813344428,0.0013099903781792356,0.03319398283068374,0.06757378198463788,0.012988643833036878,0.053561292699317524,0.008017811268933868,0.002261313475911482,0.0006411853880880178,0.0002962114039784905,0.0022253917178460896,0.3588177105037304,0.00849736903459393,0.0015034913185029643,0.0009849975032754149,0.00011217088681481435,0.0001590135423514529,0.0010371802938054459,0.004710682064876395,0.021808757095054598,0.00022501073781218203,0.0036539995597547714,0.0010739343641367474,0.022425338076053885,0.0012653739733197295,0.005247073162857957,0.0030499524704653215,0.00098157327768725,0.0002835082386786908,0.00936443788206911,0.003309122016352467,0.004956370367727725,0.002073994464286036,0.0006589653505674995,0.00043300147422006775,9.190995943046962e-05,0.0004891746489455001,0.0037357822942415283,0.0023713578418850948,0.004015859090117329,0.008683601312220679
1960,0.01026070670068341,0.018304775850260618,0.07748559200084175,0.0017678435144120885,0.01552567534388139,0.003745970940432869,0.015047804598247392,0.0012921423198409597,0.021628196239879292,0.0016065213631595696,0.006157838382999212,0.0002417124469172778,0.00022273169076683936,0.001143674364883808,0.06905596136714454,0.0002953370476862491,0.002426737992181787,0.007838402835540628,0.0035890784988713035,0.015472878664071647,0.03337775457159518,0.05055280293312922,0.07615533881558989,0.008158475978592051,0.000324845107112744,0.00018225875354384066,0.001529849424529344,0.000546912024701744,0.003937294216656239,0.03129867611745369,0.33024850224954116,0.0589741334384558,0.012442403927756118,0.0023404567250324944,0.00040743480582853127,0.0018714724914954508,0.022231868165296254,0.003667754299743041,0.009188307150789773,0.0001919274526256035,0.000909321193650824,0.0016272145247880334,0.000723167660005072,0.005976156162942728,0.003100891670745184,0.003218901729243896,0.006845837449848988,0.001006564757916256,0.002658436785061584,0.012145613153611224,0.0169894340023337,0.000390739595446348,0.01572667297729676,0.005096876043958592,7.83964559022007e-05,0.000665228349294308,0.0002672088418274588,0.0003288008499061,0.001002059909087728,0.0005044270749596401
1961,0.0003234502879431096,0.017411375444742375,0.07624180159220817,0.0005413994009226425,0.0007498378539821241,0.0001567235891175225,0.03054992064879878,0.01709773133824293,0.04737672581543293,0.0014517932370322678,0.00014173149980420372,0.011422712480916948,0.00012726258411442675,0.003602681790827042,0.08206982979556868,0.00016874723010396625,0.012896154595996774,0.00017310352692881381,0.01096368499968951,0.0002764453686272305,0.00033470250094257847,0.08786851504199626,0.0038988771758802767,0.0001454562087909785,0.00018560730009172264,0.0001041374932934153,0.012551926831111556,0.0003124900516274445,0.012519684903312157,0.0005791208772216676,0.3786388617640752,0.0024718020245072013,0.004609162857511302,0.0004457479182073161,5.466794294297487e-05,0.001557544274920151,0.000511101246314119,0.00015882660068660152,0.013490358558300414,0.044978952923210164,0.001947946485598192,0.0025534619029166324,0.00109241161996964,0.016933855390553164,0.0029664054506550034,0.05050806087603576,0.0008601844156411333,0.0006667596310983945,0.0014498507729536953,0.0009004830315610108,0.0005480763843146272,0.0012640975155257396,0.013059690987141829,0.0003680355003008149,0.004005158694879277,0.0004082091593837195,0.0032947282717137615,0.0001878674995641907,0.012446046700899103,0.005378012133348102
1962,0.0033779381235216153,0.01828704291022413,0.11681959130479679,0.004278425032657978,0.0007328181121829876,0.005772835823294962,0.005936674387519803,0.0052416201193674836,0.00840965333826074,0.0008383322173614208,0.010232146306511931,0.0010093260381137345,0.00022064513750424023,0.0011183392225868809,0.06085941033348755,0.014972249875953648,0.0037946441503747333,0.005442813982396638,0.015008610405137492,0.018595518026212964,0.0012009545106420768,0.0026334205151377675,0.02671849794595425,0.00025218885356496494,0.014798335565893623,0.0008112856776951779,0.0016617443390824422,0.005676226870583092,0.005649517347112842,0.016961474767166956,0.4760022995389765,0.0021146925013935274,0.007785875252774662,0.0006140736588027585,9.478210639568359e-05,0.0010093248900583686,0.00028819503997494007,0.0031517369836636428,0.0014256158784322975,0.008640381733308377,0.007159695956135983,0.0003192514780894646,0.0038589413021220135,0.0019048410412683275,0.040336138468355445,0.0014687777674494277,0.016835074946204506,0.0002395586662951185,0.0004981832027227153,0.0013642333723987772,0.00030162949914818625,0.0003870791420331046,0.00019606050922524036,0.0025663221254320365,0.009076235302430326,0.03261113560666072,0.00026470562605787433,0.001171810774739925,0.000501364793329069,0.000499701595817549
1963,0.00044384084326070625,0.021739858943513917,0.09943521953852223,0.010344150463379704,0.0001920067103636578,0.014368041386953185,0.09006845480488508,0.008285374951570345,0.0037770063993196046,0.0033024577376359297,0.003451429297855953,0.00039072888131334263,0.0020887168957246533,0.0008998386838478275,0.09156027630409874,0.014650589615330098,0.01723645270594982,0.0026739288057380734,0.0010685553139943343,0.01227476413190989,0.00914650727724276,0.0030246432614526374,0.015164160239656327,0.009862949604172767,0.0011117703907905648,0.0001428982275215599,0.006371147718732855,0.004879516332337991,0.00019809525644241482,0.00806813624636552,0.33808781772378116,0.0018209124275817012,0.00035588986269545703,0.0013376613637690446,7.501574986818886e-05,0.00010634238934372364,0.0006032194758430839,0.017116524314084836,0.008322584318639095,0.00015047887829613298,0.0007256184614553342,0.0031238024789610724,0.0014240713677446438,0.012660589719898897,0.011348609433539627,0.0028396584828846495,0.0652603855642835,0.012547944800277143,0.0029693564645139323,0.00020895276976978778,0.005273703481827849,0.01462486748775242,0.0015907377119994649,0.00028957540771049463,6.146598928484969e-05,0.012624315754802672,0.0006639261166292624,0.012234656554940996,0.012721343256092478,0.0026084552218437478
