idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
uj0002,7.335221572092632e-05,0.0001281749457722,0.2509600581874157,4.225015273079479e-05,4.413310735593819e-05,5.165588317007613e-05,4.4254889130532485e-05,4.6584099194764144e-05,2.2090792789571123e-05,5.613999646443415e-05,5.421040777189372e-05,6.722057234100758e-05,7.06876303199395e-05,4.891489176653666e-05,6.759641744833748e-05,4.1368620610305416e-05,0.0839259069344185,5.1516546060188094e-05,2.278645640937296e-05,6.455456181163399e-05,0.0001108799670116,4.175476450841271e-06,0.23854718778199,6.855543659672233e-05,6.658637712409689e-05,0.0001208556343476,6.154643801556986e-05,7.191779059874298e-05,5.487642436530296e-05,5.0843158684886765e-05,4.805203389409511e-05,0.0195796087553097,0.0293235134386686,0.0001229590407984,5.5979743124928815e-05,4.481607729348032e-05,6.411894831597731e-05,0.000128880138743,0.0864470747409391,6.477198258536479e-05,4.1797216558016426e-05,0.0049409206926704,0.0441451377486626,4.89286217277253e-05,5.1065915497413874e-05,5.221706543917736e-05,0.1484712012623897,7.906191527562353e-06,5.015552420988492e-05,6.941772734016232e-05,0.0001093972622432,8.785604114083653e-05,3.910096499089096e-05,6.804755064925546e-05,5.081160578744862e-05,0.0146465383977411,7.3060789524271e-05,0.0162935726576398,5.187948661455805e-05,4.261374832146862e-05,2.296562307019679e-05,0.0586503835748767,5.675051648892609e-05,2.570787010410088e-05,0.0001214801497553,6.790285227946311e-05,2.880436278114956e-05,3.931627270144414e-05,4.499566242473301e-05,8.772591852596421e-05,0.000163321869384,3.756496408096095e-05,4.814237802756306e-05,5.463940709146867e-05,3.935777662967179e-05,3.72465475757549e-05,3.019048875549174e-05,4.451701847397566e-05,6.979966342171921e-05,6.690391931448698e-05
uj0003,0.000123065538144,0.0002150435201312,0.2659003041250992,7.088453608907918e-05,7.404363390182606e-05,8.666485392640234e-05,7.424795137852786e-05,7.815574730790767e-05,3.706248374310356e-05,9.418800520745716e-05,9.095066781402878e-05,0.0001127782689069,0.0001185950714638,8.206619826468125e-05,0.0001134088371854,6.94055592956304e-05,0.0019923070940893,8.643108325917329e-05,3.822962255270509e-05,0.0001083054112397,0.0001860271387246,7.005340621006329e-06,0.0001105506719783,0.0001150178166338,0.0001117142577535,0.000202763659319,0.0001032585783645,0.0001206589537232,9.206806678657814e-05,8.530131807203619e-05,8.061855190021618e-05,0.0001874833719375,0.0002042175602641,0.0002062926167507,9.391914266156434e-05,7.518947608360298e-05,0.000107574567478,0.000216226646661,0.0470495326952905,0.0001086701855585,7.012462947548825e-05,0.0001240776714948,0.0005745417021675,8.208923349334846e-05,8.56750448468783e-05,8.760636874316803e-05,0.1102821699573908,1.3264489769623683e-05,8.414765003514326e-05,0.0001164645115064,0.0001835395538789,0.0001473991054794,6.5601035377902e-05,0.0001141657188911,8.524838068950362e-05,7.657647796357287e-05,0.0001225766023788,0.0028398625701968,8.704000112482816e-05,7.149455293169673e-05,3.85302166290401e-05,0.0004140667675755,9.52122956753508e-05,4.313097890506058e-05,0.0900240376571775,0.0001139229534535,4.832607129477034e-05,6.596226453785815e-05,0.4736730472411105,0.0001471807942878,0.0002740107241328,6.302403376026205e-05,8.077012536386848e-05,9.16704147447526e-05,6.603189710740261e-05,6.248981542504205e-05,5.0651622572142494e-05,7.468773480425169e-05,0.0001171052988221,0.0001122470092206
uj0006,6.625778081989045e-05,0.0001157781994737,0.0596305451303474,3.816382820519583e-05,3.986466837233148e-05,4.6659860939474695e-05,3.997467173146142e-05,4.2078606676064826e-05,1.995422895414257e-05,5.0710282496738845e-05,4.896731858751901e-05,6.071917398791596e-05,6.385090716598256e-05,4.418397107220909e-05,0.0923822042642225,3.736755557115166e-05,0.0010726467275636,4.653400015127216e-05,2.0582609803884943e-05,5.8311013040320185e-05,0.0001001559459297,3.771635263902853e-06,5.95198485611566e-05,6.192493365598038e-05,6.0146316477531264e-05,0.0001091667927512,5.559382712848613e-05,6.496208955257057e-05,4.956891979390125e-05,0.0528008660815517,4.340456656166969e-05,0.0001009399735502,0.0001099495646922,0.0001110667632187,5.056552844206929e-05,0.0044367266116151,5.791753094528415e-05,0.0001164151880205,0.1704072848407804,5.850740544414824e-05,3.775469883716793e-05,6.680270761846656e-05,0.1058192106424958,4.41963731073782e-05,4.6126953400665e-05,4.716676712384385e-05,0.1560926792353194,7.1415253132408834e-06,4.530461278291291e-05,6.27038258887554e-05,9.881664449763114e-05,7.93588340911171e-05,3.531922168608141e-05,6.146616911208725e-05,4.589723986225799e-05,4.122833710709728e-05,6.599454060453517e-05,0.076265131223503,4.686183804227173e-05,3.84922577790972e-05,2.074444793278703e-05,0.171676487282541,5.126175461753807e-05,2.32214719891248e-05,0.1056196115876702,6.13354655910488e-05,2.60184799743622e-05,3.551370539668861e-05,4.064379936560273e-05,7.924129659601645e-05,0.0001475258043453,3.393177877615632e-05,4.3486172846290405e-05,4.9354826212325086e-05,3.555119517327742e-05,3.36441586844655e-05,2.727054346138949e-05,4.021144860880072e-05,6.304882210911887e-05,6.043314681585371e-05
uj0007,8.351366871084955e-05,0.0001459309695426,0.0751604646192469,4.810304942343783e-05,5.024684899671951e-05,5.881175192368966e-05,5.038550115164801e-05,5.303737575080515e-05,2.515102144435902e-05,6.39170476321613e-05,6.172015379285154e-05,7.653261123561475e-05,8.047995936420338e-05,5.5691052081637335e-05,7.696052201474597e-05,4.709939901226804e-05,0.0068931861083987,5.865311249991833e-05,2.5943055066074783e-05,7.349727933811865e-05,0.0001262401243189,4.753903526952765e-06,7.50209387176482e-05,7.80523937006714e-05,7.581056120996059e-05,0.0167611495319668,7.007244136046977e-05,8.188053325247016e-05,6.247843339751303e-05,5.788644104190892e-05,0.3602316646571534,0.0001272283406785,0.0001385843505017,0.0001399925073471,6.373459446188252e-05,5.102443048546916e-05,7.300132047982519e-05,0.0001467338526125,0.4308935895952161,7.374481932433111e-05,4.758736818451675e-05,8.420051387174708e-05,0.0170134423246744,5.570668404883631e-05,5.81400562662295e-05,5.945067454719197e-05,0.047132810511821,9.001433065218247e-06,5.710354883919828e-05,7.903413723455535e-05,0.0001245520210543,0.0001000267032423,4.451760597045202e-05,7.74741505168388e-05,5.785051713425844e-05,5.196566567813161e-05,0.005624365809734,0.0074683468586231,5.906633106354978e-05,4.8517013765289286e-05,2.6147041612479835e-05,0.0279869100923742,6.46121427504975e-05,2.9269171026866985e-05,0.0001383087461217,7.73094071399814e-05,3.279461959109953e-05,4.4762740171693335e-05,5.122889347284355e-05,9.987855479384332e-05,0.0001859467823694,4.2768823471236215e-05,5.481152232459939e-05,6.220858221590655e-05,4.480999362243285e-05,4.2406296855421145e-05,3.4372765040081404e-05,5.068394316778278e-05,7.946898276812746e-05,7.617209239247932e-05
uj0008,0.0001305261970372,0.0002280802026589,0.1521126837874176,7.518180202182463e-05,7.85324152786716e-05,9.191877734739045e-05,7.8749119188022e-05,8.289381923282612e-05,3.930933979323025e-05,9.9898008099239e-05,9.646441210751636e-05,0.0001196152779313,0.000125784715193,8.704133526197454e-05,0.0001202840734415,7.361316453592495e-05,0.2619279219329687,9.167083469315572e-05,4.054723459732659e-05,0.0001148712601502,0.0001973047477761,7.430028617272504e-06,0.3725185151141077,0.0001219905947932,0.0001184867627388,0.0002150558941796,0.0001095184707974,0.0001279737171387,9.764955167347224e-05,9.047257922988018e-05,8.550592756410861e-05,0.0001988492628868,0.008877092411859,0.0002187987892257,9.961284617519122e-05,7.974772237964985e-05,0.00011409611011,0.0002293350544142,0.0325808492689537,0.0001152581483508,7.437582723902754e-05,0.000131599689415,0.0006093724088334,8.706576696593616e-05,9.086896261540623e-05,9.291737005124532e-05,0.1602703292047193,1.406862905228221e-05,8.924897184336087e-05,0.0001235249933165,0.0001946663569267,0.0001563349494511,6.957799720957742e-05,0.0001210868399359,9.041643259998454e-05,8.121880911445971e-05,0.0001300076202936,0.0030120248689139,9.231666726749443e-05,7.582880019691346e-05,4.08660517270254e-05,0.0004391689282491,0.0001009843946007,4.574572813699123e-05,0.0002161671846887,0.0001208293572172,5.125576500931296e-05,6.996112533154475e-05,8.006728415425291e-05,0.0001561034034794,0.0002906222026723,6.684476883401391e-05,8.566668993577384e-05,9.722779258846488e-05,7.003497926847654e-05,6.6278164334205e-05,5.372229925462816e-05,7.921556380725035e-05,0.0001242046273772,0.0001190518114439
uj0009,0.0001629929956156,0.000284812369592,0.1466901103647176,9.388235776015426e-05,9.8066395173941e-05,0.0001147824514408,9.833700153609966e-05,0.0001035126451353,4.9087058337763744e-05,0.2704919160431405,0.0001204587573728,0.0001493681185384,0.0001570721280275,0.0001086918051606,0.0001502032687698,9.192354084320308e-05,0.0134533791951389,0.0001144728360772,5.063286436717857e-05,0.00014344408423,0.0002463818958891,9.278157560156232e-06,0.0001464177987177,0.0001523342664815,0.0001479588989641,0.0002685484233264,0.0001367598538508,0.0001598056174928,0.0001219386859424,0.0001129765291909,0.000106774483536,0.0002483105902844,0.0002704740287717,0.0002732223178372,0.0001243903259915,9.95839950847462e-05,0.0001424761250772,0.0002863793504072,0.2353493000394707,0.000143927206149,9.287590658620856e-05,0.0001643335061216,0.0764637538536926,0.0001087223139528,0.0001134715081061,0.0001160294318929,0.059544689459231,1.756802883625804e-05,0.0001114485643998,0.0001542503279117,0.0002430872375146,0.0001952213602239,8.688467488938794e-05,0.0001512057136328,0.000112906416772,0.0001014209966917,0.0001623454292357,0.1767962178562624,0.0001152793116227,9.469028883536608e-05,5.103098336706316e-05,0.0005484068395575,0.0001261030303496,5.712441973270401e-05,0.0110846229187746,0.0001508841852301,6.40050110328272e-05,8.736310145601999e-05,9.998304395086735e-05,0.0001949322200175,0.0003629109288496,8.347158931157258e-05,0.0001069752335856,0.0001214120194321,8.745532565845416e-05,8.276404885724652e-05,6.708506557021554e-05,9.891946856189646e-05,0.0001550990126509,0.0001486644966388
uj0013,8.89344950625366e-05,0.0001554032685978,0.0033279202191171,5.122539193258927e-05,5.350834435831977e-05,6.262919042852451e-05,0.029557951713146,5.648000267083341e-05,2.678356042776157e-05,6.806586807646593e-05,6.572637506507069e-05,8.150030098213818e-05,8.570386930898946e-05,5.930592767430898e-05,8.195598721483876e-05,5.015659512465912e-05,0.3141852944861146,6.246025380691634e-05,2.7627004516701376e-05,7.82679473588569e-05,0.0001344343014292,5.062476792983116e-06,7.989050663157814e-05,8.311873169199814e-05,8.073138308602973e-05,0.0709568388293606,7.462080502976373e-05,8.719535367883606e-05,6.653387418225447e-05,6.16438181257945e-05,5.825977210229085e-05,0.0001354866623698,0.0001475797845513,0.0001490793440839,6.787157197114833e-05,5.4336398234282976e-05,7.773979608356284e-05,0.0001562582663666,0.1284145437248403,7.853155502957023e-05,5.067623810777699e-05,8.966592296545943e-05,0.0004151980883131,5.932257430391028e-05,6.191389537498368e-05,6.330958516847955e-05,0.1623084990701219,9.585711139886795e-06,6.0810108820344936e-05,8.416419965927397e-05,0.0001326366243092,0.0001065193815927,4.740721931499542e-05,8.250295506080311e-05,0.1888890981499216,5.533872848616485e-05,8.858116092814395e-05,0.0433582680100916,6.29002941604813e-05,5.166622647242876e-05,2.7844231717758675e-05,0.0475061024798954,6.880608143703205e-05,3.116901683706384e-05,0.0060481454342019,8.23275182818677e-05,3.4923300330638035e-05,4.766826504255693e-05,5.455413280183117e-05,0.0001063616169099,0.0001980164858496,4.554492430457692e-05,5.836930812397562e-05,6.624650710871236e-05,4.77185856888218e-05,4.515886628530977e-05,3.6603882333643846e-05,5.397381007187716e-05,8.462727077751609e-05,8.111638105897218e-05
uj0014,0.0001129227877978,0.0001973201771779,0.0042255598173398,6.504241193475889e-05,6.79411448970606e-05,7.95221558939597e-05,6.81286230441759e-05,7.171434831825095e-05,3.400788758657955e-05,8.642526807705917e-05,8.345474384240022e-05,0.0001034833692685,0.0001088207656728,7.530250979907815e-05,0.0001040619677046,6.368532866739355e-05,0.4064229608311839,7.930765201377536e-05,3.5078833767898254e-05,9.937915321569458e-05,0.0001706952525268,6.427978167793809e-06,0.0001014393652438,0.0001055383391369,0.0001025070512228,0.0001860523914306,9.4748267539588e-05,0.0001107145479772,8.448004961821426e-05,7.82709992154982e-05,7.39741747859934e-05,0.000172031466682,0.0001873864655377,0.0001892905011177,8.61785645020818e-05,6.899254966474785e-05,9.8708543748094e-05,0.000198405793412,0.080634315768938,0.127472168104805,6.434513490199372e-05,0.0300838407368657,0.0005271894284406,7.532364652246872e-05,7.861392437494035e-05,8.038607344119167e-05,0.2060879547963994,1.2171264076780475e-05,7.721241357987725e-05,0.0001068658010777,0.0001684126881314,0.0001352508440679,6.019436398700738e-05,0.0001047564691347,7.822242479812312e-05,0.0075627625466552,0.0001124741488816,0.0175908028974961,7.98663844092669e-05,6.560215273231184e-05,3.535465364084714e-05,0.0003799404320188,8.736513911564315e-05,3.9576232728206446e-05,0.0001870138077991,0.1124919933362637,4.434315874470741e-05,6.052582155336839e-05,6.926901375610204e-05,0.0001350505255324,0.0002514274533897,5.782975232388753e-05,7.411325594819303e-05,8.41151710517719e-05,6.058971518267415e-05,5.733956291249299e-05,4.647704396853337e-05,6.853216063243158e-05,0.0001074537763238,0.0001029958946617
uj0015,0.0002767086603093,0.0004835180121185,0.0103544113541188,0.0001593814589661,0.0001664845825272,0.0001948629647871,0.000166943983397,0.312292194005363,8.333372915727823e-05,0.0002117785135563,0.0002044994709697,0.0002535780866998,0.0002666569686277,0.0001845230445579,0.0002549958979426,0.0001560560301474,0.022839426440744,0.0001943373394242,8.595800091743463e-05,0.0002435210189657,0.000418275669322,1.5751269181306513e-05,0.0002485694110695,0.0002586136332919,0.0002511856939531,0.0004559071643916,0.0002321733875755,0.0002712975374145,0.0002070119044046,0.000191797100978,0.0001812680611389,0.0004215499599765,0.0004591762110217,0.0004638419046768,0.0002111739853025,0.0001690609695469,0.000241877741723,0.0004861782317217,0.2159480195226973,0.0553237171091403,0.0001576728348933,0.0002789844075881,0.0012918373989682,0.000184574838483,0.0001926374128699,0.0001969799287036,0.2296059014745517,2.9824752316471307e-05,0.0001892031177903,0.000261866477314,0.0004126824197377,0.0003314218555667,0.000147501688028,0.0002566977206131,0.000191678073081,0.0001721795959134,0.0002756093049366,0.024745125988062,0.000195706470453,0.0001607530610071,8.663387643396002e-05,0.0927299748340877,0.0002140815956979,9.697853331352642e-05,0.0004582630417173,0.0002561518708162,0.0001086595211596,0.0001483138994596,0.0185295303928629,0.0003309309903068,0.0006161037568165,0.0001417073878853,0.0001816088688962,0.0002061177973668,0.0001484704659145,0.0001405062162,0.0001138884437983,0.0001679328214128,0.000263307265713,0.0002523835674356
uj0016,0.0001429022374149,0.0002497059748145,0.1096455650331848,8.231027920581049e-05,8.597858596708903e-05,0.0001006341963647,8.621583698800024e-05,9.075352308673368e-05,4.3036514778371534e-05,0.0001093699900458,0.0001056108324151,0.0001309567828787,0.0001377111847406,9.529429217166036e-05,0.0001316889912549,8.059290896507562e-05,0.3720978893744362,0.0001003627446497,4.439178246566391e-05,0.0001257629538188,0.0002160124982555,8.1345181087483e-06,0.0001283701238517,0.0001335573190304,0.0001297212657977,0.0002354467466693,0.0001199026315824,0.0001401077402433,0.0001069083427959,9.905087476779952e-05,9.361330245197515e-05,0.0002177034589213,0.0002371349991336,0.0002395445300159,0.0001090577900591,8.730912426375403e-05,0.0001249143067457,0.0002510798072522,0.1873764915927123,0.0001261865254141,8.142788469515999e-05,0.0001440775146092,0.0006671509828514,9.53210404048827e-05,9.948484184836676e-05,0.0001017274721583,0.0142785129326911,1.540256756548839e-05,9.771124918136491e-05,0.0001352372038891,0.000213123944355,0.000171158086038,7.617514109649736e-05,0.0001325678732784,9.898940450958686e-05,8.891969433020461e-05,0.0285872918834414,0.0222609195273942,0.0001010698128242,8.301862349931056e-05,4.47408287275969e-05,0.0478890717204473,0.0001105593839397,5.008317909613024e-05,0.0002366634058824,0.0001322859769432,5.611565851533138e-05,7.6594596095482e-05,0.2086840131968163,0.000170904585682,0.0003181779899133,7.31827575053117e-05,9.37893077530148e-05,0.0001064465939802,7.667545260604475e-05,7.256242953598473e-05,5.881606096569632e-05,8.67265082649615e-05,0.0001359812784895,0.0001303398904573
