year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.002701738810174391,0.002282010246152,0.09013297380869968,0.00022152872197258433,0.00023140155093724372,0.00027084545359982434,0.00023204008498129477,0.0002442527492058004,0.00011582786753970652,0.007573519269877862,0.00875395900226235,0.0076316176589724,0.0037260338805941793,0.029758125471451194,0.0003544258895978727,0.029196098689749084,0.03265782633067487,0.013801195855287511,0.0001194754158361662,0.000338476636208946,0.0012524529733146908,2.189312705389498e-05,0.00034549353678208877,0.0003594542805635189,0.0003491299811168872,0.0013047580347864093,0.0003227042477794026,0.0015356508658056931,0.0002877316026176446,0.00026658412423452197,0.0002519495189655175,0.0009873474065791909,0.010305866282928955,0.0022546618772562,0.010139169789582965,0.00023498254290129467,0.00033619259947227615,0.0006757526441459636,0.13223661599730646,0.000339616630813041,0.007444774959683465,0.00038776818623804493,0.006712502684941654,0.00025654570075257695,0.019959058487069244,0.000675211275162597,0.18819146403585194,4.145425262558394e-05,0.008732698175610117,0.005216750448691827,0.0005735987712627747,0.0004606524533890878,0.00020501669798731755,0.002783178775135408,0.00953495367750731,0.00023931720841223394,0.0003830770372062051,0.10883027006795415,0.00027201786558139524,0.00022343514979145272,0.0001204148340116591,0.02744025705977798,0.0002975579631435232,0.00013479316027769473,0.062376311525449486,0.001965987723650017,0.0001510288901155137,0.00020614561324246421,0.00023592415522787817,0.0004599701861140693,0.14275714664797348,0.00019696303908829703,0.00025242321714484886,0.00028648885838210655,0.0065396820174950104,0.00019529349716019846,0.0001582967150993999,0.00023341449843759893,0.0003659780907883494,0.0003507949387812337
1955,0.05830388264512469,0.0030532616618788896,0.2244751987156721,0.001534850114904384,0.00020627847648889248,0.00024143998735627267,0.0002068476854214002,0.00021773443082090204,0.00010325253203479168,0.0002623987666986005,0.000253379854603014,0.022594700192522136,0.00033039451700980066,0.00022862857287254176,0.0003159461647441335,0.00019335724459910707,0.025077141439345113,0.00024078872465424755,0.0001065040690381605,0.0013527342708694115,0.0005182538017055485,1.9516208408991183e-05,0.0003079835900645805,0.0003204286274734581,0.0003112252286542125,0.013381928589880146,0.0013386742775692141,0.0003361442954267645,0.0013074985834844648,0.000237641306985609,0.00022459556867190396,0.20097839624133482,0.005697846739022575,0.006880746057463668,0.00026164974138164816,0.00020947068312566607,0.00029969244780380115,0.004669619855188819,0.12232752687529783,0.00030274473490197036,0.00019536050528975337,0.00034566851589397824,0.0016006181862928313,0.00022869274681464714,0.00023868247400663919,0.00024406295751265144,0.10037155125084676,3.695359880241195e-05,0.0012512355770436037,0.0003244589809088694,0.014553735744989785,0.00041063979861456247,0.01455562472506421,0.00031805476472619314,0.012044717682051426,0.00021333473759748927,0.0003414866810214512,0.12296545189833859,0.00024248511154147077,0.000867863272171988,0.00010734149536154951,0.0011535503794075626,0.0055919157081945475,0.00012015877867104625,0.0005677991357615057,0.0034703957303637866,0.002588802807851099,0.00018376455500099525,0.00021031006538297717,0.000410031604531676,0.0007633676487393001,0.00017557892530621985,0.001606739459071697,0.00025538500065681055,0.00509230054280226,0.0001740906441604278,0.00014111057204086128,0.00020807287994878328,0.0062855919134641725,0.00031270942324595954
1956,0.00036488381160874005,0.0006375944108365,0.1512992206082871,0.00021016947638113998,0.034815756580266186,0.00025695741236804,0.00022014185215218,0.00023172829215157997,0.0001098886052083828,0.00027926321914497997,0.00026966465869179997,0.00033438251882704,0.00035162907802076,0.00024332260418836,0.00033625212554564,0.00020578437639447335,0.0291239942140818,0.00025626429280438,0.00011334911953226816,0.00032112069606972,0.0005515621388749199,2.0770521349514855e-05,0.00032777779365124,0.00034102267758462,0.0003312277733872,0.049781199622864244,0.00030615706251468,0.00035774839653088004,0.00027297769662542,0.08149039802156526,0.0002390303975211,0.00055587980516324,0.0006054959244512799,0.00061164837404486,0.00027846605373195996,0.00022293343075568,0.0003189537770323,0.00064110232803528,0.1362044177281344,0.0049482526684906806,0.00020791638728880754,0.00036788474168595995,0.031772818241571923,0.0002433909026102,0.00025402267275571996,0.00025974896165318,0.11432060254096618,3.932861838641225e-05,0.00024949401551226,0.00034531206312104,0.0005441865611632201,0.00043703174947420004,0.0001945041332866495,0.00033849624592126,0.00025275763262858,0.00022704582924112002,0.00036343413895205997,0.15715836296935884,0.00025806970701804,0.00021197814901228004,0.00011424036751260492,0.01605464108185,0.13769564253123762,0.0001278814217093808,0.0006042917673567,0.00033777645726614,0.00014328463808827295,0.00019557516157563292,0.0060265041483761,0.0045629164758726,0.025571621586908178,0.00018686343884900214,0.00023947980605572,0.00027179867612216,0.00019578161902723454,0.00018527950539918184,0.0001501797935231287,0.00022144579032265998,0.00034721196882752,0.0003328073576388
1957,0.0050191327151749825,0.00047888908758760555,0.15930462830230782,0.00039037016002715246,0.0029592218990344395,0.012161001666262284,0.0001653457573109557,0.0017358506457655883,8.253593976063705e-05,0.016421139175058903,0.0002025417101541463,0.0007451232015381845,0.008768261504202597,0.0031483412181313713,0.0028502183847010486,0.003503744917318174,0.02881400555710146,0.005124215476255516,0.00028149047577606635,0.0002411896881978169,0.0004142713376159436,1.5600475551123975e-05,0.004587038955279961,0.008012062214028679,0.006012690454539558,0.003558612767724486,0.007266669812244289,0.01802091781206671,0.000205030090990297,0.0001899609453779883,0.00017953270453612458,0.005544967027225695,0.006834170175997125,0.00045940134792977496,0.001193013785803919,0.0031922383951375533,0.0008247658986409342,0.0006850734796164611,0.11432011330227192,0.0006347127938998745,0.00446470130762496,0.011506390576864296,0.0385204103736376,0.0001828078246877966,0.00019079321260511618,0.0012602825243967534,0.09928273920115628,2.9539227218821828e-05,0.00018739179549973086,0.023501148134170567,0.11398367658183026,0.002827044074060179,0.007885129813284753,0.0002542402436501717,0.00018984305698588512,0.00017053124707161845,0.0002729707792961906,0.17276282890745936,0.001527052142103853,0.0048940259844210176,0.0002058120797512954,0.0009221019838385527,0.003876715017700445,9.605011637644848e-05,0.02964363370903148,0.00025369961950658755,0.00010761927713480645,0.0001468940271274827,0.00016811344521463687,0.008418324295745598,0.00152280689528325,0.0082485286886644,0.007574901352218888,0.01188796256046331,0.00014704909470485966,0.00013916109015586493,0.005092850826608112,0.00041552727500852735,0.0019211102532984677,0.0007695001259935309
1958,0.014167174380932379,0.0012982194482529365,0.18332621892507434,0.0017943403053295017,0.00020015611914637628,0.0013470315465586755,0.0015748852912432006,0.008002355644731823,0.00010018799079716307,0.0027762011727647975,0.002839805590030172,0.0010698372247326116,0.010902655249672787,0.002182066299492321,0.000306568863949186,0.003920811244454015,0.030761304203181204,0.0013919677198813883,0.0001033430219905954,0.0069006644278073025,0.001592270456429957,1.893696619291296e-05,0.006689202937483211,0.0038899861085825885,0.0027229002776968346,0.004078341053705948,0.0010804924556528314,0.004965087079027428,0.003514928610453718,0.00023058809898508014,0.0035045065517963748,0.014434281227183404,0.008156872203713984,0.0005576540129315653,0.007598902728991527,0.0002032535809019936,0.00029079755828582076,0.006210992603462089,0.13157841120207173,0.014415494991969176,0.0003968214255130139,0.045718723111712156,0.009122799912234206,0.00022190513260753582,0.03852413315934238,0.0013271863732271267,0.0875724106057466,3.585681381150597e-05,0.0023940868485981984,0.001222304194616048,0.008793835690490567,0.00039845198518405876,0.002781980024102678,0.0017171478774920966,0.007573367154474546,0.0002070029500092948,0.0005818601473991684,0.22743022423847303,0.006858412945001786,0.0019091931715612084,0.00010415559345132967,0.002771504466490292,0.013416408419333633,0.00011659245903660759,0.002614985040003978,0.00030795863254341917,0.000130635928765694,0.00017831041217546384,0.0036827053506845657,0.001020564878445409,0.0042162014492825835,0.0001703677324525892,0.009624101239759904,0.0013327929843082716,0.004068224063497375,0.0012553322599100523,0.0005607185227069486,0.0033742011542742647,0.005523403479135447,0.010043436796600804
1959,0.0003514065249800797,0.001321722482274057,0.16597204162996032,0.006288589974584127,0.00021142731327333623,0.001992448682862188,0.0004252725553988067,0.00022316921522370198,0.0001058297783092432,0.0002689484002094254,0.0013946857204988096,0.0003220318227794956,0.008828024390122683,0.00023433528171597527,0.0048637577737825274,0.01472925623291377,0.030589648465922943,0.023601519426688495,0.00010916247566250825,0.0007258334903624375,0.02850823764547322,2.000334489293208e-05,0.00031567104861346775,0.00032842672175848397,0.0023061343848893123,0.003364309670140668,0.0104418282271563,0.0003445346623842865,0.0005521571869383125,0.0002435729791781718,0.002064822478710479,0.0005353479228847536,0.0014656880755248892,0.0005890566333572678,0.006879151660404501,0.00021469919933783622,0.0003071729543769669,0.0006174226810946714,0.1378081157107777,0.003462820774232022,0.004372864896617888,0.006467146798282823,0.03374897469000325,0.002166056827512628,0.0002446401343640923,0.003387057998833106,0.11593400641512096,3.78759832027177e-05,0.011879194023589121,0.0003325576752776986,0.000524086578563475,0.003346691735481821,0.00018731996158223178,0.017115053307599718,0.001125978465470382,0.02079560680016564,0.006182041551820117,0.20641967850041595,0.0026791772654124525,0.022480218057903106,0.0026773360826431595,0.004099501417562443,0.018108338895458407,0.00012315801518921867,0.009504963858766795,0.0003253004032835789,0.00013799230097831186,0.00018835143055182527,0.00021555953308906387,0.0004202662438607122,0.0023689265778491573,0.0010357332418676612,0.0019274223826109568,0.019295133147568616,0.00018855026232600242,0.00017843605298709537,0.0001446327781205602,0.0012269143898314284,0.009896794850778946,0.005582174867802456
1960,0.00029998715272102705,0.002010567849312708,0.0849540007647517,0.0001727896409831735,0.0004918547005553913,0.0007067138189983675,0.018515113635565315,0.0007502141706499179,9.034429246835547e-05,0.009123523742713557,0.000221703267113384,0.008212647254455942,0.0010514760309825921,0.0018244735263175846,0.004686912211064048,0.015035799198062739,0.039991687673438775,0.01061716434299558,0.011822106833768012,0.008560967508803445,0.000453463678918236,1.7076366125152803e-05,0.011257743780053614,0.019069861662875377,0.001728618092963309,0.000494260974694704,0.011571192902269038,0.0002941208117527706,0.00022442706242833073,0.0021481058744940895,0.0008472747817504996,0.005798216585066152,0.007207055627452231,0.011297148478176332,0.003139199656330166,0.08274965863581286,0.003174828157449747,0.006799302062132051,0.10066093298268493,0.00026489673748650305,0.00017093727658624777,0.0013884033632880917,0.08428645372972894,0.0035954062154870303,0.011495076626048118,0.00021355113312653996,0.12275115369979232,3.2333800171004296e-05,0.00020512008741762616,0.001163658236476951,0.0056774273364667005,0.00035930316994721196,0.00015991046815665765,0.0002782927655051849,0.0017716589182361878,0.0001866644386083481,0.0007614003558717341,0.17653344035964172,0.004746144503230315,0.0061197695379969505,9.392206912335941e-05,0.001997801333756532,0.0006510851183123071,0.0001051369843331205,0.001147572341822696,0.001107001439916183,0.00011780065116962167,0.005937935821012304,0.006740909239667213,0.0011840774118414279,0.0006679343233475441,0.00015362871463335306,0.004386823133954753,0.014086276633005369,0.00016096074580057842,0.029253522531445482,0.001978224186171347,0.008919866763575125,0.00028545834757645215,0.010790523661110574
1961,0.00046809612774241917,0.0028312903415554456,0.08600711805782216,0.03953750275251943,0.00396278713749462,0.00012092286973442072,0.0008513538743387377,0.00010905017227324932,5.171302656908283e-05,0.000754859151697035,0.0004259454116339162,0.00026542005189214026,0.0001654748808547001,0.025756683615888287,0.00015823856412842764,9.684109561503958e-05,0.04759017174803248,0.020943263032845535,5.334152725698031e-05,0.010153814526779891,0.0034832094741132796,9.774503192248169e-06,0.00015425058603386733,0.019504980660006797,0.0016969870012494977,0.0023139305475231168,0.03690260610545944,0.050969280466857704,0.0002853491560920677,0.004437920099102799,0.0014861120901399824,0.0006415330657296218,0.0004962703586331049,0.0002878386576836771,0.00013104472850408995,0.00010491135460261265,0.0015074093159431446,0.0012244863715750226,0.17350981405917612,0.0001516267563720052,0.0012475042097046035,0.0012072479679340919,0.009388651347612935,0.0013281227556540406,0.0037562240176325246,0.0011563598121030203,0.13672663011353645,1.8507850597292567e-05,0.00011741063259967276,0.0015123678955484346,0.0005524751025600093,0.00036255217070531147,0.0026274568242906516,0.00015929463592392768,0.00354881740931255,0.00010684662870802561,0.0012890514828679815,0.16159632834248222,0.011386557826602904,0.0172967059048329,0.0022995105583315813,0.01695902604163057,0.00808085349837278,0.002413733491482351,0.00408354638755952,0.0001589559069922357,6.742903217625628e-05,0.003194406450136119,0.006904485254158815,0.037404066709392884,0.0018724357434274869,8.793699728613805e-05,0.0011468212491195762,0.00012790709403483,9.213384815736261e-05,0.0037066229926042684,7.067385774779765e-05,0.014819185800670985,0.001365315357216959,0.00015661747362542863
1962,0.0010353918537108933,0.0032557665095754385,0.16829717057780602,0.007499276821215257,0.00017879443847848602,0.0002092711159224811,0.00045579032962549923,0.009528901319284877,8.949541804299079e-05,0.004597361855682081,0.00021962014455710063,0.0002723276289834174,0.0002863735623349022,0.009621615475637604,0.000273850273069586,0.00016759479981763367,0.019426921219816977,0.00020870662586469136,9.231372823513982e-05,0.0002615269425116209,0.02357045030894884,1.6915916692368985e-05,0.0029691472084341967,0.0009812569835655342,0.0006555299927116953,0.002244004765740819,0.0002493402682162139,0.0014873437705568552,0.013726064999238879,0.01815425118977985,0.00019467100624826904,0.00045271932836346454,0.0004931276612286741,0.051960951707138964,0.0122680699197717,0.000181561323336496,0.00025976216148857265,0.0011259154422855382,0.29748263301239875,0.002817551753365753,0.00016933115096977902,0.0010225700423740175,0.013034630920815742,0.0017413088855989189,0.00020688100688476125,0.003693271400162648,0.11817080711204418,0.008393852722401396,0.002938184832136028,0.00028122886249855333,0.00044319612294946254,0.0006677349912068611,0.00015840795036545395,0.0002756779283644308,0.014565830467147923,0.00018491054067267768,0.009303316487411971,0.1294763437228552,0.0009817202899106117,0.0017276821506021544,9.303957793019466e-05,0.003938193273831803,0.0002299107707772992,0.00010414911786450095,0.000492146972263108,0.0027427302627026535,0.00033875775789292384,0.0001592802166416139,0.00018228886836165286,0.002460135499374004,0.004990453725064905,0.0007816688995894501,0.000509778853017004,0.005782499479614159,0.002790934283665464,0.007528564847750412,0.000751793025129556,0.0001803497600247591,0.0009660530743786849,0.00027104478706583147
1963,0.0008424684217748601,0.005838238547207004,0.0964268060392798,0.0009918397281531897,0.00014155947540875425,0.0011177863055680535,0.0009726978773915538,0.000678499658535039,7.085748604634788e-05,0.000554472406214006,0.00017388299500400715,0.03679365423517293,0.0038214282181622855,0.0001568973234153032,0.0021844476250909334,0.012385518403266946,0.11296083745811389,0.0001652422789162566,0.01966249388235621,0.01557015554853642,0.0003556538595144486,1.3393080419099265e-05,0.011920700216283943,0.00021989549846969833,0.009321384310581503,0.0014391637108288338,0.0011040820750272805,0.002506150849545738,0.0009630092654479325,0.005222825011231156,0.00015412965725506122,0.0005076262281557469,0.002522260393928777,0.0015903056535056651,0.002455028647312451,0.00014375014069091288,0.0005670753976920776,0.003396738677667672,0.19182944547479028,0.010634435388406091,0.00013406697157712148,0.0005513915086622959,0.023520123211569485,0.01778104821179104,0.0001637968555166564,0.011245941513557237,0.12762860600627776,2.5359563198137455e-05,0.00016087672319875946,0.003677440359690708,0.015788121782294304,0.0010735603559858952,0.006295281620316365,0.001356001628932175,0.0001629811425226955,0.023839098769546617,0.03635525248165811,0.07349250325734334,0.003780508332278827,0.00013668604408332408,7.366355439313572e-05,0.0073547047763725905,0.0004930784184783611,0.00093940218958886,0.0033269086029485855,0.04995645124677914,0.004337751261643568,0.000603450037829506,0.00014432617030891092,0.0004327419379068927,0.0014711139362493031,0.011656064977690866,0.00015441944124958788,0.0001752590349492554,0.00012624232796519823,0.00011947043957469109,9.683772583909084e-05,0.0001427908923591766,0.0062270707006189365,0.0066227685368827035
