,Number,Score,Rank
0,0,"0,01507",21.0
1,1,"0,02634",10.0
2,2,"0,56397",2.0
3,3,"0,00868",65.0
4,4,"0,00907",63.0
5,5,"0,01061",47.0
6,6,"0,00909",62.0
7,7,"0,00957",57.0
8,8,"0,00454",78.0
9,9,"0,01153",40.0
10,10,"0,01114",44.0
11,11,"0,01381",31.0
12,12,"0,01452",24.0
13,13,"0,01005",53.5
14,14,"0,01389",30.0
15,15,"0,0085",67.0
16,16,"0,24399",5.0
17,17,"0,01058",48.0
18,18,"0,00468",77.0
19,19,"0,01326",36.0
20,20,"0,02278",16.0
21,21,"0,00086",80.0
22,22,"0,01354",34.0
23,23,"0,01409",27.0
24,24,"0,01368",33.0
25,25,"0,02483",14.0
26,26,"0,01265",38.0
27,27,"0,01478",23.0
28,28,"0,01128",42.0
29,29,"0,01045",50.0
30,30,"0,00987",56.0
31,31,"0,02296",15.0
32,32,"0,02501",12.0
33,33,"0,02526",11.0
34,34,"0,0115",41.0
35,35,"0,00921",60.0
36,36,"0,01317",37.0
37,37,"0,02648",9.0
38,38,"0,76201",1.0
39,39,"0,01331",35.0
40,40,"0,00859",66.0
41,41,"0,0152",20.0
42,42,"0,07036",6.0
43,43,"0,01005",53.5
44,44,"0,01049",49.0
45,45,"0,01073",45.0
46,46,"0,50591",3.0
47,47,"0,00162",79.0
48,48,"0,01031",52.0
49,49,"0,01426",26.0
50,50,"0,02248",17.0
51,51,"0,01805",18.0
52,52,"0,00803",70.0
53,53,"0,01398",28.0
54,54,"0,01044",51.0
55,55,"0,00938",58.0
56,56,"0,01501",22.0
57,57,"0,34779",4.0
58,58,"0,01066",46.0
59,59,"0,00876",64.0
60,60,"0,00472",76.0
61,61,"0,05071",7.0
62,62,"0,01166",39.0
63,63,"0,00528",75.0
64,64,"0,02496",13.0
65,65,"0,01395",29.0
66,66,"0,00592",74.0
67,67,"0,00808",69.0
68,68,"0,00925",59.0
69,69,"0,01802",19.0
70,70,"0,03356",8.0
71,71,"0,00772",71.0
72,72,"0,00989",55.0
73,73,"0,01123",43.0
74,74,"0,00809",68.0
75,75,"0,00765",72.0
76,76,"0,0062",73.0
77,77,"0,00915",61.0
78,78,"0,01434",25.0
79,79,"0,01375",32.0
