idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
uj0002,4.980647459156963e-05,3.14127054991664e-05,2.0684009381920205e-05,0.0892221664319814,1.8055120364037275e-05,1.565909119571924e-05,2.631810922796801e-05,0.0003947761931863,2.3085435466770533e-05,1.5744430712285713e-05,3.1663074924421666e-05,2.647248472741829e-05,1.6002463216960703e-05,1.9437204739889515e-05,2.155555687877249e-05,2.111088678805217e-05,3.4288164172960966e-05,0.0050017188416643,1.6694776635447057e-05,1.5958240227378793e-05,1.5446147424146144e-05,0.0003049406849583,1.0738928252267863e-05,1.7821099655894337e-05,3.774859269280944e-05,2.643082803690341e-05,2.93716813534704e-05,2.4992663284113872e-05,2.594379178436501e-05,1.2266175152697436e-05,2.2483202568838685e-05,1.7596897591822285e-05,2.526620768208936e-05,1.9815783991822683e-05,1.754057439509959e-05,1.581334354241652e-05,2.0922422970769348e-05,3.485623596977034e-05,8.746715394486781e-05,5.771156713617113e-05,0.0989336179152621,2.1392155886907445e-05,1.739020809625788e-05,5.7956272996671485e-05,1.645994549124521e-05,4.65270546883195e-05,3.3417839256845296e-05,0.2517868049347777,2.657310056387604e-05,4.558418505481572e-05,2.614819265270613e-05,2.009155085767977e-05,3.728298427795869e-05,7.976894490580856e-06,3.887128489751597e-05,3.5281334008959777e-06,2.8763678943362705e-05,2.080684997370577e-05,2.0323214257476275e-05,1.8134394176815333e-05,1.728110910048967e-05,1.5872384978306507e-05,0.0766896142119901,1.9790628363483857e-05,6.9687693973490605e-06,1.2484656638274844e-05,2.584265359956981e-05,3.5771964640468504e-05,2.929566660755505e-05,8.514537643375587e-06,1.0434903103686652e-05,2.305429592742065e-05,3.0086373578184995e-05,1.4638850160019724e-05,4.749023979588638e-05,6.916437183825332e-05,2.546294500533656e-05,1.951352433730792e-05,2.8185897838065968e-06,1.8598110318288352e-05,2.7264982684899902e-05,2.442760431157231e-05,5.954134780777596e-05,1.9367969501990004e-05,2.952007102170823e-05,1.3201275327030864e-05,0.2480092340195265,2.216095128704657e-05,1.4536929214277817e-05,0.1456745492466709,5.447024398907523e-05,0.074299308038,2.39109486605092e-05,2.0944295429820383e-05,1.1680794616575764e-05,0.0074433582859206,2.276666259344148e-05,2.057798905202657e-05,1.684834978022094e-05,1.4196739821469644e-05
uj0003,9.351427111832205e-05,5.897900388850784e-05,3.883531362169927e-05,0.1025154128216774,3.3899436461666446e-05,2.940076589542192e-05,4.9413631899222776e-05,0.0053843479756607,4.334411718209652e-05,2.956099531849886e-05,5.944908562998935e-05,4.970348000487576e-05,3.0045464893938373e-05,3.649437244321692e-05,4.047168980735556e-05,3.963679836477055e-05,6.437782852357386e-05,0.0001047198481188,3.134531968683599e-05,2.996243390908474e-05,2.900095278375038e-05,0.0005725421468202,2.016290163754666e-05,3.346005029494738e-05,7.087496475825642e-05,4.962526738126316e-05,5.514687389165872e-05,4.692503754753108e-05,4.871083124544326e-05,2.303038788070192e-05,4.221339329618824e-05,3.3039099147996094e-05,4.7438631517089154e-05,3.720517486590118e-05,3.293334938891822e-05,2.9690382775315044e-05,3.9282947652591e-05,6.544441314850726e-05,0.0001642241739657,0.0001083564974251,2.7664298796891416e-05,4.0164895865813326e-05,3.2651028767909593e-05,0.0001088159455263,3.090441188386464e-05,8.735698806510103e-05,6.274374779744176e-05,0.1662960398551808,4.9892391520626754e-05,8.558670082313611e-05,4.909460460775441e-05,3.7722941635596925e-05,7.000076051275669e-05,1.4977038230300476e-05,7.298287831917978e-05,6.624255703671886e-06,5.400531744371394e-05,3.906595328248175e-05,3.815790183212584e-05,3.404827720740285e-05,3.244618967514771e-05,2.9801236171149767e-05,5.159393999523104e-05,3.7157943852907e-05,1.308423043647965e-05,2.3440598341172405e-05,4.8520938993262976e-05,6.716374180777725e-05,5.50041522150733e-05,1.598649147845038e-05,1.959207845834449e-05,4.328565106199579e-05,5.648874606824176e-05,2.748520978347435e-05,8.916541867627674e-05,0.000129859739579,4.780801617111455e-05,3.6637666494505455e-05,5.292050308231145e-06,3.491892861028271e-05,5.119143652989341e-05,4.586410965834784e-05,0.0558294113510106,3.636437964888708e-05,5.5425483284926224e-05,2.4786087555141583e-05,0.075627023105218,4.160834959492544e-05,2.7293847856518017e-05,0.2502959400783705,0.0001022707430318,0.0327087481589538,0.3064918004552108,3.9324014342865625e-05,2.1931305188919984e-05,4.589115683139632e-05,4.2745604375355824e-05,3.863625488576125e-05,3.163366132945667e-05,2.6655124409987928e-05
uj0006,5.6199550962871255e-05,3.5444788213958046e-05,2.3338974478882068e-05,0.0392858045248509,2.037264563212504e-05,1.7669066138542332e-05,2.9696258025336152e-05,0.0088166450593953,2.6048643628241173e-05,1.776535969374281e-05,3.5727294642882445e-05,2.9870448907544126e-05,1.8056512822236144e-05,2.193213206341008e-05,2.432239236516233e-05,2.382064516000416e-05,3.86893359882127e-05,6.293380005850273e-05,1.883769044148264e-05,1.8006613443146988e-05,1.742878925805873e-05,0.0003440823649034,1.211735924995783e-05,2.010858641449327e-05,4.2593939366575774e-05,2.982344523340872e-05,3.314178159818949e-05,2.820068004112825e-05,2.92738938162536e-05,1.3840641026422022e-05,2.5369109115582303e-05,1.985560614578076e-05,2.8509336143787505e-05,2.235930511946301e-05,1.9792053397055498e-05,1.784311806031444e-05,2.3607990440092787e-05,3.933032453753601e-05,0.0028890929757817,6.51193280595169e-05,1.662549631725017e-05,2.4138017493320714e-05,1.962238632978864e-05,6.539544395791921e-05,1.8572716761565232e-05,5.249919016655512e-05,3.7707297611102215e-05,0.1780705911442316,2.998397962568968e-05,5.143529535259837e-05,0.0893222623937065,2.2670468962290592e-05,4.20685662287714e-05,9.000795421178553e-06,4.3860738478366406e-05,3.98099874551296e-06,3.245573700835259e-05,2.347758268504349e-05,2.293186829139105e-05,2.0462094899871352e-05,1.949928356809044e-05,1.790973795687267e-05,3.100656429721351e-05,2.2330920556443365e-05,7.863269065044536e-06,1.4087166432683754e-05,2.91597737020054e-05,0.0028307622778218,3.3056009725716465e-05,9.607449556270468e-06,1.1774309938160594e-05,2.601350706932981e-05,3.3948210530070056e-05,1.6517868657684843e-05,5.358600811509039e-05,0.002868440878957,2.8731326343150088e-05,2.2018247917618863e-05,3.180379287982749e-06,2.0985332875229483e-05,3.07646705868476e-05,2.7563091037192755e-05,0.0977311378884117,2.185400990534393e-05,3.3309218317830505e-05,1.4895769106331062e-05,0.3244896663921413,2.500549419438104e-05,1.6402865308594644e-05,0.0946131254047418,6.146195405571251e-05,0.1563866096016083,2.698011832470346e-05,2.3632670411666804e-05,1.3180122016750711e-05,2.757934565760483e-05,2.5688953598237137e-05,2.321934555549776e-05,1.9010975980100325e-05,1.6019009770234836e-05
uj0007,6.326042300494321e-05,3.9898046466901056e-05,2.6271266811563545e-05,0.0002478916177747,2.2932250495550822e-05,1.9888995176579968e-05,0.2356071080617184,0.0005014149099698,2.9321376886377995e-05,1.9997386986305568e-05,4.021604680478953e-05,3.362335109202524e-05,2.032512038901317e-05,2.468766970483842e-05,2.737824062916249e-05,2.681345425816776e-05,4.3550236940712806e-05,7.084075841886408e-05,2.1204444614720528e-05,2.026895168704348e-05,1.961853007788651e-05,0.0003873126311403,1.3639775740585925e-05,2.26350150636027e-05,4.794541194033096e-05,3.357044190934232e-05,3.7305691720277685e-05,3.174379364004954e-05,3.2951845238789445e-05,1.5579569426977776e-05,2.855646613565584e-05,2.2350250531921107e-05,3.2091229078282515e-05,2.5168512483103253e-05,2.227871306056048e-05,0.003161067325349,2.657408174886641e-05,4.427175884038611e-05,0.00011109417406,7.330087462023097e-05,1.8714311977175943e-05,2.7170701028145248e-05,2.208772914233664e-05,7.36116815258388e-05,2.0906179828088587e-05,5.909515148167929e-05,4.244481595284513e-05,0.059099046456576,3.375114572972061e-05,5.789758967183256e-05,3.321145978689531e-05,2.5518770732214905e-05,4.73540312911351e-05,1.013164902511208e-05,4.9371370801231935e-05,4.481168626946472e-06,3.65334529708612e-05,2.642728965522508e-05,2.581301208910809e-05,2.303293810636204e-05,2.194915983627136e-05,2.015990483283335e-05,3.490220721990415e-05,2.513656170355664e-05,8.851204657934646e-06,1.5857068111831785e-05,3.282338715367977e-05,4.543484824876445e-05,3.720914353009456e-05,1.0814522758906977e-05,1.325362595461726e-05,2.92818257949264e-05,3.821343981577212e-05,1.859316205418754e-05,6.031851647260471e-05,0.0126517770042794,3.234110997010505e-05,2.478460509438057e-05,3.579959904072334e-06,2.362191533280417e-05,3.4629922153959546e-05,3.102609840225472e-05,7.562492385762837e-05,2.459973233379806e-05,3.74941650715692e-05,1.676726305647914e-05,0.506602528245114,2.8147166891587176e-05,1.8463709765231752e-05,0.159896952890977,6.91839907198453e-05,0.0189857926769136,3.036988140833645e-05,2.660186249470465e-05,1.48360632736596e-05,3.104439524173893e-05,2.8916495654075108e-05,2.61366077944138e-05,2.1399501626489827e-05,1.8031626887105656e-05
uj0008,0.0001015282286466,6.403336860279511e-05,4.216341050188485e-05,0.0003978474321464,3.680454004412041e-05,3.1920343777675644e-05,5.364826627772703e-05,0.0008047332788504,4.705860813672942e-05,3.209430449305657e-05,6.454373526620351e-05,5.3962953698070456e-05,3.262029199463597e-05,3.962185605917868e-05,4.394002035557183e-05,4.303358064039071e-05,6.989486006732617e-05,0.0001136940977724,3.403154134772892e-05,3.2530145445727885e-05,3.148626760371567e-05,0.1720169986268513,2.18908158418474e-05,3.632749949549267e-05,7.694878590446752e-05,5.3878038432857694e-05,5.987283389647937e-05,5.094640512513882e-05,5.288523722754468e-05,2.5004039047829386e-05,4.583098381958733e-05,3.587047380534273e-05,5.150401291429467e-05,4.0393572611420585e-05,3.575566153561551e-05,3.223478015674446e-05,4.2649405737637394e-05,7.105284853663876e-05,0.0001782978072149,0.0001176423995435,3.003506545054378e-05,4.360693488025565e-05,3.544914668800315e-05,0.0001181412212882,3.3552848762128736e-05,0.0051358841905515,6.812074238875467e-05,0.1099726544973819,5.4168054495368816e-05,9.29212838464518e-05,5.330189908258819e-05,4.095571080006955e-05,7.599966436975946e-05,1.6260535891584516e-05,7.923734279980932e-05,7.191939151672256e-06,5.863344869169824e-05,4.241381545008009e-05,4.142794608306163e-05,3.696613609875827e-05,3.522675335704965e-05,0.0050733960433593,5.601542175297505e-05,4.034229400945815e-05,1.4205518831867968e-05,2.5449403599419368e-05,5.267907164696518e-05,0.0151960422494782,5.971788130111714e-05,1.735649695678431e-05,2.127107443166745e-05,4.6995131604873056e-05,6.132970142620921e-05,2.9840628921393102e-05,9.680668957233944e-05,0.0001409884199951,5.1905052981911554e-05,3.977743008043703e-05,5.745566823951216e-06,3.791140032042157e-05,5.5578424668239805e-05,4.979455816079406e-05,0.0001213723240547,3.948072318194722e-05,6.017531947268584e-05,2.691019813830376e-05,0.2030930665387249,4.517408926746844e-05,2.9632867718296155e-05,0.2062121934992296,0.0001110351100235,0.0002245261283604,4.8741379161420095e-05,4.269399174862908e-05,2.381076750223216e-05,4.982392321424174e-05,0.2773036588501013,4.194729289101403e-05,3.434459320462986e-05,2.893940714435658e-05
uj0009,0.0001321789179579,8.336461187146763e-05,5.489226052545303e-05,0.00051795489584,4.791558312226693e-05,4.155688085592285e-05,0.0525730223385804,0.138868519149423,6.126528539931748e-05,4.17833591411521e-05,8.402905479764098e-05,7.025400644440336e-05,4.246813873146864e-05,5.158342789194457e-05,5.720521694382229e-05,5.60251291756823e-05,9.099564818254536e-05,0.0001480175811406,4.430543477166662e-05,4.235077754580478e-05,0.0066038890127012,0.0008092668696126,2.849950589864366e-05,4.729452724076256e-05,0.0001001791067825,7.014345583179486e-05,7.794803972263582e-05,6.632678214774347e-05,6.8850934620552e-05,3.2552590249801885e-05,5.966704955829289e-05,4.669952856888297e-05,6.705272797776583e-05,5.2588120480452646e-05,4.655005524719559e-05,4.196624346281525e-05,5.552497445389259e-05,9.25032255816776e-05,0.000232124715915,0.0001531578486586,3.91024496829207e-05,5.6771575203966295e-05,4.615100562882315e-05,0.0001538072613329,4.3682228114340046e-05,0.0001234758290946,8.86859363101956e-05,0.0119147141187921,7.052102579282102e-05,0.0001209735944162,0.25602238623905,5.331996440710193e-05,9.894345184067434e-05,2.1169482302776137e-05,0.0001031585636109,9.363137205875484e-06,7.633449246110211e-05,5.521826104319058e-05,5.393476434559727e-05,4.812596393884414e-05,4.5861473247155954e-05,4.212293058380944e-05,7.292610079941187e-05,5.2521361213476895e-05,1.849406941554852e-05,0.0262847214181497,6.858252903794275e-05,9.493343221301514e-05,7.774630798100315e-05,2.2596306641713583e-05,2.7692668725344127e-05,6.118264572946069e-05,7.984472576015236e-05,3.884931407347263e-05,0.000126031977996,0.0001835518756505,6.757483934424999e-05,5.1785968663771454e-05,7.480114801259519e-06,4.9356597070825046e-05,7.235717723420173e-05,6.482720033261876e-05,0.000158013812291,5.1399687948389736e-05,7.834184365966731e-05,3.503420594814778e-05,0.3300344697734101,5.881184295940903e-05,3.857883116064067e-05,0.163459911612762,0.0067074531155722,0.0002923090562653,6.34560736774117e-05,5.55830206817004e-05,3.099907805098189e-05,6.486543049818191e-05,6.041930997510786e-05,5.4610898461548616e-05,4.471299487846148e-05,3.767601950390528e-05
uj0013,6.865123070772944e-05,4.329800312231398e-05,0.1806866812100278,0.0002690159792488,2.488644787111973e-05,2.1583858146279165e-05,3.627581761641636e-05,0.0005441435423526,3.182003081354243e-05,2.1701486685306152e-05,4.364310221467717e-05,3.648860256285736e-05,2.205714825649341e-05,2.679145709175308e-05,2.9711308026781565e-05,2.90983927534722e-05,4.726141909230567e-05,7.687753288250923e-05,2.301140507961352e-05,2.1996193075761004e-05,2.1290345061686884e-05,0.1469920417203366,1.4802104486330824e-05,2.4563883189382022e-05,5.20311338454943e-05,3.643118466499349e-05,4.048473796642319e-05,3.444887652033732e-05,3.575987358726264e-05,1.690719986135666e-05,3.09899373376492e-05,2.425485212962569e-05,3.482591905804387e-05,2.731327542518764e-05,2.417721851262881e-05,2.179647334394497e-05,2.8838621848053964e-05,4.804442628767774e-05,0.0001205611883607,7.954729063760144e-05,2.030907300416151e-05,2.9486082706531777e-05,2.396995968619911e-05,7.98845833013064e-05,2.2687723325581287e-05,0.0205159994495351,4.606179841854983e-05,0.2822885011476224,3.662728736354151e-05,6.283139753383947e-05,3.604161147946272e-05,2.7693381322759177e-05,5.138935803282136e-05,1.099502882897828e-05,5.357860738565376e-05,4.863036423653102e-06,3.964669202823058e-05,2.8679320701966866e-05,2.801269678598729e-05,2.499571568930474e-05,2.3819582041728504e-05,2.187785367190108e-05,3.787643784606671e-05,2.7278601924225187e-05,9.60546996288215e-06,1.7208345907021192e-05,3.562046880275072e-05,4.930662966089988e-05,4.037996231422502e-05,1.1736094411788863e-05,1.438304851444452e-05,3.177710933159512e-05,4.146984083118623e-05,2.017759915498016e-05,6.545862631973214e-05,9.533337355755772e-05,3.509709382955341e-05,2.689665293893673e-05,3.8850301914624605e-06,2.563488326886579e-05,3.758094970367835e-05,3.367002208011582e-05,8.20693863301994e-05,2.669602603928207e-05,4.068927228515137e-05,1.8196104131924488e-05,0.1952741763854206,3.0545759200698374e-05,2.0037115444429364e-05,0.1121671452595385,7.507958187093341e-05,0.0580987803728513,3.295788482108586e-05,2.8868769961221404e-05,1.6100334999576112e-05,3.368987810524159e-05,3.138064717417152e-05,2.836386806126056e-05,2.3223084092810888e-05,1.9568212140561533e-05
uj0014,9.016508197458358e-05,5.6866686301366886e-05,3.7444437029067736e-05,0.0003533199269901,3.268533701760822e-05,2.834778516021464e-05,4.7643895606243855e-05,0.0007146666796265,4.179175897008065e-05,2.8502276008442432e-05,5.731993218831612e-05,4.7923362877857525e-05,2.8969394432842328e-05,0.0045120296186278,3.9022206829938776e-05,3.821721680584601e-05,6.207215344521285e-05,0.0001009693341677,3.0222695266555465e-05,2.888933718097876e-05,2.7962291250490804e-05,0.2423015199590973,1.944077259282263e-05,3.226168735144555e-05,6.833659644620646e-05,0.1388299587114497,5.3171803037335714e-05,4.5244429609894936e-05,4.696626557392887e-05,2.220556056671326e-05,4.070153166419125e-05,3.185581245964285e-05,4.573962934586103e-05,3.58726812661371e-05,0.017939122980427,2.862702948735853e-05,0.0089915606043275,6.310053862097143e-05,0.0001583425281591,0.0001044757378309,2.6673509176316246e-05,3.8726400633112834e-05,3.1481640718645856e-05,0.0001049187309187,2.979757846114461e-05,8.422832040231044e-05,6.049659689258396e-05,0.1424328215836578,4.810550857711747e-05,0.0045593637181162,4.733629419371743e-05,3.637190435449612e-05,6.749370159694565e-05,1.4440639526162468e-05,7.036901563466926e-05,6.387009719473239e-06,5.207113113478384e-05,3.7666816390766765e-05,3.679128656543256e-05,3.282884707099355e-05,3.128413788437678e-05,2.873391269783613e-05,4.9746116538466e-05,0.0627116190979624,1.261562214805506e-05,2.260107944691021e-05,4.678317426305814e-05,6.475828997432563e-05,5.303419290024133e-05,1.541393947044352e-05,1.88903932963767e-05,0.008995419951962,5.446561641313518e-05,2.650083418904008e-05,8.597198254448434e-05,0.0001252088469954,4.609578458518501e-05,3.532549805852364e-05,5.102516911579638e-06,3.3668316321763e-05,4.935802862938844e-05,4.422149857537622e-05,0.0001077882052481,3.506199890975116e-05,5.344043410810639e-05,2.389838031684856e-05,0.2251310986750481,4.011815744472544e-05,2.631632583941073e-05,0.1383642839973818,9.860794313841756e-05,0.0001993969267357,4.328619248289037e-05,3.791563506181772e-05,2.114584123386431e-05,4.424757706100128e-05,4.121468174285903e-05,3.725250752965584e-05,3.0500710028716035e-05,2.5700478105939063e-05
uj0015,0.0001986779793728,0.000125305252106,8.250849358497334e-05,0.0007785374074894,7.2021857814193e-05,6.246409975997456e-05,0.0001049829124667,0.0015747618559622,9.208777993406254e-05,6.280451900970302e-05,0.0001263039755032,0.000105598716186,6.38338104233542e-05,7.753499106381204e-05,8.598509571395385e-05,8.421130714858522e-05,0.0001367754539977,0.0002224850557638,6.659544798564916e-05,6.365740496032938e-05,6.1614667259419e-05,0.0012164080998086,4.2837574497825685e-05,7.108834943387675e-05,0.0001505791000442,0.0001054325476875,0.0001171636087465,9.96957098680871e-05,0.0001034897605432,4.892976091874798e-05,8.968547348185685e-05,7.01940076153415e-05,0.0001007868782092,7.904514333665113e-05,6.996933443763825e-05,6.30794122229956e-05,8.345952516221312e-05,0.0001390414918503,0.0003489063931901,0.0002302113859509,5.877484709021971e-05,8.53332893141337e-05,6.936952341578571e-05,0.0002311875173937,0.1579005915558215,0.0001855963765242,0.0001333037287421,0.3730375919819938,0.0001060000726611,0.0001818352704606,0.000104305115411,8.014517710004744e-05,0.000148721788524,3.181982447171948e-05,0.0001550575181719,1.4073720752090065e-05,0.0001147382877157,8.299850458778081e-05,8.10692821796308e-05,7.233808097732752e-05,6.893432762631092e-05,6.331492845412991e-05,0.000109615138134,7.89447975593361e-05,2.779841444178241e-05,4.980128335515511e-05,0.0001030863204211,0.0001426943326393,0.0001168603859979,3.396448249252582e-05,4.162481847174739e-05,9.1963564341464e-05,0.0001200145153453,5.839435924715502e-05,0.0001894385209945,0.0002758966129223,0.0001015716632029,7.783942986471049e-05,1.1243351944094337e-05,7.418784422088021e-05,0.0001087599897782,9.74416901686071e-05,0.0002375103792948,7.725881176623934e-05,0.0001177555349907,5.265987461724285e-05,0.1804045657692186,8.840001342788225e-05,5.7987796692350186e-05,0.1569142551863283,0.0002172817510261,0.1188155690426494,9.53807512720776e-05,8.354677438038827e-05,4.659467852163879e-05,9.749915388644136e-05,9.081619524811072e-05,8.20855785907193e-05,6.720805111284923e-05,5.663078153073826e-05
uj0016,0.0001057947541149,6.672424582593519e-05,4.393524545989259e-05,0.0004145661932674,3.83511789399624e-05,3.326173386694231e-05,5.590272986347361e-05,0.0008385506228073,4.9036154212327766e-05,3.3443004941546146e-05,6.725605965134649e-05,5.623064140789933e-05,3.39910960403365e-05,4.128688715678557e-05,4.578651387198443e-05,0.1051024581075974,7.283205501854604e-05,0.0001184718701241,3.546165039054689e-05,3.389716125881634e-05,3.2809416489761215e-05,0.1634870345316034,2.281073461279598e-05,3.785409169420119e-05,8.018240830879587e-05,5.614215774455222e-05,6.238887277639944e-05,5.308732827416895e-05,5.5107636008072806e-05,2.605478494217192e-05,4.775694138148337e-05,3.737786039224528e-05,5.366836844134933e-05,4.209103358954851e-05,3.725822336117429e-05,3.358938382057428e-05,4.444166369601159e-05,7.403870569109304e-05,0.0001857904242494,0.000122586091564,3.1297230401098355e-05,4.543943113026725e-05,3.693882782588311e-05,0.0001231058753181,3.49628416841868e-05,9.882888421255355e-05,7.09833835103603e-05,0.1566170869154659,5.6444361165529474e-05,9.682611927371742e-05,5.5541807263604713e-05,4.267679453741034e-05,7.919340179574816e-05,1.6943853146657155e-05,8.256713733685391e-05,7.494166344707975e-06,6.109740482958845e-05,4.419617318685712e-05,4.3168874585634895e-05,3.851956575311044e-05,3.670708884965281e-05,3.3714794708291175e-05,5.836936042321216e-05,4.203760010451392e-05,1.480247800958476e-05,2.651886506900052e-05,5.489280672172424e-05,7.598382006321046e-05,6.222740860092477e-05,1.8085869834607144e-05,2.216494978054912e-05,4.897001020322472e-05,6.39069623180025e-05,3.109462305665162e-05,0.0001008748015849,0.0001469131829174,5.408626143435596e-05,4.144899887236565e-05,5.987013045475235e-06,3.9504552857068136e-05,5.79139993896866e-05,5.188707719133833e-05,0.0001264727588662,4.113982344609861e-05,6.270406971802527e-05,2.804104664464624e-05,0.243144940744978,4.707244211908808e-05,3.087813109486643e-05,0.2411422621163873,0.0001157011436096,0.0264983654314815,0.0578324785090413,4.44881233470142e-05,2.4811368490986693e-05,5.191767625379105e-05,4.835904349471664e-05,4.3710045928621495e-05,3.578785764017161e-05,3.015552919501701e-05
