receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumannSabine,0.00015812245332,9.972707563987784e-05,6.566628806364479e-05,0.0477258316469853,5.7320257062201366e-05,4.971349482038977e-05,8.355307280825536e-05,0.0012533105523101,7.329018409558002e-05,4.998442533364726e-05,0.0001005219326957,8.404317440459925e-05,5.080361065061885e-05,6.17080113450971e-05,6.843322207207144e-05,6.7021511521599e-05,0.0001088559004292,0.0001770698642873,5.300152361464938e-05,5.066321429325403e-05,4.903745436869183e-05,0.0009681064483709,3.4093271912970344e-05,5.657730288199273e-05,0.0001198418505809,8.39109253716086e-05,0.4554533227037106,7.934513064603635e-05,8.23647134034116e-05,3.894187902081562e-05,7.137825308516558e-05,5.586552031353731e-05,8.021356214323707e-05,6.290990087015662e-05,5.568670898192523e-05,5.020320543914296e-05,6.642318848437946e-05,0.0001106593789309,0.000277685202177,0.0001832190424106,4.6777317973309226e-05,6.791446691181347e-05,5.520933554273919e-05,0.0001839959191384,5.225599651317007e-05,0.0001477111579047,0.0001060928477929,0.0299553568542411,8.436260321448822e-05,0.0001447177948764,8.301363238488716e-05,6.378538811817581e-05,0.00011836366636,2.532454137879313e-05,0.0236765134482789,1.120089533669966e-05,9.131711325348964e-05,6.605627462462318e-05,6.452085846456509e-05,5.757193056174724e-05,5.486297493386072e-05,5.039064646497386e-05,8.723973646944382e-05,6.283003836833609e-05,2.2124009433849576e-05,3.963550025756867e-05,8.204362627497502e-05,0.0001135665765427,9.300603412749076e-05,2.703141694121309e-05,3.312807205172985e-05,7.319132425059725e-05,9.551632073337016e-05,4.647449794567572e-05,0.0158528405807619,0.0002195786842391,8.083815138522964e-05,6.1950305988096e-05,8.948281025170748e-06,5.904410731256354e-05,8.655914692254474e-05,7.755121706870569e-05,0.0001890281146488,6.148820767975752e-05,9.37184591042178e-05,4.191057606026953e-05,0.1278770639783975,7.03551900460656e-05,4.615092575716872e-05,0.2662024740226342,0.0237260360394886,0.0003496822777672,7.591097130271433e-05,6.649262778747516e-05,3.7083449825486766e-05,7.759695089421333e-05,7.227816408822118e-05,6.53297014089567e-05,5.348907794598596e-05,4.507091393490257e-05
BaumgärtnerKlaus,0.00754076342690729,0.0001546573369194559,0.005165462287274188,0.011524591735640938,8.889259262741261e-05,7.709598089133346e-05,0.0025169642816115275,0.022355621866472764,0.006770809276929649,0.008894103718430607,0.0009518095254474467,0.0030236308433127033,0.00216254012851348,9.569714784068573e-05,0.005779844872741426,0.00010393735524419486,0.00016881437222870835,0.001282043548697562,8.219507533255536e-05,7.856881144964718e-05,0.0011343928655610544,0.007747751817559859,5.287204710556036e-05,0.0007853400857046052,0.0037643664137551464,0.0009865998798415448,0.003220554104792162,0.004992087766627536,0.001226417835019749,6.039129559707551e-05,0.00011069381574947298,0.0003700689875465263,0.004942746622321764,0.0009478582729421584,0.00040931954961547846,7.78554270063585e-05,0.004179482833239308,0.005681433044235752,0.028378545191103464,0.015156764792561563,7.254254052440544e-05,0.00010532215572844162,8.5618963088483e-05,0.0031074917227726234,8.103890750775408e-05,0.002370681112690122,0.0009432376418157637,0.12359741918936963,0.00027254622711241083,0.003281071945585946,0.0019700568016852373,0.007691491258771699,0.0007199372983542864,0.005594406356567983,0.00048105609018142623,1.7370414531589455e-05,0.0039708782847455775,0.00010244046017307803,0.001401941465479291,0.0005151126921499735,8.508182501400532e-05,7.81461116544193e-05,0.0050223096333533255,0.010892159681519452,3.431004427901303e-05,6.146696750080314e-05,0.0038700759980307762,0.000176119716521028,0.00106489369166926,4.192048077680231e-05,5.137520946967731e-05,0.00583742921533285,0.00028310998631227364,7.207292544004911e-05,0.0002338134808761772,0.004387716409820653,0.0001253642818112723,9.607289980167665e-05,0.0001053821181912239,0.0005427569906751276,0.004907804273804676,0.007267277947333758,0.029881294372038725,0.008140249264640251,0.000955235416544874,6.499516847007163e-05,0.36099030885325195,0.01633635183405828,0.00028324018621990514,0.19747614857100085,0.008684924087157743,0.004353570041598597,0.003269706530804363,0.002519401627980646,5.7509232643167156e-05,0.0002118428801947878,0.000624291054128237,0.0004638718633991355,0.0009552545263619674,6.98962390802347e-05
BaumgärtnerKlaus+BaumgärtnerSabine,0.00535467103079301,0.004037425425087098,6.98478548816427e-05,0.017469225415537967,0.007940640719000818,0.00451060727928707,0.005611909103414327,0.019276936235246834,0.0010027736196904467,0.0016993274370676623,0.000798276357277716,0.00015795913492154643,0.002682877025352412,0.007318561071688321,0.00015987052351787255,0.001940734830248253,0.006964515500598597,0.0019326783033052938,0.000986016046016911,5.3889399631707926e-05,0.0001795716200312907,0.006569708207865413,0.010599079116510686,0.009568604071913888,0.019193271896278556,8.925429335460009e-05,0.0010990391219905273,0.0015633577880010132,0.0006463456364578649,0.005652192769447495,7.59235524073668e-05,0.001122167634694215,0.0032010639064942803,0.0004541749186261054,5.923278568808066e-05,0.00035915199481656896,0.012058195327891248,0.008994694001259277,0.0003707841125809085,0.003066067002177821,0.0005588073696303326,0.004073915271189651,0.0014401040969840451,0.00019571260440882652,0.0022385612023942975,0.029955096961145403,0.0006715847558953435,0.18350189594782768,0.009604303640948572,0.0015029894252324742,0.0064638960911303275,0.006780336081966832,0.0013256862971380461,0.01136656132233507,0.00013126448632138412,0.004456631877263514,9.713210024233447e-05,0.003200943191750843,0.0005040271799127608,0.0006182686800537945,0.0023506132649227917,0.0003317954237884319,0.00010169324241762076,0.0005206372798395556,0.0031013931393610436,4.215945124640528e-05,9.983078150375725e-05,0.002111113824452622,0.0002985790234265656,2.8752751882751235e-05,3.523763619675234e-05,0.0010544615081693803,0.0001015987092638233,4.943394980785399e-05,0.011016631181301454,0.007865849917096301,0.00018831292274494038,0.0006435121302962388,9.518099056864275e-06,0.0009511491178221207,0.007711288191784135,0.0004434625651179657,0.006411842925713338,0.005858903110673083,0.0011045845764535399,0.0012908763700919636,0.3198899486569408,0.0005831138947177242,0.004437936997999786,0.14224750090169752,0.018461539834313905,0.00818701898744451,0.0001719379097025184,7.072681513377542e-05,3.944488866815114e-05,8.253825098295873e-05,0.005371673122929595,0.003007741289323661,9.93657139866559e-05,4.7940986901170654e-05
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0001445080032672,9.114050705517028e-05,6.00123762995242e-05,0.000566267517821,0.3085798057185104,4.543312933166095e-05,7.635909679393945e-05,0.0585458500436784,6.697984973267307e-05,4.568073254469582e-05,9.186692638156298e-05,7.680700031174268e-05,4.642938545246329e-05,5.6394909880516365e-05,6.254107542058175e-05,6.125091410220711e-05,9.948333386302926e-05,0.00016182402935,4.843805662545789e-05,4.630107731631444e-05,4.481529641956342e-05,0.0008847518291474,3.115781816904501e-05,5.170595888221194e-05,0.0144596359804386,7.668613800983533e-05,8.521870017497285e-05,7.251346129462561e-05,7.527305593666666e-05,3.558895692935593e-05,6.523253727388883e-05,5.105546127375586e-05,7.330712025323549e-05,5.749331590551385e-05,5.089204571859425e-05,4.5880675535308174e-05,6.070410708269823e-05,0.0001011315316474,0.0002537763186752,0.0001674437590827,4.274975929469212e-05,6.206698543007478e-05,5.045577445501887e-05,0.0001681537461994,4.775671991106791e-05,0.0001349931274206,9.695818192539574e-05,0.3143784322753769,7.709892608530531e-05,0.0001322574949713,7.586610255545028e-05,5.829342311003011e-05,0.000108172474724,2.3144081257707225e-05,0.0001127807541295,1.0236490681277832e-05,8.345464811172567e-05,6.03687847541411e-05,5.896556896273731e-05,5.2614948446804006e-05,5.013923572855392e-05,4.605197776218645e-05,7.972833622331893e-05,5.7420329619052365e-05,2.021911727539041e-05,3.622285690903836e-05,7.497961462690368e-05,0.0001037884175808,8.49981517574996e-05,2.470399368109757e-05,3.027572266791249e-05,6.688950178712956e-05,8.72923009907512e-05,4.247301227601245e-05,0.0001377877029816,0.0002006728111864,7.387793193954192e-05,5.661634279106729e-05,8.177827983758772e-06,5.396036978482406e-05,7.910634589619028e-05,7.08740048882082e-05,0.0001727526662768,5.6194031459254165e-05,8.56492364624411e-05,3.830204714816527e-05,0.1886173253513673,6.429756065360087e-05,4.217729987152992e-05,0.1069561915277715,0.0001580394167804,0.0003195743974184,6.937498539076122e-05,6.076756761488664e-05,3.389053974323446e-05,7.091580100044346e-05,6.605496533163303e-05,5.970476998319089e-05,4.8883632199491785e-05,4.119027779677899e-05
BaumgärtnerSabine,0.000310113137754775,0.00019558687394756572,0.0001287861287789495,0.017130693657617522,0.00011241771425393328,9.749916943357082e-05,0.00016386607362568327,0.00822214294275995,0.00014373827675503555,9.803052415150254e-05,0.00019714576460785497,0.00016482727135990705,9.963712791782192e-05,0.00012102307180940719,0.00013421269894213256,0.00013144402201347268,0.014812960272604907,0.015340365213313976,0.0001039477218371289,0.028393562008834698,9.617330443891081e-05,0.0425989779282937,6.686445414463612e-05,0.00011096061662364069,0.0002350364008252,0.0001645679017275515,0.00018287871888848973,0.0001556133674475331,0.00016153543774139915,7.637364611821405e-05,0.00013998855676041098,0.00010956465342504721,0.00015731655387594948,0.0001233802432548671,0.00010921396481663575,0.0060956964035250956,0.005894394056822108,0.00021702754100841066,0.045523878181941,0.018043208248390476,9.174067659506971e-05,0.0001331953052254456,0.00010827772981649781,0.000360856732361725,0.00010248557813858291,0.000289694282484425,0.0002080715624606662,0.0567659165418355,0.00016545374197456155,0.016199311263840676,0.009895787946336023,0.00012509726757269898,0.000232137354312075,4.966703225431613e-05,0.000242026688838725,2.196743552603648e-05,0.0001790930758228395,0.00012955097876433147,0.00012653968774804347,0.00011291130170466601,0.0001075984399816043,9.882721372348531e-05,0.00017109643725722373,0.00012322361520799956,4.339008054321445e-05,7.773399092457126e-05,0.00016090571479693017,0.0002227291991509,0.000182405423567632,5.301459311809579e-05,6.497148353077054e-05,0.00014354439071238238,0.00018732865135512468,9.114677947941833e-05,0.0073692414788932,0.00043064241240695,0.0001585415116575579,0.00012149826524603547,1.7549560153930833e-05,0.00011579856623880502,0.00016976165047974861,0.0001520951057671325,0.000370725981837425,0.00012059198815925353,0.00018380264667106639,8.219591825361154e-05,0.4262913629278583,0.000137982103644427,9.05121827819962e-05,0.17279959263690636,0.08410810295121003,0.000685804363003025,0.0001488782206853468,0.0001304067639210791,7.272885502779126e-05,0.0001521847999239953,0.00014175348146907953,0.012122599614133955,0.00010490392382075531,8.839404049425532e-05
BaumgärtnerSabine+BaumgärtnerKlaus,0.00017708809608985,0.000111688615897737,7.35424836025208e-05,0.028205667451263523,6.4195406644632e-05,5.567626837851735e-05,9.357465859776878e-05,0.022324804554831552,8.208081073275999e-05,5.5979695044104865e-05,0.00011257881029919643,9.412354433011404e-05,5.689713570532236e-05,0.08417616651930315,7.664129130041825e-05,7.506025629644482e-05,0.0027160341516311174,0.0025051828186792246,5.9358672406777444e-05,5.673989982198221e-05,5.491914177216113e-05,0.001084223803480525,3.818251289285282e-05,6.336334049278158e-05,0.0001342160123730585,9.397543298368917e-05,0.00010443170636942435,8.886200425734166e-05,9.224376409130319e-05,4.3612675297923986e-05,7.993955744848305e-05,6.256618476169384e-05,8.983459782133335e-05,7.045548773360811e-05,6.236592630623978e-05,5.622471623831918e-05,7.439016874541589e-05,0.00012393216977035895,0.0418347362554228,0.00020519483923155,5.238791838953615e-05,7.606031521676908e-05,6.183129538131843e-05,0.000206064896694825,5.852372473038926e-05,0.00016542804121325,0.00011881791630424152,0.1128239942503487,0.004371111307279596,0.000162075645974975,9.297051620357747e-05,7.143598333462736e-05,0.0001325605306633984,2.8362036655492962e-05,0.00013820777100801435,1.2544361588314589e-05,0.00010226993944843436,7.397924622626098e-05,7.225966802100785e-05,0.022260014698454136,6.14433913265877e-05,5.643463945729644e-05,0.012927593573761201,7.036604630325193e-05,2.47776240897602e-05,4.438949137714002e-05,9.188416488789903e-05,0.001552731404997375,0.00010416143414600496,3.0273639576296864e-05,3.7101544300572464e-05,8.197009336555405e-05,0.00010697281144466579,5.204877729334433e-05,0.07594529072447108,0.000245915556692725,9.053410201809739e-05,6.938079639715542e-05,1.002156250900839e-05,6.612602024422494e-05,9.694128952479291e-05,0.004363482944710218,0.000211700667601325,6.886327274436729e-05,0.00010495930933757118,4.69374460407637e-05,0.3439086616922067,7.879378540934428e-05,5.1686394964919676e-05,0.2253506072081434,0.00019367023827075,0.004124042181001399,8.50159423792938e-05,7.446793678987024e-05,4.153134098386237e-05,8.690414300883219e-05,0.0025471182320233416,7.316552581697893e-05,5.9904705348108095e-05,5.047684354863503e-05
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,5.146087147853666e-05,3.2456125709394035e-05,2.1371059830924235e-05,0.0053118851725314,1.8654848314449856e-05,1.617923143731176e-05,2.719230476850078e-05,0.0131834671558707,2.385225289128602e-05,1.626740563414221e-05,3.2714811531285096e-05,2.7351808082111943e-05,1.653400907614957e-05,2.008284069940505e-05,2.227155708737024e-05,2.1812116611477148e-05,3.542709706336801e-05,5.762729667726636e-05,1.724931872502046e-05,1.6488317153524382e-05,0.4931532653161419,0.0003150697479776,1.1095637889229834e-05,1.841305425687369e-05,3.900246891574013e-05,2.730876770203312e-05,3.0347305880093565e-05,2.5822832146160818e-05,2.680555380860271e-05,1.2673614590120495e-05,2.3230015922804355e-05,1.818140498438357e-05,2.610546273231101e-05,2.047399503000027e-05,1.812321092805706e-05,1.6338607507466203e-05,2.1617392685339493e-05,3.601403821842693e-05,9.037250688110532e-05,5.96285435492785e-05,1.522365418567367e-05,2.2102728486053093e-05,1.7967849986676434e-05,5.988137768260191e-05,1.700668731153402e-05,4.807252071592567e-05,3.4527862997514694e-05,0.3035872467523774,2.745576602475128e-05,4.709833225089896e-05,2.701674415889472e-05,2.0758921906641982e-05,3.8521394617821126e-05,8.241859026238139e-06,4.016245302885254e-05,3.645325652769084e-06,2.971910775642053e-05,2.1497980757531928e-05,2.0998280354333164e-05,1.873675532602693e-05,1.7855127103844337e-05,1.6399610093358063e-05,2.8392127569561047e-05,2.044800381967025e-05,7.200247543343293e-06,1.2899353266506191e-05,2.670105616704108e-05,3.696018419278958e-05,3.026876619018174e-05,8.79736080415293e-06,1.0781514088545714e-05,2.3820079005349987e-05,3.108573768086536e-05,1.5125101562716126e-05,4.906769946401015e-05,7.146177036719085e-05,2.630873498134445e-05,2.0161695366920643e-05,2.912213478360477e-06,1.921587449586485e-05,2.8170630049966443e-05,2.523900389085448e-05,0.0690496396458632,2.0011305709053906e-05,3.0500624534114954e-05,1.3639775521717024e-05,0.0850544897882838,2.2897060580510268e-05,1.501979515962686e-05,0.0278678006419942,5.627955498381715e-05,0.0001138039182713,2.47051867460747e-05,2.163999167098092e-05,1.2068789759966924e-05,2.525388794095144e-05,2.352289149801835e-05,2.126151787647939e-05,1.7407993032539127e-05,1.4668305865007603e-05
BierwischHedwig+BierwischWilhelm,0.2799717035892646,9.114050705517028e-05,6.00123762995242e-05,0.050791661597359,5.238494420559083e-05,4.543312933166095e-05,7.635909679393945e-05,0.0011453996670635,6.697984973267307e-05,4.568073254469582e-05,9.186692638156298e-05,7.680700031174268e-05,4.642938545246329e-05,5.6394909880516365e-05,6.254107542058175e-05,6.125091410220711e-05,9.948333386302926e-05,0.00016182402935,4.843805662545789e-05,4.630107731631444e-05,4.481529641956342e-05,0.0008847518291474,0.0143812704123227,5.170595888221194e-05,0.0001095233862849,7.668613800983533e-05,8.521870017497285e-05,7.251346129462561e-05,7.527305593666666e-05,3.558895692935593e-05,6.523253727388883e-05,5.105546127375586e-05,7.330712025323549e-05,5.749331590551385e-05,5.089204571859425e-05,4.5880675535308174e-05,6.070410708269823e-05,0.0001011315316474,0.0002537763186752,0.0001674437590827,4.274975929469212e-05,6.206698543007478e-05,5.045577445501887e-05,0.0001681537461994,4.775671991106791e-05,0.0001349931274206,9.695818192539574e-05,0.2498029256016852,7.709892608530531e-05,0.0001322574949713,7.586610255545028e-05,5.829342311003011e-05,0.000108172474724,2.3144081257707225e-05,0.0001127807541295,1.0236490681277832e-05,8.345464811172567e-05,6.03687847541411e-05,5.896556896273731e-05,5.2614948446804006e-05,5.013923572855392e-05,4.605197776218645e-05,7.972833622331893e-05,5.7420329619052365e-05,2.021911727539041e-05,3.622285690903836e-05,7.497961462690368e-05,0.0001037884175808,8.49981517574996e-05,2.470399368109757e-05,3.027572266791249e-05,6.688950178712956e-05,8.72923009907512e-05,4.247301227601245e-05,0.0073128440000584,0.0002006728111864,7.387793193954192e-05,5.661634279106729e-05,8.177827983758772e-06,5.396036978482406e-05,7.910634589619028e-05,7.08740048882082e-05,0.0001727526662768,5.6194031459254165e-05,8.56492364624411e-05,3.830204714816527e-05,0.3751687890753655,6.429756065360087e-05,4.217729987152992e-05,0.0136804596657723,0.0001580394167804,0.0003195743974184,6.937498539076122e-05,6.076756761488664e-05,3.389053974323446e-05,7.091580100044346e-05,6.605496533163303e-05,5.970476998319089e-05,4.8883632199491785e-05,4.119027779677899e-05
BierwischManfred,0.007196487824627001,0.008782752658230631,0.0021202665052473127,0.015231958945221192,0.004962641658064183,0.0017477591972955033,0.004156411443995915,0.00449375289345145,0.0005067206187197798,5.786321940101517e-05,0.004847860778426412,0.006664217998981974,0.0009390003856240917,0.0037686208300565273,0.003742539340692228,0.001165985523567647,0.0029903411292492997,0.0019334444018866501,0.002118675020837619,0.003299560726983885,0.0013294313497506942,0.011886614182523866,0.00010476052632469668,0.0019795537537248982,0.009526686638277613,0.006471102577461513,0.0028002935974952947,0.0002850462543061148,0.005099753077016914,6.859411632064332e-05,0.00406493700033773,0.0025254790796965833,0.002198727846390165,0.010701215366509679,0.002005127955911023,0.0061360203471291005,0.0021251670870395443,0.0009373329552373901,0.0032930037172434865,0.02004675144907884,0.0012857727243791542,0.003030049060538525,0.0005847975311917858,0.0015082744450867307,0.0002549768279973319,0.0027276927779405907,0.003816095577310966,0.15032498203347103,0.001586598131838091,0.001503044373104826,0.00032879541061028243,0.002660012222173763,0.002673295907596304,2.9316321719216485e-05,0.0031687447454282285,1.2966436245472922e-05,0.002228831694625659,0.00036640449967284826,0.000862695464108579,0.00610663364497276,0.00012588902063387304,0.0013328071662391827,0.006930396963997451,0.002958188124945667,2.5611305988934524e-05,0.0010561114945615905,0.0012563761479304086,0.0031542908237951663,0.004917798177001612,0.0007054905687120677,3.8349883762123224e-05,0.0015866418419727207,0.0012982066597096277,0.00046766718000546437,0.009991304717401828,0.01895921496023093,0.004100181783294297,0.0036686047738621634,0.0017935556231222429,0.0026091754015645074,0.005982393270745425,0.0077211362305795875,0.029773557855637983,0.0009283861324856633,0.0015976504082996128,0.0008233854368253546,0.3351390290407383,0.0010666937640657086,0.00019411912744198028,0.14570623463241375,0.0022282784791527207,0.01416448112213687,0.009155587407363322,0.005775503286928969,0.0009421807347854801,0.004287171451879471,0.0019409676593537884,0.002429603243106314,0.00010732157090334859,0.003688016718074594
BierwischManfred+BaumgärtnerKlaus,0.00012597929222135,7.945453754749948e-05,5.231763307086753e-05,0.0036309804056426,4.5668184770875314e-05,3.9607726542465746e-05,6.656838895612697e-05,0.00099853735505885,5.8391742129425015e-05,3.9823582251662664e-05,8.00878159163499e-05,6.69588626107382e-05,4.047624342825945e-05,4.916399556430979e-05,5.452210423031342e-05,5.3397366457556924e-05,8.672765317166488e-05,0.00014107507003765,4.222736424480999e-05,4.0364386867980314e-05,3.906911171686884e-05,0.00390862889027585,2.716278539148317e-05,4.5076258451681674e-05,9.548037737646267e-05,6.685349718525115e-05,7.429202043722193e-05,6.321583804274147e-05,6.562159946745246e-05,3.1025766763708606e-05,5.686846880289365e-05,4.4509167173328955e-05,6.390773462708465e-05,5.012156476789928e-05,4.436670464176135e-05,3.999788869748211e-05,5.292067063627403e-05,8.816452023523136e-05,0.0189277763139891,0.00014597424211250002,3.7268416259419874e-05,5.410880171347721e-05,4.3986371762203624e-05,0.00014659319519765,4.163338802825e-05,0.0001176844068335,8.452627437836508e-05,0.3426010130588351,6.721335787399777e-05,0.0001152995351866,6.613860608023153e-05,5.0819082808749986e-05,9.430267871306125e-05,2.017656399672794e-05,9.832008788581399e-05,8.923975293421177e-06,7.275415384613338e-05,5.2628343092729315e-05,5.140504660922558e-05,0.14034491127503051,4.371041940095635e-05,4.0147226677456604e-05,6.950562695707532e-05,0.009462015827679622,1.7626636768241112e-05,3.157838854917386e-05,6.536578298894157e-05,9.0480742187245e-05,7.409975057738274e-05,2.153646558406553e-05,2.639379153375986e-05,5.831297853172877e-05,7.609974566499637e-05,3.70271535421351e-05,0.00012012066394919999,0.00017494268933045001,6.44053572542523e-05,4.9357036508167713e-05,7.1292728292506575e-06,4.7041610428499813e-05,6.896338777717796e-05,6.178659154401036e-05,0.00328792174207175,4.898887362807788e-05,7.466735367513667e-05,3.339098652850156e-05,0.20513984879821526,5.605337420464069e-05,3.6769357167017336e-05,0.1090463197198696,0.1319051861910337,0.0253771531765453,6.047977523595275e-05,5.297599430519432e-05,2.9545119393551685e-05,6.18230285891425e-05,5.758544573341037e-05,5.204946781262337e-05,4.261580844290836e-05,3.5908890344608325e-05
