sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumgärtnerKlaus,0.00745073123632137,0.0015327423623675656,0.007383054972602321,0.007114537956208052,0.00034930865573194373,0.0004496211785612021,0.0040975489851732445,0.1401479448163209,0.003675378409126389,0.0008474519109463335,0.005016979925661097,0.0004887061964846486,0.0035635963064167622,0.004605201436635589,0.0028563268266060017,0.0006933497933400794,0.004193178910613764,0.0025960510112929785,0.001630499489400528,0.003390347172406148,0.005502249657013619,0.015134640135284297,0.002628684678149698,0.00040711394299293186,0.00020668837705933917,0.00107668536325469,0.0026017276773943137,0.0020047638971345373,0.0005268507255353414,0.0006462943234843562,0.0001923942963659576,0.0029373126184680954,0.008151698082875667,0.0022789323830804016,8.67475859326648e-05,0.005093367602061335,0.0027774973434614605,0.008847897243707223,0.03467463884137828,0.0027560895722278595,0.0046751737444149675,0.004983958235930539,8.600394361307771e-05,0.0018490718455195954,0.0002051372867545051,0.0015292273153147704,0.0008386927487999608,0.16797922545857846,0.010494571268223589,0.000532315942254646,0.004685336356768463,0.001058199479000286,0.003345098104562077,0.0006694568226361863,0.0008793156204208542,0.0001127233531151698,0.004031299047917294,0.0055323354242094724,0.0018628586808766944,0.00042320839853886587,0.010419345474933344,0.006658590686045487,0.00013590022959666988,0.000815490180666647,0.0005468065571085461,6.174335002798938e-05,0.001404479788240743,0.0009165527888654594,0.003446770631313486,4.210897370054873e-05,0.008694711997621693,0.001352009157624669,0.0009203635667259647,7.23969970200406e-05,0.0027716688731596884,0.0009135887784315258,0.002618492673322445,0.0027495751324035506,1.393944428342441e-05,0.003396108405968568,0.0015662615772083863,0.001095052535959709,0.004377476200701637,0.0016622250455751205,0.001122438883248942,6.528741534099172e-05,0.2017039926232766,0.008315026387832488,0.003761495177955698,0.19871949932346503,0.0030565092546561835,0.0012624865526703972,0.0004957966405982869,0.000588555486592307,0.00017901148626554218,0.00338905592440808,0.0010031624714173409,0.0009867345511806965,0.00224103727473444,7.02105233207579e-05
BaumgärtnerKlaus+BaumannSabine,0.008616977716285805,0.00020320182327921167,0.00013380026815078998,0.018594390075494665,0.00011679456828688437,0.00010129518713217831,0.00017024601018610967,0.21454315266229207,0.0015573284156038814,0.00010184722953308671,0.01050187214310669,0.0001712446310453953,0.00010351638456390954,0.039549562901105055,0.000139438115563832,0.00013656164339258522,0.015667378630884403,0.029747669152306738,0.00010799480648528755,0.00010323031585473995,9.991770111329859e-05,0.010687687486147651,6.946774453997899e-05,0.00011528074024106599,0.00024418727198161647,0.00017097516315557802,0.00018999889086151426,0.00016167199441226198,0.00016782463368204416,7.934716593437247e-05,0.00014543884974393877,0.0001138304268255605,0.0001634414924396735,0.0001281839107093652,0.00011346608456070071,0.002175990681649027,0.00013534251276739389,0.003130508539046065,0.015081689307293152,0.00037332332506930004,0.051993587910958795,0.00013838111079633345,0.00011249339833076374,0.0003749062729953333,0.0001064757359083854,0.00030097319521647835,0.00021617258873874392,0.24741865243677053,0.00017189549257082772,0.0002948739807235616,0.0001691468575550291,0.000129967785388485,0.00024117535443652431,5.160076086522552e-05,0.0002514497187958103,2.282271228925224e-05,0.00018606585814979603,0.014214533445113933,0.00013146636452953303,0.01273331180481105,0.00011178766112964932,0.00010267493729460443,0.00017775787968559473,0.00012802118453018928,4.507942327958834e-05,8.076047419664811e-05,0.0001671703932010842,0.002305098573911656,0.00018950716833329064,5.50786551498844e-05,6.75010732987432e-05,0.0001491331259892439,0.00019462207631585978,9.469547420248247e-05,0.00030720382600434227,0.0004474089779967667,0.00016471414253956527,0.00012622866005761898,1.8232832035463118e-05,0.00012030704984403553,0.0111964493489705,0.0001580167532715847,0.00038515977031535,0.0001252870981178333,0.0057104607296258325,8.539612151951469e-05,0.16567380952351363,0.00014335427769024132,9.403617021465362e-05,0.10098159080729674,0.00035235592468588336,0.0007125053648151999,0.0001546746224797354,0.0001354840008528006,7.556046910703395e-05,0.0053066353073456815,0.0001472724897603192,0.00013311444615627248,0.00010898823709016085,9.18355605001841e-05
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.000290324756158,0.0001831064362434,0.0001205682600389,0.0011376634879357,0.0001052443173318,9.12777278523539e-05,0.0001534097465602,0.1608672081962025,0.0001345663084499,9.177517671901198e-05,0.0001845658537776,0.000154309610074,9.327926277639592e-05,0.0001133005652935,0.0001256485596702,0.0001230565525723,0.0001998676474144,0.0003251136324586,9.731479683206356e-05,9.30214844700164e-05,9.003646656927149e-05,0.0306077047554046,6.259781989803004e-05,0.0001038801973939,0.0002200386808888,0.0001540667908699,0.0001712091911107,0.0001456836472206,0.0001512278290197,7.150022842215118e-05,0.0001310558588412,0.0289327615741247,0.000147278152981,0.0001155073251556,0.0001022449997894,9.217687350176874e-05,0.0001219579863268,0.0002031789700334,0.0005098509852207,0.0003364039875078,8.588668559828412e-05,0.0001246960860508,0.0001013685061327,0.0003378303918028,9.594595281654542e-05,0.000271208832143,0.0001947944742753,0.1703210486575975,0.0001548961054729,0.000265712791745,0.0001524192932369,0.000117114785807,0.0002173246231158,4.649776895208494e-05,0.0002265829172204,2.0565689053641867e-05,0.0001676651106893,0.0001212843047931,0.0001184651648612,0.0001057064088681,0.0145158266935372,9.252102936942547e-05,0.0001601787392364,0.0001153606915759,4.062135079019976e-05,0.0289029620325906,0.0001506382888228,0.0002085168042248,0.0001707660968593,4.963172128489302e-05,6.082564011916434e-05,0.0001343847943146,0.000175375172493,8.533068517686057e-05,0.0002768232925878,0.0004031630335901,0.0001484249459605,0.0001137454365415,1.642971919622355e-05,0.0001084094364725,0.0001589291254713,0.0001423898865245,0.0003470698824875,0.0001128969891776,0.0001720741628759,7.695098020338027e-05,0.278037221415624,0.0001291774379014,8.473658222212285e-05,0.1139753824246991,0.0003175101316381,0.0006420430488773,0.0001393782715258,0.0001220854821271,6.808801218314072e-05,0.0001424738572792,0.0001327081633497,0.1586859857093479,9.820998337506886e-05,8.27535990191455e-05
BaumgärtnerKlaus+BaumgärtnerSabine,0.0037191265560744986,0.0013094855671710003,0.002923120179697463,0.0024139640672462214,6.821625781621204e-05,5.9163527056980805e-05,0.006109500062654561,0.11975588498677543,0.003218402088753596,5.9485958718836494e-05,0.0001196301347622335,0.00010001893129430679,0.024326739359551725,0.0003603983633083988,0.0045029750709661845,0.0002590629290437674,0.0009199345513904274,0.0050791304329275075,0.0005225506424401418,6.029377858993789e-05,0.0012531745620388214,0.008253104101455178,0.0007967741037548391,0.004460214084267319,0.004096032137779349,9.986154305858425e-05,0.0001875517514790036,9.442783696410563e-05,0.008489936959326603,0.0017017521309577509,8.494653660824292e-05,6.648499033439112e-05,9.546134849990644e-05,0.002036158684291296,6.62721887783099e-05,0.005769899917668778,0.0100522666122876,0.004123416589747448,0.027977354549580096,0.00021804712809226148,0.014978642131614994,0.01621610932745821,0.01414595596447314,0.0014285755717003972,0.0006740315116598028,0.00064087638452297,0.016982796424370016,0.16309710440436725,0.015947991808084382,0.0020077537202657105,0.009720185198154619,0.0006119634213789356,0.0001408634014275843,0.0009608832468687571,0.0028070692345693207,0.0010985326764970079,0.00010867557230198003,0.0059091193680839375,0.0008257347313244819,0.0039639921081340785,6.529187122436577e-05,0.002204181704471255,0.00010382312745665582,0.011909167859389476,2.6329559719701687e-05,0.0009847265581079975,0.0004302620954181333,0.0014026790382057938,0.001914733276909761,0.0002234766714129157,0.011230876440814138,0.0050831428471485715,0.00011367300662543403,0.0002103377731306136,0.0005539032368503773,0.0002613183698521444,9.620466583561045e-05,7.372643218419648e-05,1.0649258686377277e-05,7.026779455282448e-05,0.0003327501975207593,0.025003930098571093,0.0007142261254812421,0.008713982491908577,0.000307365747919102,4.987735241052735e-05,0.2030679753002729,0.0011202102352612857,5.4923749670061864e-05,0.1740279912119195,0.0021185895141308557,0.003123155641575704,9.034087868526533e-05,0.0002473009418744512,4.4132638331764925e-05,9.234734593403585e-05,0.0156500080647402,7.774821647316695e-05,6.365681032370994e-05,5.363843853071261e-05
BaumgärtnerKlaus+BierwischManfred,0.0004079324492692,0.00025728104624,0.0001694092721291,0.0015985197377557,0.0001478777514841,0.0001282534344617,0.000215554520683,0.0437423680798545,0.0001890777917857,0.0001289523949542,0.0002593316594124,0.0002168189100243,0.0001310657714276,0.0001591975059771,0.0001765475509966,0.0001729055474075,0.0002808320586173,0.0004568139559806,0.0001367360604971,0.0001307035696737,0.0001265093504845,0.0024975708784249,8.795557887600156e-05,0.0001459610400237,0.0003091741786569,0.0002164777271574,0.0002405643445341,0.0002046986547603,0.0002124887298832,0.0001004642652233,0.0001841452936898,0.0001441247466928,0.0002069390790659,0.0001622982024779,0.0001436634400097,0.0001295168151388,0.0001713619628191,0.0002854847653453,0.0007163865869233,0.0004726779224203,0.000120678534202,0.0001752092397154,0.0001424318874239,0.0004746821490162,0.0001348127112818,0.0003810728531166,0.0002737037931136,0.2393164243395329,0.0002176429889204,0.0003733504210013,0.0002141628444946,0.0001645568295728,0.0003053606828689,6.533355620507652e-05,0.0003183694205325,2.8896646698615204e-05,0.0002355845921153,0.0001704153795456,0.0001664542338533,0.0001485270317408,0.0001415383284856,0.0001300003851515,0.0002250655654801,0.0001620921690823,5.7076659048146535e-05,0.0001022537050152,0.0002116603727715,0.0002929849034813,0.3445665519552101,6.97370416946823e-05,8.546550656076135e-05,0.0001888227480658,0.0002464179238547,0.0001198973034978,0.0003889616760709,0.0005664803991351,0.0002085504265622,0.0001598225901766,2.3085236275448537e-05,0.0001523250291479,0.0002233097455128,0.0002000706241169,0.0004876644661802,0.0001586304451601,0.0002417797078238,0.0001081230627502,0.2893948230737577,0.0001815059429681,0.0001190625353001,0.0588731524562433,0.0004461303520269,0.0009021283507845,0.0001958390336079,0.0001715411059097,9.56697938656623e-05,0.0002001886105955,0.000186466930446,0.0001685409285412,0.0001379938782728,0.0001162762651743
BaumgärtnerSabine,9.395049594919752e-05,5.925412880461733e-05,3.9016472367995725e-05,0.0003681534097514,3.405757035674385e-05,2.9537914418069464e-05,4.9644136323418185e-05,0.0054094648509458,4.354630856915533e-05,2.969889127843216e-05,5.97264033806868e-05,4.993533651083747e-05,3.0185620804744223e-05,3.6664611180647765e-05,4.066048191181543e-05,3.982169587245941e-05,6.46781378456055e-05,0.0047700025590487,3.14915391527593e-05,3.010220249743283e-05,2.9136236260507767e-05,0.0005752129381142,2.025695742445077e-05,3.3616134543976395e-05,7.120558188380571e-05,4.985675904143075e-05,5.540412270993013e-05,4.714393319119276e-05,4.893805724921504e-05,2.313781990084293e-05,4.2410310089006e-05,3.319321974655027e-05,4.7659922970928566e-05,3.737872935036094e-05,0.3638870356989725,2.9828882301108303e-05,3.946619451952492e-05,6.574969786832645e-05,0.0001649902459423,0.0001088619581873,2.7793347057864265e-05,4.035225683966968e-05,3.280333909799997e-05,0.0001093235495195,3.104857460561957e-05,8.77644904376135e-05,6.30364344691563e-05,0.2790268378050917,5.012512925993416e-05,8.598594516996445e-05,4.932362083528634e-05,3.789891139548837e-05,7.032729965539938e-05,1.5046903031585852e-05,7.332332842771249e-05,6.655156493353003e-06,5.425724113607158e-05,0.0047040424023036,3.833590059182554e-05,3.420710541392983e-05,3.259754447302328e-05,2.9940252805222565e-05,5.183461510801829e-05,3.73312780144106e-05,1.3145265678919462e-05,2.3549943908696103e-05,4.8747279188755433e-05,6.747704684197884e-05,5.52607352660935e-05,1.6061065171407426e-05,1.9683471472584817e-05,0.0047082817841049,5.675225444407895e-05,2.761342263105355e-05,8.958135700544134e-05,0.0001304655085409,4.803103072835094e-05,3.680857366919771e-05,5.316736633891234e-06,3.5081818226436595e-05,5.143023404684429e-05,4.607805629173017e-05,0.0001123134934141,3.653401199668303e-05,5.568403175868342e-05,2.490170955296613e-05,0.2392476051086405,4.18024439833861e-05,2.742116804008749e-05,0.0928605158423313,0.0001027478150022,0.0002077682374076,4.510348310520413e-05,3.950745277745874e-05,2.203361021447924e-05,4.610522963427501e-05,4.2945003823336514e-05,3.881648506401799e-05,3.178122584980624e-05,2.677946508011944e-05
BierwischHedwig,0.2099169281368106,0.0001331884217045,8.769924526788664e-05,0.0217980916372989,7.655287714822736e-05,6.639382404486689e-05,0.0001115875686165,0.0016738328412494,9.788118104829084e-05,6.675565965691935e-05,0.0001342499765137,0.0001122421136102,6.784970556923454e-05,8.241285112236059e-05,9.139456643496522e-05,8.95091857706409e-05,0.0001453802337867,0.0002364819744742,7.078508251521267e-05,6.76622021341794e-05,6.549095228017983e-05,0.0012929344320302,4.553256021693242e-05,7.556064014512818e-05,0.0001600522910213,0.0001120654911647,0.0001245345735145,0.0001059677389803,0.0001100004799294,5.2008016596413054e-05,9.532774135248986e-05,7.461003373978551e-05,0.0001071275546044,8.401800968014199e-05,7.437122598484546e-05,6.704784687653202e-05,8.87101078824605e-05,0.0001477888319901,0.0003708566963521,0.0002446943814236,6.247247412460897e-05,9.070175376997412e-05,7.373367981675727e-05,0.0002457319229796,6.978940930062316e-05,0.0001972725647799,0.0001416900963055,0.0085503911749253,0.0001126687201136,0.0001932748410447,0.0001108671301786,8.518724846547619e-05,0.0001580781328289,3.3821664527816014e-05,0.0001648124541601,1.495912280592259e-05,0.0001219566713533,8.822008370829422e-05,8.616949058996991e-05,7.688899445613288e-05,7.327110510932556e-05,6.729817984010195e-05,0.0001165112155924,8.391135097685e-05,2.954726065477742e-05,5.293436801292776e-05,0.0001095716586931,0.0001516714792955,0.0001242122744997,3.6101246684878815e-05,4.424350761689176e-05,9.77491508384534e-05,0.0001275648355662,6.206804913488334e-05,0.0002013564251875,0.0002932537448442,0.0001079617117761,8.273644269347025e-05,1.1950690612995e-05,7.885512949672457e-05,0.0001156022683782,0.0001035719150127,0.0002524525670317,8.211929690868685e-05,0.00012516373886,5.5972798183226354e-05,0.6216509177679399,9.396141078872204e-05,6.163590902831545e-05,0.1248448515068679,0.0002309513208582,0.0004670108932306,0.0001013813188945,8.880284609948168e-05,4.952603013699599e-05,0.0001036329938722,9.652959877588724e-05,8.724972396169102e-05,7.143622556206596e-05,6.019352170163519e-05
BierwischManfred,0.004557501874302509,0.0018545827066625542,0.0015498164561460177,0.004930857498541872,0.0009102467965353844,0.0027432418198635867,0.004929163499692023,0.02206764109735794,0.002410943463049464,0.0022211234973797084,0.004068343950554733,0.0038926335996301996,0.00243798239717317,0.0005774928892874538,0.0016475773989165924,0.000747436786121042,0.000898205672888608,0.0022799265924475704,0.0014865521514247923,0.00224587032166001,0.0010215154219390186,0.09511873066690522,0.0021908379129003857,0.0038561555971397122,0.0007969484805204987,0.007538142453734388,0.005785481980717078,0.004760494686923102,0.0034657415779305494,0.00019048729478724494,0.004397390577836716,0.003355643135224712,0.0017971558751610978,0.0023264072638286945,0.004773587591486062,0.0018961243132915363,0.0028448981877203976,0.003972566060427277,0.008001006570524478,0.011624485964854539,0.0008479497249875914,0.0012225290474988002,0.000777805550570551,0.001026397282848764,0.0015566976962478785,0.0007060003575793083,0.005610960734444973,0.13050675413611781,0.0014556858172706905,0.0005104319880013941,0.001031710574069366,0.0002465665532928969,0.01444760368791004,0.0002207626191378342,0.014551305097195226,0.0002126009601621028,0.002669800345227612,0.0039159520727411745,0.001929092008458204,0.0025668668127195537,7.244229790717981e-05,0.00193113681842691,0.003245167365897235,0.000744807707180928,0.0019883626795609843,0.005751786975805761,0.0009662983512822384,0.0035019495702528,0.006850135173370983,0.00023308501452208921,0.0014479573597727955,0.0022593663585409626,0.014454800075459134,0.0037513306304704872,0.0040688602706378,0.005321715914050491,0.0015802687534231673,0.003792603128032484,5.121748850375912e-05,0.00023036021125391089,0.005122480458322631,0.003269692265784222,0.0005506874684858955,0.0012539645850746842,0.0029735803095997373,0.0025468200565403943,0.19531677442477405,0.0007445662332811508,0.0051660954354557555,0.2637545700617847,0.0024286627047019832,0.0054439715321215575,0.0014542829470670432,0.0030677790905064375,0.0068190478258384245,0.004975465695322939,0.0032618802801404286,0.000603546136458515,0.004772655478204028,4.540971621206117e-05
BierwischManfred+BaumgärtnerKlaus,0.00024796650655526666,0.00015639129064954404,0.00010297740585035505,0.022195622791135402,8.988921940007655e-05,7.796034896012263e-05,0.0001310273344563189,0.15062845244639572,0.00011493314537807743,7.838522026386019e-05,0.00015763777983062813,0.00013179590829356662,7.966986085099112e-05,9.677006445594389e-05,0.00010731649208088076,0.00010510265763726441,0.00017070704874986667,0.0002776797016593,8.31166123272236e-05,7.944969228203853e-05,7.690018713251951e-05,0.0084092551814502,5.346482650498501e-05,8.872412393937376e-05,0.0026686156828267336,0.00013158851630074662,0.0001462298481593111,0.00012442846948905082,0.00012916375769057276,6.106837768284621e-05,0.00011193486876731104,8.76079115784918e-05,0.00012579033758572486,9.865485906000923e-05,8.73275009201752e-05,7.872830966911837e-05,0.00010416437170624914,0.00017353525090796668,0.00043546395885076666,0.0002873227990524667,7.335585731386677e-05,0.00010650298392854054,0.006977656422643682,0.0002885410916110667,8.194748202967336e-05,0.00023163958714156668,0.02001181841080417,0.18157804835050642,0.00013229683428109327,0.00022694541653276668,0.00013018138782147827,0.00010002779193490484,0.00018561705965283335,3.9713765654166733e-05,0.00019352457286713333,1.7565164393896637e-05,0.029545006719501624,0.00010358898000128109,0.00010118115130063492,9.028389199188483e-05,8.603572704529749e-05,7.902225335251994e-05,0.00013680873418616952,9.852961925271609e-05,3.469471422381777e-05,6.215610957251765e-05,0.00012866023113967823,0.00017809429752363337,0.00014585140115724418,4.239047576997301e-05,5.1951206948153145e-05,0.00011477811407239911,0.0001497880147566482,7.288097710051773e-05,0.00023643490036636666,0.00034434173073806664,0.02493357526592291,0.027384636026315398,1.4032630653633315e-05,0.05007565913157815,0.00013574143849984916,0.00012161526697737797,0.0002964325448159333,9.642536991145664e-05,0.00014696862093819545,6.572386726346976e-05,0.14650946286458597,0.00011033050858656682,7.237355349610913e-05,0.2775228833870435,0.00027118554814303336,0.0005483692606687,0.03732925122313041,0.0030444536531319664,5.815400223795151e-05,0.00012168698643722642,0.00011334610280116409,0.00010244957305266212,8.388119156159438e-05,7.067988663865535e-05
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0003637294823241,0.0002294024462343,0.0001510523297737,0.0014253064637059,0.0001318539333924,0.0001143560788229,0.0001921973463036,0.165420812001614,0.0001685895972444,0.000114979300973,0.0002312308579455,0.0001933247282546,0.0001168636750452,0.0001419470957509,0.0001574171151244,0.0001541697537476,0.0002504015051606,0.0004073142600568,0.0001219195398374,0.0001165407209465,0.000112800981249,0.0022269377302656,7.84248402631332e-05,0.0001301449139984,0.0002756725142908,0.000193020515467,0.000214497142014,0.0001825178062245,0.0001894637601363,8.957810354927724e-05,0.0001641915774688,0.0001285075987423,0.0001845154614106,0.0001447118052883,0.0001280962785805,0.0001154825614072,0.0001527934297404,0.0002545500513541,0.2715351242186349,0.0004214592301641,0.0001076019837391,0.0001562238213073,0.0001269981752418,0.0004232462816809,0.000120204601946,0.018399537968977,0.0002440456481403,0.1772649294048366,0.00019405951116,0.0003328947123465,0.000190956470123,0.0001467256908359,0.0002722722433604,5.82541070695354e-05,0.0002838713731294,2.576544808685721e-05,0.0002100569883253,0.0001519494168537,0.000148417495148,0.0001324328585848,0.0001262014410506,0.0001159137324765,0.0002006777881183,0.0001445280973718,5.089191528049319e-05,9.117364224777276e-05,0.0001887251625965,0.0002612374854292,0.0002139420173157,6.21804372754933e-05,7.620458856265071e-05,0.000168362189691,0.0002197164359923,0.0001069054060579,0.0003468143545203,0.0005050974069194,0.0001859522056356,0.0001425044467357,2.058375364558845e-05,0.0001358193105163,0.0001991122262492,0.1627162098065071,0.0004348218538372,0.0001414414808194,0.0002155808103052,9.64070049144242e-05,0.149677875217314,0.0001618382229528,0.0001061610921281,0.0344339856595074,0.0003977883158903,0.0008043750346622,0.0001746182007356,0.0001529531611462,8.53031541353267e-05,0.0001784964638864,0.0001662616450424,0.0001502780786342,0.0001230410623082,0.0001036767381811
