year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0003137150250411751,0.0001978585670456206,0.00013028194776707085,0.0012293203457024455,0.00011372341816145889,9.863159813801245e-05,0.0001657693374845974,0.07518163773422817,0.00014540776123853915,9.916912440938131e-05,0.00019943556383484131,0.00016674169929243186,0.00010079438848054847,0.0001224287248135595,0.00013577154619863965,0.00013297071177319835,0.002413342463570178,0.003344520935139837,0.0001051550488805828,0.0001005158420385764,9.729033354984886e-05,0.022752980817912972,0.0022650133718779266,0.00011224939670306252,0.01030099063582286,0.00016647931714603898,0.00018500280991308866,0.0001574207781682402,0.00016341163184178305,7.72607071017036e-05,0.00014161448917491713,0.0001108372197376882,0.00015914374668517687,0.0001248132742215188,0.00011048245796795368,9.960318424612392e-05,0.00013178363857352038,0.00021954826214397942,0.007255020373706361,0.00036350667012185496,0.024793447796942845,0.00013474233570591457,0.00010953534883017135,0.051663593678805124,0.0001036759227451091,0.003833912272241015,0.019558137993732298,0.24481516885039822,0.00016737544620811995,0.00028712017610604877,0.03277577653032358,0.00012655024135155735,0.003016130400275138,5.024390253244443e-05,0.03448272770396324,2.2222581848790664e-05,0.00018117319754087856,0.00013105568129558192,0.009107652127183428,0.00011422273850815089,0.00010884816921204924,9.997506733341746e-05,0.0008812543324823023,0.00012465482697869747,4.38940455818958e-05,7.863685197606168e-05,0.0025953377635729697,0.0011401547204895471,0.00458171713820449,5.3630344486532656e-05,6.572611121986409e-05,0.0001452116232575453,0.00018950442724319715,9.220542674791156e-05,0.00029912580420418065,0.00043564421736584646,0.00016038293204801937,0.00012290943750425338,1.7753393948454625e-05,0.00011714353790477384,0.00017173339000364047,0.00015386165274981656,0.08495626219858242,0.004404375787927272,0.00018593746888802943,8.315060348589938e-05,0.23066626864426662,0.007918112526016971,0.012064420409104935,0.08261294243570219,0.00034309061416535534,0.007876786228895082,0.0008587780568279386,0.0001319214061849687,7.35735826654954e-05,0.00015395238868208362,0.00014339991304693737,0.0001296141596788683,0.00010612235691339158,0.0006458761780541615
1955,0.0005833070385936311,0.0006215040851260198,0.0005076774364455649,0.018109500612053388,8.584144736387922e-05,7.444974198680893e-05,0.0001251270854172126,0.04920908147047706,0.00010975762850299119,7.48554810498294e-05,0.00015053924453014563,0.00012586104985739624,0.00426783041479493,9.241244333676116e-05,0.00010248395822902937,0.00010036981424011117,0.0002879271323279753,0.01095736250534701,7.937381534480259e-05,7.587201917673544e-05,7.343731995967301e-05,0.0024103254745040186,5.1057269390884426e-05,8.472881693576004e-05,0.00017947229192413305,0.0001256629968655505,0.005950859915965626,0.0004653320024654502,0.0028783669828787006,0.001017115255649498,0.00010689436630555635,8.366286836860559e-05,0.0010644363131005364,9.42123643714884e-05,0.0014609048628466505,7.518312090828348e-05,9.947377995592955e-05,0.011670179998127712,0.01102355552401862,0.0002743844600711529,7.005259369773264e-05,0.00010170708289618257,8.2680181734762e-05,0.00027554789209598845,7.825733177126883e-05,0.0018086421709405263,0.004949451418311554,0.15620050334029448,0.00012633941881064995,0.000815547074769768,0.001583136283565474,9.552347315519683e-05,0.15413915127873604,3.792542806329665e-05,0.007397090443555608,1.6774193221609373e-05,0.00013675432687371326,0.004231453632693813,9.662489597259033e-05,8.621834758328983e-05,8.216148036286372e-05,7.546382810984486e-05,0.00013064814482693034,9.409276419700458e-05,0.020062494574529938,5.935717813352476e-05,0.00012286657435575698,0.00017007459146621166,0.0005172200396629854,0.001836945093287731,4.961180914121399e-05,0.0008026228397325673,0.0030084031669798937,0.0035949719049630235,0.00022578807770543466,0.005108146066833349,0.00012106128396454064,0.00047071172324823085,1.3400731852718292e-05,8.842304430905411e-05,0.0015623090138436858,0.0015246933901652967,0.0002830839878528692,0.00034189754432430863,0.0034206559098590465,6.27642772948933e-05,0.18507488465004393,0.00010536225154330473,0.01659923186035073,0.28138113022253747,0.00025897388042889636,0.0011376815825736477,0.00011368245680320071,9.957777059705132e-05,0.0007485485497564837,0.004019516572101139,0.008921674069778902,9.783619983959985e-05,0.00028477255129893194,6.749712378271189e-05
1956,0.03347522610806742,0.0001613138591209139,0.00010621872017928499,0.0010022634451577399,9.271857028974441e-05,8.04142270131806e-05,0.014513041495558637,0.06508786569232346,0.0001185507782744327,8.085247155573449e-05,0.05882153054888671,0.00013594431310643817,0.002735692377458046,9.981599665772523e-05,0.00011069438338277692,0.009884899360693488,0.00017608021967601374,0.0002864199412139,8.573278880092472e-05,8.195044886934102e-05,7.932069555758327e-05,0.01786011125945102,5.514768408732605e-05,0.002745031632311829,0.0001938505794676703,0.0001357303932482484,0.012474738244942636,0.03462403776696678,0.00013322931299491165,6.299056445766945e-05,0.00011545812798177975,0.0098668539504321,0.00012974971120064072,0.00010176011701097936,9.007621922109399e-05,8.12063600347836e-05,0.00010744304694366684,0.0001789974422566587,0.00998577049423578,0.00029636656450677997,7.566480449952354e-05,0.00010985526926754318,8.930404224487445e-05,0.00029762320401235996,8.452685898649173e-05,0.00023893066916828002,0.0001716108347989065,0.2678210363907246,0.00013646100622821095,0.00023408874495922002,0.00013427897402713552,0.00010317626428777704,0.00019145953772054528,4.0963795178684096e-05,0.00019961594762900645,1.8118045082335416e-05,0.00014771029680941912,0.00010684954422332982,0.0021583502050364577,0.05621274269638442,8.874378550308772e-05,8.150955588244411e-05,0.00014111492258526463,0.00010163093515854895,0.003294616262325097,6.411253376992443e-05,0.0001327099374545107,0.00018369998931304504,0.00015044221632262687,4.3724757357174875e-05,5.35864218780345e-05,0.00011839086720710196,0.0001545027386761991,7.517497696810361e-05,0.00024387691955583997,0.00035518022270316,0.00013076001758279362,0.00010020792115420693,1.447432139574124e-05,9.550698993053787e-05,0.0001400140327257847,0.00012544322617108456,0.00030576304840690004,9.946045251611059e-05,0.0001515946016863104,6.779259011542101e-05,0.2255945927070148,0.00011380326899885197,0.006592310577946341,0.15451458389724002,0.00027972137787904,0.00056562971821742,0.0001227900412388896,0.00010755536871669985,5.998445620193267e-05,0.00012551720307090602,0.00011691378198381984,0.00010567427332924936,8.65214339127353e-05,7.290460503624772e-05
1957,0.007964694416610262,0.001817735256910197,8.130765487138197e-05,0.004044695617993975,7.097364288104186e-05,6.155498960729117e-05,0.0009828023294592746,0.06594672359806247,0.0009632062824253278,0.009385204074478713,0.00012446573198579092,0.0010671323422410293,0.002630385113173485,7.640653731461638e-05,8.473365810749206e-05,8.298568547799123e-05,0.002382520090472849,0.006666623125872969,0.003385433955911144,0.009871329153959234,6.0717919851303276e-05,0.015805768544779705,4.2214111195838655e-05,0.0006564325276426834,0.0001483875533933073,0.00010389806948492519,0.012764349376988967,0.001857381146545464,0.00010198355790256081,4.8217631189980656e-05,8.838018012448369e-05,0.02571661717059702,9.932001364879712e-05,7.789471064644432e-05,0.007430456420370631,6.216134673741935e-05,0.014765278501935479,0.00013701786496107165,0.0025135793322659684,0.002568783574721549,5.791943077240421e-05,0.0006567881182397636,0.0002825527060003502,0.001151843058005946,0.00568393455326347,0.0003927419394926654,0.0002973281846536009,0.196212013668088,0.00010445733463063029,0.0032729236675050474,0.005500163936692628,7.897873438382693e-05,0.0022711590170908266,3.135671485203751e-05,0.05914200081023359,1.3868890097829122e-05,0.00502126273494009,0.00017679896027059667,0.000736972954082026,0.0024663382195463436,6.793104898538729e-05,0.0006617896423093806,0.000502269924492387,0.01588370072220365,2.7393832915842905e-05,0.0009021511068093522,0.00010158598949734421,0.0002904665936264621,0.0012301352436778872,0.00012847858533404302,4.1019005769389e-05,0.001517003086392829,0.034664164093336336,5.754448059597377e-05,0.0018070377317216228,0.00043784575454595926,0.0014142605050997826,0.0026470200866951944,1.1079714823864218e-05,0.000659486912003224,0.0019438567876505749,0.0015079016058668479,0.03235583833021293,7.61343775643342e-05,0.0007702946883371275,5.189345635719496e-05,0.1664179758229939,0.0005120337775491819,5.714383520235618e-05,0.23314385641562652,0.005320497454766188,0.0010158928226981334,9.399256814472337e-05,8.233082440103352e-05,4.5916533867867386e-05,9.608013926816838e-05,0.00038791647836020873,0.0010326453958089577,0.0056884716086385186,5.580657020548354e-05
1958,0.008475406440314125,0.00032629192754686737,0.005613324131517987,0.004801472123658016,7.930442399025462e-05,0.00019369879639473582,0.00011559837047631908,0.12389016268873115,0.00010139933300599232,6.915506424311908e-05,0.001399938690681645,0.0005421683017854247,0.004086217304680058,0.0046998281494905645,0.00016825651022742315,9.272642236074473e-05,0.00616337027070919,0.0030532677844470595,0.00038551569566698757,7.009419065691525e-05,0.002913589827767712,0.010105933595011288,4.7169141060678887e-05,0.00018777898556866302,0.00029163701276993254,0.0032649981444988654,0.0001290107307177952,0.007703421339487029,0.0001139542369199666,0.00023105328074076427,0.02205051587728983,0.0017033983261272648,0.00011097804978565365,0.002584528905745581,7.704435754591714e-05,0.0062484013522695015,9.189862314527496e-05,0.003932141809770778,0.02012336907832181,0.000865033565046188,0.014215349952711445,9.396185493727981e-05,0.0004982866022457029,0.0011453518591640433,7.229785621890103e-05,0.00034572159634135136,0.0008399084169324275,0.15983273847796192,0.002620045923958533,0.001913717965242447,0.004072888533579015,8.824914128032392e-05,0.004226520522532564,3.503731961082255e-05,0.0003397493333689836,1.5496799881555067e-05,0.009981060244757575,9.139098598882381e-05,8.926668822046617e-05,0.001624469491594206,0.0006199274359574092,6.97170842772839e-05,0.0001206989885314518,8.692738409527997e-05,3.060928046088004e-05,0.0008639390041299122,0.010929491861013335,0.0023198756956687304,0.007218666498831827,3.7398836991210285e-05,0.0011103057680284622,0.001234911722725483,0.020521245519313804,6.429896652100613e-05,0.00033664764586449674,0.0010554223149052868,0.00011184218914240987,8.571024597943462e-05,9.454805439499064e-05,0.0005824795889550664,0.0016192944919466796,0.00021621265923044939,0.00026152649200302896,0.0026493898314872253,0.011261921038909077,5.798463342466649e-05,0.20933685133970067,0.0278903535251293,6.38512939643257e-05,0.2338178495602978,0.0026355885987572616,0.0013394937513045654,0.0006907441580107946,9.19946946602413e-05,5.130614862370041e-05,0.0012948944887662597,9.999917069230014e-05,0.004825450167304376,0.00499371038051163,6.235706278223307e-05
1959,0.009147337919357942,0.0001601979431121414,0.0001054839341483593,0.004572921523909118,9.207717383775863e-05,7.98579479448613e-05,0.00013421661388042405,0.09470745549001709,0.0006187578436899785,0.003522697799326011,0.0004233639928527098,0.00013500389523954314,8.160907032197193e-05,0.008547088631609332,0.008780095973283858,0.00010766091576572784,0.001156786493955963,0.0006130396009956579,8.513971767845547e-05,8.138354272551743e-05,7.877198117878854e-05,0.013954794835722007,5.4766190619521345e-05,0.0011871117734097126,0.003595262793808959,0.00013479145520830653,0.00014978916536482396,0.0001274571288078197,0.0012414662867542968,0.0003726127034808021,0.002271064643653478,8.974033769360057e-05,0.012568222065209375,0.0021582372883520223,8.945310168125063e-05,0.01905637331254297,0.00010669979142447634,0.003588395953481583,0.05527366804348653,0.0019920395052525903,0.005294290823339151,0.00010909532679086725,8.868626637036008e-05,0.0012289531476185878,0.005437231079266408,0.0007023646561192695,0.00017042368771264516,0.1725618990465753,0.010215428989991898,0.0002324693963217737,0.0008025111950733442,0.00010246252496203614,0.00019013508386184224,0.008770174991635338,0.0001982350704199489,0.001385617142792607,0.0032968817577574685,0.0031232400833083765,0.003053973522877405,0.007024044715668196,0.004042035477958337,8.09456996907261e-05,0.0008662474701975889,0.0001009278859094448,3.5539203189867614e-05,6.366902443236592e-05,0.0001317918939303315,0.00018242921344790064,0.0001494015067487252,4.342228392444785e-05,0.001593563120414313,0.009177225259804153,0.00015343393974953014,0.0002296838847752569,0.0005021726525201785,0.000352723203209178,0.005495319878058537,9.951471584605744e-05,1.4374192819997108e-05,0.006788497103815085,0.0008660699600806966,0.043040109428069906,0.010099630232147437,0.000563859248370392,0.01835520541062741,0.0021567419468362823,0.19086573718216315,0.0001130160155637536,0.003621794591409678,0.21748601434659193,0.0012928043585587695,0.0022187775310604893,0.00021608122963004514,0.000421830663393081,5.9569503541824744e-05,0.0007938100351553252,0.002231751381248708,0.00010494325360183741,8.592290720380395e-05,7.240027505296624e-05
1960,0.001031020489570951,0.00013368582512400708,8.802676551271317e-05,0.010744117980974528,0.0179762072897605,6.664177739314869e-05,0.007092287416413949,0.10083019768554642,0.002391909078614574,6.700496431087918e-05,0.00013475134439939332,0.001300509165051561,0.003271755865330181,0.033055229768342,0.01336477481014104,8.98434653912675e-05,0.0016967914477137057,0.0003727877110952058,7.104943538944997e-05,6.791489234765326e-05,6.573553377753229e-05,0.02646025921318305,0.0005088171057124354,7.584282774302627e-05,0.000734654523597842,0.005895770558539227,0.005450085127725031,0.003907476680555423,0.00011041128602024568,5.220224493072068e-05,9.568375086078034e-05,0.0022550677160793012,0.02144527335529558,0.003926468918279049,7.46489716150161e-05,6.729824272836083e-05,0.001585564524100444,0.015930153159580077,0.04479963211581086,0.0002456082132754784,6.270578286013257e-05,0.006269270928471094,7.400904447686921e-05,0.0006751769863512966,7.005004374907407e-05,0.0012763610193011188,0.006497157611809404,0.21113704651895218,0.0010467708144647299,0.0006928376825502517,0.0003488507476040934,0.00030364152147667337,0.00015866848897866032,3.3947974393003694e-05,0.0016652737087681307,0.0002719426178975717,0.0001224121288517335,0.018744527083707784,0.0009253143017685397,0.004440109639486603,0.019252880878460065,0.0004529409540560498,0.0025759964707317063,0.00021964729970728398,2.965760739737788e-05,5.313205588490408e-05,0.0001099808633148193,0.0012191478476395417,0.0033664776578417226,0.00025049974820890765,0.019950763685924362,0.0071267239265840575,0.0024736552526461934,6.229984751109694e-05,0.0006215199097444158,0.00029434892574363414,0.00010836490391494903,0.0007957541532005976,1.1995321477303456e-05,7.914962064358756e-05,0.00011603399482159436,0.007589645893392881,0.0005103230014665909,0.009239231446326665,0.0033674326755261585,5.618183332952024e-05,0.1593878269713211,0.00022277613211153284,6.1866093540777e-05,0.16282560609351684,0.0019805260564630493,0.002223794857555768,0.00010175993599987202,8.913448783489847e-05,4.971098928306908e-05,0.00010402002004811425,0.010450259797962404,8.757556543120022e-05,7.170301018505415e-05,6.0418319496692845e-05
1961,0.002591488719436898,0.0017036577373555073,4.992515814650595e-05,0.004635417451931524,0.0007629583918179588,3.7796473108362134e-05,0.0016682918849450993,0.07642506902602095,0.002978156336315811,3.800245777903345e-05,7.642541606986553e-05,6.389684718005172e-05,3.862527289021408e-05,4.691573585405701e-05,0.0003527997832592974,0.00021830340158658114,0.008017535542933529,0.003860596437234788,0.0004691387765201677,3.8518531508125116e-05,0.03319611970129276,0.013920956756791126,0.01894580528090797,0.004143038138265931,0.0003945189489785045,6.379630009445586e-05,0.006806838267691001,6.0324990378917236e-05,6.262073681355893e-05,0.0026161266178787684,0.0002789288337154815,4.247377183688341e-05,0.0003474236599472038,0.0011065095798612234,4.2337824088466275e-05,0.0004152627994834693,0.002752362193788199,0.0012193364294412205,0.003407180517584631,0.00026982754393183636,3.556413901792966e-05,0.000979369350353263,0.0018278821108867486,0.003938747978222472,3.972950149846534e-05,0.00011230272238396518,0.019563085212747817,0.24012962349460928,0.0008172051916317172,0.00011002691044175254,0.002759045484583575,0.000548811341044501,8.999023602635933e-05,0.014004790330898237,0.002054683531036704,8.515883683348012e-06,0.0009033612970430096,0.0049668147729239,4.9054304081717e-05,0.0009665210143998809,4.1711550640812726e-05,0.0020395761210319934,6.632714850084067e-05,0.019716244862442202,1.6820574184873216e-05,3.013431513986374e-05,6.237661877158309e-05,8.634307589549568e-05,0.023268993855597293,2.055160730885652e-05,2.5186808711778268e-05,0.0009149615774855476,7.261971947559256e-05,3.533390919658153e-05,0.00011462756994769563,0.00016694259504379473,0.0025421406583072286,0.0027758485487864343,6.803252604868749e-06,4.489040696714651e-05,0.0017743249601685396,0.0008957005332663991,0.00449171717891752,4.674862220903448e-05,7.125283048570735e-05,3.1864023375162224e-05,0.2218712525098769,0.0002781510132306207,0.013431765330460164,0.1400101143221774,0.04853566225299202,0.010823286152711309,0.011871512702143323,0.004366473117382975,2.819402697714764e-05,5.899587382380237e-05,0.0011171333692907627,4.966925603202941e-05,9.304728230498122e-05,3.4266783952012295e-05
1962,0.003952170343653033,0.004878568385544626,0.007296241751624338,0.002338835179587381,0.0012514818744631913,0.007035531089937146,0.00010697353701370912,0.048216904838623,9.383389452453343e-05,0.0030426185237716397,0.002972715597394118,0.0008802500388682592,0.011278028678350573,0.0005950679511328695,8.761549477772796e-05,0.00017320921984525454,0.00020033290564877627,0.0013288397275068426,0.0004414033025159186,0.014823047590816324,0.0032776217061166457,0.010784534267429912,0.0008403047068094085,7.243628511272817e-05,0.017633217381018595,0.0005968558204658131,0.0001193851965277753,0.00010158608157356748,0.0018008487227320358,4.9857538410072786e-05,0.0006540930250200918,7.152498530802357e-05,0.008943299854643594,8.054395108491653e-05,7.129605200900934e-05,0.0011852267012603499,0.0002169595004066509,0.01653825142736756,0.006816793136261945,0.0007448505939477717,5.9889301343872024e-05,0.0037892277912218706,7.068486772159215e-05,0.00023557115980042177,6.690368874904351e-05,0.0011623163748737321,0.001845140155964343,0.14852272429683402,0.005520985057970513,0.0004325784119507686,0.00010628288796686904,0.022717742983891884,0.0018469384139561233,3.242317336140549e-05,0.0014723289472457614,1.4340578408613951e-05,0.00286493962453859,0.00021688534138968388,0.00020625411421772163,0.00019735735708798356,0.002052206559438599,0.0069434320823706435,0.0001990947434067038,0.00047683473049657196,0.0007008962401912235,5.0745586144876935e-05,0.00010504098289965062,0.000714616516491348,0.00045047667316252805,0.0008072575187580539,4.2414083919474604e-05,9.370732362856048e-05,0.0002607511909876557,5.95015989130018e-05,0.0018517362643942525,0.008568027020168505,0.00019170631745853045,0.002102380403701477,0.0063147205705978175,0.00755476709725375,0.0009036082888284594,0.00040939100472275284,0.0002420139121085909,0.0038389116305843685,0.0002523014142623006,5.3658380341541045e-05,0.326749730784913,0.0002451270438735945,0.00029789344456869433,0.22948137474494265,0.0006888602847136872,0.003098293337390779,9.718930525790711e-05,0.0028652794567828018,0.00030550957301931264,0.004807022917492373,0.009742408667115189,0.003280253924982313,6.848241084580617e-05,5.770458126802923e-05
1963,0.006783211136229077,0.00010879734455687073,7.163869713807416e-05,0.003944691076122166,0.009568426187145672,5.4234982730580766e-05,0.02809537844506884,0.022297027379756824,0.0002760384495619229,5.4530554622299294e-05,0.010639444875886011,9.168697813188156e-05,5.542424559453003e-05,6.73204115247077e-05,0.0077265464990336295,7.311717941142265e-05,0.0019436901633526306,0.0014912344085494886,5.782206075675385e-05,0.0010356833603670597,5.3497455780293396e-05,0.06274735936084834,0.00010551925378691576,0.015594630963793847,0.009544172859575432,9.154270092815756e-05,0.00551151029464541,0.002141362538982512,0.012821855095811588,4.248367860318529e-05,0.0005577847974743489,0.0010898018246498023,8.750905912598225e-05,6.86316140034515e-05,0.018939535068969126,5.47692329788707e-05,7.246443834567905e-05,0.00626210769298929,0.009897187159294382,0.00019988298221550055,5.103175790861886e-05,0.00027906685256622445,0.002091527224883138,0.00028182105248058246,0.0012555047624156193,0.0064699427512785075,0.00011574208952073142,0.17406297062371848,0.0031159481099655483,0.00015788001093647143,0.0014906087282716251,0.000468327453369766,0.00012912895028112037,2.76278316240122e-05,0.00038589289111496587,1.2219627031811191e-05,9.962248838474754e-05,0.00032332704333458764,7.038908966731652e-05,6.280815040390515e-05,5.98528127792407e-05,5.4973721937765466e-05,9.517427044577615e-05,6.854448793390708e-05,2.413620836578335e-05,4.3240385327039366e-05,0.013810957731781627,0.0006323791587267057,0.006780160282159256,9.981395481557237e-05,0.012734258280485246,0.008324754988303198,0.0010087823932226354,5.070139612197345e-05,0.0006729651954732044,0.0398488754765063,0.003890547495402586,0.00029828484687782113,9.762135384405617e-06,0.009933484932222934,0.028176856750954615,0.010094291621937805,0.0021924847789258754,6.708061651457792e-05,0.00010224223884113307,0.0003753965033687353,0.2723811028884329,7.675405905259065e-05,5.0348394746407064e-05,0.14438729809156778,0.004007768179482804,0.004990688117531372,8.281514370571909e-05,0.00046470510533992785,4.045622356951885e-05,8.465446468605578e-05,7.885192934605082e-05,0.0007903691186987481,0.00157145229119651,0.0002717933303258493
