receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumannSabine,0.1117380496604158,0.0003414094269134,0.2863831668594526,0.0001960607521559,0.0006900812891068,0.0003107383256045,0.0002488176731996,0.0002931629444383,0.0006800633066652,0.0003639634927631,0.000407524510251,0.0002886624745901,0.0639722207164147,0.0002141082704206,0.0004763197877542,0.0559499503206773,0.0002390513225883,0.4765559175071716,0.0003685634667369,0.000282167892679
BaumgärtnerKlaus,0.01773769664093426,0.029346938667564656,0.00565407212603458,0.009261804958557317,0.005804405750544356,0.011024264191604887,0.016681135354722047,0.003147807832765409,0.018964379495107563,0.025282309086157796,0.02355589694322352,0.038793859163362476,0.03481670630147289,0.0003364465001283515,0.009052409271655336,0.006418482482380686,0.012756722755267956,0.7079948506771536,0.012594062637002357,0.010775749164359064
BaumgärtnerKlaus+BaumgärtnerSabine,0.0012673667060013973,0.007082443777017494,0.011376015189255184,0.01286864382720119,0.007262660329979563,0.0021131376478279247,0.03162974682829223,0.02719479711527891,0.017206109176905335,0.03072668360910625,0.007808800332803407,0.015227486843645992,0.010538296567787578,0.058613979471139,0.010074280469217189,0.016274922714731486,0.013813279022506352,0.6634352005667482,0.03181044244199256,0.023675707362561936
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0004533164526719,0.0003116898424161,0.0075586744098614,0.3338694689302875,0.0006300099273783,0.000283688650943,0.000227158172084,0.0002676432012447,0.0006208640071945,0.0293488436452062,0.0003720496282988,0.0002635344958979,0.0221327549599319,0.0001954702120288,0.0004348562982779,0.036571243004716,0.0002182419792579,0.5656464067854657,0.0003364801315129,0.0002576052653236
BaumgärtnerSabine,0.0009892332137706,0.038830364205844,0.018719895408397552,0.00039060249502645005,0.026275952551548624,0.000619069160690075,0.000495707595169875,0.0005840545661879,0.0483185579505835,0.01864526857135455,0.000811891664895075,0.0005750884945383,0.009835813894532724,0.000426557705774675,0.013166076672633125,0.02925744355926305,0.00047625056017369996,0.7176638914060081,0.0458675939032596,0.028050686420347578
BaumgärtnerSabine+BaumgärtnerKlaus,0.003433237649212725,0.034646937507935946,0.003010020579240825,0.00022002563066327502,0.000774431237129475,0.0003487204619515,0.0002792311304731,0.010343788504360624,0.0007631887376468251,0.000408451442489225,0.0030930136950172754,0.037879415097062295,0.05973440106856765,0.0002402791313993,0.00053454126104065,0.032917506757366,0.00026827102025775,0.7586061867513396,0.000413613680027825,0.0520847386568173
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,0.0001602933112667,0.0001102139501767,0.0001076835089144,6.329242330855529e-05,0.0002227723630924,0.0001003126909699,8.03234371266183e-05,9.46389982377154e-05,0.0002195383533356,0.5413481075378586,0.0001315572521669,0.0334391480727468,0.000130950131235,6.911853155876022e-05,0.0078489877568274,0.0001062710601504,7.717065927448432e-05,0.4154795505612867,0.0001189798299571,9.108957050882998e-05
BierwischHedwig+BierwischWilhelm,0.0004533164526719,0.0003116898424161,0.0003045336445208,0.0001789937246196,0.0006300099273783,0.000283688650943,0.000227158172084,0.0002676432012447,0.0006208640071945,0.0003322805838437,0.0003720496282988,0.0002635344958979,0.0003703326639101,0.0001954702120288,0.0004348562982779,0.3557534366797027,0.0002182419792579,0.6381878144388717,0.0003364801315129,0.0002576052653236
BierwischManfred,0.016390061944833327,0.0323099413279325,0.019333950685838208,0.01633068779020032,0.012222416512898716,0.004302598562705808,0.009268050583742651,0.016553094823336206,0.0048030688558866564,0.01362016508550756,0.016846194570962928,0.03607259079086882,0.01912683723141358,0.0029385351273030166,0.04388022386604928,0.008787953633960463,0.018729993145217998,0.6592756699217273,0.039629010721300345,0.009578954818313546
BierwischManfred+BaumgärtnerKlaus,0.0035422128066262,0.00027134174942674996,0.00026511191774180004,0.00015582307719174998,0.0005484554598442,0.12929766084842384,0.00019775266120985,0.0002329969237527,0.0068356493549228,0.06363962622099845,0.0003238879914521,0.07941736907729555,0.0003223932872381,0.000170166691611,0.00037856436966105,0.00026163453290994996,0.00018999066505075,0.7134321810229693,0.00029292294809585,0.00022425839357685
