sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BaumgärtnerKlaus,0.01645879045285791,0.009281616348313489,0.005319478737973217,0.004278511074537848,0.013161036045750214,0.004039757336706547,0.022456389625058464,0.010878634973036417,0.13515977338639282,0.019384834895061192,0.015463360144087026,0.010240116348782006,0.04599798232362116,0.000878459073040886,0.006846411822069687,0.0015395899100417634,0.012591267037348228,0.6230202062563162,0.015444430011397416,0.02755935419760673
BaumgärtnerKlaus+BaumannSabine,0.03383735091287531,0.0021361601840401666,0.00790493386404495,0.0004076493686979333,0.0022290258801214166,0.0006460868933225167,0.0005173415193266833,0.011177825851837582,0.29734560830642964,0.05321857579470462,0.0008473246557812332,0.0006001868004660167,0.0029570706897419662,0.00044517375512543336,0.0009903637451205,0.00068446313660635,0.0187638511132792,0.5423296788551363,0.022374645402709285,0.00058668327063205
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0303967687216252,0.0006332454637094,0.0006187065559943,0.0003636530573765,0.0012799612766066,0.0005763567716002,0.0004615064799729,0.0005437579927761,0.3254950390762075,0.000675078696074,0.0154937691736176,0.0005354105310738,0.0007523873016414,0.0003971275550658,0.0008834769080552,0.0006105911879207,0.0004433918740655,0.6186327962641568,0.0006836107178123,0.0005233643946474
BaumgärtnerKlaus+BaumgärtnerSabine,0.01738368085822861,0.003166539206317702,0.005967914391771446,0.0009970956252517876,0.0094394538669811,0.00956489166409164,0.03677853464002084,0.00044895895363719927,0.14648151433356055,0.024329323578527174,0.020452284254061148,0.0025043876542844997,0.049877367352146394,0.00597186154554564,0.008328532081565561,0.01357105177222781,0.01390439169931218,0.574687812353473,0.0018288549282377217,0.0543155492407571
BaumgärtnerKlaus+BierwischManfred,0.0013059082706343,0.0008979121333116,0.0008772966494421,0.000515642845069,0.0018149245850127,0.0008172466570935,0.0006543943726689,0.0007710231297019,0.4406389424483523,0.0009572296793004,0.0010717958367008,0.0007591868236021,0.0010668496275298,0.0005631081004152,0.0012527284926708,0.0008657894411364,0.0006287087177901,0.5219322420916587,0.0218669641263245,0.0007421059715839
BaumgärtnerSabine,0.0002935872239591,0.000201863742275,0.0001972290808551,0.0001159240314518,0.0004080215146736,0.2538807743650206,0.0001471173983399,0.000173337243777,0.0004020982235566,0.084780880991066,0.0002409553346308,0.000170676269551,0.0002398433546761,0.0001265949130634,0.0002816316343253,0.0001946420926125,0.0001413428885362,0.6482225375868205,0.0002179189992906,0.009563023111518
BierwischHedwig,0.0006658410641739,0.0004578168190086,0.0004473056399106,0.0002629098753832,0.0755106502902197,0.0004166880600176,0.0109886945786685,0.0003931201545527,0.0009119385559933,0.0004880609478142,0.0005464745851861,0.0003870851987854,0.0005439526705523,0.0002871108984119,0.0006387263879382,0.0430615973422114,0.0003205585653465,0.8627988628150929,0.0004942293347601,0.000378376215972
BierwischManfred,0.06901042649722339,0.025354273732378453,0.011983299975233622,0.0029015464722049467,0.11099258560841424,0.007828495217479848,0.00482341376469237,0.0029491836058951454,0.011428361895380499,0.010796869742041275,0.04871524266012338,0.00313696973684188,0.012882115942451328,0.0023181113575398704,0.012308791633377308,0.0030739995399350025,0.019377892189387052,0.6181641314111455,0.013099940947062457,0.008854348071191563
BierwischManfred+BaumgärtnerKlaus,0.017525780486308765,0.0005415464544597334,0.04225079947419736,0.00031099318536300004,0.06883901674906377,0.0004928957000901334,0.007509232873448767,0.00046501748523719995,0.17006223647060123,0.003557442369909967,0.03640786438372743,0.010494086818368734,0.0006434356010979667,0.0003396203079834667,0.0007555423837569999,0.0005221726990444333,0.0254697052224615,0.6127804158747726,0.0005846184168352667,0.0004475770432708333
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0011604093893666,0.0007978704888781,0.0007795518966872,0.0004581920586866,0.0016127132179184,0.0007261924253371,0.0005814844667648,0.0006851189315849,0.1687130777532198,0.0008505791200028,0.0009523807914836,0.0006746013776016,0.1680717621306247,0.0005003689322166,0.0011131546816195,0.0007693267737871,0.0005586606009822,0.6494738021458375,0.0008613292141536,0.0006594236032463
BierwischManfred+DohertyMonika,0.0002718733547724,0.0654462324855066,0.0001826419118232,0.0001073502276582,0.217908839671447,0.0001701402735068,0.000136236516333,0.0001605171278817,0.0003723588224043,0.0045499028565204,0.1437935912758217,0.0001580529607423,0.0002221044110038,0.0001172318851193,0.0002608020069862,0.0001802462586242,0.0001308890923841,0.5654746903223149,0.0002018015927493,0.0001544969463997
BierwischManfred+KlemmEberhardt,0.0013059082706343,0.0008979121333116,0.0008772966494421,0.000515642845069,0.0018149245850127,0.0008172466570935,0.0215520308161864,0.0007710231297019,0.231662578013177,0.0009572296793004,0.0010717958367008,0.0007591868236021,0.0010668496275298,0.0005631081004152,0.0012527284926708,0.0008657894411364,0.0006287087177901,0.730908606526834,0.000969327682807,0.0007421059715839
BierwischManfred+ZeibigBrigitte,0.0005488753014573,0.000377393882814,0.0003687291624979,0.0002167254993294,0.0095461251465598,0.0003434900562038,0.0002750429847543,0.000324062234892,0.2554677169090798,0.0004023251407503,0.0004504774770161,0.0003190874168096,0.0004483985775169,0.0002366752208547,0.000526523757082,0.0179305116388394,0.0002642472635833,0.7112342740714706,0.0004074099506646,0.0003119083078236
DohertyMonika,0.0007611717011826856,0.005522317041900886,0.0005113478474053858,0.07557237211135681,0.012435572321104541,0.0004763466487301714,0.0003814253183700143,0.00044940444936561425,0.002548604738801957,0.0036735319503957,0.024000580037385397,0.08245530442214077,0.015115475592566043,0.03562468059307238,0.0203094874755343,0.009851421841951757,0.0012330305559402428,0.6435359635364032,0.0005649897607029428,0.06497697205568839
JohnsonUwe,0.011814486327380804,0.019735653531946278,0.0190281790694661,0.013233647476545433,0.008304031946230377,0.012511317538452488,0.009827049250444798,0.02381328042669315,0.008209083533749809,0.018529382834710596,0.011438666585300902,0.033266654756721026,0.01730684274194499,0.012455663765178124,0.03662794957114643,0.026280850400931727,0.012195115826168806,0.6716510631622752,0.023666373954054156,0.010104707300657979
JohnsonUwe+BaumgärtnerKlaus,3.717799372271289e-05,2.5562723206884705e-05,2.4975819557429195e-05,0.000609616142937,5.166921471140145e-05,2.326625213313864e-05,0.3534107748445183,0.0035915679360063,0.013734453355325,2.725143856462364e-05,3.051303049757017e-05,0.0029962946965981,3.037221652338351e-05,1.6031163821541984e-05,3.566401491136549e-05,2.464822004084892e-05,1.7898752377196e-05,0.6252635392603643,2.7595857471019952e-05,2.112706671176197e-05
JohnsonUwe+EbelGertrud,0.00060757722866,0.0295857955279361,0.0004081645541013,0.0488533034554411,0.0105670782518152,0.0003802261385536,0.0003044586885139,0.0003587205218859,0.0008321401763438,0.0004453536047045,0.0004986558082182,0.0003532136496044,0.0004963545715019,0.0002619875122776,0.0005828351982721,0.0004028107954268,0.0002925083705946,0.7678550489995031,0.1365685002079882,0.0003452667386569
KlemmEberhardt,0.002280435542198982,0.0006383526914996954,0.03380418171632375,0.006299652576884574,0.012493201336433763,0.09737309553861949,0.000813736516770332,0.0013223244562454819,0.023223049605728106,0.012416378411480964,0.0085260254360456,0.037321810974346115,0.007691809917215459,0.006770224644931463,0.010602777670117742,0.013593404929316138,0.0011439837254954319,0.6927656081563328,0.01759269172043825,0.013327254433574921
KlemmEberhardt+ZiegnerUta+SchmidtElisabeth,0.0014931249669828,0.0010266379764584,0.0010030670301951,0.0005895660693263,0.0020751145176201,0.287656991330922,0.00074820919513,0.0008815580014054,0.0020449898625542,0.0010944593624529,0.0490125470617379,0.0008680248271757,0.0012197945680422,0.0006438360049835,0.0014323212673651,0.0009899101336443,0.000718841211593,0.6445442196188916,0.0011082917513676,0.000848495242151
KlemmErika,0.01298726331894278,0.0018432631962423931,0.0008549174159810067,0.0005024891511392867,0.0017686271085226798,0.011508308642730928,0.0006377012228079866,0.009465660509269473,0.004321703470727948,0.0009328114092858,0.009671832509568306,0.014130676814514853,0.007414379912167894,0.0016897851684248935,0.025699197284235,0.00343320828321598,0.0027963120144614,0.8675278046281071,0.00763597511430426,0.015178082825349166
KlemmIne,0.03525578525153081,0.006614157508642842,0.01952312773757765,0.0019974906782657914,0.0038600957312590785,0.025923282058966636,0.016759054655565302,0.015970382796035985,0.0679551389788342,0.003463243162826995,0.00706306423713549,0.005492211345244726,0.0038520570866745997,0.031058122201908282,0.022503587231428073,0.004522731660717327,0.0005398315012806823,0.7082354476603903,0.01685754128905017,0.002553647226664234
MenzhausenJoachim,0.022794185558900577,0.0033261967265140555,0.07362483148256543,0.00024215068119056354,0.007576639682942189,0.01621388393014309,0.010842532758216332,0.0007980620134351333,0.06381836600204846,0.0016087148227237,0.006627832158193378,0.0007925035738829111,0.0028193842236494777,0.0002644408070496902,0.0017474838168693887,0.11632166601636897,0.005281363514498979,0.6417331665957906,0.002339544938359211,0.021227050696656934
MenzhausenJoachim+MenzhausenIngelore,0.0006196260806851,0.0004260404719645,0.0103317489849556,0.0002446617134665,0.0008611436443421,0.0003877663955998,0.0003104964027544,0.0003658343014726,0.0008486423317505,0.000454185403246,0.0005085446417052,0.0003602182225156,0.000506197769209,0.0101826731091017,0.1096647847956316,0.1392276607153309,0.0002983090983164,0.723589426549285,0.0004599256521329,0.000352113716534
ZeibigBrigitte,0.0004495851935799333,0.0013020607552476913,0.004286122162048383,0.18854791768557966,0.0303150076757515,0.06814238704281474,0.00022528842747204631,0.008607574418108574,0.015020251174204984,0.0025704716771698696,0.0039441876476620915,0.00314226483969748,0.003248183949310001,0.005444003813680767,0.00043127698517979996,0.0005835257556591,0.00021644562405270364,0.6410896480334148,0.00033371055511080956,0.022100086584254042
