0,bruder-mensch-geschichte (0)
1,programm-ostdeutsch-kanal (1)
2,kirche-bloch-individuum (2)
3,ball-straße-bus (3)
4,bürgerheim-judith-bela (4)
5,see-boot-uta (5)
6,bodensee-raum-absender (6)
7,charlie-joe-erika (7)
8,herzlich-sabine-klau (8)
9,usa-ostdeutsch-regierung (9)
10,name-text-sprache (10)
11,to-is-are (11)
12,herr-johnson-baumgärtner (12)
13,jan-leipzig-kind (13)
14,new-york-katharina (14)
15,lore-charles-marine (15)
16,karsch-ddr-arabisch (16)
17,sagen-lassen-brief (17)
18,neuß-richter-enzensberger (18)
19,projekt-besitzen-lieben (19)
