receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
BaumannSabine,0.0001682564469644,3.986811769361347e-05,0.0002017516559597,0.000149858258994,0.0001509591474285,0.0002497006167405,0.0001737538389068,0.0001850812632706,0.1920713921351548,0.0167367607191203,0.0001990786064725,0.0002013786036581,0.0001265642130766,0.0001987610526286,0.0002339433285642,9.288515536534024e-05,7.941624324576428e-05,0.0001325156509003,0.0524947835711802,0.0007131023773719,8.596034349913614e-05,0.0001477594851188,0.0395854181305827,0.0001355552018797,0.0002163833160012,0.0001538339344379,0.2588409426791299,0.0002428578498595,0.0001599661885071,0.0002263607870113,0.0001363455068845,0.0001419035072832,0.0002106475227984,0.4340663255036581,0.0002712981742141,0.0001651715050893,0.0001752640563572,0.0001629552225335,0.0001553814174666,0.0001198586649895
BaumgärtnerKlaus,0.006322554667731281,6.21544240023671e-05,0.0036228263488288504,0.0004926207660475552,0.006517501662494111,0.035236724052728895,0.0017386571453572126,0.006970901735536728,0.41503966127529335,0.036052904188264116,0.013032144746738687,0.00031394938715100125,0.0013042784291497564,0.0003098686232236959,0.004071914212233774,0.000796458789984079,0.004249499190816196,0.001090394371917719,0.11265070651777437,0.0044271830362003686,0.003572558943383389,0.004617377623840972,0.003778828942203196,0.009981305734388936,0.03135574667512886,0.0006682197617209683,0.2210919115711727,0.024757346458738595,0.002982357534954238,0.005001315369254213,0.002039773812789507,0.003213657866993395,0.012648384744026625,0.0007912871901906336,0.0032049154029916067,0.012185562254180616,0.0020512840222969534,0.00044767448448100724,0.0003992470906158263,0.0009083409451719707
BaumgärtnerKlaus+BaumgärtnerSabine,0.0023000502491790017,0.007723275268288384,0.0009024970270395353,0.0005832270923785697,0.018157835375089203,0.008504006889746302,0.008952498709599483,0.0009106946696642148,0.3980388240890007,0.027851986938524562,0.017914414964322188,0.004278165346444887,0.022211931035822845,0.004268661662417625,0.0006708464372987681,0.0012241760319116675,0.0006672927927826843,0.0028484114476946022,0.16737750090942152,0.003135353725035713,0.01874573545413419,0.0006018358143511362,0.015631898494722317,0.009311624646338225,0.007021197352384625,0.006218635472412757,0.1325128193539842,0.0056921311640563245,0.003101414990900702,0.004681327174962333,0.004103138311236924,0.018012542361959295,0.0018009801418135268,0.004210192158404827,0.010512668357055777,0.0067560630983308535,0.0037686503404757974,0.0013665574790276097,0.015616624947980356,0.03181231222380447
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0145678156450594,3.642013689855196e-05,0.0001843032316205,0.000136897817697,0.0001379034961642,0.0002281053426006,0.0001587267963907,0.0001690745722553,0.1898742729685986,0.0008751767779263,0.0001818613599222,0.0001839624426222,0.0001156183495326,0.0001815712696161,0.0002137108182104,0.0289130736148617,7.254795606873528e-05,0.000121055079251,0.2497523410172804,0.0006514299572946,7.852609200525659e-05,0.0001349805555768,0.0001266095111907,0.0001238317556828,0.0001976694774479,0.0001405296581827,0.1427634503108888,0.0002218543701196,0.0001461315663142,0.000206784050222,0.0001245537114241,0.0001296310300215,0.0001924297423976,0.000138197826103,0.0002478350425555,0.0001508867028366,0.3677199318162386,0.0001488620947348,0.0001419433076604,0.0001094927285241
BaumgärtnerSabine,0.00033207373660149996,7.868438358608627e-05,0.0092789907081707,0.000295762765246475,0.00029793549706502503,0.0004928133116363751,0.000342923481243075,0.000365279475336825,0.5092090651687626,0.20491928457921843,0.000392904865884275,0.000397444178780675,0.0002497892467993,0.00039227813630930003,0.0065037971411768996,0.00018331969546157384,0.00015673722533221299,0.000261535103982925,0.0576061858260365,0.052844461348448925,0.00016965277099501697,0.0002916205900394,0.000273535252542625,0.0051933587194194246,0.000427057729906325,0.005229433931575925,0.1019372790466294,0.03245022527419592,0.000315711943915475,0.00044674943349282505,0.000269093771779925,0.0038323872411367248,0.00041573747255165,0.000298571386212675,0.000535438612129225,0.000325985243743375,0.00034590407165055,0.000321611151440025,0.0020828254165690253,0.0002365550649928
BaumgärtnerSabine+BaumgärtnerKlaus,0.0001885928779264,4.468680510611356e-05,0.000226136508349625,0.00016797098033755,0.08743527049474713,0.0002798808531898,0.00019475471591955,0.00020745123720485,0.48386410236105165,0.03922927392509755,0.000223140378901225,0.00022571836682555,0.0001418614835701021,0.0002227844436941,0.000262219049561425,0.00010411178342954261,8.901494200091938e-05,0.00014853224601170061,0.0655366033574169,0.000799291985721875,9.63499994235733e-05,0.00016561853671715,0.00015534742680735,0.00015193917440669904,0.010225282079966575,0.0671680023636308,0.20422403698992014,0.00027221103059245,0.00017930061168980002,0.000253720038918675,0.0027637113653800364,0.00015905477210065,0.028955857597568347,0.00016956606556302502,0.001734680053065525,0.00018513507243385,0.00019644746683875,0.003043833394950525,0.00017416169915025,0.00013434546481042256
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,5.457923706661975e-05,1.2932469966270252e-05,6.544445492500204e-05,4.861120980259257e-05,4.8968317372197854e-05,8.09981988960009e-05,5.636248795229906e-05,6.003689205901586e-05,0.1262834068431224,0.0003107675687007,0.0077420631308388,6.532344375204386e-05,0.0026002169790224,6.447435926970191e-05,7.588683001582157e-05,0.4785934094335252,2.5761140480790333e-05,4.298559286143218e-05,0.2985361349750011,0.000231317042583,2.788392391976243e-05,4.793040690348141e-05,4.495792274147597e-05,4.397156621622778e-05,0.0563717529535472,4.990084438398775e-05,0.0276615870130145,7.877853360215924e-05,5.189003264177032e-05,7.342719568709134e-05,4.422792634381529e-05,4.603083747652006e-05,6.83301073553565e-05,4.9072831342173366e-05,8.800404164780739e-05,5.3578539756188313e-05,5.6852374180919685e-05,5.2859619244081126e-05,5.0402818867618376e-05,3.887990391437413e-05
BierwischHedwig+BierwischWilhelm,0.0001537048445478,3.642013689855196e-05,0.0001843032316205,0.000136897817697,0.0001379034961642,0.0002281053426006,0.0001587267963907,0.0001690745722553,0.478156488978832,0.0008751767779263,0.0001818613599222,0.0001839624426222,0.0001156183495326,0.0362168482708953,0.2092183174256296,8.48520138383877e-05,7.254795606873528e-05,0.000121055079251,0.1920958978152337,0.0006514299572946,7.852609200525659e-05,0.0001349805555768,0.0001266095111907,0.0505732195574736,0.0001976694774479,0.0001405296581827,0.0274505639067954,0.0002218543701196,0.0001461315663142,0.000206784050222,0.0001245537114241,0.0001296310300215,0.0001924297423976,0.000138197826103,0.0002478350425555,0.0001508867028366,0.0001601064031911,0.0001488620947348,0.0001419433076604,0.0001094927285241
BierwischManfred,0.010825324344622904,0.002511664005517964,0.0027633831716055513,0.00465011503813825,0.009152234165350841,0.004920781172697668,0.002239688098360839,0.008900047359122714,0.40857213240372126,0.005821817832788019,0.008648272936078399,0.0024681281521952694,0.006444041632065427,0.011646162589085398,0.01189437968444331,0.0012927510940635377,0.002056215671739729,0.009160378431598025,0.13553707553392078,0.013154037662098916,0.0075256610413382725,0.005274233829902454,0.0028589262656038552,0.008565829263289212,0.0338277076715807,0.009991697040008836,0.1477506854847246,0.02486326101808661,0.012756303320982034,0.0028001284606615005,0.009890026222683021,0.006513000535606791,0.003171263451387421,0.012282713410738215,0.015480689091397791,0.0021243860045222353,0.013125115756473491,0.007965291149214652,0.008007225636238067,0.002567224366343995
BierwischManfred+BaumgärtnerKlaus,0.006433016979096351,3.173222926011695e-05,0.000160580187149,0.00011927667785735,0.00012015290794325,0.14104123794913315,0.0001382958857849,0.0001473117221884,0.26289269989055486,0.0038923594374324997,0.1040935470591358,0.00016028326364615,0.00010073624885775,0.000158199876364,0.0001862025037882,7.393007785232647e-05,6.320976718836909e-05,0.00010547317651755,0.3145311066196077,0.009957079128780499,6.841841263125265e-05,0.00011760620085395001,0.00011031265606735,0.00010789244620229999,0.0001722259637182,0.00012244103704824998,0.131001839699963,0.00019329783835255,0.00012732188177490001,0.0001801673318049,0.00010852147363195,0.00011294525265855,0.00016766067407255,0.00012040935247895,0.00021593434453495,0.00013146494918595,0.00013949791309745,0.022176539156384602,0.00012367272515105,9.53991022472912e-05
