sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
BaumgärtnerKlaus,0.005733237639438989,6.246592849948046e-05,0.0025037249503508307,0.008796531677832222,0.010621870490018132,0.01948653031080664,0.002903094719017371,0.0018873616276047919,0.24140195681597335,0.1845186040862121,0.004001834920011759,0.026057633881769522,0.0013541638936738888,0.004158122380453609,0.0042817569998366495,0.0036313937410341326,0.007815223763460085,0.0009989045361586564,0.17012111514609743,0.004204918188986207,0.005077876827417499,0.0045174782433981585,0.002730129282925468,0.00555047182182601,0.0028935659239929454,0.010328195930837565,0.20242820371167386,0.0031003851640842997,0.006054211279647145,0.007040675547809287,0.0002462125034419478,0.00047283866683110607,0.0047975449307915636,0.0018397915935242492,0.003043624193294056,0.02483225388780614,0.00389874742688999,0.0009674879660126907,0.00450713092640822,0.0011327284741503075
BaumgärtnerKlaus+BaumannSabine,0.0003456192173534167,8.189396533215148e-05,0.0004144224526937,0.00030782710036909747,0.00031008845918153923,0.0036761772408643503,0.0003569115293859334,0.008872537657278034,0.2610086258342385,0.29186518073735374,0.037150956410235615,0.02967068220500302,0.0002599782953798721,0.005657140064733068,0.00048054806565888335,0.00019079741240400673,0.00016313062786556728,0.0002722032729058864,0.1590490495052614,0.003046429955119917,0.0001765730061438212,0.00030351596342746966,0.00028469291450111943,0.0002784468805034001,0.0061060498094955154,0.0018976245154203,0.12233571376274215,0.0019142526138499667,0.00032859001763254904,0.0018803656392163666,0.0002800702631562124,0.000291487072333724,0.0186214509254147,0.0003107502866171732,0.0013480949113137501,0.008698432670513423,0.003296720024036883,0.02581180451667219,0.002408959914785466,0.000246204283604385
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0003101976700771,7.35008817910594e-05,0.0003719494541931,0.0002762787615002,0.0002783083599705,0.0004603481823558,0.0003203326646214,0.0003412159098641,0.3541029149472918,0.1617594266244755,0.0003670214188167,0.0003712616947827,0.0002333338467548,0.0003664359763909,0.1167899879597221,0.0001712431190536,0.0001464118259095,0.0002443059205138,0.0967794093406785,0.1031285295823899,0.0001584765324213,0.0002724094609303,0.0002555155336614,0.0147947458784447,0.0003989243899897,0.000283608318744,0.1426680583189352,0.0004477328538993,0.000294913745424,0.0004173188605519,0.0002513666449285,0.0002616133772534,0.0003883498787621,0.0002789023585626,0.0005001654501546,0.0003045102696877,0.0003231169022709,0.0003004243300555,0.0002864612592325,0.0002209714949357
BaumgärtnerKlaus+BaumgärtnerSabine,0.0007071353282375752,4.7663332370243626e-05,0.0012751767161240167,0.00017915929870963526,0.03438082201495427,0.007801575783229473,0.041406469490057767,0.008693687893751677,0.25111597750705694,0.13180787973233346,0.0004991626693839341,0.03644729635547715,0.0017020221487994993,0.003948011178006333,0.0033888160706333705,0.007027781813661556,9.494410612781303e-05,0.0007909587147421471,0.17119679320513237,0.002995158301644464,0.011314009173276204,0.0036314317181432776,0.016515798587271657,0.004641723402778582,0.0027791975577426448,0.0195168353985852,0.17124230152973546,0.0009194031097054409,0.009215971050819746,0.005743823615365919,0.00016300446541687825,0.00868028991008174,0.0010476699896180253,0.005054885781119148,0.001129146227580225,0.013674137647314065,0.0013893725065390072,0.007773366980647437,0.009917845654462744,0.00014329403336153096
BaumgärtnerKlaus+BierwischManfred,0.0004374506238059,0.0001036532820565,0.0005245349545036,0.0003896170997434,0.0003924793040813,0.0006491976535136,0.0209633341500792,0.0004811935324513,0.3762976520343493,0.0845371542338481,0.0005175852822221,0.0005235650543008,0.0003290548146043,0.0005167596726863,0.0006082302156139,0.0002414924948786,0.0002064746152372,0.0003445279821143,0.1775045839217099,0.0018539977840176,0.0002234886482192,0.2670348413375363,0.0003603361352279,0.0003524305231224,0.0005625758672172,0.0003999534745708,0.0576138992252261,0.0006314071159462,0.0004158967469762,0.0005885163348551,0.0003544852403328,0.0003689355082746,0.0005476633550381,0.0003933169797949,0.0007053492314172,0.0004294300708224,0.0004556697360927,0.000423667948752,0.0004039767820188,0.0003116210327399
BaumgärtnerSabine,9.977405753537804e-05,2.364131621910028e-05,0.0047979349224223,8.886415245761123e-05,8.951696611187002e-05,0.0001480694746071,0.0001030339451049,0.0001097509720634,0.296349680426774,0.0005681014053352,0.0001180512289103,0.0001194150996901,7.505106226387335e-05,0.0001178629232849,0.0001387255914723,0.3883538641809223,4.709288093144312e-05,7.858019360208126e-05,0.2884352012271092,0.0004228611676528,5.097345399105967e-05,8.76196046904217e-05,8.218572870126254e-05,8.03826109226028e-05,0.0001283127143708,9.122168037187426e-05,0.0178189187899229,0.0001440117958149,9.485803357773612e-05,0.0001342292351614,8.085125232351632e-05,8.41470799816804e-05,0.0001249114577096,8.970802379999525e-05,0.0001608765674755,9.794472395739828e-05,0.0001039294859623,9.663049495029816e-05,9.213931927089224e-05,7.10747525728099e-05
BierwischHedwig,0.0002250800905642,5.333239648758807e-05,0.0002698873167366,0.0002004684582059,0.0002019411391818,0.0003340296223048,0.0002324340642072,0.000247586991466,0.7635185103086323,0.0012815787883256,0.0002663115237639,0.0002693882770425,0.0107230717133438,0.0002658867254919,0.105850592543718,0.0001242543721734,0.0001062367329425,0.0001772688966391,0.0069007606326532,0.0009539316357624,0.0001149909097022,0.0001976608854654,0.0001854026158313,0.0001813349661542,0.0002894603876451,0.0002057868005642,0.103520247199338,0.0003248759130884,0.0002139900422597,0.0003028074546911,0.0001823921733237,0.0001898272241386,0.0002817874997599,0.0002023721458263,0.0003629211166863,0.0002209533007194,0.00023445431298,0.0002179885342135,0.0002078569002635,0.0001603373877046
BierwischManfred,0.007209710067938083,6.039931370975495e-05,0.001091057575878553,0.002274682791531812,0.0034870487963793804,0.006382646500482988,0.015485312007319788,0.004324703208047613,0.23408888937682468,0.012563837549903301,0.008637823742836986,0.004667917031671424,0.002487539814785625,0.009300297374612897,0.017183950724181937,0.0025187858215193087,0.0040453083355358145,0.0018691165672651393,0.12615989159371277,0.08733360138912555,0.00016362901886417575,0.010477553137216924,0.005168399682897914,0.0006348346868445834,0.0026464769434638522,0.005457716292963863,0.30899572877004305,0.017825393075985557,0.01142076385075551,0.021446558008488173,0.011426581444816944,0.0028289964567555954,0.0015593195437382757,0.0035229542814341243,0.005209174831179421,0.006541575214847836,0.006066572749589117,0.020005171216708112,0.006636711813960522,0.000793369396181677
BierwischManfred+BaumgärtnerKlaus,0.00026507002857046664,6.280795349448608e-05,0.0003178381463188,0.00023608565204916667,0.0002378199839813,0.08711419979767186,0.08251492417627183,0.00029157572638733334,0.23274055912007754,0.07811037186919706,0.012774413951192566,0.0003172504423347,0.00019938837519436667,0.0003131267707685333,0.00036855268196336666,0.00014633062346584467,0.00012511179360965847,0.0002087642286752667,0.15912024913428388,0.0011234164928227333,0.0001354213233330329,0.00023277925837973334,0.00021834306424996664,0.00021355271600803334,0.0003408887611107667,0.0031986654731900334,0.2653954171767383,0.00038259655640066666,0.00025200961343756667,0.0003566071990869,0.005199112520308234,0.00022355379189583334,0.0003318526326559,0.0002383275674965,0.0004274012442758667,0.0002602100327383,0.0002761097673468667,0.00025671851671636665,0.06528375133461453,0.00018882450168403335
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.00038951338833,9.229462460036804e-05,0.000467054740141,0.0003469216144944,0.0003494701693463,0.0005780565027338,0.0004022398413193,0.000428462809441,0.3350617543742528,0.2396480903083417,0.000460866635128,0.0004661911246979,0.0002929959378448,0.0004601314985201,0.0188054436557504,0.000215028976569,0.0001838484679379,0.0003067735062766,0.04846987362153,0.0381785612864777,0.0001989980488856,0.0003420629565456,0.0551124450964926,0.0003138100616202,0.0005009270082323,0.0003561252963798,0.124355845267242,0.0005622155090514,0.0003703214541123,0.0005240248366377,0.0003156396163611,0.0003285063778239,0.0004876486567309,0.0003502160498818,0.0006280548115235,0.00038237175314,0.1282527927304146,0.0003772410627958,0.0003597077169573,0.0002774726054369
BierwischManfred+DohertyMonika,9.242351584291263e-05,2.1899616173758967e-05,0.0001108224838175,8.231736390615176e-05,8.29220835558008e-05,0.000137160919083,9.544324138952108e-05,0.0001016654123912,0.1445078568211927,0.0005262483107672,0.0001093541737701,0.0001106175656351,6.952190993849252e-05,0.0001091797409727,0.0001285054173196,0.0043846615400723,4.362346018966223e-05,7.279104356105692e-05,0.0635045791575748,0.0003917081934254,4.721814416377922e-05,8.116450430397195e-05,7.61309521364218e-05,7.446067342170173e-05,0.0001188596763772,8.450120832339157e-05,0.4975401597677489,0.0001334021770874,8.786966457779648e-05,0.0001243403159997,7.489478913285859e-05,7.794780699445882e-05,0.0001157089966647,8.309906566619649e-05,0.0001490244894326,9.07289526959099e-05,0.2861164855138159,8.951154540127458e-05,8.53512430460086e-05,6.583854242987919e-05
BierwischManfred+KlemmEberhardt,0.0004374506238059,0.0001036532820565,0.0005245349545036,0.0003896170997434,0.0003924793040813,0.0006491976535136,0.0209633341500792,0.0004811935324513,0.0891353803512794,0.187095108406373,0.0005175852822221,0.0005235650543008,0.0003290548146043,0.0005167596726863,0.0006082302156139,0.0002414924948786,0.0002064746152372,0.0003445279821143,0.5467132189427997,0.0018539977840176,0.0002234886482192,0.0003841604889714,0.0003603361352279,0.0003524305231224,0.0005625758672172,0.0003999534745708,0.1191486717287411,0.0006314071159462,0.0004158967469762,0.0005885163348551,0.0003544852403328,0.0003689355082746,0.0005476633550381,0.0003933169797949,0.0007053492314172,0.0004294300708224,0.0004556697360927,0.000423667948752,0.0209155676165238,0.0003116210327399
BierwischManfred+ZeibigBrigitte,0.0001858514442694,4.403722643225247e-05,0.0002228493310082,0.0001655293117869,0.0001667453228772,0.0002758124344917,0.0001919237122308,0.0002044356736792,0.0640124027546957,0.0010582156251951,0.0002198967540534,0.0002224372676948,0.0001397993492521,0.0002195459928103,0.000258407367297,0.0001025983882774,8.772099834482015e-05,0.0001463731438078,0.5721324194662227,0.096645798301584,9.494943152212215e-05,0.0001632110638805,0.0001530892574159,0.000149730548232,0.0002390110603198,0.0001699207335512,0.0506204621013266,0.0002682541023707,0.0001766942527593,0.0002500319004174,0.000150603497407,0.0001567427118026,0.0002326754608822,0.0001671012104511,0.0002996685025448,0.2093274439586757,0.0001935918568955,0.0001799958575465,0.000171630040749,0.0001323925852375
DohertyMonika,0.00025653038741251427,6.078449807933959e-05,0.0003075984985905714,0.00022847978743324287,0.003677630317014157,0.00038070336742057143,0.02446129161731287,0.00028218216315744287,0.3048713475307482,0.0062127522665627434,0.0003035230623567857,0.028023728931392627,0.00019296477014020622,0.0003030389072943857,0.007521665157716856,0.00014161635598882659,0.00012108112357193245,0.009508338446850756,0.2225469719814567,0.03278033296942034,0.00013105851584157253,0.00022527991435242857,0.00021130880455611428,0.0002066727847957,0.03445613058713463,0.0002345412583618857,0.13847000274702048,0.00037027061628004286,0.004117829226091386,0.0003451185463298571,0.05036277950993223,0.0002163516605474286,0.004796966684068972,0.0017225845419404,0.0004136318518015143,0.0011136949818257,0.11975512585683233,0.0002484479324364714,0.00023690061176577144,0.0001827412281622902
JohnsonUwe,0.007075323160787604,0.003799766344337315,0.011930827453260058,0.008764680614457784,0.007834150960757636,0.009637346810412138,0.0028775990352471964,0.008154952483995562,0.4091091474010393,0.014944126098041183,0.008704267012724195,0.0026223889593392433,0.010048033918091687,0.007219291552481312,0.00691362621244875,0.002850626560103531,0.0015711508692071044,0.008021316253575965,0.15190820932966387,0.008198888425468202,0.00498839682947046,0.0031543230334064648,0.006417817946189007,0.0077845151806501785,0.025432806459887443,0.006168441814365906,0.14599099259414866,0.01528300151918519,0.006460413075102091,0.004070724870002896,0.0059820999173058964,0.009454189749042531,0.009995291804668084,0.010677303696717396,0.01734717556715758,0.00353058422966675,0.007788262162542259,0.0041996382965826,0.0060698893634138044,0.0070184124350536415
JohnsonUwe+BaumgärtnerKlaus,1.268140885009317e-05,3.004841179506448e-06,1.5205926914339777e-05,1.129474612208082e-05,1.1377719562843654e-05,1.8819817416421213e-05,1.3095744681427477e-05,1.3949487299721336e-05,0.1274536868165365,0.0452631491306216,1.5004460438401562e-05,1.5177810138763764e-05,9.539084895535124e-06,1.4980526555343482e-05,1.763219805717517e-05,7.000710240487194e-06,5.985564702614496e-06,9.987641950254704e-06,0.2923460757142506,5.3746189002404415e-05,0.3002884008366987,1.1136562527476536e-05,1.0445910019585916e-05,1.0216731470362855e-05,0.0059624853823965,1.1594390900440927e-05,0.2246518147198627,1.830408131209989e-05,1.2056575990092412e-05,1.7060705485626765e-05,1.0276296384889436e-05,1.0695200246925956e-05,1.5876404191695686e-05,1.1402003236545213e-05,2.044761511111373e-05,1.244889823963374e-05,0.0035809155735665,1.228185807134371e-05,1.1711023964612645e-05,9.033690906831365e-06
JohnsonUwe+EbelGertrud,0.0002055556206538,4.870610205230319e-05,0.0002464760644059,0.0001830789131315,0.0001844238470671,0.0099433370864469,0.0002122716772036,0.0002261101706909,0.1960967439875442,0.0011704088202146,0.0002432104519655,0.0002460203136827,0.0001546210314129,0.0002428225026261,0.0002858040031654,0.000113475983269,9.702127594447124e-05,0.0001618917869632,0.3918334657573859,0.0105094659821721,0.0001050160756295,0.0001805148820092,0.0001693199503897,0.0001656051471306,0.0002643512781959,0.0001879359183049,0.1909232576349137,0.0002966947000197,0.0965782546890001,0.096659367675455,0.0001665706473459,0.0001733607480652,0.0002573439714745,0.0001848174662366,0.0003314396897648,0.000201786807314,0.000214116680417,0.0001990792181279,0.0001898264481489,0.0001464289940573
