year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.00033680608270575185,7.980570603674514e-05,0.00040385486647969495,0.00029997764771269825,0.0003021813428921905,0.0004998363396521225,0.0005680610750734908,0.010833960810145782,0.2504593084487,0.0415920231378656,0.00039850410968606117,0.0008436093702584455,0.000253348965737277,0.0003978684486572397,0.00046829430604516145,0.006629930171740988,0.00015897087020063324,0.0028811311561812367,0.27493607064255005,0.021967314681439278,0.029811029082039264,0.0002957764428247599,0.018375326993613203,0.003326814208655324,0.08868738904840036,0.006000742889659835,0.09057039461556445,0.0004861388822907263,0.002089680807482414,0.01282671987338619,0.00027292859736893093,0.005707799297950126,0.015832177978972295,0.00030282629402573634,0.010505481274538899,0.03308304751844879,0.0003508335123304253,0.02138526492557166,0.03119454441150402,0.014584225165610492
1955,0.0016441682262139296,0.0002651198788135891,0.0037517614939751873,0.0004757888032294292,0.00022732298469731166,0.0024654648461596876,0.0007360213236888376,0.00027870603335359683,0.2087620676906201,0.042889199051426484,0.0010584959217381101,0.00030324750780292013,0.0001905876865532377,0.003776300775973325,0.0035125013299828695,0.00013987182036597441,0.0001195895562183269,0.002126288578985219,0.17239324928080882,0.002267223543986494,0.002986396046904443,0.00022250474877950064,0.005323897249133429,0.0014861012628432319,0.0031827944757993783,0.00023165200466380683,0.3162583055478357,0.0032642661918956062,0.0062648130009889304,0.2039387756814834,0.00020531692251195039,0.0016102433166584823,0.0014152830180956158,0.00022780816427610156,0.0004085364269462307,0.00024872477198929825,0.0002639227173705511,0.004663209737661156,0.00023398229379737454,0.00018049008577080837
1956,0.00234033275205688,6.47371182048654e-05,0.00920444437575204,0.0216471825167595,0.033165351656151656,0.0674443794925583,0.00028213829642784,0.00030053156032942,0.19969401220402894,0.038048043697836834,0.00032326018946544,0.00032699488270638004,0.00020551264761014,0.00032274455135882,0.030008077151128236,0.00015082521147780973,0.00012895463904005785,0.00021517648318024,0.2711893111361624,0.004913722393117459,0.00013958082899220657,0.00023992914156458,0.00022504953549866,0.0035121347464677002,0.00035135925937572,0.008518276800247259,0.24990409319124285,0.00039434812182896005,0.01679671832122292,0.00036756049378382,0.00022139533307578,0.00023042031217222,0.01067765068271386,0.00024564786862298,0.00044052899883149997,0.0002682024602018,0.0056355519159901595,0.00026460370124134,0.00025230549550094,0.021338909836069588
1957,0.00130365776754341,4.952936414245479e-05,0.0023805410983868533,0.000186173431525254,0.0003792753354941046,0.007037472842016662,0.03103803448049535,0.003298018202114927,0.20686045507897866,0.08710788619032174,0.007548752454239255,0.002391818624620393,0.001939654302337239,0.0004889928181606159,0.007894547711840262,0.0009118560755854974,0.0039496945430432815,0.0001646281868247878,0.17321051020434808,0.007672671122199225,0.0006819938366381048,0.0026684481533312777,0.004639284245511198,0.00016840431261140734,0.03527177002865257,0.0013571757205238346,0.2490489582944591,0.01360532378463403,0.004060269845119686,0.002694683660389908,0.0025839193030635335,0.0018655791379093092,0.013401627130913911,0.017182637546732087,0.0009311818201454418,0.0022694940754618637,0.007052614504426077,0.09393694263515565,0.0004121840299534961,0.0003533381001479829
1958,0.001923056659212939,5.542149519100813e-05,0.0010242448390113245,0.0006843651680478254,0.0006547018580386047,0.06381701059914209,0.01886636245812285,0.006633430056621565,0.25503299787036826,0.12951976677931934,0.007336152121177289,0.019826935074748614,0.0010244770360251759,0.0030252248475272168,0.005403067883705717,0.0005131711558585063,0.00011039816268622683,0.0011873845203207315,0.1453300448565845,0.00710393436127067,0.00022936250442491716,0.01066863511522929,0.001549989017956791,0.0013370731536118063,0.00035982420465179786,0.0020905966953050515,0.27301087002052477,0.0004498869213072777,0.0008027257063220874,0.010717489989280808,0.00018953670981375595,0.0003749161342290736,0.014063468876732576,0.003804738331414463,0.0009341343327805915,0.0058639986295527064,0.0012401358975498518,0.001167907271813028,0.0019059446746988804,0.00016661800981848857
1959,0.0002723233154368697,6.452660915181368e-05,0.00032653536216309474,0.000346744160652097,0.009228980176964356,0.01444535936554355,0.006956059013623347,0.006386812421538117,0.2250366784353755,0.10390097251165444,0.0005019009044814566,0.01775086439505771,0.0016514561690664192,0.004191067119464897,0.04848950885898847,0.007976433010625842,0.011323250304595123,0.005261585929475447,0.19567308533214828,0.006764256498856504,0.005542557485350778,0.002265435403474711,0.00022431773022347015,0.00041905524644438345,0.008177042649174614,0.005203870694785186,0.23794319742758904,0.0006963643073886669,0.0014491451083703916,0.0013466743471093605,0.001658210426207151,0.008323832825386561,0.01109674606560935,0.008340784703170746,0.002199935972835731,0.015846698717992873,0.003280423152255147,0.007284296936048117,0.011959019474052104,0.00019399143166667267
1960,0.001399622359582374,5.371138221473714e-05,0.005989789590138405,0.005458351658903028,0.06109006447971248,0.009018553019976016,0.013928850807229314,0.00024934637117093406,0.19344888495910945,0.1150244255126843,0.003748055317942335,0.00682869532547948,0.000671025929129425,0.002075645948091124,0.010183723825015352,0.0012782662011041682,0.007368204673544807,0.0001785285884234725,0.2232336055176586,0.010323608455419304,0.00011580804743464367,0.00019906548490852222,0.018689456584498762,0.0014423501139149827,0.0007493065206061046,0.02742904570531287,0.1671376749913467,0.0004954264017471902,0.0002155106784416496,0.0064941950697902165,0.00018368827166143997,0.0017358116697780564,0.001175125789350551,0.00020381022399070032,0.000895706305093722,0.06274058141265833,0.032769547591824384,0.0006773267805215723,0.004938125672217634,0.00016147676237126873
1961,0.0010201657016302842,3.0324063007025534e-05,0.00031087036207988727,0.0007326829751947535,0.0006016364932900676,0.006327121023728966,0.011151847558814638,0.00020369695416507934,0.25336187906441054,0.08155870911056692,0.05646887038126455,0.0011329530932418185,0.002799120686995061,0.0013699437286965068,0.0032890033426836774,0.034662878700074354,0.0006019647172206038,0.00035220500041600156,0.24396139571312173,0.01693922003905711,6.538224082725337e-05,0.0028632512039270816,0.0014485508148413678,0.010716943257972036,0.004033690186715639,0.0014771734329591555,0.15775290607716833,0.002389011695302991,0.00012167177835088011,0.0001721721306333208,0.000732982878177531,0.0313680618779729,0.0003191376091199629,0.0052954015388452435,0.01468079335035623,0.012156546103565742,0.0017329750449283478,0.008667047751764793,0.02703864669587436,9.116562103615123e-05
1962,0.011578178091267464,5.122511837579563e-05,0.0023675246916408225,0.0004847432052827441,0.003587354643076316,0.0027447424419465636,0.015845514881937195,0.0005267077462087306,0.3772282036257605,0.04094957643863483,0.002821023476999662,0.005129454184693352,0.0009400083912734508,0.0025898790662614093,0.0021503956317204926,0.0058896829786645,0.00010203909029485585,0.0015514497368090692,0.1481328358048828,0.008490006871870456,0.017180615272059618,0.0021625589518054597,0.005661336607508788,0.035875980042828534,0.0037711438263377675,0.00200831714617053,0.24796237315859407,0.00613180723955554,0.004809566603329904,0.003056011960076706,0.0005334352932669478,0.01269321426287658,0.006509093864516451,0.0025880604800010833,0.006662411899548489,0.006918632987817644,0.0006591145685253614,0.0003740016256335536,0.0011277759805420502,0.00015400211140234127
1963,0.00018421353214484663,0.0001140711969671721,0.012946368721973573,0.00016407049898186068,0.022097358255544985,0.00041422583734926176,0.0018505370108856823,0.0020781088209545447,0.3227308013318933,0.0289724698527948,0.0009404858778809706,0.000903355432802207,0.0013870681833852009,0.010833819560964906,0.01228638689005615,0.00010169418683424006,0.011422789908958361,0.0014336911812765113,0.1799455199711347,0.0550201995257729,0.0038342012658720503,0.007004634303658889,0.016686388198947626,0.0007641390585657736,0.0019974471608178923,0.009623941633181842,0.1600683676693161,0.003262356386778868,0.06923725715792027,0.006260651217013025,0.00014927622607277137,0.0018182894060193111,0.01047483739910935,0.005777053012430404,0.002889380517549245,0.011494327577176206,0.011443336643095436,0.0005634961177946274,0.0023727379472542887,0.0084506453228685
1964,0.0011495251393959893,0.001292362193151767,0.0029123817389994653,0.011533154038719054,0.012687936508478348,0.007954893913101207,0.00078492089620747,0.002658097407211881,0.3731517464167475,0.040952407599835386,0.010789076360681485,0.004611587798834022,0.0009018695678146883,0.004525727409301252,0.0012622855763567478,0.00019782014392129098,0.00025165081379238305,0.0005640001436504276,0.08972726280334793,0.03185776754331311,0.0004760005396044079,0.027997463563607352,0.0020321883731304626,0.005760565268607674,0.0032010263707782467,0.001084450127180076,0.2110409898865789,0.09558608765110416,0.0045813365857416705,0.003052132021003598,0.001630984947040834,0.0007862833936481054,0.028465216517100496,0.0014747432150202986,0.0009028345146562192,0.0006745726368830787,0.0019964074829521288,0.003114425449161137,0.006213862351132786,0.00016195509220550802
1965,0.0038555718475786487,5.849492122201431e-05,0.019039033916238214,0.0002198736123359081,0.0002214888474152383,0.0015284182549344552,0.000936914128475404,0.0036815260013466898,0.35916995453387907,0.012836845855179482,0.00029209022337323734,0.0010532365427475016,0.00195785332167388,0.015255039032151833,0.0013147619095127511,0.005770471679973956,0.026133634059456803,0.002452925012916418,0.11757566337143288,0.04586614724807308,0.00012612191926995357,0.009635132880974877,0.005230097934409334,0.00034894089783811923,0.001033164525900378,0.021013560603191362,0.2412116758405484,0.0013318345981834542,0.017239567146441804,0.0021224502853596306,0.00020004756044606588,0.0590172668280608,0.001502268761476529,0.008965621770780167,0.010659888737959916,0.00024234136792143627,0.00025714926519612366,0.00023908961486650786,0.00022797724848528186,0.00017585789277086255
1966,0.02580305843544031,0.000320352143376593,0.0005108356610571817,0.0026656315179385275,0.0038903655268550654,0.008940111442588782,0.005026434186989348,0.001496944942307087,0.33653441279717433,0.013320817136238049,0.0013231790160961475,0.007001007060007924,0.0009417995682487171,0.011252071283606776,0.0007553597945110177,0.000841845111928879,0.000524491712117191,0.002415091080617053,0.1421138672883949,0.06120842680221559,0.0070751623275087305,0.0046951154384189476,0.0007979167580415169,0.0021083283352009603,0.06120382527003628,0.041476340371658635,0.1487458976473601,0.0024423952961195395,0.00996248195459869,0.008289643199376341,0.000644847512048791,0.00014555789240328215,0.0034633846953122938,0.010381587609337335,0.04043194109662075,0.007014114841236114,0.0007002755015893816,0.008714639090942328,0.0023454284981148446,0.012475014156364213
1967,0.006953841472304303,2.8941356548670565e-05,0.0001464570425492805,0.0010613594943239045,0.0013371504892333473,0.00018126450400911357,0.0001261326617461136,0.018382641789996226,0.3741418920923536,0.010756536117156422,0.00014451660285067075,0.0038724029699136785,9.187642228565654e-05,0.06673478382495907,0.002394042345228476,0.0002824451999679564,5.765042205390047e-05,9.61967337023008e-05,0.14835530712396597,0.05852060111149279,6.240096333048188e-05,0.003523112408526,0.00010061057749540135,9.840322685350904e-05,0.028440997692981772,0.00011167225852161375,0.14553611204308842,0.00017629715246255623,0.021551488157638323,0.0030220413454261886,9.897693086184931e-05,0.00010301163529598102,0.00982213093359096,0.00010981926209227354,0.08981303494105743,0.0027469632520196138,0.0006987894908366995,0.00011829365090811537,0.00011279561875728748,8.700868161290656e-05
1968,0.004999266448457095,0.007584679899607725,0.00024003981537862293,0.0018666439322410425,0.0001796079725149253,0.0025726198966830164,0.004482187590151306,0.0007851551013267096,0.3342582176457653,0.01084252264471769,0.024446842275194017,0.0007492763173932411,0.00015058340015075612,0.0004776739126753451,0.0023681283553479266,0.00021244884625037884,0.005631912070315474,0.005840620794677923,0.10802342878181333,0.03797432134739176,0.00010227378251375742,0.0005589325486252788,0.002253202191294216,0.00016128068678312587,0.07545008365601265,0.007216977076933861,0.14133552664218316,0.0010024995801321084,0.0016374778777695483,0.005344596247575933,0.08086870847040378,0.00016883376509514928,0.017847137808962958,0.04118983201701417,0.04010646096607045,0.0010339892728323846,0.004176864974040506,0.0004721167301723669,0.025244423375412925,0.0001426052821165677
1969,0.0006078946713967226,0.00060804957668089,0.0010146976352956992,0.002843155748780391,0.006936499617318529,0.0009368397373444397,0.0032216913051810294,0.025553477290289207,0.36815326937576986,0.02259095250786976,0.0098240624359294,0.015662369539565995,0.0006173594116103717,0.0010680655908916344,0.01475375314108902,0.00700604321129658,0.00015604624145493115,0.012382538826445988,0.1438126033745361,0.06623116108384125,0.00010865646508497537,0.0012228039405397936,0.008962529394597754,0.0005431030364833934,0.011502658013462081,0.0032191104107594615,0.1624987079988751,0.006085380601338488,0.001650244438483177,0.003705672196217004,0.0008261490649203126,0.006383196838503439,0.00125818327235914,0.00848002829825237,0.017661697449489127,0.0018426756714597656,0.05232725714593833,0.0005741160726646751,0.005068560496563305,0.002098738871418952
