,Number,Score,Rank
0,0,"0,02133",20.0
1,1,"0,00505",40.0
2,2,"0,02557",13.0
3,3,"0,01899",28.0
4,4,"0,01913",27.0
5,5,"0,03165",7.0
6,6,"0,02202",19.0
7,7,"0,02346",17.0
8,8,"1,34561",1.0
9,9,"0,12143",4.0
10,10,"0,02523",15.0
11,11,"0,02553",14.0
12,12,"0,01604",35.0
13,13,"0,02519",16.0
14,14,"0,02965",9.0
15,15,"0,01177",37.0
16,16,"0,01007",39.0
17,17,"0,0168",34.0
18,18,"0,65387",3.0
19,19,"0,09039",5.0
20,20,"0,0109",38.0
21,21,"0,01873",29.0
22,22,"0,01757",31.0
23,23,"0,01718",33.0
24,24,"0,02743",11.0
25,25,"0,0195",25.0
26,26,"0,80885",2.0
27,27,"0,03078",8.0
28,28,"0,02028",23.0
29,29,"0,02869",10.0
30,30,"0,01728",32.0
31,31,"0,01799",30.0
32,32,"0,0267",12.0
33,33,"0,01918",26.0
34,34,"0,03439",6.0
35,35,"0,02094",21.0
36,36,"0,02222",18.0
37,37,"0,02066",22.0
38,38,"0,0197",24.0
39,39,"0,01519",36.0
