idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
uj0002,7.112928147353766e-05,0.1774659259211509,3.827641526362956e-05,4.9267602845663154e-05,3.239826933898725e-05,4.920926512230069e-05,1.2252924012427926e-05,0.2731594795187083,4.691981802783648e-05,2.5609507301175143e-05,4.212484004896562e-05,3.502041953531252e-05,3.782265255726226e-05,2.2555679507457145e-05,3.558349552667461e-05,2.4927285547480227e-05,0.0519998924490414,2.565838851275321e-05,4.757088629662335e-05,4.3575983628468405e-05,5.343446985763588e-05,5.995840258851491e-05,5.787916948310972e-05,2.4720963717470427e-05,2.943046601435711e-06,4.778796780183157e-05,3.4805787807220565e-05,3.895873317344648e-05,4.24237649599777e-05,2.1648613499046663e-05,2.5198360818755447e-05,4.237816492597684e-05,3.677227817196286e-05,6.020695684303259e-05,6.097731732988539e-05,2.3863100055133204e-05,6.868524295805271e-05,3.40921321038969e-05,3.732230308555643e-05,0.0002425847163023,0.0347655983199693,4.705462131826169e-05,2.050926621318961e-05,0.123786853937137,4.534658800736414e-05,0.0003237006301646,5.996695593873875e-06,5.718491221383664e-05,0.0520216752396451,2.25509199599588e-05,2.6712926265037786e-05,3.855724965336014e-05,4.380043607241356e-05,0.0347367507051031,0.2495957924343748,4.023298721890938e-05,5.044957389202754e-05,2.4466857199652063e-05,3.4596357660706247e-05,3.0327246805644223e-05
uj0003,0.0001336496706046,0.2218378308272055,0.0047225465099791,9.25722677833011e-05,6.087532357438917e-05,9.246265304588642e-05,2.3022856751528857e-05,0.057496643098752,8.816085435337915e-05,4.811945438282018e-05,7.91512423601677e-05,6.580226087439677e-05,7.106756810908751e-05,4.238140852802708e-05,6.686026285630784e-05,4.6837581281170014e-05,0.3860449863840995,4.821130063363031e-05,8.938419104203749e-05,8.187789525729713e-05,0.0001004016791321,0.0001126599424305,0.0001087531291759,4.644990908698918e-05,5.529891497670526e-06,8.979208032566856e-05,6.539897464449914e-05,7.320222766121308e-05,7.97129128152129e-05,4.067706018189893e-05,4.734692314382428e-05,7.962723179331137e-05,6.909394785455111e-05,0.0001131269680148,0.0605727168202291,4.483801039323255e-05,0.0001290573995205,6.405803814551595e-05,7.012742727404255e-05,0.0004558090108022,0.0002146911635312,8.8414145473274e-05,3.853626266075832e-05,0.0140121463043715,8.520480489434374e-05,0.0006082232478632,1.1267601390512954e-05,0.0001074486417211,8.392966302791967e-05,4.237246548878639e-05,5.0192743723075885e-05,7.244785282287473e-05,8.229963430172755e-05,0.0001604874074308,0.2504031633502587,7.5596510717567e-05,9.479315400256606e-05,4.597245097548632e-05,6.500546202189899e-05,5.698393772510266e-05
uj0006,8.026816499067504e-05,0.0298879722777092,4.319427318797858e-05,5.559763844067488e-05,3.656088708954052e-05,5.553180532796755e-05,1.382721301091266e-05,0.3724971120255225,5.294820384474094e-05,0.0167875154685152,4.753715405538172e-05,3.951993827392892e-05,4.268220981510652e-05,2.545369454990097e-05,4.015535979992528e-05,2.8130010983440035e-05,2.582550540294332e-05,2.895504804589842e-05,5.368292313525732e-05,4.917474450830963e-05,6.029987585798465e-05,6.766202120771777e-05,6.531564257853355e-05,2.7897180363626084e-05,3.32117723229319e-06,5.392789586259972e-05,3.9277730077728765e-05,4.396425715838679e-05,0.0251857978587596,2.443008623399788e-05,2.843591474274774e-05,4.7823026801498845e-05,4.149688047233006e-05,6.794251038878986e-05,0.0726894793711974,2.6929096045023672e-05,7.751010976024935e-05,3.847238194888212e-05,4.211757408259428e-05,0.0002737526603529,0.1397840704282929,0.0084324081180644,2.314435251044164e-05,3.619571409496473e-05,0.114568379318444,0.0003652905674199,6.767167351563888e-06,6.453218524729763e-05,5.040700818086361e-05,2.544832348279663e-05,3.0145075676372443e-05,4.351118994382036e-05,4.942803521264287e-05,0.0475791306920234,0.1699404347322745,4.5402230828896914e-05,5.693147234140216e-05,2.7610425549365265e-05,3.904139177645285e-05,3.422377394904536e-05
uj0007,9.036400215443272e-05,0.1279794382406302,4.8627091398826645e-05,6.259050671481241e-05,4.1159382179859486e-05,6.251639335319253e-05,1.556634945439537e-05,0.5136807065566107,5.960783589428455e-05,3.253480880160863e-05,5.3516203989154975e-05,4.449061203458724e-05,0.2484563504851265,2.8655167455400684e-05,4.520595456360581e-05,3.166810121306617e-05,2.907374332205047e-05,3.2596908429453105e-05,6.0434965498640616e-05,5.5359764599188206e-05,6.788417441181031e-05,7.617230356390713e-05,7.353080598479405e-05,3.140598600670846e-05,3.7389027967570936e-06,6.071075000254597e-05,4.421793977447273e-05,4.949392114594904e-05,5.389596392406671e-05,2.7502813417229903e-05,3.201248043200486e-05,5.383803276708983e-05,4.671620681548528e-05,7.648807165161211e-05,7.74667523756618e-05,3.031613957179838e-05,8.725904879199838e-05,4.331129789398847e-05,4.741496900522358e-05,0.0003081842719687,0.0158672025485844,5.977909257752463e-05,2.605536479324604e-05,4.074827905731494e-05,5.760917433023838e-05,0.0004112354832724,7.618316990392972e-06,7.264880824663802e-05,5.674701790408727e-05,2.8649120835056933e-05,3.3936613396876764e-05,4.898386878885405e-05,5.564491328490597e-05,0.0001085096907851,0.0906938395827543,5.111275790240274e-05,6.4092105380896e-05,3.10831642173145e-05,4.39518757032665e-05,3.852831546882414e-05
uj0008,0.0001451232052065,0.2812811081129653,7.809436496192181e-05,0.0001005193963679,6.610133818611919e-05,0.0001004003714428,2.499931911300164e-05,0.2442280163614757,9.572927265460348e-05,5.225040526648646e-05,8.594620499564919e-05,7.14512423766346e-05,7.716856482747638e-05,4.6019760609433504e-05,7.260007153599715e-05,5.085848613688507e-05,4.669198704852482e-05,5.235013631889736e-05,9.70576301470064e-05,8.890693513532668e-05,0.0001090209457146,0.0001223315543535,0.0001180893496471,5.04375331249214e-05,6.004620699442948e-06,9.750053584173907e-05,7.101333489782355e-05,7.948648027633398e-05,8.655609364211732e-05,4.4169097651121655e-05,5.141155389470183e-05,8.646305709015674e-05,7.502551355093301e-05,0.0001228386730722,0.0001244104193446,4.868725642129832e-05,0.0001401366976013,0.0051194298110231,7.614771493903271e-05,0.1368414975127964,0.0002331219346835,9.60043082682582e-05,4.184451730191008e-05,0.2374094499813556,9.251945275528388e-05,0.0057103104247864,1.2234900552939803e-05,0.0001166728747711,9.113484272286613e-05,4.601004982965361e-05,5.450168200377473e-05,7.866734399285835e-05,8.936487956281083e-05,0.0001742649035817,0.0850544487216418,8.208630734465251e-05,0.0001029309408564,4.991908626920014e-05,7.058604006931701e-05,6.187588529432407e-05
uj0009,0.0001890349052624,0.103276802615823,0.000101724330448,0.0001309347774011,8.610242713391667e-05,0.0001307797376512,3.256366832187315e-05,0.3247049432473669,0.0001246952474716,6.806044833022762e-05,0.0330013225765594,9.30711171540836e-05,0.0001005183996635,5.99445214473149e-05,9.456756157862483e-05,6.624735923518754e-05,6.082015164751418e-05,6.819035622481547e-05,0.0001264255423088,0.2829643955711606,0.0001420087443319,0.0001593469063401,0.0001538210859613,6.569903333084124e-05,7.821512096848338e-06,0.0001270024633872,9.25007066628533e-05,0.0001035376750899,0.000112746427687,5.753388080235824e-05,6.696777545707178e-05,0.0001126252399296,9.772689919703343e-05,0.0001600074701611,0.0001620547988932,6.341915403530308e-05,0.0001825395691693,9.06040779401522e-05,9.918865876045368e-05,0.000644699031318,0.0003036604847225,0.0001250535039689,5.450592379532514e-05,8.524242936964658e-05,0.0001205141931756,0.2245079945902803,1.5936963793138974e-05,0.0001519760109879,0.0001187106247805,5.993187235833492e-05,7.099292135649003e-05,0.00010247068274,0.0001164051022571,0.0002269943631156,0.0252780482235583,0.0001069241635764,0.0001340760123488,6.502371368009743e-05,9.194412002110343e-05,8.059842737071692e-05
uj0013,9.807358868158908e-05,0.1388982613260307,5.277580946979584e-05,6.793054163791962e-05,4.467097762444391e-05,6.785010514584287e-05,1.6894423855366628e-05,0.2128256861169366,6.469339825946338e-05,3.531058142810009e-05,5.80820465306819e-05,0.0751272557215907,5.215015803481167e-05,0.0034437803635682,4.90627914670355e-05,3.4369928939062936e-05,3.1554228188431376e-05,0.1126538319345188,6.559109608901888e-05,6.008289422077183e-05,7.367584923778802e-05,8.267109679237806e-05,7.980423453638135e-05,0.0068594462966231,4.057894806196459e-06,6.589040970235957e-05,4.7990482209692464e-05,5.371659453961777e-05,5.849420644797539e-05,2.9849271240313045e-05,3.474368956346467e-05,5.843133277786626e-05,5.070189392625528e-05,8.301380526936014e-05,8.40759841070904e-05,3.290262197215389e-05,9.47037299803057e-05,4.700648835430572e-05,5.146027241712293e-05,0.0890641686278498,0.112775996677041,6.487926605095801e-05,2.8278330626774025e-05,4.422480041244696e-05,6.252421686562722e-05,0.0038590012882345,8.268289021604726e-06,7.884698738787441e-05,6.158850383055129e-05,3.109337818022581e-05,3.683198380084288e-05,5.316302604018013e-05,6.0392370939923614e-05,0.000117767413221,0.2417641446145714,5.54735456087365e-05,6.956025221327266e-05,3.3735086867460654e-05,4.7701718347310255e-05,4.181543616700699e-05
uj0014,0.0001288555967502,0.079366219692408,6.93403648691324e-05,8.92516588613749e-05,5.869169831137357e-05,8.914597605394043e-05,2.2197016514836005e-05,0.3020435577879453,8.499848481722661e-05,4.639338789046796e-05,7.631205166238806e-05,6.344190415229588e-05,6.851834244600827e-05,4.0861168323785785e-05,6.446195512679756e-05,4.515749615408023e-05,4.145804143472019e-05,4.648193957491185e-05,8.617793986810993e-05,7.894089829254346e-05,9.68002257002838e-05,0.0001086187795754,0.0001048521054711,4.47837299360368e-05,5.331531800061811e-06,8.657119797950317e-05,6.305308398102635e-05,7.057643079896375e-05,7.685357474534368e-05,3.921795572014016e-05,4.564856769481261e-05,7.677096714027181e-05,6.661551683853669e-05,0.0001090690527418,0.0001104646138692,4.32296507741108e-05,0.0001244280524974,6.17602474779586e-05,6.76119248859729e-05,0.3008544794069948,0.0002069900948402,8.524269027061779e-05,3.715394956988156e-05,5.81054810465514e-05,8.214847018311636e-05,0.0005864060061369,1.0863427455899736e-05,0.0628768822701007,8.091906822951674e-05,0.0045246588217562,4.8392307408682535e-05,6.984911572570026e-05,7.934750936758094e-05,0.000154730651874,0.1562287699100805,7.288482984416699e-05,9.139288089209976e-05,0.0897204489120791,6.26736868333604e-05,5.493989822442408e-05
uj0015,0.0002844647415314,0.0168338398425583,0.0001530774717409,0.000197034127423,0.0001295692171023,0.0001968008194933,4.900267217652421e-05,0.3599433410357848,0.0001876447172175,0.0001024191686497,0.0001684683366447,0.0001400558867607,0.0001512627550966,9.020610651805174e-05,0.0001423077760394,9.969078406875238e-05,9.152377807839644e-05,0.0001026146574966,0.0001902485108024,0.0001742718422434,0.0002136985267111,0.0299354679983375,0.0002314740518388,9.88656486979155e-05,1.1770018949281896e-05,0.0001911166769499,0.0001391975179175,0.0001558062408756,0.0001696638161404,8.657851050851773e-05,0.0001007748855158,0.0001694814495873,0.0001470620311214,0.0002407834869401,0.0002438643615425,9.543482583677433e-05,0.0101732499025441,0.0001363434206881,0.0001492617257006,0.000970160209591,0.1093411110214564,0.000188183831101,8.202196045667402e-05,0.0001282750696464,0.0001813529557675,0.001294564125853,2.3982366007571542e-05,0.0002286975340592,0.0001786388981884,9.018707183330764e-05,0.0001068320318736,0.0001542006024746,0.0001751694867174,0.0003415871409733,0.3745901012407941,0.0001609023186115,0.0496945587167316,9.784940976768616e-05,0.0001383599515699,0.0397155247126931
uj0016,0.0001512328584662,0.1773486156920753,8.138211960308108e-05,0.0001047512396269,6.888418918329698e-05,0.0001046272037801,2.6051784645945896e-05,0.2018852492646711,9.97594528170062e-05,5.445013520220084e-05,8.956452028001383e-05,0.0105994013043873,8.041734349783041e-05,4.7957181851061846e-05,7.565651769901229e-05,5.299961660027264e-05,0.0947731355404659,5.455406490877317e-05,0.0001011437338515,9.264989647146076e-05,0.0001136107022282,0.0001274816844017,0.0001230608838617,5.256094156419791e-05,6.257413837368079e-06,0.0001016052857732,7.400297981661323e-05,8.283284264915505e-05,9.020008509695843e-05,4.602860641169739e-05,5.3575968382340375e-05,9.010313172775175e-05,7.818407025989287e-05,0.0001280101527008,0.0001296480691265,5.073697861754748e-05,0.0001460364200482,7.248562733197515e-05,7.935351606599685e-05,0.1794397897351264,0.0370802332485425,0.0001000460673661,4.360616176926063e-05,6.819616852391353e-05,9.641450024484368e-05,0.0006882421778061,1.274998702680592e-05,0.0001215847757221,9.497159845139428e-05,4.794706224970684e-05,5.679619016766424e-05,8.197922091824601e-05,9.31271202530646e-05,0.00018160141558,0.2938715899089554,8.554212183369533e-05,0.0001072643095788,5.202066821616925e-05,7.355769597499094e-05,6.448084570537862e-05
