receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BaumannSabine,0.0002262392355499,0.2180726535907968,0.0001217448953432,0.0001567043076251,0.0001030484146127,0.0001565187541981,3.897258772191036e-05,0.1366914503734958,0.0001492367635783,8.145555859137202e-05,0.0001339854897014,0.0001113886261772,0.0001203016229569,7.174232022822154e-05,0.0001131795887625,7.928563187716871e-05,7.279028492470194e-05,8.161103391336432e-05,0.0001513076011345,0.0001386011080136,0.0001699577636969,0.0001907082833596,0.0001840949154392,7.862938887665338e-05,9.360879225871887e-06,0.0001519980671813,0.0001107059520789,0.0001239151278989,0.0001349362731474,6.88572366721263e-05,0.5196637232739253,0.0001347912341899,0.0001169607218111,0.0001914988540412,0.0001939491215546,7.590080206749941e-05,0.0002184655396269,0.0001084360441392,0.0001187101731399,0.0007715835115356,0.0003634245000149,0.0001496655292391,6.523334151055125e-05,0.0001020191590026,0.0001442328277898,0.00102958699425,1.9073548879989648e-05,0.0001818867076432,0.0237595095428039,7.172718164724221e-05,8.49651773827347e-05,0.000122638138693,0.0001393150186321,0.0002716695687187,0.0932328977753381,0.0001279681178233,0.0001604637751809,7.782115824155431e-05,0.0001100398225291,9.64611618661948e-05
BaumgärtnerKlaus,0.020761015219489296,0.16933965619945515,0.0023855405268764537,0.0007404368091876723,0.0001602783835692174,0.015342927066295366,6.061678277194642e-05,0.4168771596528888,0.008778813216015145,0.00012669350918990648,0.0009917610707928016,0.001290442261784629,0.0007411021244515622,0.0006099907939735801,0.007721613752359963,0.00012331847088852538,0.00011321580493121654,0.00012693533079761443,0.005027716307909398,0.0011230740516544357,0.0014502156173368849,0.012739809331430858,0.0045876687349394075,0.00012229777039791283,1.4559628081103203e-05,0.0040495848675936455,0.00017218868545799696,0.0019014462301461096,0.0082626826473813,0.0003972032413996126,0.0009359885169079722,0.012044793726498278,0.0012436931563684654,0.003362344251677507,0.03051470253951718,0.0018654721572737556,0.0038003337473254575,0.00302204874535477,0.025767973089277127,0.004700460587217286,0.00618336455216276,0.012184510853558983,0.00031582004459949415,0.004987474487255012,0.0002243353726753856,0.025088526705316198,2.9666420341356984e-05,0.007833111258336932,0.0056904279793495586,0.002958165534008449,0.0001321522639794617,0.006060360667680107,0.01202169516954628,0.007556895472645469,0.12512070801868183,0.0005736120680734437,0.000686435083783775,0.00012104067294298166,0.0044877657122010094,0.004346157055993914
BaumgärtnerKlaus+BaumgärtnerSabine,0.006528412737217059,0.10949545975898593,0.015950013530089326,0.0009502253657716319,0.0004647854388348644,0.002459649938172359,4.155742013810147e-05,0.3630383522685632,0.02114880422769184,0.0070455895368574184,0.0008904171419539898,0.029002234529722604,0.0010036244976367634,7.65005845821898e-05,0.019893764060597705,0.0014735309987734557,0.005639646123177455,0.00043346910403950565,0.0012003824153652616,0.0007105660313136307,0.0032794466267335553,0.00795058696186904,0.004467360803851343,8.38444337354691e-05,0.007156022391387014,0.004236760482603105,0.0004581642708462062,0.000988177475394778,0.004266786790274968,0.000516400117210224,0.0007554669227791444,0.00027931630985851953,0.003265584118654948,0.0055489972390001,0.005899536344843036,0.011674550233329688,0.006904072778449216,0.0006256179828781504,0.016969399121153885,0.005226829775057782,0.0087727223435994,0.0032102230604289595,0.010139774001216397,0.001462985156723925,0.004560801525278039,0.017281762084313982,0.0006208288762367306,0.007299081205109982,0.011319451765714032,0.001163094916759947,9.06004394370192e-05,0.010010485096888254,0.00027420221232362285,0.023893088589257094,0.19556899008433734,0.005316919320291282,0.00017110643434112115,0.01089522419104291,0.009322831016271628,0.0006259207910322449
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,0.0505574398939335,0.1057410998695246,0.0001112364195955,0.0001431782915108,9.415373559773488e-05,0.0001430087542271,3.560864797111223e-05,0.225594311973256,0.0001363553125219,7.442467849112828e-05,0.0001224204605057,0.0001017740573408,0.000109917724037,6.554984349169413e-05,0.0001034104320328,7.244205016168486e-05,6.650735255497208e-05,7.456673387755843e-05,0.000138247404627,0.0001266376792549,0.0001552877684341,0.0001742471958953,0.0001682046643637,7.184245112670164e-05,8.552889929522763e-06,0.0001388782727277,0.0001011503086224,0.0001132193273676,0.0001232891765701,6.291378746561497e-05,7.322983142097632e-05,0.0001231566567278,0.0001068651945603,0.0001749695280457,0.0001772082994083,6.934938374716091e-05,0.1512517944267057,9.90763290004088e-05,0.000108463641062,0.0007049838681135,0.0003320553199456,0.0001367470690454,5.960269075288128e-05,9.321332073595876e-05,0.0001317832941269,0.0009407176422435,1.7427205308348482e-05,0.0001661870592044,0.0001298110767638,6.553601160542776e-05,7.763136265965668e-05,0.0001120525621678,0.0001272899682966,0.0002482202646125,0.207465791277025,0.0001169224812992,0.2519002563535502,7.1103983351093e-05,0.0001005416764009,8.813506509465713e-05
BaumgärtnerSabine,0.00044526839176895,0.1007378060346444,0.0002396098697195,0.000308414563326625,0.03506642591078381,0.000308049369924925,7.670314751470922e-05,0.5154399766763255,0.03550178884608765,0.0001603151879754395,0.00026370095962665,0.00021922737812785,0.0002367693209845,0.00014119826506721285,0.00022275222662795002,0.00015604448852784812,0.00014326079659006256,0.0001606211837343796,0.00029779313944285,0.00027278509986372503,0.000334499097497375,0.0033864872918137,0.00036232286027312497,0.00015475291651229707,1.8423434062243068e-05,0.000299152066887425,0.00021788378625667542,0.0002438811711032,0.00026557222574417503,0.00013552004346244293,0.00015774141625700202,0.00026528677011485,0.000230193990774375,0.00037689477935710003,0.00038171722614634997,0.00014938270096431832,0.0264867091042936,0.0002134163106866699,0.0002336371396947,0.040715202809587396,0.000715266926435975,0.00029456132728505,0.0001283877440334284,0.0002007870418597807,0.00028386906061685,0.00503751026127935,3.7539237676761e-05,0.046449160625543405,0.000279620787010425,0.010777595502720299,0.0001672225765685468,0.000241367889405325,0.06651945626529,0.01523341582276975,0.08258021791645301,0.00025185798512089997,0.00031581368695095,0.0050527404117049575,0.00021657275621963398,0.00018984817689959044
BaumgärtnerSabine+BaumgärtnerKlaus,0.00025349170287852497,0.20687579944195542,0.00013641011808717806,0.0024898640697302,0.00011546148498786951,0.00017537278817995,4.3667172067631025e-05,0.45205210015235153,0.00016721361897985,9.126758321140406e-05,0.00157849420202135,0.0001248063469729856,0.00013479299109309142,8.038430150676359e-05,0.0001268130464495408,8.883627010797486e-05,8.155850259006209e-05,9.144178687695285e-05,0.00016953390678150002,0.00015529680696540002,0.00019043064228985,0.007156530870865274,0.000206270735898325,8.810097697769998e-05,1.0488477870065942e-05,0.000170307545419175,0.00012404143889123363,0.00013884177387339137,0.00015119051112897296,0.02090510436069853,8.9802332616975e-05,0.00015102800097803457,0.00013104964958771047,0.0849965934498623,0.0028208060506302503,8.50437083521786e-05,0.0016731506026356,0.00012149810096128188,0.000133009837418688,0.003339167279505875,0.003263940124538375,0.0027711881176561504,7.309126015992832e-05,0.0043994152598778,0.0001616069159646,0.0160014489010009,2.1371122359797268e-05,0.00020379653042657502,0.0158712474183722,8.036733935312881e-05,9.519996585810493e-05,0.00013741096030301037,0.005363084883262575,0.00030439451153275,0.06719490355444152,0.007285228003419774,0.000179793020967625,8.719538799127997e-05,0.08868217334142482,0.00010808074083017078
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,7.349404365239161e-05,0.0017917925166481,3.954895193604362e-05,5.090555224482256e-05,3.3475381330082833e-05,5.084527502707818e-05,1.2660284394603876e-05,0.128797979435444,4.847971303608587e-05,2.6460920292144737e-05,4.352532134828995e-05,3.618470746131265e-05,3.908010344694434e-05,2.33055650217292e-05,3.676650346193969e-05,2.575601741237477e-05,2.364599740942738e-05,2.651142660716827e-05,4.915242670302641e-05,4.502470960820851e-05,5.521095080540784e-05,6.195177802839712e-05,5.980341879509041e-05,0.0076976904758495,3.040891049594083e-06,4.93767252941184e-05,3.5962940092561054e-05,4.025395416873945e-05,0.5140777260400042,2.236834272119856e-05,2.6036104844828263e-05,4.378706825734913e-05,3.7994808343081e-05,6.220859571097565e-05,0.0537680380450425,2.4656452037770347e-05,7.096875069815302e-05,3.52255582109184e-05,3.856311937015903e-05,0.0002506496812562,0.0180197366408772,4.861899799307904e-05,2.119111672611855e-05,3.314102660791938e-05,4.685417945266478e-05,0.0003344623726092,6.1960615743072455e-06,5.908608026731506e-05,4.615297808366774e-05,2.3300647238442736e-05,2.7601023493203604e-05,3.983912293834218e-05,4.525662419206844e-05,8.825213316294662e-05,0.2732381427160673,4.157057202992686e-05,5.2126819068805376e-05,2.528028167607789e-05,3.574654723702832e-05,3.133550563729624e-05
BierwischHedwig+BierwischWilhelm,0.0002067112749463,0.019425565094118,0.0001112364195955,0.0001431782915108,9.415373559773488e-05,0.0001430087542271,3.560864797111223e-05,0.4198042652179209,0.0001363553125219,7.442467849112828e-05,0.0001224204605057,0.0001017740573408,0.000109917724037,6.554984349169413e-05,0.0001034104320328,7.244205016168486e-05,6.650735255497208e-05,7.456673387755843e-05,0.000138247404627,0.0001266376792549,0.0001552877684341,0.0001742471958953,0.2735007314531514,7.184245112670164e-05,8.552889929522763e-06,0.0001388782727277,0.0001011503086224,0.0001132193273676,0.0001232891765701,6.291378746561497e-05,7.322983142097632e-05,0.0001231566567278,0.0001068651945603,0.0001749695280457,0.0001772082994083,6.934938374716091e-05,0.0145855310323118,9.90763290004088e-05,0.000108463641062,0.0007049838681135,0.0003320553199456,0.0001367470690454,5.960269075288128e-05,9.321332073595876e-05,0.0001317832941269,0.0009407176422435,1.7427205308348482e-05,0.0001661870592044,0.0001298110767638,6.553601160542776e-05,7.763136265965668e-05,0.0001120525621678,0.0001272899682966,0.0002482202646125,0.2650094811272961,0.0001169224812992,0.0001466132586141,7.1103983351093e-05,0.0001005416764009,8.813506509465713e-05
BierwischManfred,0.002003674431527418,0.1250796000420291,0.0053953033376901655,0.0018688810051483073,0.003687111458809786,0.002543122027387067,0.0030745488164469854,0.37309493111820297,0.005172095455366204,0.002634830125153012,0.0048524498705219245,0.0028396558682925394,0.010361559708352692,0.0019805100296165393,0.005958613648566273,0.003914441657283436,0.005291529613249833,0.004328932530765178,0.0011206867480253637,0.008278220954992551,0.00402146942745686,0.0018167775814878864,0.011300531253607207,0.0008772997271481515,1.0862529540114952e-05,0.0024680746307371546,0.0020303340510216482,0.013190300584794673,0.001910072936813638,0.008290220204958352,0.0022977297853969346,0.003715137129249446,0.002508837149694417,0.0100403443383252,0.03260929888353033,0.0030541787616092174,0.0016054387939765907,0.007635473242429106,0.00150221823847976,0.012836434080993813,0.014857365612378763,0.0207397407409002,0.000982797252266927,0.0036341186730375476,0.001109955097807024,0.004983714179745393,2.213328290478086e-05,0.007328581353736632,0.012770362503857498,0.005185339561282709,0.007009155235927237,0.002509634850059468,0.00744879034393925,0.024853659252918568,0.1624093106620929,0.004778889494931604,0.007766365691007785,0.0036831401169782215,0.004989007707372908,0.00573620660817505
BierwischManfred+BaumgärtnerKlaus,0.00018014926827355,0.12064752192916305,9.694275070729286e-05,0.00012478015267929998,8.205515919515988e-05,0.00012463240061489999,3.103300426100474e-05,0.1497184875266275,0.14789452632052685,6.486124849819597e-05,0.00010668966357800001,8.869628405099192e-05,9.579350502635184e-05,5.712681295948682e-05,9.012238769951582e-05,6.313338414778535e-05,5.7961283924651276e-05,6.498505003696718e-05,0.00012048287540545,0.0001103649777186,0.00013533358479120002,0.00015185676179210001,0.0001465906840988,6.261083245128107e-05,7.453859799510217e-06,0.0001210326781521,8.815268585959953e-05,9.867085859249902e-05,0.00010744675127625,5.4829485131821854e-05,6.381993700978013e-05,0.00010733125998225001,9.313321979634595e-05,0.00015248627563155,0.00015443736912129998,6.0438119500342184e-05,0.000173959247215,8.634520868438237e-05,9.452626895505248e-05,0.0006143947785059,0.00028938684128414997,0.0001191753300998,5.194385806509855e-05,0.13755992598114425,0.00011484939084145001,0.0071081645463447005,1.5187842487873338e-05,0.00014483233737485,0.00011313059966795,0.01880420890325595,6.765587983456037e-05,9.765402050740802e-05,0.00011093344885595,0.0065046517679828,0.39032621376780496,0.00010189816426925001,0.015848592074194548,6.19672563838699e-05,8.762226172389365e-05,7.680987643353637e-05
