sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BaumgärtnerKlaus,0.03701468880658681,0.1473071816281993,0.006720635860205421,0.010508181940269255,0.007358405636520852,0.014005055267873986,0.0005790288414849273,0.24945898385052576,0.0008511958384081666,0.0004110255043066186,0.011281665727084538,0.0024559448433657703,0.0054991746635849595,0.006358149827666683,0.002786687423284896,0.005618788839326022,0.00011375741270312343,0.0033297894544655343,0.0013883697802032412,0.0014064783216798187,0.0015701648815213817,0.000979288119779097,0.002313293088029437,0.0020472383983621617,1.4629279202071283e-05,0.0029345176532623416,0.0037179782693591615,0.002683363079515464,0.007335428016617072,0.0007958351297123208,0.0018660955659517001,0.004435128273937027,0.003412952407802767,0.0030474659607226916,0.0056703982484725335,0.004492614286572249,0.0028510725232839093,0.005042194775398279,0.011399219773855095,0.005697649815508878,0.002543218575769759,0.0018834202578944703,0.0034897053415157116,0.0029888651734237604,0.0022019254773001217,0.15590036857743664,0.0009103708709654241,0.0026967796689870765,0.0018026925431966088,0.006204612715027461,0.0017663661123995201,0.015827353260089806,0.0024518976295879614,0.00468670474448087,0.18834704873990074,0.0012659676986648658,0.005187816652826298,0.00024030662038650752,0.008391730224407708,0.004453132101125285
BaumgärtnerKlaus+BaumannSabine,0.00046306349431811665,0.10929848736323011,0.0002491858519411663,0.012957485670138416,0.006458981204264264,0.008793156043273971,7.97685804111502e-05,0.19408950900282754,0.02660980040400911,0.00016672216691881734,0.00027423973962005527,0.00022798877630360556,0.000246231780986836,0.0185045648519265,0.00023165449498829772,0.0001622807894351405,0.00014898619864808112,0.00016704039176477129,0.0026790841632729333,0.000283686926527625,0.0074085302456491165,0.0003903392082865,0.0188851212372961,0.0001609375998853653,1.9159724588375148e-05,0.004476483022097682,0.00022659148793034148,0.0049924073626196,0.00027618579068319093,0.00014093608716879517,0.00016404553469530442,0.00027588892685092686,0.00023939366842445174,0.00039195733796869997,0.00039697251331611666,0.0015674853499259187,0.00044715239565685003,0.005750521561924217,0.00024297442241456312,0.0015792669920466167,0.0007438524908758834,0.0003063334384947227,0.0001335187461736421,0.00020881147401463762,0.00029521385655925626,0.3382433965470668,3.903948920241248e-05,0.0003722833230343334,0.0002907958011630554,0.005351110176553712,0.0001739056085411394,0.0002510141306913277,0.0039868117861128075,0.0005560497032487333,0.2021383898592584,0.0002619234619342308,0.005532735070112635,0.010567883171489822,0.00022522806272130691,0.0001974354385133547
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0004163430181281,0.0970757650185487,0.000224044414956,0.0002883794414868,0.0001896376985579,0.0002880379716545,7.172038376524882e-05,0.2660377731486279,0.0002746370867671,0.0001499008473256,0.0002465705076843,0.0002049860038424,0.0002213883929807,0.0001320257914535,0.0002082818723346,0.0001459075796012,0.0001339543375059,0.0001501869650922,0.0002784480029245,0.0002550645270967,0.0003127694810312,0.0003509561994539,0.0003387857660042,0.0001446999102471,1.7226617212339632e-05,0.0002797186521872,0.0002037296939288,0.0002280382455137,0.0002483202132495,0.000126716436547,0.0001474942720891,0.0002480533012916,0.0002152402071326,0.0727901430962107,0.0003569202416858,0.0001396785528129,0.0004020372589403,0.0001995524329855,0.0002184596833852,0.00141992792342,0.0006688019999274,0.0002754261346476,0.0001200474631248,0.0436503827987204,0.0002654284553657,0.3206207468965316,3.5100626501868693e-05,0.000334722050459,0.0002614561566626,0.0001319979322606,0.000156359520493,0.0002256882307657,0.0002563783208818,0.0004999474467766,0.1860619682967006,0.0002354968724555,0.0002952979057618,0.0001432125414398,0.0002025038305786,0.0001775153242799
BaumgärtnerKlaus+BaumgärtnerSabine,0.016588085897103526,0.14914101083142736,0.006778970830276317,0.011079626628800613,0.0037366729081570343,0.00298147406368417,0.011574056330943263,0.23873682094661713,0.001809852129156787,0.030013030668689673,0.00953890625966106,0.0013482488640822634,0.002219346617007548,0.009791997346529965,0.002084553361013729,0.0016402300921240427,0.000760622568143368,0.00025679220512499706,0.0005772429479943278,0.010267101854112212,0.003773223294640884,0.002871784335412112,0.0003153881886149377,0.0004275146704355591,1.1168574611250355e-05,0.004262404395754832,0.0018653704148696086,0.0027909194758481844,0.0038108243093344847,8.215437532530018e-05,0.010710914978645939,0.011730804832588062,0.00013954720669009178,0.0002284795250233456,0.00023140296788381334,0.00330927095626155,0.00196550089775735,0.009341105849803239,0.00504212487593915,0.004034483291505307,0.00983376818410482,0.0011434952733037002,0.010759046037003067,0.00012172025315189115,0.00017208587566324156,0.12978156997685547,2.2756874501567298e-05,0.002300094273886509,0.00882535079040413,0.003346096529874032,0.00010137294799555745,0.0380279625900108,0.0001662183799744518,0.0023999454854685062,0.1895426272517639,0.01430191243895482,0.0030292943915074025,0.0010329345079956372,0.004073526269460585,0.003149190900523642
BaumgärtnerKlaus+BierwischManfred,0.0005861929773725,0.034689285725882,0.0003154448542388,0.0004060257913733,0.0002670016844273,0.000405545016606,0.0001009792009643,0.2521826522617851,0.0003866771498001,0.0002110539151095,0.0003471606193411,0.000288611434995,0.1226987408706057,0.0001858866089074,0.0002932518754019,0.0002054315667216,0.0001886019184076,0.0002114567565605,0.000392042755062,0.0003591198316071,0.0004403659130428,0.0004941311623531,0.000476995717998,0.0002037312204602,2.4254332591335503e-05,0.0003938317743131,0.0002868426049278,0.0003210679950718,0.0003496241291639,0.0001784112666415,0.0002076655611761,0.0003492483286617,0.000303048910095,0.0004961795558625,0.0209003675395027,0.0001966613661894,0.0005660510866557,0.0002809612020388,0.0003075817935299,0.0631927149446357,0.000941644313799,0.0003877880951173,0.0001690216402609,0.0002643348507583,0.0003737117947355,0.3086352812468531,4.9420165250478894e-05,0.0004712741821227,0.0003681189698234,0.0001858473843678,0.0002201474478195,0.0003177592758618,0.0003609695964812,0.0007039043999668,0.1803758536900531,0.0003315694194833,0.000415766690093,0.0002016370694557,0.000285116642306,0.0002499339053091
BaumgärtnerSabine,0.000134274129407,0.0126183288353813,7.225621052084493e-05,9.300479834788084e-05,6.115975474049436e-05,9.289467145142118e-05,2.313042772788528e-05,0.2913830736998856,8.857277322520113e-05,4.834428559058741e-05,7.95210651198885e-05,6.610971244416117e-05,7.13996210672098e-05,4.257942954444232e-05,6.717265778768065e-05,4.705642312182274e-05,4.320140188680458e-05,4.843656097975257e-05,8.98018257780301e-05,0.0374611061910394,0.0001008707914915,0.0001131863297565,0.0001092612624807,0.2523538756382136,5.555729117822072e-06,9.021162086548733e-05,6.570454191754185e-05,7.354425450809682e-05,8.008535989909518e-05,4.086711787657599e-05,4.7568144810840696e-05,7.999927854498117e-05,6.941677935679464e-05,0.0001136555374505,0.0001151097836001,4.5047509527416194e-05,0.000129660401599,6.435734008624197e-05,7.045508755975977e-05,0.0004579387126395,0.0142327614269402,8.882724781130801e-05,3.87163177878993e-05,6.05488863353758e-05,8.560291205157712e-05,0.0052834207998736,1.1320247632282754e-05,0.0001079506799965,0.0514802346953226,4.25704447201411e-05,5.042726207614431e-05,7.278635496217008e-05,8.268416746853471e-05,0.0001612372616864,0.3310031831849049,7.594972450657637e-05,9.52360613375684e-05,4.618725061960964e-05,6.530919066398992e-05,5.725018695228927e-05
BierwischHedwig,0.0003024262467454,0.0178967522459626,0.000162742999328,0.000209475140281,0.0001377504003169,0.0002092271009595,5.2096770049826974e-05,0.8036134128033312,0.000199492869465,0.0001088860594912,0.0001791056651612,0.0001488992130963,0.0001608136989139,9.590184738154976e-05,0.0001512932898418,0.0001059854008574,9.730271858369945e-05,0.0001090938917798,0.0002022610702513,0.0001852756122934,0.0002271917532569,0.0002549300974233,0.1160053434983121,0.0001051081652749,1.2513194555471651e-05,0.0002031840536344,0.000147986645633,0.0001656440667967,0.0001803766289194,9.204519984074685e-05,0.0001071379539998,0.0001801827474848,0.0212034847986055,0.0002559868960967,0.0002592623014692,0.0001014607154167,0.0002920347261251,0.0001449523366768,0.000158686321698,0.0115549860259582,0.0004858092242385,0.0002000660237599,8.720094278847222e-05,0.0001363745385643,0.0001928038373181,0.0013763047316352,2.5496646440962776e-05,0.0002431378190954,0.0001899184103134,9.588161081994936e-05,0.0001135775571264,0.0001639370461211,0.0001862299353062,0.0003631554350987,0.0193937817113937,0.0001710619180723,0.0002145006242998,0.0001040277595845,0.0001470961941642,0.0001289448625875
BierwischManfred,0.009870011885994876,0.258233118647123,0.004924842679914873,0.00995558804826887,0.003162992165718211,0.003114985993455412,8.83951697343115e-05,0.2234118085049997,0.008271408335668876,0.002073761260680836,0.009339172976530155,0.001744897605375674,0.009049063871010569,0.005836876510249827,0.00023154805043460835,0.00606973608001243,0.0007728776993769471,0.007446107606069784,0.003977345789925843,0.004254498974678998,0.018927457006844173,0.001546009728385671,0.009638924640690931,0.0015764594371935397,6.70430320675612e-05,0.004056096524942538,0.0008472550069566667,0.005189878535025402,0.0013844861408082668,0.007491780461006843,0.0007393868406192118,0.005645386343394854,0.003940205861517335,0.0037395811404275243,0.0014522353932185674,0.0007969004533052566,0.0008428684059377437,0.00487535367517743,0.001772373994222167,0.0830225316675133,0.006157214597570201,0.010904714390246524,0.0023853850638115,0.006185749186152541,0.0036248735946528645,0.01772339531048333,0.002808406732355718,0.00226656712044064,0.0012191552888436803,0.00012102837059263748,0.010143679194243601,0.001812102111217455,0.007172291654186211,0.008270476318635887,0.1582707705254602,0.010875165547761075,0.007460086503407687,0.003747845687910689,0.0030903138369129065,0.006379526820634241
BierwischManfred+BaumgärtnerKlaus,0.00035569490146443336,0.19531191058715694,0.0922141777616125,0.00024637160360033335,0.00016201343499349012,0.0002460798752104,0.0025483748545828337,0.23606902802278384,0.00023463107885246667,0.0001280649964028091,0.00021065291986666667,0.00017512597368903333,0.00018913904928846668,0.00011279377541376777,0.00017794173753643333,0.00012465342251328287,0.00011444139280665829,0.00012830943578664826,0.00023788686407786666,0.00021790962711616666,0.0002672087795219,0.03760636110295473,0.0002894353079300333,0.0001236216726983422,1.4717239499916137e-05,0.0002389724196044,0.00017405266871823333,0.00019482022691966663,0.00021214774822096664,0.00010825782695766404,0.0001260089836817139,0.00021191971696206665,0.00018388646124396668,0.0003010758317546333,0.00030492815940066665,0.0001193317695175136,0.000343473042605,0.00017048390364966665,0.00018663696080466666,0.008153947235199433,0.0035205837652833335,0.00023530518721,0.00010256031375096993,0.00016039523215634086,0.00022676385616276668,0.16657497694484139,2.9987566360682215e-05,0.0002859635482571,0.00022337019676593335,0.00011276997443131545,0.00013358284350451765,0.0001928125355982,0.00021903204236176665,0.00042712078760953333,0.16848925758381686,0.00020119236590026668,0.0798808236309613,0.00012235096686604759,0.0001730053752016,0.00015165691035739042
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.3458211175627322,0.0127330822696723,0.0002810481983834,0.0003617520325003,0.0002378873561108,0.0003613236822503,8.996825316332047e-05,0.2792050871203826,0.0003445132004755,0.0001880402289219,0.000309305621266,0.0002571407418705,0.0002777164028054,0.0001656172095851,0.0002612751805799,0.0001830309511864,0.0001680364370122,0.00018839914384,0.0003492937308023,0.0003199607802146,0.000392347647543,0.0004402502405042,0.0004249832748213,0.0001815160136403,2.1609597957259465e-05,0.0003508876722809,0.000255564788112,0.0002860581821543,0.0003115005056906,0.0001589569916488,0.0001850213469979,0.0003111656831291,0.0002700039295609,0.0004420752736206,0.0004477317183384,0.0001752170685825,0.000504327891103,0.000250324703629,0.0002740425394978,0.0563020713366942,0.0008389657791369,0.0003455030063821,0.0001505912264689,0.000235511318626,0.00033296161029,0.0750712959773593,4.403130442870578e-05,0.0004198856251747,0.0003279786367391,0.0001655822621576,0.0001961421870002,0.0002831102514449,0.0003216088435078,0.000627149439233,0.2152282268258483,0.000295414512973,0.0003704307666721,0.0001796502125057,0.0002540270274581,0.0002226806773296
