year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0015663709771992973,0.0735919098301811,0.006298343536627668,0.00031244806931749337,0.00020546517629252414,0.00031207809984507603,7.770628628248943e-05,0.21580673322999494,0.0002975587548160385,0.00016241182136444038,0.00026714969236150277,0.00022209447666400172,0.0002398658364808761,0.024850246778008404,0.0064223745438313365,0.00015808526887404074,0.00014513438931238566,0.00016272181899577577,0.00030168773637442387,0.013686406318378381,0.014319553459055012,0.05038982223967715,0.0003670613895169575,0.00015677680542704883,1.866437933687936e-05,0.0028986278562721473,0.0046327336513229305,0.00024707069676661034,0.0002690454312633829,0.00013729240110112596,0.00015980438935601552,0.0002687562423895258,0.00023320451281601056,0.00038182388300923815,0.08626321382779562,0.0001513363571496236,0.0006556976041919818,0.002052294744088603,0.00023669269191145856,0.025579914141510743,0.010665876990264764,0.00029841365794502445,0.0001300668240649727,0.012314612978390531,0.045565234897102534,0.04188898544966879,3.8030183170478744e-05,0.0031167895092271774,0.02231632572007244,0.00014301469923136317,0.00016940954613679142,0.00024452454587905125,0.00027777608196123194,0.0005416738922171476,0.32572304473575603,0.0011731954996897337,0.000319943960128001,0.00015516529834516118,0.00021940513709116962,0.00019233104849494074
1955,0.007178217128217698,0.24092666719928504,0.00018288394336288307,0.00947834358958926,0.00015479828019519007,0.0002351208804056276,5.854422483622398e-05,0.21659003096883378,0.00022418194817092773,0.0001223617115281476,0.003711796796535638,0.00016732686116837555,0.0037856254563026696,0.00010777058366469583,0.0005487481802347527,0.029950740254534085,0.00010934482557155509,0.00046976965336662055,0.00022729273928272237,0.002480590894303193,0.170796542523553,0.002836209951254688,0.0002765455093099773,0.00011811626813125235,1.4061817551729833e-05,0.0011751217618230269,0.008496035473397142,0.00018614404463191463,0.0018042455612117061,0.004908073633387224,0.00012039726189285756,0.0009561943747230439,0.014372240819781704,0.0007683451610950311,0.00029134839749678937,0.00011401741278247052,0.00032817671133752356,0.0006327287240778891,0.003101877814002944,0.002105856713742775,0.0012641186634447794,0.0002248260355851038,9.799286204608865e-05,0.0005186962178204102,0.0002166650867308112,0.020949466974077617,2.8652091106263988e-05,0.0002732283620212576,0.00021342256157714517,0.00010774784264233216,0.00012763382517574475,0.00018422576443656677,0.00020927760383946244,0.001796223126400726,0.2014051140286139,0.001467097358832083,0.004536780256559213,0.00011690215229274776,0.001301493561915042,0.034847999570306945
1956,0.00036674054203044,0.16252959971653574,0.0001973521029589828,0.00025402235194627997,0.00016704455059971595,0.00025372156431222,6.31757259553904e-05,0.20509582482273042,0.00024191724053753997,0.00013204188759108692,0.00021719447114406,0.00018056428205718986,0.03634977802959455,0.00011629643878106927,0.00018346748577296643,0.002189853011644383,0.00011799522078005985,0.0001322939177206885,0.00024527412992048005,0.00022467652595868003,0.010797244422122978,0.02504508748878792,0.00029842334336534,0.0001274605822727475,1.5174264149329658e-05,0.000246393395956,0.00017945764700243993,0.00020087011459778316,0.00021873571944038,0.00011161963237040133,0.008375236587735934,0.006773212738591121,0.0001895968151104721,0.00381767128944402,0.00031439730510204,0.0001230374617519674,0.00035413914930798,0.00017577805859611155,0.005524003054857041,0.00125075986291434,0.00058912194340912,0.00024261228244958,0.00010574519033303624,0.05515685225470115,0.00023380571152312,0.03954863860054664,3.091879106507284e-05,0.00029484377273044,0.00023030666646646,0.00761510955661486,0.0001377310842272525,0.00019880007704471456,0.00022583379634361997,0.03976865725551062,0.3159208851844703,0.0055390104590460195,0.033033677218987215,0.0001261504163305629,0.003455733896964895,0.02414843288918455
1957,0.00445704327629735,0.20535864505042584,0.014418038475874402,0.02185129177974351,0.0003238985927527885,0.0016062941676219947,4.834551184490684e-05,0.20654731526336956,0.01881759686041712,0.00010104565549539622,0.006401848869014927,0.0009797703600256625,0.00074382044877398,8.899637912481989e-05,0.0001403993285784676,0.005156799174391258,9.0296379781896e-05,0.004144515396224815,0.010919099263710529,0.001212963858891739,0.008749338348394052,0.001161576180406617,0.004140425374948218,9.753979074775814e-05,1.1612174709116106e-05,0.005323088751578123,0.00013733078120768447,0.000248838066499986,0.002082278520959631,0.00043998994137776616,0.014532300518891936,0.0017487853019658532,0.011651857002331518,0.0004562343668624193,0.03124949127475231,9.415497763647945e-05,0.00027100659594644276,0.00013451495943132103,0.0029677641338546807,0.008138042073334864,0.000878124331719725,0.0013633468165186844,8.092198822373615e-05,0.0052064872861480056,0.0010935189239576256,0.0911028878802877,0.00015437207230797277,0.005414196345436223,0.004914400310486353,8.897759970859576e-05,0.06570240678202187,0.0001521326638386626,0.0036593815742044272,0.00421750160738372,0.20057116892656396,0.004492870445237478,0.009650197964395237,0.0005237246160919823,0.0003960496895752529,0.003293138947693115
1958,0.02086060600945164,0.21258840772161786,0.005008340485901074,0.00781629451324808,0.0011297859949540043,0.0204186886175404,0.0001957618042585153,0.2338967474859178,0.004055756085708066,0.00562395192071563,0.006792891024357821,0.0017132069974447911,0.0026645772580972758,0.0006662843674677584,0.0002611130627878444,0.005055817050120339,0.0003227429097819184,0.00011321099112459442,0.01533857946342961,0.0005213987469575922,0.0037016346539749654,0.00026455091596727534,0.0003768360708812992,0.0007583523037791664,1.2985430574054088e-05,0.001091913679764053,0.0008047240831868779,0.0012377759264574802,0.003076223613281637,0.00046200027025722183,0.00020393516050168882,0.002259623494556373,0.0015567435695243222,0.0043875131671932445,0.002035971516143871,0.0001052897459715381,0.0019062372736598026,0.0038695480200641214,0.01691672813876748,0.0073754022252160815,0.0036043930377582818,0.00020761632453203074,9.049182313531708e-05,0.00295657016260966,0.006813110356061109,0.1356788864637093,2.645886554089832e-05,0.004151678174162179,0.0001970857498400704,0.01105903097448031,0.0022044527709238126,0.007915225560850468,0.0030873712531037643,0.0015884856744706837,0.18750768952309102,0.0005138700936423635,0.0010373000441645497,0.0015835171850152449,0.00015264746412748067,0.03217596672817437
1959,0.053628664700015274,0.18106453542723466,0.003300304955368645,0.006902556926263679,0.00016622879465098684,0.022079860565706794,6.286720961001388e-05,0.23637099305707096,0.0023188523786599274,0.005467223042533024,0.00415449125534186,0.00017968250299474172,0.0041681827246173265,0.004386374838983793,0.00018257152902145495,0.010227124857799742,0.0001174189954382172,0.00013164786521571825,0.010432772390732422,0.007180203882378417,0.002308442440193675,0.00040186089529778635,0.015556480763319527,0.006906555029783593,1.5100161185760991e-05,0.01693667291868691,0.006892267356746003,0.0028429640585707072,0.0009040347876524971,0.0021511680786872557,0.006342526133672662,0.0015320758638896813,0.00018867092600345075,0.008938659225790692,0.006703045415306744,0.00042503645259629063,0.00035240972373446806,0.0001749196528807555,0.0007015163738358293,0.0060996639373853394,0.005878090129236071,0.00024142749424829025,0.00044207719996109106,0.009099756574999994,0.000232663929888619,0.09388650460292278,3.0767800280588345e-05,0.0009669431898195435,0.000589841984157677,0.003376222078723367,0.0003799718220229569,0.02393474542369974,0.0008536976131415753,0.0004382338643554815,0.19588517523856422,0.0032604161580155615,0.010317470249410985,0.0005834287624787161,0.007271281416534608,0.0034346563726788473
1960,0.059607686585044395,0.1478449205308056,0.0006998131245329986,0.008758650024281372,0.0019571313643196742,0.0038689673042723517,5.2388954874962094e-05,0.20100010988278516,0.00020061172556921962,0.030868228941872567,0.013685663068859384,0.0015109260793204626,0.0015899707888426015,0.004219716001025606,0.00015214181852016734,0.00010657982016190802,9.784844104954612e-05,0.00010970574506097207,0.0006477174585189362,0.00018631473088613493,0.008514909940940457,0.00025635987331662263,0.001231215712924871,0.0001056976646020558,1.2583374828829353e-05,0.000204323611751507,0.00014881662899160627,0.0024531911908502817,0.0030381094141754754,0.0004993069016712146,0.00010773883740058623,0.03843364214474939,0.0017250896354409249,0.0049072444852207705,0.0025473278559225944,0.017290086700644934,0.009949883716102207,0.0001457653021083461,0.00015957631420839192,0.011291786897062941,0.005889747661471356,0.00020118809440100124,0.0013367219911209535,0.00474241907650878,0.006339162479224475,0.09944485913597405,2.5639644426728847e-05,0.00041115090386975134,0.0038742246607603266,9.641936300043677e-05,0.00011421455705248044,0.0002720879634907618,0.0010031879767580774,0.0021030198197893374,0.22339885136784854,0.0013147165226607247,0.017750056091492133,0.00010461119945447971,0.05126030484710281,0.00012966805007287837
1961,0.0033317033300253253,0.11038462441368906,0.009984396922852353,0.001116466143385513,0.0035921786849467735,0.00011902702998784695,0.001323997413359141,0.2543549337916266,0.05103006977676921,0.001005279018697612,0.00867065322941511,8.470714845785643e-05,0.00037890108750321443,0.009444389882876002,0.0015483179438980027,0.001887461197275168,0.0006842117137374615,6.206233259849488e-05,0.00011506413062060318,0.00010540128768850929,0.00012924692596652886,0.007248699948368643,0.0016797930937288202,0.0003155331506444896,7.118620755952623e-06,0.002788232525883094,8.418799871903342e-05,9.423311423569372e-05,0.06765169667592262,0.0017911189777532308,6.0949620795287994e-05,0.019220534733413105,0.002561159681448701,0.0032749371094455133,0.0042436490395766765,0.003061851867182915,0.007962708338817794,0.016600326404286454,0.00026947445113256096,0.00900997146140992,0.011807581562913939,0.00011381539246309432,0.019693425972504244,7.758199686771864e-05,0.00010968401330896942,0.070324125421024,0.0024507277677705236,0.00013831846998754645,0.0074140598600858625,0.0002366706897917896,0.0009493746119537118,0.0008965466158279213,0.00010594419170688138,0.0038639342306957597,0.25594547883371727,0.004027673094662425,0.0014650021599148205,0.012113217561793026,0.0009142119993799245,7.33553347324497e-05
1962,0.002875865339986947,0.1899050732809441,0.004164556745728491,0.009449508460593045,0.007828539480060485,0.008445013592444338,0.006498268158402538,0.37954861171817755,0.002615726579264175,0.00862260204159691,0.007047754455766621,0.00014289468011869475,0.003520488811277327,9.203449447051859e-05,0.025908719386969033,0.00010171141699039335,9.337887392126248e-05,0.00043337339987453396,0.005524170457178276,0.002008645329008315,0.00038894189601129046,0.00199247851175088,0.0037597317024079167,0.0007414980007384166,1.2008585512877912e-05,0.002984223075089582,0.0004527725156923083,0.0020787165073771615,0.002141611125614318,0.0008758750067533155,0.0006788597972578593,0.0014761498244200994,0.00016528697448590612,0.00024566392844981456,0.00024880724931249494,9.736919472310636e-05,0.0007101053941399175,0.0050852230366842935,0.0021991686626069767,0.010848983298719935,0.004141311025331557,0.0012952653923990688,0.00018043399677368513,0.00013087507757267931,0.0001850287995908397,0.04594207054241578,2.44684646850658e-05,0.0034625711400592426,0.01666223697454449,0.015187860954722255,0.0001089974107771008,0.0174413072550147,0.00019396414021761272,0.02155874178057827,0.16998728324353213,0.0003470933576284827,0.00020585063854408449,9.98327198658731e-05,0.00014116437001029334,0.0006932317252127784
1963,0.009789324795280833,0.13105473624028582,0.009166594545339184,0.011056705971395795,0.0004213595414984303,0.000171092960319447,4.26015108464965e-05,0.29452528395052746,0.006121279060442678,8.904027332233094e-05,0.00014646151632315886,0.00012176055129119035,0.039203670202228605,0.012009472210686808,0.001477907653840492,0.001991867990401639,7.956813478401512e-05,8.92102256915077e-05,0.01748193289690667,0.00015150691682342125,0.0007753140277465926,0.004279510638394977,0.004403700930431652,0.002439635041383798,1.023251524172087e-05,0.011107505796693713,0.00012101431015861726,0.0001354534552055256,0.0001475008317409236,7.526886169013492e-05,0.009941500156863674,0.00014734228751579772,0.00012785149126885698,0.0010036548031760301,0.001700531362481637,0.0010355681349804146,0.0044770454117944,0.03013145422567568,0.0001297638423369491,0.058428393837250556,0.0027506651476814376,0.0029702962478831323,0.002271123196907449,0.013534356776029995,0.0002421168314951031,0.018343325286440386,2.0849577792733844e-05,0.000815498742999002,0.0036091918714865026,7.840604090078196e-05,0.0044496503462311526,0.00013405755945702547,0.0006329648335894387,0.04030329753898613,0.20174133985936593,0.01383376308228126,0.009239568032526803,0.0006975147315015758,0.01841695206644077,0.00010544311973406821
