idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
uj0002,3.4736169418280743e-06,1.8173409169454507e-05,0.1978996693770483,2.4638178624691725e-05,2.829335010520789e-05,0.0990081972969139,4.4215924048948425e-05,1.974127951259452e-05,2.0610476776690344e-05,2.632337227526248e-05,0.0003261305271655,0.0001013738782267,3.593095673265361e-05,2.9254042774832448e-05,1.0371535146348936e-05,3.292938606222363e-05,0.0148785122954648,3.1621439284106e-05,2.6140011626549296e-05,1.3702026742919006e-05,6.110879655771009e-05,3.529909223040627e-05,2.8270651988053663e-05,3.0171078009117943e-05,1.682187981238186e-05,3.1686444417448366e-05,2.12116037493588e-05,4.251723562131923e-05,3.427213032752955e-05,3.1588202920201194e-05,4.161827888351421e-06,3.158822875942071e-05,5.492315538530512e-05,2.272591551923253e-05,2.742295144989698e-05,3.7493503662048254e-05,9.272417012991532e-06,2.945510799740448e-05,2.1209228097283665e-05,3.238258184768318e-05,2.8310939756072976e-05,2.361626028277552e-05,3.428535537200148e-05,2.491723091377648e-05,1.783461018088797e-05,2.746181684347931e-05,2.8589419241643165e-05,1.5873555507485397e-06,1.6024869343743583e-05,2.92717216393865e-05,3.611184250793259e-05,5.13682552937949e-05,3.933276722980507e-05,1.2821829534906096e-05,0.1386342719491215,2.8801285476647937e-05,2.951487117559857e-05,2.93089123280264e-05,4.007273530661644e-05,3.856756175003861e-05,3.833243312818307e-05,3.5184748008206306e-05,0.182809146455342,2.6815566549229507e-05,3.000383265531628e-05,1.3609270730194508e-05,5.341870908849372e-05,4.5882822051318434e-05,1.4699212970915017e-05,0.0003340014894411,2.8279257184470977e-05,0.0644395337962824,4.029184136109381e-05,1.875778781252945e-05,1.7131590188518017e-05,0.2970791146968659,4.768293127104649e-05,0.002514820474474,3.556476996335228e-05,2.277231188507125e-05
uj0003,6.524820555698896e-06,3.413681925836616e-05,0.1254114404011097,0.316082147714141,5.3146053651756746e-05,7.293328908732686e-05,8.305491795879176e-05,3.70818972030306e-05,3.871459196204021e-05,4.9445659493633374e-05,0.0006126015629031,0.0001904200651776,6.749248665046085e-05,5.495061281399317e-05,1.9481827400760223e-05,6.185435488815503e-05,6.218764985761147e-05,5.939751575864216e-05,4.910123598641717e-05,2.5737802194125445e-05,0.0512382355414299,6.630559628179798e-05,5.310341764903572e-05,5.667316612000543e-05,3.159811488239741e-05,5.951962099861575e-05,3.984374514546176e-05,7.98641121342181e-05,6.437655740214441e-05,5.933508477847524e-05,7.81755173640569e-06,5.933513331470518e-05,0.0001031673150043,4.26882189977251e-05,5.1511102206927446e-05,7.042756512770733e-05,1.7417250704546393e-05,5.5328292483123214e-05,3.9839282735313314e-05,6.082724123724722e-05,5.317909394303067e-05,4.436063708875585e-05,6.440139924379408e-05,4.680437226671946e-05,3.350042133600759e-05,5.158410672158698e-05,5.370218808444529e-05,2.981678837988418e-06,3.0101015353011355e-05,5.498382068370807e-05,6.783226137074208e-05,9.648981268353416e-05,7.388242642508805e-05,2.4084445208571088e-05,0.0745063065603247,5.410015630845163e-05,5.544055126700326e-05,5.505367944297313e-05,7.527237787885972e-05,7.24450691898697e-05,7.200340504243817e-05,6.609081280281049e-05,0.1760744624599883,5.037019417030018e-05,5.635901348296885e-05,2.556356987414748e-05,0.0001003413723955,8.618600884539752e-05,2.761091063044717e-05,0.0006273863297064,5.311958159670461e-05,0.0002055778278223,7.56839453349361e-05,3.523451248318102e-05,3.217987293527671e-05,0.2512908746634894,8.956732285787567e-05,7.623692112584378e-05,6.680464369034883e-05,4.277536964404103e-05
uj0006,3.919741432141443e-06,2.0507461265225423e-05,0.2931165159090056,2.7802515701941724e-05,3.1927129133329736e-05,4.381417581947936e-05,4.9894675307482576e-05,2.227669674718891e-05,2.3257526984327084e-05,2.970414258940375e-05,0.0143280449740063,0.069914537378334,4.054565087632933e-05,0.0056170227116062,1.1703574892935689e-05,0.0251652103580938,3.7358806366173646e-05,3.568265234238085e-05,2.94972325173314e-05,1.5461809067600977e-05,0.1033731699962493,3.983263458511592e-05,3.190151584558644e-05,3.404601788430722e-05,1.89823519321033e-05,3.5756006232211275e-05,2.3935858055428505e-05,4.797782047818376e-05,3.867377763935891e-05,3.564514735699152e-05,4.6963408690733575e-06,3.564517651480051e-05,6.197706061233806e-05,2.564465631527052e-05,0.0028229506961416,4.230887924646455e-05,1.0463294528609832e-05,3.323809422257867e-05,2.3933177292977377e-05,3.654155016910832e-05,3.1946977862889554e-05,2.6649350073101213e-05,0.033542757736415,2.8117407308465207e-05,2.0125149555301257e-05,3.0988800171678044e-05,3.22612230994459e-05,1.7912232189120603e-06,1.808297960404003e-05,3.3031155139297285e-05,4.074976822136764e-05,5.7965596651524125e-05,4.438436359948896e-05,1.4468566138837597e-05,8.706328725923073e-05,3.2500299794812026e-05,3.3305532921090016e-05,3.307312231230254e-05,4.52193674521628e-05,4.352088104704501e-05,4.325555432380406e-05,3.9703604875510894e-05,0.0527274227192131,3.025955048861673e-05,3.3857292830967134e-05,1.5357140190103763e-05,6.027939487060547e-05,5.177565679521247e-05,1.658706618112132e-05,0.0031689038100556,3.191122622686725e-05,0.1508918101359144,4.546661379341193e-05,2.116689298083479e-05,1.9331839113227573e-05,0.2430974683263112,5.380695811862049e-05,4.579881022702861e-05,4.013243391096727e-05,2.5697011471444737e-05
uj0007,4.4125342754212376e-06,2.3085674731673288e-05,0.4714031917204365,3.129786890323845e-05,3.594103183986086e-05,0.0031923413447482,5.616747144339088e-05,2.507733983015154e-05,2.618148078298405e-05,3.343856975436694e-05,0.0004142834841834,0.0001287751988198,4.564308062364315e-05,3.716139937141526e-05,1.317495713788058e-05,4.183018654661198e-05,4.2055583622899e-05,4.0168702253576056e-05,3.320564679229024e-05,1.740567934184754e-05,7.762648094373128e-05,4.484042338760346e-05,3.5912198430303084e-05,3.832630887952128e-05,2.1368827505225068e-05,0.0031832700960149,2.6945092146931345e-05,5.400962818211564e-05,4.353587407434195e-05,4.012648211319317e-05,5.28676837811887e-06,4.012651493674386e-05,6.976886332331243e-05,2.886872181023127e-05,3.483536476022636e-05,0.0031906468011569,1.177874779257949e-05,3.74168124469075e-05,2.6942074357007023e-05,4.113558136158121e-05,3.596337596664129e-05,2.99997264235401e-05,4.3552673843287015e-05,3.1652348919556315e-05,2.265529850580737e-05,3.488473545486015e-05,3.631712835087322e-05,2.01641715026641e-06,2.0356385411110588e-05,3.718385682631074e-05,4.587285975494096e-05,6.525307509387347e-05,4.99643991997982e-05,1.628756516445553e-05,9.800894926692146e-05,0.0031796050797136,0.2074767347020991,3.723110014389535e-05,5.090438036534646e-05,4.8992358970908514e-05,4.869367517230748e-05,0.003187713989731,0.1756480502492794,3.4063803952730386e-05,3.811385717041993e-05,1.7287851414286e-05,6.785776576667819e-05,5.8284931339592896e-05,1.8672404626672625e-05,0.000424281964558,3.592312960802763e-05,0.0189971388313339,5.118271070272237e-05,2.382801069893031e-05,2.1762252477823e-05,0.1070798676847783,6.057160939436184e-05,5.155667112202112e-05,4.517791371036297e-05,2.8927659096048e-05
uj0008,7.084564692862237e-06,3.70653112035716e-05,0.0352443330010097,5.0250437311911125e-05,5.7705288912097605e-05,0.2574398939795673,9.017994201012926e-05,4.026303825926411e-05,4.203579684245579e-05,5.368744940547435e-05,0.1772852457122638,0.0002067556125189,7.328245794280146e-05,5.966465561311668e-05,2.1153113005584893e-05,6.71606483273555e-05,6.752253563946823e-05,6.449304458187212e-05,5.331347887283119e-05,2.7945768491228977e-05,0.0001246335533728,7.199374792720066e-05,5.765899529881833e-05,6.153498142961577e-05,3.4308819245812835e-05,6.462562485201838e-05,4.326181657860229e-05,8.67154068411414e-05,6.989922277952962e-05,6.442525784137012e-05,8.488195275805751e-06,6.442531054137283e-05,0.0001120177192763,4.635030902854618e-05,5.59300800490025e-05,7.646932770775135e-05,1.8911422672058783e-05,6.007473525075416e-05,4.325697135211478e-05,6.604542177902954e-05,5.7741163627578726e-05,4.816619868532332e-05,6.992619572579758e-05,5.081957433185893e-05,3.637431867544536e-05,5.600934739475729e-05,5.830913239448562e-05,3.2374678262404103e-06,3.268328818682833e-05,5.970071228307397e-05,7.365138088348358e-05,0.0001047673747229,8.022057085033581e-05,2.615057513310284e-05,0.000157358719099,5.8741241079254574e-05,6.01966243678496e-05,5.977656400882666e-05,8.172976193231623e-05,7.86599071918136e-05,7.818035404574837e-05,7.176053883909542e-05,0.3223828411379468,5.4691297047218246e-05,6.119387861130531e-05,2.775658932040975e-05,0.0001089493478078,9.357963948165824e-05,2.9979565096145085e-05,0.0006812078588645,5.7676545901470886e-05,0.0002232137126519,8.217663648513488e-05,3.82571721287468e-05,3.494048451936847e-05,0.2022003037478539,9.725102594566762e-05,8.277705035565127e-05,7.253560706654445e-05,4.644493605875786e-05
uj0009,9.226246483935238e-06,4.827024834884484e-05,0.2759115741587225,6.544127136453879e-05,7.514974342264226e-05,0.0001031293498816,0.0001174415661318,5.24346563658811e-05,5.474332434395984e-05,6.991730089045016e-05,0.0205816147410386,0.0002692583561215,9.54359299746536e-05,7.770143162364498e-05,2.7547752466526512e-05,0.3943951040304106,8.793476861855647e-05,8.398945476653958e-05,6.943027812173008e-05,3.6393844852999946e-05,0.0001623105911849,9.375763966809064e-05,7.508945513320411e-05,8.01371616559607e-05,4.468046191371064e-05,8.416211438703939e-05,5.633997294133286e-05,0.0001129296932353,9.102993428081633e-05,8.390117592326156e-05,1.1054198135456472e-05,8.390124455460813e-05,0.0001458809585934,6.036212445554861e-05,7.283788443885976e-05,9.95861985145474e-05,2.46283934862063e-05,7.823547937095375e-05,5.6333662990646775e-05,8.601111950925059e-05,7.51964631551762e-05,6.272696213963867e-05,9.106506121683212e-05,6.618245994235801e-05,4.737036703511029e-05,7.294111450334035e-05,7.593613031411108e-05,4.2161625228432185e-06,4.256352871207109e-05,7.774838831595257e-05,9.59163792516206e-05,0.0001364388165785,0.0001044714519288,3.4055960010889264e-05,0.0002049286571222,7.649886654510974e-05,7.839421587584652e-05,7.784717020988196e-05,0.0001064368752847,0.0001024389957065,0.0001018144724338,9.345393088393336e-05,0.1503964334689755,7.122461420842686e-05,7.969294259458802e-05,3.614747634127428e-05,0.0001418850106841,0.0001218690007313,3.904246330574015e-05,0.0600332847965372,7.511231132734365e-05,0.0002906917814719,0.0001070188411429,4.982241184045872e-05,0.0131890910994791,0.0727439397442999,0.0001266502565915,0.0066795947707847,9.44633041931384e-05,6.04853574758717e-05
uj0013,4.788817894340307e-06,2.5054330540560635e-05,0.0784001288733472,3.396682842633267e-05,3.900594208967355e-05,5.35285586619592e-05,6.095721314307093e-05,2.7215837028170912e-05,2.841413479148824e-05,3.629007985112415e-05,0.184645941350744,0.0001397566427735,4.953534354641438e-05,4.033037777855479e-05,1.429846581600231e-05,4.539730081504818e-05,4.564191887008919e-05,4.359413165713922e-05,3.603729413226667e-05,1.8889967418424583e-05,8.424616282046208e-05,4.866423884896664e-05,3.897464988002109e-05,4.159462620123084e-05,2.3191077315387923e-05,4.368374941033053e-05,2.924286393799289e-05,5.861535747062065e-05,4.724844268615957e-05,4.354831114875398e-05,5.737603252940451e-06,4.354834677136835e-05,7.571847838361919e-05,3.133053319531897e-05,0.2012893510685157,5.168951103855403e-05,1.2783193213075108e-05,4.0607571479503205e-05,2.923958880277832e-05,4.4643462423785074e-05,3.903019163596162e-05,3.255798544673014e-05,4.7266675073518697e-05,3.435153710832178e-05,2.4587253517905985e-05,3.785956889130662e-05,3.941411063625397e-05,2.188369297307872e-06,2.209229812985606e-05,4.035475031713514e-05,4.978471734093293e-05,7.081760144298076e-05,5.4225167224364384e-05,1.7676504848754396e-05,0.0001063667681108,3.970619489148086e-05,4.0689962538146514e-05,4.04060223595751e-05,5.524530629750295e-05,5.31702352166847e-05,5.28460808350502e-05,4.850660095550985e-05,0.1462830663769061,3.696863157002056e-05,4.136405744352286e-05,1.876209158727178e-05,7.364440992186964e-05,0.0273516003373708,2.0264714067979985e-05,0.0004604630666415,3.898651322571454e-05,0.0342613128799726,5.554737155455669e-05,2.5859970007978367e-05,2.361805202680304e-05,0.3242848502334609,6.573691870733866e-05,5.5953221851899005e-05,4.903050902295711e-05,3.13944964217431e-05
uj0014,6.290919814405501e-06,3.2913087929393965e-05,0.2419021801080965,4.46211567644429e-05,5.124088227733372e-05,7.031878800842876e-05,8.007757831967234e-05,3.57525911829932e-05,3.7326757357012894e-05,4.767313926712688e-05,0.3052973045464684,0.0001835939166235,6.50730266017873e-05,5.298075188647796e-05,1.8783445915493505e-05,5.9637009700335606e-05,5.9958356764135525e-05,5.7268242953614896e-05,4.734106259963891e-05,2.481515750817916e-05,0.0001106715407995,6.392868369242917e-05,5.1199774683334e-05,5.4641555372437045e-05,3.046539062869953e-05,5.73859709841462e-05,3.841543283466743e-05,7.70011560005637e-05,6.20687966952041e-05,5.720804998940811e-05,7.5373093710202255e-06,5.720809678571892e-05,9.94689893184513e-05,0.0045221382829659,4.966454031481275e-05,6.790288884730423e-05,1.6792879840043752e-05,5.33448925542168e-05,3.84111303922963e-05,5.864671585807833e-05,5.127273814544143e-05,4.277040394583137e-05,6.209274801042053e-05,4.512653648939744e-05,3.22995034996865e-05,4.9734927775110286e-05,5.177708049032791e-05,2.8747920838545925e-06,2.902195888783335e-05,0.0493437965591596,6.540062113132335e-05,0.0135359718946419,7.12339008201518e-05,2.3221069803862885e-05,0.0001397306859159,5.21607824120181e-05,5.345312710286431e-05,5.308012379914883e-05,7.257402551276986e-05,6.984806974108612e-05,6.942223830056278e-05,6.372159973782307e-05,0.124952769371029,4.856453137008184e-05,0.0717500241769155,2.464717104101081e-05,9.674435065598006e-05,8.309642635251955e-05,2.662111904781022e-05,0.0006048958832117,5.121535918834853e-05,0.0001982083061763,7.297083916339723e-05,3.397143122009107e-05,3.102629391037703e-05,0.1840298944235792,8.63565275519689e-05,7.350399196510444e-05,6.440984132795037e-05,4.124196491920128e-05
uj0015,0.0197834724602931,7.260447153266732e-05,0.2469638485687395,9.843183091810049e-05,0.0001130345832817,0.0001551193997087,0.0100614442749586,7.886826038119842e-05,8.234078484971629e-05,0.0001051643373668,0.0111877195151058,0.0004049981369617,0.0001435475370037,0.0001168726404636,4.143525418163204e-05,0.0001315559810847,0.0001322648551289,0.0001263306112198,0.0001044317944039,5.4740880003307055e-05,0.0002441353649554,0.0001410231791445,0.000112943902178,0.000120536282103,6.720498518334354e-05,0.0001265903128151,8.474234339977535e-05,0.0001698603379548,0.0001369203701698,0.0001261978288334,1.6626892160197898e-05,0.0001261979320635,0.0002194231491997,9.079216073246246e-05,0.0001095572591427,0.0001497900583158,3.704417430881909e-05,0.0001176759148571,8.473285244726049e-05,0.0001293714470406,0.0001131048555841,9.43491714416896e-05,0.0001369732054609,0.0692931292945438,7.125093784554714e-05,0.0001097125300298,0.000114217407208,6.341634077674989e-06,6.402085372281678e-05,0.0001169432691831,0.0001442701926156,0.0002052209904253,0.0001571380885121,5.122440972871935e-05,0.0003082382494644,0.0001150638326576,0.0001179146743507,0.000117091849467,0.0001600943302754,0.0001540810209606,0.000153141660097,0.0001405663632687,0.0977126186425834,0.0001071306995843,0.0001198681212524,5.437031104607152e-05,0.0002134127453557,0.0001833061709226,5.872473236849746e-05,0.0013343672288388,0.0001129782807435,0.059746021786808,0.0001609696794818,7.493911893755523e-05,6.844230713971836e-05,0.4751534627630657,0.0001904977758318,0.0001621457853974,0.0001420845865678,9.097751855890807e-05
uj0016,7.382602623581091e-06,3.8624598066135307e-05,0.1261228525384796,0.0526381518944445,6.013287135992572e-05,8.252142518957343e-05,9.397368862325909e-05,4.195684911814935e-05,4.380418522624258e-05,5.594600684973084e-05,0.2320706018582555,0.0002154535378808,7.636535055090607e-05,6.217466593370873e-05,2.204299548979713e-05,6.998600479186607e-05,7.036311620741089e-05,6.720617861144851e-05,5.5556303889121984e-05,2.9121408685730336e-05,0.0001298767162142,7.50224262704919e-05,6.00846302377584e-05,6.412367379494673e-05,3.57521442681295e-05,6.73443363519238e-05,4.5081781933032e-05,9.036340520615256e-05,7.283978731937442e-05,0.0053257142891834,8.845282022163998e-06,6.713559509266158e-05,0.0001167301512611,4.830020302908586e-05,5.828298189201044e-05,7.968628756083053e-05,1.970700031507313e-05,6.260199705988927e-05,4.507673287450415e-05,6.882386219052126e-05,6.017025527553849e-05,5.019248467594037e-05,7.286789498053871e-05,5.295748420078003e-05,3.790453642901605e-05,5.836558390640424e-05,6.076211771034744e-05,3.3736636623337256e-06,3.405822934448396e-05,6.221223945837321e-05,7.674979357427534e-05,0.0001091747946453,8.359534036319064e-05,2.7250694002456985e-05,0.0001639785848288,6.121240461549228e-05,6.272901388515185e-05,6.229128216231084e-05,8.516802104638621e-05,8.1969021722676e-05,8.146929443274742e-05,7.477940639554837e-05,0.2518077856134436,5.699208498648366e-05,6.376822124838351e-05,2.8924271006371705e-05,0.0001135326976087,9.751640670980276e-05,3.124076432749777e-05,0.0007098653402267,6.010291917022009e-05,0.0738527064938485,8.563369499942026e-05,3.98665989475737e-05,3.641038283435718e-05,0.2527752235025678,0.0001013422433725,8.625936745889751e-05,7.558708068147656e-05,4.839881088881876e-05
