receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
BaumannSabine,1.104007374665406e-05,5.775990295386672e-05,0.1099686198270601,7.830665083544934e-05,8.992375294467856e-05,0.0001234039899238,0.0001405299059889,6.274300975675674e-05,6.550554864826669e-05,8.366264215264483e-05,0.0010365291082003,0.0003221930081383,0.0001141980876876,9.2977088444287e-05,3.296348296293347e-05,0.0001046583018931,0.0001052222409334,0.0001005013009546,8.307987349452027e-05,4.354866649194824e-05,0.0001942199246101,0.0001121898551106,8.985161232252895e-05,9.589166906280046e-05,5.346438504768175e-05,0.0001007079044685,6.741608922326457e-05,0.0001351310246996,0.0001089258984531,0.0001003956669959,1.3227390232643378e-05,0.0079641668542038,0.0001745603202676,7.222897270892433e-05,8.715739571400362e-05,0.0001191642752731,2.947019471274301e-05,9.361612692269632e-05,6.74085387723815e-05,0.000102920413417,0.3460959082812061,7.50587239492234e-05,0.0001089679311438,7.919355284631038e-05,5.668311012330841e-05,8.728092021844016e-05,9.086473899901112e-05,5.0450359483800336e-06,5.093127489248105e-05,9.303327655359856e-05,0.0001147729905431,0.0001632619071641,0.0001250099415534,4.075116686812746e-05,0.0002452164584343,9.153810595283754e-05,9.380607011610153e-05,9.315147840260764e-05,0.0001273617558942,0.0001225779160683,0.0001218306150939,0.0708857663846736,0.3293751626610973,8.522696578800145e-05,9.536011907594902e-05,4.32538633406298e-05,0.0001697787918657,0.0001458277488952,4.671798817611472e-05,0.0482441717394423,8.987896191364464e-05,0.0003478401222625,0.0001280581329099,5.961721290587359e-05,5.444872657120268e-05,0.0791812109249959,0.0001515489722974,0.0001289937745049,0.0001130342492432,7.237643263585763e-05
BaumgärtnerKlaus,1.7150866932732616e-05,0.0016152917882541631,0.318642227336819,0.00033372666915062945,0.000139697465455175,0.0020363927327614563,0.0006229632671929988,0.0003338070169787838,0.00010176353654905617,0.0001299707661133546,0.011709546998480723,0.024787054008967465,0.0034165052489900914,0.012238047686843669,5.120910628952946e-05,0.0018222102978216865,0.004096312632984271,0.00015612979394833304,0.002258560669177886,6.765329663922052e-05,0.027463139959657056,0.00017428808179729253,0.004674922264044718,0.0006984554708428347,0.0017046134164212198,0.004622319260481077,0.0008875374258866887,0.0006629737364903433,0.0001692174919089496,0.001368868232652504,2.0548885356508515e-05,0.004628686556294581,0.0042892453243836655,0.00382014104336572,0.0089625035532549,0.0010912155429830383,0.00561170868333185,0.001615234141379173,0.00010471985107574116,0.0015235597061315801,0.0006020453571277685,0.0005012731492256578,0.00016928279012166925,0.01463827644717773,0.0003718552313342951,0.0025400647426297458,0.00041119019942568514,7.837514694839996e-06,7.91222539305864e-05,0.006376757367143888,0.00042333352895873637,0.019351109918700295,0.001264574685011869,6.330735250030042e-05,0.0020615871144709554,0.004274065361264811,0.000708314758837774,0.001800999174514307,0.0069773080165973925,0.0029201984780481745,0.0017795454035128546,0.007856162913847135,0.2235189090977004,0.00013240095880276626,0.0003454874534375846,6.719531694310358e-05,0.015124209239702391,0.00112771384296703,7.257687013333248e-05,0.03480082953738359,0.009382407881903023,0.0024959793206404002,0.0017287479937737689,0.0011078907662897541,8.458665091456521e-05,0.15895338114816537,0.003974867839394152,0.0034316357805202254,0.0007338783783831095,0.009068970349776943
BaumgärtnerKlaus+BaumgärtnerSabine,0.004953712462508949,0.00016388224631496526,0.2668861320908232,0.006239229636201419,0.0012571587729441201,0.000782639446035663,0.0007979109440266312,0.003838708147853974,0.009574435488758491,0.000443022002691238,0.008779636114645977,0.002708285077876319,0.0010688699644146463,0.007350699697994336,0.00023734318902221847,0.0021903094057748097,0.0001120876083346366,0.00459761053122252,0.0003916115094872142,4.6390058127856174e-05,0.0068118324969242165,0.0007640129177357912,9.571410227440487e-05,0.00010214825068462655,0.005925495731317391,0.02116274459608897,0.012836931082659018,0.007000206588651638,0.0005036738033956401,0.0018146423183684583,0.005762693770209377,0.00010694620553582928,0.004028411265936322,7.694164970819478e-05,0.0007880331531328589,0.0003225528063480544,0.012771106798382474,0.0014384745172054147,0.004432801953075287,0.00010963559496923157,0.007628044441439033,0.019550388507306338,0.0010215930704980517,0.006204597306142952,6.038147629559481e-05,9.297568188764849e-05,0.0036543287838218573,5.374206141209875e-06,5.425435479695225e-05,0.0014498418005196852,0.0002053792790560853,0.004490381900382337,0.0031211183632313894,4.341003185803795e-05,0.0073078908289506556,0.002222196904993352,0.0011072969017410497,0.005297848654524202,0.0010709805814344026,0.002262957731457032,0.0033302084344412094,0.0005320422134245228,0.14535898857544471,0.0023031175328424567,0.0003228150008420305,4.607602014627384e-05,0.019141653908249796,0.029510666839969762,4.9766166491170654e-05,0.03473248036576011,0.0037827454437004016,0.009009300155082202,0.006135067731599548,0.012673027703086592,0.00031289369021158625,0.23529035508175059,0.0011969676122933798,0.012296890752703859,0.000707249812059186,0.0071417721557587195
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,1.0088106976858652e-05,5.277936482518316e-05,0.1148575959102106,7.155440160596277e-05,0.4240379686490507,0.000112763073897,0.0001284122513669,5.73327868093345e-05,5.985711667386381e-05,7.644855490737253e-05,0.0009471509672951,0.0002944108533949,0.0001043509809429,8.49598323477763e-05,3.0121097928418618e-05,9.563379464149103e-05,9.61491061781108e-05,9.183524481902724e-05,7.591603739880946e-05,3.9793539096915935e-05,0.0001774726710587,0.0001025159148431,8.210386071267119e-05,8.762309363995324e-05,4.8854242117398806e-05,9.202403326351752e-05,6.160291458667659e-05,0.0001234789064226,9.953340361329692e-05,9.173871949680305e-05,1.208681488490993e-05,9.173879453927748e-05,0.0001595082809395,6.600079132053509e-05,7.964196181694414e-05,0.000108888942625,2.6929029978727148e-05,8.554376762578801e-05,6.159601519832286e-05,9.404576133095044e-05,8.222086478089287e-05,6.858653792740781e-05,9.957181189654773e-05,7.236482756586806e-05,5.179542200778316e-05,7.975483501359258e-05,8.302962720010601e-05,4.610011084824514e-06,4.653955773971732e-05,8.501117545204986e-05,0.0001048763109036,0.0001491841107688,0.0001142305470508,3.72372631045224e-05,0.0002240718605635,8.364493086752411e-05,8.571733234089498e-05,8.511918495678959e-05,0.0001163795684436,0.0001120082309842,0.000111325368501,0.0001021838354098,0.0710315747569417,0.00726356949582,8.713737830380974e-05,3.95241563196028e-05,0.0001551390555939,0.0001332532702959,4.268957556620485e-05,0.0009700098808647,8.212885199509193e-05,0.0003178464605176,0.0001170158980544,5.4476522101030905e-05,4.975370554662207e-05,0.3741525931295882,0.0001384811623412,0.0001178708608671,0.0001032874983068,6.613553602893469e-05
BaumgärtnerSabine,2.169724873710057e-05,0.03017407614390063,0.3900193000225504,0.00015389742133384984,0.00017672871393681949,0.00378447113710095,0.000276185865711975,0.0001233099271296924,0.00012873919280765065,0.00016442364412090553,0.04901815069840425,0.030693771119602323,0.00022443548573320002,0.0001827294872408089,6.478370575239197e-05,0.005091796342727327,0.0002067950981667247,0.00019751695280804103,0.005954947201482522,8.558695084178509e-05,0.000381703792082375,0.00322654463167425,0.0001765869347188001,0.00018845756316631117,0.00010507448478837836,0.00019792299428322927,0.0001324940113921271,0.0002655753505175,0.00021407396063516482,0.00019730934855378705,2.5996019827977964e-05,0.00019730950995325947,0.026907639918360076,0.039103327304347874,0.00017129194401055314,0.00023419562047405,5.791828566425676e-05,0.00018398540066461445,0.00013247917235985487,0.014860599967820293,0.0001768385841488747,0.00014751421419705838,0.00021415656821232248,0.00015564046526423867,0.00011140030109946492,0.00017153470886514664,0.000178578050177457,9.915096798405987e-06,0.0001000961193918139,0.00018283991470822173,0.0002255653523031,0.034523628408829624,0.00024568420997345,8.008897622922647e-05,0.00048192816598645,0.00017990142995043777,0.0001843586993225656,0.00018307221885563319,0.000250306271556225,0.0002409045080352,0.0002394358244472,0.000219774443201675,0.19351646037897177,0.00016749803653900191,0.00018741289874237417,8.500756908679395e-05,0.00033366920927605003,0.0002865978084168,9.181567380935125e-05,0.02785146427959205,0.00017664068534537915,0.0006836162354224001,0.00025167487340365,0.00011716674427317133,0.00010700902828583966,0.11564622245515588,0.017672848476355998,0.000253513706085475,0.0002221481738186,0.00014224266047858033
BaumgärtnerSabine+BaumgärtnerKlaus,1.2367631621229642e-05,6.470547376804416e-05,0.34353794151753764,8.772294762237961e-05,0.00010073699469218157,0.00013824319682914597,0.00015742848724755002,7.028779420191494e-05,0.056910968252171346,9.372299156207093e-05,0.013517167598379875,0.0528598075570116,0.00012793029401617174,0.00010415749074514673,3.692730896492399e-05,0.000117243358479352,0.0001178751106276634,0.00011258648231747422,9.307014555311413e-05,4.878535027281277e-05,0.000217574677144575,0.00012568057347151138,0.00010065617923204176,0.00010742254678077336,5.989342411102153e-05,0.00011281792969816517,0.07286384903919187,0.01992097543117303,0.01831982780834403,0.00011246814598039022,1.481797073657813e-05,0.00011246823797960187,0.000195551024956525,8.091443475317003e-05,0.00412454630861365,0.00013349366071355447,3.301395628118678e-05,0.00010487337296426736,7.551434843583869e-05,0.00011529649064457749,0.00010079962172500843,8.40844607623118e-05,0.00012207121635599043,8.871649871688305e-05,6.349919767185754e-05,9.77763639622664e-05,0.00010179113338254142,5.651696497438291e-06,5.705570998207262e-05,0.0001042204354186749,0.0001285743283676031,0.00018289398892795,0.00014004226254311588,4.565145410491537e-05,0.000274703493379925,0.00010254547204202317,0.00010508615663755189,0.00010435285092229769,0.0053420493599501484,0.0001373177884151965,0.00013648062524280948,0.0024365475044764934,0.2450182874253071,9.54754235568692e-05,0.00010682707843732392,4.84550973361067e-05,0.0001901945225256,0.0001633633904878,5.233577973356031e-05,0.001189194851225075,0.00010068681758423143,0.002989353790459925,0.0001434569958749201,6.678612339231199e-05,6.099613172256048e-05,0.14105092834421265,0.00016977258530705,0.00014450514744000266,0.00012662650515772676,0.01307951082592363
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,3.589059192966767e-06,1.877738459349256e-05,0.0945487620220436,2.5457004319068595e-05,2.923365183769583e-05,4.011786829042305e-05,4.568539690501463e-05,2.039736156926847e-05,2.129544575167775e-05,2.719820372729325e-05,0.0003369691552732,0.0001047429396129,3.712508682824255e-05,3.022627218567156e-05,1.071622294155196e-05,3.402376190138498e-05,3.420709496991702e-05,3.267234679530715e-05,2.700874926731297e-05,1.4157400158829594e-05,0.0409665475794817,3.647222292917753e-05,2.921019937088682e-05,3.117378418627652e-05,1.7380938484206478e-05,3.2739512310480415e-05,2.1916550589524543e-05,4.393025423405556e-05,3.541113095499841e-05,3.263800585345576e-05,4.300142155102501e-06,3.263803255141638e-05,5.674847257010185e-05,2.3481189025397336e-05,2.8334326337013097e-05,3.873956347184e-05,9.580576695363738e-06,3.0434019613653143e-05,2.1914095984983417e-05,3.345878518523719e-05,2.925182606335041e-05,2.440112352365036e-05,3.5424795520848447e-05,2.5745330637206302e-05,1.842732595293255e-05,2.8374483383820774e-05,2.953956054141072e-05,1.640109755142612e-06,1.6557440154580197e-05,3.0244538589944552e-05,3.73119841647981e-05,5.307542886171915e-05,4.0639953159792286e-05,1.3247950460159055e-05,7.971834288491222e-05,2.975846794287652e-05,3.049576896244161e-05,3.0282965274634067e-05,4.140451334966289e-05,3.98493168266395e-05,3.96063739357184e-05,3.635407858893446e-05,0.017601608538126,2.770675559506981e-05,3.100098059722362e-05,1.4061561491023982e-05,0.0281762869532428,4.7407692627120224e-05,1.518772689278588e-05,0.0003451017012579,2.921909055256461e-05,0.0128953956228849,4.163090117889855e-05,1.938118448744338e-05,0.4857456696595605,0.3171780995861476,4.926762671070088e-05,4.19350724321772e-05,3.674673020092483e-05,2.3529127328935804e-05
BierwischHedwig+BierwischWilhelm,1.0088106976858652e-05,5.277936482518316e-05,0.4166566391723753,7.155440160596277e-05,8.216978077175078e-05,0.000112763073897,0.0001284122513669,5.73327868093345e-05,5.985711667386381e-05,7.644855490737253e-05,0.0009471509672951,0.0002944108533949,0.0001043509809429,8.49598323477763e-05,3.0121097928418618e-05,9.563379464149103e-05,9.61491061781108e-05,9.183524481902724e-05,7.591603739880946e-05,3.9793539096915935e-05,0.0001774726710587,0.0001025159148431,8.210386071267119e-05,8.762309363995324e-05,4.8854242117398806e-05,9.202403326351752e-05,6.160291458667659e-05,0.0001234789064226,9.953340361329692e-05,9.173871949680305e-05,1.208681488490993e-05,9.173879453927748e-05,0.0001595082809395,6.600079132053509e-05,7.964196181694414e-05,0.000108888942625,2.6929029978727148e-05,8.554376762578801e-05,6.159601519832286e-05,9.404576133095044e-05,8.222086478089287e-05,6.858653792740781e-05,9.957181189654773e-05,7.236482756586806e-05,5.179542200778316e-05,7.975483501359258e-05,8.302962720010601e-05,4.610011084824514e-06,4.653955773971732e-05,8.501117545204986e-05,0.0001048763109036,0.0001491841107688,0.2228706672405533,3.72372631045224e-05,0.0002240718605635,8.364493086752411e-05,8.571733234089498e-05,8.511918495678959e-05,0.0001163795684436,0.0001120082309842,0.000111325368501,0.0001021838354098,0.0566601917444577,7.7877989578014e-05,8.713737830380974e-05,3.95241563196028e-05,0.0001551390555939,0.0001332532702959,4.268957556620485e-05,0.0009700098808647,8.212885199509193e-05,0.0003178464605176,0.0001170158980544,5.4476522101030905e-05,4.975370554662207e-05,0.295109986560926,0.0001384811623412,0.0001178708608671,0.0001032874983068,6.613553602893469e-05
BierwischManfred,1.2798523295050855e-05,0.006189917128615693,0.29369203931727855,0.00549403493607577,0.005955217697708942,0.002272062675329073,0.003440826344338103,0.0003380149531022042,0.005409156195826974,0.003265302822427864,0.014444707436485977,0.006736427560435075,0.0070487788039619356,0.0005386793333062051,0.0010412106454715246,0.00033610005961609395,0.005675666572874577,0.0040611414623481935,0.009686143455731969,0.0006804266703540303,0.031502545977836645,0.004524600691000309,0.007631046540629221,0.006318621588240668,0.0026350154070596495,0.007099242558075981,0.0006318024826865871,0.009801021024472318,0.006273765209336531,0.002382358790940598,1.5334232896453417e-05,0.001195072639355822,0.0013358710683328086,0.0049517381843450625,0.005489148060244083,0.004195909350016984,3.416417156225975e-05,0.004928854156684746,0.005815227811043545,0.00027868352214352514,0.0005134476161611515,0.0002651076155134893,0.0009038205936082437,0.0030448784981966267,0.00032449500477428416,0.004273836690852555,0.001135239478467541,0.0019667184215818377,0.00014258416236777433,0.0019468360368996623,0.00412311123828016,0.019743125873835015,0.008822403470825878,8.129243304009447e-05,0.002916420333328116,0.0041957382404838334,0.00996914373797202,0.0024232052707609674,0.001438811881043729,0.001677041358369142,0.003822650027503699,0.004229851399336734,0.15345067860847833,0.005559604670261104,0.008660956994576589,0.002363509813537658,0.0010401924886682772,0.004243563752255645,0.0026317747875403094,0.0033055310242346664,0.006603303937064208,0.01364835135653006,0.0036881652198658887,0.0007837374555168708,0.0018282400986845114,0.20811107770578494,0.0008010624831701592,0.008437034871847599,0.008632101127023614,0.0048926781602677185
BierwischManfred+BaumgärtnerKlaus,8.792946227788174e-06,4.600329059844709e-05,0.08768336595353915,6.236789589226874e-05,7.162042051422931e-05,0.13121270458364376,0.00011192605548775,4.9972121891663486e-05,5.217236588302109e-05,6.663371374179838e-05,0.00082555107158635,0.022109016039116847,9.095388920372322e-05,7.405227155794092e-05,2.625400335405638e-05,8.335585811797341e-05,8.380501142715724e-05,8.004498478870396e-05,6.616956344790359e-05,3.4684648992642296e-05,0.006437458352064051,8.935441790779356e-05,7.156296359628136e-05,7.637361027752233e-05,4.2582094432884086e-05,8.02095356449388e-05,5.369402968051658e-05,0.00010762607761105,8.675481612636346e-05,7.996085186169551e-05,1.0535050192472974e-05,7.996091726984832e-05,0.0001390298239705,5.7527285387059464e-05,6.941713537915041e-05,0.009519064987053173,2.3471748774335107e-05,7.456123835536323e-05,5.3688016069544965e-05,8.197170432781723e-05,7.166494610723865e-05,5.9781061137561826e-05,8.678829336546301e-05,6.307427538481352e-05,4.5145671195276295e-05,6.95155173601271e-05,0.0063159136178858495,4.018155207052711e-06,4.056458061052449e-05,7.409702298217548e-05,9.141177472248824e-05,0.00013003112150175,0.047220343778008135,3.245656027430662e-05,0.00019530441396145,7.290618359146527e-05,0.0032160977673089813,7.419116569591206e-05,0.00010143818752965001,9.762806385511181e-05,9.703287061325086e-05,8.906497246400971e-05,0.09338488472532665,6.787963056483749e-05,7.595025346315479e-05,3.444985090009231e-05,0.12264924618710064,0.00011614556061669999,3.720887806818491e-05,0.013332562730004199,7.158474637505177e-05,0.00027703976994250003,0.0032433780693476,4.74825584829829e-05,4.3366080326884275e-05,0.4479249876504259,0.0001207022701901,0.00010273802050325001,9.002694169462352e-05,5.7644730907626854e-05
