sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
BaumgärtnerKlaus,0.00032950000223421063,0.004183566895952317,0.14731483010330385,0.00012221790442755318,0.0014800797797254151,0.0012958298478695943,0.0002193334849100632,0.006917921435883684,0.0008101147938864165,0.003077509056810616,0.009251872464721159,0.04428536108648223,0.0011007609788878962,0.013196282241127505,0.00015791338420756472,0.010640026923091073,0.006973171380389322,0.005388079807643691,0.0016318085620667655,6.796902565076709e-05,0.0027908451226777947,0.004519133120271253,0.004034098651517634,0.0007142844352405119,0.0019323071067007802,0.001209058120005762,0.002407438067895906,0.0037537305718373833,0.0018334564600874564,0.000689020020692017,2.0644784293949153e-05,0.0016621962129504742,0.004868459929048059,0.0015880523873236364,0.008167250981794986,0.0003486184665822288,4.599590714755891e-05,0.004889992821821849,0.0003780053430224619,0.0008852338373827396,0.009625238045301743,0.004109352830172962,0.0012329144290562737,0.0009003499156639124,8.846874258822048e-05,0.0002476112880421595,0.00886066907025479,7.874091342106779e-06,0.0016039144749142968,0.002555912384765685,0.002579030766353486,0.003058874130727385,0.0001951105420327623,0.00834727840430325,0.002433811757816173,0.006018801052810101,0.0005278892443603846,0.004878809770526185,0.0022763705479863353,0.00344013781688195,0.00963741656496214,0.004611037868471397,0.19527137221992377,0.007544514340950068,0.0016265598448353623,0.0028356064947416644,0.0036004358344494357,0.0014936173469375716,0.0035519993180183765,0.1531744048248818,0.0014406381955170118,0.0028192458494810993,0.0032292274242094487,0.0002837015054312992,0.0035405176959529133,0.2248594897191795,0.00301149744409809,0.005126057935804087,0.001685507266981966,0.0024867614917044255
BaumgärtnerKlaus+BaumannSabine,2.2555242090077016e-05,0.00011800542497447264,0.0790512251278546,0.00015998312215909742,0.011254125888349365,0.015012663350800965,0.0002871073258398799,0.01651238799296809,0.00013383003971803193,0.0001709255926138919,0.019039190096156833,0.025606654392841932,0.0375673286914106,0.010553041234467314,6.734550469704787e-05,0.035730994101068496,0.0010042431042444,0.00020532753905622668,0.00016973497663900944,8.897139076841067e-05,0.0032177013293607,0.0002292076484396615,0.00018356986688899537,0.0001959099060174482,0.00010922953737629443,0.0002057496369858902,0.00013773333838982705,0.0002760772297289851,0.0002225392751778778,0.000205111725324702,2.7024003259725708e-05,0.00020511189310653982,0.00035663260711021666,0.000147566221272821,0.0001780654917151617,0.0002434566234748561,6.020859927579007e-05,0.0001912608968682268,0.000137717912564657,0.00021026986720409956,0.00018383146751340667,0.0009426180242422827,0.00022262514937895314,0.00016179509280566913,0.00011580550099468212,0.0043363850626911326,0.06592690317700421,1.030717817472371e-05,0.00010405430810677075,0.03646087081543977,0.0002344850810338165,0.00033354956902259064,0.00025539951635364307,8.325600491954263e-05,0.0005009854744976999,0.00018701543011509793,0.00019164895720268774,0.00019031160430933725,0.00026020435217491504,0.015765399996861353,0.00024890404543362137,0.00022846517693041917,0.1001359011515192,0.00017412155843011653,0.0001948239315111405,8.836909801210789e-05,0.0040369999956323165,0.0002979309971348181,9.544642159592745e-05,0.21226840204998434,0.00018362574302377592,0.0007106490723081167,0.0002616270738465446,0.00012179997169266552,0.00011124058022546225,0.27982198164474353,0.0003096196490269377,0.014368056066917203,0.00023093277406086252,0.0001478674868645925
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,2.029793684208932e-05,0.0001061955643655,0.2021848903444051,0.0001439721771292,0.0001653310204044,0.0002268867446917,0.0002583739222805,0.0001153573498285,0.000120436468069,0.0001538195364837,0.0019057302384066,0.0873408865599513,0.0002099610586455,0.0001709447882606,6.060563639619649e-05,0.0001924215046544,0.0001934583454659,0.0001847785717866,0.0001527480761214,8.006722620658912e-05,0.0003570867236649,0.0002062687845766,0.0001651983848962,0.0001763034457001,9.829795850121812e-05,0.000185158426593,0.0001239491286558,0.0002484477067547,0.0002002677751985,0.0001845843564696,2.4319469026122752e-05,0.00018458450746,0.00032094118547,0.0001327979468125,0.000160244881884,0.0002190917369606,5.418298507151053e-05,0.0001721197045675,0.0001239352466313,0.0001892262768565,0.0001654338048013,0.0001380006395909,0.0002003450551986,0.0001456028076318,0.0001042158064971,0.0579928136554996,0.0001670610881502,9.275646467246097e-06,9.364066081243214e-05,0.0001710480939739,0.0002110180571873,0.0003001682739067,0.0002298393974998,7.492383024899488e-05,0.0004508473675231,0.0001682991197262,0.0001724689282259,0.0001712654162239,0.0002341633703327,0.0002253679509473,0.0002239939865764,0.0002056006188464,0.215210642094994,0.0001566956533539,0.0001753261543967,7.95252102849904e-05,0.0003121500157969,0.0002681143717719,8.589424266080185e-05,0.247739175958231,0.0001652486690053,0.0006395280497985,0.0002354437074942,0.0001096103567814,0.0001001077382666,0.1744962869910953,0.0002786332354989,0.000237163949083,0.0002078212614139,0.0001330690620561
BaumgärtnerKlaus+BaumgärtnerSabine,1.3158431145109667e-05,0.004297642804888151,0.14203648784259718,9.333204622246713e-05,0.0004136298135090884,0.0001470826139124359,0.001339017464945322,0.013473664483514693,0.009613547182461215,0.00037199998350773974,0.009116811661420175,0.021534111599819373,0.0006016139411555528,0.0006725153675948065,3.928848038738807e-05,0.017305284453559996,0.001061187451027383,0.0035020353357566687,9.902114967784049e-05,5.190473747236343e-05,0.00023148663348060962,0.014998236831758705,0.0022636874720014205,0.00011429125870963418,6.372307336975324e-05,0.00012003162815092684,0.02089870436570032,0.00016105981942527193,0.0006247209939824438,0.00011965947889014712,1.5765447550428208e-05,0.029984461089571562,0.0018614068344972804,0.0006379003506658146,0.0015504623625264991,0.00014202938740453893,0.014296002578599712,0.00848980145166207,0.0026399443520874503,0.00012266867092123929,0.016777570198118933,0.01236795348098856,0.0009057159931922077,0.004231485566750165,0.0052887887686602145,0.0007319079786705504,0.003199612009456021,6.013071984367957e-06,6.070391278032937e-05,0.001110673568377857,0.00013679550771464663,0.00019458842516239082,0.005070203451716131,0.0226862440463937,0.0012280436074237379,0.014403382113080657,0.00011180547729491292,0.012919853793328754,0.0059141753472825445,0.007756348642490138,0.01253253903521327,0.00013328357495292784,0.16641739656408952,0.0035491605909821014,0.00011365771548676407,5.1553367811524e-05,0.002355086128261865,0.0005882940045214368,0.010377392576184698,0.1185486414999852,0.0001071248398220816,0.002554923922613595,0.0009537088002467251,7.105649917627431e-05,0.0005343101470750474,0.23607106628070246,0.000675522537091912,0.002020017818614973,0.0017191120713976281,0.00040490613937054117
BaumgärtnerKlaus+BierwischManfred,2.855492884929168e-05,0.0001493948280634,0.1623947094559157,0.0002025385784864,0.0002325859795977,0.0003191819396189,0.0003634777773046,0.0001622835336528,0.0001694287849709,0.0002163917423773,0.0433599335208734,0.0008333457397346,0.0002953710585162,0.0002404833704979,8.52593861446511e-05,0.0002706965943005,0.0002721552112935,0.0002599445949254,0.0002148844229562,0.0001126377505889,0.0005023459313429,0.0002901768053196,0.0002323993893284,0.000248021874687,0.0001382845573355,0.0002604789707615,0.0001743703597678,0.0003495136793628,0.2850345373583164,0.0002596713748144,3.421237897703536e-05,0.0002596715872262,0.000451496759853,0.0001868187861685,0.000225430852222,0.0003082160028897,7.62240662977627e-05,0.0002421362306781,0.0001743508306784,0.0002662015806873,0.0002327305756304,0.0001941378808758,0.0002818433637374,0.0002048325327115,0.0001466097250499,0.00022575034587,0.0002350198211142,1.3048884079399506e-05,0.0001317327188325,0.0002406286999133,0.0002968580331969,0.0004222736414495,0.0003233357012307,0.0001054020740393,0.0006342474410906,0.0002367614712061,0.0002426275149302,0.00024093442662,0.0003294186217535,0.0003170453161952,0.0003151124372451,0.0002892368366403,0.018003315826342,0.0002204378340185,0.0002466470313297,0.0001118752481633,0.0004391294327463,0.0003771805414993,0.0001208351374242,0.1044430946278285,0.0002324701284962,0.0008996814849308,0.0003312197869081,0.0001541987229239,0.0001408305369016,0.3268375260277888,0.0410709501867356,0.0003336398050879,0.0002923608137719,0.0001872001883057
BaumgärtnerSabine,6.555286816815692e-06,3.429621387165002e-05,0.2053749048706598,4.649629773045533e-05,5.33942078399156e-05,0.0047425610376716,8.344272522428913e-05,3.725504323107071e-05,3.889536151082352e-05,4.967653547870694e-05,0.0006154619755407,0.0001913091911509,6.78076284546165e-05,5.5207193007153705e-05,1.9572793648116327e-05,6.214317063582912e-05,6.247802185522098e-05,5.967485981881117e-05,4.933050375921638e-05,2.585797938452094e-05,0.0001153223556813,6.661519615394492e-05,5.335137275745272e-05,0.0654269586189632,3.1745655555828624e-05,5.979753520321908e-05,4.002978703475363e-05,8.023702061091435e-05,6.46771500377382e-05,5.961213733046754e-05,7.85405413068033e-06,5.961218609332708e-05,0.0001036490328279,4.288754255237209e-05,5.175162233722888e-05,7.075641165623399e-05,1.7498576850357087e-05,5.558663617112932e-05,4.00253037883306e-05,6.111126109629601e-05,5.342740240579872e-05,4.456776964379187e-05,6.470210787308117e-05,4.702291532314729e-05,3.3656844424617135e-05,0.2755397698922799,5.395293902399334e-05,2.9956011528274425e-06,3.024156563876972e-05,5.524055593394968e-05,6.814898968065073e-05,9.694035133103146e-05,7.422740469325561e-05,2.4196902400353413e-05,0.0001456026702473,5.435276547593489e-05,5.569941912351226e-05,5.531074088382533e-05,7.562384622956195e-05,7.2783336024294e-05,7.233960962011124e-05,6.639940978920777e-05,0.0695029990456183,5.060538707330741e-05,5.662216990334848e-05,2.5682933523801107e-05,0.0001008098950815,8.658843607350037e-05,2.7739833902092544e-05,0.0006303157766665,5.33676121792356e-05,0.0002065377297428,7.60373354122938e-05,3.539903254139136e-05,3.2330130004138955e-05,0.3691964039813379,8.99855384122233e-05,7.659289320598502e-05,0.0047364037758691,4.297510013008551e-05
BierwischHedwig,1.4752370129154971e-05,7.718204484437976e-05,0.5357428410603111,0.0001046377699287,0.0001201611979489,0.0001648993817022,0.0001877839980908,8.384075362081554e-05,8.753221412723576e-05,0.0001117947480552,0.0013850687418142,0.0004305324962637,0.000152597935147,0.0001242412373084,4.404766784847514e-05,0.0001398503345219,0.0001406039017211,0.0001342955150633,0.0001110160196571,5.81921879747458e-05,0.000259527633606,0.0001499144213443,0.0001200647995748,0.0001281358645584,7.144213118957662e-05,0.0001345715903484,9.008518635875546e-05,0.0001805697079609,0.0001455529380969,0.0421662148762898,1.7675185966385824e-05,0.0001341544707396,0.0002332573598281,9.651643312379349e-05,0.000116464635162,0.0001592340355094,3.937973877324987e-05,0.0001250951566188,9.00750970198049e-05,0.0001375280697771,0.0001202359007858,0.000100297706567,0.0001456091045523,0.0001058228984915,7.57431734424898e-05,0.000116629695582,0.0001214185966655,6.741461998652967e-06,6.805724631969361e-05,0.0001243163190338,0.0001533661528154,0.0002181597820582,0.1052471966332023,5.445401096308556e-05,0.0003276720825963,0.0001223183876237,0.0001253489694426,0.000124474267021,0.0001701879721428,0.0001637955351565,0.0001627969493839,0.0001494288040997,0.1459052732077108,0.0001138850856562,0.0001274255774419,5.779825535225684e-05,0.000226868011497,0.0001948632750262,6.242721462548269e-05,0.0539585721791179,0.0001201013456432,0.0004648036188112,0.0001711185104455,7.966388731077385e-05,7.275746393297229e-05,0.105806406519182,0.0002025082968945,0.0001723687675936,0.0001510427484792,9.671347740730632e-05
BierwischManfred,3.9912567831233104e-05,0.002217221125843858,0.12698059323070976,0.001996049196548373,0.0010187804831337532,0.0048094674390426265,0.014066978388892284,0.0019967363787504627,0.0005673467570981312,0.0009152399062857873,0.09774324273947783,0.007518962188880299,0.013484965573943797,0.001707396936740058,0.004709199338820638,0.0016313083134830572,0.002663818252825771,0.006874882665907238,0.0027391896694426827,9.914110011372518e-05,0.0013138743702547334,0.0030170151704526295,0.0026048110174612888,0.003485447598326926,5.3910774628617785e-05,0.00030407911431133976,0.00042558129921709675,0.0039006820070039447,0.006681031882063483,0.0007514749613150036,1.3337829531209156e-05,0.0022799480325690793,0.001264689412511382,0.00266481665628594,0.00664145116251399,0.005609325838852371,0.00034553711912324684,0.005027595019864433,0.0028736685360574127,0.00639643598976482,0.0019636421992475736,0.002893310706765206,0.007041481618928441,0.00042532165558224424,0.0077907778627678,0.008298059190319104,0.005215590472462999,5.0871584095442335e-06,0.0022267668913978516,0.008562525508643164,0.005898411004424956,0.013485344280381891,0.005995897069590485,0.0003141135513221263,0.0027387461409303046,0.005549614448140287,0.007325733240437612,0.007105274374178239,0.000750337985949757,0.0019316695195064132,0.0015632239781887582,0.005441645655753954,0.2813964481455362,0.0021297032344854616,0.007350902403434008,0.006083870470038581,0.005711072004830097,0.000923163408087448,0.0002284384957185915,0.01826217141433847,0.0029118824763154708,0.007036558506989232,0.002739900068047643,0.004358998322798361,0.0006948478977849618,0.19637288675880685,0.0020188346221941727,0.0015699342596989436,0.007887251735499805,0.00036541521618518836
BierwischManfred+BaumgärtnerKlaus,1.7339238373472905e-05,9.071612642524475e-05,0.1699118690743088,0.0001229862876120138,0.00014123179097576583,0.00019381493698579998,0.0002207124331287,9.854245790442275e-05,0.00010288122605534075,0.00013139826132763568,0.0232762328861708,0.005475016659675934,0.00017935639830406669,0.005115016395024166,5.1771546262310135e-05,0.00016437347122231065,0.0001652591784803961,0.0001578445990566529,0.00013048298078586587,6.839634648087115e-05,0.00030503651035063335,0.00017620232305406666,0.00014111848888443196,0.00015060483707489056,8.396970329239773e-05,0.00015816908489416567,0.00010588186891447287,0.00021223309759393333,0.0001710760418513,0.00015767869324548862,2.0774577920936555e-05,0.00015767882222702655,0.00027415967258259997,0.00011344085229960024,0.00013688702584564768,0.07382564963377516,4.628508312200171e-05,0.000147030932724089,0.003051409749456594,0.00016164399103543001,0.00014131959315846047,0.003063424921404393,0.10203541899029138,0.0001243792316931238,8.902494500778507e-05,0.00013708103005943614,0.0001427096779787832,7.923595704078808e-06,7.999126965009728e-05,0.00014611552384931963,0.00018025932503099997,0.0002564146934692333,0.00019633720076426666,6.400266995838852e-05,0.0003851302738969333,0.0001437672497299261,0.00014732925231720988,0.00014630116844586727,0.0002000308961507333,0.00019251752794463334,0.00019134383743956668,0.00017563155150423333,0.25595735693103117,0.0001338551453149038,0.00014976999917972586,6.79333367011071e-05,0.015173617290691034,0.00022903308053783333,7.337399657861368e-05,0.11179263514722375,0.00014116144340549824,0.000546308198131,0.00020112460687683333,9.363316672138704e-05,8.551568321146789e-05,0.21404365065592532,0.007158608554038967,0.00020259410001793334,0.00017752850542223337,0.00011367244883439831
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,2.5449188396709925e-05,0.0001331460899429,0.2172412063559019,0.000180509728065,0.0002072890618798,0.0002844665226469,0.000323944579987,0.0001446329718911,0.0001510010790539,0.0001928561702365,0.0023893703211229,0.2363974472597811,0.0002632454016884,0.0002143275031213,7.59862576452152e-05,0.0002412546241337,0.000242554596508,0.0002316720522709,0.0001915127924917,0.0001003868491652,0.0004477089161923,0.0002586160948223,0.0002071227658635,0.0002210460915076,0.0001232442136543,0.0002321483074,0.0001554051897644,0.0003114992693652,0.0002510921371205,0.0002314285485971,3.0491313169838576e-05,0.0002314287379062,0.0004023902900493,0.0001664996789289,0.0002009121528164,0.0002746932820537,6.79336528489788e-05,0.0002158005920701,0.0001553877847315,0.0002372485049488,0.0002074179311093,0.0001730227216262,0.0002511890293956,0.0001825541832817,0.0001306639051099,0.0002011968971448,0.0002094581897249,1.1629638828944388e-05,0.000117404977518,0.000214457025968,0.0183918582865094,0.0003763455868838,0.0002881685056696,9.39381517561919e-05,0.0005652643262967,0.0002110104114637,0.0002162384424164,0.000214729500699,0.0002935898250924,0.0002825622863475,0.0002808396345136,0.0002577783606388,0.0885543586758849,0.0001964621938758,0.0002198207812363,9.970727934447424e-05,0.0003913680795173,0.0003361569804937,0.0001076926576663,0.2018472003527242,0.0364617610892693,0.0008018287745656,0.000295195088814,0.0001374274952998,0.0001255132829969,0.1825257331202671,0.0003493453427785,0.0002973518968,0.0002605625623781,0.0001668395983486
