year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,2.1968041123527554e-05,0.00082982156556263,0.1440776998920888,0.00015581813720400982,0.0001789343756212757,0.0002455548746922837,0.0002796328017995905,0.00012484889595667928,0.00013034592155330732,0.0027516577233217022,0.02450536874330801,0.031375723608555055,0.0006672979877406356,0.00018501004154149729,0.008435894847658304,0.00020825385161973633,0.0002093760031843541,0.0001999820619865671,0.0007224750597486875,8.66551182830259e-05,0.08618894546517089,0.00022324047893794032,0.000178790826928523,0.0001908096066852266,0.00010638586628348674,0.00020039317106003012,0.00013414760212925064,0.00026888986213203554,0.00021674570945340958,0.00019977186672862876,2.6320463001954412e-05,0.0037463241673252145,0.0003473480686972685,0.00014372449670097033,0.0006134911883552061,0.0009520067798310443,5.864113449096233e-05,0.010270438851597972,0.002342515784175868,0.030160840076391027,0.00017904561706785438,0.0008642435467681075,0.0009317176302943015,0.00015758293518400632,0.00011279063190817395,0.008221179500358283,0.0001808067924920949,1.003884210622024e-05,0.00010134536842660845,0.00018512184719826386,0.0024367637256454524,0.0003248659721655746,0.0002487504703243462,8.108852623035955e-05,0.0004879428676536943,0.00018214668869860452,0.00018665958699516736,0.03278964780358951,0.01492129526801062,0.007582104641466108,0.00626978902201473,0.00022251733685934585,0.10363711948894613,0.00016958849480796023,0.00018975190433301976,8.606850555742061e-05,0.0003378335658980408,0.005964658110187108,0.014760826629282141,0.02907395286961718,0.0008937335306698453,0.004948010668484272,0.00025481590019455446,0.00011862904314231294,0.00010834455383978704,0.35191403704430524,0.054748910241265956,0.0024650608886943363,0.0015451050015142063,0.00014401791917381738
1955,1.6563537853090374e-05,0.0005595499023983689,0.10478807740486011,0.00011748428543373591,0.0001349135449608955,0.0014563621631374741,0.14650852392595431,0.003884716832502848,9.827865823376002e-05,0.014276852804998684,0.006478947526516637,0.009937680714839855,0.007722477220429639,0.00013949449607468555,4.945545748656532e-05,0.00015701994251372827,0.0013352735414262514,0.0008678103581298073,0.0017204398083259457,6.533651879901406e-05,0.002833825918208631,0.0001683196104030513,0.00013480531163265278,0.0015775158005145325,8.021317482572929e-05,0.00015109312003238698,0.0001011450621962609,0.0109581465991247,0.00016342266216816276,0.00570107839618365,1.9845191603216177e-05,0.00015062479010518546,0.0002618946701580649,0.012108505915333299,0.004658399724999694,0.00017878340575583037,4.421444066987339e-05,0.0006097942071970719,0.0015162670211658366,0.00015441257029697987,0.00013499741916258944,0.0013838292560787464,0.006419991933638732,0.00011881491377607833,0.0025336676461784825,0.00013094847544189373,0.00013632531615807023,7.569120081876283e-06,7.64127232250854e-05,0.00013957879568144923,0.00017219511544933256,0.00024494354307187725,0.00018755371987985717,6.113940091951282e-05,0.0014407999305184392,0.0044587587736044055,0.0001407382259279229,0.002695762602365781,0.00019108217147818741,0.00018390492666466786,0.0001827837432142029,0.00016777437329591044,0.29362185132792457,0.0052127383831627305,0.00014306978179997833,6.489422255462414e-05,0.00025472089319805746,0.00021878689348328798,7.009148519589276e-05,0.03704496671422462,0.0005132547802941508,0.002672949787904344,0.006541353431745914,0.0037466255234315064,8.168999268576789e-05,0.2512452444523894,0.034398912678102835,0.00019353070603111107,0.00016958646373203164,0.0007085941188737519
1956,1.788067637580282e-05,9.354884359613797e-05,0.10913032516695265,0.005448420496960907,0.00014564191886744305,0.0949936794689616,0.00022760443705116003,0.00010161956143128282,0.0001060938126933934,0.00013550132575237034,0.01148823802748426,0.009262790082083678,0.00018495701165922371,0.0001505871488711643,5.33881733587275e-05,0.029597883966976452,0.0001704195896551355,0.0001627734813149913,0.0001345574645049823,7.053210241247628e-05,0.00031456163222994004,0.0001817044467197771,0.00014552507878579104,0.00015530764929598575,8.659175550873916e-05,0.00016310809960238227,0.0036078048206404376,0.0002188603243449,0.0001764180913895845,0.0001626023949007869,2.142328841943039e-05,0.00016260252790989172,0.00028272062908168,0.00011698317562020501,0.0001411614833634524,0.000193000326864809,4.7730388988584086e-05,0.0001516221456009528,0.00010917592530753179,0.00016669151375296823,0.00014573246277597992,0.00012156628505520669,0.0001764861681937092,0.00012826311870639957,9.180485306049144e-05,0.00014136154558575158,0.00264458345152228,8.171019249270376e-06,8.248909062181352e-05,0.00015067815201316598,0.00018588813332949446,0.02315315978587818,0.00020246805954103492,6.600122820068673e-05,0.0036669761663314397,0.00014825655028731044,0.010443653727522113,0.00015086959357941073,0.00020627709488704,0.002256873902359207,0.00019731877260517773,0.04958139079751949,0.22383757995799022,0.0001380349288163087,0.0001544467426108765,7.005463461069736e-05,0.0035447961398739998,0.00023618490640947998,7.566518545753877e-05,0.0717475748671356,0.0001455693746119623,0.00056336731071026,0.00020740495801001998,9.655697188797642e-05,8.818601045929922e-05,0.3361076041253407,0.000245451089451,0.00020892033779348,0.00018307204068383946,0.0001172220040277191
1957,1.3684853395971507e-05,0.001234782561156211,0.12269719361173771,0.0007472671561578587,0.005944599044311118,0.005804059060580105,0.00017419549953561698,0.0006927965384515249,0.001217946335236779,0.00020576711417099973,0.015404523778513353,0.00968297772745073,0.0799986760714193,0.0036181188654309093,4.086027341122291e-05,0.0032883999625017237,0.006318691209956263,0.0003413113125944138,0.002478320697479402,5.398126228214225e-05,0.030010714171384584,0.0001390662558001164,0.00011137662394672926,0.00011886364739338306,6.627240796330212e-05,0.0005207233457167711,8.356640713832038e-05,0.0029572646129228295,0.00013502037989627586,0.001606883071446668,1.6396167299144234e-05,0.0023870743679195675,0.003393027815334381,8.953227352876124e-05,0.0010370080297512035,0.00014771148042775291,3.653012683152143e-05,0.0060879546613745094,0.0025829137135011705,0.008532241731563521,0.013419215159901816,0.0005631905065226449,0.011757597836844885,0.01593659386482109,0.00041284786085200127,0.010552441179639398,0.0009666087408571829,6.253633708915316e-06,6.313246144615988e-05,0.0231173777687072,0.001355308701269679,0.00020237321923365998,0.0004421500173742183,0.00037718380266169455,0.00030396094817480005,0.006480806290659221,0.000116278418663631,0.0007044103405342397,0.0034501722319349964,0.00015194289906690064,0.0005255545470546305,0.007637199955957206,0.2250550408378433,0.0002007195937825951,0.0017720218055977943,0.0016321568875311678,0.01475311237922821,0.000940435565667771,5.790983229061495e-05,0.0786012106014673,0.0002537399060894565,0.0059011169484038005,0.0018537736796676253,7.389921817690587e-05,6.749256008819185e-05,0.24015586281985923,0.0016550850778979049,0.005862976625792706,0.001923892659859971,0.0006786583879534218
1958,1.5298306700057544e-05,0.005083574509598217,0.12167836611455048,0.00010851006873915722,0.00012460796764011657,0.0002299567036552347,0.004623326196056557,0.0020508917664626204,9.077149272487547e-05,0.00011593190302518962,0.017823333681366293,0.02339580912940467,0.0026572569861641688,0.017999597169156643,4.567772678347361e-05,0.017690605744139835,0.004004191353336873,0.00013926534922150313,0.0026595669388645455,6.034568895648381e-05,0.0003280868351148284,0.007466549298140165,0.0007425906878209602,0.0007708635644368481,0.003739327435733517,0.0001395516411424635,9.341894203997393e-05,0.0012374279103579836,0.006532139283136191,0.00013911897151287295,1.8329286313114764e-05,0.00222610066085896,0.0009935214754493206,0.00010008818804003878,0.00012077460725431239,0.0003419915809024121,0.00012725173889217788,0.0012696544777847923,9.340847932786338e-05,0.011593474398893027,0.0015669370678368386,0.00696295977150646,0.0019098632789604818,0.003915108580556878,7.854617852006469e-05,0.002274493671552414,0.011030281777581266,6.9909412765041266e-06,7.057582057965271e-05,0.005864614998178208,0.015664064255568474,0.00022623315618607796,0.00017322714234770226,5.6469174340675405e-05,0.0011665461688589115,0.02802163520766657,0.00012998772144958565,0.00490150507389544,0.011683719971395284,0.000169857067778725,0.002173156868574291,0.0018222097699600657,0.2709031636745456,0.0005418091813876351,0.0066558769278702076,0.00018815698420012781,0.0027345597552740257,0.00020207452225164238,6.473743997809146e-05,0.11618237085105147,0.001489374800364482,0.003825606786967968,0.00046830876412779307,0.0005227006272358846,0.0020851722241880767,0.22524509074396507,0.0052549516189228365,0.001338664317776329,0.003512981223919694,0.00024486163170172633
1959,1.7778496300073055e-05,0.012227073384152106,0.13682033447895084,0.00012610192052121586,0.00014480964037942804,0.00887767279505611,0.0008980611889343214,0.0028211957870235608,0.007068022583516354,0.00013472699622278926,0.02345780959370985,0.039638817250877166,0.0042762796276551536,0.00014972661060339427,5.308308380381763e-05,0.000543823827417533,0.00036887470020254785,0.004298864162695487,0.00013378852872067504,7.012904296356981e-05,0.0065087668308092764,0.015075763142372795,0.006188567937252844,0.0003971013180854776,0.0002942430838788028,0.0041927204669281294,0.00010856419262455366,0.0007266106486989711,0.0020966733026891926,0.00016167319487078851,2.1300863898843442e-05,0.0002558651518490409,0.00028110500701668376,0.006769792444443811,0.0008121122181009786,0.008342109773735921,0.02305479113380698,0.0026853520855305985,0.00042414557715053717,0.005052016221778646,0.0038977622128779114,0.001582422736595436,0.0012116908126867314,0.0038073463755461463,0.000537247639508065,0.00014055372751838697,0.001465010513158811,8.124325525379165e-06,8.201770232814224e-05,0.001609479260466894,0.0006900033519206303,0.00026291049127633736,0.003966311946722447,6.562406067333586e-05,0.0050022540823805054,0.0008950576530032022,0.0003504905521167371,0.00903773209469889,0.00020509831346212035,0.007713513220350081,0.01690667733211331,0.010694905232347507,0.20528893839344184,0.00013724612087734028,0.000153564148489477,6.965430367693167e-05,0.00027340502357882493,0.0016901042660019908,7.523279273269587e-05,0.10377342166416356,0.0006654850520693166,0.0009239651809623214,0.002221491959967408,0.0022565879991337558,8.768206681436713e-05,0.23023764701284288,0.0033876602142513816,0.003695626694981961,0.04923725304085195,0.00011655213265390277
1960,1.4823828099733181e-05,7.755590153595671e-05,0.09722606415880239,0.005454385351279911,0.021106988308713312,0.00016569812624718698,0.00018869359182345624,0.03221698615333611,8.795620527759585e-05,0.00041729461624222654,0.013290000007285752,0.055165471509866226,0.00015333709357813973,0.00012484304072056353,4.426102725618811e-05,0.003817761759860725,0.00014128496309530892,0.01099870466329611,0.00011155376236534159,5.847406103105119e-05,0.0015175297699003686,0.00015064058129123602,0.013048267650725882,0.00012875653288221952,7.178818471614395e-05,0.00013522343223277297,0.043844185692779654,0.00018144435689977046,0.000416226440796687,0.00013480418189751133,1.7760801559520533e-05,0.00610316452665051,0.0027318047156883267,0.005569426653706598,0.0035291104198055755,0.0015098476832593017,0.0019293497707757686,0.0033333157056542966,0.005784669207932041,0.00013819423234471512,0.00012081830302940019,0.013852695210379249,0.0006105375935245658,0.00010633548660455825,0.0003810684139367215,0.00011719462998121561,0.018614079407263725,6.77411649341797e-06,6.838690403993898e-05,0.016007524604585405,0.0008792005379240842,0.0004570774968478366,0.0007777711911081992,0.0032704495560392766,0.0026745918610082244,0.01706089974085693,0.00012595613852070254,0.0028247618895450343,0.00017101233371998284,0.010377498964297283,0.0026294785661661285,0.010476367263169408,0.15551540556449464,0.0004018643858816841,0.00012804280525572688,5.8078220265975065e-05,0.0035580207245371536,0.0021335936422090507,6.272960143023232e-05,0.1109936254600881,0.004126852787359863,0.0030996312829653636,0.0014882354966506877,8.00497656249452e-05,0.00029149168373328424,0.27890794865871377,0.0014521979610755914,0.0020571039797550508,0.0019262899785656398,0.0009707091211377103
1961,8.394780482551641e-06,4.3920150998820015e-05,0.16192517262001005,0.004631740557535682,0.0007043085037714944,9.383537011201219e-05,0.0005781880476369295,4.770926406919962e-05,4.9809875722790484e-05,6.361637898248139e-05,0.01038050888415919,0.005227512840427067,0.002443267069688087,0.01821406457835172,2.5065158962187544e-05,7.958130445783624e-05,8.001011902531767e-05,0.003061512084653315,6.317324652980574e-05,3.3114044697259466e-05,0.0038477118108134474,0.0002485745132075443,6.832242055262215e-05,7.291522958635636e-05,0.002270896645747303,0.0015459739585512312,0.0011993778744178224,0.004904349827685552,0.025444952055258298,7.634003224713167e-05,1.005799779134105e-05,0.012116559677488562,0.0008024725552545592,5.4922311597362936e-05,0.007271343693112222,0.0013274412237778658,0.014955631032798029,0.0011428672429752427,0.0005517944876872499,0.0008901758252067782,0.0003296881753311337,0.006617301845374612,0.01165996206123063,0.0039215081318898035,0.0046621168125382025,0.000960558604595707,6.909279367197486e-05,3.836203478809897e-06,3.8727718874924856e-05,0.0008870731224818174,8.727242979041966e-05,0.00041869697360617136,0.0079557249346495,0.0007844424771586507,0.0026473086704524268,6.960481631704484e-05,0.00028075504060584366,0.032942904695146887,9.684482252016005e-05,0.004096873472544867,9.263898894498853e-05,0.017757065844281314,0.1484442004145648,0.0069071436195827325,0.00023903994809279565,3.288987882684227e-05,0.0526863919298879,0.000664443928989985,0.00026049769480779913,0.07013616244842444,0.0023498385212778446,0.007606306240904882,0.006197062078279669,4.533243407708059e-05,0.026119519953569235,0.292217019846529,0.0012836173069871565,0.0011864105918822187,0.0006319047928958889,5.503443890239771e-05
1962,0.0006787240032532302,7.403742052627023e-05,0.27058909982955287,0.00033964030199245523,0.00011526547607573125,0.0005376468818482202,0.00018013312374388484,8.042483385326043e-05,8.396589336290342e-05,0.00010723990004522576,0.013798174925150307,0.005448803517072112,0.00014638064485984482,0.00011917928258910097,0.0016068288749218945,0.00013415241911014634,0.00844203388658683,0.005195657117704804,0.0004365704904367652,5.582126647612947e-05,0.0004255868255571908,0.0040285243513778065,0.0003357730563435485,0.0005562935822804144,0.0016209762326528149,0.018180004645793,0.0035642826474924995,0.00024248185966188143,0.00013962268178363156,0.00012868851636284385,1.6955046719896777e-05,0.011482662780361474,0.00022375376650442993,0.007371478496138315,0.0005214336311926078,0.00015274637090634724,3.77752919820797e-05,0.0019387586532422691,0.009840795241431378,0.0010458755174035414,0.010065547159572542,9.621128196202735e-05,0.00013967655985185244,0.00010151136125929563,7.265717299228245e-05,0.0043039544589384155,0.011268603929801852,0.006743814376211448,0.003479612236903112,0.00042390155430276733,0.0034522059571810574,0.0011063525051545845,0.00016023942457365754,0.0017136671143954346,0.0026000337871998477,0.0013351377923452507,0.0011051672712795969,0.00011940281798337771,0.0021929257066116378,0.0005567299912670442,0.010738050580975633,0.008812434383321468,0.2199273350052139,0.00010924507112250806,0.0008731750000732477,5.544338383141642e-05,0.0035238094872221417,0.0001869239700416378,0.007291030894209248,0.03592532159136901,0.002882638091650937,0.003515601794181689,0.0005516755547046653,7.641814540515997e-05,0.006134560423768664,0.23760206314432167,0.0006427981094237015,0.007286765344085462,0.0008186747710001921,0.0319844335099385
1963,1.2058330973870568e-05,0.0022969407678236327,0.193784807416364,8.552909472322991e-05,0.00675574707119407,0.006413975383359147,0.0008223437883078852,6.852997500790518e-05,0.00016053670271578681,0.0006593168350969435,0.06276762924178944,0.012856614309243007,0.0014961663441414048,0.0002978892062444521,3.600379822997506e-05,0.0007250749285597905,0.0005147201833233622,0.0003767389963205797,9.07425652086479e-05,4.7565283174824934e-05,0.002056650289724957,0.0006026955758721468,0.009432590220263158,0.0001047360289188618,5.839555649840578e-05,0.006481261192640058,7.363406581086821e-05,0.00132094692887108,0.0208620801083317,0.0008522404253538938,1.4447389845932575e-05,0.0010699717992362543,0.0030278668223854923,0.001948400318480688,0.01310052424629151,0.005411894597619718,3.218831412411097e-05,0.0009151922544661067,7.362581896054628e-05,0.0030492815428054326,0.002745523313173074,0.005354334754454234,0.0032120517707847477,0.00017091950722741633,0.0005348032709227733,0.013194036653367925,9.924545087720949e-05,5.5103538831956395e-06,5.562881042898688e-05,0.00010161399878390758,0.0007097353019530046,0.005882313675642255,0.005801317349241084,0.013661724475501794,0.002812400763540831,9.998092436972492e-05,0.055454204347943556,0.002379138284197305,0.0123274594835572,0.013334579521796758,0.006850903379920067,0.00012214050766686332,0.17497041025294513,9.308768989716216e-05,0.00037112362869596064,4.724328949504579e-05,0.0013111446155041706,0.0054198757851827905,0.010640764573227598,0.015170856654837146,9.816875278309703e-05,0.0031384176021082726,0.0008408134317074747,0.013735951382451645,5.947068662473924e-05,0.2534129537514127,0.002892432857046225,0.008823679093855976,0.0025912937304099068,0.0007151926042764632
