idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
uj0002,2.081821936590797e-05,0.0929476239286207,2.8974340160091705e-05,3.058281059421972e-05,3.18743214023781e-05,4.811818023387232e-05,2.840419926075157e-05,2.140459486938762e-05,2.305233631179356e-05,2.534746846016737e-05,3.0036085428037208e-05,1.950891480775e-05,3.166945127630546e-05,2.285358882505793e-05,4.31940586776685e-05,1.5843029935881604e-05,2.756146637588588e-05,2.4612497859241823e-05,2.605458790664149e-05,2.5871643316434703e-05,2.6151834675732787e-05,3.752812738689471e-05,4.230041188502282e-06,1.998496785251502e-05,2.2838065298202484e-05,2.789488857930062e-05,6.416457546049143e-06,2.4865271939018938e-05,2.528665317609652e-05,1.8958110253054743e-05,1.953350306225277e-05,3.869723661821653e-05,2.1535472223501563e-05,3.398152551577292e-05,0.0026000441369067,2.135339117335243e-05,2.12106981576023e-05,3.239630407545668e-05,3.4365380199452644e-05,4.025786843919196e-05,4.06523750177866e-05,2.3581633600509427e-05,1.906409467761224e-05,4.227642288688235e-06,2.382588750331604e-05,0.0929413181966155,2.779773906352393e-05,2.6266699962175653e-05,2.402051610975489e-05,2.753450952970993e-05,3.210305340327044e-05,3.300109390203606e-05,0.0439134111826799,3.0317332910850408e-05,1.6952549461199158e-05,1.1351702467801837e-05,1.534171786085307e-05,3.0640663346632816e-05,3.588819321994743e-05,2.5103628759418696e-05,2.664988947923697e-05,2.134514825092913e-05,3.4054497524607554e-05,7.609245099821557e-06,2.085895506408296e-05,3.248523448216429e-05,1.3098388345206338e-05,2.4647854889782523e-05,2.4839045976274973e-05,7.938677987660445e-06,5.1874818826318935e-05,0.119596808342642,2.486936369166716e-05,1.2794183187917712e-05,1.2885635210251868e-05,1.209848894324428e-05,0.2729994361673695,3.2799456108410185e-05,0.0001179613882438,2.3339914634008184e-05,7.812854147349909e-05,3.872972496368533e-05,3.742766291944404e-05,3.303637464933337e-05,2.306315634942768e-05,2.771910841181204e-05,0.015521974511262,1.0332310894680348e-05,4.015099404281837e-06,2.3854084388087754e-06,3.1383861859369416e-05,2.2906417385328564e-05,3.969714017148507e-05,0.2501502384419103,3.3786863324244394e-05,2.8304368923227825e-05,9.279146443641426e-06,2.8694503389689585e-05,0.1068851360452972,4.203054623571474e-05
uj0003,3.964650920748235e-05,6.018715187609291e-05,5.517914014389582e-05,0.0049735360188317,6.070190513176582e-05,9.163693792244326e-05,5.409335581153032e-05,4.076321094787322e-05,4.390119288185541e-05,4.827207476438103e-05,5.720114273699637e-05,3.715305122685336e-05,6.031174758769756e-05,4.352269537809041e-05,8.225937170578127e-05,3.017168861501973e-05,5.248844347527207e-05,4.687238643442992e-05,4.961872296481913e-05,4.927032071904542e-05,4.980392107703089e-05,7.146909261704767e-05,8.055749820881522e-06,3.805965332815672e-05,4.349313215562698e-05,5.312341740005015e-05,1.2219591825199409e-05,4.735377294041072e-05,4.815625728366896e-05,3.610409130067399e-05,3.719987744389939e-05,7.369556064918197e-05,4.101245561830966e-05,6.471489422633571e-05,3.626686884177387e-05,4.066569791034415e-05,4.039395132801898e-05,6.169597626199159e-05,6.544591247450372e-05,7.666764979726334e-05,7.741895366363905e-05,4.4909194068783714e-05,0.3637680386205126,8.051181322399793e-06,4.537435463013527e-05,4.8178427325362695e-05,5.293840449841601e-05,5.0022672141016445e-05,4.574500808044207e-05,5.243710647899325e-05,6.113750556521473e-05,6.284774649779463e-05,6.932406939959286e-05,5.773675439142994e-05,3.228467317451667e-05,2.161834153536296e-05,2.92169828618952e-05,5.8352509412260346e-05,6.834597896804783e-05,4.780770301524318e-05,5.075242363653873e-05,4.064999997316672e-05,6.485386314434454e-05,1.4491153187005907e-05,3.972408684293627e-05,6.186533657693439e-05,2.494475464034259e-05,4.693972085973512e-05,4.730382784879993e-05,1.5118529803199152e-05,9.879113319375064e-05,0.2179312533427734,4.7361565331594176e-05,2.436542206835721e-05,2.4539584583497752e-05,2.3040532182615792e-05,0.2249863375140132,6.24637446530136e-05,0.0002246473237186,4.444886107571764e-05,0.0001487890911539,7.375743191036551e-05,7.127776667491015e-05,6.291493564822024e-05,4.392179871341796e-05,5.278865918147545e-05,6.850404730464717e-05,1.9676997913248216e-05,7.646411669650216e-06,4.54280531733236e-06,5.976786709296819e-05,4.362330282987939e-05,7.55997910127151e-05,0.1175731867024679,6.434417681611269e-05,5.390323751532758e-05,1.767133674832242e-05,5.464621506998156e-05,0.0659253303623682,8.004356227788748e-05
uj0006,2.649380241669461e-05,4.0220098609031e-05,3.687349190933503e-05,3.892047283147231e-05,4.0564082766066814e-05,6.123643609283838e-05,3.6147915909231465e-05,2.7240038992365465e-05,2.933699721158722e-05,0.0033169056532473,3.822469629677049e-05,2.482754769733466e-05,4.030335976445696e-05,2.90840660385681e-05,5.496987211381283e-05,2.0162248145506484e-05,3.507543232409613e-05,3.132249899969445e-05,3.3157739954329385e-05,3.292491995464781e-05,3.3281498698565986e-05,4.775926195134367e-05,5.383259417766813e-06,2.543338506921501e-05,2.906431039827584e-05,3.5499754011909415e-05,8.165749214773006e-06,0.2135337519477318,3.2180446427809345e-05,2.412657962769231e-05,2.48588393436142e-05,4.924710048516648e-05,2.740659688570733e-05,4.324576501999447e-05,2.42353558124809e-05,2.7174875849355147e-05,2.6993281040544685e-05,4.122837136647079e-05,4.3734268381755925e-05,5.123320075548256e-05,0.1084451130468164,3.001059458033696e-05,2.426145813743035e-05,5.380206516047711e-06,3.03214383910743e-05,3.219526157083064e-05,3.5376119034747054e-05,3.342767922198472e-05,3.056912777089089e-05,0.0066043367497908,4.0855173004453903e-05,4.19980424842255e-05,4.632584896143673e-05,3.858261909068859e-05,2.157425128393849e-05,1.4446469075427073e-05,1.952426548082868e-05,0.0033236419094568,4.567223947205139e-05,3.1947524838903726e-05,3.391533607556733e-05,2.716438569387256e-05,4.333863107880736e-05,9.683721391898278e-06,2.654564371588477e-05,0.0066106371699374,1.6669346532265105e-05,3.136749526785369e-05,3.16108099712072e-05,1.0102966173911553e-05,6.60172311680501e-05,0.1095015585596186,3.1649393077053486e-05,1.6282207210227662e-05,1.6398591410419922e-05,1.5396848787547517e-05,0.2850178087951558,4.174143303217935e-05,0.0001501207023522,2.9702976794863003e-05,9.942839512456726e-05,4.928844599078186e-05,4.763140828126008e-05,4.20429416723635e-05,2.935076707029516e-05,3.527605164119454e-05,4.577786872824347e-05,1.314916509141046e-05,5.109718964467823e-06,3.035732247322263e-06,3.993991131328955e-05,2.915129702567456e-05,5.051960351294366e-05,0.2559393309830886,4.299803289892733e-05,3.602086924923338e-05,1.180888087268401e-05,3.651736442438304e-05,0.0046388659184137,5.348915619835997e-05
uj0007,2.8761083105109404e-05,0.0463982907079935,4.002904334002638e-05,4.225120033697997e-05,4.403546675437682e-05,6.647691410339194e-05,3.924137415952016e-05,2.957118094729069e-05,0.142661474246942,3.5018395861504935e-05,4.1495880793850346e-05,2.695223401262904e-05,4.375243165813902e-05,3.157301572697802e-05,5.967407151592448e-05,2.188768850081496e-05,3.8077109814380105e-05,3.4003008802626664e-05,3.5995305596570256e-05,3.574256137910927e-05,3.612965533889829e-05,5.184639337219973e-05,5.843946786331877e-06,2.7609917599408267e-05,3.1551569442926233e-05,3.853774400854198e-05,8.864555871888665e-06,3.435222485167996e-05,3.493437746355842e-05,2.619127865454469e-05,2.6986203528404337e-05,5.346155781878357e-05,2.975199249471881e-05,4.694664141151511e-05,2.630936366330848e-05,2.950044128742485e-05,2.9303305998744546e-05,4.475660369582077e-05,4.747694980454114e-05,5.5617624133132105e-05,5.6162648483824347e-05,3.257883452074536e-05,2.6337699767175343e-05,5.840632624073329e-06,3.291627965348674e-05,3.495046045357049e-05,3.840352862499913e-05,3.628834566640467e-05,3.318516573956509e-05,3.803986800808097e-05,4.4351467847978304e-05,4.5592141556078863e-05,5.02903120865373e-05,4.188443382444911e-05,2.34205277275289e-05,1.5682765769851647e-05,2.1195108698572024e-05,4.233112589597074e-05,4.958076815068254e-05,3.4681522963093534e-05,0.0036025584014778,2.948905340776624e-05,4.704745474110642e-05,1.0512432731951348e-05,2.881736086738884e-05,4.487946409866951e-05,1.809587213575053e-05,3.405185575134295e-05,3.431599278587581e-05,1.0967555550005926e-05,7.166683898861788e-05,0.061820607747,3.435787774811132e-05,1.767560229153374e-05,1.780194639273916e-05,1.6714476864084088e-05,0.1988710383327665,4.531357203782786e-05,0.00016296769819,3.22448914893347e-05,0.0001079372560498,5.350644158081682e-05,5.170759826937788e-05,4.564088311688161e-05,3.186254043985528e-05,3.8294897686457e-05,4.9695436923699306e-05,1.4274441396096229e-05,5.546997349395482e-06,3.295523461557888e-06,4.3357880096832656e-05,3.1646000192438853e-05,5.48429588256221e-05,0.441866120370688,4.667770892648505e-05,3.910345512891212e-05,1.2819458634732846e-05,3.9642439256942266e-05,0.1013108477388,5.806663922554994e-05
uj0008,4.545563143974869e-05,6.900594901736093e-05,6.326414879093076e-05,6.67761705421852e-05,6.959612542229553e-05,0.0001050638494973,6.201927216946655e-05,4.6735955578090565e-05,5.033372378283239e-05,5.534504003463656e-05,6.558242110492426e-05,4.2596824718964775e-05,6.914880085624629e-05,4.989976772021996e-05,9.431225491140106e-05,3.459253248304556e-05,6.0179203393971615e-05,5.374026528577247e-05,5.688900305942066e-05,0.0056919864122873,5.7101336939510304e-05,8.194095264055862e-05,9.236101794296289e-06,4.363626480595155e-05,4.986587280812476e-05,6.0907215551297085e-05,1.4010042080718728e-05,5.4292185947473546e-05,5.521225263865228e-05,0.011312387888898,4.265051204998863e-05,8.449364926641891e-05,0.2141959024150289,7.419710939038909e-05,4.158079630461529e-05,4.662415464572361e-05,4.631259096109906e-05,7.073585075558942e-05,7.503523856566046e-05,8.790121759013319e-05,8.8762604691593e-05,5.1489420245389934e-05,4.162558027499303e-05,9.230863906084444e-06,5.2022737489701386e-05,5.523767109955537e-05,6.069509401937939e-05,5.735214004778759e-05,5.244770016525106e-05,6.012034435117767e-05,7.009555130249665e-05,7.205638172763411e-05,7.948163436131077e-05,6.619651214207846e-05,3.7015117706670905e-05,2.478592402744533e-05,3.349794045678853e-05,6.690248938556196e-05,7.836023126530591e-05,5.481262718160641e-05,5.818881686211872e-05,4.660615660097855e-05,7.43564404398273e-05,1.6614439242513818e-05,4.554457597674956e-05,7.093002623813371e-05,2.859973288827104e-05,5.381746574758016e-05,5.4234922755281686e-05,1.7333740911428836e-05,0.0001132662983383,0.1427887362392426,5.430112010255429e-05,2.7935514817131528e-05,2.813519613226113e-05,2.6416498198812275e-05,0.2917649734422858,0.0113426098355868,0.0002575633051939,5.096163791875778e-05,0.0001705901030114,8.45645860853543e-05,8.172159306301921e-05,7.213341562846289e-05,5.035734884097093e-05,6.052340758158845e-05,7.85414602358857e-05,2.256012907225921e-05,8.766786222546357e-06,5.208430410014989e-06,6.852522940418463e-05,5.001511646945484e-05,8.667689302006584e-05,0.0108194222116587,7.377207338332959e-05,6.180129718566864e-05,2.026059258018696e-05,6.265313797991399e-05,0.3066402734374601,9.177177861958034e-05
uj0009,5.911431037000913e-05,8.974111586143777e-05,8.227399792869746e-05,8.684132517185907e-05,9.050863069005928e-05,0.0001366338297617,8.065505610250928e-05,6.077935111613708e-05,0.0073943303220735,7.197532561800828e-05,8.528887341828914e-05,5.539647866406764e-05,8.99268923576237e-05,6.489383741845902e-05,0.0074515236874808,4.498702662172685e-05,7.826207654746887e-05,6.988834212281587e-05,7.398322445377485e-05,7.346374470884969e-05,7.425936121597833e-05,0.0001065628779753,1.2011400365227168e-05,5.674825361399021e-05,6.484975763582052e-05,0.1026834186903526,1.8219832166543857e-05,7.060610597873467e-05,7.180263776634253e-05,5.383244329547166e-05,5.546629816604263e-05,0.0001098826184749,6.115098350195807e-05,9.649213560864856e-05,5.407515021414356e-05,6.063395581953104e-05,6.022877230827938e-05,9.199082497391169e-05,9.758210898769674e-05,0.0001143141057321,0.0001154343256664,6.69611547073614e-05,5.413339104021194e-05,1.200458857668456e-05,6.765472512113275e-05,0.2199379996493891,7.893298392640951e-05,7.45855265845998e-05,6.820738217818875e-05,7.818553131833892e-05,9.115812593528882e-05,9.370815405420684e-05,0.0001033645744989,8.608748883767653e-05,4.813755935598245e-05,3.223369160998219e-05,4.356352747059388e-05,8.700560077592482e-05,0.000101906207987,7.128293135040859e-05,7.567361119183531e-05,6.061054965467504e-05,9.669934305049334e-05,2.160680837329165e-05,5.922998129568873e-05,9.224334703504692e-05,3.719348808733563e-05,6.998874006946098e-05,7.053163612739197e-05,2.2542248510390386e-05,0.0001473009812505,0.0024726289235033,7.061772470230331e-05,3.632968327444341e-05,3.658936558142685e-05,3.4354226835090015e-05,0.3794356089415729,9.31355940813667e-05,0.0003349568949084,6.627478236413053e-05,0.0002218496581404,0.0001099748706557,0.0001062776044077,9.380833539100426e-05,6.548891423369112e-05,7.870970850269557e-05,0.0001021418933196,2.933908142344728e-05,1.1401063087068857e-05,6.773479149801956e-06,8.911594781263567e-05,6.504384659327603e-05,0.0001127218915149,0.2485943910697914,9.593938318515516e-05,8.037158317655935e-05,2.6348571565945844e-05,8.147938829337092e-05,0.0250082162477766,0.0001193477074829
uj0013,3.00467501311268e-05,4.5613809378805146e-05,4.181840644979573e-05,4.413989746581863e-05,4.600392348371779e-05,6.944853989862977e-05,4.09955271803966e-05,3.0893060659726534e-05,3.327123117135782e-05,3.65837749085535e-05,4.33508139150138e-05,2.8157042552728344e-05,4.5708236259981566e-05,0.0149335245923775,6.234159922257745e-05,2.2866103648756262e-05,0.0037649142712519,3.552299840257154e-05,3.760435409199039e-05,0.0037624753647182,3.774470948553239e-05,5.416401118001875e-05,6.1051806785858326e-06,2.884412566170167e-05,3.296197573060397e-05,4.026044362134202e-05,9.260815885571929e-06,3.588782497496927e-05,3.649600075205562e-05,2.736207125690671e-05,2.8192530560910985e-05,5.585137609495697e-05,3.108195477635423e-05,4.904523236598182e-05,2.748543485693493e-05,3.081915882242152e-05,3.061321126685285e-05,4.675729641514409e-05,4.959924640361247e-05,5.810382206775351e-05,5.867320989020725e-05,3.403516122222339e-05,2.751503763056714e-05,6.10171836790328e-06,3.4387690699273723e-05,3.651280267778589e-05,4.012022859264066e-05,3.791049352785741e-05,3.4668596429165985e-05,3.974031175678512e-05,0.2384549774372066,4.7630184171857645e-05,5.253837053904735e-05,4.3756735895782976e-05,2.446746327307728e-05,1.638381081580371e-05,2.214256440693398e-05,4.422339582682645e-05,5.179710883934812e-05,3.623184324563509e-05,3.846354753644679e-05,3.080726188608657e-05,4.915055221478748e-05,1.098235551188639e-05,3.010554360058584e-05,4.688564887711203e-05,1.8904786947023e-05,3.557402888905851e-05,3.5849973277104725e-05,1.1457823057495994e-05,7.487046283719941e-05,0.1130108447898915,3.58937305650324e-05,1.8465730359665684e-05,1.8597722246952662e-05,1.746164106797549e-05,0.4200935940600435,4.7339162144681296e-05,0.0001702526184102,3.3686290396108895e-05,0.0001127622263221,5.589826623389331e-05,5.401901171116454e-05,4.768110455942055e-05,3.328684763506624e-05,4.0006741675094586e-05,0.0037770519564121,1.49125320601616e-05,5.79495712057172e-06,3.442838701130315e-06,4.5296047604460726e-05,3.3060627687657586e-05,5.7294527965548055e-05,0.1375315024509503,4.87642781630295e-05,4.085144294560397e-05,1.3392509211369234e-05,4.141452053765363e-05,0.0611379861855961,6.066231210376208e-05
uj0014,4.08512856044188e-05,6.201611642880216e-05,5.685592145396556e-05,6.001219932460952e-05,6.254651198401361e-05,9.442159720527504e-05,5.5737142354546254e-05,4.200192162871346e-05,4.523526042118449e-05,0.0203083766271474,5.893936857389604e-05,3.82820565311548e-05,6.21444983494704e-05,4.484526115174199e-05,8.475906591440137e-05,3.108854457600385e-05,5.4083460012037086e-05,4.8296742474169934e-05,5.112653455956253e-05,5.076754508150183e-05,5.131736046395095e-05,7.364089229416109e-05,8.300547595965122e-06,3.921620841766995e-05,4.481479956336052e-05,5.473772949681616e-05,1.2590920249958162e-05,4.879275733235128e-05,4.961962753491958e-05,3.720122085637474e-05,3.833030570124722e-05,7.593501813999119e-05,4.225874033535149e-05,6.668144761660025e-05,3.7368944874311766e-05,4.190144536924236e-05,4.1621440963596096e-05,6.357079090449664e-05,6.743468001548991e-05,7.899742300380079e-05,7.977155745938171e-05,4.6273892704327095e-05,3.740919253354461e-05,8.295840270150287e-06,4.675318854457973e-05,4.964247127887578e-05,5.454709443117632e-05,5.154275892575192e-05,4.71351053958088e-05,5.403056298934882e-05,6.299534942448294e-05,6.475756108411635e-05,7.143068620449562e-05,5.949125637198222e-05,3.3265738418367306e-05,2.227527875741228e-05,3.010482726598879e-05,6.012572292959659e-05,7.042287360346958e-05,4.926048141454907e-05,5.229468607797158e-05,4.188527040383293e-05,6.682463951604354e-05,1.493150971960072e-05,0.0506875253773537,6.374529773332173e-05,2.5702774759107146e-05,4.836612305506186e-05,4.874129451146953e-05,1.5577951029112205e-05,0.0001017931938512,0.0118380433299495,4.880078651837901e-05,2.510583745412872e-05,2.5285292412202232e-05,2.3740686872180024e-05,0.393892313851538,6.43618902079825e-05,0.1774945534452264,4.579957113229496e-05,0.0001533104875826,7.59987695423678e-05,7.344375234761773e-05,6.482679197552198e-05,4.52564924218601e-05,5.43927986600594e-05,7.058574531380459e-05,0.0101495937730073,7.878770494802859e-06,4.680851887676226e-06,6.158409043792925e-05,4.494892585839891e-05,7.789711417296595e-05,0.1515339520788578,6.629946486184379e-05,5.5541246751829793e-05,0.1367640125556183,5.630680187609063e-05,0.0426053693549293,8.247592256601372e-05
uj0015,8.363120737264317e-05,0.0001269600850197,0.0001163960763321,0.0001228576435807,0.0001280459167141,0.0001933009465796,0.0001141056992856,8.598680227092982e-05,9.260612949792676e-05,0.0001018261626465,0.000120661332506,7.837145296749114e-05,0.0001272229099191,9.18077186451139e-05,0.0001735197047857,6.36448150867547e-05,0.0001107202623558,9.887362969168212e-05,0.0001046668116004,0.0001039318843383,0.0001050574725196,0.0001507584557851,1.69929735878267e-05,8.028385912516279e-05,9.174535734173904e-05,0.00011205969014,2.5776272321837605e-05,9.988907683981272e-05,0.0001015818547379,7.615875412299003e-05,7.847022920647247e-05,0.0001554550157957,8.651256439063399e-05,0.0001365110030448,7.650212060259838e-05,8.578110615225133e-05,8.520787801102185e-05,0.0001301428319406,0.0001380530288102,0.000161724405178,0.000163309221867,9.473242908850866e-05,7.658451605933282e-05,1.698333669793287e-05,9.571364887672208e-05,0.0001016286207052,0.0001116694199081,0.0001055189107637,9.649551331285112e-05,0.0001106119709812,0.0001289647817267,0.0001325724010846,0.2697253415641018,0.0001217911633597,6.810199059609645e-05,4.560219903686635e-05,6.163093804144994e-05,0.0001230900503706,0.0001441704920413,0.0001008466067959,0.0001070582644136,8.57479925827177e-05,0.0001368041470979,3.056795318117213e-05,8.379485132132407e-05,0.0001305000842663,5.261900706739852e-05,9.9015666390463e-05,9.978372157910397e-05,3.189135503768922e-05,0.000208392161425,0.096813964876317,9.990551427897243e-05,5.139695036092077e-05,5.1764332551974064e-05,4.860219886841239e-05,0.3501699388051122,0.0001317623792553,0.0004738759424519,9.376139267765832e-05,0.000313858939559,0.0001555855283774,0.0001503548686884,0.0001327141313374,9.26495958864422e-05,0.0001113535438851,0.0001445039248226,4.15070866477031e-05,1.6129506803600992e-05,9.582692174968776e-06,0.0001260756365942,9.201994218842172e-05,0.0001594718406714,0.2376430056881191,0.0001357290036903,0.0001137046596236,3.7276301437198106e-05,0.0001152719126097,0.035380051056111,0.0001688456282664
uj0016,4.904903534040524e-05,7.446107610532516e-05,6.826536936221193e-05,7.20550269588044e-05,7.509790772389106e-05,0.0001133694616875,6.692208151279382e-05,5.043057293915015e-05,5.431275550336938e-05,5.972023132432453e-05,0.0061517666854331,4.5964231380196655e-05,7.46152208102165e-05,5.3844493913395136e-05,0.0001017679213259,3.7327175853315976e-05,6.49365497857149e-05,5.7988594321882765e-05,6.138624925363863e-05,6.095522028268432e-05,6.161536876333649e-05,8.841863053251323e-05,9.966243322711246e-06,4.708584232137182e-05,5.3807919506912175e-05,6.572211348600654e-05,1.511757789678032e-05,5.858414596605602e-05,5.95769466867098e-05,4.466650117599168e-05,4.602216285564457e-05,9.117312547735008e-05,5.073892822421867e-05,8.006261326429894e-05,4.486788287454802e-05,0.0122123094885727,4.997374008031685e-05,0.0730483250603493,8.096699906283747e-05,9.485007228989732e-05,9.577955462339596e-05,5.555981323503688e-05,0.0973409126452702,9.960591363737751e-06,5.613529080591945e-05,5.960437455312911e-05,6.549322311124003e-05,6.18859986090066e-05,5.6593848054629496e-05,6.487303775918131e-05,7.563681471675437e-05,7.775265466381552e-05,8.576489577245332e-05,7.142954482487156e-05,3.994127369961354e-05,2.6745325607855784e-05,3.614605304677503e-05,7.219133168534106e-05,8.455484240074537e-05,5.914572963956462e-05,6.278881723311969e-05,5.029051296387614e-05,8.023453991072728e-05,1.7927860459869595e-05,4.914501120963223e-05,7.653725739706336e-05,3.086062748951908e-05,5.807189771157432e-05,5.852235594689754e-05,1.870402508153568e-05,0.0001222203386931,0.0020516193573689,5.8593786392872505e-05,3.014390098912404e-05,3.0359367710680696e-05,2.850480155447287e-05,0.5215838614744439,7.727758332886199e-05,0.0428449228980908,5.499030813366489e-05,0.000184075761931,9.124967006442748e-05,8.818192992292542e-05,7.783577832538358e-05,5.433824819316059e-05,6.530796434597927e-05,8.475039806461191e-05,2.434357489051885e-05,9.459826948425984e-06,5.620172444144556e-06,7.394235416595964e-05,5.396896132696946e-05,9.352896119313568e-05,0.1150517261799459,7.960397688700344e-05,6.668687495323256e-05,2.1862253146793744e-05,6.760605631532014e-05,0.1241271136550844,9.902661276920384e-05
