receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumannSabine,6.429784815206018e-05,9.761021662163518e-05,8.948833188733494e-05,9.445615290568794e-05,9.844503227957431e-05,0.0001486147970511,8.77274304227705e-05,6.610889079793434e-05,7.119800179227671e-05,0.4783692836659596,9.27675718076484e-05,6.025401211663519e-05,9.781228324251288e-05,7.058416275551172e-05,0.0001334064636899,4.893178975498949e-05,8.512461842855272e-05,7.601661900959688e-05,8.047056798859288e-05,7.990553678805613e-05,8.07709182674717e-05,0.0001159070232541,1.3064640218974735e-05,6.172431972780164e-05,7.053621776295535e-05,8.615440535839908e-05,1.981746881030692e-05,7.679732119707124e-05,7.809877288799302e-05,5.8552831674793206e-05,6.032995385913274e-05,0.0001195178607857,6.651311039488711e-05,0.0001049532108959,5.88168207580548e-05,6.595074627007496e-05,6.551003356079847e-05,0.0001000571952634,0.0001061387604249,0.0001243379304604,0.0001255563787647,7.283275623976238e-05,5.888016852896436e-05,1.3057231127290928e-05,7.3587143542402e-05,7.813472778043738e-05,8.585435545001524e-05,8.112568399531013e-05,7.418826126351439e-05,8.504136120219659e-05,9.915147960834907e-05,0.000101925111234,0.0001124282711552,0.0160366694505904,5.235858225374854e-05,3.506015710149358e-05,4.738346868533239e-05,9.463483329253833e-05,0.0001108420253216,7.753349514041863e-05,8.230917913235426e-05,6.592528769626578e-05,0.000105178587671,2.350143772532949e-05,6.442366187750844e-05,0.0001003318601464,4.04548616792837e-05,7.612582051914271e-05,7.671632133149607e-05,2.451890350500357e-05,0.0001602173156688,0.0026894455515879,7.680995872796793e-05,3.951531268776674e-05,3.979776567483007e-05,3.736663502624073e-05,0.2373336932342102,0.0001013023453764,0.0003643281539022,7.208619818259149e-05,0.000241302918742,0.0080911348199675,0.0001155967349936,0.0001020340771399,7.123141988267965e-05,8.56115017450462e-05,0.0001110983771192,3.191172814971725e-05,1.2400784489508688e-05,7.367423067428141e-06,9.693022966044428e-05,7.074732573725723e-05,0.0001226061002602,0.1986491590246868,0.000104351989446,8.741910069628188e-05,2.8658990402946228e-05,8.86240455689698e-05,0.0511156536263001,0.0001298129120513
BaumgärtnerKlaus,0.003346992759757495,0.004532139545269953,0.0003647207860517068,0.0017336199263675086,0.00565071028921583,0.0032294455613897668,0.0001501847377695746,0.00011317493719898743,0.019332728077381414,0.0007108914691343487,0.0019944613133019017,0.011722085616115126,0.0004900663050571695,0.0005145641033249157,0.009017912534215099,8.37686454229245e-05,0.00014572886080006323,0.0001301364457737848,0.001974968782107784,0.0001367940680699174,0.0019305298508850981,0.005115437448667027,0.0032349553924939252,0.00010566878258774972,0.0007325431786695942,0.00030931320401784805,3.3926462250063e-05,0.006533840261242172,0.0038331504182561957,0.0015499631464443162,0.0005656985920058564,0.011989637516522739,0.0013002796849871196,0.0037407455335611464,0.00010069129757271467,0.005252833982695952,0.00011214972516795685,0.00017129264541524157,0.00018170396448169565,0.0018120341428963758,0.020843329365600013,0.00034871762741283947,0.0014920964580158224,0.0006675869530278905,0.0001259773118039439,0.0012306207029664515,0.00014697813212467798,0.000138882895788667,0.00022074773170871248,0.004352942787634068,0.008556540619287564,0.0001744904191203409,0.00045008198796471846,0.005320616524593611,0.0021414890344791295,6.00211413359903e-05,8.111800134604786e-05,0.0014620323878933258,0.004229840988257233,0.0027527607392688804,0.0014679658391950087,0.00011286061836455905,0.0013002191339060215,4.023322289251963e-05,0.0003054631893827007,0.00048004078408990687,6.92565912796938e-05,0.00013032339300335794,0.008113834318570625,4.1975070688282244e-05,0.005239268288301393,0.06216860679402589,0.0007767282629997049,0.0005647089753994276,0.009952481251944473,6.396970999496333e-05,0.2850519030155594,0.0001734242767911025,0.0012632898094360047,0.00012340777244569323,0.0008818045707778955,0.0007698073077957807,0.0029552799305088626,0.00031544961887082897,0.0014912444405337727,0.001382128705269531,0.001082357182325879,0.0017041537100597884,2.1229489541858185e-05,1.2612640038437376e-05,0.008320465558176497,0.0009063238981423502,0.00020989518247376972,0.3184438589455532,0.007155821776877508,0.00014965689352638018,0.00040171522668613864,0.0011303597530146617,0.10423497215497403,0.0022125408924031937
BaumgärtnerKlaus+BaumgärtnerSabine,0.0032332723960980594,0.008803813711590286,0.0001782171279281653,0.00011074258063827505,0.00012478915265396582,0.0013634604256465425,0.011265818389479427,0.0009369642603075525,0.005342324968853135,0.00559246832054796,0.007552033406860604,0.009276868116718186,0.0011868941528107384,8.275450667085482e-05,0.012017580516433172,5.736876324116293e-05,0.0034805668295026853,8.912364416244613e-05,0.0017273072917592417,0.0030167282214391762,0.0068183352851724005,0.00013589207769321217,1.531728668226342e-05,7.236702157056964e-05,0.0009825211335604785,0.0002291348203920872,2.3234459273009077e-05,0.008434819884560168,9.156480957820479e-05,0.0007771105507349319,0.011610335029040433,0.0012942430540660306,0.00179219650804058,0.0004812766064650075,6.89582024602446e-05,7.732218190445355e-05,0.003582165023874305,0.009866202702599719,0.0005420174144750618,0.001101155546267236,0.004721598819386038,8.539080973415281e-05,6.903247285356853e-05,1.5308600091628403e-05,0.003483443768468409,0.003029548618056108,0.0005182355084315287,0.0014654217179452492,8.698003520841748e-05,0.01230295740380688,0.00022639928402715405,0.0018294397030427588,0.00013181350818790364,0.003923938538579312,0.005109257967895351,4.110533994412626e-05,0.0011068356426942156,0.0013624511387376802,0.0001299537568457896,0.000840495463420986,0.0030387482570178744,0.00034361512922808827,0.0003618736133785347,0.003519013487452679,0.0008835957577651512,0.0011144623491021212,4.743021649634117e-05,0.0004474787065380058,0.00035755559109130645,0.0077944479825139456,0.006952560661327209,0.1097900620493427,0.019105982197472067,4.632866750502522e-05,4.665982192678215e-05,4.3809508065675895e-05,0.3032301161400543,0.012562381715364944,0.00042714676303403775,0.0004163527405004103,0.010415050237122447,0.00024331159939404274,0.0024911827545376613,0.003304437893187788,0.011170264256604672,0.00010037290683467717,0.002019892103707251,3.741404894454192e-05,0.011354614453218658,0.004075181924583702,0.0031180679871992915,0.0015810007021599133,0.00014374623068099136,0.25927148849557574,0.00016788716035225055,0.003295347175380945,3.360046389862141e-05,0.0036533168144315996,0.04363245612573321,0.005446870832163584
BaumgärtnerKlaus+BaumgärtnerSabine+BierwischManfred,6.328883219691347e-05,9.607843494017618e-05,8.808400565762592e-05,9.2973867446955e-05,0.0236361627570261,0.0001462826085611,8.635073774106116e-05,6.507145443716508e-05,7.008070281808592e-05,7.70580638908607e-05,0.0393234161300815,5.930845544040696e-05,9.627733056155193e-05,6.947649666017751e-05,0.0001313129371684,4.816391092240546e-05,8.378877126354251e-05,7.482370223801849e-05,7.920775610057781e-05,0.0079250724608645,7.950339303006421e-05,0.0001140881126818,1.2859618887653953e-05,6.075568974692515e-05,6.942930406080146e-05,8.48023979100749e-05,1.9506476408618253e-05,7.559215298962028e-05,7.687318120512673e-05,5.763397135400666e-05,5.93832054411582e-05,0.0001176422859116,6.546933067995546e-05,0.0001033061967674,5.789381769836406e-05,6.491579164635312e-05,6.448199497187526e-05,9.848701353341412e-05,0.0001044731416553,0.0001223867149957,0.0001235860423836,7.168980332274665e-05,5.795617136273027e-05,1.2852326065673358e-05,7.243235214483676e-05,7.690857186313424e-05,8.450705663741684e-05,7.985259147548158e-05,7.30240366206858e-05,8.370682057966313e-05,9.75955111307629e-05,0.0001003256165943,0.0001106639520891,9.216679685847326e-05,5.153692730881239e-05,3.4509963604789065e-05,4.663988741025416e-05,9.314974383077284e-05,0.0001091025989603,7.631677427178306e-05,8.101751421064234e-05,6.489073258991362e-05,0.0001035280367404,2.3132633382489528e-05,6.341267154747978e-05,9.875736814388276e-05,3.982000993741646e-05,7.493119006555747e-05,7.551242424211638e-05,2.4134132232709303e-05,0.0001577030506903,0.1281899744124931,7.560459220174465e-05,3.8895205139528505e-05,3.917322563656741e-05,3.678024633649089e-05,0.3120734618373749,9.971262370280363e-05,0.0003586108098423,7.095496088301519e-05,0.0002375161902272,0.0001177410527373,0.0001137826937259,0.0001004328725155,7.011359648368498e-05,8.426801399720537e-05,0.0001093549278697,3.141094245027643e-05,1.2206180941087303e-05,7.251807263213816e-06,9.54091189067512e-05,6.963709915107298e-05,0.243359729001732,0.2033782100797372,0.0001027144101906,8.604724658417346e-05,2.8209249402180823e-05,8.723328244767123e-05,0.0346206620255675,0.0001277757785669
BaumgärtnerSabine,0.00013453264775266848,0.006385215957796311,0.00018723958231544664,0.00019763392885067726,0.024929910683644203,0.0003109519636682,0.00018355518628560637,0.00013832195593865577,0.00014897008175392742,0.00016380181156887958,0.00019410085126576825,0.00012607158747525148,0.00020465607832210997,0.0001476857247609209,0.000279131033204875,0.00010238170365280542,0.00017810923126147164,0.0001590522439317393,0.00016837139793645847,0.00016718916329476607,0.00016899983138221717,0.000242516338877075,2.7335605951207815e-05,0.00012914796377129357,0.00014758540776776033,0.0001802638906517305,4.146478657423092e-05,0.0001606857345602291,0.00016340880767907833,0.0001225121478404432,0.00012623048305243542,0.00025007142116515,0.0421035430678105,0.0002195972922544693,0.00012306450147854303,0.00013799106458424796,0.000137068945891592,0.00020935318665194234,0.000222077859205925,0.00026015662237055,0.000262706024586075,0.00015239053594589668,0.00012319704624627826,2.7320103648248807e-05,0.00015396896701590012,0.0001634840373643449,0.00017963608568166491,0.00016974212018460144,0.0001552267067530068,0.00017793502924029188,0.00020745812595100895,0.00021326149289438716,0.00023523762358272502,0.00019591834429295203,0.00010955170204943282,7.335759906512235e-05,9.914209705538357e-05,0.0001980077881046906,0.00023191866566870002,0.00016222605717834492,0.00017221838865957156,0.00013793779671539353,0.00022006885600292834,4.9172884226342045e-05,0.00013479589223279513,0.00020992787764112628,8.464512907666433e-05,0.006340263400656305,0.009598279047342275,0.011376617113618535,0.009772991112847476,0.0371553402340234,0.00016071217651032684,8.267927769663283e-05,8.327026400966139e-05,0.005460703839408016,0.22335098706046994,0.000211958458000436,0.09872119971215808,0.00015082848628144923,0.000504886578661925,0.000250281369146775,0.000241867111843075,0.012575454827224816,0.0001490400035991639,0.00017912795433847246,0.000232455039545575,6.677003050231672e-05,2.5946597273970803e-05,1.5415118248304812e-05,0.00020281052660823574,0.00014802711640278196,0.00025653305316905,0.40983180825615423,0.0511822584103809,0.0001829100571611075,5.9964212981278986e-05,0.00018543120567196485,0.03699115947799642,0.00027161211879835
BaumgärtnerSabine+BaumgärtnerKlaus,7.899948146121503e-05,0.00011992868688522839,0.00010994974200704382,0.00011605344991828485,0.0001209543822387817,0.00018259540936325,0.00830929011325526,8.122461704567209e-05,8.747734775450178e-05,9.618675014953399e-05,0.00011397877658185778,7.403102669804401e-05,0.00012017695582002611,8.672315508710752e-05,0.000163909707058225,6.011999046175709e-05,0.00010458827019426462,9.339773657726754e-05,9.887007616417544e-05,9.81758511918925e-05,9.923910120886081e-05,0.00014240903852848308,1.6051856048673526e-05,0.01647884532040052,8.666424752395001e-05,0.00010585351678978336,2.4348711580293934e-05,0.0356342071828139,9.595597268380454e-05,7.194087319151223e-05,0.09476457117018558,0.00014684549014919325,8.172126101547512e-05,0.0001289506488438049,7.226522309261261e-05,8.103031294287505e-05,0.011015827366316285,0.0001229351645420249,0.00013040727298798262,0.0001527676635321477,0.0026431482823096866,8.94858870350501e-05,7.234305526269928e-05,1.6042752876204434e-05,9.041276417697845e-05,9.600014862345648e-05,0.00010548486079494236,9.967498373596546e-05,9.115132681367768e-05,0.0001044859762933029,0.02351655481099717,0.00012523017747534515,0.006146066192883025,0.00011504603430040271,6.433031535220948e-05,4.307662403283683e-05,0.010993556182023334,0.00011627298538195123,0.0001361859343070552,9.52614447917648e-05,0.00010112908375369998,8.099903329376194e-05,0.001631210387612125,2.8875015995921463e-05,7.915406235865984e-05,0.0001232726312529093,4.970482196683266e-05,9.353190689363791e-05,9.425742507688844e-05,3.012512422362904e-05,0.000196850831290775,0.025697240021531752,9.437247256261721e-05,4.855044611646652e-05,4.8897481672966076e-05,4.591047563586169e-05,0.29590588646520355,0.00012446501687923288,0.00345159705119485,8.85686292870362e-05,0.0102520108640001,0.0001469687745858016,0.00014202780319348896,0.0001253640583175373,8.751840685506271e-05,0.00010518647885349617,0.00013650090066539804,3.920831021276015e-05,1.523621042599503e-05,9.051976368723449e-06,0.0001190932216422048,8.692362510784424e-05,0.0001506398522332496,0.3677101424815918,0.00012821195876083367,0.00010740738334629755,3.521183750473845e-05,0.00010888783755847271,0.07779103548148103,0.00015949449373127327
BaumgärtnerSabine+BierwischManfred+BaumgärtnerKlaus,2.675746900271557e-05,4.062036943172677e-05,3.724045726876112e-05,3.930780976546143e-05,4.096777692252587e-05,6.18458617158858e-05,3.650766032906431e-05,2.7511132132233863e-05,2.962895930057794e-05,3.257887188617673e-05,3.86051088557434e-05,2.5074631699761728e-05,4.070445920300236e-05,2.9373510954001045e-05,5.55169328296097e-05,2.0362903040240783e-05,3.542450337658787e-05,3.1634220822292874e-05,3.34877261132214e-05,3.325258908657978e-05,3.3612716505715574e-05,0.003365571222123,5.4368336692096096e-06,2.568649837121242e-05,2.9353558705379465e-05,3.5853047918072387e-05,8.24701483244085e-06,3.19591090601122e-05,3.2500706551773445e-05,2.4366687588895644e-05,2.510623476081729e-05,4.973720812061004e-05,2.767934761139228e-05,4.367614730500395e-05,2.447654631536068e-05,2.744532048497408e-05,2.726191844281428e-05,4.163867652970971e-05,4.4169512257096215e-05,5.174307408063472e-05,0.102889686574944,0.0895983990673633,2.450290841090849e-05,5.433750384982135e-06,3.0623197648506585e-05,3.251566913524592e-05,3.57281825243836e-05,3.3760351819162035e-05,3.08733520355027e-05,3.53898559860841e-05,4.126176409387005e-05,4.241600742210853e-05,0.2554817096673303,3.896659370087813e-05,2.1788958447996223e-05,1.4590240479820692e-05,1.971857116571796e-05,3.938216738472787e-05,4.612677005502046e-05,3.226546692489081e-05,3.425286183861761e-05,2.743472593135945e-05,4.376993756776081e-05,9.780093883820051e-06,2.680982622703257e-05,4.175297797687261e-05,1.6835240035290293e-05,3.1679664893761826e-05,3.192540106747104e-05,1.020351099408738e-05,6.667423531139149e-05,0.2101114189486788,3.196436815277172e-05,1.644424789885684e-05,1.6561790355770762e-05,1.555007838031958e-05,0.3309796854461158,4.215684419023502e-05,0.00015161470508,2.999858111631844e-05,0.0001004179075049,4.977896509710987e-05,4.810543653176808e-05,4.246135344741491e-05,2.9642866197057147e-05,3.562711925913193e-05,4.623345053462418e-05,1.328002571360992e-05,5.160570938589848e-06,3.065943884939853e-06,4.033739370922224e-05,2.9441411024562057e-05,5.102237511121741e-05,0.0030515189758807,4.342594975139593e-05,3.637934929943818e-05,1.1926402972964595e-05,3.688078559952524e-05,0.0013676952988027,5.402148081459085e-05
BierwischHedwig+BierwischWilhelm,6.378935028622045e-05,9.683826875303972e-05,8.878061573368308e-05,9.37091488682529e-05,9.766648229298224e-05,0.00014743948078,8.70336403127176e-05,6.558607034826266e-05,7.063493424018996e-05,7.766747559219131e-05,9.203392187006784e-05,5.977749482328609e-05,9.703873733528276e-05,7.002594973353966e-05,0.1899357294650796,4.8544813963773466e-05,8.445141258970453e-05,7.541544354812082e-05,7.983416858703997e-05,7.927360592110994e-05,8.013214355352182e-05,0.0001149903755644,1.296131885037152e-05,6.123617454481248e-05,6.997838391271443e-05,8.547305547630301e-05,1.966074287178788e-05,7.618997157257734e-05,7.748113076652842e-05,5.808976812288254e-05,5.985283598248113e-05,0.000118572656881,6.598709318500823e-05,0.0001041231911474,5.835166945532041e-05,6.542917650230355e-05,6.499194915806736e-05,9.926589552766428e-05,0.0001052993647887,0.0001233546071596,0.000124563419397,7.225676027449215e-05,5.8414516242025365e-05,1.2953968353297286e-05,7.30051815246987e-05,7.751680131063766e-05,8.517537850484387e-05,8.048410362579535e-05,0.0079820756304448,8.436881380096543e-05,0.0238237895980701,0.0001011190391332,0.0001115391350863,9.289569558293728e-05,5.1944505762861e-05,3.478288475763608e-05,4.70087377511712e-05,9.388641616589436e-05,0.0001099654340368,7.692032350337162e-05,8.165823912221829e-05,6.540391926696558e-05,0.0001043467855361,0.0553826341730746,6.391416901708143e-05,9.953838823056362e-05,4.013492545407585e-05,7.552378144035835e-05,7.610961229233996e-05,2.432499639203862e-05,0.0001589502411798,0.1212952874179839,7.620250915988843e-05,3.920280686141001e-05,3.948302607634488e-05,3.707112196148746e-05,0.3382669089783392,0.0001005011984033,0.0003614468741385,7.151610635236943e-05,0.0002393945808624,0.0001186722048016,0.0001146825412106,0.000101227143285,7.066808804449096e-05,8.493444540210705e-05,0.0001102197584829,3.165935507463373e-05,1.2302713206738214e-05,7.309157993025249e-06,9.616365945110964e-05,7.018782234507238e-05,0.0001216364730937,0.2524374658943692,0.0001035267244417,8.672774900388058e-05,2.8432341520038745e-05,8.792316460126885e-05,0.0032605622935147,0.0001287862900004
BierwischManfred,0.008376055795349833,0.009237594424424378,0.004593488474217084,0.004981450123309095,0.003789302693674652,0.001837194032920148,0.001137434860919447,0.003170778484348144,0.0016498838297364926,0.002198401145893238,0.008590472638556357,0.0005481555521406512,0.0014655571091301588,0.002023894103802016,0.0010678245440638788,0.000556814179491375,0.005441742689612628,0.001679216255699432,0.001483510947482399,0.0041739331534900986,0.003403062102611205,0.0006535295110771582,1.6939038728011156e-05,0.002893687867196188,0.0013385766784548864,0.007015217123164042,2.569445970516585e-05,0.0018630365889766337,0.0026777819150055936,0.0012453294937565349,0.0003865536693301222,0.014844859605740736,0.002030632022672864,0.0003587954608388178,0.0018078736779120444,0.0010804281696733305,0.0012822300626686768,0.001994870925746947,0.0025888100474655558,0.0020566879728612627,0.02625856321793512,0.00023615124304321973,0.005145892417309811,0.0018559347333734863,0.00582456925167915,0.0012409534692311142,0.008046158685218794,0.0051007357590342455,0.002320787835183575,0.0049725225200137205,0.00044921308799420796,0.0031650865983703143,0.0026376956135070926,0.004295618700109293,0.0035245355188623637,0.001907353074791257,9.651698131959599e-05,0.010397587775076609,0.0028014229999905192,0.000867766547824787,0.0029046073105971843,0.003450865448528901,0.008265940235959994,0.00010627531022736866,0.0013932186219772337,0.005001762313864295,8.236896224192436e-05,0.003175906775273232,0.004598956219574087,0.00023654661951288657,0.0011105475942731688,0.08405158546611284,0.00044454984932918264,0.00017128280143372874,0.003180477002878263,4.844793788699815e-05,0.27135709234895206,0.004907136103092116,0.008343655299352049,0.005116294541940903,0.0020002115978915466,0.00020009765950619148,0.0018079204555301813,0.00018528325111890086,0.0016549060506029552,0.0015558234728322163,0.0025504335353204533,0.002620491049976611,1.6078312544759246e-05,0.0010069423820312131,0.0010061841112168131,0.0013546999971225,0.00606833949600317,0.28362453408035915,0.0010027982890224365,0.00042836690164781605,0.001010330744289968,0.0010661168467166304,0.07270643743736475,0.0014741201041757947
BierwischManfred+BaumgärtnerKlaus,5.5080301945452786e-05,8.361710942123424e-05,7.665955366488212e-05,8.091520279725643e-05,8.433224841623353e-05,0.00012730982654004998,7.515108974031933e-05,5.663171896231674e-05,6.0991270304367674e-05,6.706367109500234e-05,0.003470525887172375,5.161617808671406e-05,0.058524465218991815,6.046542938647316e-05,0.00011428171412735,4.191707548380649e-05,7.292140904852205e-05,6.511910504406025e-05,6.89345492877395e-05,6.845051926140698e-05,6.919184225360864e-05,9.929094086224333e-05,1.119173267459928e-05,5.287570681906326e-05,6.0424357643908266e-05,0.010386863864810558,1.6976496060721175e-05,6.578788811303431e-05,6.69027676022182e-05,0.0034878456390887752,5.168123304931774e-05,0.0001023841395809,5.697799085309252e-05,8.990743411230493e-05,5.03850181605406e-05,5.6496245558526986e-05,5.611871209829765e-05,8.571329656152041e-05,9.092302682504572e-05,0.00010651321855805,0.00010755699377655001,6.239167126897285e-05,5.0439284585460716e-05,1.1185385728024634e-05,6.303791187588925e-05,6.69335681093762e-05,7.354653316446252e-05,6.949574983326863e-05,6.355285516769788e-05,0.0653888986286012,8.493742157981201e-05,8.731343371427239e-05,9.6310892205775e-05,8.021280886515546e-05,4.4852613312221576e-05,3.00340383839642e-05,4.05907170678369e-05,0.00686318265922804,9.495204580601956e-05,6.641852637309013e-05,7.050958266551524e-05,5.6474436649320666e-05,9.010050155047207e-05,2.0132342267537103e-05,5.518807939346603e-05,8.594858631265102e-05,3.465537433207362e-05,6.521265175350003e-05,6.571850014467072e-05,2.100394721193706e-05,0.00013724904297035,0.1829625174830366,6.579871396549501e-05,3.3850516259328896e-05,3.409247763533094e-05,3.2009866567594074e-05,0.4692115968369869,8.677994569777488e-05,0.00031209916507164996,6.175213753043255e-05,0.00020671045776204998,0.00010247009639820001,0.10183074100149933,8.740677859549596e-05,6.1019897677798285e-05,7.333849423652465e-05,9.51716477806182e-05,2.733695874130607e-05,1.0623045306699595e-05,6.31125144583604e-06,8.3034603346493e-05,6.060520181368735e-05,0.0001050296583288,0.0887394105406604,8.93924019619418e-05,7.48869612364604e-05,2.4550523698910654e-05,7.59191688347352e-05,0.00281540343071255,0.000111203323248
