sender_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
BaumgärtnerKlaus,0.0001059368763595129,0.0011931553797244713,0.003689156137010246,0.0037310034091034483,0.0030208183438082516,0.00921682110836706,0.005448174885175147,0.0029799421220724365,0.0002772372233545182,0.00190664100868357,0.001692534924707073,0.003919323136714322,0.0007489370230759736,0.0003551245993866953,0.010347266328493521,8.061982026310867e-05,0.003517654806807814,0.0003622105591474271,0.000584972525050023,0.0007935985355819648,0.0029827879490194062,0.01010661334783803,2.1525248749944828e-05,0.004838587310545186,0.005598707335839002,0.0007822794122177588,0.00930378962584245,0.007327410223044713,0.001185679866927706,0.00047386841355875957,0.005633007238767349,0.0004038478488889537,0.0009882372626951648,0.0004268518943459018,0.00744758740919024,0.0017293310791728848,0.004356049155215664,0.004403906470900754,0.005568335856291487,0.003657899767950872,0.0026046664280608136,0.005622468391967623,0.0002759600984862044,2.1513041560245604e-05,0.003502916836088496,0.011149848234868054,0.003914014676228552,0.002377105019844252,0.0012757583702971227,0.00014011380514345872,0.005185361284546817,0.00016793140388142447,0.0005101703529603985,0.004134654150282385,0.0002525701520072017,0.0007981432319382889,0.003479415119567139,0.0029678152958745765,0.0025683450466550935,0.0037223347350477,0.009418098364936914,0.001037007745040993,0.007301753344147271,3.872087440144873e-05,0.00010614416654822242,0.0009910948019078145,0.0029524725706328216,0.0017559724202249384,0.0031873395412558144,4.039724693333186e-05,0.0012796990282704273,0.03440443223467746,0.0010072141684899765,0.0015512124511792822,0.0007059023988690918,6.156511778410411e-05,0.446681218775042,0.00023118065630906685,0.0023692146748116967,0.0008977140637018778,0.002160378085928922,0.01626719975354954,0.004796425478474667,0.001357689414149134,0.0022833774220262656,0.00661471465613902,0.005701450324365381,0.0006605947818736464,2.0431482716489205e-05,1.2138536654239186e-05,0.01025406911298038,0.011865136105559296,0.0018237879456574789,0.11934483921857349,0.0157941328746761,0.005109352853875796,4.721843747749554e-05,0.006322543324539451,0.07504412391150042,0.012623504488920976
BaumgärtnerKlaus+BaumannSabine,0.00013826569563952032,0.00020990040709912034,0.013298979477297806,0.00105152472202945,0.00021169558953514815,0.00031958034191148835,0.0001886485246813828,0.000142160150562381,0.00015310374342034,0.00016834702804053314,0.00019948681359351894,0.00012956985559885688,0.047223871805384406,0.00015178374774602507,0.02941253048238288,0.00010522261854487278,0.00018305145384087972,0.00016346566813046142,0.00017304341251263083,0.0001718283729079526,0.00017368928389772598,0.0002492457471024539,2.809412165528726e-05,0.000981138390076394,0.000151680647130087,0.004305921015007884,4.2615362560693264e-05,0.00016514448529373387,0.00016794311897368606,0.00012591164768118582,0.00012973316025298475,0.00025701046983429626,0.00014302938188770858,0.0019225043247838166,0.0001264793281757468,0.0001418200775461905,0.049588733736199014,0.00021516237486085717,0.0024669799862446127,0.00026737551789972385,0.0031825610662719523,0.00015661910928993237,0.00012661555083114302,2.8078189190280085e-05,0.00015824133908735492,0.03580110578706582,0.00018462067582583887,0.00017445216992825673,0.00015953397892302904,0.0001828724180154011,0.00021321472950876035,0.00021917912983002716,0.0002417650600696302,0.0002013547389033074,0.00011259157197443146,7.539314534142699e-05,0.00010189311847725979,0.00020350216116066458,0.00023835400682385133,0.00016672754919575612,0.00017699715056311536,0.0001417653315862662,0.01612612370826635,5.0537346567770874e-05,0.005438519018963144,0.00021575301252927388,8.699388475425684e-05,0.00016370049438228752,0.00016497030368293306,5.272529869772998e-05,0.006700196079474301,0.0517564556404742,0.00016517166096214798,8.497348440444088e-05,0.005176021633979914,8.035298122875698e-05,0.48936603733759004,0.00021783993797539532,0.0007834490124962334,0.0001550137154536532,0.0005188963064644667,0.00025722624350868196,0.0002485785051431266,0.00021941344944125343,0.00015317560547561704,0.00018409844471823018,0.00023890526414652277,6.862278316446382e-05,2.666657039382265e-05,1.584286107180217e-05,0.054231597069287506,0.00015213461241447463,0.00026365140093101376,0.05601681468631919,0.0002243978737516059,0.00018798549434140133,0.017971546925702235,0.00019057660035534042,0.03851909700176998,0.05583222768392563
BaumgärtnerKlaus+BaumannSabine+KrienkeGisela,0.0001213898676245,0.0001842813035745,0.0001689477497917,0.0001783266505346,0.0001858573775042,0.0002805744058249,0.0001656232902363,0.0001248089902446,0.0001344168780307,0.000147799664655,0.0001751387268038,0.0001137553862982,0.000184662791308,0.0001332579926005,0.2560962390665208,9.237981754757768e-05,0.0001607093621265,0.0001435140923692,0.0001519228384238,0.0001508560987955,0.0001524898788714,0.000218824402588,2.466513254056e-05,0.0001165312248592,0.0001331674757875,0.0001626535282641,3.741400349584163e-05,0.0001449880038284,0.00014744505415,0.0001105436758821,0.0001138987590289,0.0002256414128392,0.0001255721287442,0.0001981443663137,0.0001110420689201,0.0001245104243695,0.0001236783894107,0.0001889010291477,0.0002003826014106,0.0002347413693162,0.0002370417150139,0.000137503180787,0.0001111616651079,2.465114469050647e-05,0.0001389274115729,0.0001475129344875,0.0001620870548951,0.0001531596519039,0.0001400622800435,0.0001605521782708,0.000187191100952,0.0001924275246514,0.0002122567604519,0.0001767786650765,9.884936357060026e-05,6.619113938899254e-05,8.945669500012563e-05,0.000178663986684,0.0002092620385865,0.000146377849058,0.0001553940084515,0.0001244623603519,0.0001985698619979,4.436908071506456e-05,0.0001216273951921,0.0001894195773534,7.637596661715493e-05,0.000143720257228,0.0001448350817129,4.628998537761291e-05,0.000302479154422,0.0502264939384265,0.0001450118626082,7.460216343423544e-05,7.513541503899649e-05,7.054560937532553e-05,0.4631191837261628,0.0001912517860041,0.000687826228173,0.0001360937310723,0.0004555631363312,0.0002258308505565,0.000218238599922,0.0001926332447069,0.0001344799690623,0.0001616285639822,0.00020974601296,6.024712439213766e-05,2.341181907148268e-05,1.3909182602408836e-05,0.0001829975354613,0.0001335660329677,0.000231471794287,0.2094894415280384,0.0001970093020104,0.0001650411851463,5.410618164139378e-05,0.0001673160373038,0.0062047853350964,0.0002450777539646
BaumgärtnerKlaus+BaumgärtnerSabine,0.00033438789207926496,0.00012532130991219062,0.009508376844441838,0.003886441738708467,0.0006406625581973342,0.00019080585704445139,0.004747807809498394,0.00045905753906185274,0.010518319382292852,0.00482737661455739,0.0001191038604224309,7.735985009840044e-05,0.00012558074232094928,0.008969622314248813,0.014283156924954027,0.0004576890966423511,0.00010929110759576449,9.759738887073491e-05,0.00010331579355876546,0.007605040475838293,0.0017826092747198544,0.010890179235036268,1.6773631720542217e-05,0.0020511421515217666,0.0007346810180557286,0.003973216149962783,2.5443557410375846e-05,0.0209867084396869,0.01958826640771508,0.004567711148689256,7.745735135365976e-05,0.0001534484338830592,0.0008337571517995026,0.0001347489466185363,7.551464669771676e-05,0.01927610720343433,0.00036215566991132175,0.0059255419957096435,0.0008976377982690371,0.0001596368992548838,0.0006754706917370669,0.007042277261250942,7.559597861055256e-05,1.6764119221674668e-05,9.447819644921163e-05,0.010370936200608425,0.00011022801361428314,0.00010415689399833257,0.0004515970261323349,0.0001091842140242923,0.005174443093538256,0.005533256424102898,0.0007158495605226395,0.014660021943789483,6.722294387092786e-05,4.501357507194514e-05,0.014776666885200188,0.00029967475758541925,0.005755019124215962,9.954489918541232e-05,0.00010567637798251147,0.0009304838136616149,0.005977247601400801,3.017338822200359e-05,8.271324432283135e-05,0.0004381731227162282,5.193981156313906e-05,0.0013764065476390716,0.0038403021039669595,0.0002251090692807971,0.001785165461381792,0.05069207333706791,9.861595410040041e-05,5.0733528917543156e-05,0.0010878963479062128,0.00118720394375909,0.4149397520065503,0.00581991284634364,0.004543583489859754,9.255113957845944e-05,0.0015946882592910991,0.023571157679952468,0.0013197841463827727,0.00045066832302604085,9.145369363541964e-05,0.001667013482325544,0.010597065780041855,4.097132156551631e-05,1.592131039098407e-05,9.459000721886323e-06,0.004599789621845033,0.007933453618311373,0.0010453133735027387,0.10344595650808451,0.008357900806687756,0.0004094872394525312,3.679514647508764e-05,0.021834345827232173,0.07318688330622776,0.020559724404099148
BaumgärtnerKlaus+BierwischManfred,0.0001700004190741,0.2531737567211783,0.000236602846912,0.0002497375268317,0.0845655105992873,0.0003929303780053,0.0002319471081038,0.021251095395549,0.0001882440935395,0.0002069860147479,0.0002452729995954,0.000159308711024,0.0002586109740795,0.0001866211326397,0.0214290269426089,0.0001293732994722,0.0002250653983342,0.000200984285783,0.0002127603127377,0.0002112663974102,0.0002135544244342,0.0003064525966753,3.454228059119732e-05,0.0001631961336556,0.0001864943683846,0.0002277881054646,5.239643471074804e-05,0.0002030484248306,0.0002064894005276,0.0001548108717285,0.0001595094973399,0.0003159994775,0.0001758574659343,0.0002774912434595,0.0001555088461721,0.0001743706022268,0.0001732053790129,0.0002645464135275,0.000280625779413,0.0003287435099709,0.0003319650287046,0.0001925663056997,0.0001556763346326,3.452269130901438e-05,0.0001945608694569,0.0002065844635345,0.0002269947879332,0.0002144924079615,0.0001961501958098,0.0002248452702308,0.0002621517448823,0.0002694850935444,0.0002972549433843,0.0002475696508652,0.0001384335740787,9.269736968434403e-05,0.0001252796130073,0.0002502099491836,0.000293060985667,0.0002049948333415,0.0002176215122014,0.0001743032909817,0.0002780871288167,6.213667139687892e-05,0.0001703330645151,0.0002652726142723,0.0001069607092106,0.0002012730093239,0.0002028342650805,6.48268019985926e-05,0.0004236068793813,0.0281870713966772,0.0002030818378546,0.0001044765868506,0.000105223378968,9.87955864219398e-05,0.395659500574905,0.0002678385305596,0.0009632661220234,0.000190592442091,0.0006379933153119,0.0003162647755184,0.0003056322094333,0.0002697731941606,0.0001883324493638,0.0002263526944137,0.0002937387674944,8.437307491228014e-05,3.278707796066596e-05,1.9479112364652147e-05,0.0002562788668177,0.0001870525277185,0.0003241646341881,0.1669216120761808,0.0002759016428527,0.0002311318991314,7.577299270141608e-05,0.0002343177154411,0.0086894905470547,0.0003432190980602
BaumgärtnerSabine,4.235280327150166e-05,6.429556230385783e-05,5.8945700741895e-05,6.221798982038408e-05,6.484545291987114e-05,9.789212926467652e-05,5.778580013164717e-05,4.354573173025212e-05,4.689791415882244e-05,5.156715501240664e-05,6.110572642263998e-05,3.968914038086297e-05,6.442866299210376e-05,4.649358019257535e-05,8.787444485616344e-05,3.223122584622839e-05,5.607133553427668e-05,5.007192313285826e-05,5.300572621196923e-05,5.263354182374524e-05,5.320356605637291e-05,7.634761496306697e-05,8.605640047216048e-06,4.065762767544639e-05,0.3571018497861472,5.674965315305923e-05,1.3053708358592335e-05,5.0586169365197736e-05,5.1443431762263e-05,3.8568577832451294e-05,3.97391629830578e-05,7.872606301411189e-05,4.381198998865821e-05,6.913237101305157e-05,3.874246666435685e-05,4.3441562395361577e-05,4.315126623131119e-05,6.590737993079663e-05,6.991328899729354e-05,8.190102871753122e-05,8.270361702822476e-05,4.797472210032358e-05,3.878419365454594e-05,8.600759700337832e-06,4.847163479549892e-05,5.14671151440574e-05,5.655201116181623e-05,5.343724919679587e-05,4.8867589268579846e-05,5.601649424440251e-05,6.531078769540697e-05,6.713777068110588e-05,7.405617119770964e-05,6.167789924399565e-05,3.448844397596995e-05,2.309402225834709e-05,3.1211351316225057e-05,6.233568606513014e-05,7.301131573736695e-05,5.107108497423121e-05,5.421681395911059e-05,4.342479290774882e-05,6.928082603123437e-05,1.548032783654573e-05,4.2435676402032606e-05,6.608830088056383e-05,2.6647498280603275e-05,5.014385384568411e-05,5.053281499222385e-05,1.6150529549985814e-05,0.0001055346741178,0.1645467801812868,5.059449366959186e-05,2.6028620126119023e-05,2.62146710770972e-05,2.461329247662652e-05,0.4293733603402038,6.672755664428381e-05,0.0002399818823173,4.748296650608756e-05,0.0001589455221292,7.87921576440162e-05,7.614322899945845e-05,6.720954620250332e-05,4.691992655658104e-05,5.639204414136502e-05,7.318017391169978e-05,2.102016137744279e-05,8.168360232746331e-06,4.852899883286523e-06,6.384765689454469e-05,4.66010551682653e-05,8.076027726354998e-05,0.0415857692382566,6.873634821411286e-05,5.7582704248596057e-05,1.887759260038229e-05,5.8376397888626863e-05,0.0021648433908181,8.55073829719607e-05
BierwischHedwig,9.017609750387682e-05,0.0001368958474415,0.0001255051105699,0.0001324723532601,0.0001380666551798,0.0002084284748956,0.0001230354910301,9.271603877581182e-05,9.9853387573995e-05,0.0001097949707977,0.0001301041611958,8.450472026341639e-05,0.0001371792407405,9.899249392946588e-05,0.0001870991739708,6.86255912258512e-05,0.0001193851133748,0.0001066113757261,0.0001128579259444,0.0001120654840494,0.0001132791595752,0.0001625566536166,1.832282578809114e-05,8.656678931107223e-05,9.89252522962255e-05,0.0001208293633655,2.7793496222330648e-05,0.0001077062906977,0.0001095315436097,8.211885793980587e-05,8.46112266267379e-05,0.0001676207614628,9.328294648478504e-05,0.0001471942102435,8.248909591815717e-05,9.2494245095715e-05,9.187615672440702e-05,0.0001403276727815,0.0001488569133198,0.0001743807866495,0.0001760896294219,0.0001021460891291,8.257793955648054e-05,1.8312434725352708e-05,0.0001032040981436,0.0001095819694323,0.0001204085509966,0.00011377670949,0.0112838965611756,0.0001192683472313,0.0001390574295996,0.0001429473774456,0.000157677792232,0.0001313224114211,7.343158059213373e-05,4.917097906307185e-05,6.645411028585908e-05,0.0001327229479603,0.0001554531227747,0.0001087387559388,0.0001154365313338,9.245854009313549e-05,0.0001475102954411,3.296016897468594e-05,9.03525480554803e-05,0.0001407128832976,5.673691509348046e-05,0.0001067645280672,0.0001075926904453,3.4387138865463034e-05,0.0002247007123067,0.0037718790171299,0.0001077240145135,5.541922151735433e-05,5.581535465141269e-05,5.240575571905976e-05,0.8135879961107632,0.0001420739641618,0.0005109609741837,0.067180195524688,0.0003384212093224,0.0001677614878217,0.0001621214822192,0.0001431001993586,9.990025559625666e-05,0.000120067954849,0.0001558126496541,4.4755387495093176e-05,1.739178500353388e-05,1.033262356322611e-05,0.0001359421830146,9.92213258635628e-05,0.000171951938819,0.0885429556471904,0.0001463510124437,0.0001226030664268,4.019350549379067e-05,0.0001242929709796,0.0046093083246368,0.0001820593091501
BierwischManfred,0.0022836835510685457,0.0035654821288334184,0.008921633719378177,0.005878514899023229,0.00655863942764531,0.015183668132508875,0.001369664451216367,0.0004191013794385751,0.0004723710398290577,0.001558414618825678,0.0023466969162927623,0.0003531954873015017,0.0002824648559173992,0.005867846250487303,0.0033833391060973696,0.004999459383440547,0.0005711680040774922,0.002442924284344569,0.0022811355157153004,0.003549028317757282,0.002500180237709313,0.0010910828831484727,0.00297871564768786,0.002448029697956894,0.002698941428635108,0.002660867002144476,2.1130703093612197e-05,0.00034860398659201914,0.00202579897027761,0.0006329910450439713,0.00015660766707042788,0.011639741818690987,0.0037407015996132695,0.008469518594170299,0.004044481234376528,0.00256425540745205,0.0023183415605063564,0.004106212186975297,0.00426176304524921,0.00223557607577967,0.0008413277756181015,0.0017276306389959013,0.002865786000758518,1.3922488124818341e-05,0.005848693487760513,0.00043996525486513416,0.00439005710561865,0.004511691418144456,0.004152093589054084,0.004113754440021351,0.0016192439407639939,0.0016659232703771817,0.0008006734608231142,0.0024429549307197723,0.00018687375496092973,0.0001392626177251355,0.0024011232064083954,0.0062708418554436145,0.005732833771031411,0.0026752568866361282,0.005742249985840625,0.00043876054001519424,0.005235698697780864,0.0001130406307627058,0.004882936945498784,0.007043231999107107,0.0037103454983093307,0.0021949866286868646,0.0020089349647596892,0.00038997873978117444,0.0009073667357694787,0.03292658376805207,0.00030955862327903334,0.006768010410200207,0.0007029833213661216,0.0035988340418020705,0.3959403666971239,0.002758261109451563,0.03303721219694983,0.0018894689948152192,0.0036553659703393005,0.0015730376249179178,0.005991346992212739,0.0017748657953587956,0.003696567204026537,0.0028505947111700384,0.00620192324089893,0.0009054886684831519,7.488149892515945e-05,0.00011506663289370065,0.0035513147427724476,0.00142005088088209,0.009345240873018395,0.10749780188676604,0.003040871619634426,0.0009594538954730132,0.0008959964924688775,0.0007224196651353053,0.14841793293769148,0.0006390859823547777
BierwischManfred+BaumgärtnerKlaus,0.00010592142331477797,0.00016079874166511322,0.00014741910897476102,0.00015560287698815098,0.00016217397995436073,0.0002448214253153,0.0001445182780013392,0.00010890485464641829,0.022245383408434665,0.00012896587789462186,0.00015282118337898927,9.92597871817557e-05,0.002797289645628633,0.023841699474551406,0.00021976789145433334,8.060806022512844e-05,0.029478664402578635,0.00012522640667588048,0.0001325636446828225,0.00013163283734326394,0.00013305842841115524,0.00019094008941353334,2.1522108855288022e-05,0.00010168190672950142,0.00011619823672830214,0.000141926946276901,3.264641917595583e-05,0.00012651250083391648,0.00012865645462767716,0.047513803719503485,9.938489024019834e-05,0.0001968884230157667,0.00010957074808254161,0.00017289526475696665,9.689222187978522e-05,0.00010864433436523766,0.00010791832379441276,0.08188572866535523,0.0001748482864697,0.008113302877141567,0.00020683600971466666,0.00011998145235917475,9.699657818798434e-05,2.150990344625531e-05,0.00012122419654303695,0.00012871568512284718,0.00014143265736561464,0.00013364285373666083,0.0027583724795904054,0.00014009336669958846,0.0027994957783258,0.00016790690767586665,0.00018520934749510003,0.0001542521479182791,8.62532062028657e-05,5.775654782486308e-05,7.805742476594898e-05,0.00015589722713263144,0.00018259623646183333,0.012772350942879056,0.00013559249113518862,0.00010860239503987169,0.0001732665404603667,3.871522617558979e-05,0.00010612868326601324,0.0001652822564978879,6.664354488097121e-05,0.00012540630039941294,0.0001263790652478352,4.0391354174497246e-05,0.0002639348998924,0.038164363248435994,0.00012653331934179234,6.50957735431127e-05,6.556107406667756e-05,6.155613726141142e-05,0.5263134916273694,0.000166880990823,0.0006001780420972,0.00011875160572705582,0.00039751172609566663,0.0001970537211007,0.00019042893429516668,0.0001680864132764,0.00011734348186679061,0.003302189016378503,0.0054553345957921995,5.25699656084729e-05,2.0428502369820167e-05,1.213676600216334e-05,0.0001596785613039699,0.00011654600664211057,0.00020197585175683332,0.0905305059067996,0.0001719048392057,0.00014401034928489354,4.721154970950036e-05,0.0001459953220265896,0.09057684077678496,0.00021384803386566666
BierwischManfred+BaumgärtnerKlaus+BaumgärtnerSabine,0.0001537934314511,0.0002334729791178,0.0002140463177436,0.0002259288031332,0.0002354697670097,0.0003554703658022,0.019276831693243,0.0001581252476941,0.0001702978454613,0.0001872530058681,0.0002218899015398,0.0001441210172415,0.0002339563004093,0.0001688296095166,0.0003190936931531,0.0001170394977397,0.000203608791668,0.0001818234516519,0.0001924768112382,0.0001911253183079,0.000193195216307,0.0765452259806188,3.124919274434904e-05,0.0001476378324897,0.00016871493033,0.0002060719295514,4.740122132555786e-05,0.0001836908060316,0.0001868037363577,0.0001400519793936,0.0001443026615967,0.0002858736716425,0.0001590920968292,0.0002510366195666,0.0001406834124531,0.0001577469832528,0.0001566928465781,0.0002393258848188,0.0002538723245779,0.0002974027519524,0.0003003171472418,0.0001742079995844,0.0001408349334036,3.123147100611459e-05,0.0001760124116332,0.0001868897365341,0.000205354242936,0.0001940437771875,0.00017745021958,0.0002034096494742,0.000237159511876,0.000243793735844,0.0002689161474298,0.0002239676015923,0.0001252360111908,8.38600672156672e-05,0.0001133360828178,0.0002263561871066,0.000265122020614,0.0001854516537138,0.0001968745683176,0.0001576860891243,0.0002515756962014,5.621287268068145e-05,0.0001540943641435,0.0002399828532255,9.676361146370124e-05,0.0001820846497379,0.0001834970631983,5.864653971834211e-05,0.00038322232334,0.0254998573313066,0.0001837210336255,9.45163128747948e-05,9.519190957596838e-05,8.937691054414473e-05,0.2626043212115364,0.0002423041479188,0.0008714331594794,0.0001724223142359,0.0005771702313387,0.000286113677478,0.0002764947669349,0.0002440543703918,0.0001703777778843,0.0002047733633933,0.0002657351861203,7.632936897163487e-05,2.9661322332548825e-05,1.762207145427939e-05,0.0002318465245613,0.0001692198775516,0.0002932604032296,0.2082091342546677,0.3815895437537536,0.0002090969426948,6.854917548050144e-05,0.0002119790392502,0.0078610780848184,0.0003104983100495
