year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.011575572086873027,0.008456230825157209,0.009757705829983775,0.06075186215864262,0.0008288917091957001,0.0038386896385413523,0.023066390012387198,0.08728986272499882,0.0008695378094272818,0.011983429154030145,0.003059627093695087,0.05506140597627848,0.0022850772428704364,0.02679839642578048,0.03057220736845423,0.01097790544384569,0.6352732455353735,0.013287173841696408,0.003946101804370555,0.0003206873183971001
1955,0.000627884929798916,0.007665784295428375,0.009254642631413006,0.015658627067195355,0.00496570082061628,0.0005488892868639125,0.18585489541453173,0.0033010481693286947,0.01290775912501389,0.008935896335720235,0.002923766499775,0.001976804033429976,0.016533293974507684,0.004135489679774758,0.056155210783184625,0.010216663596924537,0.6546770775756944,0.00029281430469175476,0.0031426486840319817,0.00022510279207400423
1956,0.00205186375200266,0.00312653639551816,0.019538230545876438,0.01725517521894728,0.05509721365427578,0.00045903346758722,0.055399279824769644,0.00057448412398308,0.07740370912502355,0.00067485119622862,0.0005420797742237201,0.00049525592357836,0.01154123970130826,0.04113767166464162,0.0007224356147259001,0.0034420667669349597,0.6526512875900845,0.05115196614172825,0.0007005975136306399,0.0060350220049306
1957,0.013180698355157307,0.01652048553943545,0.014557613531203384,0.029453982583175595,0.004765359913682424,0.006063530474232256,0.14817420848313295,0.0275221506245036,0.012220745033737787,0.02033973556577409,0.0016100247845332561,0.010544822761829086,0.0024049620047226277,0.005479382025676015,0.013487258584671433,0.0182867208896541,0.637032919550077,0.0014138837312261626,0.010173186381807238,0.006768329181767407
1958,0.007710131323798519,0.018009293389473623,0.007362880484935159,0.06187804601195838,0.012485527094628373,0.0017222514821496086,0.05149880376541386,0.00929430695642915,0.003652860854563688,0.023089224637176494,0.007304425069937085,0.005804977425058011,0.0036277123970575075,0.0042871632667151735,0.08237253635135276,0.0025224161301982697,0.6794004222026315,0.0009965013572964326,0.01665680184051165,0.0003237179587139216
1959,0.0036882124243592536,0.004399046707984918,0.018224577377126745,0.07762188510758797,0.018102818287233514,0.006041476123010449,0.0015817473971724964,0.015463482985382773,0.02957332451892537,0.017017209544439218,0.0005572552808831429,0.025804711113275463,0.001834523498474525,0.006942571185182075,0.04017332368168653,0.006539513519392086,0.6705577673636848,0.026901244011565094,0.02615062336451295,0.0028246865081198087
1960,0.004947891315786448,0.014830802490756244,0.004956992097906172,0.09830140999276571,0.03362226546346151,0.00037605857572467103,0.014257737920026816,0.04539598053613198,0.003982722316141316,0.0116880529876182,0.022509115169041763,0.023577598603077538,0.018087336642720844,0.006889868679055476,0.020340007129085,0.022759452453808435,0.6300120701016304,0.002953700747089132,0.01136680676378916,0.00914413001438227
1961,0.05002445739385265,0.01200294357760468,0.012503422222436354,0.037130251017862194,0.008466755238549612,0.020363190226227252,0.016764507885436614,0.024223348225963663,0.010668302801180031,0.024214995558448534,0.034378721991308245,0.011596468788452493,0.0009153880823935674,0.008389128052584719,0.023556962279532783,0.0048493680976858765,0.6753364461943475,0.01861262407806871,0.005887278369680929,0.00011543991838276909
1962,0.009284579811206022,0.01931752244595003,0.019134337536211313,0.006105125274270276,0.003359535209429144,0.0012158070093320548,0.009262027559088405,0.0038160853525360983,0.015623909764568152,0.02721802042384241,0.005997012782510125,0.0066984123646039034,0.011726985546202882,0.017168976999701935,0.0018319967102349438,0.01705964795888219,0.7761622029093084,0.03135361670478961,0.015346401969793573,0.002317795667537704
1963,0.013405842857359523,0.05339084805089526,0.016605402104596427,0.0012144231545079375,0.023721314678043004,0.012994564770313131,0.007191031798396563,0.004911144401718234,0.006137046935921713,0.027209514244570347,0.011184261175465138,0.0030418307380581096,0.0027647149703162468,0.055637379917647035,0.0015164462228273467,0.04557240432046432,0.6828237010948286,0.004938225855051315,0.011584280446407334,0.014155622262611519
